	TCGA.XF.AAN4.01A.11R.A42T.07	TCGA.ZF.AA5P.01A.11R.A39I.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.AA.3489.11A.01R.1839.07	GTEX.11ZVC.2126.SM.5EGJ1	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A5U7.01A.11R.A31P.31	TCGA.LN.A5U7.01A.11R.A31P.31.1	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.146FQ.1126.SM.5NQBM	TCGA.EJ.7783.11A.01R.2118.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.XPVG.2026.SM.4B65E	GTEX.11EQ9.1726.SM.5HL6U	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.FP.7735.11A.01R.2055.13	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.S4P3.0726.SM.4AD57	GTEX.WH7G.1526.SM.4LVMX	GTEX.R55D.1526.SM.48FEJ	TCGA.AX.A2HC.11A.11R.A32Y.07
HJURP	139.07	72.52	223.41	10.96	14.67	57.08	0.16	14.89	98.04	16.27	376.41	1685.71	1685.71	17.25	2.23	0.0	0.0	7.34	7.75	12.0	3.72	10.96	178.77	10.71	5.73	31.45	22.43	0.65	17.25	31.45	31.9	22.43	6.46
KIF11	108.14	107.38	473.41	15.8	44.89	52.08	3.82	29.06	107.38	122.64	303.44	493.56	493.56	32.59	8.85	0.09	6.36	14.35	20.11	10.47	30.34	33.06	215.77	27.64	18.97	50.27	48.87	2.2	19.25	37.85	28.45	22.92	12.74
KIF15	58.3	96.68	143.01	15.8	18.56	45.53	7.75	39.22	58.71	43.32	212.78	289.02	289.02	76.17	15.45	3.86	6.52	7.4	9.2	6.84	6.52	7.51	90.77	4.46	3.08	68.55	53.95	2.89	29.7	16.15	22.59	19.39	8.19
KIF20A	93.35	193.01	660.68	2.2	30.78	52.82	0.74	15.8	88.26	493.56	291.04	1457.23	1457.23	22.75	26.86	0.52	3.82	5.19	14.67	4.5	5.23	25.54	275.28	11.04	7.4	19.53	25.35	4.39	22.43	32.82	30.12	27.05	9.78
KIF2C	155.5	299.25	262.2	31.9	78.34	78.89	10.88	54.72	137.14	563.18	1159.07	470.14	470.14	251.48	14.78	2.84	14.67	18.29	21.78	13.62	43.32	60.82	242.88	18.43	13.62	67.12	47.84	11.38	33.06	38.67	35.0	78.34	18.29
KIF4A	76.71	88.26	205.5	3.08	13.52	41.52	1.04	10.63	67.12	73.03	567.1	226.54	226.54	28.86	5.73	1.46	7.69	4.94	2.71	0.54	5.41	13.03	237.86	2.05	2.63	24.28	28.65	1.93	8.38	8.51	14.24	16.51	4.43
KIFC1	175.07	223.41	759.08	10.08	62.56	85.82	3.41	55.49	204.07	258.57	660.68	728.11	728.11	27.64	2.73	0.0	15.56	14.78	8.65	14.56	14.45	28.24	314.17	19.82	9.27	49.56	46.5	3.32	36.01	56.68	66.65	71.5	24.28
MELK	312.0	217.27	323.03	2.66	21.63	59.97	0.0	103.69	145.02	26.47	265.87	738.29	738.29	14.03	5.36	0.0	1.83	4.7	2.53	6.52	6.89	6.78	255.0	3.86	1.99	57.89	29.91	0.0	13.62	30.78	26.47	23.25	3.96
MLF1IP	273.37	80.01	764.36	17.64	187.71	46.5	28.65	228.13	197.09	53.57	500.46	547.75	547.75	10.24	20.41	6.46	15.8	20.11	39.5	24.28	41.22	32.36	417.77	26.28	33.54	237.86	175.07	12.27	30.56	51.71	54.33	32.13	36.27
MND1	126.12	52.08	403.5	56.28	49.21	59.13	8.0	54.33	81.14	35.0	92.05	291.04	291.04	30.78	12.93	8.38	13.03	21.78	22.92	0.0	24.99	41.81	104.42	11.04	26.47	57.89	37.05	10.55	23.59	16.88	24.46	35.76	22.59
MYBL2	392.44	743.43	124.37	3.53	36.79	41.22	0.71	92.7	264.03	1331.57	363.56	1950.0	1950.0	56.68	3.56	0.0	2.2	3.35	9.93	4.21	3.56	18.7	283.05	10.88	2.05	30.78	19.68	1.23	21.63	57.49	57.49	24.11	18.7
NCAPG	87.65	128.79	366.09	3.08	32.13	62.12	0.0	45.85	98.73	95.34	785.88	579.04	579.04	11.82	2.78	0.0	3.44	5.59	5.06	4.21	3.11	20.56	187.71	4.9	2.86	27.84	54.72	0.53	18.29	16.75	19.39	17.38	8.06
NCAPH	118.43	289.02	215.77	1.35	23.59	43.63	1.1	63.0	148.09	77.79	536.45	860.08	860.08	187.71	11.13	0.0	4.03	6.31	10.08	8.71	7.34	13.32	232.94	15.11	2.89	27.25	15.91	0.92	29.7	24.81	25.91	30.78	8.65
NEIL3	16.75	3.69	107.38	1.31	1.99	10.96	0.0	10.0	12.27	4.54	178.77	220.32	220.32	5.54	1.06	0.0	0.72	0.73	0.0	2.56	1.57	1.53	27.05	0.0	0.0	9.06	7.11	0.0	2.63	0.0	3.41	4.98	0.91
NUF2	381.68	262.2	232.94	3.56	15.0	47.84	3.38	80.01	72.52	71.0	532.74	808.0	808.0	161.02	22.75	1.38	3.82	11.38	6.26	1.83	9.63	20.86	161.02	14.24	7.17	111.21	28.24	2.51	21.47	33.3	14.03	16.15	8.85
NUSAP1	232.94	312.0	1407.55	11.47	54.33	162.14	8.99	142.01	251.48	638.15	884.29	1143.1	1143.1	63.0	21.16	1.41	14.03	20.86	37.85	44.89	39.79	55.1	981.29	61.25	15.22	111.99	108.9	11.21	71.0	102.97	122.64	102.97	14.78
PBK	109.66	74.58	429.54	2.2	57.49	83.45	3.56	66.65	139.07	81.14	239.52	599.49	599.49	36.27	7.28	0.0	4.43	5.68	9.48	0.0	8.06	19.39	260.38	5.73	9.85	161.02	23.59	0.29	14.78	14.03	12.64	21.78	4.78
PKMYT1	307.69	514.56	287.01	34.51	74.06	61.25	8.65	186.4	231.32	854.13	314.17	1498.22	1498.22	146.03	13.03	0.17	18.03	27.25	29.7	35.25	73.03	59.13	361.04	28.04	7.82	46.18	23.42	5.73	31.67	36.27	47.84	34.51	13.93
PLK1	194.36	202.66	438.59	20.41	155.5	163.28	12.0	61.68	334.46	890.44	547.75	1561.89	1561.89	154.42	11.47	0.88	23.08	18.84	9.13	12.0	15.8	28.86	265.87	16.27	1.39	120.94	55.1	14.56	84.04	61.68	59.97	67.12	28.86
PLK4	73.54	56.68	269.6	33.78	43.63	51.71	15.34	48.18	87.65	25.35	647.07	497.0	497.0	62.12	19.97	4.5	7.06	22.92	23.93	24.11	44.25	46.18	120.1	33.3	45.53	64.34	37.32	9.56	14.03	33.78	22.26	41.22	23.76
POC1A	118.43	244.57	417.77	27.64	71.5	96.68	12.55	105.89	121.79	150.17	122.64	181.28	181.28	25.35	28.04	7.06	20.11	35.76	37.05	28.65	40.07	68.07	204.07	40.93	37.85	87.65	32.59	8.65	37.05	20.71	24.28	31.22	29.91
POLQ	33.54	34.26	43.63	3.08	4.98	12.64	0.0	5.41	15.0	17.25	698.41	713.11	713.11	7.94	1.5	0.0	1.79	0.82	0.52	0.52	0.56	1.27	50.63	0.83	0.16	4.28	6.36	0.01	9.34	9.56	6.94	9.06	0.69
PRR11	106.63	87.03	397.93	16.27	55.1	37.05	8.06	33.3	87.03	249.73	303.44	599.49	599.49	74.58	20.71	9.63	10.31	20.86	24.28	13.62	12.27	28.86	195.72	13.93	8.71	40.07	39.79	4.98	34.75	82.87	38.12	43.63	15.22
RAD54L	81.71	96.68	175.07	13.62	52.45	43.02	10.71	55.1	76.71	139.07	438.59	156.59	156.59	143.01	7.94	2.56	9.2	16.63	4.74	7.4	6.73	9.27	146.03	9.41	3.5	20.26	35.76	12.45	12.27	28.04	23.59	18.7	9.93
RMI2	162.14	366.09	389.72	52.82	113.56	201.25	28.86	305.55	295.11	105.89	104.42	325.29	325.29	69.03	4.43	0.37	10.39	21.78	30.56	49.91	76.17	115.97	279.14	90.77	43.94	125.24	77.25	16.39	23.42	74.06	66.65	44.89	62.56
SGOL1	48.87	110.43	155.5	1.77	13.03	21.63	0.0	30.34	54.72	15.91	113.56	157.68	157.68	11.38	0.46	0.0	2.23	2.89	3.82	1.64	0.0	10.16	48.18	8.71	2.48	42.71	17.9	0.42	7.88	8.0	13.42	18.16	2.97
SHCBP1	77.79	157.68	438.59	7.06	48.87	28.86	3.32	68.07	69.03	334.46	802.41	595.34	595.34	42.41	40.93	0.92	14.67	9.63	12.93	8.32	14.24	14.24	93.35	4.1	12.93	35.25	17.13	2.23	19.39	26.67	22.75	11.47	14.56
SKA1	62.56	71.5	269.6	3.08	23.59	25.91	1.64	17.77	53.57	65.26	129.69	366.09	366.09	6.16	2.27	0.0	0.0	3.5	3.03	3.0	0.88	6.67	95.34	1.35	1.89	9.48	16.51	0.06	5.87	14.45	13.32	15.91	4.21
SKA3	56.28	93.35	189.02	5.68	11.73	22.26	1.36	24.28	117.6	18.7	35.5	825.0	825.0	11.04	0.83	0.0	1.22	4.21	6.11	7.51	8.45	5.28	86.43	12.0	3.06	21.94	15.11	4.21	24.63	20.41	13.83	16.63	5.19
SPAG5	271.48	587.13	493.56	47.17	66.65	108.9	16.63	68.07	246.28	447.82	961.07	1151.06	1151.06	175.07	29.06	18.56	17.25	28.24	28.86	17.25	24.63	28.24	305.55	30.12	9.2	113.56	106.63	16.03	43.94	85.82	48.52	49.56	27.44
TACC3	376.41	674.59	928.3	68.55	361.04	218.79	71.5	150.17	297.17	1111.82	1397.83	1508.65	1508.65	301.33	205.5	52.45	103.69	92.05	61.25	37.85	64.8	76.17	555.41	32.59	29.27	149.12	147.06	43.02	131.51	224.97	148.09	244.57	96.68
TAGLN	322736.12	327241.36	554180.87	623486.02	585779.24	869603.57	3113270.58	397335.0	301123.38	527933.71	313910.86	3665.02	3665.02	857631.47	677564.08	1703415.74	602247.76	731246.37	573724.06	565825.41	691801.16	565825.41	353168.2	485798.0	632189.57	475800.4	561916.97	485798.0	419990.32	619179.28	585779.24	610654.84	475800.4
TPX2	381.68	435.55	1008.9	6.16	23.08	107.38	4.21	23.25	267.73	423.61	1059.11	2720.15	2720.15	134.3	10.24	0.0	12.09	13.32	11.47	11.38	14.67	45.53	551.56	12.27	14.89	37.59	41.81	3.32	21.94	42.71	44.89	39.5	17.13
TROAP	265.87	723.08	363.56	4.86	14.89	162.14	0.88	113.56	183.82	249.73	915.51	1295.13	1295.13	46.5	5.5	0.0	10.71	6.21	5.19	7.82	15.8	14.67	314.17	10.39	2.71	149.12	9.56	14.14	43.32	46.5	25.91	44.57	9.78
TTK	84.04	94.67	264.03	2.23	5.87	56.28	0.36	33.78	85.82	59.55	92.05	435.55	435.55	12.18	0.08	0.0	7.82	8.19	3.66	3.06	3.2	28.65	144.01	2.41	2.43	37.59	25.72	1.23	7.34	10.24	14.35	4.46	12.27
UBE2C	1427.22	1963.57	1819.35	7.94	35.25	277.2	6.46	133.36	915.51	1175.27	444.72	1498.22	1498.22	128.79	6.84	0.0	9.48	29.91	43.63	21.01	16.15	20.56	1088.92	25.54	13.62	332.14	44.57	3.11	46.18	133.36	81.71	99.43	33.3
