	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.AR.A2LQ.01A.22R.A18M.07	GTEX.ZF2S.2026.SM.5E461	GTEX.TML8.0726.SM.4DXTT	TCGA.CN.6016.01A.11R.1686.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.B0.4696.01A.01R.1277.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.85.6175.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31
CTD-2583A14.10	17.51	33.78	88.26	88.26	74.06	63.89	43.32	102.97	73.03	36.27	32.36	5.19	90.77	39.22	153.34	18.97	11.91	38.67	7.0	0.0	58.71	134.3
DBT	24.63	72.52	206.94	190.34	120.1	164.42	74.58	173.85	314.17	87.03	84.63	68.55	126.12	105.15	182.55	56.68	94.01	55.89	65.26	90.77	137.14	137.14
DMTF1	346.29	587.13	759.08	583.07	392.44	379.04	728.11	718.08	1331.57	665.29	206.94	483.38	728.11	381.68	1369.04	226.54	170.25	214.27	121.79	31.22	633.73	896.64
DR1	441.64	595.34	988.12	1073.91	684.02	896.64	802.41	866.07	896.64	612.11	802.41	769.69	1030.12	808.0	1127.35	236.21	334.46	291.04	208.38	209.84	878.17	607.87
EFCAB13	19.53	24.46	53.57	47.5	47.5	36.01	37.85	64.8	63.89	93.35	2.81	33.06	43.63	25.54	95.34	19.25	9.7	15.34	31.22	7.82	64.34	28.24
ELMO2	368.65	669.92	780.44	1191.69	599.49	651.58	674.59	651.58	555.41	830.75	511.0	460.44	595.34	547.75	1208.34	325.29	229.72	325.29	253.23	199.85	928.3	642.59
ERCC6L2	81.14	208.38	607.87	273.37	269.6	287.01	256.78	426.57	728.11	441.64	186.4	100.83	260.38	309.83	332.14	31.67	36.27	105.15	69.52	25.91	279.14	366.09
FAM120A	753.83	1104.13	1832.01	1583.71	1674.06	2032.85	1388.16	1733.13	1832.01	1359.57	1331.57	1037.29	1407.55	1519.15	1397.83	947.83	1001.93	928.3	961.07	665.29	1551.09	2319.15
FAN1	74.06	129.69	248.0	143.01	148.09	206.94	156.59	267.73	483.38	255.0	74.58	118.43	133.36	115.16	466.88	87.03	105.89	98.04	78.34	103.69	212.78	287.01
FLJ00104	10.16	18.43	26.1	18.7	14.03	11.64	19.82	19.82	64.8	33.78	12.36	8.71	16.15	17.0	35.0	15.34	10.63	6.89	9.56	5.92	24.28	37.05
GOLGA8Q	4.28	5.15	38.12	34.26	19.25	14.56	5.82	12.55	27.64	9.63	0.0	0.0	6.16	9.2	52.08	0.0	0.0	0.0	0.0	0.0	45.85	10.39
GTF2A1	127.0	223.41	525.39	480.04	303.44	483.38	279.14	466.88	551.56	358.54	251.48	212.78	397.93	260.38	642.59	102.25	104.42	123.5	92.7	92.7	400.71	323.03
GZF1	100.83	131.51	638.15	198.47	301.33	180.02	208.38	182.55	237.86	256.78	127.0	136.19	180.02	106.63	346.29	82.29	69.03	100.83	63.0	56.28	301.33	154.42
HMGXB4	120.1	164.42	426.57	397.93	204.07	341.51	205.5	389.72	420.68	279.14	166.73	170.25	351.14	241.19	318.57	71.0	53.95	70.01	68.07	40.93	289.02	329.84
IFT46	470.14	503.95	728.11	665.29	563.18	616.37	483.38	529.06	1639.59	974.5	363.56	287.01	525.39	435.55	764.36	59.55	46.18	63.89	68.07	176.29	450.94	457.25
IKBKAP	186.4	229.72	503.95	376.41	279.14	368.65	318.57	329.84	432.53	297.17	224.97	224.97	323.03	237.86	332.14	193.01	228.13	211.31	264.03	206.94	316.37	406.31
INPP5B	141.02	194.36	301.33	273.37	205.5	155.5	217.27	253.23	620.67	309.83	146.03	143.01	164.42	144.01	215.77	68.55	92.05	77.79	80.01	118.43	264.03	376.41
INTS2	21.01	62.12	332.14	86.43	84.04	123.5	63.45	110.43	217.27	55.1	49.91	55.89	61.68	74.58	134.3	20.26	21.01	21.16	16.03	21.16	120.1	102.25
IPO7	583.07	878.17	884.29	896.64	854.13	1259.69	866.07	1191.69	961.07	603.67	738.29	674.59	825.0	764.36	1143.1	226.54	303.44	303.44	217.27	180.02	1001.93	1073.91
KIAA0586	96.01	178.77	260.38	343.89	201.25	190.34	130.6	209.84	366.09	150.17	115.97	148.09	224.97	112.77	381.68	90.14	114.36	94.01	101.54	22.75	205.5	204.07
KLHL8	58.71	71.0	253.23	146.03	115.97	136.19	105.15	198.47	201.25	215.77	91.41	76.71	73.03	81.14	162.14	55.49	53.19	93.35	83.45	53.95	177.53	151.22
LRIG2	66.18	81.14	185.11	120.1	113.56	120.1	71.5	134.3	175.07	96.68	72.52	90.77	47.17	54.72	231.32	26.86	20.26	33.06	29.27	13.22	153.34	152.28
LRRC40	104.42	120.1	237.86	204.07	164.42	193.01	159.9	221.86	246.28	177.53	117.6	171.45	198.47	99.43	264.03	80.57	97.36	97.36	82.29	60.82	158.79	234.57
MEF2A	309.83	486.75	1001.93	400.71	500.46	540.19	480.04	733.19	674.59	703.28	693.58	260.38	518.15	441.64	819.3	183.82	131.51	221.86	152.28	110.43	559.28	616.37
MON2	232.94	248.0	583.07	447.82	249.73	429.54	395.18	547.75	733.19	395.18	158.79	202.66	239.52	224.97	490.14	177.53	194.36	178.77	145.02	158.79	356.05	473.41
NCOR1	486.75	723.08	1242.34	860.08	1286.18	974.5	723.08	1059.11	1498.22	1096.5	603.67	511.0	947.83	836.53	1313.23	397.93	563.18	583.07	457.25	348.71	1104.13	1709.26
NFATC3	183.82	229.72	500.46	307.69	318.57	277.2	285.03	305.55	595.34	293.07	258.57	162.14	384.34	295.11	463.65	94.01	59.13	87.65	68.07	82.29	414.87	373.81
NXPE3	77.79	115.16	305.55	299.25	133.36	559.28	157.68	173.85	244.57	166.73	141.02	108.9	165.57	209.84	579.04	18.16	5.87	9.78	8.85	13.12	165.57	149.12
PDCD7	271.48	275.28	368.65	204.07	285.03	287.01	297.17	295.11	460.44	454.09	156.59	223.41	211.31	202.66	376.41	140.04	104.42	149.12	127.0	66.65	260.38	305.55
POGZ	249.73	497.0	775.05	1088.92	842.36	575.03	547.75	928.3	1583.71	713.11	291.04	297.17	361.04	316.37	1096.5	309.83	139.07	236.21	218.79	158.79	638.15	1059.11
POM121	267.73	316.37	583.07	480.04	612.11	497.0	356.05	571.05	493.56	397.93	361.04	202.66	336.79	454.09	753.83	255.0	144.01	197.09	144.01	371.22	551.56	651.58
POM121C	366.09	358.54	743.43	480.04	567.1	620.67	403.5	511.0	638.15	309.83	384.34	297.17	353.59	470.14	860.08	336.79	197.09	201.25	170.25	285.03	748.61	915.51
PPP1R12A	244.57	830.75	974.5	559.28	486.75	514.56	633.73	791.35	1250.98	780.44	406.31	423.61	547.75	327.56	660.68	106.63	75.11	105.15	91.41	30.34	713.11	1259.69
PTAR1	82.87	148.09	457.25	218.79	214.27	251.48	199.85	295.11	457.25	110.43	132.44	83.45	165.57	157.68	229.72	76.17	67.12	67.59	76.17	59.13	232.94	325.29
PTCD3	339.14	507.46	764.36	698.41	466.88	532.74	466.88	633.73	967.76	429.54	348.71	361.04	536.45	397.93	967.76	353.59	463.65	301.33	356.05	379.04	759.08	723.08
PXK	264.03	599.49	397.93	417.77	358.54	387.02	389.72	414.87	412.0	2148.82	275.28	246.28	277.2	293.07	366.09	143.01	108.14	170.25	141.02	52.45	420.68	395.18
RBM12B	25.72	90.77	297.17	249.73	138.1	190.34	142.01	215.77	363.56	142.01	82.29	46.84	132.44	45.85	256.78	50.98	33.54	23.25	18.43	17.25	206.94	181.28
RBM23	656.11	902.89	1407.55	1225.22	988.12	1175.27	1250.98	1030.12	1857.6	1407.55	708.18	656.11	961.07	1030.12	1417.35	708.18	327.56	329.84	547.75	656.11	1191.69	928.3
RCOR1	155.5	187.71	447.82	356.05	236.21	271.48	234.57	358.54	483.38	170.25	293.07	164.42	384.34	351.14	507.46	101.54	99.43	102.97	85.22	72.52	339.14	275.28
RNF11	848.22	1322.37	3540.14	2351.53	1733.13	3103.19	1183.45	2148.82	2915.45	2104.58	1963.57	1268.46	2163.77	1583.71	2209.26	406.31	417.77	607.87	529.06	728.11	1639.59	1378.57
SAV1	420.68	376.41	1119.56	647.07	620.67	620.67	536.45	878.17	1268.46	769.69	316.37	356.05	483.38	426.57	728.11	138.1	102.97	229.72	143.01	186.4	633.73	656.11
SCAI	21.63	25.72	77.79	46.5	48.18	43.32	25.54	57.08	150.17	38.67	17.9	21.16	25.35	32.82	79.45	14.67	7.4	14.67	8.38	7.34	42.11	79.45
SEL1L	246.28	503.95	1044.52	1104.13	665.29	1561.89	688.78	1304.15	1977.24	460.44	511.0	414.87	791.35	591.22	947.83	444.72	384.34	595.34	473.41	511.0	934.76	728.11
SENP1	68.07	144.01	283.05	229.72	202.66	211.31	181.28	191.67	285.03	185.11	155.5	108.14	193.01	165.57	249.73	53.57	27.25	44.25	30.12	22.59	215.77	215.77
SENP5	221.86	205.5	281.09	348.71	199.85	262.2	237.86	293.07	303.44	152.28	242.88	175.07	301.33	273.37	547.75	103.69	100.83	127.89	97.36	60.39	271.48	220.32
SNX16	110.43	111.99	265.87	201.25	165.57	195.72	105.89	176.29	441.64	209.84	176.29	104.42	215.77	194.36	190.34	88.26	72.52	94.01	97.36	17.51	189.02	183.82
TAF1	149.12	208.38	483.38	457.25	320.8	291.04	249.73	429.54	791.35	353.59	190.34	215.77	262.2	264.03	521.76	88.88	70.51	108.9	48.52	39.79	497.0	291.04
TBC1D20	473.41	591.22	2255.7	703.28	540.19	575.03	620.67	603.67	638.15	607.87	503.95	567.1	629.35	587.13	928.3	353.59	336.79	559.28	293.07	248.0	679.29	703.28
TBCCD1	167.9	165.57	275.28	291.04	204.07	339.14	242.88	215.77	327.56	190.34	161.02	191.67	281.09	249.73	426.57	78.34	105.89	81.71	91.41	92.7	258.57	206.94
TFCP2	197.09	414.87	583.07	503.95	379.04	518.15	429.54	486.75	860.08	974.5	303.44	305.55	438.59	395.18	633.73	129.69	152.28	132.44	133.36	120.94	444.72	371.22
TMED8	50.98	88.88	197.09	180.02	165.57	161.02	125.24	164.42	361.04	185.11	66.65	80.57	114.36	102.97	217.27	31.9	20.56	23.42	19.97	23.93	145.02	127.89
TMEM67	63.45	68.55	217.27	159.9	110.43	142.01	114.36	151.22	226.54	131.51	63.0	62.12	113.56	90.14	214.27	23.76	23.93	20.41	15.45	6.01	147.06	189.02
TNPO1	267.73	397.93	988.12	743.43	665.29	974.5	665.29	974.5	1199.98	318.57	454.09	307.69	674.59	656.11	1268.46	157.68	231.32	195.72	170.25	116.78	878.17	988.12
TOP3B	149.12	260.38	379.04	301.33	173.85	212.78	269.6	264.03	318.57	244.57	258.57	211.31	366.09	202.66	503.95	211.31	193.01	182.55	173.85	136.19	368.65	267.73
TRMT13	74.06	108.14	220.32	140.04	74.58	104.42	145.02	173.85	376.41	190.34	73.54	127.89	107.38	92.7	312.0	81.71	61.68	71.0	65.72	11.55	155.5	224.97
TRPM7	101.54	190.34	420.68	223.41	212.78	325.29	234.57	307.69	417.77	191.67	119.26	125.24	170.25	172.65	356.05	111.21	115.16	159.9	176.29	46.84	269.6	351.14
TTC5	116.78	153.34	242.88	343.89	232.94	186.4	271.48	253.23	395.18	400.71	180.02	163.28	258.57	202.66	432.53	85.22	80.57	70.01	44.89	90.77	248.0	223.41
UBE3A	389.72	444.72	860.08	703.28	591.22	759.08	514.56	866.07	1477.58	624.99	363.56	307.69	493.56	511.0	728.11	215.77	249.73	249.73	251.48	134.3	532.74	775.05
UBN2	21.01	60.39	118.43	82.87	53.19	100.83	62.12	90.14	195.72	77.79	35.25	38.4	45.85	54.33	103.69	28.86	15.11	21.16	17.25	9.78	78.89	99.43
USP48	318.57	476.71	802.41	599.49	423.61	384.34	432.53	718.08	1044.52	480.04	351.14	483.38	500.46	384.34	842.36	176.29	242.88	244.57	198.47	155.5	638.15	624.99
WDR36	150.17	120.1	218.79	197.09	167.9	215.77	226.54	217.27	334.46	175.07	162.14	76.71	183.82	163.28	258.57	81.14	68.07	109.66	59.55	69.52	244.57	241.19
YLPM1	397.93	490.14	775.05	620.67	507.46	728.11	559.28	748.61	1277.29	532.74	435.55	336.79	612.11	384.34	759.08	197.09	190.34	180.02	142.01	141.02	718.08	708.18
YY1	819.3	961.07	1407.55	1628.26	947.83	1304.15	1191.69	1183.45	1467.37	1183.45	1001.93	854.13	1350.18	813.63	2417.67	620.67	647.07	728.11	579.04	417.77	1277.29	967.76
ZFAND3	1008.9	1844.76	2367.9	1721.16	1397.83	2224.63	1529.73	2351.53	2319.15	1259.69	954.43	1378.57	1857.6	1508.65	2502.97	733.19	1225.22	1378.57	764.36	842.36	1540.37	1369.04
ZMYM1	34.51	72.52	147.06	161.02	99.43	120.1	66.65	145.02	176.29	120.94	43.63	68.55	128.79	47.17	157.68	30.78	26.47	28.86	37.59	7.28	109.66	214.27
ZMYM3	118.43	215.77	327.56	403.5	332.14	269.6	217.27	281.09	500.46	279.14	217.27	258.57	305.55	211.31	651.58	181.28	139.07	180.02	120.94	136.19	371.22	563.18
ZNF134	92.7	175.07	329.84	293.07	205.5	209.84	224.97	177.53	521.76	154.42	77.79	95.34	260.38	99.43	493.56	43.94	8.06	28.45	33.78	38.95	224.97	173.85
ZNF141	42.41	85.22	135.24	90.14	85.82	85.22	72.01	124.37	224.97	124.37	48.87	43.02	78.89	47.17	199.85	10.96	17.9	21.32	32.82	8.65	135.24	135.24
ZNF212	125.24	204.07	217.27	212.78	199.85	199.85	248.0	204.07	309.83	373.81	157.68	170.25	173.85	190.34	293.07	144.01	93.35	110.43	82.87	95.34	206.94	152.28
ZNF266	147.06	269.6	420.68	438.59	264.03	336.79	438.59	283.05	785.88	195.72	273.37	164.42	251.48	150.17	297.17	141.02	22.59	84.04	62.12	43.32	323.03	281.09
ZNF304	39.22	77.79	234.57	197.09	115.16	154.42	119.26	175.07	409.15	61.25	105.89	49.91	104.42	43.94	289.02	36.53	5.77	16.63	12.27	20.86	117.6	115.16
ZNF324	108.14	80.01	150.17	136.19	166.73	113.56	83.45	178.77	172.65	116.78	136.19	41.22	105.89	84.63	171.45	49.21	70.51	71.5	50.98	50.27	96.68	126.12
ZNF41	32.59	83.45	175.07	151.22	111.21	125.24	111.99	147.06	208.38	144.01	58.71	55.1	89.51	66.18	253.23	31.0	14.35	32.82	18.56	13.52	114.36	116.78
ZNF460	14.24	19.11	49.56	42.71	18.97	23.42	35.5	33.78	44.25	10.31	23.25	22.26	37.59	42.11	94.01	2.97	1.99	7.94	6.26	8.58	42.11	145.02
ZNF528	125.24	138.1	366.09	392.44	211.31	165.57	178.77	327.56	1088.92	29.27	92.05	180.02	273.37	212.78	417.77	74.58	18.84	12.93	26.67	17.0	231.32	176.29
ZNF529	84.04	81.71	178.77	123.5	96.68	141.02	143.01	149.12	204.07	103.69	52.08	55.49	84.04	39.5	163.28	39.22	23.76	46.84	40.64	25.72	120.94	214.27
ZNF543	20.86	35.0	114.36	76.17	85.82	54.33	41.81	77.79	186.4	37.59	37.59	28.45	62.12	26.86	88.88	10.08	1.66	9.7	7.69	5.41	62.56	87.65
ZNF548	72.52	120.1	426.57	271.48	231.32	209.84	205.5	320.8	387.02	133.36	171.45	86.43	183.82	105.15	575.03	43.63	17.38	30.56	22.59	53.19	264.03	244.57
ZNF551	20.26	42.41	100.83	73.54	56.28	59.13	64.34	66.65	158.79	53.95	26.28	12.55	102.97	31.22	128.79	26.86	3.11	15.22	7.06	12.09	62.56	84.04
ZNF609	85.22	258.57	497.0	242.88	248.0	309.83	201.25	444.72	417.77	164.42	236.21	151.22	283.05	258.57	476.71	55.49	49.56	78.89	68.07	75.64	406.31	293.07
ZNF766	110.43	202.66	412.0	325.29	220.32	293.07	224.97	318.57	500.46	258.57	175.07	153.34	218.79	118.43	387.02	83.45	68.07	77.25	48.18	48.52	255.0	228.13
ZNF789	109.66	111.21	198.47	211.31	139.07	133.36	153.34	149.12	379.04	231.32	87.03	114.36	134.3	87.03	363.56	100.83	70.51	80.01	92.05	47.84	157.68	167.9
ZNF805	15.11	26.86	100.83	74.58	48.87	69.03	29.7	94.01	111.99	31.45	50.27	17.51	60.39	31.0	108.9	6.89	11.21	24.46	6.67	8.99	71.5	86.43
ZSCAN31	35.5	127.89	231.32	412.0	158.79	312.0	119.26	171.45	679.29	329.84	155.5	89.51	220.32	129.69	486.75	26.28	43.32	72.52	59.97	50.27	242.88	190.34
ZSWIM1	93.35	157.68	206.94	232.94	120.1	171.45	153.34	158.79	255.0	106.63	156.59	82.29	239.52	80.57	273.37	104.42	61.25	66.65	63.0	49.56	201.25	241.19
ZZZ3	148.09	275.28	748.61	457.25	389.72	525.39	287.01	490.14	1175.27	412.0	153.34	265.87	341.51	187.71	497.0	133.36	122.64	180.02	154.42	88.88	387.02	444.72
