	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.95.7043.01A.11R.1949.07	TCGA.91.6836.11A.01R.1858.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.1313W.0926.SM.5EQ56	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.13OW5.0726.SM.5KLZK	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.147JS.1226.SM.5RQK4	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.WVJS.0826.SM.4MVNR	GTEX.131XE.0726.SM.5HL9K	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.14A6H.0526.SM.5NQAZ	GTEX.144GO.0226.SM.5LUB1	TCGA.18.3411.01A.01R.0980.07	TCGA.77.8007.11A.01R.2187.07
ATP10A	46.84	36.27	66.18	60.82	12.45	26.86	27.25	16.75	8.58	14.35	6.01	6.67	2.46	15.56	5.73	36.53	4.31	2.36	15.91	1.68	13.42	4.78	11.82	28.24	5.59	2.39	57.89	25.72	28.65	1.79	12.93	43.63	3.14	13.12	3.69	3.86	3.66	37.85	2.97	3.59	10.47	13.32	0.78	129.69	7.94	40.64	291.04	81.71	307.69	3257.52	128.79	52.08	381.68	363.56	555.41	29.91	66.65	55.1	1015.93	571.05	87.03	130.6	171.45	229.72	265.87	234.57	878.17	58.71	173.85	567.1	651.58	153.34	607.87	248.0	1583.71	10.47	187.71
ATP1B3	8598.28	2319.15	2997.45	2935.74	2816.11	2209.26	1242.34	921.88	1397.83	961.07	323.03	4358.66	447.82	1388.16	728.11	1909.85	1268.46	314.17	1242.34	438.59	279.14	1551.09	547.75	1111.82	796.86	2573.36	1044.52	2502.97	1583.71	483.38	713.11	2485.67	133.36	193.01	118.43	493.56	131.51	151.22	224.97	191.67	88.88	429.54	180.02	3794.3	1295.13	2104.58	3372.43	3395.89	5594.3	10225.32	2287.2	5076.84	3325.99	4903.87	25887.07	2895.31	2720.15	2384.37	16157.44	3018.3	4450.27	3540.14	28328.16	2335.28	7642.41	2303.12	4123.49	1733.13	2119.22	1781.89	16383.0	36864.92	38430.46	3820.7	10084.54	8538.88	4152.18
ATP2B4	1709.26	432.53	607.87	769.69	432.53	563.18	583.07	698.41	1909.85	348.71	211.31	389.72	295.11	463.65	285.03	738.29	587.13	156.59	3690.52	140.04	281.09	187.71	463.65	503.95	514.56	206.94	493.56	271.48	791.35	69.52	348.71	902.89	320.8	339.14	70.51	397.93	148.09	232.94	265.87	208.38	114.36	346.29	180.02	1757.34	246.28	159.9	1407.55	1183.45	665.29	1277.29	1250.98	909.17	1030.12	1651.0	4769.75	2287.2	796.86	1662.49	1757.34	624.99	1277.29	1023.0	2018.8	988.12	890.44	1037.29	1066.48	1295.13	1159.07	733.19	7695.57	728.11	3257.52	866.07	4268.94	480.04	1051.79
BCL6B	139.07	32.59	37.85	301.33	29.06	150.17	131.51	242.88	26.47	141.02	70.01	50.27	111.21	96.68	75.64	105.89	88.88	44.57	103.69	78.34	77.79	42.71	141.02	305.55	93.35	22.1	72.52	50.27	295.11	27.64	81.14	246.28	31.22	29.27	37.32	72.01	21.94	26.28	54.72	45.53	14.67	131.51	26.28	567.1	153.34	136.19	314.17	224.97	170.25	813.63	237.86	169.07	351.14	234.57	1030.12	356.05	307.69	258.57	733.19	307.69	366.09	376.41	540.19	148.09	150.17	232.94	152.28	397.93	713.11	96.68	1781.89	353.59	688.78	595.34	1059.11	33.78	412.0
BHLHE22	44.57	1.83	2.39	4.58	1.35	9.06	17.38	14.14	0.0	9.13	0.0	2.71	0.55	11.73	7.0	0.83	4.9	1.13	6.46	0.0	7.22	1.14	9.56	11.38	0.0	0.39	1.46	0.4	29.27	0.72	3.5	33.78	4.28	13.03	5.36	5.92	6.06	8.71	3.44	9.78	4.31	33.3	0.0	23.08	11.38	12.18	13.83	9.41	10.79	87.65	26.28	171.45	77.25	27.25	138.1	57.49	77.79	22.75	105.15	15.8	30.12	52.82	91.41	9.85	25.17	26.47	53.57	34.51	29.06	32.36	55.1	26.28	26.86	36.79	72.52	8.32	28.24
C11orf30	228.13	113.56	83.45	128.79	70.01	50.27	73.54	85.22	100.13	59.97	61.25	76.71	79.45	33.78	24.28	85.82	43.63	68.07	62.12	68.07	76.17	47.5	40.36	123.5	105.89	48.52	71.5	77.25	66.65	42.11	82.87	99.43	98.73	37.59	59.13	73.03	54.33	53.19	68.55	46.5	52.08	82.29	60.82	165.57	115.97	234.57	236.21	180.02	209.84	269.6	171.45	256.78	199.85	209.84	351.14	332.14	175.07	158.79	327.56	127.0	149.12	180.02	309.83	172.65	202.66	151.22	199.85	214.27	155.5	129.69	543.96	323.03	507.46	181.28	353.59	163.28	176.29
C1orf116	87.65	29.27	20.56	18.16	124.37	90.14	19.68	3.38	19.39	4.94	1.36	17.51	5.54	128.79	2.92	33.78	0.52	2.78	2.76	0.0	10.47	14.89	10.16	1.33	1.19	4.74	37.32	36.01	5.73	0.43	2.73	16.27	0.0	44.89	0.97	43.63	6.01	24.28	24.99	45.21	6.21	234.57	10.55	1721.16	5.82	733.19	2400.97	1286.18	693.58	866.07	4038.61	81.71	1143.1	1073.91	6516.03	438.59	1135.2	1628.26	842.36	3060.45	1769.57	748.61	127.0	2148.82	2609.3	5219.6	2645.74	825.0	6792.79	5366.37	224.97	748.61	234.57	1529.73	1769.57	68.55	1304.15
C1orf198	748.61	214.27	543.96	1143.1	392.44	490.14	1397.83	693.58	529.06	1350.18	249.73	397.93	295.11	674.59	785.88	400.71	629.35	206.94	733.19	120.94	708.18	329.84	759.08	403.5	332.14	228.13	559.28	559.28	884.29	228.13	603.67	435.55	232.94	255.0	67.59	170.25	129.69	143.01	175.07	96.01	78.34	532.74	127.0	1225.22	316.37	669.92	2573.36	884.29	947.83	1529.73	1651.0	1111.82	1081.39	2468.49	3212.66	1175.27	1015.93	1111.82	3168.41	1508.65	890.44	1685.71	3018.3	2133.97	303.44	1467.37	3018.3	1359.57	2104.58	1457.23	4639.29	1407.55	3103.19	1977.24	1819.35	426.57	693.58
CALCOCO1	785.88	1594.73	1950.0	1508.65	1540.37	1857.6	713.11	836.53	629.35	525.39	426.57	518.15	669.92	669.92	536.45	1417.35	473.41	1457.23	595.34	2835.7	579.04	397.93	878.17	1268.46	2178.83	507.46	1572.76	1175.27	974.5	708.18	1350.18	974.5	947.83	1008.9	1001.93	915.51	808.0	1030.12	1037.29	1037.29	1407.55	1844.76	1044.52	3491.39	872.1	769.69	4419.52	2004.85	2935.74	4210.15	2777.33	3901.01	2240.11	3124.78	4239.45	3768.09	2075.59	1662.49	2935.74	4869.99	1322.37	3589.58	2956.17	2555.58	3146.52	4095.0	4869.99	3103.19	2468.49	5403.7	2875.3	5255.91	3665.02	2682.69	5594.3	500.46	1977.24
CAPN7	454.09	301.33	368.65	173.85	166.73	87.03	177.53	226.54	301.33	170.25	139.07	175.07	181.28	129.69	187.71	218.79	162.14	221.86	161.02	228.13	214.27	249.73	138.1	246.28	397.93	164.42	228.13	275.28	190.34	130.6	256.78	177.53	224.97	275.28	220.32	129.69	187.71	190.34	189.02	171.45	165.57	224.97	273.37	327.56	281.09	289.02	406.31	371.22	277.2	356.05	314.17	466.88	336.79	420.68	571.05	579.04	236.21	156.59	329.84	248.0	341.51	358.54	447.82	320.8	113.56	334.46	376.41	293.07	314.17	318.57	480.04	629.35	480.04	327.56	575.03	228.13	314.17
CBL	669.92	100.13	71.0	128.79	82.29	49.56	47.5	34.51	60.39	38.12	26.1	38.12	37.59	26.67	21.01	55.89	16.27	14.78	37.32	31.0	24.28	40.93	20.71	66.18	38.95	17.9	31.67	42.11	48.52	19.39	28.04	92.7	22.1	21.63	14.67	37.59	10.55	24.99	36.79	28.24	11.73	66.18	30.34	187.71	39.22	82.29	167.9	78.89	97.36	297.17	144.01	69.03	157.68	258.57	260.38	234.57	95.34	88.26	224.97	102.97	145.02	147.06	163.28	71.0	80.01	103.69	167.9	221.86	145.02	108.9	599.49	66.18	231.32	190.34	339.14	49.56	90.14
CFLAR	2591.27	1583.71	1519.15	1388.16	764.36	1208.34	825.0	693.58	802.41	890.44	518.15	1059.11	460.44	638.15	775.05	1066.48	688.78	785.88	647.07	414.87	575.03	543.96	567.1	769.69	988.12	334.46	934.76	2224.63	884.29	723.08	460.44	1388.16	753.83	1044.52	384.34	713.11	473.41	642.59	575.03	743.43	884.29	1059.11	518.15	2163.77	2777.33	2627.46	3060.45	1844.76	2758.13	2255.7	1857.6	2224.63	1498.22	2319.15	9740.98	5872.48	1909.85	2485.67	3325.99	1733.13	2451.44	2224.63	6887.62	2209.26	1781.89	2485.67	2287.2	1697.45	2133.97	2255.7	10808.41	3639.7	8191.0	1794.29	8022.41	1111.82	2271.4
CHSY1	1295.13	218.79	273.37	312.0	133.36	211.31	120.1	92.05	57.49	91.41	29.91	56.28	18.43	68.07	76.17	175.07	60.82	50.63	103.69	43.02	78.89	156.59	64.34	221.86	60.82	17.13	68.07	56.28	215.77	24.81	57.89	186.4	133.36	80.57	78.89	84.04	53.95	75.64	53.19	60.39	43.32	170.25	102.97	301.33	115.97	265.87	441.64	435.55	395.18	941.27	435.55	693.58	915.51	454.09	713.11	435.55	486.75	435.55	825.0	395.18	435.55	612.11	2664.15	271.48	493.56	249.73	264.03	514.56	373.81	208.38	2075.59	563.18	954.43	587.13	1487.87	406.31	647.07
CLEC1A	69.52	28.24	20.86	84.63	17.9	84.63	37.85	37.59	6.89	31.67	14.78	30.34	14.67	29.27	21.94	33.54	19.25	9.56	16.63	24.46	19.68	8.65	17.25	69.03	15.8	1.58	26.86	10.0	68.55	25.91	28.86	80.01	113.56	173.85	15.0	44.57	21.94	190.34	27.84	45.21	26.86	41.22	115.97	242.88	17.0	47.5	265.87	228.13	215.77	518.15	145.02	135.24	157.68	358.54	780.44	241.19	226.54	125.24	518.15	122.64	248.0	249.73	947.83	90.77	114.36	113.56	220.32	493.56	231.32	120.94	1388.16	332.14	633.73	387.02	748.61	33.3	264.03
CLIC5	121.79	5.82	24.28	141.02	26.28	5.82	21.16	19.39	0.84	14.78	3.76	4.9	3.2	5.92	4.31	41.22	3.82	2.14	14.56	0.47	3.06	1.14	2.78	18.03	4.24	2.41	11.91	0.73	38.67	2.81	9.93	36.53	1.27	0.75	7.46	4.1	3.5	7.88	0.22	2.51	0.83	15.8	2.58	665.29	33.54	15.22	1662.49	902.89	713.11	3124.78	6037.61	13.52	123.5	1369.04	4802.93	214.27	651.58	1685.71	813.63	1096.5	387.02	444.72	890.44	1651.0	163.28	2193.99	543.96	563.18	738.29	647.07	6294.04	698.41	3103.19	2104.58	3901.01	4.74	921.88
CRISPLD2	5292.48	89.51	438.59	371.22	123.5	353.59	215.77	198.47	28.04	320.8	22.26	22.92	10.24	114.36	65.72	73.03	113.56	15.91	71.5	29.27	125.24	16.88	78.34	334.46	20.86	18.43	28.86	13.72	262.2	27.05	51.71	466.88	35.5	172.65	48.52	71.5	34.02	67.12	28.04	64.34	42.71	480.04	24.28	583.07	214.27	441.64	329.84	638.15	559.28	902.89	297.17	1651.0	547.75	981.29	3018.3	896.64	536.45	525.39	1427.22	733.19	463.65	1135.2	6887.62	974.5	599.49	297.17	400.71	624.99	441.64	743.43	1407.55	954.43	2875.3	267.73	3540.14	265.87	836.53
CRTC3	323.03	228.13	271.48	366.09	199.85	221.86	182.55	161.02	107.38	189.02	90.14	119.26	171.45	147.06	118.43	180.02	101.54	176.29	172.65	169.07	105.89	165.57	149.12	293.07	122.64	81.14	141.02	90.14	193.01	61.25	127.89	289.02	218.79	190.34	94.67	96.01	78.34	114.36	100.13	118.43	123.5	215.77	118.43	395.18	177.53	236.21	493.56	371.22	336.79	417.77	432.53	368.65	438.59	543.96	435.55	769.69	420.68	189.02	507.46	332.14	363.56	511.0	1295.13	665.29	241.19	358.54	381.68	555.41	332.14	466.88	825.0	607.87	854.13	536.45	909.17	327.56	356.05
CRY1	660.68	204.07	275.28	166.73	134.3	81.14	133.36	127.0	191.67	120.94	189.02	127.89	125.24	101.54	169.07	98.73	100.13	124.37	149.12	121.79	120.1	92.05	126.12	154.42	182.55	204.07	98.04	98.73	151.22	49.91	94.67	249.73	102.97	153.34	153.34	110.43	197.09	130.6	204.07	161.02	153.34	177.53	229.72	373.81	226.54	204.07	305.55	432.53	329.84	647.07	281.09	275.28	271.48	444.72	728.11	397.93	175.07	204.07	551.56	208.38	289.02	301.33	647.07	341.51	202.66	262.2	287.01	417.77	366.09	285.03	1583.71	301.33	842.36	395.18	674.59	285.03	295.11
CRYBG3	234.57	124.37	69.52	122.64	53.95	27.44	92.05	108.9	198.47	66.18	66.18	60.39	21.47	52.08	73.03	98.04	57.08	71.0	72.52	13.32	60.39	59.13	38.67	152.28	105.15	90.77	53.19	34.75	111.21	35.25	100.13	172.65	76.71	23.76	12.45	53.95	13.03	45.21	61.68	51.35	57.89	76.71	44.89	327.56	51.35	511.0	299.25	205.5	246.28	358.54	265.87	373.81	128.79	389.72	389.72	289.02	220.32	190.34	314.17	279.14	159.9	358.54	384.34	89.51	157.68	234.57	301.33	332.14	212.78	224.97	283.05	336.79	264.03	343.89	314.17	63.45	228.13
CTTNBP2NL	836.53	236.21	181.28	167.9	136.19	94.67	62.12	50.27	50.98	56.28	27.25	42.41	19.11	35.0	28.24	70.01	26.47	18.29	38.4	28.86	36.01	45.21	38.95	76.17	95.34	38.95	35.5	57.49	97.36	18.29	31.45	153.34	16.03	17.64	17.13	94.67	12.09	21.32	30.56	64.34	31.9	120.94	39.5	209.84	129.69	115.97	346.29	209.84	249.73	228.13	420.68	236.21	256.78	299.25	444.72	438.59	194.36	163.28	289.02	187.71	253.23	314.17	540.19	470.14	109.66	307.69	159.9	283.05	301.33	214.27	1030.12	387.02	647.07	289.02	503.95	185.11	224.97
CYTH3	738.29	226.54	226.54	400.71	170.25	163.28	148.09	121.79	125.24	126.12	55.1	58.3	34.26	100.83	77.79	108.9	56.68	108.9	123.5	30.56	98.73	29.48	94.67	169.07	134.3	69.03	81.14	100.83	193.01	79.45	181.28	226.54	31.0	34.51	37.05	46.84	43.02	47.5	32.13	44.57	45.53	124.37	52.45	336.79	137.14	142.01	463.65	214.27	264.03	204.07	299.25	348.71	246.28	514.56	414.87	400.71	289.02	137.14	316.37	348.71	202.66	551.56	490.14	633.73	103.69	379.04	563.18	389.72	212.78	356.05	1001.93	361.04	647.07	480.04	616.37	139.07	279.14
DACT1	76.17	52.08	103.69	223.41	59.97	37.59	38.95	43.32	6.36	29.7	2.18	30.12	2.34	27.25	18.03	18.56	10.55	3.0	32.36	3.26	40.93	62.56	18.84	72.01	59.55	15.22	10.24	5.54	101.54	1.35	12.18	86.43	11.55	80.01	20.41	21.63	12.74	48.87	18.97	48.87	19.11	265.87	35.0	96.01	58.71	47.84	74.06	63.45	39.79	406.31	44.25	55.49	211.31	121.79	423.61	343.89	164.42	17.64	277.2	37.85	78.89	92.05	454.09	78.34	21.78	24.99	78.89	204.07	15.0	41.81	660.68	44.57	231.32	91.41	206.94	47.84	130.6
