	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.AA.3655.11A.01R.1723.07	TCGA.AA.3489.11A.01R.1839.07	GTEX.1399R.2226.SM.5P9JB	GTEX.S4P3.1226.SM.4AD4Y	GTEX.UJMC.1326.SM.4IHLS	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.14DAR.1526.SM.5RQIX	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.AG.3742.11A.01R.1660.07
CTC-786C10.1	27.25	37.59	2.03	13.83	0.0	4.24	3.03	3.69	12.55	1.79	171.45	112.77	125.24	16.88
CYB5R3	5791.62	11189.6	4575.41	4328.55	1991.0	3349.13	2502.97	2502.97	3060.45	2573.36	7280.4	12676.65	9606.86	4268.94
DPYSL3	4607.24	10659.59	1304.15	2895.31	153.34	785.88	323.03	165.57	769.69	170.25	21172.91	17197.56	26431.04	2777.33
EHD2	2573.36	8840.04	921.88	1167.14	214.27	825.0	329.84	221.86	941.27	205.5	7230.1	7130.55	9876.98	1583.71
EOGT	432.53	647.07	144.01	384.34	51.35	161.02	106.63	94.67	162.14	89.51	1709.26	2133.97	1733.13	366.09
EXTL3	297.17	518.15	158.79	159.9	101.54	159.9	108.14	100.13	228.13	101.54	381.68	708.18	651.58	206.94
FAM63B	129.69	191.67	72.52	80.57	18.16	66.18	58.71	49.56	63.45	60.82	205.5	371.22	277.2	143.01
FAM69A	483.38	915.51	320.8	351.14	101.54	199.85	138.1	100.83	173.85	92.7	599.49	320.8	928.3	441.64
HECTD2	172.65	312.0	116.78	162.14	10.0	65.72	63.0	34.75	86.43	39.79	323.03	466.88	532.74	255.0
ITGB1	10585.95	26614.89	5076.84	6516.03	1950.0	4066.71	2915.45	2367.9	4736.79	2976.74	29327.18	35118.87	53601.03	9215.48
LATS2	244.57	403.5	111.99	170.25	20.41	92.7	70.01	27.84	123.5	43.63	1008.9	813.63	1030.12	232.94
LIMS1	947.83	1233.75	656.11	830.75	218.79	376.41	412.0	275.28	397.93	332.14	854.13	791.35	802.41	1008.9
LOXL1	967.76	2104.58	281.09	395.18	127.89	273.37	108.14	94.01	253.23	53.57	1233.75	1477.58	708.18	387.02
LPP	1991.0	6983.79	444.72	896.64	152.28	571.05	363.56	218.79	483.38	293.07	17197.56	11112.3	18560.17	1437.15
LRRFIP1	2148.82	3589.58	1322.37	1583.71	642.59	1467.37	890.44	967.76	1407.55	1059.11	2400.97	2701.35	3928.15	1923.14
MAPK1IP1L	981.29	1216.75	902.89	890.44	753.83	860.08	896.64	674.59	808.0	547.75	1709.26	1721.16	1977.24	830.75
MCAM	8538.88	29531.18	1697.45	3303.0	215.77	1529.73	587.13	403.5	1605.83	267.73	26067.14	32315.87	43236.64	4123.49
MRAS	426.57	802.41	212.78	607.87	21.63	115.97	40.36	21.16	106.63	19.25	753.83	1051.79	1487.87	392.44
MYADM	4268.94	12853.63	1950.0	2451.44	547.75	1417.35	1037.29	575.03	1350.18	718.08	6561.36	6652.97	18304.63	3060.45
NFIX	2061.24	5555.65	1037.29	1208.34	299.25	748.61	579.04	368.65	780.44	392.44	1277.29	2209.26	2319.15	1733.13
NHSL2	45.85	172.65	7.0	22.43	0.71	6.41	7.34	4.35	13.93	4.9	140.04	149.12	136.19	38.67
NLGN1	132.44	387.02	15.68	47.5	0.88	10.08	5.32	0.36	16.27	4.94	45.53	101.54	78.89	64.34
PCDH7	334.46	1081.39	117.6	208.38	12.64	157.68	66.18	26.47	158.79	27.44	563.18	1561.89	1030.12	414.87
PCDHB3	27.44	45.53	9.06	10.16	1.14	5.54	10.47	1.45	8.78	9.13	17.9	31.0	22.92	11.21
PDLIM3	10154.69	27363.16	3690.52	7695.57	187.71	1639.59	693.58	204.07	2209.26	206.94	34396.12	32092.64	70727.3	7966.99
PDLIM5	947.83	1044.52	629.35	934.76	521.76	633.73	551.56	473.41	860.08	518.15	1487.87	1295.13	1268.46	1059.11
PEA15	6887.62	19082.0	2915.45	6792.79	748.61	1417.35	884.29	607.87	1794.29	703.28	8134.41	9409.14	13033.07	5329.3
PHF13	343.89	830.75	155.5	197.09	88.26	175.07	131.51	96.68	136.19	97.36	642.59	476.71	612.11	312.0
PLS3	1769.57	2796.65	748.61	1096.5	167.9	466.88	267.73	180.02	480.04	228.13	3190.46	2384.37	2090.03	1427.22
PRELP	2645.74	5555.65	947.83	988.12	24.81	718.08	346.29	45.21	507.46	147.06	1870.53	3614.55	7589.61	1674.06
RAB31	988.12	1697.45	511.0	1250.98	47.84	299.25	187.71	102.25	273.37	73.03	3081.75	3168.41	3257.52	813.63
RAB7L1	343.89	363.56	269.6	368.65	65.26	244.57	108.9	94.01	190.34	94.01	928.3	928.3	915.51	312.0
RB1CC1	343.89	346.29	224.97	256.78	55.1	190.34	178.77	139.07	224.97	178.77	547.75	536.45	620.67	409.15
RHOBTB2	148.09	283.05	143.01	107.38	38.67	101.54	78.89	81.14	134.3	36.27	249.73	536.45	454.09	137.14
SCRN1	688.78	1331.57	287.01	438.59	47.17	176.29	138.1	47.5	217.27	76.17	1183.45	1605.83	1529.73	612.11
SEC14L2	96.68	151.22	80.57	64.8	14.45	30.12	44.57	32.36	38.12	23.42	202.66	320.8	191.67	132.44
SKI	698.41	1819.35	420.68	351.14	195.72	371.22	329.84	232.94	490.14	281.09	1733.13	2133.97	2915.45	432.53
SMARCE1	2796.65	3372.43	2434.5	2720.15	1467.37	1437.15	1498.22	1304.15	1561.89	1605.83	2935.74	2047.0	2351.53	3280.18
SMTN	109455.64	641014.63	34635.37	39237.98	1051.79	5006.93	2915.45	1088.92	5995.9	934.76	318292.9	93325.55	1034138.94	63742.91
STK3	231.32	638.15	212.78	575.03	57.89	150.17	109.66	102.25	177.53	88.88	493.56	457.25	420.68	599.49
TAF9B	563.18	638.15	363.56	395.18	78.89	156.59	131.51	80.57	195.72	110.43	743.43	1340.84	1447.15	764.36
TMEM43	2090.03	4010.71	688.78	988.12	358.54	669.92	616.37	532.74	748.61	595.34	2627.46	3103.19	2935.74	1151.06
TPM1	156954.93	535303.41	54349.29	103551.29	5711.87	21768.19	14461.21	8134.41	19214.73	9673.69	789181.81	217400.14	2201414.44	129266.49
TPM2	303217.87	1063212.58	93325.55	161367.56	1286.18	15824.9	8134.41	2178.83	15075.35	1709.26	706337.4	663619.99	2392353.91	205673.01
VWA1	3955.48	10084.54	1350.18	2720.15	579.04	1073.91	441.64	500.46	1313.23	253.23	5751.61	6037.61	6792.79	1832.01
WDR1	7589.61	9474.59	4769.75	5076.84	5954.47	6121.9	4152.18	4152.18	5954.47	4671.57	10659.59	10733.74	14262.1	4769.75
WFS1	1143.1	2004.85	473.41	540.19	120.94	371.22	318.57	224.97	381.68	229.72	2777.33	3794.3	5219.6	559.28
WSCD2	93.35	187.71	26.1	76.17	0.43	12.0	12.74	3.86	33.78	0.87	1870.53	995.0	3443.31	23.08
WWC2	159.9	356.05	88.88	185.11	5.82	53.57	37.32	15.22	50.98	16.75	214.27	291.04	281.09	202.66
WWTR1	2400.97	5329.3	791.35	1540.37	53.19	447.82	244.57	100.13	460.44	106.63	4066.71	4972.34	5555.65	2609.3
YAP1	1447.15	2935.74	579.04	860.08	241.19	603.67	529.06	329.84	728.11	423.61	1870.53	2047.0	2319.15	1104.13
ZFP1	236.21	500.46	127.0	182.55	32.13	74.58	55.49	34.26	99.43	53.19	237.86	237.86	291.04	267.73
ZNF503	387.02	981.29	214.27	214.27	52.45	79.45	87.03	65.72	175.07	66.65	688.78	884.29	947.83	246.28
