	TCGA.38.4625.01A.01R.1206.07.1	GTEX.U412.0826.SM.3DB9K	GTEX.11EI6.0826.SM.5985V	GTEX.11ZUS.0126.SM.5EQM5	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.WH7G.0526.SM.3NMBI	GTEX.QV31.0726.SM.3GAEG	GTEX.Y5LM.0626.SM.4V6G4	GTEX.11I78.0526.SM.5986A	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.ZTSS.0226.SM.59877	GTEX.ZV7C.0126.SM.57WDE	GTEX.X4LF.0426.SM.3NMB5	GTEX.TKQ1.0126.SM.33HB3	GTEX.PWCY.2326.SM.2I3EQ	GTEX.YF7O.0726.SM.4W213	GTEX.XUJ4.0726.SM.4BOOP	GTEX.YB5E.0626.SM.4VDSE	GTEX.12WSJ.0326.SM.5GCMT	GTEX.T8EM.0226.SM.3DB7C
PSMA3	0.89	1119.56	1572.76	1883.54	1909.85	2367.9	3847.29	2875.3	2855.44	3190.46	3325.99	2976.74	2720.15	2816.11	3039.3	3982.99	2400.97	3614.55	2148.82	4010.71	3540.14	3820.7
PSMA4	0.83	1757.34	1757.34	1286.18	1605.83	2400.97	3768.09	2367.9	2796.65	2758.13	3540.14	3081.75	2664.15	2895.31	2384.37	3325.99	1883.54	3303.0	2163.77	3419.52	3395.89	3190.46
PSMA5	0.59	1519.15	884.29	909.17	1066.48	1709.26	2537.92	1936.53	1870.53	1936.53	2468.49	2287.2	1781.89	2178.83	1721.16	2133.97	1540.37	2609.3	1685.71	2451.44	2720.15	2090.03
PSMA6	0.93	2701.35	1540.37	1477.58	1832.01	2701.35	3901.01	2816.11	2855.44	3124.78	3639.7	3690.52	2664.15	3018.3	2816.11	3515.68	2591.27	3768.09	2701.35	3212.66	3639.7	3349.13
PSMC1	0.82	1617.0	872.1	1286.18	1540.37	2047.0	2758.13	2224.63	2384.37	2485.67	3081.75	2555.58	2209.26	2451.44	2255.7	2645.74	2163.77	2537.92	2367.9	2520.38	2796.65	2451.44
PSMC2	0.8	878.17	764.36	848.22	1135.2	1594.73	2148.82	1639.59	1697.45	1819.35	2319.15	2004.85	1594.73	1819.35	1605.83	1857.6	1551.09	1991.0	1639.59	1781.89	2032.85	1923.14
PSMD14	0.05	409.15	336.79	279.14	441.64	748.61	1143.1	713.11	808.0	796.86	1388.16	981.29	780.44	915.51	743.43	842.36	713.11	1030.12	780.44	1044.52	1242.34	941.27
PSMD6	0.84	988.12	860.08	860.08	1037.29	1286.18	1896.65	1407.55	1498.22	1508.65	1745.2	1457.23	1437.15	1540.37	1628.26	1794.29	1304.15	1662.49	1388.16	1437.15	1639.59	1709.26
PSMD7	764.36	1081.39	1605.83	1073.91	1081.39	1359.57	1806.78	1508.65	1733.13	1457.23	1870.53	1745.2	1628.26	1651.0	1651.0	1923.14	1304.15	1721.16	1594.73	1697.45	1923.14	1685.71
PSME3	0.17	961.07	612.11	647.07	974.5	1295.13	1909.85	1286.18	1519.15	1498.22	1709.26	1639.59	1417.35	1674.06	1313.23	1617.0	1277.29	1605.83	1359.57	1216.75	1447.15	1594.73
PSMG1	497.0	295.11	180.02	460.44	974.5	1073.91	1617.0	1191.69	1208.34	1008.9	1551.09	1407.55	1447.15	1313.23	1397.83	1697.45	941.27	1407.55	1008.9	1519.15	1304.15	1551.09
PUS7	125.24	83.45	68.55	58.71	100.83	139.07	343.89	153.34	215.77	138.1	195.72	251.48	169.07	275.28	155.5	197.09	144.01	217.27	142.01	85.82	221.86	334.46
SAMM50	0.26	612.11	432.53	591.22	713.11	764.36	1104.13	775.05	796.86	1073.91	1216.75	1073.91	813.63	988.12	934.76	890.44	842.36	909.17	890.44	872.1	981.29	753.83
SCAMP5	0.06	92.7	41.81	67.59	159.9	171.45	267.73	122.64	98.73	205.5	246.28	141.02	146.03	204.07	214.27	295.11	117.6	220.32	217.27	205.5	255.0	91.41
SEC61G	0.91	3124.78	2209.26	1936.53	2976.74	4575.41	6471.02	5995.9	5872.48	4298.64	7589.61	6471.02	5006.93	5831.91	4575.41	9474.59	3190.46	8658.09	4268.94	7642.41	8963.45	5995.9
SLC25A13	0.71	180.02	206.94	218.79	351.14	381.68	457.25	251.48	291.04	275.28	497.0	273.37	312.0	341.51	343.89	450.94	371.22	307.69	307.69	301.33	356.05	329.84
SLC25A3	775.05	5517.27	5954.47	6607.01	8191.0	8778.97	9876.98	10084.54	8479.89	8305.36	11112.3	8538.88	7857.29	8840.04	9474.59	10296.45	8363.13	9474.59	9025.81	10440.2	11035.54	9673.69
SLC25A35	0.39	88.88	175.07	158.79	102.25	237.86	392.44	204.07	186.4	277.2	368.65	379.04	205.5	316.37	265.87	190.34	244.57	368.65	348.71	297.17	497.0	356.05
SLX1B	0.41	518.15	187.71	575.03	336.79	241.19	493.56	387.02	143.01	336.79	896.64	221.86	426.57	583.07	607.87	587.13	518.15	595.34	400.71	351.14	713.11	543.96
SMOX	0.73	76.71	117.6	41.22	95.34	120.94	166.73	143.01	118.43	91.41	130.6	114.36	100.83	120.1	49.21	208.38	50.63	191.67	107.38	60.82	224.97	138.1
SNRPA1	0.8	764.36	878.17	1407.55	802.41	928.3	1233.75	995.0	872.1	1023.0	1322.37	1059.11	896.64	1081.39	1008.9	1151.06	884.29	1044.52	974.5	909.17	1111.82	1143.1
SNRPD1	0.21	688.78	334.46	490.14	769.69	698.41	1572.76	808.0	947.83	1023.0	1540.37	1199.98	1183.45	1250.98	830.75	1268.46	748.61	1427.22	753.83	954.43	1259.69	1313.23
SSBP1	0.42	1477.58	1191.69	1757.34	2209.26	2485.67	4010.71	3060.45	2976.74	2796.65	4210.15	3372.43	2976.74	3280.18	3018.3	3955.48	2468.49	3589.58	2835.7	3794.3	3874.05	3190.46
STRAP	351.14	1350.18	1044.52	915.51	1857.6	2119.22	2895.31	2163.77	1832.01	2061.24	2209.26	2367.9	2004.85	2271.4	1991.0	2573.36	1896.65	2537.92	1721.16	2664.15	2400.97	2758.13
TCTN3	0.46	656.11	435.55	547.75	728.11	947.83	2555.58	1015.93	1159.07	1051.79	1844.76	1819.35	1081.39	2537.92	1008.9	1127.35	728.11	2209.26	974.5	1605.83	1697.45	2682.69
TFG	1.11	1832.01	1073.91	915.51	1628.26	2287.2	2997.45	2090.03	2075.59	1936.53	2701.35	2701.35	2119.22	2664.15	2047.0	2502.97	1832.01	2502.97	1697.45	2796.65	2384.37	2875.3
TIMM10	0.4	441.64	642.59	454.09	954.43	808.0	1529.73	995.0	890.44	1437.15	1651.0	1963.57	1199.98	2004.85	995.0	1295.13	525.39	1857.6	1250.98	1467.37	1437.15	896.64
TMEM126A	0.4	733.19	490.14	389.72	575.03	669.92	1225.22	728.11	579.04	684.02	1081.39	866.07	708.18	928.3	718.08	941.27	547.75	1191.69	693.58	909.17	1159.07	1015.93
TMEM72	0.0	0.0	0.0	4.66	12.83	1.03	7.4	2.46	2.14	6.89	18.7	2.36	2.68	10.55	8.78	19.68	7.63	14.03	2.53	4.21	10.08	2.92
TPO	0.62	4.94	7.75	6.31	51417.5	757033.75	619179.28	751804.53	402881.61	828417.36	716197.51	1078054.48	641014.63	636586.81	598087.73	672883.8	443937.41	919186.72	492579.5	1890058.21	875652.15	2111737.85
TPRKB	0.51	595.34	420.68	348.71	595.34	656.11	995.0	708.18	638.15	591.22	854.13	674.59	665.29	775.05	718.08	802.41	503.95	947.83	656.11	651.58	974.5	642.59
USP5	0.4	603.67	507.46	521.76	651.58	921.88	1159.07	866.07	988.12	1183.45	1295.13	1286.18	1001.93	1277.29	1111.82	974.5	1037.29	1295.13	1096.5	1096.5	1233.75	1175.27
WDYHV1	0.57	251.48	193.01	106.63	287.01	205.5	309.83	195.72	173.85	165.57	255.0	209.84	198.47	217.27	208.38	226.54	137.14	232.94	221.86	206.94	264.03	237.86
XPNPEP1	0.96	642.59	1199.98	848.22	819.3	995.0	1225.22	866.07	819.3	995.0	1104.13	878.17	825.0	890.44	981.29	988.12	909.17	1066.48	967.76	780.44	1001.93	1008.9
XRCC6	1.07	2777.33	2573.36	3168.41	3467.27	4298.64	5594.3	4358.66	4481.23	4972.34	5366.37	5791.62	4328.55	4607.24	4419.52	4869.99	3901.01	5292.48	4671.57	5292.48	5041.77	4512.4
YIPF1	0.56	954.43	356.05	251.48	775.05	1242.34	2664.15	1233.75	1096.5	974.5	1617.0	1950.0	1159.07	1572.76	967.76	1417.35	934.76	2384.37	1183.45	2090.03	1832.01	2018.8
ZSCAN5A	0.16	59.13	84.04	108.14	185.11	281.09	295.11	157.68	98.73	303.44	307.69	241.19	231.32	194.36	239.52	406.31	223.41	205.5	305.55	223.41	285.03	239.52
