	GTEX.SE5C.1026.SM.4BRUG	TCGA.K4.A4AC.01A.21R.A26T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6310.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	TCGA.AA.3489.11A.01R.1839.07	GTEX.ZPIC.2626.SM.57WE2	GTEX.1399R.2126.SM.5K7WZ	GTEX.131XE.1026.SM.5EGKE	GTEX.ZPCL.1626.SM.57WGC	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13NYB.1326.SM.5K7Y1	GTEX.145MF.1526.SM.5LU95	GTEX.11ZTS.2726.SM.5EQLU	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZAK1.1826.SM.5HL93	GTEX.13VXU.1126.SM.5LU3U	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.RNOR.1326.SM.48FDE	GTEX.146FQ.1126.SM.5NQBM	GTEX.RTLS.1226.SM.46MUP	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13OW6.1426.SM.5L3EU	GTEX.YECK.1726.SM.5IFI3	GTEX.13OW8.2226.SM.5K7Z4	GTEX.WZTO.1526.SM.4PQYQ	GTEX.RWSA.1326.SM.47JX9	GTEX.ZA64.0526.SM.5HL9I	TCGA.CV.7425.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.EJ.7783.11A.01R.2118.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.11EQ9.1726.SM.5HL6U	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.A453.01A.11R.A24K.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.R55D.1526.SM.48FEJ
ATXN7	69.03	59.97	107.38	170.25	88.88	149.12	198.47	140.04	176.29	175.07	187.71	159.9	162.14	183.82	84.04	173.85	248.0	348.71	303.44	429.54	463.65	318.57	647.07	325.29	406.31	371.22	167.9	381.68	392.44	214.27	463.65	303.44	638.15	389.72	414.87	432.53	307.69	275.28	87.03	138.1	112.77	129.69	151.22	166.73	138.1	74.58	193.01	147.06	178.77	234.57	258.57	142.01	237.86	211.31	312.0	312.0
AVPR1A	6.26	0.61	17.64	20.41	8.0	38.4	18.84	30.34	25.35	18.29	17.64	10.47	17.38	10.0	3.03	38.4	105.15	100.13	39.79	128.79	169.07	47.17	175.07	140.04	81.14	38.4	63.45	67.59	68.55	25.72	59.13	36.27	209.84	29.06	112.77	94.01	111.99	29.7	3.32	0.0	14.35	18.29	7.51	13.03	13.93	31.22	17.0	13.83	5.06	34.02	33.3	194.36	57.89	27.25	23.76	56.28
B3GNT9	303.44	133.36	260.38	114.36	120.94	119.26	153.34	161.02	316.37	122.64	101.54	156.59	217.27	106.63	87.03	660.68	397.93	607.87	341.51	220.32	579.04	336.79	363.56	444.72	414.87	463.65	265.87	603.67	366.09	299.25	373.81	371.22	323.03	532.74	329.84	371.22	248.0	271.48	126.12	0.0	211.31	551.56	325.29	420.68	176.29	194.36	98.73	97.36	167.9	131.51	190.34	309.83	267.73	403.5	376.41	312.0
BACH2	0.3	21.32	27.84	18.56	14.45	5.96	24.11	14.24	14.67	22.75	7.17	9.13	15.34	9.06	8.85	27.44	31.9	43.94	32.59	23.93	58.71	61.25	54.72	52.82	40.64	68.07	20.11	22.43	51.35	53.95	38.4	75.64	49.21	44.89	58.71	59.55	59.97	31.22	15.8	0.0	20.86	31.45	39.22	28.45	23.93	31.0	5.82	13.83	47.84	19.82	18.56	30.56	10.39	28.04	3.76	17.77
CALHM2	351.14	88.88	988.12	1104.13	928.3	132.44	583.07	718.08	753.83	432.53	518.15	205.5	403.5	199.85	373.81	909.17	1143.1	1757.34	830.75	511.0	884.29	1594.73	967.76	2287.2	1259.69	1617.0	656.11	753.83	981.29	775.05	791.35	1143.1	1037.29	1135.2	941.27	1059.11	713.11	457.25	204.07	0.0	791.35	571.05	423.61	395.18	249.73	366.09	329.84	493.56	470.14	595.34	363.56	764.36	248.0	1199.98	483.38	603.67
CCDC39	1.99	0.91	7.11	11.73	6.67	5.73	10.08	18.84	28.86	10.71	5.06	12.0	7.94	11.47	4.98	20.71	37.85	115.97	26.67	49.21	57.49	75.64	71.0	124.37	96.68	119.26	23.08	50.27	88.26	22.92	65.26	84.63	76.71	81.14	92.05	67.12	56.28	40.93	1.3	0.0	10.31	2.25	4.9	9.78	1.58	3.76	13.83	29.91	8.78	40.36	13.83	12.09	7.75	22.92	8.51	23.76
CECR2	0.28	0.0	0.0	3.53	0.47	4.98	15.56	14.14	19.68	11.73	4.24	10.39	6.73	4.24	5.32	30.78	65.72	22.1	19.97	20.26	22.92	21.63	26.86	25.17	38.12	52.08	26.1	21.78	59.97	8.92	48.18	40.36	33.06	35.76	31.45	49.21	29.7	70.51	1.31	0.0	4.98	5.82	17.25	8.45	3.29	8.51	5.19	14.35	5.19	14.67	12.18	13.62	8.51	13.32	13.83	23.08
CHRD	73.03	12.09	102.97	94.01	75.11	139.07	187.71	162.14	297.17	134.3	108.14	51.35	104.42	101.54	79.45	708.18	493.56	909.17	438.59	497.0	620.67	842.36	780.44	921.88	679.29	1073.91	575.03	567.1	759.08	297.17	780.44	974.5	896.64	915.51	708.18	813.63	587.13	332.14	9.27	0.0	131.51	56.68	74.58	45.85	33.78	65.26	31.22	124.37	173.85	125.24	172.65	264.03	447.82	406.31	127.0	332.14
CHST7	20.41	37.85	49.56	148.09	67.12	35.76	84.04	77.79	71.5	63.45	37.32	35.5	78.89	31.9	47.17	126.12	209.84	150.17	50.27	75.64	118.43	231.32	103.69	389.72	107.38	177.53	108.9	124.37	239.52	90.77	149.12	152.28	95.34	159.9	153.34	112.77	145.02	65.26	63.45	0.0	90.77	115.16	54.33	43.94	28.86	53.19	46.18	63.0	64.8	57.89	75.11	105.89	143.01	135.24	74.06	154.42
CLEC1A	10.55	15.45	49.56	92.7	21.32	42.71	39.5	127.89	84.63	106.63	77.79	19.39	76.71	42.71	21.78	175.07	251.48	312.0	125.24	113.56	368.65	108.14	503.95	457.25	301.33	236.21	197.09	316.37	215.77	64.8	289.02	242.88	281.09	164.42	341.51	684.02	217.27	110.43	28.65	0.0	108.9	63.0	48.18	28.24	43.32	44.57	53.57	98.73	56.68	84.63	64.8	180.02	148.09	106.63	39.22	116.78
COL11A2	4.78	4.98	7.06	2.2	4.86	2.68	11.21	13.12	14.56	19.25	12.55	3.06	4.46	5.68	2.53	18.43	29.27	21.78	14.89	21.16	40.93	30.78	33.06	48.87	37.59	64.34	42.41	30.78	53.57	8.38	47.5	35.0	58.71	72.52	36.01	76.71	40.93	14.35	2.14	0.0	6.67	2.2	5.82	3.44	2.03	8.51	3.53	15.11	14.24	10.47	24.99	12.64	16.88	12.18	33.3	48.87
COL20A1	0.0	0.0	0.88	0.0	3.47	0.0	1.93	0.0	4.43	1.1	0.0	1.81	0.43	0.97	1.71	0.0	1.75	44.25	18.84	10.16	6.16	14.14	8.13	6.94	19.68	29.91	9.63	30.34	3.17	0.74	17.0	21.94	3.29	8.65	10.24	5.77	2.97	1.89	0.0	0.0	2.03	5.15	3.47	3.29	0.0	0.89	4.06	1.77	0.0	1.89	1.83	2.89	17.13	3.08	1.45	1.48
COLQ	9.93	15.22	24.99	33.78	55.89	40.93	58.3	59.13	132.44	42.71	27.05	39.22	40.64	23.59	21.94	46.84	73.54	178.77	97.36	92.7	146.03	158.79	166.73	153.34	146.03	120.1	120.94	180.02	181.28	53.19	175.07	123.5	103.69	182.55	142.01	161.02	131.51	92.7	9.06	0.0	147.06	74.58	100.13	95.34	55.1	34.51	68.55	22.92	48.18	48.18	45.21	67.12	57.89	52.08	52.08	38.12
CORO2B	27.25	0.92	57.89	71.0	49.56	11.3	126.12	123.5	166.73	148.09	79.45	45.21	90.77	35.25	72.01	90.77	262.2	559.28	314.17	212.78	368.65	389.72	312.0	414.87	283.05	417.77	220.32	361.04	361.04	162.14	301.33	397.93	325.29	283.05	327.56	289.02	229.72	115.97	2.23	0.0	57.08	108.9	40.64	38.95	31.45	49.56	31.9	83.45	89.51	161.02	140.04	145.02	150.17	181.28	139.07	209.84
CUBN	1.6	0.6	4.39	5.19	2.66	2.16	7.94	8.71	9.34	7.75	4.43	3.82	3.35	5.06	1.66	6.62	16.51	21.78	7.69	13.52	16.03	15.68	27.64	25.91	28.86	34.75	12.36	23.08	24.81	5.15	25.72	32.36	26.1	31.9	46.84	42.71	21.78	10.88	1.62	0.0	4.98	6.01	4.5	4.86	1.39	2.56	2.2	5.11	5.87	10.24	6.41	8.58	4.39	8.78	7.4	5.32
CYP4X1	7.88	2.39	4.06	16.15	8.51	78.34	29.06	33.78	31.9	29.91	31.22	12.83	19.68	5.92	3.99	25.72	32.36	48.52	41.52	185.11	237.86	154.42	183.82	318.57	120.1	187.71	53.95	100.83	120.1	33.54	229.72	140.04	226.54	191.67	165.57	100.83	100.83	75.64	17.25	0.0	120.94	12.45	18.16	91.41	37.05	251.48	19.25	30.34	22.75	39.22	31.9	57.89	29.48	71.5	23.93	11.47
DEFB124	0.0	0.0	0.0	0.0	7.06	0.0	27.44	0.0	13.52	26.67	12.27	11.73	6.57	5.19	6.52	0.0	5479.15	567.1	444.72	33.06	466.88	211.31	283.05	154.42	253.23	555.41	78.34	221.86	187.71	33.78	126.12	237.86	172.65	191.67	169.07	289.02	59.97	31.67	0.0	0.0	0.0	1.69	0.92	0.82	1.23	4.9	0.18	12.55	0.0	0.0	87.65	85.82	32.59	167.9	25.91	19.25
DIRAS3	24.11	9.93	69.52	136.19	82.87	65.26	64.34	46.84	101.54	67.12	41.22	72.01	30.34	50.63	32.13	39.5	68.55	217.27	152.28	94.01	251.48	209.84	122.64	183.82	264.03	241.19	130.6	299.25	314.17	55.49	356.05	287.01	114.36	297.17	262.2	201.25	182.55	105.89	33.54	0.0	87.03	518.15	123.5	237.86	87.65	66.18	249.73	91.41	53.95	69.52	58.71	181.28	130.6	132.44	87.65	127.89
DISC1	5.96	5.87	16.63	21.94	9.27	13.12	20.26	35.76	28.65	29.7	29.48	8.78	21.32	10.31	8.99	40.64	112.77	51.71	37.32	33.06	109.66	61.25	94.01	116.78	68.07	113.56	41.52	112.77	70.51	34.02	115.97	104.42	74.58	62.12	87.65	102.25	59.97	25.35	10.47	0.0	25.72	15.68	15.22	12.36	10.39	13.03	12.27	29.91	29.06	43.94	37.05	38.95	23.93	41.52	12.09	30.56
DOCK4	11.91	50.98	64.34	85.22	41.52	38.67	125.24	120.94	148.09	129.69	105.89	100.13	108.9	68.07	48.87	187.71	244.57	305.55	150.17	239.52	480.04	543.96	575.03	733.19	480.04	466.88	138.1	289.02	346.29	113.56	249.73	412.0	521.76	389.72	389.72	351.14	215.77	131.51	76.17	0.0	169.07	92.05	82.87	57.49	60.82	98.73	59.97	113.56	94.67	149.12	154.42	182.55	111.21	149.12	138.1	208.38
DSEL	15.91	3.82	57.08	59.97	36.79	12.09	48.52	38.67	62.12	45.53	30.34	39.5	27.05	18.03	27.64	25.35	44.25	70.51	58.3	46.5	59.55	80.01	78.34	90.77	50.63	117.6	33.78	50.98	70.51	51.35	53.95	108.14	34.02	52.82	77.25	86.43	53.57	51.35	4.62	10.31	48.87	34.51	43.32	47.84	29.27	30.78	74.58	48.18	34.02	100.13	59.97	126.12	38.4	52.82	64.34	52.82
EBF1	35.5	5.59	241.19	381.68	293.07	28.04	111.99	151.22	162.14	120.1	49.56	46.18	90.14	27.84	28.45	187.71	341.51	500.46	191.67	241.19	412.0	409.15	423.61	708.18	373.81	371.22	131.51	325.29	287.01	167.9	251.48	368.65	312.0	373.81	329.84	420.68	251.48	139.07	12.45	0.0	101.54	66.18	49.91	74.06	23.93	142.01	52.08	101.54	85.82	236.21	125.24	353.59	145.02	249.73	102.25	180.02
EBF2	5.73	0.6	24.11	72.52	41.52	5.87	15.56	43.94	50.63	33.78	12.93	7.69	10.31	7.06	3.2	181.28	480.04	406.31	182.55	115.16	164.42	142.01	142.01	223.41	135.24	95.34	46.5	107.38	77.25	40.07	44.89	105.89	209.84	115.16	119.26	108.14	53.19	47.5	2.1	0.0	11.04	4.21	10.63	3.86	11.91	14.78	15.22	27.05	4.94	68.07	28.24	140.04	22.1	74.58	12.55	32.59
EFCC1	41.81	1.5	32.13	37.32	76.71	94.67	173.85	144.01	273.37	152.28	100.83	44.25	136.19	27.44	181.28	72.52	108.14	69.03	141.02	205.5	275.28	381.68	312.0	381.68	199.85	629.35	309.83	214.27	384.34	149.12	173.85	934.76	511.0	551.56	392.44	264.03	237.86	144.01	10.47	0.0	88.26	21.94	22.75	37.05	34.51	68.07	33.3	185.11	201.25	202.66	177.53	115.16	397.93	95.34	318.57	208.38
EFHD1	59.55	5.68	140.04	389.72	320.8	182.55	246.28	334.46	500.46	267.73	127.0	69.03	143.01	55.49	96.01	387.02	693.58	612.11	629.35	753.83	1242.34	1498.22	1208.34	2240.11	1008.9	1923.14	587.13	723.08	616.37	961.07	514.56	738.29	1417.35	866.07	1001.93	460.44	400.71	400.71	42.71	0.0	229.72	358.54	234.57	309.83	82.87	718.08	90.77	277.2	164.42	226.54	251.48	420.68	281.09	947.83	363.56	193.01
ELMO1	56.68	57.08	201.25	239.52	183.82	80.57	236.21	279.14	221.86	309.83	194.36	66.65	100.83	49.21	96.68	571.05	928.3	616.37	470.14	297.17	830.75	629.35	902.89	1073.91	500.46	743.43	334.46	441.64	642.59	323.03	791.35	587.13	785.88	665.29	599.49	1066.48	470.14	279.14	152.28	0.0	363.56	221.86	131.51	202.66	90.77	206.94	208.38	253.23	325.29	293.07	253.23	493.56	226.54	303.44	186.4	325.29
EPB41L4A	31.67	16.39	126.12	92.05	76.71	13.03	95.34	72.01	64.8	65.72	59.55	48.18	61.25	72.01	26.28	91.41	133.36	212.78	107.38	135.24	231.32	138.1	159.9	145.02	205.5	231.32	102.25	121.79	283.05	119.26	273.37	198.47	201.25	142.01	190.34	348.71	217.27	105.89	64.8	0.0	103.69	90.77	111.21	211.31	129.69	40.36	145.02	77.79	94.67	132.44	113.56	69.03	62.12	122.64	23.93	43.94
ESAM	175.07	106.63	525.39	532.74	486.75	295.11	728.11	647.07	693.58	703.28	351.14	175.07	309.83	351.14	183.82	1081.39	1369.04	1340.84	759.08	785.88	1662.49	1242.34	2133.97	1909.85	1242.34	1331.57	1008.9	1268.46	1208.34	1015.93	1769.57	1407.55	1950.0	1127.35	1242.34	1561.89	1191.69	656.11	211.31	0.0	633.73	236.21	209.84	241.19	241.19	444.72	239.52	511.0	563.18	587.13	599.49	1175.27	616.37	974.5	358.54	713.11
FAM160B2	693.58	718.08	660.68	967.76	1135.2	974.5	1208.34	896.64	1388.16	947.83	660.68	579.04	808.0	878.17	579.04	1896.65	1745.2	2319.15	1709.26	1769.57	1883.54	2224.63	1963.57	2075.59	1950.0	2335.28	2148.82	2485.67	3168.41	1477.58	3168.41	2468.49	2997.45	2682.69	2018.8	3081.75	2209.26	1697.45	327.56	0.0	981.29	525.39	733.19	620.67	872.1	460.44	395.18	785.88	808.0	1127.35	1023.0	1745.2	1277.29	1407.55	896.64	1340.84
FAM162B	13.32	4.13	30.56	31.0	15.56	22.26	47.5	69.03	85.22	36.01	63.45	26.67	44.25	49.21	14.78	193.01	229.72	228.13	208.38	206.94	249.73	185.11	226.54	423.61	218.79	269.6	155.5	142.01	189.02	50.98	147.06	255.0	295.11	142.01	249.73	159.9	163.28	122.64	17.13	0.0	117.6	114.36	118.43	75.64	47.84	120.94	25.72	133.36	39.22	79.45	77.25	117.6	82.87	121.79	46.84	110.43
FAM65C	6.84	21.47	54.33	91.41	47.84	33.54	87.65	92.7	142.01	82.29	136.19	55.1	37.85	40.93	78.89	314.17	361.04	775.05	253.23	348.71	295.11	332.14	473.41	567.1	273.37	426.57	258.57	314.17	579.04	147.06	860.08	612.11	397.93	480.04	612.11	483.38	142.01	273.37	55.49	0.0	80.57	57.89	29.7	38.95	15.45	28.04	19.53	89.51	100.83	145.02	109.66	103.69	77.25	133.36	61.25	149.12
FAM69B	78.34	12.09	104.42	130.6	125.24	102.97	307.69	293.07	438.59	206.94	142.01	127.89	229.72	170.25	172.65	201.25	318.57	363.56	379.04	173.85	329.84	320.8	353.59	540.19	444.72	414.87	490.14	470.14	444.72	260.38	483.38	500.46	356.05	514.56	376.41	638.15	356.05	329.84	15.45	0.0	361.04	236.21	242.88	209.84	130.6	183.82	167.9	165.57	201.25	253.23	211.31	403.5	397.93	269.6	371.22	277.2
FBLN5	1295.13	214.27	3820.7	4181.07	2720.15	723.08	1378.57	1651.0	2434.5	1467.37	961.07	981.29	1037.29	612.11	981.29	1977.24	2163.77	4769.75	2061.24	2061.24	2451.44	3564.78	2287.2	4419.52	1781.89	3257.52	1359.57	1909.85	1529.73	1963.57	2417.67	2075.59	2367.9	2224.63	2956.17	1407.55	1340.84	1259.69	169.07	0.0	1378.57	1769.57	1397.83	1208.34	642.59	854.13	1175.27	954.43	1268.46	1936.53	1369.04	6037.61	1832.01	2591.27	1417.35	3190.46
FHL5	12.64	1.5	13.32	76.17	38.95	13.12	90.77	283.05	232.94	58.71	67.59	19.68	46.18	19.39	18.43	89.51	281.09	466.88	112.77	277.2	438.59	341.51	981.29	251.48	228.13	185.11	258.57	126.12	195.72	74.58	185.11	115.97	525.39	249.73	575.03	334.46	115.97	167.9	2.92	0.0	87.65	70.01	58.3	30.78	37.32	67.59	55.49	202.66	21.32	85.22	69.52	111.21	94.01	132.44	52.08	69.52
FIGN	29.06	6.73	48.52	47.17	48.87	13.22	55.49	43.63	108.14	21.01	16.75	20.86	31.0	21.47	14.45	55.49	55.1	101.54	59.97	73.03	127.89	166.73	220.32	287.01	140.04	209.84	56.68	105.15	144.01	80.01	165.57	135.24	189.02	173.85	186.4	171.45	140.04	54.72	1.79	0.0	33.78	13.12	14.45	15.45	11.82	46.5	15.11	37.05	16.39	56.28	34.51	47.5	52.82	131.51	46.18	42.11
FLT4	19.39	12.64	89.51	139.07	55.1	39.22	143.01	153.34	182.55	127.0	43.32	34.75	50.98	48.18	49.91	291.04	256.78	316.37	183.82	325.29	295.11	201.25	616.37	603.67	248.0	251.48	246.28	157.68	371.22	111.21	373.81	368.65	332.14	543.96	490.14	255.0	161.02	138.1	22.75	0.0	96.68	22.1	20.56	24.11	29.48	36.27	39.79	96.68	151.22	148.09	122.64	171.45	122.64	175.07	72.01	53.19
FOXC2	0.29	2.34	4.39	3.06	2.66	5.54	7.51	9.93	12.18	4.86	3.66	1.73	3.41	0.68	0.0	84.63	38.67	19.25	14.14	19.11	107.38	75.64	39.5	170.25	25.91	17.77	23.76	4.46	23.93	41.81	32.59	22.92	146.03	88.88	24.81	17.25	17.0	13.93	5.92	0.0	6.73	3.17	0.56	4.46	4.39	6.06	5.32	5.36	6.84	5.32	4.74	57.89	11.38	25.17	8.38	11.91
FXYD7	3.69	5.54	9.7	2.2	12.36	5.36	27.25	30.12	81.14	46.18	28.04	21.78	13.93	17.38	21.47	16.63	36.79	21.63	76.71	28.86	45.21	67.59	82.87	107.38	52.08	96.01	74.06	110.43	100.83	33.78	201.25	115.16	63.45	133.36	94.67	67.12	67.12	55.1	18.7	0.0	27.25	25.17	31.22	20.26	4.39	11.64	13.72	63.89	58.3	31.45	50.63	33.78	42.41	14.14	22.59	10.31
GABBR1	316.37	26.1	253.23	406.31	409.15	486.75	713.11	813.63	1340.84	660.68	603.67	497.0	483.38	587.13	241.19	1104.13	1832.01	2335.28	1844.76	2163.77	1963.57	1709.26	2075.59	1697.45	2148.82	1662.49	1286.18	1832.01	3103.19	954.43	2739.08	1870.53	2645.74	3372.43	1936.53	2915.45	2240.11	1674.06	51.35	0.0	612.11	336.79	297.17	376.41	397.93	256.78	159.9	651.58	450.94	884.29	703.28	785.88	1023.0	967.76	1331.57	1242.34
