	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.UPIC.0926.SM.4IHLV	TCGA.49.6744.11A.01R.1858.07	TCGA.44.6146.11A.01R.1858.07	GTEX.139TT.0726.SM.5K7XW	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.13FTZ.0526.SM.5IJCW	GTEX.TMMY.0926.SM.4TT1Z	GTEX.PVOW.1026.SM.2XCF9	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.131XW.1126.SM.5EGK4	GTEX.131YS.0926.SM.5IJB9	GTEX.OXRO.0326.SM.33HBM	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.13O3Q.0526.SM.5KM18	GTEX.OIZI.1026.SM.3NB1K	GTEX.UJHI.0726.SM.3DB92	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.14DAR.0226.SM.5S2PR	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.QMRM.0826.SM.3NB33	TCGA.22.5472.11A.11R.1635.07	TCGA.22.4609.11A.01R.2125.07	TCGA.77.7142.11A.01R.2045.07
ATP2B4	563.18	587.13	89.51	684.02	1806.78	2119.22	5913.33	718.08	866.07	1923.14	1277.29	1709.26	2335.28	954.43	2645.74	842.36	1350.18	866.07	830.75	1088.92	5555.65	5751.61	624.99	1350.18	1015.93	2956.17	2004.85	2193.99	890.44	1199.98	1467.37	974.5	1909.85	2417.67	4419.52	5112.16	896.64	1191.69	1111.82	909.17	1225.22	6840.04	819.3	1340.84	743.43	733.19	1417.35	921.88	2627.46	2451.44	1991.0	2209.26
B3GAT2	0.0	2.03	1.75	4.1	7.75	9.93	16.27	4.58	2.84	5.11	6.57	9.7	22.59	3.76	34.51	1.45	3.06	3.89	4.5	5.5	15.0	13.83	6.36	2.07	4.24	10.79	18.97	7.4	3.29	3.44	6.06	7.22	4.82	6.52	5.63	17.38	8.71	5.32	1.77	2.94	2.89	17.13	3.2	3.56	6.11	2.05	5.28	5.28	10.63	7.57	6.67	8.38
B3GNT2	371.22	151.22	291.04	122.64	860.08	1030.12	981.29	915.51	1551.09	329.84	1111.82	1388.16	1674.06	896.64	2018.8	1127.35	1697.45	748.61	1225.22	713.11	1651.0	1143.1	698.41	825.0	1167.14	718.08	1745.2	1127.35	890.44	808.0	1388.16	638.15	941.27	842.36	1757.34	878.17	723.08	412.0	954.43	890.44	802.41	2367.9	525.39	679.29	521.76	759.08	1127.35	1111.82	1059.11	693.58	780.44	1015.93
BMI1	123.5	277.2	212.78	224.97	941.27	791.35	525.39	748.61	587.13	497.0	493.56	1350.18	1044.52	693.58	921.88	830.75	967.76	620.67	830.75	444.72	813.63	1233.75	486.75	607.87	748.61	1015.93	1477.58	2502.97	624.99	571.05	780.44	575.03	713.11	339.14	1167.14	764.36	571.05	400.71	1073.91	909.17	470.14	1832.01	400.71	660.68	748.61	603.67	463.65	612.11	1143.1	825.0	669.92	1111.82
BTBD7	141.02	51.35	46.18	76.71	281.09	299.25	376.41	158.79	193.01	193.01	279.14	248.0	392.44	217.27	507.46	182.55	231.32	220.32	135.24	231.32	400.71	314.17	153.34	189.02	291.04	339.14	368.65	253.23	215.77	269.6	234.57	204.07	172.65	180.02	279.14	293.07	158.79	241.19	204.07	221.86	167.9	441.64	228.13	221.86	205.5	162.14	205.5	285.03	348.71	309.83	265.87	351.14
C12orf23	138.1	312.0	151.22	395.18	500.46	476.71	753.83	236.21	563.18	389.72	318.57	651.58	1044.52	336.79	995.0	301.33	387.02	312.0	209.84	351.14	988.12	775.05	220.32	460.44	490.14	830.75	693.58	665.29	414.87	490.14	334.46	248.0	389.72	363.56	547.75	878.17	242.88	339.14	351.14	376.41	134.3	902.89	450.94	397.93	497.0	202.66	620.67	295.11	483.38	463.65	555.41	638.15
C16orf72	189.02	162.14	142.01	146.03	295.11	318.57	571.05	211.31	209.84	167.9	309.83	387.02	665.29	248.0	595.34	293.07	299.25	234.57	239.52	183.82	476.71	470.14	236.21	226.54	336.79	493.56	339.14	540.19	265.87	208.38	295.11	169.07	334.46	229.72	525.39	503.95	218.79	181.28	224.97	202.66	183.82	808.0	205.5	198.47	186.4	171.45	253.23	269.6	334.46	273.37	343.89	329.84
C21orf91	17.64	16.51	28.45	98.04	204.07	201.25	441.64	98.04	88.26	48.87	92.7	173.85	438.59	89.51	295.11	151.22	209.84	115.97	83.45	166.73	291.04	575.03	144.01	143.01	273.37	409.15	258.57	208.38	113.56	108.14	189.02	92.05	111.99	134.3	379.04	228.13	98.73	115.97	70.01	149.12	96.01	796.86	68.07	198.47	82.29	116.78	94.01	123.5	204.07	194.36	186.4	256.78
C3orf58	47.17	60.82	155.5	86.43	297.17	373.81	1044.52	169.07	438.59	75.11	368.65	708.18	2224.63	406.31	3349.13	356.05	429.54	325.29	307.69	138.1	1199.98	483.38	220.32	579.04	417.77	884.29	1378.57	753.83	246.28	341.51	629.35	305.55	197.09	69.03	358.54	1059.11	215.77	157.68	361.04	358.54	170.25	1199.98	102.97	373.81	205.5	217.27	529.06	212.78	878.17	303.44	400.71	366.09
C4orf32	11.04	24.63	16.39	33.3	129.69	108.14	420.68	55.89	129.69	65.26	56.28	84.63	144.01	126.12	258.57	161.02	62.12	81.71	92.7	47.84	122.64	417.77	79.45	71.0	118.43	320.8	111.21	249.73	81.14	130.6	100.13	116.78	57.49	81.71	155.5	96.68	70.51	99.43	127.0	111.21	82.87	336.79	28.04	52.08	175.07	51.71	43.63	95.34	115.16	78.34	96.68	145.02
C7orf49	1081.39	1015.93	470.14	507.46	860.08	860.08	1191.69	555.41	595.34	713.11	733.19	579.04	723.08	435.55	825.0	921.88	1008.9	679.29	563.18	896.64	1651.0	3372.43	674.59	679.29	674.59	1242.34	1487.87	1127.35	486.75	656.11	708.18	665.29	954.43	1199.98	1059.11	1977.24	575.03	518.15	748.61	624.99	860.08	2609.3	447.82	612.11	579.04	612.11	679.29	713.11	872.1	1088.92	808.0	884.29
CAMK2D	127.89	128.79	236.21	256.78	698.41	603.67	563.18	305.55	363.56	301.33	400.71	591.22	493.56	301.33	603.67	426.57	371.22	463.65	244.57	231.32	860.08	1883.54	309.83	275.28	376.41	1216.75	575.03	1250.98	511.0	255.0	420.68	444.72	902.89	514.56	607.87	2701.35	514.56	297.17	457.25	318.57	329.84	1183.45	314.17	371.22	409.15	190.34	444.72	314.17	423.61	660.68	633.73	723.08
CAMSAP2	47.17	46.18	21.94	22.59	457.25	400.71	921.88	180.02	231.32	171.45	403.5	387.02	406.31	303.44	511.0	220.32	255.0	215.77	151.22	194.36	536.45	703.28	169.07	158.79	409.15	688.78	532.74	466.88	198.47	285.03	341.51	206.94	275.28	209.84	466.88	595.34	248.0	255.0	248.0	215.77	199.85	915.51	218.79	258.57	234.57	193.01	215.77	327.56	356.05	381.68	361.04	463.65
CBL	49.56	16.27	10.96	21.01	183.82	208.38	470.14	83.45	100.13	97.36	141.02	293.07	208.38	105.89	253.23	81.14	173.85	106.63	49.21	187.71	214.27	780.44	102.97	102.97	137.14	316.37	116.78	291.04	108.14	112.77	94.01	74.58	206.94	75.11	291.04	371.22	85.82	98.73	105.15	115.97	159.9	518.15	66.65	126.12	83.45	108.9	178.77	154.42	178.77	271.48	143.01	202.66
CCDC117	92.7	217.27	201.25	217.27	363.56	332.14	507.46	165.57	167.9	132.44	269.6	450.94	249.73	218.79	361.04	217.27	273.37	251.48	199.85	190.34	406.31	723.08	226.54	146.03	275.28	400.71	211.31	226.54	232.94	175.07	249.73	186.4	244.57	312.0	460.44	417.77	273.37	182.55	201.25	260.38	130.6	769.69	201.25	202.66	295.11	204.07	271.48	195.72	285.03	299.25	226.54	376.41
CGGBP1	277.2	269.6	275.28	518.15	1081.39	1088.92	1183.45	780.44	769.69	450.94	728.11	1685.71	1447.15	954.43	2163.77	780.44	1167.14	780.44	796.86	607.87	1096.5	1583.71	620.67	708.18	1023.0	1051.79	1331.57	1127.35	896.64	1051.79	947.83	791.35	884.29	503.95	1023.0	1119.56	669.92	796.86	791.35	967.76	518.15	2004.85	642.59	743.43	836.53	974.5	928.3	961.07	1225.22	961.07	909.17	1313.23
CNOT4	82.87	118.43	59.97	110.43	316.37	305.55	309.83	178.77	202.66	144.01	285.03	267.73	327.56	209.84	348.71	182.55	277.2	197.09	138.1	178.77	249.73	529.06	146.03	201.25	248.0	423.61	356.05	301.33	205.5	194.36	193.01	218.79	262.2	218.79	325.29	361.04	194.36	178.77	193.01	194.36	182.55	607.87	138.1	242.88	248.0	183.82	220.32	234.57	264.03	287.01	239.52	305.55
CNTN4	3.69	7.69	18.29	24.63	108.14	81.14	187.71	39.5	23.59	38.12	79.45	162.14	177.53	52.45	753.83	70.51	48.87	33.06	22.92	24.11	314.17	258.57	20.11	49.21	45.53	183.82	435.55	120.1	85.82	33.54	97.36	32.13	49.91	66.18	156.59	312.0	132.44	12.83	71.5	125.24	33.3	518.15	18.16	39.79	44.25	36.01	73.03	98.04	323.03	90.14	59.13	94.67
COG5	140.04	105.15	77.79	85.82	417.77	368.65	371.22	244.57	176.29	246.28	271.48	414.87	656.11	217.27	743.43	162.14	314.17	206.94	115.97	181.28	503.95	423.61	178.77	199.85	204.07	356.05	507.46	366.09	231.32	279.14	426.57	239.52	406.31	197.09	346.29	420.68	289.02	155.5	273.37	158.79	289.02	435.55	205.5	193.01	289.02	214.27	253.23	242.88	332.14	406.31	363.56	353.59
COMMD10	301.33	301.33	242.88	327.56	486.75	429.54	486.75	409.15	432.53	279.14	332.14	981.29	1208.34	366.09	854.13	356.05	490.14	351.14	397.93	175.07	563.18	463.65	332.14	287.01	332.14	379.04	1242.34	1508.65	389.72	309.83	836.53	429.54	607.87	281.09	392.44	307.69	406.31	264.03	511.0	325.29	232.94	1023.0	563.18	295.11	457.25	466.88	460.44	332.14	620.67	536.45	466.88	507.46
CRMP1	221.86	32.82	8.78	1.27	202.66	241.19	693.58	85.22	62.12	251.48	158.79	301.33	674.59	38.12	447.82	159.9	118.43	94.67	142.01	93.35	303.44	2047.0	58.3	94.67	329.84	791.35	363.56	497.0	48.52	55.89	65.72	83.45	220.32	81.14	483.38	607.87	36.79	76.17	101.54	64.34	68.55	974.5	81.71	94.67	118.43	71.5	275.28	106.63	221.86	312.0	148.09	197.09
CRYBG3	27.44	57.08	11.38	33.78	414.87	332.14	457.25	161.02	260.38	134.3	218.79	299.25	511.0	279.14	688.78	251.48	193.01	198.47	318.57	169.07	447.82	884.29	279.14	301.33	409.15	947.83	679.29	708.18	318.57	220.32	414.87	287.01	241.19	178.77	320.8	718.08	447.82	205.5	231.32	281.09	175.07	1088.92	202.66	275.28	343.89	224.97	206.94	320.8	384.34	366.09	351.14	438.59
CSNK1G3	37.32	140.04	99.43	118.43	384.34	389.72	387.02	208.38	275.28	205.5	289.02	279.14	555.41	281.09	638.15	212.78	208.38	229.72	255.0	201.25	426.57	514.56	211.31	231.32	307.69	536.45	753.83	500.46	265.87	248.0	251.48	178.77	287.01	211.31	503.95	336.79	293.07	212.78	255.0	214.27	175.07	629.35	269.6	260.38	387.02	182.55	279.14	214.27	336.79	351.14	305.55	435.55
CTDSPL2	24.46	43.63	37.59	58.3	320.8	291.04	346.29	171.45	155.5	94.67	246.28	249.73	447.82	191.67	603.67	143.01	209.84	172.65	143.01	131.51	353.59	438.59	140.04	146.03	323.03	463.65	559.28	444.72	218.79	220.32	211.31	186.4	273.37	295.11	457.25	540.19	239.52	190.34	153.34	169.07	102.97	642.59	133.36	221.86	267.73	114.36	193.01	262.2	346.29	329.84	314.17	351.14
CTNNAL1	193.01	532.74	163.28	463.65	1233.75	1295.13	5633.22	748.61	514.56	656.11	759.08	1572.76	4038.61	896.64	3955.48	1088.92	791.35	665.29	674.59	638.15	4152.18	2287.2	1066.48	507.46	708.18	2573.36	7180.15	1806.78	808.0	780.44	1674.06	713.11	713.11	1340.84	1498.22	1437.15	1037.29	723.08	813.63	1127.35	409.15	2855.44	620.67	665.29	961.07	579.04	878.17	967.76	1685.71	1529.73	1208.34	1721.16
DLGAP4	769.69	764.36	412.0	351.14	1088.92	1417.35	2701.35	961.07	941.27	1088.92	1081.39	1304.15	1950.0	743.43	1208.34	1104.13	1104.13	688.78	567.1	954.43	2351.53	2895.31	684.02	1015.93	1175.27	2591.27	1551.09	1685.71	819.3	890.44	866.07	674.59	961.07	1096.5	1857.6	3955.48	693.58	830.75	902.89	674.59	981.29	2956.17	941.27	1081.39	693.58	693.58	1135.2	1151.06	934.76	1417.35	1104.13	1277.29
DYM	283.05	332.14	368.65	241.19	633.73	483.38	532.74	318.57	232.94	366.09	409.15	620.67	547.75	403.5	571.05	356.05	444.72	353.59	163.28	371.22	612.11	514.56	358.54	279.14	435.55	808.0	684.02	575.03	450.94	264.03	607.87	339.14	511.0	373.81	718.08	373.81	441.64	389.72	500.46	314.17	260.38	967.76	450.94	441.64	392.44	480.04	463.65	363.56	521.76	536.45	486.75	603.67
EDEM3	70.01	271.48	118.43	164.42	353.59	371.22	819.3	161.02	248.0	170.25	158.79	414.87	454.09	199.85	476.71	373.81	279.14	201.25	267.73	197.09	688.78	842.36	264.03	170.25	312.0	733.19	476.71	450.94	267.73	231.32	249.73	291.04	334.46	197.09	599.49	540.19	181.28	303.44	293.07	269.6	202.66	638.15	117.6	255.0	387.02	178.77	190.34	244.57	271.48	336.79	371.22	457.25
EEA1	16.51	46.5	17.38	34.26	212.78	187.71	249.73	81.71	127.0	90.14	136.19	163.28	187.71	136.19	236.21	102.25	137.14	102.97	89.51	59.97	229.72	189.02	65.26	68.55	169.07	221.86	275.28	223.41	113.56	147.06	162.14	100.83	171.45	101.54	190.34	246.28	100.13	106.63	152.28	96.68	108.14	381.68	71.5	109.66	146.03	90.14	95.34	120.94	175.07	223.41	169.07	211.31
EFNB2	122.64	59.97	25.91	40.64	1183.45	1015.93	830.75	642.59	387.02	620.67	2004.85	1662.49	1051.79	669.92	3280.18	540.19	1199.98	423.61	791.35	1340.84	1350.18	2319.15	1250.98	476.71	1135.2	708.18	2468.49	1350.18	684.02	423.61	830.75	543.96	825.0	521.76	1250.98	1066.48	1508.65	346.29	438.59	599.49	571.05	5791.62	785.88	748.61	802.41	414.87	830.75	819.3	2209.26	785.88	934.76	1477.58
FAS	81.14	195.72	150.17	83.45	595.34	679.29	1551.09	507.46	325.29	363.56	316.37	830.75	2104.58	381.68	1832.01	256.78	417.77	525.39	170.25	493.56	1628.26	1662.49	198.47	289.02	607.87	1127.35	954.43	2240.11	285.03	563.18	567.1	447.82	447.82	1259.69	872.1	1191.69	332.14	629.35	441.64	187.71	343.89	1709.26	281.09	187.71	387.02	295.11	412.0	341.51	343.89	656.11	860.08	693.58
FLI1	253.23	58.71	61.68	76.71	848.22	1023.0	4298.64	796.86	842.36	438.59	620.67	1127.35	2400.97	397.93	5076.84	603.67	995.0	679.29	1119.56	1151.06	2032.85	5403.7	1127.35	669.92	1259.69	2682.69	2609.3	1605.83	1617.0	314.17	559.28	373.81	651.58	480.04	2240.11	1437.15	780.44	587.13	723.08	813.63	890.44	5183.54	137.14	848.22	1143.1	559.28	981.29	665.29	1794.29	1096.5	961.07	981.29
FNDC3A	51.35	246.28	146.03	400.71	713.11	603.67	1844.76	543.96	536.45	299.25	358.54	417.77	555.41	480.04	796.86	301.33	423.61	397.93	301.33	379.04	902.89	1388.16	297.17	406.31	647.07	500.46	995.0	1008.9	575.03	466.88	607.87	403.5	647.07	441.64	941.27	909.17	607.87	438.59	490.14	684.02	320.8	2004.85	327.56	447.82	902.89	444.72	251.48	764.36	718.08	651.58	624.99	728.11
GNB4	55.1	7.57	7.4	15.22	303.44	309.83	384.34	204.07	102.25	87.65	483.38	351.14	251.48	108.14	373.81	53.95	351.14	262.2	97.36	163.28	336.79	947.83	99.43	71.0	476.71	343.89	967.76	323.03	133.36	159.9	105.89	100.13	157.68	228.13	819.3	941.27	381.68	74.06	176.29	144.01	177.53	1388.16	77.79	209.84	171.45	147.06	145.02	264.03	1104.13	438.59	248.0	287.01
GPR63	0.74	0.56	0.0	2.63	13.12	14.24	25.72	7.28	4.54	2.23	3.66	15.0	65.26	2.16	111.99	5.92	9.48	0.38	1.99	4.03	61.25	74.06	0.85	4.78	6.11	38.95	62.56	15.34	1.28	3.08	9.34	2.97	8.13	10.39	12.74	19.97	1.25	3.76	2.78	3.99	3.26	27.05	1.48	5.06	2.78	3.72	18.56	3.69	7.94	13.62	7.34	9.7
GUCY1A2	6.62	6.26	2.63	5.77	147.06	100.13	387.02	69.52	26.28	65.72	62.12	155.5	656.11	26.86	373.81	76.71	79.45	40.93	44.57	63.45	194.36	674.59	45.85	34.75	81.14	346.29	409.15	194.36	59.97	32.59	48.18	51.35	54.72	132.44	289.02	476.71	80.57	48.52	92.05	21.32	30.56	460.44	32.13	29.91	57.89	24.99	129.69	45.53	177.53	149.12	101.54	139.07
GUCY1B3	107.38	40.36	51.71	22.92	351.14	363.56	748.61	281.09	131.51	150.17	232.94	503.95	1304.15	144.01	1096.5	267.73	312.0	277.2	215.77	249.73	656.11	1617.0	182.55	190.34	334.46	1208.34	890.44	698.41	178.77	186.4	371.22	209.84	412.0	132.44	384.34	1250.98	166.73	171.45	256.78	163.28	125.24	995.0	175.07	251.48	180.02	113.56	293.07	212.78	490.14	435.55	384.34	361.04
HES1	400.71	497.0	444.72	909.17	226.54	836.53	4010.71	579.04	373.81	674.59	1191.69	1551.09	2537.92	915.51	2468.49	878.17	902.89	332.14	629.35	656.11	1540.37	4481.23	303.44	295.11	896.64	2915.45	2384.37	2875.3	409.15	497.0	267.73	409.15	599.49	836.53	1104.13	1250.98	256.78	532.74	703.28	269.6	392.44	7589.61	1233.75	165.57	368.65	231.32	1397.83	473.41	1088.92	343.89	540.19	954.43
HNRNPA2B1	6250.56	7081.29	5403.7	8305.36	10585.95	11745.96	26800.01	6294.04	10883.59	7695.57	6426.31	16960.78	15499.21	16843.62	17681.08	4210.15	13872.08	11424.74	12853.63	7485.11	19892.37	23820.89	6607.01	8901.53	9673.69	11035.54	12943.04	22692.63	6745.86	11992.79	12589.08	6561.36	10659.59	8840.04	10440.2	12764.83	6337.83	5292.48	7966.99	9215.48	8421.31	12076.21	6983.79	8963.45	5954.47	6381.92	11504.21	7966.99	10733.74	11189.6	11827.67	10585.95
HNRNPH3	909.17	836.53	802.41	1143.1	2855.44	3212.66	7230.1	2555.58	1594.73	2193.99	1819.35	5219.6	4869.99	3928.15	4769.75	1819.35	3467.27	1991.0	3303.0	1617.0	4543.8	6887.62	1551.09	2287.2	2537.92	4671.57	3372.43	8191.0	1936.53	2520.38	2224.63	2163.77	3081.75	2209.26	2090.03	4181.07	2061.24	1769.57	2148.82	2351.53	1806.78	3690.52	3325.99	2485.67	2224.63	1561.89	2645.74	1508.65	1883.54	2997.45	3190.46	3257.52
IGF2BP2	6.78	98.73	14.35	33.54	197.09	199.85	1733.13	27.84	22.92	99.43	111.21	151.22	117.6	155.5	71.5	84.04	63.0	59.55	55.49	124.37	896.64	2777.33	51.71	48.52	127.0	1135.2	144.01	353.59	101.54	45.85	106.63	31.45	309.83	155.5	785.88	3018.3	81.71	36.53	56.68	85.22	90.77	902.89	88.88	98.73	54.33	36.27	63.45	118.43	199.85	185.11	212.78	285.03
ILDR2	102.25	17.13	3.29	17.38	20.26	7.94	39.79	11.47	4.24	5.92	18.84	14.78	45.53	2.84	52.08	9.7	15.56	1.43	2.29	12.83	55.1	132.44	2.53	27.84	29.06	10.39	84.04	44.89	6.78	8.32	14.14	4.78	15.0	4.06	32.13	58.3	1.62	5.87	11.04	1.25	10.96	34.26	6.57	19.82	2.43	1.99	7.94	6.67	12.83	17.25	11.47	39.79
