	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.PX3G.0826.SM.48TZS	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.X3Y1.2726.SM.4PQZH	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.EM.A1CU.01A.11R.A13Y.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.11TT1.1126.SM.5P9GV
CASC3	591.22	1277.29	633.73	825.0	466.88	417.77	397.93	279.14	511.0	480.04	312.0	346.29	406.31	299.25	285.03	366.09	264.03	457.25	420.68	187.71	395.18	224.97	1331.57	842.36	1487.87	941.27	1023.0	1487.87	1191.69	1250.98	1709.26	1051.79	1313.23	1551.09	1605.83	1447.15	1277.29	1583.71	1519.15	1216.75	1037.29	1437.15	1183.45
CCDC113	71.5	579.04	194.36	33.78	12.55	6.11	8.99	10.88	14.56	22.26	30.56	26.28	18.43	40.07	32.59	21.32	10.96	13.03	8.78	22.26	12.45	18.16	55.1	41.81	44.89	29.27	25.54	52.45	43.94	46.5	69.52	24.99	41.52	49.91	61.25	68.55	59.13	52.08	45.21	39.79	27.05	41.22	48.18
CCNI	3443.31	7749.1	5076.84	4704.07	603.67	2224.63	1359.57	1437.15	2591.27	2004.85	1119.56	2209.26	1963.57	1639.59	2555.58	1950.0	1417.35	3589.58	1388.16	1259.69	2163.77	4802.93	5441.3	6079.61	9945.68	4388.98	7032.37	6652.97	9279.58	8363.13	10084.54	4937.99	4769.75	9025.81	9215.48	7911.95	8022.41	8840.04	8305.36	6337.83	4671.57	6207.38	4512.4
CD47	6121.9	2816.11	1572.76	3419.52	1628.26	1331.57	808.0	733.19	2271.4	2319.15	753.83	1268.46	1936.53	995.0	1757.34	808.0	3614.55	1745.2	518.15	733.19	1745.2	1583.71	3794.3	3794.3	5711.87	2875.3	2956.17	4671.57	4836.35	4937.99	5112.16	3491.39	5076.84	4450.27	5219.6	4802.93	4937.99	5479.15	3955.48	3349.13	2573.36	4038.61	1674.06
CDKAL1	249.73	148.09	209.84	176.29	112.77	94.67	78.34	59.55	128.79	91.41	87.03	107.38	90.14	84.04	94.67	114.36	112.77	108.14	69.03	78.34	71.5	121.79	201.25	236.21	204.07	161.02	312.0	260.38	194.36	209.84	224.97	162.14	253.23	239.52	248.0	246.28	202.66	295.11	279.14	199.85	205.5	228.13	171.45
CLU	1472666.19	2729110.67	1085552.95	894051.48	131071.0	200048.85	226632.25	220434.95	546551.29	450134.56	672883.8	1171559.48	817012.28	614902.29	1383603.33	1171559.48	550352.86	731246.37	619179.28	456418.21	517068.97	958220.73	472513.8	447025.24	558035.51	383800.28	524287.0	459592.86	672883.8	475800.4	641014.63	462789.59	527933.71	598087.73	389157.95	391864.76	502929.67	475800.4	938500.81	589853.66	459592.86	736332.6	1131651.83
COPG2	1551.09	1322.37	1487.87	1030.12	206.94	176.29	249.73	173.85	423.61	293.07	320.8	381.68	323.03	237.86	325.29	366.09	450.94	420.68	283.05	214.27	202.66	346.29	1437.15	808.0	1159.07	1167.14	1159.07	1819.35	1286.18	1250.98	1407.55	995.0	1359.57	1183.45	1457.23	1250.98	1427.22	1175.27	1216.75	1059.11	1119.56	995.0	1127.35
CYP1B1	177.53	1175.27	190.34	305.55	18.16	29.06	35.25	53.19	90.77	37.05	41.22	197.09	69.03	40.64	106.63	52.82	106.63	163.28	66.18	20.86	215.77	199.85	988.12	567.1	1909.85	316.37	1096.5	2816.11	1378.57	1331.57	3039.3	559.28	2915.45	2895.31	2875.3	5403.7	1467.37	1088.92	1467.37	780.44	656.11	1617.0	118.43
DCAF8	1844.76	2976.74	2287.2	1529.73	1467.37	1277.29	1870.53	1594.73	2701.35	2303.12	2178.83	1977.24	2032.85	2701.35	1870.53	2537.92	2796.65	1378.57	2701.35	1832.01	1709.26	1477.58	3280.18	2875.3	2915.45	2209.26	3168.41	3639.7	2777.33	2796.65	3614.55	2451.44	4388.98	3146.52	3665.02	2956.17	3515.68	3039.3	2976.74	3235.01	2255.7	3491.39	2591.27
DCTD	890.44	2090.03	1909.85	1259.69	529.06	1111.82	1359.57	1073.91	1447.15	1685.71	1572.76	1697.45	1233.75	1427.22	1259.69	2178.83	981.29	2255.7	890.44	1208.34	1950.0	1896.65	2319.15	1909.85	1844.76	1697.45	2018.8	2335.28	2240.11	2061.24	2537.92	1651.0	2645.74	2303.12	2485.67	2090.03	2895.31	2163.77	2417.67	1870.53	1628.26	2271.4	2502.97
DSTYK	78.34	189.02	123.5	159.9	16.88	22.59	26.1	16.27	65.72	23.59	28.86	21.32	36.53	30.12	23.42	27.25	10.24	66.65	11.73	1.89	33.3	28.45	198.47	164.42	197.09	131.51	172.65	187.71	193.01	180.02	244.57	167.9	199.85	214.27	228.13	204.07	191.67	208.38	205.5	163.28	148.09	215.77	154.42
FAM134A	1313.23	3982.99	2384.37	2627.46	1936.53	1259.69	1477.58	1529.73	1685.71	1322.37	1594.73	2032.85	2335.28	1051.79	1963.57	1551.09	1794.29	2400.97	1135.2	1467.37	1794.29	2240.11	2739.08	2777.33	3665.02	2627.46	2997.45	3303.0	2976.74	3372.43	3190.46	2047.0	3235.01	3540.14	3768.09	3212.66	3794.3	3419.52	3467.27	2720.15	2520.38	2935.74	2367.9
FAM169A	5.77	139.07	2.51	4.35	23.59	17.13	22.43	18.43	19.97	33.78	25.17	30.34	40.93	18.84	40.93	34.26	98.73	90.14	21.01	22.92	18.43	30.56	132.44	78.89	94.67	72.52	65.26	191.67	121.79	92.05	144.01	98.73	103.69	123.5	113.56	316.37	137.14	126.12	95.34	62.56	71.0	102.25	109.66
FOXO4	98.73	571.05	109.66	346.29	135.24	154.42	100.13	108.9	228.13	142.01	115.97	209.84	334.46	165.57	248.0	204.07	120.1	232.94	106.63	223.41	221.86	373.81	348.71	303.44	351.14	201.25	327.56	447.82	236.21	346.29	473.41	127.0	316.37	426.57	447.82	368.65	463.65	420.68	454.09	332.14	293.07	376.41	307.69
GATAD2B	159.9	180.02	182.55	186.4	54.72	45.85	71.5	58.3	127.89	106.63	86.43	80.57	67.59	64.34	63.45	108.14	83.45	60.82	124.37	53.57	61.68	34.02	264.03	214.27	214.27	171.45	239.52	291.04	194.36	283.05	327.56	195.72	283.05	279.14	299.25	279.14	269.6	307.69	273.37	190.34	181.28	256.78	175.07
IQCH	60.82	43.63	48.52	20.41	8.38	2.2	9.2	11.13	4.46	27.84	11.13	32.82	4.86	5.45	19.97	21.63	4.21	3.92	8.85	5.06	11.64	18.29	38.12	27.05	35.25	25.35	28.86	38.12	29.91	35.0	66.18	22.75	42.71	45.85	46.84	45.53	40.07	36.27	26.67	36.79	27.44	55.1	63.45
IRAK1BP1	47.84	99.43	91.41	72.52	40.93	18.97	8.92	18.97	47.84	33.78	38.67	32.82	13.42	16.88	13.42	15.68	10.88	12.74	43.02	9.7	8.65	14.35	79.45	80.01	88.26	41.22	53.95	77.79	50.27	101.54	82.87	81.71	76.71	69.03	74.06	47.17	115.16	96.68	78.34	44.25	35.5	59.97	63.45
KAT7	351.14	353.59	389.72	397.93	186.4	164.42	163.28	131.51	358.54	142.01	138.1	253.23	209.84	176.29	191.67	217.27	223.41	281.09	153.34	139.07	214.27	206.94	595.34	599.49	733.19	454.09	629.35	748.61	587.13	563.18	836.53	497.0	651.58	759.08	780.44	660.68	713.11	723.08	698.41	616.37	497.0	703.28	629.35
KCTD18	166.73	323.03	253.23	201.25	148.09	113.56	145.02	115.97	165.57	108.14	161.02	223.41	187.71	194.36	194.36	287.01	94.67	180.02	136.19	100.83	148.09	195.72	251.48	215.77	353.59	172.65	234.57	329.84	269.6	295.11	373.81	223.41	316.37	299.25	336.79	293.07	329.84	291.04	301.33	253.23	208.38	314.17	339.14
KMT2A	206.94	205.5	236.21	194.36	50.63	43.94	67.59	38.4	169.07	102.97	111.99	176.29	119.26	131.51	80.01	169.07	58.71	120.1	119.26	25.17	62.12	112.77	271.48	187.71	289.02	173.85	269.6	312.0	208.38	224.97	376.41	206.94	249.73	417.77	358.54	429.54	217.27	293.07	248.0	208.38	226.54	343.89	211.31
MAML3	70.01	100.13	84.63	121.79	26.28	33.06	28.65	28.24	48.87	36.53	42.11	72.52	36.79	107.38	46.5	78.34	31.45	23.93	32.13	69.03	23.42	58.3	125.24	102.97	149.12	74.58	122.64	156.59	124.37	161.02	221.86	106.63	183.82	158.79	172.65	144.01	158.79	153.34	148.09	127.89	120.94	142.01	79.45
MRPS27	514.56	934.76	860.08	665.29	476.71	438.59	486.75	571.05	607.87	571.05	764.36	693.58	808.0	674.59	764.36	521.76	543.96	743.43	441.64	656.11	684.02	967.76	759.08	785.88	872.1	753.83	780.44	796.86	988.12	842.36	928.3	684.02	753.83	854.13	902.89	764.36	947.83	1015.93	878.17	743.43	733.19	808.0	896.64
MTMR12	669.92	172.65	366.09	325.29	161.02	171.45	120.1	211.31	214.27	171.45	166.73	267.73	283.05	176.29	212.78	237.86	153.34	226.54	161.02	197.09	176.29	194.36	320.8	353.59	332.14	267.73	285.03	567.1	406.31	346.29	447.82	316.37	514.56	476.71	473.41	967.76	529.06	486.75	379.04	277.2	400.71	305.55	236.21
NAB1	58.71	713.11	327.56	616.37	98.73	234.57	205.5	389.72	525.39	239.52	155.5	299.25	490.14	248.0	260.38	392.44	246.28	497.0	429.54	470.14	511.0	332.14	947.83	674.59	1015.93	532.74	674.59	961.07	995.0	836.53	1191.69	684.02	1023.0	1073.91	1015.93	974.5	708.18	813.63	802.41	796.86	656.11	884.29	490.14
NEK5	15.68	64.34	8.99	4.03	0.0	0.0	0.0	0.0	1.51	1.48	0.0	0.0	0.41	1.73	0.0	0.0	0.0	0.0	1.46	0.0	0.35	0.0	3.53	3.17	4.13	0.71	0.37	1.71	2.05	3.53	5.32	0.67	4.98	7.51	3.53	8.25	4.5	4.06	6.36	1.69	4.17	6.11	9.85
NFIX	332.14	1467.37	1709.26	825.0	269.6	229.72	229.72	277.2	599.49	353.59	457.25	1081.39	642.59	665.29	1242.34	426.57	327.56	651.58	497.0	279.14	392.44	988.12	1447.15	1023.0	1175.27	521.76	612.11	1991.0	1259.69	1350.18	1697.45	743.43	954.43	974.5	1467.37	1709.26	1467.37	1295.13	1529.73	884.29	961.07	1268.46	1447.15
NMBR	0.28	1.45	0.36	3.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08	0.93	1.93	0.4	1.48	4.86	3.26	3.92	2.27	0.85	0.38	2.58	4.5	1.23	2.2	2.39	1.73	0.64	0.0	0.69	2.89
OSBP2	75.11	13.42	66.18	46.5	9.2	10.0	6.36	9.78	16.27	7.34	24.11	84.63	49.56	3.47	14.56	36.27	4.54	20.86	4.06	4.03	12.45	47.5	133.36	99.43	128.79	67.59	76.17	144.01	93.35	105.15	85.82	84.63	108.9	117.6	116.78	137.14	83.45	77.79	111.21	80.57	78.34	109.66	120.94
OTUD7A	6.62	23.25	10.08	17.64	3.82	4.58	1.95	4.21	6.62	4.82	9.63	21.47	5.23	7.63	4.62	2.03	0.87	11.64	6.94	13.93	4.5	5.96	13.42	10.08	19.39	8.92	12.83	15.0	10.16	14.78	14.45	3.82	18.43	18.43	21.47	17.25	16.27	13.62	17.25	22.92	7.34	13.32	16.27
PITPNA	563.18	1286.18	1397.83	1427.22	255.0	703.28	514.56	540.19	575.03	480.04	624.99	698.41	693.58	575.03	620.67	656.11	1059.11	802.41	423.61	490.14	497.0	620.67	1407.55	1066.48	1447.15	1322.37	1216.75	1709.26	1378.57	1183.45	1437.15	1143.1	1508.65	1487.87	1447.15	1639.59	1457.23	1388.16	1199.98	1378.57	1331.57	1378.57	1277.29
PKIA	20.11	25.91	23.08	180.02	2.07	3.53	1.95	3.17	67.59	8.85	0.0	4.06	15.91	3.63	9.78	3.47	7.28	15.34	1.55	0.13	37.32	0.0	521.76	616.37	830.75	275.28	414.87	1216.75	397.93	579.04	323.03	289.02	974.5	921.88	638.15	1167.14	848.22	1199.98	961.07	579.04	277.2	444.72	587.13
PNMA1	775.05	813.63	1111.82	1096.5	67.59	136.19	49.21	29.7	285.03	46.84	56.68	84.04	115.16	67.59	78.34	91.41	41.52	332.14	54.72	26.86	80.01	96.01	947.83	665.29	1159.07	543.96	780.44	1388.16	1088.92	1151.06	1044.52	759.08	1350.18	1015.93	1233.75	1304.15	1313.23	995.0	909.17	848.22	612.11	941.27	656.11
RAB39B	14.14	55.89	1.45	5.11	0.38	3.14	0.0	0.51	4.43	2.63	2.53	2.03	4.7	4.06	3.72	1.3	4.5	6.62	0.45	1.27	2.46	0.38	63.89	45.85	50.98	27.25	38.95	73.54	65.72	44.25	75.11	38.4	35.5	50.63	57.08	83.45	58.71	53.19	63.0	53.19	25.35	45.85	18.84
RAB3GAP1	529.06	567.1	525.39	457.25	155.5	228.13	211.31	167.9	301.33	190.34	218.79	381.68	301.33	212.78	366.09	307.69	239.52	353.59	162.14	182.55	297.17	403.5	547.75	438.59	603.67	414.87	555.41	540.19	571.05	575.03	684.02	521.76	529.06	693.58	669.92	616.37	547.75	603.67	575.03	483.38	503.95	571.05	540.19
RCOR3	423.61	848.22	563.18	361.04	275.28	163.28	220.32	154.42	351.14	273.37	232.94	241.19	242.88	186.4	163.28	376.41	189.02	158.79	376.41	114.36	267.73	193.01	896.64	808.0	1208.34	547.75	866.07	1008.9	848.22	915.51	1304.15	769.69	1295.13	1127.35	1143.1	1159.07	902.89	934.76	915.51	884.29	769.69	934.76	860.08
RERE	525.39	1605.83	775.05	1001.93	141.02	248.0	246.28	180.02	679.29	297.17	406.31	305.55	190.34	334.46	426.57	473.41	128.79	438.59	295.11	127.0	318.57	265.87	1407.55	1088.92	1295.13	961.07	1437.15	1757.34	1059.11	1437.15	1628.26	928.3	1151.06	1529.73	1447.15	1628.26	1313.23	1417.35	1467.37	1313.23	1191.69	1457.23	974.5
RNF38	165.57	536.45	220.32	373.81	93.35	89.51	96.68	77.79	239.52	121.79	104.42	198.47	146.03	126.12	137.14	215.77	102.97	154.42	165.57	153.34	140.04	138.1	353.59	332.14	532.74	249.73	423.61	466.88	441.64	493.56	660.68	358.54	470.14	507.46	563.18	450.94	486.75	521.76	511.0	371.22	346.29	511.0	389.72
SGK3	204.07	228.13	100.13	77.79	102.25	183.82	133.36	123.5	232.94	94.67	72.01	209.84	119.26	156.59	136.19	206.94	46.84	211.31	129.69	264.03	146.03	136.19	1073.91	232.94	441.64	265.87	309.83	616.37	307.69	551.56	256.78	241.19	256.78	450.94	518.15	612.11	248.0	356.05	483.38	246.28	209.84	466.88	209.84
SLIT2	77.25	769.69	65.72	95.34	9.13	14.03	22.1	4.54	52.82	45.53	18.97	11.47	10.63	16.15	40.64	17.25	31.22	105.15	23.93	9.63	11.91	7.17	532.74	146.03	182.55	232.94	164.42	483.38	202.66	356.05	334.46	163.28	733.19	423.61	441.64	1111.82	371.22	444.72	339.14	264.03	137.14	205.5	217.27
SMARCC2	669.92	1519.15	1044.52	703.28	215.77	183.82	239.52	154.42	591.22	244.57	309.83	493.56	395.18	466.88	351.14	536.45	211.31	429.54	332.14	137.14	336.79	441.64	1467.37	1081.39	1127.35	884.29	1295.13	1769.57	1037.29	1167.14	1794.29	848.22	1378.57	1697.45	1674.06	1477.58	1340.84	1519.15	1397.83	995.0	1233.75	1529.73	878.17
SPTAN1	915.51	1096.5	1233.75	1923.14	1233.75	417.77	454.09	339.14	872.1	591.22	547.75	698.41	603.67	583.07	620.67	884.29	571.05	1844.76	656.11	229.72	454.09	591.22	2627.46	2956.17	2609.3	1977.24	2645.74	3325.99	2319.15	2796.65	3257.52	1857.6	3395.89	2796.65	3124.78	3515.68	3665.02	3419.52	2835.7	2075.59	2400.97	3039.3	1551.09
SRSF12	1.99	7.63	40.93	20.11	3.35	6.26	2.32	6.41	7.63	0.0	3.35	0.53	18.7	5.32	1.16	6.11	2.05	4.35	5.54	4.06	0.09	0.48	33.3	23.08	34.02	15.0	33.78	49.91	20.41	34.51	49.91	26.1	53.19	25.35	37.85	35.76	39.22	31.0	29.27	19.68	31.0	29.7	18.29
SSPN	28.04	551.56	164.42	351.14	2.2	7.88	4.06	4.78	54.72	32.59	0.0	17.51	23.93	6.16	19.97	1.87	15.56	83.45	14.78	5.87	3.23	14.78	204.07	130.6	525.39	84.63	384.34	708.18	209.84	275.28	733.19	36.53	441.64	624.99	379.04	723.08	260.38	409.15	420.68	273.37	155.5	575.03	145.02
THAP10	94.01	76.71	55.49	81.14	18.56	14.56	31.9	14.03	42.41	29.27	68.07	75.11	32.59	38.95	51.35	16.39	27.05	50.98	9.06	15.91	19.97	55.49	105.89	43.02	76.71	54.33	64.8	70.51	87.65	69.03	78.89	57.89	58.3	99.43	112.77	112.77	93.35	71.0	92.05	42.41	55.89	61.68	69.52
TMEM231	224.97	934.76	379.04	141.02	10.47	41.22	33.3	39.22	125.24	24.46	77.79	205.5	47.84	55.89	109.66	46.84	24.99	70.01	32.13	20.86	43.02	41.52	320.8	260.38	251.48	145.02	234.57	353.59	303.44	289.02	287.01	214.27	327.56	262.2	281.09	249.73	366.09	277.2	316.37	283.05	198.47	264.03	256.78
TOMM20	4419.52	2627.46	2319.15	2209.26	1709.26	2193.99	1259.69	1208.34	1697.45	1437.15	1313.23	1628.26	1233.75	1529.73	1295.13	1407.55	651.58	2367.9	1487.87	1991.0	981.29	2303.12	2664.15	1991.0	3280.18	2119.22	2384.37	2956.17	3103.19	3190.46	3395.89	1936.53	2609.3	3103.19	3564.78	2855.44	2816.11	2895.31	2777.33	2335.28	1605.83	2319.15	1923.14
TRIM39	195.72	316.37	221.86	236.21	115.97	151.22	94.01	108.14	150.17	96.01	105.89	111.21	151.22	117.6	101.54	119.26	64.34	120.1	69.52	68.07	96.68	108.9	260.38	267.73	301.33	231.32	244.57	325.29	295.11	295.11	348.71	208.38	323.03	312.0	348.71	293.07	325.29	343.89	318.57	264.03	223.41	305.55	273.37
XPO7	334.46	764.36	514.56	457.25	103.69	164.42	198.47	183.82	483.38	170.25	281.09	409.15	435.55	460.44	289.02	395.18	177.53	368.65	251.48	59.97	336.79	339.14	848.22	624.99	819.3	559.28	848.22	878.17	791.35	718.08	1073.91	660.68	728.11	1073.91	896.64	921.88	775.05	813.63	878.17	688.78	651.58	884.29	591.22
YAP1	688.78	825.0	1295.13	1159.07	237.86	253.23	281.09	291.04	540.19	262.2	316.37	500.46	518.15	299.25	392.44	371.22	262.2	660.68	332.14	260.38	341.51	414.87	1605.83	842.36	1369.04	1059.11	1467.37	1781.89	1208.34	1208.34	1733.13	1059.11	1498.22	1819.35	1662.49	1832.01	1322.37	1304.15	1286.18	1111.82	1151.06	1427.22	1199.98
ZC2HC1A	543.96	198.47	115.16	229.72	26.1	20.56	24.46	5.63	71.0	42.41	15.22	12.64	21.16	13.22	14.67	27.44	12.74	56.68	8.06	7.63	10.96	33.54	571.05	312.0	607.87	242.88	518.15	921.88	351.14	571.05	579.04	320.8	728.11	575.03	825.0	738.29	514.56	713.11	647.07	351.14	289.02	447.82	224.97
ZNF483	3.32	50.98	34.75	10.96	1.22	1.55	8.38	2.84	4.35	6.26	0.04	7.0	1.03	2.66	2.43	5.82	2.97	2.92	7.94	0.84	3.79	1.11	47.84	46.5	42.11	31.0	59.97	107.38	59.97	75.64	161.02	31.22	74.58	56.28	51.35	92.7	62.12	54.33	42.71	52.45	19.68	93.35	31.0
ZNF667	6.41	684.02	92.7	90.14	3.23	7.0	8.32	6.11	18.16	16.88	13.93	19.53	3.96	3.23	15.8	2.76	13.32	26.47	37.59	0.74	10.71	3.79	185.11	142.01	185.11	117.6	176.29	246.28	152.28	178.77	221.86	115.16	211.31	234.57	218.79	181.28	170.25	176.29	193.01	147.06	94.01	154.42	134.3
