	GTEX.SE5C.1026.SM.4BRUG	TCGA.AZ.6605.11A.01R.1839.07	GTEX.146FH.1926.SM.5Q5B2	GTEX.139D8.1426.SM.5IJEX	GTEX.131XE.1226.SM.5EGKF	GTEX.R53T.1026.SM.48FCO	GTEX.146FH.1626.SM.5NQ9H	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11TUW.2426.SM.5EQKB	GTEX.13CF2.2426.SM.5LZYL	GTEX.WZTO.2126.SM.4PQYW	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13X6H.1626.SM.5Q5CT	GTEX.U8T8.1226.SM.4E3IH	GTEX.Y114.1226.SM.4TT88	GTEX.11EQ9.1226.SM.5987E	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UPIC.1826.SM.4IHKC	GTEX.13N1W.2026.SM.5K7YU	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.Q734.1626.SM.48U1B
PCGF1	543.96	307.69	575.03	674.59	638.15	483.38	518.15	0.0	0.0	175.07	239.52	314.17	450.94	303.44	127.0	171.45	260.38	220.32	267.73	295.11	318.57	95.34	343.89	199.85	775.05
PEX6	454.09	237.86	1143.1	836.53	1286.18	842.36	1037.29	0.0	0.41	85.82	444.72	454.09	314.17	146.03	44.89	72.01	185.11	154.42	269.6	191.67	366.09	244.57	371.22	124.37	1225.22
POP5	934.76	665.29	1199.98	1242.34	1001.93	1015.93	1487.87	0.0	0.04	406.31	633.73	1059.11	775.05	713.11	201.25	454.09	400.71	497.0	543.96	470.14	796.86	309.83	660.68	450.94	1066.48
PSTK	78.89	81.71	105.89	107.38	100.83	78.89	132.44	0.0	0.29	44.89	77.79	73.54	67.12	50.27	28.04	61.25	82.87	44.89	63.89	31.9	32.59	68.07	85.82	56.68	138.1
SAC3D1	289.02	232.94	353.59	287.01	301.33	234.57	460.44	0.0	0.0	69.03	248.0	236.21	244.57	208.38	43.32	57.89	138.1	139.07	191.67	190.34	253.23	52.82	277.2	165.57	412.0
SMIM8	167.9	218.79	220.32	127.89	133.36	197.09	165.57	0.0	0.29	24.46	125.24	134.3	293.07	89.51	48.87	87.03	72.52	69.52	116.78	92.7	149.12	110.43	107.38	127.0	215.77
SNUPN	642.59	540.19	713.11	447.82	612.11	543.96	595.34	0.0	0.16	191.67	490.14	595.34	543.96	521.76	208.38	256.78	231.32	341.51	403.5	387.02	343.89	283.05	351.14	334.46	665.29
STIP1	3665.02	2319.15	3124.78	3794.3	4639.29	4038.61	3639.7	0.0	0.0	1529.73	2591.27	2104.58	1594.73	1923.14	1617.0	1437.15	2163.77	2287.2	1757.34	1844.76	1594.73	1295.13	2796.65	2061.24	5711.87
STK32C	409.15	258.57	307.69	158.79	339.14	241.19	334.46	0.0	0.58	48.87	146.03	169.07	279.14	217.27	37.59	61.25	143.01	211.31	187.71	129.69	339.14	136.19	148.09	63.0	253.23
STX10	1073.91	1151.06	1313.23	1745.2	1519.15	1369.04	1519.15	0.0	0.73	775.05	954.43	1259.69	1208.34	819.3	395.18	483.38	854.13	547.75	791.35	713.11	1208.34	583.07	830.75	679.29	1733.13
TAMM41	170.25	218.79	273.37	244.57	262.2	262.2	303.44	0.0	0.0	103.69	334.46	122.64	232.94	183.82	136.19	99.43	88.88	88.88	157.68	182.55	197.09	74.58	138.1	165.57	547.75
TGDS	122.64	112.77	217.27	237.86	163.28	148.09	176.29	0.0	0.17	90.14	92.05	209.84	232.94	107.38	140.04	144.01	83.45	105.15	79.45	124.37	186.4	65.26	149.12	103.69	318.57
TICAM2	39.22	136.19	132.44	194.36	149.12	185.11	87.03	0.0	0.18	19.53	32.36	158.79	181.28	76.71	28.65	32.59	30.78	15.56	62.56	76.71	90.14	25.91	47.17	8.32	218.79
TMEM42	273.37	339.14	403.5	447.82	466.88	351.14	363.56	0.0	0.17	58.71	297.17	379.04	334.46	177.53	126.12	94.01	91.41	76.71	143.01	164.42	234.57	129.69	164.42	84.04	934.76
TMEM81	37.59	42.41	64.8	153.34	127.89	105.89	80.01	0.0	0.24	8.38	36.53	50.63	56.28	18.43	11.55	16.27	25.17	13.22	19.68	11.91	25.17	26.28	32.59	15.91	113.56
TP53I13	403.5	733.19	1216.75	1583.71	1225.22	1199.98	1030.12	0.0	0.77	255.0	521.76	753.83	1037.29	371.22	571.05	332.14	463.65	503.95	406.31	616.37	571.05	358.54	780.44	567.1	1225.22
TSKS	21.94	8.32	18.43	57.89	30.34	20.71	15.34	0.0	0.16	0.0	273.37	16.03	10.96	8.32	6.16	2.66	5.15	2.78	4.1	2.03	9.63	3.06	4.62	6.21	144.01
UBQLN4	890.44	728.11	769.69	836.53	1008.9	981.29	954.43	0.0	0.77	420.68	579.04	674.59	571.05	438.59	412.0	162.14	567.1	511.0	414.87	466.88	567.1	397.93	660.68	607.87	1088.92
VASH1	312.0	186.4	314.17	486.75	291.04	283.05	376.41	0.0	0.23	31.67	170.25	339.14	275.28	84.63	109.66	49.91	87.65	120.1	67.12	232.94	129.69	73.54	111.21	100.13	511.0
ZFYVE19	693.58	612.11	629.35	860.08	1023.0	819.3	656.11	0.0	0.35	241.19	460.44	616.37	684.02	289.02	182.55	171.45	293.07	231.32	323.03	229.72	363.56	249.73	409.15	269.6	909.17
ZNF30	35.25	70.51	66.65	158.79	165.57	162.14	90.77	0.0	0.21	12.27	61.68	73.03	67.59	22.75	25.17	28.24	9.41	20.56	17.77	27.64	50.63	8.71	34.26	17.13	164.42
ZNF485	22.59	24.99	42.71	60.39	61.68	51.71	64.34	0.0	0.0	22.59	30.12	39.22	35.0	27.64	6.67	10.96	23.42	29.06	12.18	17.38	25.54	10.08	21.47	10.31	83.45
ZNF544	351.14	211.31	267.73	256.78	358.54	285.03	376.41	0.0	0.42	180.02	239.52	299.25	293.07	126.12	93.35	109.66	78.34	128.79	155.5	262.2	466.88	94.67	205.5	181.28	579.04
