	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.145MO.1426.SM.5Q5BS	GTEX.12WSL.1526.SM.5GCP8	GTEX.11EM3.0826.SM.5N9CC	GTEX.12KS4.0926.SM.5BC5S	GTEX.R3RS.1326.SM.48FE7	GTEX.ZE9C.1126.SM.4WWBD	GTEX.13CF3.1626.SM.5IFG9	GTEX.X15G.0826.SM.4PQZD	GTEX.Y3I4.1226.SM.4TT8N	GTEX.12696.1326.SM.5FQTJ	GTEX.QEG4.0726.SM.4R1JL	GTEX.XK95.1026.SM.4GIDV	GTEX.13X6H.1326.SM.5LU42	GTEX.1497J.2726.SM.5SI9W	GTEX.UJHI.0826.SM.4IHLM	GTEX.11LCK.1726.SM.5S2OQ	GTEX.111YS.0926.SM.5EGGI	GTEX.131YS.1426.SM.5IJF7	GTEX.WH7G.0926.SM.4LVMJ	GTEX.WFG8.1226.SM.4V6EI	GTEX.14DAQ.1426.SM.5RQJD	GTEX.WFJO.0826.SM.4LVM5	GTEX.11NUK.1326.SM.5P9GN	GTEX.XUJ4.1026.SM.4BOPB	GTEX.QEG5.1426.SM.447AS	GTEX.14BIN.2726.SM.5RQIE	GTEX.13111.0826.SM.5LZV3	GTEX.14C38.2126.SM.5RQJO	GTEX.146FR.0426.SM.5SI97	GTEX.ZYVF.2226.SM.5GIDD	GTEX.RN64.1026.SM.48FDX	GTEX.Y8E4.1726.SM.5LU9G	GTEX.T2IS.0826.SM.4DM6L	GTEX.11ZTS.2626.SM.5EGIC	GTEX.ZGAY.1126.SM.4WWBS	GTEX.ZYY3.1526.SM.5SIA9	GTEX.OXRL.0626.SM.3NM9C	GTEX.XV7Q.1126.SM.4BRVS	GTEX.R55E.1326.SM.48FCR	GTEX.13OVG.0626.SM.5IFEP	GTEX.ZUA1.1226.SM.5NQ6O	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.7391.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.BA.5151.01A.01R.1436.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.6936.11A.01R.1915.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7250.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.CV.6935.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQG8.2126.SM.4YCF1	GTEX.XMK1.2626.SM.4B65R	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ANKS3	183.82	206.94	334.46	217.27	301.33	249.73	287.01	323.03	275.28	228.13	409.15	229.72	260.38	293.07	351.14	236.21	165.57	397.93	511.0	444.72	205.5	273.37	267.73	356.05	438.59	497.0	193.01	438.59	303.44	273.37	187.71	460.44	303.44	215.77	500.46	239.52	460.44	291.04	395.18	500.46	217.27	389.72	204.07	470.14	387.02	237.86	518.15	423.61	215.77	384.34	312.0	327.56	450.94	251.48	529.06	34.26	46.5	94.67	60.82	102.97	66.65	92.05	55.49	110.43	131.51	109.66	147.06	157.68	138.1	126.12	106.63	55.1	85.82	162.14	186.4	76.71	0.0	0.78	40.36	144.01	77.79	115.97	83.45	111.21	54.33	50.63
ANXA1	1970321.01	447025.24	721179.07	573724.06	509950.32	345900.08	682276.92	517068.97	614902.29	1355129.16	711250.37	453265.5	365622.68	1364554.84	131071.0	104996.83	129266.49	114897.47	138544.47	198667.0	124000.67	146444.06	151608.43	105727.15	136637.07	118949.35	121448.75	149521.18	131071.0	141455.6	119776.72	167058.21	134755.94	133825.1	140478.49	89523.81	75803.72	139508.13	151608.43	97965.44	115696.65	133825.1	107948.72	164758.26	144427.91	163620.18	83528.61	87075.75	124863.17	113315.62	106462.55	130165.62	119776.72	124000.67	131071.0	63742.91	121448.75	116501.39	162489.97	184082.4	111755.56	120609.84	145432.49	94628.34	324980.94	197294.7	236256.4	115696.65	209994.66	313910.86	215898.44	437825.58	214407.12	301123.38	303217.87	214407.12	12076.21	400.71	573724.06	103551.29	958220.73	834179.46	422911.59	863596.77	554180.87	789181.81
AP003733.1	6.73	13.22	8.25	1.93	12.74	5.54	3.26	15.34	3.29	23.42	4.74	4.9	0.73	24.46	5.73	2.43	10.47	6.46	9.2	13.42	7.94	8.13	1.81	13.62	6.31	51.35	6.46	7.82	4.94	3.2	6.21	44.25	3.92	3.35	47.84	4.39	15.11	4.62	14.03	14.24	3.79	20.56	5.06	12.55	60.39	2.76	49.21	9.48	8.19	13.72	9.06	8.71	25.72	1.89	14.89	0.97	0.64	0.0	12.09	2.23	3.03	2.86	0.97	4.5	2.05	4.21	1.53	2.05	4.74	0.0	0.0	2.84	0.64	3.2	5.11	2.89	0.0	0.25	0.68	2.78	0.51	1.66	1.71	4.7	3.82	1.08
ARRDC1	3564.78	2240.11	1721.16	2047.0	1447.15	3124.78	1651.0	1111.82	633.73	1685.71	2148.82	2351.53	412.0	1437.15	2255.7	2032.85	2018.8	2224.63	3146.52	3018.3	2047.0	2367.9	1923.14	2627.46	2609.3	3614.55	1883.54	2468.49	2573.36	2255.7	1551.09	2682.69	2384.37	2555.58	2915.45	1936.53	2875.3	2796.65	3491.39	3081.75	1685.71	2855.44	1781.89	2664.15	3847.29	2520.38	3491.39	2758.13	1936.53	2287.2	2468.49	2351.53	2591.27	2537.92	3257.52	780.44	1111.82	1407.55	1135.2	1191.69	1605.83	1250.98	902.89	1066.48	1286.18	669.92	1407.55	1417.35	1175.27	1167.14	1015.93	1277.29	1111.82	1359.57	1277.29	1388.16	1051.79	162.14	551.56	884.29	693.58	813.63	1242.34	791.35	1119.56	723.08
B4GALT7	341.51	212.78	343.89	314.17	305.55	223.41	483.38	248.0	339.14	264.03	348.71	244.57	323.03	392.44	642.59	339.14	463.65	669.92	728.11	587.13	595.34	559.28	460.44	571.05	796.86	665.29	511.0	629.35	490.14	480.04	329.84	540.19	567.1	599.49	555.41	551.56	860.08	518.15	941.27	616.37	642.59	878.17	353.59	595.34	599.49	503.95	579.04	567.1	435.55	607.87	808.0	595.34	679.29	397.93	536.45	497.0	329.84	423.61	423.61	400.71	262.2	341.51	336.79	291.04	279.14	267.73	414.87	466.88	351.14	325.29	361.04	329.84	336.79	327.56	403.5	387.02	0.0	0.25	323.03	629.35	163.28	265.87	392.44	444.72	334.46	172.65
BCS1L	860.08	1111.82	1023.0	1135.2	642.59	748.61	1199.98	981.29	988.12	830.75	1066.48	813.63	738.29	934.76	1066.48	1104.13	974.5	1111.82	1936.53	1295.13	1242.34	1295.13	1225.22	1250.98	1733.13	1378.57	1044.52	1674.06	974.5	1096.5	802.41	1447.15	902.89	995.0	1073.91	1073.91	1721.16	1388.16	2075.59	1331.57	981.29	1844.76	902.89	1447.15	1359.57	1151.06	1427.22	1216.75	954.43	1709.26	1350.18	988.12	1674.06	1119.56	1685.71	366.09	332.14	435.55	271.48	438.59	285.03	575.03	420.68	444.72	629.35	514.56	473.41	480.04	525.39	591.22	656.11	525.39	497.0	579.04	728.11	497.0	0.0	0.0	351.14	753.83	500.46	460.44	665.29	353.59	483.38	575.03
C14orf79	127.89	228.13	218.79	221.86	176.29	191.67	234.57	258.57	291.04	212.78	450.94	220.32	258.57	209.84	215.77	154.42	122.64	169.07	406.31	264.03	262.2	234.57	142.01	281.09	289.02	215.77	162.14	201.25	199.85	186.4	127.89	186.4	205.5	177.53	178.77	173.85	224.97	295.11	348.71	237.86	165.57	629.35	137.14	325.29	389.72	253.23	217.27	223.41	153.34	318.57	341.51	170.25	343.89	211.31	275.28	134.3	87.03	90.14	78.89	126.12	132.44	180.02	125.24	122.64	124.37	57.89	134.3	156.59	122.64	134.3	117.6	128.79	185.11	178.77	175.07	124.37	0.0	0.0	94.67	189.02	84.63	67.12	170.25	120.1	110.43	86.43
C16orf52	231.32	202.66	181.28	248.0	253.23	417.77	154.42	199.85	189.02	181.28	124.37	191.67	264.03	198.47	256.78	167.9	269.6	148.09	279.14	253.23	164.42	112.77	178.77	199.85	316.37	457.25	150.17	221.86	236.21	279.14	176.29	265.87	167.9	182.55	305.55	201.25	182.55	198.47	267.73	195.72	147.06	283.05	202.66	255.0	190.34	153.34	289.02	130.6	140.04	186.4	255.0	307.69	258.57	171.45	226.54	173.85	128.79	147.06	244.57	165.57	77.25	171.45	166.73	195.72	173.85	157.68	111.21	147.06	99.43	135.24	151.22	106.63	90.14	198.47	125.24	130.6	152.28	98.73	107.38	119.26	81.14	127.89	142.01	76.17	84.04	123.5
C19orf73	84.04	127.0	47.17	69.52	57.08	21.32	73.03	49.91	41.22	34.26	59.55	56.68	26.86	61.25	65.72	34.02	30.56	19.97	100.13	62.56	17.38	59.13	60.39	33.3	48.87	63.0	38.67	67.12	41.52	33.78	41.52	52.45	72.52	58.71	47.84	46.84	72.01	61.25	46.84	74.06	34.02	55.49	30.56	61.68	39.5	36.27	59.55	67.59	50.63	70.01	54.72	45.85	93.35	53.95	65.72	22.1	25.72	40.36	34.75	41.22	27.25	14.03	17.0	17.51	49.21	14.56	51.71	34.75	34.26	35.0	29.7	25.72	31.22	24.99	55.89	27.64	0.0	0.0	22.92	30.56	5.23	32.36	43.94	31.9	32.36	36.79
C1orf159	303.44	656.11	348.71	287.01	339.14	332.14	559.28	361.04	480.04	400.71	547.75	387.02	435.55	368.65	447.82	351.14	289.02	384.34	583.07	571.05	353.59	339.14	312.0	497.0	688.78	476.71	346.29	403.5	426.57	387.02	320.8	470.14	323.03	435.55	423.61	327.56	624.99	429.54	642.59	563.18	301.33	463.65	267.73	444.72	723.08	336.79	620.67	441.64	334.46	368.65	376.41	309.83	543.96	297.17	521.76	109.66	122.64	116.78	121.79	169.07	100.83	114.36	173.85	161.02	172.65	116.78	191.67	159.9	150.17	173.85	147.06	120.1	110.43	163.28	202.66	149.12	0.0	0.79	96.68	204.07	162.14	108.9	161.02	119.26	108.14	152.28
C5orf63	34.26	127.89	100.83	127.0	115.97	86.43	82.29	117.6	63.45	118.43	92.7	114.36	60.82	102.97	161.02	159.9	92.05	158.79	265.87	194.36	198.47	152.28	191.67	193.01	242.88	209.84	217.27	202.66	150.17	183.82	94.67	172.65	228.13	138.1	237.86	262.2	246.28	190.34	312.0	212.78	122.64	218.79	111.21	343.89	361.04	231.32	202.66	82.29	172.65	251.48	185.11	187.71	314.17	163.28	346.29	82.29	26.86	0.64	14.14	82.87	70.51	11.04	13.83	117.6	78.34	87.65	100.13	80.01	52.45	123.5	127.89	198.47	72.01	137.14	185.11	110.43	0.0	0.13	84.63	62.12	36.79	46.84	166.73	32.36	73.03	32.82
CAMTA2	457.25	1015.93	1359.57	1295.13	1104.13	703.28	1286.18	928.3	872.1	1286.18	1066.48	647.07	785.88	1242.34	1417.35	1104.13	988.12	1059.11	1175.27	1159.07	1104.13	1143.1	1066.48	1104.13	1359.57	1498.22	954.43	1529.73	1331.57	819.3	915.51	1216.75	1096.5	928.3	1417.35	1001.93	1605.83	1427.22	1199.98	1340.84	1111.82	1331.57	967.76	1467.37	1111.82	842.36	1183.45	1467.37	928.3	1286.18	1135.2	1313.23	1175.27	974.5	1259.69	305.55	647.07	624.99	563.18	830.75	521.76	728.11	460.44	493.56	693.58	909.17	759.08	624.99	796.86	507.46	808.0	307.69	575.03	536.45	607.87	665.29	1051.79	120.94	258.57	928.3	620.67	759.08	638.15	521.76	493.56	583.07
CAPN12	679.29	151.22	29.27	64.8	170.25	223.41	38.4	447.82	99.43	26.86	39.5	232.94	38.95	21.16	83.45	115.16	47.84	102.25	134.3	167.9	120.94	146.03	124.37	81.71	171.45	194.36	70.01	318.57	72.01	75.64	52.45	204.07	144.01	95.34	133.36	69.52	123.5	208.38	136.19	208.38	108.14	144.01	61.68	108.14	126.12	137.14	220.32	134.3	111.99	71.0	57.89	115.16	186.4	98.04	187.71	144.01	18.29	52.45	39.22	30.12	13.42	31.22	40.07	18.29	49.21	13.93	15.68	107.38	21.78	17.0	31.0	6.62	17.9	27.05	15.0	14.14	0.0	0.47	1.99	21.47	16.63	55.1	19.97	65.72	11.55	18.56
CARKD	500.46	819.3	738.29	441.64	429.54	476.71	529.06	470.14	438.59	536.45	507.46	540.19	297.17	785.88	902.89	591.22	669.92	967.76	1023.0	947.83	679.29	791.35	660.68	785.88	915.51	1037.29	591.22	780.44	780.44	563.18	500.46	961.07	769.69	599.49	947.83	791.35	854.13	872.1	995.0	842.36	669.92	921.88	665.29	1143.1	884.29	599.49	1001.93	915.51	647.07	921.88	723.08	928.3	1044.52	708.18	769.69	571.05	248.0	417.77	353.59	438.59	503.95	297.17	348.71	334.46	466.88	444.72	486.75	493.56	363.56	450.94	450.94	414.87	397.93	540.19	511.0	420.68	0.0	0.89	215.77	348.71	417.77	409.15	708.18	358.54	389.72	518.15
CATSPER2	68.55	176.29	77.25	80.01	164.42	129.69	201.25	111.21	109.66	96.01	82.29	100.13	98.04	100.83	211.31	90.77	63.45	334.46	205.5	177.53	105.15	109.66	78.34	138.1	343.89	94.01	60.82	185.11	17.25	150.17	105.89	140.04	38.4	83.45	65.26	115.97	218.79	121.79	98.73	187.71	39.79	283.05	71.0	195.72	131.51	149.12	159.9	232.94	127.0	151.22	136.19	165.57	181.28	111.99	289.02	23.59	10.0	28.24	12.64	22.1	13.52	52.82	20.11	45.85	85.22	28.65	41.81	26.47	24.28	19.39	17.13	8.25	2.58	22.59	50.27	17.9	0.0	0.64	6.78	65.26	30.34	57.08	63.89	10.71	34.02	18.29
CCDC168	0.0	1.0	0.67	0.92	1.03	1.25	0.62	1.03	0.64	0.0	0.64	0.0	0.0	0.0	0.31	0.71	0.0	0.69	0.0	0.74	0.3	0.33	0.35	0.0	0.3	0.69	0.3	0.0	0.0	0.31	0.0	0.36	0.35	0.33	0.34	0.32	0.73	1.19	0.27	0.32	0.0	0.0	0.0	0.33	0.35	0.0	0.68	0.35	0.34	0.29	0.0	0.31	0.68	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCDC64	1583.71	438.59	1151.06	267.73	753.83	1628.26	507.46	476.71	70.51	713.11	1199.98	309.83	16.39	2351.53	1487.87	830.75	1388.16	1369.04	1757.34	830.75	1233.75	1369.04	967.76	1225.22	1487.87	665.29	915.51	1023.0	802.41	1216.75	743.43	1259.69	698.41	738.29	743.43	764.36	1487.87	1216.75	995.0	1268.46	1151.06	1259.69	785.88	1216.75	1175.27	1183.45	1216.75	1991.0	1417.35	1529.73	934.76	928.3	1225.22	1183.45	1001.93	114.36	121.79	228.13	125.24	301.33	808.0	198.47	39.5	88.26	551.56	129.69	371.22	285.03	236.21	490.14	379.04	267.73	307.69	612.11	540.19	518.15	0.0	0.57	733.19	229.72	941.27	660.68	708.18	633.73	1407.55	1268.46
