	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.FV.A3R3.01A.11R.A22L.07	TCGA.K7.AAU7.01A.11R.A38B.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.ED.A97K.01A.21R.A38B.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.13FTZ.0726.SM.5IFFY	GTEX.13N11.0926.SM.5IJG2	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.1497J.0726.SM.5Q5D1	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.WFON.1726.SM.4LVMQ
C3orf38	414.87	387.02	379.04	299.25	312.0	395.18	353.59	318.57	299.25	414.87	759.08	125.24	172.65	295.11	95.34	283.05	197.09	217.27	155.5	82.29	131.51	214.27	138.1	175.07	85.22	175.07	150.17	283.05	144.01	187.71	155.5	80.57	135.24	115.16	142.01	120.94	166.73	134.3	137.14	172.65
CAB39	878.17	1304.15	1304.15	1023.0	961.07	1340.84	1044.52	1127.35	1023.0	1447.15	1519.15	708.18	660.68	848.22	366.09	473.41	743.43	1159.07	575.03	253.23	473.41	543.96	384.34	356.05	279.14	563.18	361.04	547.75	348.71	616.37	285.03	314.17	392.44	389.72	406.31	273.37	525.39	297.17	384.34	507.46
CDK13	444.72	595.34	536.45	376.41	525.39	688.78	620.67	642.59	376.41	500.46	872.1	248.0	460.44	420.68	145.02	612.11	336.79	651.58	395.18	124.37	246.28	111.99	224.97	366.09	289.02	432.53	214.27	309.83	246.28	251.48	287.01	303.44	267.73	307.69	341.51	353.59	177.53	220.32	316.37	199.85
CEP135	60.39	123.5	144.01	63.89	103.69	172.65	105.89	134.3	63.89	112.77	104.42	33.54	55.89	63.0	6.67	88.88	43.63	115.97	55.89	1.58	8.71	12.36	9.78	14.03	9.93	11.55	26.67	15.22	6.57	13.12	8.45	10.71	6.06	22.75	11.55	11.82	16.27	20.71	12.93	8.99
CLASP2	283.05	718.08	723.08	665.29	547.75	791.35	775.05	674.59	665.29	703.28	1030.12	167.9	180.02	279.14	70.01	256.78	220.32	229.72	205.5	65.72	66.65	129.69	104.42	117.6	66.18	134.3	172.65	124.37	86.43	130.6	68.07	89.51	103.69	114.36	113.56	65.72	100.13	107.38	135.24	73.54
CRKL	660.68	830.75	684.02	629.35	743.43	961.07	796.86	733.19	629.35	753.83	1037.29	476.71	409.15	896.64	293.07	1044.52	500.46	708.18	909.17	409.15	518.15	312.0	379.04	384.34	490.14	466.88	260.38	373.81	297.17	447.82	444.72	297.17	371.22	493.56	346.29	397.93	543.96	381.68	403.5	281.09
CWC22	273.37	567.1	583.07	312.0	529.06	703.28	507.46	536.45	312.0	660.68	928.3	185.11	224.97	291.04	87.03	371.22	204.07	325.29	314.17	40.36	156.59	198.47	139.07	161.02	119.26	170.25	173.85	181.28	68.55	176.29	131.51	128.79	143.01	163.28	169.07	151.22	154.42	118.43	198.47	137.14
DCTN4	665.29	1066.48	1008.9	1044.52	941.27	1208.34	1250.98	1015.93	1044.52	1051.79	1628.26	395.18	518.15	698.41	287.01	759.08	486.75	476.71	480.04	208.38	297.17	348.71	348.71	256.78	143.01	371.22	368.65	409.15	217.27	343.89	231.32	215.77	214.27	366.09	256.78	244.57	287.01	312.0	348.71	316.37
DLG1	409.15	1037.29	1277.29	842.36	890.44	1268.46	1096.5	974.5	842.36	967.76	2739.08	397.93	595.34	791.35	173.85	595.34	406.31	660.68	514.56	162.14	295.11	221.86	486.75	540.19	327.56	435.55	244.57	595.34	260.38	540.19	167.9	314.17	212.78	303.44	277.2	232.94	201.25	346.29	348.71	518.15
DPP8	215.77	493.56	454.09	403.5	363.56	503.95	466.88	463.65	403.5	503.95	624.99	218.79	197.09	231.32	59.55	218.79	169.07	246.28	147.06	29.7	80.01	84.63	182.55	68.07	38.12	63.89	140.04	96.01	58.71	150.17	41.52	80.01	92.7	106.63	75.64	99.43	85.22	53.57	134.3	95.34
DR1	603.67	909.17	703.28	575.03	693.58	928.3	915.51	728.11	575.03	802.41	988.12	366.09	688.78	483.38	208.38	1073.91	480.04	476.71	759.08	209.84	273.37	854.13	275.28	198.47	166.73	281.09	309.83	334.46	320.8	397.93	237.86	149.12	251.48	271.48	232.94	169.07	429.54	228.13	236.21	275.28
DTWD1	532.74	1175.27	1388.16	660.68	928.3	1561.89	1081.39	1183.45	660.68	1331.57	3443.31	336.79	316.37	490.14	191.67	612.11	591.22	679.29	307.69	105.15	208.38	256.78	334.46	249.73	189.02	209.84	220.32	201.25	185.11	244.57	234.57	323.03	175.07	226.54	289.02	251.48	339.14	211.31	175.07	218.79
EEF1E1	536.45	547.75	624.99	429.54	629.35	679.29	473.41	470.14	429.54	896.64	698.41	232.94	693.58	1008.9	400.71	1685.71	450.94	802.41	466.88	155.5	169.07	551.56	217.27	204.07	137.14	220.32	435.55	316.37	132.44	281.09	208.38	106.63	100.13	237.86	126.12	98.04	297.17	163.28	175.07	248.0
ENAH	2573.36	1605.83	2720.15	1529.73	1540.37	1508.65	2032.85	1519.15	1529.73	2148.82	3742.05	909.17	1023.0	1044.52	201.25	1977.24	358.54	624.99	738.29	37.85	198.47	256.78	226.54	112.77	37.32	139.07	231.32	305.55	96.68	358.54	93.35	83.45	98.73	143.01	152.28	46.18	224.97	125.24	180.02	156.59
EXOC5	525.39	743.43	961.07	866.07	587.13	878.17	738.29	665.29	866.07	1037.29	2303.12	265.87	248.0	547.75	108.9	607.87	237.86	273.37	236.21	51.35	144.01	295.11	122.64	279.14	92.7	167.9	195.72	181.28	126.12	281.09	111.99	104.42	134.3	226.54	162.14	106.63	195.72	144.01	146.03	182.55
EXOC6B	194.36	409.15	363.56	320.8	277.2	366.09	314.17	329.84	320.8	346.29	738.29	98.04	108.14	144.01	59.55	110.43	121.79	187.71	88.26	31.22	34.02	63.45	68.07	50.63	27.84	62.12	67.59	58.71	36.01	80.01	38.4	32.59	22.43	58.71	35.5	20.71	75.64	43.02	55.49	46.18
FAM98B	275.28	447.82	669.92	536.45	444.72	624.99	518.15	525.39	536.45	599.49	1096.5	189.02	265.87	293.07	63.89	325.29	146.03	231.32	151.22	61.68	80.01	156.59	163.28	82.29	47.17	93.35	191.67	181.28	77.25	189.02	51.71	81.14	62.56	94.67	108.9	65.72	119.26	84.04	104.42	123.5
FBXO28	708.18	559.28	656.11	463.65	486.75	738.29	540.19	529.06	463.65	703.28	1709.26	173.85	232.94	423.61	117.6	409.15	255.0	309.83	267.73	144.01	129.69	232.94	157.68	178.77	111.21	295.11	138.1	291.04	291.04	299.25	271.48	198.47	368.65	163.28	258.57	206.94	120.94	156.59	316.37	204.07
FNBP1L	529.06	1143.1	1151.06	872.1	1242.34	1674.06	1498.22	981.29	872.1	1143.1	693.58	291.04	559.28	457.25	101.54	693.58	309.83	483.38	473.41	96.01	226.54	120.1	130.6	209.84	127.89	265.87	176.29	343.89	84.63	206.94	102.25	120.94	143.01	368.65	129.69	105.89	183.82	135.24	264.03	66.18
GGA3	466.88	698.41	503.95	420.68	571.05	656.11	780.44	819.3	420.68	493.56	299.25	384.34	665.29	660.68	172.65	1159.07	293.07	507.46	371.22	194.36	164.42	83.45	159.9	173.85	137.14	124.37	336.79	161.02	111.21	190.34	126.12	161.02	204.07	205.5	147.06	293.07	277.2	140.04	214.27	191.67
GSTCD	137.14	201.25	209.84	163.28	217.27	229.72	228.13	167.9	163.28	226.54	189.02	75.11	88.26	76.17	16.27	159.9	70.01	78.89	77.25	18.43	17.38	135.24	26.47	22.59	12.0	36.01	81.71	19.97	27.64	46.5	19.97	14.03	17.13	32.82	21.01	12.83	32.13	26.86	13.32	58.71
HEATR6	303.44	249.73	289.02	228.13	260.38	368.65	273.37	281.09	228.13	190.34	316.37	103.69	162.14	260.38	71.0	273.37	96.68	197.09	150.17	55.1	51.71	35.25	48.18	50.63	18.97	44.89	132.44	74.58	50.98	80.01	42.71	51.71	24.28	81.71	31.22	108.9	90.77	92.7	51.35	56.68
IWS1	432.53	713.11	698.41	612.11	733.19	595.34	723.08	693.58	612.11	507.46	941.27	483.38	669.92	791.35	379.04	819.3	603.67	753.83	642.59	199.85	275.28	454.09	341.51	371.22	412.0	414.87	651.58	490.14	295.11	435.55	269.6	334.46	412.0	332.14	246.28	327.56	435.55	327.56	412.0	353.59
KIF16B	426.57	323.03	356.05	309.83	555.41	320.8	447.82	339.14	309.83	438.59	532.74	128.79	102.97	273.37	58.3	218.79	118.43	167.9	140.04	43.02	65.26	87.03	48.18	78.89	47.17	96.01	88.26	128.79	90.77	133.36	48.87	81.14	71.0	102.25	41.52	28.24	88.88	72.01	48.18	115.16
LCORL	59.55	127.89	130.6	94.67	119.26	151.22	154.42	127.89	94.67	149.12	275.28	69.52	69.03	100.83	31.9	164.42	88.88	114.36	117.6	27.84	55.49	73.54	69.52	55.1	22.1	59.97	31.22	96.01	37.85	60.39	64.34	31.67	64.8	50.98	59.13	73.54	73.54	57.89	59.55	35.0
LIX1L	285.03	444.72	518.15	329.84	376.41	521.76	384.34	444.72	329.84	514.56	1519.15	420.68	256.78	595.34	152.28	563.18	426.57	267.73	426.57	120.94	246.28	283.05	181.28	185.11	56.28	172.65	90.14	206.94	142.01	255.0	186.4	120.94	156.59	171.45	232.94	111.21	181.28	301.33	161.02	121.79
MAP4K5	441.64	842.36	1001.93	669.92	733.19	1167.14	909.17	785.88	669.92	915.51	1044.52	164.42	361.04	525.39	65.72	466.88	237.86	525.39	211.31	40.93	90.77	138.1	100.83	126.12	72.01	128.79	171.45	143.01	73.54	169.07	87.03	66.18	68.55	190.34	158.79	59.55	159.9	62.56	76.71	116.78
MAPK1IP1L	1242.34	1498.22	1498.22	1417.35	1857.6	2520.38	1427.22	1529.73	1417.35	2520.38	1037.29	1001.93	830.75	2193.99	486.75	2163.77	540.19	1447.15	551.56	432.53	429.54	1127.35	607.87	265.87	264.03	318.57	698.41	486.75	420.68	866.07	379.04	287.01	518.15	660.68	438.59	403.5	473.41	438.59	651.58	728.11
MCM9	215.77	329.84	305.55	193.01	314.17	463.65	305.55	366.09	193.01	258.57	293.07	109.66	130.6	147.06	35.76	234.57	99.43	154.42	117.6	36.79	67.12	37.05	85.22	64.34	34.51	98.73	78.89	64.8	49.91	105.15	45.21	68.55	44.25	73.03	88.26	98.04	117.6	98.73	133.36	40.93
MRPL50	314.17	392.44	361.04	297.17	361.04	403.5	379.04	358.54	297.17	368.65	579.04	136.19	303.44	285.03	163.28	473.41	265.87	384.34	256.78	116.78	136.19	438.59	170.25	156.59	153.34	195.72	232.94	191.67	145.02	229.72	202.66	86.43	66.65	126.12	155.5	121.79	156.59	154.42	150.17	132.44
PDCL	246.28	406.31	466.88	305.55	368.65	371.22	438.59	363.56	305.55	387.02	486.75	170.25	221.86	325.29	59.97	187.71	194.36	255.0	148.09	49.21	58.71	165.57	59.13	109.66	59.13	102.25	146.03	77.79	62.56	129.69	59.55	57.49	57.08	86.43	80.57	56.68	115.16	73.03	75.64	112.77
PHIP	224.97	612.11	620.67	299.25	435.55	872.1	620.67	665.29	299.25	536.45	780.44	86.43	144.01	211.31	15.68	316.37	88.88	273.37	157.68	9.63	40.07	44.57	77.79	36.79	24.11	31.22	83.45	93.35	24.28	55.89	23.25	40.64	22.92	53.19	67.12	64.34	28.86	32.13	78.89	71.5
PIH1D2	136.19	68.07	89.51	64.8	83.45	88.88	101.54	114.36	64.8	126.12	127.0	5.77	39.5	11.47	7.17	46.18	20.56	35.76	27.84	6.26	10.16	16.03	19.39	18.43	3.79	24.46	39.79	21.32	9.56	23.76	1.51	17.0	6.16	11.21	10.39	4.74	24.63	5.11	9.7	3.44
POLR2M	567.1	842.36	848.22	684.02	595.34	1015.93	941.27	902.89	684.02	967.76	1359.57	381.68	332.14	358.54	102.25	387.02	320.8	444.72	309.83	112.77	205.5	293.07	239.52	232.94	153.34	211.31	206.94	279.14	217.27	341.51	98.73	138.1	232.94	183.82	267.73	155.5	234.57	248.0	251.48	229.72
PRKD3	221.86	525.39	723.08	447.82	400.71	780.44	575.03	547.75	447.82	669.92	2384.37	165.57	135.24	323.03	52.08	260.38	234.57	148.09	187.71	39.5	84.63	163.28	121.79	82.29	72.01	94.67	72.52	100.83	56.68	138.1	46.18	133.36	96.68	49.56	111.99	77.79	123.5	76.71	66.65	121.79
PRPF38A	1081.39	842.36	764.36	518.15	947.83	1081.39	878.17	988.12	518.15	928.3	1135.2	466.88	543.96	466.88	180.02	890.44	271.48	878.17	842.36	305.55	295.11	384.34	341.51	190.34	165.57	229.72	376.41	281.09	281.09	293.07	212.78	242.88	171.45	289.02	384.34	314.17	320.8	336.79	269.6	262.2
PSMD5	612.11	718.08	748.61	567.1	723.08	830.75	753.83	688.78	567.1	713.11	1457.23	134.3	361.04	483.38	218.79	674.59	466.88	441.64	193.01	246.28	161.02	361.04	137.14	273.37	139.07	507.46	332.14	289.02	267.73	376.41	204.07	199.85	202.66	221.86	279.14	285.03	271.48	283.05	136.19	234.57
PTBP2	148.09	381.68	376.41	299.25	426.57	854.13	406.31	532.74	299.25	607.87	848.22	156.59	231.32	221.86	34.75	466.88	264.03	218.79	318.57	20.71	71.0	26.1	88.26	87.03	38.4	84.63	118.43	140.04	69.03	46.18	43.94	86.43	83.45	126.12	63.89	134.3	54.72	53.95	153.34	50.98
PTPN9	466.88	547.75	525.39	529.06	457.25	603.67	571.05	529.06	529.06	511.0	624.99	366.09	320.8	392.44	143.01	403.5	262.2	473.41	299.25	144.01	271.48	332.14	316.37	246.28	186.4	232.94	143.01	172.65	215.77	387.02	197.09	190.34	178.77	201.25	297.17	167.9	265.87	202.66	165.57	281.09
RASAL2	172.65	470.14	387.02	251.48	275.28	341.51	348.71	194.36	251.48	353.59	325.29	80.01	132.44	246.28	15.91	309.83	127.0	89.51	70.51	12.74	12.55	30.78	29.48	22.26	6.67	12.83	42.71	22.26	13.42	43.63	8.71	6.94	28.45	50.27	20.56	12.18	53.19	19.25	33.78	47.5
RERE	629.35	1617.0	1508.65	1781.89	1540.37	1519.15	1561.89	1857.6	1781.89	1350.18	1119.56	438.59	647.07	753.83	211.31	616.37	620.67	633.73	713.11	232.94	194.36	269.6	297.17	239.52	129.69	220.32	387.02	140.04	144.01	305.55	269.6	454.09	397.93	242.88	356.05	454.09	297.17	128.79	295.11	265.87
RNF2	403.5	435.55	543.96	376.41	518.15	624.99	587.13	454.09	376.41	547.75	947.83	151.22	206.94	237.86	52.45	327.56	144.01	214.27	151.22	39.5	41.52	248.0	87.03	66.18	31.9	46.5	113.56	171.45	52.82	126.12	55.89	52.08	100.83	105.89	73.54	46.5	123.5	61.25	66.65	73.54
SBNO1	231.32	412.0	417.77	256.78	318.57	473.41	381.68	348.71	256.78	381.68	384.34	169.07	185.11	197.09	64.34	224.97	150.17	132.44	147.06	42.71	86.43	125.24	110.43	103.69	53.57	118.43	99.43	117.6	77.79	136.19	78.89	56.28	92.7	94.67	85.82	78.89	92.05	83.45	57.49	97.36
SLTM	974.5	1605.83	1477.58	1259.69	1519.15	1819.35	1685.71	1594.73	1259.69	1540.37	2119.22	842.36	1167.14	1015.93	412.0	1662.49	954.43	1561.89	1001.93	348.71	400.71	483.38	848.22	669.92	713.11	684.02	813.63	698.41	366.09	563.18	500.46	974.5	540.19	612.11	693.58	860.08	703.28	486.75	713.11	536.45
SPIN1	890.44	1733.13	1936.53	1467.37	1583.71	2090.03	1794.29	1674.06	1467.37	1794.29	2816.11	438.59	616.37	947.83	109.66	836.53	518.15	633.73	518.15	183.82	224.97	287.01	309.83	237.86	163.28	363.56	231.32	447.82	197.09	480.04	185.11	193.01	190.34	287.01	497.0	206.94	289.02	264.03	336.79	177.53
SRSF1	2796.65	3235.01	3081.75	2502.97	3168.41	3716.2	2956.17	3190.46	2502.97	3039.3	3467.27	1583.71	2502.97	3303.0	860.08	2739.08	1477.58	2591.27	2537.92	866.07	1286.18	1081.39	1233.75	1159.07	1628.26	1350.18	1662.49	1208.34	1111.82	1427.22	890.44	961.07	878.17	1277.29	1286.18	1183.45	1135.2	1051.79	1143.1	902.89
SUPT16H	1477.58	1540.37	1662.49	1457.23	1529.73	1806.78	1857.6	1561.89	1457.23	1498.22	2627.46	493.56	1066.48	2075.59	444.72	1674.06	450.94	738.29	954.43	323.03	312.0	629.35	258.57	559.28	638.15	423.61	947.83	454.09	435.55	438.59	309.83	595.34	395.18	417.77	518.15	507.46	684.02	318.57	267.73	429.54
TAF1B	135.24	256.78	256.78	249.73	244.57	279.14	229.72	289.02	249.73	397.93	361.04	141.02	156.59	167.9	49.91	264.03	141.02	218.79	127.89	22.43	41.22	106.63	50.27	65.26	30.34	55.1	105.15	58.3	49.91	70.01	40.36	36.01	45.85	65.26	69.52	50.27	91.41	40.07	49.56	73.54
TAOK1	289.02	575.03	1183.45	493.56	397.93	551.56	511.0	493.56	493.56	511.0	1104.13	164.42	190.34	312.0	64.8	191.67	167.9	156.59	169.07	28.65	89.51	67.12	92.05	79.45	46.18	147.06	100.83	133.36	44.57	92.7	71.5	34.75	45.21	78.34	54.72	49.91	98.73	63.89	125.24	65.26
TRMT5	301.33	273.37	381.68	265.87	312.0	540.19	412.0	332.14	265.87	361.04	358.54	55.1	118.43	131.51	69.52	231.32	69.52	212.78	81.14	54.72	108.9	112.77	67.12	82.87	59.97	70.51	170.25	59.97	85.22	72.52	43.32	66.18	69.03	76.71	74.58	115.97	55.89	74.06	55.1	137.14
UBE2N	2032.85	1819.35	2032.85	1936.53	2047.0	2209.26	1674.06	1769.57	1936.53	2816.11	2664.15	842.36	1936.53	1950.0	981.29	1896.65	1277.29	1119.56	1183.45	718.08	854.13	1709.26	928.3	915.51	493.56	884.29	1583.71	836.53	928.3	941.27	713.11	688.78	825.0	743.43	759.08	470.14	1208.34	915.51	703.28	909.17
UBE3A	599.49	1015.93	1066.48	842.36	947.83	1331.57	1104.13	981.29	842.36	1159.07	2032.85	426.57	454.09	603.67	251.48	684.02	476.71	559.28	432.53	134.3	376.41	368.65	305.55	674.59	361.04	536.45	412.0	507.46	334.46	483.38	309.83	414.87	316.37	389.72	441.64	414.87	231.32	353.59	346.29	403.5
USP37	77.79	204.07	176.29	100.13	131.51	289.02	194.36	162.14	100.13	178.77	229.72	33.06	43.32	108.9	9.7	98.04	34.02	47.84	38.4	4.24	28.86	22.26	35.76	35.5	3.53	16.03	12.83	18.29	21.78	35.25	30.78	12.27	34.02	19.68	33.54	23.93	47.17	19.25	48.87	17.0
USP46	202.66	316.37	412.0	297.17	260.38	336.79	297.17	248.0	297.17	269.6	529.06	95.34	88.88	181.28	36.79	114.36	131.51	140.04	86.43	21.32	18.84	63.45	44.25	34.51	27.25	57.08	63.0	39.22	19.68	70.51	19.97	20.71	46.18	35.25	43.32	40.36	56.28	34.02	39.22	34.02
WAC	1617.0	2335.28	2351.53	1572.76	1844.76	3491.39	2645.74	2417.67	1572.76	2573.36	3928.15	1183.45	988.12	1487.87	441.64	1191.69	921.88	1151.06	1001.93	343.89	470.14	708.18	688.78	603.67	397.93	463.65	299.25	775.05	483.38	928.3	381.68	514.56	612.11	620.67	616.37	348.71	490.14	368.65	703.28	616.37
WDFY1	525.39	591.22	647.07	500.46	511.0	642.59	612.11	603.67	500.46	629.35	1135.2	325.29	318.57	490.14	151.22	612.11	397.93	490.14	277.2	137.14	220.32	217.27	303.44	226.54	99.43	181.28	231.32	228.13	111.21	237.86	178.77	157.68	165.57	275.28	153.34	124.37	198.47	228.13	236.21	151.22
WDR82	1322.37	1594.73	1572.76	1183.45	1457.23	1909.85	1628.26	1583.71	1183.45	1697.45	1857.6	547.75	703.28	941.27	307.69	629.35	713.11	764.36	599.49	299.25	291.04	629.35	387.02	389.72	356.05	379.04	403.5	450.94	400.71	483.38	289.02	202.66	403.5	409.15	387.02	271.48	403.5	343.89	309.83	426.57
ZBTB44	656.11	753.83	780.44	426.57	769.69	1175.27	961.07	791.35	426.57	748.61	1216.75	397.93	327.56	486.75	149.12	638.15	209.84	351.14	363.56	166.73	189.02	177.53	314.17	301.33	206.94	356.05	94.67	256.78	193.01	295.11	265.87	265.87	159.9	206.94	318.57	224.97	147.06	329.84	271.48	312.0
ZNF189	305.55	450.94	432.53	638.15	493.56	607.87	483.38	521.76	638.15	529.06	902.89	529.06	486.75	432.53	113.56	567.1	373.81	435.55	316.37	83.45	246.28	37.59	105.15	251.48	187.71	149.12	253.23	129.69	163.28	125.24	158.79	176.29	100.83	139.07	189.02	353.59	171.45	100.83	155.5	148.09
ZNF221	14.45	59.13	37.05	20.11	38.95	68.07	63.89	44.57	20.11	24.63	63.45	17.13	37.85	50.27	17.25	81.71	17.77	24.28	24.63	1.36	8.38	2.39	10.0	9.63	8.45	16.03	7.82	12.93	6.46	18.56	7.22	12.0	8.25	11.47	19.97	11.73	11.38	5.68	3.44	5.87
ZNF24	595.34	1096.5	1216.75	848.22	1073.91	1313.23	1277.29	1088.92	848.22	1059.11	1963.57	303.44	420.68	607.87	197.09	543.96	253.23	341.51	423.61	148.09	262.2	220.32	283.05	339.14	289.02	343.89	169.07	325.29	363.56	412.0	320.8	309.83	172.65	262.2	356.05	423.61	152.28	309.83	316.37	336.79
