	TCGA.5N.A9KI.01A.31R.A42T.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	GTEX.ZTSS.0626.SM.59867	GTEX.11DXZ.1226.SM.5H11L	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.YB5E.0926.SM.4WWDQ	GTEX.X3Y1.1326.SM.4PQZB	GTEX.Y9LG.0626.SM.4WWDH	GTEX.U3ZM.0526.SM.4DXTB	GTEX.PWCY.0726.SM.48TCS	GTEX.13QBU.1026.SM.5LU3R	GTEX.13RTK.0526.SM.5S2QF	GTEX.U3ZN.1726.SM.4DXUQ	TCGA.91.A4BC.01A.11R.A24H.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.55.8094.01A.11R.2241.07	GTEX.12WSL.2126.SM.5GCNG	GTEX.13113.1526.SM.5EGHV	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.CD.A486.01A.11R.A24K.31
CLPTM1L	3235.01	723.08	1540.37	1639.59	1883.54	10512.82	2061.24	1909.85	2240.11	2193.99	2178.83	1709.26	1467.37	2319.15	1268.46	860.08	934.76	738.29	848.22	928.3	1143.1	1044.52	1059.11	1378.57	1250.98	1313.23	5403.7	0.0	0.87	7382.04	1313.23	1135.2	3372.43	3540.14	1674.06	2018.8	1685.71	1745.2	3190.46
CNPY2	4607.24	1015.93	2148.82	5479.15	6164.49	8363.13	6699.25	3280.18	1991.0	1721.16	3124.78	3349.13	1936.53	2104.58	1340.84	1697.45	1359.57	1066.48	1388.16	1359.57	1359.57	1233.75	1059.11	1628.26	1059.11	1757.34	7130.55	0.0	0.53	16383.0	2090.03	2209.26	2997.45	1540.37	3443.31	3540.14	2209.26	3060.45	2701.35
EPOR	111.21	29.91	115.97	4095.0	7130.55	309.83	198.47	119.26	61.25	40.07	40.64	69.52	36.27	57.89	21.78	44.89	23.93	29.7	37.59	54.72	20.56	31.67	32.36	28.86	33.3	32.82	221.86	0.0	0.72	217.27	39.5	25.54	228.13	107.38	131.51	224.97	126.12	329.84	120.1
ERP29	7749.1	3928.15	4210.15	6294.04	6294.04	7803.01	2935.74	3168.41	2004.85	995.0	2915.45	1757.34	2004.85	1457.23	2061.24	2645.74	2591.27	2133.97	2148.82	2485.67	1519.15	1662.49	1844.76	1605.83	1583.71	2555.58	5555.65	0.0	0.28	11745.96	2701.35	2816.11	5219.6	2485.67	3325.99	4607.24	6745.86	3491.39	3018.3
FDX1L	1088.92	105.15	305.55	599.49	591.22	674.59	1015.93	575.03	295.11	348.71	400.71	483.38	351.14	395.18	223.41	253.23	214.27	170.25	223.41	224.97	186.4	224.97	291.04	204.07	194.36	293.07	633.73	0.0	0.21	595.34	397.93	312.0	591.22	325.29	599.49	426.57	400.71	532.74	457.25
G6PC3	2303.12	759.08	1407.55	2627.46	2163.77	1757.34	2835.7	2271.4	1781.89	1781.89	1529.73	2090.03	1119.56	1487.87	802.41	629.35	447.82	775.05	738.29	764.36	674.59	660.68	555.41	813.63	567.1	813.63	1709.26	0.0	0.51	3018.3	813.63	1104.13	2148.82	2573.36	3325.99	1709.26	3280.18	2090.03	2895.31
GLA	708.18	1167.14	470.14	1081.39	457.25	1378.57	830.75	414.87	595.34	454.09	463.65	1015.93	629.35	728.11	130.6	193.01	265.87	454.09	441.64	293.07	307.69	368.65	389.72	450.94	371.22	341.51	1111.82	0.0	0.55	1617.0	486.75	392.44	559.28	723.08	866.07	599.49	902.89	575.03	808.0
GOLT1A	559.28	31.0	43.94	1674.06	3928.15	9.93	842.36	25.54	28.04	58.71	75.64	77.79	25.54	34.02	2.18	55.1	4.66	42.11	12.55	26.86	1.62	6.89	17.0	12.55	14.14	9.48	575.03	0.0	0.0	1457.23	78.34	14.35	1407.55	325.29	327.56	2240.11	909.17	94.67	1685.71
HEXB	4512.4	842.36	2303.12	7911.95	5791.62	8538.88	2835.7	2935.74	1407.55	1977.24	2104.58	2720.15	2303.12	2178.83	764.36	921.88	808.0	813.63	753.83	764.36	679.29	769.69	738.29	896.64	638.15	884.29	3614.55	0.0	0.64	5183.54	1540.37	1651.0	2287.2	2367.9	11267.44	2451.44	4328.55	3901.01	3614.55
IKBIP	253.23	87.65	128.79	660.68	540.19	356.05	305.55	429.54	106.63	100.13	128.79	269.6	201.25	194.36	35.0	75.11	39.79	59.13	71.0	63.89	66.65	86.43	64.8	63.89	76.71	70.51	490.14	0.0	0.36	204.07	159.9	105.15	163.28	157.68	334.46	169.07	273.37	201.25	186.4
KDELR3	2133.97	98.04	220.32	1250.98	480.04	1733.13	941.27	599.49	309.83	476.71	91.41	348.71	242.88	336.79	22.59	78.89	34.02	33.06	34.26	56.28	57.08	47.5	55.49	40.64	57.89	81.14	728.11	0.0	0.54	1529.73	85.22	73.54	848.22	1477.58	1551.09	808.0	974.5	438.59	884.29
LCN2	318292.9	565825.41	1179708.33	706337.4	313910.86	311742.51	204252.32	542775.98	343510.77	606436.73	654483.73	1238359.56	336441.4	513497.31	30999.42	51417.5	44761.41	19892.37	9808.75	44452.21	75803.72	14663.09	10225.32	1044.52	62865.33	49666.0	52497.92	0.0	0.43	2976.74	425853.18	267651.2	1034138.94	565825.41	1472666.19	593956.43	431797.89	466008.55	383800.28
LEPRE1	813.63	35.76	124.37	878.17	518.15	1119.56	1651.0	1088.92	1322.37	599.49	551.56	567.1	373.81	543.96	112.77	217.27	139.07	123.5	108.9	115.97	163.28	176.29	171.45	198.47	121.79	239.52	1407.55	0.0	0.68	2287.2	212.78	237.86	674.59	1111.82	1242.34	525.39	612.11	698.41	759.08
LY96	295.11	120.1	108.14	591.22	417.77	125.24	187.71	281.09	37.32	96.68	450.94	206.94	395.18	314.17	24.46	56.68	113.56	47.84	81.71	77.79	34.51	68.55	45.85	56.68	108.9	69.52	1059.11	0.0	0.47	2148.82	215.77	201.25	854.13	500.46	2178.83	126.12	223.41	204.07	371.22
MRPL17	4388.98	1685.71	1208.34	1583.71	1286.18	3060.45	3847.29	2537.92	1923.14	836.53	1697.45	1745.2	1127.35	902.89	764.36	819.3	669.92	642.59	703.28	872.1	802.41	813.63	684.02	753.83	624.99	902.89	1583.71	0.0	0.2	3235.01	791.35	802.41	1498.22	1551.09	1883.54	1561.89	2032.85	988.12	1685.71
MRPS26	1781.89	1073.91	1844.76	1594.73	1844.76	2434.5	1769.57	1745.2	1030.12	1467.37	1832.01	1111.82	878.17	1151.06	796.86	872.1	559.28	441.64	785.88	902.89	583.07	571.05	830.75	703.28	571.05	947.83	1277.29	0.0	0.67	4152.18	842.36	967.76	2018.8	1008.9	693.58	1331.57	1175.27	1447.15	2018.8
MTHFS	785.88	660.68	536.45	785.88	902.89	1417.35	872.1	674.59	470.14	521.76	743.43	603.67	373.81	403.5	258.57	327.56	236.21	287.01	249.73	248.0	334.46	327.56	148.09	312.0	283.05	346.29	854.13	0.0	0.07	669.92	348.71	463.65	813.63	808.0	866.07	802.41	473.41	638.15	1044.52
MTX1	2701.35	1066.48	1519.15	1359.57	1250.98	1870.53	2434.5	1199.98	1088.92	1322.37	1369.04	1508.65	1096.5	1167.14	830.75	819.3	808.0	738.29	954.43	915.51	703.28	802.41	1081.39	934.76	733.19	947.83	2627.46	0.0	0.52	3257.52	915.51	1225.22	1769.57	2976.74	1697.45	1540.37	2664.15	1135.2	1909.85
NAT14	563.18	127.89	99.43	543.96	1151.06	414.87	703.28	389.72	293.07	78.34	480.04	473.41	215.77	167.9	66.65	90.14	63.0	69.52	75.11	70.01	50.27	73.03	70.51	89.51	48.87	92.05	988.12	0.0	0.33	723.08	117.6	199.85	423.61	103.69	293.07	281.09	251.48	281.09	669.92
P2RX4	1340.84	186.4	642.59	2875.3	2451.44	612.11	438.59	476.71	447.82	301.33	258.57	307.69	341.51	543.96	72.52	177.53	100.13	68.07	119.26	127.89	88.88	120.94	83.45	133.36	177.53	237.86	836.53	0.0	0.58	1883.54	325.29	194.36	1685.71	842.36	1096.5	915.51	441.64	660.68	1127.35
PDGFRL	493.56	180.02	842.36	819.3	629.35	713.11	318.57	122.64	23.25	76.17	10.0	483.38	53.95	41.22	13.83	43.94	37.05	20.71	4.43	19.68	27.84	20.11	8.0	21.63	13.22	18.7	825.0	0.0	0.13	1529.73	50.27	529.06	100.83	348.71	1216.75	480.04	258.57	74.58	460.44
PDIA6	5403.7	3742.05	3467.27	3564.78	3768.09	9344.14	4972.34	4038.61	2915.45	2682.69	2835.7	4575.41	2178.83	1936.53	2555.58	2682.69	2520.38	2976.74	2351.53	2609.3	1950.0	2224.63	2591.27	2739.08	2119.22	2915.45	8022.41	0.0	0.14	19082.0	2573.36	3168.41	3467.27	2573.36	3372.43	6607.01	4181.07	4450.27	5751.61
PHPT1	1883.54	3212.66	2758.13	4095.0	4010.71	2777.33	4066.71	3103.19	2835.7	1896.65	2351.53	2303.12	1909.85	2384.37	1477.58	1794.29	954.43	1151.06	1721.16	1447.15	1407.55	1487.87	1467.37	1605.83	1151.06	1844.76	3955.48	1051.79	878.17	7081.29	1662.49	1781.89	7280.4	3467.27	5329.3	4802.93	2855.44	1857.6	3901.01
PPT1	2739.08	842.36	808.0	1628.26	1857.6	1870.53	7280.4	2255.7	1844.76	1350.18	1651.0	1023.0	1044.52	1605.83	444.72	616.37	395.18	486.75	483.38	583.07	500.46	563.18	543.96	540.19	457.25	753.83	1594.73	0.0	0.42	3060.45	995.0	1487.87	1936.53	1407.55	2520.38	2255.7	1225.22	1651.0	1794.29
PRAF2	693.58	112.77	190.34	1313.23	872.1	842.36	1199.98	651.58	518.15	595.34	1216.75	441.64	400.71	358.54	175.07	201.25	114.36	201.25	162.14	228.13	183.82	236.21	231.32	251.48	234.57	226.54	2417.67	0.0	0.83	3257.52	211.31	358.54	769.69	743.43	1096.5	884.29	301.33	202.66	1151.06
RAB20	1794.29	99.43	172.65	866.07	647.07	1088.92	884.29	830.75	368.65	444.72	329.84	473.41	190.34	358.54	46.84	42.41	31.45	53.57	44.25	32.59	64.8	47.5	64.8	58.71	71.0	53.57	1208.34	0.0	0.36	490.14	131.51	181.28	934.76	665.29	1096.5	1030.12	769.69	603.67	1427.22
RANGRF	1051.79	105.89	277.2	2075.59	1242.34	525.39	1519.15	941.27	571.05	438.59	830.75	1143.1	397.93	587.13	251.48	271.48	237.86	232.94	223.41	234.57	214.27	305.55	301.33	279.14	218.79	312.0	1757.34	0.0	0.67	1437.15	301.33	583.07	1963.57	540.19	764.36	1096.5	525.39	490.14	1023.0
RCN3	723.08	38.95	674.59	2287.2	2047.0	2537.92	1561.89	1617.0	616.37	376.41	954.43	620.67	525.39	743.43	72.52	129.69	44.25	81.71	50.27	63.0	130.6	134.3	128.79	120.1	116.78	116.78	2090.03	0.0	1.11	7537.18	96.01	246.28	4836.35	223.41	3716.2	555.41	444.72	275.28	1883.54
RNASEK	7331.05	5954.47	6699.25	11267.44	7180.15	7130.55	7433.4	6294.04	4769.75	4419.52	5995.9	6294.04	5329.3	7032.37	5555.65	4123.49	4298.64	4575.41	5147.73	3419.52	4937.99	5292.48	4802.93	4704.07	5183.54	4328.55	13776.25	0.0	1.0	23009.42	5555.65	4769.75	11189.6	5555.65	20593.91	4481.23	7433.4	4972.34	6079.61
RNFT2	74.06	12.55	5.54	30.78	105.89	182.55	244.57	38.12	44.25	16.51	35.0	17.38	18.7	23.76	4.17	2.51	7.22	3.06	0.8	19.97	1.79	6.06	2.81	3.92	2.12	3.11	231.32	0.0	0.39	373.81	48.18	15.8	91.41	190.34	83.45	108.9	242.88	130.6	129.69
RP11-10A14.4	43.02	0.0	0.0	18.7	37.32	295.11	49.56	21.63	3.76	6.11	4.35	8.85	3.32	5.28	0.0	3.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.88	59.97	0.0	0.0	173.85	14.03	3.06	0.0	24.63	204.07	105.15	116.78	0.0	73.54
RPN2	10014.87	3467.27	4038.61	3690.52	3716.2	22380.2	8421.31	4869.99	4210.15	3395.89	3768.09	7081.29	3212.66	4152.18	2895.31	3614.55	3349.13	3349.13	3039.3	3060.45	2835.7	2835.7	3124.78	3372.43	3280.18	3372.43	9088.59	0.0	0.55	19482.97	2855.44	3419.52	5006.93	8778.97	5831.91	9540.5	6164.49	8421.31	6294.04
SDSL	395.18	94.67	97.36	281.09	325.29	289.02	165.57	199.85	248.0	68.07	166.73	155.5	139.07	156.59	17.77	62.12	25.91	52.82	63.45	25.54	26.67	61.25	25.72	24.46	9.27	42.71	921.88	0.0	0.21	591.22	139.07	93.35	291.04	297.17	389.72	493.56	934.76	295.11	346.29
SLC35B2	1250.98	703.28	555.41	1023.0	1104.13	1388.16	1936.53	1037.29	860.08	769.69	743.43	928.3	665.29	1883.54	291.04	373.81	255.0	269.6	309.83	376.41	327.56	371.22	329.84	379.04	283.05	470.14	1313.23	0.0	0.61	2502.97	813.63	743.43	2609.3	674.59	934.76	1304.15	4607.24	733.19	2240.11
SLC39A7	8191.0	1322.37	1417.35	2758.13	2777.33	5995.9	3614.55	2573.36	2061.24	1199.98	1477.58	2209.26	1540.37	1417.35	1313.23	1104.13	1199.98	1119.56	1127.35	1806.78	1467.37	941.27	1322.37	1322.37	1397.83	1417.35	3467.27	0.0	0.82	10440.2	1721.16	1508.65	3589.58	2976.74	2119.22	2555.58	2287.2	1529.73	4095.0
TNFRSF4	57.08	21.78	248.0	138.1	497.0	66.18	113.56	295.11	49.21	138.1	86.43	101.54	101.54	119.26	21.78	19.11	12.0	11.04	7.94	6.94	12.64	5.92	26.1	15.22	22.59	33.78	403.5	0.0	0.2	551.56	24.11	12.83	373.81	40.64	353.59	85.22	199.85	99.43	279.14
VKORC1	4836.35	607.87	1583.71	3168.41	1733.13	4239.45	3395.89	2591.27	921.88	1572.76	1674.06	1304.15	1304.15	1498.22	785.88	1127.35	579.04	860.08	854.13	808.0	928.3	836.53	909.17	921.88	651.58	967.76	2178.83	0.0	0.88	8778.97	1111.82	1250.98	2682.69	1242.34	4123.49	819.3	1781.89	1407.55	1519.15
ZNHIT1	2485.67	1277.29	1896.65	2875.3	2240.11	1572.76	2119.22	1447.15	1427.22	1709.26	1685.71	1519.15	1477.58	2061.24	813.63	748.61	620.67	748.61	941.27	878.17	647.07	860.08	988.12	974.5	769.69	988.12	3372.43	0.0	0.85	3081.75	1369.04	1081.39	3349.13	1551.09	2367.9	1143.1	1870.53	1519.15	2555.58
ZSCAN2	201.25	18.97	191.67	329.84	187.71	151.22	159.9	127.0	171.45	77.79	180.02	50.27	85.22	81.14	43.94	65.26	47.84	39.5	36.01	69.03	41.52	38.12	50.63	52.82	32.13	69.52	157.68	0.0	0.37	185.11	85.82	80.57	241.19	88.88	191.67	202.66	215.77	161.02	221.86
