	TCGA.E9.A1QZ.01A.21R.A169.07	TCGA.EW.A1PG.01A.11R.A144.07	TCGA.BH.A209.11A.42R.A157.07	TCGA.BH.A18J.11A.31R.A12D.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.BH.A0BM.11A.12R.A089.07	TCGA.BH.A0DL.11A.13R.A115.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.E2.A1LH.11A.22R.A14D.07	GTEX.1211K.1926.SM.5EQLB	GTEX.1122O.1226.SM.5H113	GTEX.145ME.1526.SM.5Q5F2	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.145LU.1326.SM.5LU9N	GTEX.WQUQ.1926.SM.4OOSA	GTEX.11NUK.1226.SM.5P9GM	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.13N2G.0926.SM.5IFGJ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.VUSG.0126.SM.4KL1X
DDX1	1540.37	2148.82	1769.57	1572.76	1674.06	1769.57	1721.16	1594.73	1498.22	1561.89	1561.89	1551.09	1628.26	1529.73	1923.14	1662.49	1923.14	2240.11	2502.97	890.44	995.0	769.69	981.29	842.36	791.35	947.83	1096.5	896.64	890.44	1030.12	693.58	547.75	713.11	884.29	728.11	988.12	872.1	599.49	1331.57	1359.57	1208.34	890.44	1175.27	759.08	848.22	1096.5	1051.79	1369.04	507.46	995.0	571.05	967.76	1066.48	688.78	995.0	1135.2	1044.52	934.76	713.11	988.12	1030.12	1088.92	764.36	1015.93	587.13	1250.98	967.76	575.03	1051.79	890.44	743.43
DDX21	629.35	2520.38	1023.0	1066.48	890.44	669.92	780.44	934.76	1001.93	693.58	764.36	860.08	1073.91	872.1	1030.12	595.34	1304.15	854.13	753.83	414.87	813.63	301.33	521.76	318.57	191.67	507.46	454.09	490.14	314.17	397.93	249.73	120.1	403.5	356.05	343.89	1175.27	447.82	392.44	884.29	1417.35	555.41	466.88	1350.18	275.28	229.72	775.05	318.57	1023.0	189.02	426.57	161.02	293.07	1286.18	251.48	647.07	490.14	1066.48	397.93	392.44	426.57	733.19	909.17	473.41	358.54	320.8	1119.56	283.05	356.05	454.09	309.83	559.28
DDX5	11345.82	13492.72	11189.6	15285.81	10296.45	13399.51	12589.08	16045.82	10959.3	10883.59	9673.69	11745.96	16496.96	14163.58	13123.73	9945.68	9279.58	15934.98	15607.02	6516.03	6699.25	5954.47	6840.04	7433.4	6887.62	5329.3	8598.28	4671.57	3690.52	6207.38	5076.84	2627.46	5711.87	5292.48	4481.23	9279.58	5711.87	6516.03	6037.61	8191.0	7331.05	7857.29	8538.88	6037.61	3614.55	7803.01	6887.62	7749.1	3564.78	8718.32	2895.31	4607.24	6652.97	4268.94	8778.97	9088.59	6037.61	4802.93	8778.97	7537.18	8363.13	5954.47	4704.07	5751.61	7081.29	6792.79	5954.47	2303.12	6699.25	7911.95	6652.97
DDX50	684.02	921.88	915.51	753.83	1015.93	802.41	941.27	860.08	866.07	819.3	934.76	796.86	884.29	854.13	890.44	915.51	848.22	947.83	802.41	255.0	309.83	253.23	267.73	212.78	223.41	255.0	323.03	260.38	220.32	303.44	228.13	107.38	218.79	281.09	295.11	387.02	218.79	134.3	414.87	503.95	409.15	251.48	348.71	183.82	285.03	412.0	329.84	507.46	152.28	232.94	153.34	289.02	575.03	165.57	346.29	368.65	293.07	351.14	180.02	232.94	339.14	381.68	267.73	265.87	194.36	384.34	234.57	161.02	273.37	237.86	301.33
DHX15	1991.0	2400.97	1781.89	2018.8	1870.53	1519.15	2090.03	1923.14	1923.14	1936.53	1628.26	1819.35	2104.58	1733.13	1508.65	1721.16	1519.15	1697.45	1844.76	669.92	928.3	915.51	830.75	656.11	728.11	967.76	842.36	703.28	575.03	769.69	599.49	406.31	679.29	679.29	555.41	1051.79	674.59	591.22	1051.79	1268.46	669.92	743.43	1001.93	624.99	563.18	1096.5	743.43	1322.37	497.0	638.15	595.34	603.67	1369.04	463.65	733.19	974.5	1183.45	543.96	563.18	679.29	878.17	1151.06	543.96	743.43	599.49	1001.93	457.25	265.87	718.08	579.04	728.11
DIMT1	429.54	1081.39	713.11	543.96	708.18	463.65	728.11	555.41	854.13	450.94	775.05	708.18	620.67	567.1	728.11	620.67	647.07	543.96	521.76	237.86	318.57	163.28	361.04	237.86	178.77	218.79	279.14	220.32	189.02	256.78	130.6	121.79	172.65	223.41	144.01	325.29	187.71	163.28	395.18	500.46	269.6	260.38	334.46	121.79	129.69	287.01	212.78	490.14	140.04	218.79	102.25	256.78	435.55	150.17	232.94	253.23	334.46	201.25	142.01	223.41	341.51	273.37	181.28	206.94	191.67	387.02	126.12	117.6	206.94	221.86	204.07
DKC1	1001.93	1594.73	934.76	1159.07	1096.5	688.78	1015.93	718.08	1030.12	941.27	1295.13	954.43	1044.52	753.83	1250.98	1008.9	1081.39	909.17	275.28	275.28	497.0	343.89	563.18	273.37	620.67	420.68	412.0	303.44	348.71	353.59	256.78	236.21	295.11	343.89	289.02	595.34	356.05	314.17	713.11	967.76	387.02	406.31	693.58	309.83	267.73	423.61	256.78	583.07	195.72	358.54	232.94	299.25	915.51	260.38	674.59	575.03	947.83	307.69	271.48	366.09	529.06	633.73	305.55	305.55	400.71	633.73	341.51	140.04	312.0	336.79	420.68
EAPP	1388.16	1191.69	1417.35	1183.45	1628.26	1167.14	1685.71	1127.35	1208.34	1286.18	1313.23	1191.69	1397.83	1159.07	1378.57	1540.37	1111.82	1216.75	1135.2	647.07	825.0	718.08	738.29	738.29	780.44	753.83	1088.92	728.11	718.08	860.08	698.41	514.56	651.58	748.61	629.35	679.29	842.36	483.38	791.35	860.08	872.1	947.83	890.44	616.37	896.64	1096.5	1051.79	1104.13	490.14	708.18	583.07	1023.0	733.19	612.11	909.17	961.07	836.53	995.0	567.1	1001.93	813.63	1378.57	669.92	878.17	457.25	967.76	753.83	500.46	921.88	785.88	540.19
EIF2S2	1697.45	1407.55	1369.04	1119.56	1023.0	1096.5	941.27	1096.5	1119.56	941.27	1104.13	1127.35	1175.27	1044.52	1295.13	995.0	1447.15	1242.34	1551.09	872.1	981.29	974.5	1030.12	748.61	698.41	981.29	974.5	796.86	764.36	764.36	713.11	339.14	743.43	808.0	878.17	1037.29	728.11	612.11	1769.57	1594.73	1233.75	974.5	1183.45	633.73	890.44	1225.22	860.08	1477.58	497.0	1111.82	426.57	896.64	1519.15	738.29	1709.26	1477.58	1088.92	860.08	791.35	896.64	1477.58	1191.69	1015.93	842.36	728.11	1104.13	902.89	759.08	1037.29	902.89	1088.92
EIF4A1	11267.44	27174.14	13399.51	14461.21	14461.21	11035.54	11584.24	14461.21	14461.21	11909.94	13776.25	12943.04	14065.74	11745.96	17317.18	11745.96	22225.61	13968.57	10959.3	6164.49	9606.86	8305.36	12676.65	6471.02	3372.43	3742.05	7485.11	7433.4	6337.83	7180.15	6426.31	5831.91	6887.62	7803.01	6337.83	12329.98	6381.92	6207.38	17558.94	20593.91	10154.69	8134.41	14765.09	4010.71	5831.91	10296.45	6561.36	13776.25	4671.57	8963.45	4543.8	5183.54	20170.07	5517.27	12502.12	10225.32	13872.08	6164.49	5872.48	8305.36	12589.08	12853.63	8363.13	6935.54	4972.34	13968.57	6426.31	5219.6	7749.1	5831.91	8022.41
ETF1	1806.78	2682.69	1733.13	1977.24	1583.71	1733.13	1498.22	1896.65	1977.24	1350.18	1467.37	1651.0	2163.77	1733.13	2163.77	1340.84	2627.46	1709.26	2434.5	743.43	872.1	503.95	759.08	595.34	595.34	713.11	941.27	890.44	536.45	848.22	733.19	381.68	791.35	738.29	579.04	1304.15	629.35	624.99	1331.57	1295.13	769.69	836.53	1119.56	529.06	536.45	1313.23	738.29	1250.98	507.46	708.18	441.64	633.73	1437.15	507.46	896.64	860.08	1044.52	638.15	559.28	674.59	1015.93	1250.98	738.29	651.58	493.56	1208.34	483.38	511.0	802.41	529.06	688.78
ETV5	169.07	417.77	463.65	403.5	909.17	314.17	909.17	373.81	698.41	521.76	473.41	373.81	450.94	287.01	363.56	353.59	323.03	397.93	150.17	81.14	148.09	100.83	52.08	50.27	70.51	68.55	57.49	139.07	110.43	122.64	56.28	43.32	90.77	183.82	57.49	253.23	108.9	39.79	447.82	435.55	241.19	146.03	170.25	158.79	78.34	209.84	341.51	156.59	19.68	172.65	41.52	139.07	320.8	80.01	154.42	85.22	157.68	80.57	64.8	65.72	97.36	128.79	61.68	49.21	78.89	105.15	73.54	9.2	224.97	185.11	88.26
GART	896.64	1277.29	941.27	1015.93	780.44	780.44	896.64	921.88	1008.9	1001.93	796.86	1111.82	1037.29	780.44	947.83	921.88	1199.98	1044.52	1427.22	497.0	599.49	559.28	796.86	500.46	450.94	559.28	536.45	460.44	395.18	555.41	329.84	334.46	392.44	583.07	363.56	753.83	395.18	325.29	791.35	934.76	599.49	466.88	896.64	387.02	503.95	703.28	587.13	878.17	262.2	470.14	351.14	540.19	802.41	341.51	555.41	703.28	813.63	559.28	353.59	647.07	563.18	813.63	371.22	529.06	327.56	967.76	441.64	267.73	629.35	414.87	387.02
GNL3	1286.18	3018.3	1923.14	2255.7	2075.59	1540.37	2351.53	1806.78	2075.59	1529.73	1685.71	1697.45	2148.82	1617.0	2287.2	1639.59	1857.6	1977.24	1001.93	733.19	1096.5	981.29	1662.49	748.61	738.29	1104.13	1051.79	684.02	902.89	921.88	708.18	253.23	866.07	825.0	915.51	1594.73	836.53	759.08	1857.6	1733.13	1233.75	1037.29	1508.65	728.11	473.41	1208.34	616.37	1225.22	607.87	1191.69	543.96	444.72	2075.59	718.08	1508.65	1030.12	1832.01	629.35	1015.93	764.36	1159.07	1051.79	1096.5	674.59	1023.0	1250.98	1023.0	521.76	674.59	665.29	1242.34
GTPBP4	738.29	1225.22	748.61	974.5	688.78	733.19	669.92	759.08	780.44	603.67	753.83	656.11	848.22	669.92	884.29	571.05	1208.34	921.88	718.08	412.0	486.75	457.25	486.75	248.0	287.01	371.22	438.59	348.71	262.2	353.59	301.33	170.25	303.44	305.55	287.01	583.07	297.17	289.02	651.58	808.0	264.03	305.55	563.18	255.0	206.94	432.53	312.0	483.38	191.67	470.14	234.57	220.32	624.99	209.84	583.07	447.82	723.08	368.65	237.86	309.83	466.88	775.05	260.38	281.09	251.48	684.02	255.0	217.27	275.28	234.57	366.09
HDAC2	1331.57	2682.69	1769.57	1498.22	1757.34	1340.84	1709.26	1529.73	1991.0	1498.22	2104.58	1745.2	1991.0	1369.04	1950.0	1498.22	1936.53	1745.2	974.5	423.61	718.08	518.15	629.35	403.5	444.72	511.0	540.19	518.15	450.94	536.45	381.68	291.04	483.38	480.04	441.64	571.05	599.49	229.72	995.0	1001.93	808.0	540.19	802.41	312.0	409.15	974.5	567.1	1242.34	249.73	414.87	303.44	759.08	743.43	420.68	708.18	819.3	642.59	521.76	297.17	769.69	612.11	738.29	420.68	532.74	346.29	934.76	397.93	329.84	579.04	587.13	660.68
HEATR1	229.72	473.41	329.84	285.03	307.69	224.97	309.83	244.57	325.29	314.17	237.86	353.59	271.48	271.48	255.0	264.03	403.5	379.04	130.6	59.55	108.14	56.68	96.68	74.58	62.56	88.26	77.79	88.88	49.91	84.63	37.59	32.13	56.68	101.54	37.05	112.77	59.13	36.79	177.53	202.66	98.73	68.07	132.44	66.65	39.79	80.01	66.18	177.53	57.49	63.0	38.4	81.14	165.57	31.22	77.79	156.59	172.65	57.08	53.19	67.59	111.21	123.5	33.78	72.01	57.89	128.79	55.49	15.45	78.34	48.52	65.72
LCMT2	224.97	204.07	198.47	215.77	208.38	156.59	175.07	161.02	208.38	173.85	231.32	164.42	229.72	191.67	221.86	202.66	307.69	159.9	165.57	102.97	104.42	94.01	92.05	68.55	63.89	83.45	122.64	96.68	71.5	108.9	86.43	65.26	97.36	85.82	77.79	113.56	96.01	85.82	139.07	217.27	154.42	102.25	165.57	87.03	100.13	139.07	133.36	191.67	51.35	122.64	40.93	91.41	120.94	89.51	127.0	153.34	97.36	130.6	88.88	127.89	162.14	122.64	77.79	70.01	111.21	164.42	84.04	37.59	127.89	95.34	89.51
LLPH	1175.27	961.07	947.83	796.86	679.29	718.08	698.41	708.18	656.11	616.37	693.58	813.63	728.11	679.29	836.53	684.02	1111.82	896.64	1135.2	435.55	493.56	490.14	603.67	406.31	480.04	444.72	511.0	403.5	361.04	438.59	366.09	253.23	307.69	379.04	363.56	435.55	423.61	412.0	733.19	723.08	450.94	529.06	493.56	358.54	414.87	638.15	559.28	616.37	273.37	511.0	232.94	493.56	559.28	351.14	665.29	642.59	555.41	435.55	409.15	497.0	660.68	599.49	460.44	444.72	373.81	647.07	373.81	283.05	493.56	457.25	441.64
LTV1	514.56	1023.0	713.11	665.29	638.15	587.13	503.95	633.73	624.99	435.55	555.41	607.87	665.29	575.03	802.41	480.04	934.76	878.17	514.56	287.01	483.38	403.5	500.46	312.0	215.77	366.09	358.54	348.71	297.17	363.56	264.03	127.89	320.8	318.57	301.33	540.19	373.81	279.14	679.29	785.88	329.84	420.68	656.11	166.73	231.32	583.07	287.01	612.11	202.66	403.5	186.4	239.52	665.29	241.19	638.15	493.56	842.36	267.73	341.51	348.71	514.56	647.07	417.77	241.19	279.14	743.43	285.03	113.56	327.56	329.84	363.56
MAK16	242.88	432.53	301.33	332.14	299.25	220.32	269.6	231.32	255.0	211.31	206.94	273.37	287.01	267.73	271.48	195.72	329.84	299.25	149.12	92.05	123.5	57.08	166.73	92.7	63.89	90.77	102.25	100.13	77.79	111.99	87.03	26.67	100.83	111.99	81.14	208.38	112.77	102.97	195.72	389.72	115.97	105.15	314.17	86.43	41.81	220.32	68.55	201.25	75.64	80.01	71.0	73.54	199.85	67.12	163.28	181.28	271.48	60.39	117.6	110.43	152.28	144.01	94.67	122.64	107.38	241.19	86.43	24.46	66.65	75.11	78.34
MAPRE1	2555.58	2319.15	2119.22	1883.54	1617.0	1769.57	1427.22	1832.01	1781.89	1286.18	1883.54	1757.34	2148.82	1896.65	2119.22	1331.57	1963.57	1832.01	1857.6	384.34	642.59	211.31	329.84	361.04	460.44	420.68	500.46	497.0	316.37	575.03	318.57	312.0	376.41	343.89	267.73	684.02	387.02	173.85	954.43	902.89	457.25	417.77	571.05	246.28	314.17	567.1	392.44	587.13	277.2	197.09	150.17	351.14	902.89	220.32	500.46	379.04	368.65	348.71	242.88	316.37	366.09	688.78	567.1	239.52	291.04	447.82	208.38	318.57	356.05	403.5	412.0
MPHOSPH10	728.11	842.36	713.11	698.41	713.11	532.74	713.11	607.87	647.07	591.22	708.18	633.73	733.19	624.99	743.43	660.68	769.69	660.68	540.19	511.0	450.94	483.38	555.41	379.04	299.25	435.55	480.04	297.17	441.64	409.15	366.09	40.36	316.37	384.34	376.41	376.41	466.88	287.01	583.07	575.03	420.68	356.05	514.56	269.6	277.2	567.1	414.87	536.45	392.44	316.37	281.09	287.01	397.93	327.56	435.55	373.81	583.07	389.72	305.55	420.68	409.15	500.46	514.56	376.41	312.0	599.49	341.51	209.84	480.04	348.71	258.57
NARS	1950.0	2645.74	2384.37	2255.7	1794.29	1819.35	1950.0	1857.6	1977.24	2255.7	1844.76	2240.11	2255.7	2004.85	2367.9	1819.35	3190.46	2855.44	2271.4	954.43	1199.98	1096.5	1277.29	1066.48	967.76	1259.69	1277.29	981.29	1015.93	988.12	669.92	796.86	866.07	1088.92	890.44	1233.75	1044.52	890.44	2004.85	1991.0	1015.93	1191.69	1242.34	764.36	684.02	1733.13	1001.93	1561.89	514.56	1127.35	503.95	872.1	1242.34	723.08	1259.69	1685.71	1369.04	981.29	954.43	1096.5	1477.58	1467.37	775.05	1037.29	796.86	1498.22	703.28	599.49	1119.56	947.83	902.89
