	TCGA.FJ.A871.01A.11R.A352.07	TCGA.GU.A767.01A.11R.A32O.07	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.S3XE.1126.SM.4AD4N	GTEX.P4PP.1426.SM.3NM9L	GTEX.ZZ64.0726.SM.5GZX4	GTEX.ZGAY.2126.SM.4YCFB	GTEX.13VXT.2426.SM.5LU46	GTEX.O5YW.1426.SM.3MJHF	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.B8.5552.11A.01R.1672.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.97.7552.01A.11R.2039.07	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	TCGA.AJ.A3BK.01A.11R.A19W.07	TCGA.A5.A2K7.01A.11R.A180.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07	TCGA.N5.A4RF.01A.11R.A28V.07	TCGA.N8.A4PM.01A.11R.A28V.07
C11orf54	157.68	281.09	237.86	1286.18	195.72	218.79	215.77	223.41	1909.85	848.22	1467.37	1001.93	995.0	896.64	1639.59	256.78	265.87	212.78	301.33	1208.34	684.02	915.51	291.04	387.02	493.56	389.72	575.03	521.76	339.14	255.0	343.89	457.25	1250.98	194.36	248.0	197.09	403.5	167.9	133.36
C4orf36	27.25	49.56	166.73	269.6	50.27	66.18	42.71	81.14	120.94	102.97	137.14	82.29	84.04	105.89	131.51	92.7	22.43	74.58	55.49	208.38	40.36	166.73	48.87	161.02	122.64	123.5	72.01	67.59	155.5	108.9	133.36	181.28	78.34	40.07	82.87	55.89	55.49	50.98	39.5
CAB39	248.0	183.82	1286.18	536.45	567.1	480.04	536.45	902.89	2090.03	1628.26	2119.22	1605.83	1794.29	1519.15	1477.58	1519.15	616.37	1081.39	1127.35	1909.85	281.09	1769.57	599.49	995.0	842.36	902.89	1191.69	1216.75	1225.22	698.41	642.59	1286.18	974.5	480.04	414.87	392.44	356.05	457.25	285.03
CALCOCO2	780.44	679.29	1794.29	2133.97	1051.79	2104.58	1111.82	1936.53	3540.14	3820.7	3820.7	4328.55	3874.05	2502.97	4388.98	2664.15	947.83	1870.53	2400.97	2537.92	860.08	3419.52	780.44	1259.69	1135.2	1583.71	3168.41	2434.5	1457.23	1259.69	1233.75	2090.03	2047.0	543.96	417.77	1286.18	674.59	947.83	334.46
CCPG1	163.28	167.9	265.87	1350.18	1745.2	426.57	902.89	579.04	1015.93	1127.35	1378.57	921.88	1008.9	1001.93	1111.82	536.45	189.02	460.44	486.75	3467.27	444.72	1745.2	438.59	1721.16	1242.34	1066.48	587.13	961.07	884.29	769.69	1519.15	559.28	753.83	242.88	279.14	146.03	435.55	258.57	120.1
CNNM4	132.44	126.12	139.07	136.19	289.02	150.17	79.45	198.47	2209.26	1151.06	2032.85	825.0	1268.46	633.73	1208.34	232.94	110.43	178.77	361.04	239.52	41.52	575.03	265.87	242.88	201.25	373.81	303.44	450.94	312.0	132.44	373.81	518.15	587.13	106.63	153.34	119.26	77.79	93.35	169.07
CPEB2	114.36	17.64	842.36	145.02	31.67	72.01	76.17	84.04	202.66	229.72	214.27	221.86	205.5	255.0	265.87	183.82	69.52	99.43	178.77	878.17	31.0	178.77	55.49	182.55	173.85	94.01	103.69	142.01	128.79	69.52	86.43	129.69	130.6	15.11	15.91	21.63	21.16	22.92	15.91
CPEB3	2.05	3.63	94.67	42.71	22.75	14.89	12.83	27.05	76.71	43.63	72.52	54.33	59.55	66.65	94.01	38.4	21.63	22.26	34.51	143.01	8.25	80.01	20.71	44.25	34.02	54.33	22.59	30.34	40.64	18.7	28.65	58.3	50.27	10.79	11.38	11.21	7.11	10.79	4.62
CSNK1G3	169.07	182.55	332.14	153.34	193.01	325.29	260.38	265.87	547.75	429.54	624.99	438.59	486.75	384.34	563.18	180.02	205.5	248.0	223.41	796.86	142.01	500.46	104.42	220.32	312.0	172.65	301.33	346.29	346.29	149.12	224.97	260.38	400.71	113.56	169.07	140.04	175.07	190.34	161.02
CTSS	285.03	518.15	974.5	2935.74	1191.69	1437.15	1561.89	3443.31	15285.81	7230.1	15607.02	8778.97	11035.54	6381.92	10084.54	2384.37	575.03	1216.75	2178.83	3395.89	307.69	9740.98	1857.6	2935.74	3847.29	603.67	1909.85	5711.87	2319.15	1963.57	1277.29	7433.4	7130.55	854.13	470.14	2351.53	2758.13	426.57	146.03
DDX6	123.5	98.04	454.09	470.14	211.31	193.01	255.0	356.05	665.29	791.35	674.59	599.49	693.58	830.75	866.07	392.44	239.52	348.71	444.72	1896.65	66.65	1135.2	178.77	371.22	559.28	567.1	607.87	490.14	603.67	239.52	307.69	450.94	384.34	111.99	128.79	65.72	80.57	116.78	185.11
DENND4C	54.33	111.21	215.77	309.83	197.09	314.17	248.0	206.94	521.76	507.46	624.99	420.68	616.37	454.09	743.43	289.02	197.09	237.86	395.18	693.58	40.64	507.46	186.4	363.56	470.14	483.38	224.97	353.59	441.64	281.09	208.38	409.15	551.56	51.71	97.36	144.01	64.8	153.34	59.55
DHX32	291.04	373.81	1628.26	738.29	246.28	669.92	314.17	457.25	915.51	660.68	961.07	638.15	718.08	518.15	785.88	518.15	275.28	299.25	480.04	620.67	103.69	612.11	470.14	409.15	511.0	551.56	559.28	368.65	490.14	329.84	406.31	540.19	599.49	366.09	312.0	170.25	185.11	379.04	217.27
DSC2	13.12	66.65	52497.92	183.82	909.17	53.19	97.36	73.54	3349.13	1697.45	3060.45	1388.16	1605.83	723.08	1322.37	209.84	12.27	153.34	890.44	483.38	84.04	463.65	69.52	279.14	368.65	307.69	336.79	201.25	167.9	50.98	53.19	1001.93	583.07	16.15	316.37	108.14	161.02	149.12	190.34
DSG2	49.56	194.36	764.36	460.44	2133.97	127.0	400.71	543.96	4836.35	2875.3	5329.3	2335.28	3665.02	1378.57	3103.19	291.04	205.5	607.87	642.59	954.43	147.06	1081.39	339.14	1950.0	2075.59	1268.46	1769.57	1628.26	1487.87	470.14	137.14	928.3	967.76	96.01	441.64	102.25	119.26	171.45	198.47
EFCAB14	178.77	379.04	1001.93	848.22	583.07	599.49	417.77	708.18	1477.58	1674.06	1794.29	1467.37	1457.23	1208.34	1662.49	753.83	503.95	476.71	551.56	3467.27	249.73	2061.24	620.67	1250.98	1051.79	1059.11	775.05	915.51	1529.73	769.69	543.96	1745.2	1923.14	301.33	376.41	343.89	258.57	312.0	307.69
ELMSAN1	109.66	100.13	470.14	258.57	142.01	127.89	231.32	301.33	660.68	567.1	669.92	961.07	836.53	693.58	603.67	551.56	208.38	255.0	363.56	961.07	38.95	669.92	221.86	281.09	291.04	651.58	249.73	486.75	438.59	231.32	320.8	575.03	460.44	72.52	169.07	94.67	113.56	206.94	162.14
FAM160B1	62.56	61.25	101.54	277.2	71.5	90.14	108.14	187.71	152.28	201.25	150.17	181.28	159.9	204.07	197.09	264.03	143.01	133.36	190.34	420.68	78.89	301.33	156.59	140.04	226.54	153.34	198.47	249.73	253.23	105.15	127.0	220.32	232.94	70.51	64.8	76.17	43.02	111.21	76.71
FBXL3	193.01	169.07	688.78	713.11	389.72	199.85	366.09	312.0	961.07	796.86	1059.11	808.0	947.83	780.44	836.53	684.02	346.29	571.05	470.14	1295.13	186.4	808.0	387.02	334.46	514.56	616.37	387.02	713.11	447.82	212.78	339.14	483.38	473.41	91.41	197.09	157.68	165.57	186.4	217.27
FBXO8	167.9	218.79	808.0	361.04	126.12	262.2	218.79	312.0	507.46	599.49	486.75	483.38	441.64	540.19	660.68	314.17	339.14	217.27	267.73	651.58	182.55	559.28	198.47	343.89	339.14	157.68	193.01	147.06	223.41	214.27	187.71	379.04	432.53	109.66	127.89	172.65	111.99	115.97	106.63
FCHO2	45.53	44.25	376.41	246.28	151.22	187.71	141.02	205.5	460.44	518.15	500.46	414.87	339.14	414.87	547.75	176.29	86.43	228.13	325.29	1250.98	111.21	647.07	87.65	202.66	381.68	132.44	211.31	223.41	226.54	145.02	158.79	232.94	255.0	76.17	51.35	70.51	77.79	79.45	50.63
FEM1C	108.9	67.12	316.37	289.02	90.14	260.38	105.15	159.9	420.68	327.56	514.56	363.56	454.09	264.03	332.14	127.89	96.68	139.07	620.67	403.5	90.14	256.78	76.17	159.9	212.78	104.42	297.17	279.14	279.14	142.01	121.79	163.28	162.14	53.57	87.65	55.89	53.95	96.68	71.0
G3BP2	660.68	587.13	808.0	780.44	500.46	638.15	612.11	842.36	1806.78	1896.65	1757.34	2178.83	2209.26	1757.34	1806.78	1350.18	599.49	825.0	1135.2	3467.27	336.79	2061.24	486.75	1119.56	1008.9	1059.11	1199.98	836.53	1350.18	540.19	1023.0	921.88	884.29	346.29	612.11	381.68	503.95	599.49	708.18
GAB1	17.38	22.59	305.55	157.68	25.17	69.03	87.65	92.05	583.07	423.61	476.71	301.33	409.15	559.28	698.41	218.79	38.95	189.02	336.79	620.67	10.55	256.78	75.64	166.73	209.84	318.57	151.22	229.72	170.25	85.22	139.07	336.79	167.9	22.26	92.05	21.63	22.43	76.17	43.02
GLYR1	397.93	116.78	941.27	836.53	785.88	688.78	1159.07	684.02	1519.15	1977.24	1286.18	1617.0	1617.0	1757.34	1977.24	1923.14	954.43	1023.0	733.19	1977.24	363.56	1388.16	1059.11	769.69	764.36	642.59	603.67	872.1	1199.98	1313.23	780.44	1662.49	1477.58	325.29	620.67	183.82	258.57	353.59	426.57
HSD17B11	674.59	1551.09	759.08	2193.99	111.99	909.17	884.29	1001.93	7857.29	4298.64	7749.1	3515.68	5403.7	2209.26	5791.62	2319.15	669.92	1896.65	2303.12	1540.37	842.36	3060.45	674.59	1277.29	2163.77	1757.34	1991.0	1508.65	728.11	624.99	961.07	974.5	1685.71	339.14	158.79	204.07	603.67	289.02	293.07
IL23R	0.0	0.0	0.0	0.0	0.31	2.03	0.84	0.0	34.75	8.38	19.11	7.57	13.83	7.69	7.46	3.11	0.0	1.66	3.26	2.46	0.0	19.82	1.58	2.1	1.08	1.22	2.1	4.28	10.88	1.81	2.07	4.13	0.0	0.8	0.0	0.27	0.6	0.0	0.0
IRF2	165.57	457.25	579.04	836.53	447.82	403.5	426.57	884.29	947.83	921.88	866.07	733.19	713.11	802.41	915.51	616.37	435.55	379.04	660.68	921.88	218.79	1651.0	603.67	693.58	684.02	384.34	647.07	819.3	743.43	612.11	638.15	1467.37	995.0	346.29	332.14	356.05	457.25	339.14	208.38
JAG1	108.14	389.72	2664.15	1819.35	297.17	497.0	283.05	403.5	571.05	490.14	1015.93	669.92	693.58	518.15	674.59	884.29	698.41	432.53	1963.57	941.27	31.0	718.08	363.56	384.34	591.22	256.78	571.05	620.67	536.45	336.79	255.0	1001.93	674.59	152.28	142.01	61.68	70.01	255.0	432.53
JAK1	432.53	480.04	759.08	2032.85	591.22	967.76	551.56	2090.03	1617.0	2178.83	1651.0	1674.06	1561.89	1477.58	1477.58	1417.35	1259.69	954.43	1208.34	3280.18	540.19	2163.77	775.05	1427.22	1572.76	1175.27	1015.93	1819.35	1769.57	728.11	775.05	1447.15	1167.14	316.37	507.46	368.65	543.96	713.11	336.79
KBTBD11	209.84	23.25	208.38	265.87	1.71	108.14	35.76	66.18	591.22	242.88	412.0	232.94	332.14	211.31	256.78	108.14	30.12	44.89	65.26	256.78	1.36	95.34	8.25	13.72	85.82	102.97	86.43	133.36	12.83	14.45	54.33	56.28	24.28	7.57	32.82	3.08	55.89	10.71	13.83
KCTD10	540.19	555.41	808.0	688.78	389.72	389.72	713.11	460.44	769.69	928.3	713.11	1498.22	1225.22	1151.06	995.0	551.56	591.22	454.09	947.83	1437.15	183.82	674.59	320.8	265.87	674.59	507.46	1167.14	366.09	450.94	591.22	376.41	713.11	575.03	260.38	353.59	420.68	305.55	423.61	457.25
KIAA1211	80.57	17.77	4.82	19.39	5.77	4.46	9.34	5.87	703.28	253.23	476.71	150.17	312.0	125.24	281.09	33.78	5.41	15.22	66.18	61.68	0.0	234.57	12.09	49.91	86.43	40.07	28.04	74.58	82.29	11.91	32.36	41.52	32.36	3.03	4.39	6.62	9.27	24.11	21.16
LCN2	116.78	65.26	1179708.33	706337.4	311742.51	316094.29	204252.32	542775.98	2555.58	9151.82	2178.83	6164.49	1757.34	8963.45	2537.92	606436.73	654483.73	1238359.56	513497.31	14867.79	10659.59	28132.47	1034138.94	565825.41	1472666.19	593956.43	431797.89	334117.42	466008.55	251464.33	383800.28	301123.38	320506.81	6840.04	2627.46	19618.49	237.86	1819.35	361.04
LRRC1	70.51	403.5	825.0	376.41	256.78	281.09	228.13	320.8	1135.2	813.63	1044.52	743.43	934.76	563.18	780.44	571.05	392.44	813.63	981.29	457.25	186.4	486.75	409.15	466.88	327.56	441.64	525.39	607.87	511.0	279.14	435.55	353.59	483.38	283.05	366.09	285.03	265.87	144.01	182.55
MAP3K3	236.21	136.19	241.19	587.13	140.04	105.89	248.0	358.54	255.0	521.76	239.52	460.44	426.57	500.46	470.14	295.11	159.9	171.45	493.56	441.64	105.15	507.46	273.37	208.38	406.31	256.78	169.07	361.04	291.04	297.17	262.2	466.88	346.29	86.43	148.09	159.9	122.64	279.14	143.01
MBD5	96.68	119.26	244.57	265.87	116.78	63.0	193.01	136.19	191.67	332.14	221.86	329.84	236.21	323.03	329.84	314.17	186.4	155.5	220.32	450.94	53.57	325.29	234.57	202.66	177.53	181.28	242.88	244.57	211.31	123.5	155.5	293.07	395.18	92.7	125.24	73.54	88.88	134.3	146.03
MBNL1	269.6	384.34	896.64	1175.27	607.87	607.87	426.57	878.17	1583.71	2287.2	1909.85	2004.85	2400.97	2193.99	2148.82	1183.45	616.37	733.19	1066.48	1781.89	255.0	1794.29	426.57	796.86	1001.93	656.11	753.83	1143.1	1037.29	591.22	346.29	1030.12	890.44	273.37	361.04	368.65	400.71	325.29	217.27
MIER1	195.72	98.73	246.28	389.72	356.05	201.25	127.89	295.11	884.29	551.56	915.51	723.08	941.27	551.56	616.37	384.34	256.78	262.2	221.86	1135.2	163.28	583.07	172.65	703.28	521.76	480.04	379.04	457.25	414.87	318.57	334.46	312.0	361.04	134.3	234.57	136.19	153.34	248.0	177.53
MTF1	57.89	82.87	127.89	53.19	82.87	64.8	73.03	77.25	186.4	120.1	158.79	152.28	136.19	125.24	190.34	187.71	83.45	69.52	149.12	253.23	36.53	182.55	56.68	107.38	101.54	80.57	78.34	69.52	100.83	50.63	57.08	118.43	105.15	39.5	38.67	49.56	47.5	41.52	38.67
MTM1	29.48	29.27	212.78	237.86	67.12	68.07	66.18	106.63	819.3	480.04	819.3	432.53	483.38	358.54	599.49	224.97	100.83	178.77	167.9	325.29	42.71	279.14	71.5	134.3	126.12	146.03	115.97	201.25	126.12	125.24	100.13	153.34	209.84	24.99	40.07	45.21	35.25	44.57	32.36
MYO1D	146.03	463.65	1001.93	521.76	381.68	660.68	890.44	166.73	6935.54	3467.27	7130.55	3794.3	5006.93	2119.22	4450.27	688.78	253.23	1127.35	679.29	1159.07	139.07	1508.65	836.53	791.35	1437.15	974.5	890.44	759.08	802.41	988.12	429.54	1233.75	1191.69	209.84	571.05	376.41	226.54	104.42	389.72
MYO9A	47.17	29.06	85.82	121.79	54.33	42.11	81.71	77.25	130.6	275.28	165.57	176.29	170.25	170.25	205.5	293.07	77.79	72.52	88.26	728.11	8.85	161.02	89.51	178.77	130.6	111.99	124.37	127.89	153.34	63.45	153.34	67.59	109.66	35.76	63.89	29.91	18.16	25.35	32.82
NAPEPLD	64.34	82.29	110.43	260.38	70.51	205.5	170.25	217.27	543.96	318.57	500.46	318.57	412.0	346.29	540.19	224.97	66.65	92.7	95.34	1015.93	82.87	387.02	140.04	142.01	182.55	182.55	189.02	356.05	273.37	146.03	126.12	392.44	327.56	67.12	91.41	60.39	131.51	68.07	72.01
NBR1	395.18	647.07	974.5	1388.16	764.36	1199.98	967.76	825.0	2720.15	1991.0	2400.97	1583.71	1870.53	1447.15	2367.9	1051.79	638.15	941.27	878.17	2119.22	460.44	2075.59	454.09	842.36	813.63	1023.0	775.05	1417.35	921.88	583.07	802.41	1208.34	1313.23	450.94	497.0	493.56	460.44	532.74	229.72
NCOA4	529.06	1051.79	2255.7	1594.73	638.15	961.07	1044.52	1104.13	3820.7	3589.58	3372.43	3257.52	3614.55	3018.3	3146.52	1909.85	1529.73	769.69	1806.78	3467.27	808.0	3146.52	890.44	1111.82	2271.4	1617.0	1407.55	1844.76	1487.87	1183.45	1304.15	3168.41	2875.3	860.08	738.29	743.43	514.56	743.43	563.18
NPTN	743.43	780.44	2451.44	1745.2	1896.65	540.19	1674.06	1923.14	3212.66	5791.62	3901.01	4066.71	4419.52	5147.73	4543.8	2555.58	2664.15	2240.11	2720.15	2816.11	346.29	3060.45	1745.2	2645.74	1896.65	1806.78	1487.87	1467.37	1159.07	1977.24	2193.99	2875.3	2502.97	514.56	674.59	748.61	384.34	651.58	543.96
PACSIN2	514.56	457.25	633.73	866.07	934.76	743.43	309.83	1447.15	3467.27	2090.03	2758.13	1685.71	1991.0	1977.24	2224.63	1350.18	1111.82	651.58	1721.16	1127.35	819.3	1242.34	1407.55	1487.87	1225.22	1685.71	1331.57	1295.13	934.76	1167.14	825.0	1159.07	1127.35	733.19	579.04	507.46	591.22	1008.9	420.68
PLCL2	28.04	17.0	33.54	142.01	16.75	11.21	19.39	134.3	583.07	221.86	426.57	181.28	351.14	165.57	258.57	38.95	5.63	20.56	53.19	265.87	64.8	339.14	36.27	84.04	125.24	116.78	29.48	102.25	41.22	120.1	30.78	432.53	169.07	23.25	7.34	37.59	71.5	53.57	43.32
PLEKHB2	665.29	363.56	555.41	547.75	525.39	384.34	454.09	684.02	2609.3	1417.35	2163.77	1447.15	1605.83	1268.46	1769.57	878.17	567.1	599.49	808.0	2271.4	275.28	1572.76	1662.49	1295.13	775.05	1167.14	2287.2	1369.04	1259.69	785.88	567.1	872.1	954.43	679.29	351.14	470.14	575.03	368.65	559.28
PLS1	16.15	87.03	567.1	346.29	173.85	143.01	7.28	289.02	9606.86	5292.48	7857.29	3928.15	5441.3	1936.53	4239.45	961.07	371.22	199.85	575.03	1950.0	368.65	1709.26	426.57	1819.35	1030.12	759.08	1936.53	1250.98	738.29	551.56	191.67	1001.93	1127.35	83.45	123.5	84.04	70.51	27.25	44.57
RFFL	25.72	255.0	819.3	150.17	299.25	429.54	241.19	384.34	507.46	624.99	540.19	624.99	620.67	423.61	629.35	693.58	211.31	403.5	595.34	346.29	454.09	579.04	231.32	366.09	444.72	454.09	532.74	575.03	507.46	229.72	476.71	525.39	518.15	137.14	215.77	190.34	175.07	132.44	128.79
RNF141	379.04	162.14	2335.28	429.54	379.04	309.83	432.53	417.77	624.99	529.06	616.37	435.55	490.14	514.56	579.04	429.54	587.13	226.54	507.46	1295.13	339.14	693.58	258.57	412.0	358.54	441.64	343.89	392.44	409.15	253.23	246.28	438.59	860.08	228.13	246.28	152.28	166.73	295.11	208.38
RP11-159G9.5	13.93	15.0	28.65	35.5	39.79	15.0	19.97	61.68	108.14	123.5	105.15	112.77	136.19	113.56	139.07	53.57	39.22	28.45	65.72	291.04	6.21	180.02	26.1	47.84	78.89	102.97	27.64	79.45	59.55	20.26	43.02	77.25	69.52	9.85	8.25	10.39	8.0	3.0	7.22
RPS6KA5	5.82	32.13	190.34	74.06	8.85	64.8	19.25	35.76	242.88	281.09	314.17	220.32	273.37	191.67	255.0	105.15	27.44	52.45	48.87	127.0	2.61	99.43	37.85	90.14	44.57	85.22	46.84	66.65	81.14	44.89	46.84	133.36	108.14	29.91	16.88	13.62	12.27	30.12	10.47
RSBN1	59.55	68.55	157.68	186.4	87.03	126.12	125.24	124.37	318.57	211.31	277.2	258.57	262.2	264.03	307.69	165.57	97.36	106.63	105.15	301.33	29.7	231.32	70.51	127.89	131.51	183.82	122.64	159.9	173.85	75.64	85.22	128.79	221.86	46.84	67.59	66.65	42.71	71.5	76.17
SECISBP2L	60.82	35.76	189.02	543.96	251.48	69.03	181.28	166.73	320.8	351.14	325.29	368.65	412.0	384.34	373.81	279.14	159.9	127.89	189.02	1066.48	40.07	698.41	166.73	287.01	361.04	204.07	191.67	214.27	384.34	158.79	228.13	201.25	189.02	50.27	66.65	44.25	71.0	72.52	53.57
SHOC2	206.94	199.85	483.38	409.15	190.34	248.0	198.47	339.14	660.68	567.1	647.07	651.58	616.37	521.76	587.13	514.56	271.48	397.93	414.87	1427.22	148.09	796.86	346.29	599.49	447.82	287.01	329.84	420.68	432.53	389.72	368.65	346.29	339.14	231.32	253.23	223.41	147.06	241.19	224.97
SLAIN2	234.57	289.02	1295.13	490.14	204.07	395.18	363.56	785.88	1015.93	1427.22	961.07	1225.22	941.27	1008.9	1119.56	872.1	463.65	514.56	780.44	1277.29	193.01	1051.79	376.41	909.17	595.34	529.06	708.18	543.96	559.28	480.04	412.0	775.05	1037.29	150.17	208.38	176.29	111.99	237.86	256.78
SLC25A24	178.77	177.53	587.13	435.55	295.11	599.49	134.3	255.0	1295.13	796.86	1331.57	842.36	1135.2	728.11	1030.12	579.04	429.54	480.04	493.56	1540.37	5.96	769.69	166.73	583.07	547.75	420.68	796.86	409.15	603.67	327.56	320.8	511.0	500.46	186.4	202.66	384.34	136.19	334.46	155.5
SLC2A13	8.71	4.94	80.01	134.3	41.52	55.89	52.45	49.21	236.21	325.29	381.68	229.72	202.66	178.77	239.52	37.85	20.11	55.89	71.5	854.13	24.46	150.17	29.48	81.14	111.99	115.97	50.98	120.94	25.91	31.67	101.54	156.59	167.9	4.13	10.96	10.79	25.54	30.56	18.29
SLC35D1	67.12	34.02	185.11	121.79	112.77	198.47	116.78	41.81	1208.34	620.67	921.88	500.46	555.41	457.25	624.99	152.28	100.13	96.01	112.77	299.25	183.82	237.86	135.24	244.57	220.32	262.2	97.36	490.14	353.59	134.3	98.73	220.32	205.5	46.18	52.82	46.84	32.36	66.65	29.91
