	GTEX.QLQW.0526.SM.4R1KS	GTEX.ZF2S.1226.SM.4WWAX	GTEX.X585.1226.SM.46MW7	GTEX.13G51.0926.SM.5IFFU	TCGA.D6.6824.01A.11R.1915.07	TCGA.CV.7261.11A.01R.2016.07	TCGA.CV.7440.11A.01R.2187.07	TCGA.CV.7101.11A.01R.2016.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7424.11A.01R.2081.07	TCGA.CV.6934.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.H7.A6C5.11A.11R.A30B.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.CV.6935.11A.01R.1915.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	TCGA.55.8512.01A.11R.2403.07	TCGA.85.7697.01A.11R.2125.07	TCGA.IN.AB1V.01A.21R.A414.31
ATP6V1G3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.69	0.0	3.56	0.0	0.0	13.62	0.0	1.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.63	1.73	0.0
B3GALT4	642.59	607.87	463.65	457.25	414.87	414.87	511.0	571.05	723.08	551.56	595.34	567.1	587.13	599.49	651.58	381.68	103.69	68.07	25.35	101.54	101.54	108.9	49.21	126.12	50.98	166.73	121.79	144.01	42.71	56.28	113.56	23.08	24.11	36.01	9.56	23.25	120.94	27.64	34.02	432.53	346.29	327.56
B3GNT7	127.89	181.28	51.35	104.42	525.39	25.35	1427.22	769.69	334.46	353.59	1457.23	339.14	759.08	251.48	197.09	400.71	21.94	16.15	4.54	36.79	115.97	35.0	33.78	223.41	19.11	49.56	105.15	139.07	10.39	46.84	47.84	5.36	6.52	12.45	15.0	9.7	106.63	36.01	31.45	1127.35	115.97	713.11
B4GALT5	1111.82	1437.15	1331.57	1037.29	2032.85	1104.13	2701.35	2777.33	1781.89	1844.76	3325.99	1769.57	1832.01	1407.55	954.43	406.31	287.01	624.99	1030.12	173.85	303.44	420.68	1331.57	1088.92	647.07	373.81	420.68	432.53	253.23	384.34	346.29	242.88	307.69	665.29	303.44	122.64	387.02	253.23	1030.12	1030.12	941.27	1651.0
BIK	329.84	262.2	351.14	332.14	503.95	363.56	1437.15	507.46	420.68	368.65	1883.54	212.78	1159.07	332.14	232.94	237.86	26.67	2.71	5.92	69.03	44.89	63.0	4.28	66.65	4.35	10.31	9.56	17.77	15.68	9.2	11.47	18.29	7.69	17.0	0.33	1.23	5.82	9.41	181.28	295.11	620.67	406.31
C10orf54	1936.53	2148.82	1477.58	1709.26	1662.49	2209.26	2627.46	2935.74	4181.07	2875.3	1674.06	3665.02	1051.79	2351.53	2591.27	1225.22	603.67	299.25	426.57	466.88	507.46	423.61	182.55	669.92	426.57	177.53	358.54	435.55	332.14	679.29	559.28	387.02	110.43	518.15	189.02	341.51	409.15	454.09	295.11	1277.29	1322.37	1781.89
C15orf39	559.28	616.37	318.57	457.25	575.03	587.13	679.29	974.5	1044.52	693.58	872.1	679.29	363.56	703.28	567.1	381.68	74.58	52.82	64.34	64.34	90.14	75.11	67.12	169.07	73.03	125.24	57.08	114.36	67.12	61.68	65.72	23.59	18.84	38.4	52.08	15.45	88.88	76.71	217.27	511.0	500.46	674.59
C1orf106	1617.0	1651.0	1233.75	1883.54	1111.82	1806.78	1844.76	2591.27	2351.53	2224.63	2664.15	1447.15	1331.57	1950.0	1572.76	486.75	248.0	11.47	9.34	1.53	137.14	9.34	1.19	10.79	9.2	38.4	25.72	312.0	52.82	3.44	5.92	4.7	0.0	36.79	0.0	1.62	5.92	9.7	4.66	1023.0	1135.2	2384.37
C1orf116	2627.46	4095.0	1950.0	3124.78	1127.35	2895.31	2335.28	2915.45	3982.99	3928.15	1529.73	5954.47	703.28	3060.45	3303.0	226.54	28.86	29.06	4.13	19.11	249.73	6.84	7.17	65.26	2.56	24.99	49.91	187.71	6.01	16.39	3.06	1.66	4.78	43.63	2.07	0.04	12.64	19.82	13.93	1437.15	780.44	7130.55
C3orf30	0.0	0.0	0.0	1.38	0.36	0.79	0.72	1.17	0.0	1.99	33.06	0.39	23.42	0.75	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.63	0.39	1.58
C5orf38	540.19	232.94	738.29	412.0	403.5	169.07	138.1	115.16	178.77	123.5	223.41	82.29	395.18	149.12	180.02	0.21	0.95	6.16	0.0	0.0	6.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.38	5.19	0.0	0.0	0.85	0.0	1001.93	185.11	473.41
C6orf58	2555.58	7032.37	4.54	2319.15	18304.63	1721.16	8479.89	7485.11	3.23	1250.98	24660.96	638.15	93974.69	2.97	6792.79	3.11	3.79	0.0	0.57	0.0	0.93	0.0	0.0	6.78	0.33	0.0	0.0	0.0	0.53	1.36	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	688.78	808.0	29.7
CACUL1	397.93	353.59	392.44	384.34	406.31	400.71	329.84	295.11	381.68	417.77	318.57	547.75	228.13	366.09	412.0	186.4	212.78	231.32	145.02	159.9	147.06	182.55	208.38	269.6	135.24	169.07	110.43	223.41	122.64	104.42	177.53	137.14	131.51	158.79	116.78	146.03	148.09	228.13	183.82	307.69	441.64	633.73
CAPN2	4123.49	5255.91	4123.49	4268.94	5329.3	4481.23	8479.89	7382.04	5255.91	6381.92	5872.48	6426.31	4639.29	5995.9	5183.54	698.41	1096.5	1350.18	420.68	303.44	525.39	316.37	684.02	587.13	802.41	591.22	476.71	1191.69	703.28	624.99	1250.98	332.14	490.14	651.58	412.0	94.67	371.22	813.63	633.73	4575.41	3303.0	6426.31
CCDC129	1.23	5.73	18.7	19.39	64.34	6.46	34.75	33.06	2.78	4.66	33.54	7.0	66.65	1.6	13.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.2	19.82	19.53
CCDC97	674.59	500.46	400.71	595.34	529.06	529.06	642.59	674.59	567.1	603.67	780.44	463.65	651.58	555.41	555.41	273.37	141.02	123.5	137.14	158.79	195.72	204.07	78.89	204.07	132.44	186.4	165.57	165.57	128.79	157.68	129.69	127.0	165.57	108.9	121.79	70.51	153.34	215.77	253.23	669.92	441.64	497.0
CDH26	507.46	52.08	145.02	211.31	429.54	353.59	890.44	1023.0	728.11	753.83	612.11	1447.15	981.29	688.78	454.09	7.0	0.38	2.16	4.43	2.12	4.39	4.43	0.0	7.51	0.33	2.56	3.76	0.09	0.57	3.47	1.58	0.54	2.92	4.31	8.92	9.63	2.86	3.82	6.06	603.67	164.42	301.33
CDK8	217.27	249.73	239.52	291.04	303.44	406.31	361.04	295.11	275.28	351.14	231.32	327.56	325.29	265.87	277.2	139.07	148.09	309.83	102.25	267.73	165.57	154.42	155.5	232.94	183.82	111.21	135.24	189.02	156.59	167.9	167.9	177.53	170.25	127.89	127.0	92.7	170.25	151.22	190.34	228.13	262.2	376.41
CHIC2	679.29	624.99	563.18	651.58	543.96	607.87	656.11	638.15	638.15	620.67	603.67	651.58	733.19	780.44	718.08	518.15	325.29	387.02	454.09	275.28	260.38	269.6	460.44	571.05	224.97	221.86	244.57	387.02	379.04	289.02	480.04	518.15	297.17	283.05	198.47	493.56	346.29	269.6	358.54	336.79	733.19	289.02
CLCA4	6792.79	8479.89	3419.52	3235.01	1605.83	4328.55	5633.22	17804.06	12076.21	8718.32	3794.3	14461.21	1781.89	12244.81	6792.79	0.0	1.27	0.0	0.23	0.02	0.23	1.43	2.12	1.43	0.0	0.28	1.31	0.6	0.77	1.01	0.83	0.0	0.21	0.2	1.45	0.24	0.0	2.51	0.0	21.78	1397.83	4671.57
CLCNKB	4.13	7.51	16.75	8.92	7.63	6.46	12.55	53.95	8.0	53.95	145.02	2.92	32.13	5.28	12.83	0.39	0.41	0.41	0.0	0.0	1.17	0.0	0.0	0.0	0.0	0.0	2.89	0.0	2.71	0.0	0.36	0.39	0.0	0.0	0.0	0.0	0.36	1.03	0.39	26.67	7.34	8.85
CLSTN1	1819.35	2434.5	2303.12	2351.53	4972.34	2240.11	3768.09	3235.01	3257.52	2895.31	4152.18	3349.13	3639.7	2434.5	2104.58	1104.13	457.25	283.05	159.9	244.57	376.41	295.11	163.28	426.57	153.34	249.73	271.48	368.65	171.45	361.04	187.71	297.17	170.25	123.5	241.19	80.01	320.8	255.0	236.21	2835.7	4869.99	2255.7
CNPPD1	1781.89	1909.85	1191.69	1628.26	1277.29	1991.0	1216.75	2090.03	2537.92	2271.4	1407.55	2816.11	1286.18	2148.82	2004.85	1111.82	769.69	476.71	457.25	713.11	941.27	1233.75	559.28	961.07	521.76	961.07	974.5	1088.92	808.0	961.07	769.69	669.92	624.99	518.15	599.49	759.08	693.58	728.11	493.56	1111.82	860.08	974.5
CSK	2591.27	2796.65	2645.74	2627.46	1923.14	2816.11	1757.34	2701.35	3280.18	2434.5	2255.7	2351.53	1331.57	2895.31	3716.2	1151.06	1081.39	571.05	684.02	860.08	728.11	693.58	842.36	1159.07	2119.22	884.29	981.29	860.08	1143.1	1127.35	941.27	1250.98	1066.48	1594.73	1001.93	1295.13	1059.11	753.83	1651.0	1175.27	1685.71	2303.12
CYP2W1	16.15	31.0	139.07	21.47	6.31	33.06	18.16	45.53	73.03	38.95	45.21	101.54	36.53	38.4	9.13	4.13	0.82	7.22	0.88	0.0	2.27	2.81	0.0	0.27	0.0	2.07	1.77	7.75	0.0	0.11	0.0	0.75	0.0	0.0	1.01	0.91	0.31	4.39	0.74	23.25	156.59	27.25
DBNDD1	591.22	708.18	819.3	866.07	183.82	825.0	204.07	514.56	890.44	563.18	334.46	780.44	209.84	651.58	961.07	348.71	332.14	34.51	17.9	55.1	327.56	660.68	52.08	220.32	25.35	176.29	142.01	381.68	127.89	7.75	39.79	37.85	96.01	20.86	50.27	63.0	120.1	105.15	563.18	260.38	178.77	567.1
DCLRE1C	279.14	249.73	232.94	246.28	161.02	177.53	205.5	198.47	193.01	253.23	154.42	387.02	128.79	224.97	156.59	46.84	32.82	19.53	15.91	24.63	45.85	17.25	33.78	59.13	14.24	20.86	17.0	78.34	15.0	29.06	13.32	16.75	43.32	11.55	15.34	4.58	15.91	24.63	12.83	135.24	141.02	493.56
DEAF1	819.3	860.08	1350.18	1487.87	503.95	743.43	460.44	536.45	1143.1	780.44	470.14	1088.92	599.49	753.83	819.3	234.57	258.57	95.34	140.04	139.07	226.54	167.9	167.9	260.38	167.9	236.21	175.07	208.38	187.71	248.0	185.11	234.57	137.14	127.0	201.25	151.22	221.86	229.72	187.71	647.07	297.17	796.86
DHRS11	299.25	547.75	432.53	679.29	180.02	591.22	208.38	423.61	616.37	447.82	253.23	529.06	211.31	559.28	303.44	255.0	403.5	153.34	115.97	205.5	318.57	358.54	39.5	231.32	153.34	289.02	249.73	423.61	265.87	173.85	215.77	267.73	253.23	226.54	260.38	232.94	223.41	136.19	75.64	277.2	189.02	368.65
DLG3	1066.48	669.92	688.78	848.22	748.61	738.29	974.5	854.13	660.68	896.64	1001.93	995.0	872.1	728.11	703.28	158.79	35.5	15.91	39.79	20.56	128.79	35.76	0.73	40.64	4.58	23.42	22.43	109.66	8.71	14.14	12.55	21.63	30.34	43.32	11.91	17.9	38.67	19.68	82.87	587.13	373.81	616.37
ERV3-1	665.29	915.51	543.96	409.15	133.36	336.79	435.55	435.55	551.56	723.08	133.36	1216.75	120.1	575.03	669.92	98.04	16.03	45.53	26.86	37.05	97.36	54.33	13.22	52.82	17.9	53.95	43.63	43.94	29.27	38.4	28.24	9.85	9.56	48.18	24.99	22.43	97.36	40.36	57.89	414.87	231.32	612.11
FANK1	208.38	220.32	241.19	232.94	76.17	97.36	115.16	51.35	127.89	134.3	1407.55	150.17	1487.87	155.5	115.16	8.58	12.18	2.41	7.06	0.13	15.56	0.0	0.52	12.09	1.31	3.99	11.82	17.0	0.55	4.78	1.55	3.2	1.36	0.18	0.73	1.58	2.43	0.47	4.28	1331.57	122.64	133.36
GABRA1	0.0	0.74	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.72	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0
GALE	2664.15	2835.7	2645.74	3419.52	2875.3	2777.33	3372.43	3372.43	3467.27	2777.33	3564.78	2758.13	3639.7	3190.46	3349.13	1794.29	1427.22	1143.1	518.15	1561.89	1199.98	1594.73	796.86	708.18	1508.65	1594.73	808.0	1322.37	1551.09	1561.89	1199.98	1044.52	1896.65	1417.35	2018.8	2240.11	1340.84	1605.83	718.08	2682.69	1806.78	2163.77
GALNT7	620.67	1051.79	651.58	902.89	1437.15	567.1	1322.37	1081.39	480.04	728.11	669.92	698.41	1023.0	493.56	785.88	316.37	24.28	36.01	27.44	28.65	57.49	33.3	3.89	20.56	4.5	6.26	28.45	25.91	13.52	16.27	15.91	16.75	7.82	8.32	2.41	0.62	55.1	22.26	18.7	493.56	642.59	1208.34
GCNT1	176.29	620.67	316.37	237.86	417.77	63.0	253.23	198.47	152.28	228.13	154.42	256.78	251.48	111.99	110.43	107.38	16.39	63.89	27.84	40.07	51.71	81.14	12.18	48.52	20.26	17.25	42.11	16.63	27.64	28.24	29.7	1.07	22.59	63.0	17.0	12.27	46.5	23.93	28.65	156.59	83.45	195.72
GP2	260.38	2664.15	90.14	808.0	1950.0	69.52	825.0	2645.74	0.0	82.87	9025.81	571.05	19754.96	4.1	387.02	0.0	0.0	0.0	1.85	4.54	1.31	6.67	8.06	28.45	4.24	3.59	13.62	13.03	1.11	9.56	4.86	0.38	16.03	0.77	2.01	0.0	9.34	7.82	12.83	28.86	320.8	764.36
GPR110	638.15	1844.76	358.54	791.35	1757.34	1295.13	3794.3	2609.3	2384.37	2816.11	3146.52	2935.74	1697.45	2032.85	1832.01	0.0	2.66	1.41	0.0	0.32	1.46	0.0	0.0	4.86	2.53	0.26	1.46	3.79	23.59	0.0	0.31	1.3	0.0	5.63	0.29	0.0	0.0	2.41	9.34	915.51	909.17	1277.29
GPR160	170.25	166.73	281.09	529.06	291.04	170.25	316.37	336.79	334.46	202.66	251.48	599.49	283.05	47.5	106.63	114.36	260.38	34.75	41.22	69.03	40.93	51.71	24.28	66.65	11.73	35.0	17.25	28.24	12.64	27.84	36.79	13.03	9.06	10.96	9.63	8.65	139.07	228.13	15.34	423.61	343.89	332.14
GSTA5	0.0	0.0	0.0	0.0	4.9	0.0	1.62	3.2	0.92	1.35	0.0	0.87	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	1.77	0.0
HECW2	106.63	142.01	45.53	48.87	110.43	100.13	73.54	165.57	193.01	127.0	84.04	144.01	28.65	55.1	115.97	91.41	35.25	69.03	36.79	70.51	41.52	28.86	46.5	31.45	32.82	10.24	31.67	51.35	41.22	43.02	30.12	11.04	120.1	45.53	12.45	5.19	56.68	28.45	29.06	52.82	35.0	150.17
HK1	3443.31	3639.7	2224.63	2502.97	2351.53	6426.31	2915.45	4010.71	4181.07	4038.61	2739.08	3955.48	1896.65	3716.2	4210.15	665.29	248.0	155.5	181.28	151.22	241.19	229.72	169.07	406.31	137.14	85.82	180.02	236.21	103.69	199.85	115.16	81.71	46.84	92.7	62.56	73.03	172.65	155.5	215.77	1498.22	1883.54	2537.92
HOXC4	206.94	7.75	83.45	4.54	39.5	0.75	0.0	0.0	8.51	0.0	0.0	0.0	5.23	0.0	4.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	1.93	229.72
HP	43.32	89.51	81.14	679.29	3018.3	49.56	236.21	163.28	66.65	356.05	68.07	34.51	5292.48	45.85	1015.93	6183532.28	1.307221145E7	1.202888747E7	3.671840259E7	1.219680449E7	1.654623811E7	3.174442598E7	6719860.18	1.410789979E7	1.533154663E7	8990686.44	1.785716745E7	1.430483875E7	1.598261246E7	3.066309426E7	1.501602794E7	1.169995688E7	1.325469274E7	1.512047268E7	9307742.35	2.614442391E7	1.381756339E7	1.025624901E7	9053221.62	5112.16	90.14	152.28
HTR3B	5.41	18.43	4.5	12.83	2.23	52.45	18.03	78.89	31.0	29.91	14.03	95.34	1.17	57.08	32.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	2.66	16.63
IGBP1	1378.57	1407.55	2255.7	872.1	1369.04	1259.69	1350.18	1397.83	1457.23	1427.22	1378.57	1183.45	1857.6	1225.22	1216.75	947.83	713.11	476.71	420.68	466.88	967.76	836.53	244.57	1044.52	255.0	559.28	500.46	567.1	447.82	400.71	384.34	392.44	529.06	353.59	361.04	457.25	389.72	525.39	423.61	981.29	995.0	1397.83
INPP5A	361.04	540.19	444.72	555.41	320.8	616.37	563.18	575.03	514.56	718.08	307.69	878.17	285.03	579.04	616.37	224.97	256.78	226.54	291.04	258.57	264.03	283.05	432.53	161.02	141.02	164.42	177.53	320.8	223.41	246.28	242.88	170.25	194.36	211.31	140.04	346.29	178.77	264.03	186.4	341.51	435.55	438.59
IQCD	42.71	26.67	18.97	34.26	28.86	105.89	44.25	59.97	58.3	59.55	656.11	62.56	866.07	82.29	43.63	12.83	1.2	0.55	8.38	0.44	1.27	0.58	0.0	3.86	1.14	5.32	8.32	6.21	0.0	3.23	1.68	3.47	5.54	1.85	7.75	0.0	1.03	5.15	8.58	703.28	38.12	28.24
IRX2	450.94	145.02	249.73	368.65	312.0	189.02	167.9	75.64	166.73	162.14	177.53	111.21	163.28	63.0	142.01	1.64	2.34	0.01	0.02	0.43	1.77	1.14	5.06	0.39	0.0	0.0	3.17	0.97	0.0	0.62	0.0	0.0	0.49	0.0	0.0	1.17	1.48	0.0	1.58	463.65	183.82	575.03
ITGB4	4038.61	2855.44	4607.24	3443.31	17078.76	3742.05	6887.62	5831.91	5479.15	4704.07	7032.37	6164.49	7695.57	3768.09	5076.84	493.56	60.82	26.67	28.65	11.21	363.56	111.21	119.26	170.25	16.27	57.49	239.52	167.9	14.67	134.3	24.99	48.52	32.59	73.03	28.24	51.35	63.89	57.49	78.34	3190.46	6294.04	5594.3
ITPR3	595.34	363.56	860.08	493.56	1001.93	802.41	890.44	830.75	563.18	915.51	902.89	656.11	665.29	698.41	547.75	265.87	25.91	11.04	4.86	16.15	70.01	8.65	5.28	13.42	10.08	10.47	16.03	31.22	9.78	25.72	2.86	10.79	2.46	13.22	3.47	2.48	15.11	24.46	10.63	1936.53	693.58	1417.35
KIAA1324	2224.63	2537.92	599.49	3168.41	2255.7	123.5	1199.98	1674.06	38.95	130.6	2739.08	141.02	3491.39	87.03	414.87	20.71	28.24	5.41	2.48	5.32	9.78	16.51	2.73	69.03	3.47	0.0	16.39	4.74	2.84	27.64	2.43	4.9	7.94	6.78	1.79	2.61	7.82	0.52	12.93	819.3	656.11	1447.15
LGALS3	9673.69	22692.63	9606.86	6337.83	13123.73	9025.81	24660.96	18178.19	17317.18	18304.63	19618.49	22380.2	15075.35	15715.58	9945.68	2240.11	7485.11	842.36	316.37	718.08	1498.22	460.44	486.75	1977.24	246.28	186.4	595.34	2417.67	356.05	603.67	463.65	224.97	128.79	236.21	108.14	82.29	660.68	854.13	785.88	11992.79	6745.86	8247.98
LPO	53.95	87.03	23.42	114.36	228.13	98.04	1259.69	7130.55	3.26	139.07	5255.91	82.87	10368.08	1.91	289.02	1.79	0.43	0.0	0.0	0.0	0.45	6.31	0.0	0.0	4.1	0.0	0.0	0.4	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	178.77	85.82	38.4
LRMP	144.01	507.46	299.25	234.57	769.69	249.73	896.64	961.07	1487.87	1832.01	723.08	708.18	909.17	521.76	312.0	158.79	52.08	48.87	24.81	414.87	123.5	84.04	31.9	58.3	28.86	31.67	53.95	44.57	65.26	52.82	43.02	24.46	44.89	30.34	25.35	42.41	62.56	59.13	29.27	251.48	713.11	1963.57
LTA4H	2935.74	2997.45	2816.11	2555.58	1721.16	2956.17	2400.97	2609.3	3081.75	1832.01	1340.84	2976.74	1674.06	2591.27	3395.89	1340.84	656.11	866.07	743.43	1199.98	1044.52	1268.46	438.59	1127.35	318.57	902.89	1030.12	769.69	612.11	575.03	511.0	607.87	909.17	748.61	624.99	665.29	1073.91	703.28	642.59	2895.31	2335.28	2855.44
