	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A902.01A.11R.A37O.07	TCGA.LP.A4AU.01A.32R.A32Y.07	TCGA.C5.A7CL.01A.11R.A32P.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.IG.A97I.01A.11R.A38D.31	TCGA.V5.A7RC.01B.11R.A406.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7430.01A.11R.2132.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.90.A4ED.01A.31R.A24Z.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
AMT	25.54	38.4	65.72	63.0	285.03	281.09	169.07	429.54	147.06	39.22	107.38	130.6	140.04	199.85	234.57	624.99	490.14	256.78	178.77	87.65	289.02	22.59	7.0	84.63	22.92	223.41	34.02	15.0	97.36	15.45	56.28	59.55	163.28	53.19	140.04	22.59	48.87	42.11	27.64	52.82	90.14	31.45	33.78	22.59	10.47	44.89	35.25	18.7	15.56	24.28	28.45	74.58	14.67	37.59	102.25	9.56	21.47	10.79	825.0	48.52	11.21
ANKS3	147.06	97.36	183.82	423.61	273.37	316.37	229.72	551.56	197.09	217.27	348.71	325.29	444.72	205.5	647.07	1059.11	497.0	403.5	507.46	283.05	693.58	34.26	46.5	204.07	94.67	162.14	128.79	60.82	412.0	66.65	146.03	111.99	105.15	88.26	147.06	115.97	120.1	137.14	150.17	102.25	155.5	112.77	164.42	55.49	64.8	110.43	139.07	105.89	94.01	166.73	76.71	291.04	57.49	125.24	185.11	77.25	142.01	85.82	723.08	115.97	131.51
ANKZF1	194.36	381.68	791.35	1001.93	941.27	2047.0	713.11	981.29	703.28	813.63	1199.98	1030.12	1066.48	1081.39	1540.37	1923.14	1909.85	1857.6	1745.2	748.61	1119.56	447.82	438.59	507.46	368.65	507.46	551.56	297.17	854.13	320.8	525.39	381.68	954.43	521.76	559.28	435.55	559.28	417.77	312.0	450.94	629.35	447.82	713.11	547.75	412.0	387.02	500.46	698.41	314.17	921.88	226.54	318.57	429.54	363.56	878.17	297.17	460.44	249.73	2537.92	214.27	429.54
AP003068.6	3.92	4.66	5.11	13.93	13.32	42.11	18.7	16.39	14.78	12.09	22.59	47.84	33.06	27.05	60.39	70.51	35.0	28.65	36.79	18.84	68.55	3.66	2.01	20.11	4.1	18.16	7.0	1.89	8.19	1.99	6.52	8.71	10.16	7.0	10.63	7.0	4.9	2.78	4.98	7.46	6.94	4.5	9.7	3.66	1.99	4.74	5.73	8.25	2.1	14.45	3.72	11.3	3.86	5.11	17.51	3.23	6.89	1.45	33.54	0.46	2.12
ASXL1	563.18	412.0	185.11	896.64	607.87	599.49	497.0	567.1	511.0	426.57	500.46	728.11	607.87	616.37	1151.06	1331.57	1104.13	921.88	941.27	796.86	1277.29	199.85	327.56	447.82	395.18	429.54	361.04	258.57	563.18	249.73	476.71	397.93	287.01	346.29	444.72	381.68	414.87	327.56	460.44	285.03	483.38	392.44	303.44	307.69	406.31	599.49	759.08	470.14	314.17	412.0	387.02	389.72	256.78	403.5	376.41	435.55	271.48	281.09	1936.53	226.54	397.93
ATAT1	63.0	177.53	127.0	363.56	343.89	289.02	124.37	159.9	151.22	285.03	237.86	368.65	532.74	299.25	483.38	368.65	775.05	480.04	444.72	511.0	414.87	64.34	80.57	173.85	43.02	145.02	251.48	58.71	237.86	54.72	208.38	146.03	68.07	70.01	100.13	76.17	87.65	93.35	157.68	62.12	124.37	111.21	123.5	65.72	117.6	91.41	142.01	108.14	109.66	135.24	85.22	171.45	67.59	95.34	111.99	64.34	91.41	100.83	848.22	83.45	109.66
C1orf213	10.08	18.97	67.59	100.83	59.97	118.43	49.21	43.94	49.91	58.3	78.34	167.9	80.57	31.45	111.21	115.97	195.72	104.42	142.01	52.08	162.14	7.11	7.75	19.11	15.0	67.12	35.0	12.55	23.08	7.69	13.52	37.05	15.0	13.52	53.19	27.25	18.97	23.76	18.29	15.34	11.21	12.18	40.64	13.32	7.46	21.16	21.16	38.95	19.82	24.63	10.88	47.84	5.36	28.45	37.32	8.92	16.03	13.42	281.09	11.13	11.73
C1orf220	2.14	1.57	3.59	16.51	4.54	12.93	4.98	4.46	8.06	0.0	0.0	3.59	13.32	5.11	49.21	28.45	15.34	9.34	24.46	14.24	17.77	0.75	0.0	3.2	0.0	1.66	1.16	0.0	3.0	0.0	2.63	2.03	0.0	0.0	1.17	1.38	0.0	0.0	0.0	1.3	4.94	1.64	0.0	0.0	0.69	2.43	0.0	0.0	0.0	4.94	0.0	1.6	0.0	0.0	1.22	0.0	0.0	0.0	49.21	0.0	0.0
C1orf63	511.0	743.43	607.87	2119.22	1167.14	2555.58	1001.93	1628.26	1233.75	1447.15	1331.57	988.12	1477.58	2384.37	2997.45	2855.44	2434.5	2384.37	1519.15	915.51	2451.44	256.78	148.09	1175.27	231.32	1757.34	470.14	147.06	1447.15	118.43	775.05	1051.79	915.51	1044.52	842.36	316.37	332.14	400.71	373.81	353.59	915.51	277.2	529.06	246.28	348.71	507.46	389.72	336.79	307.69	819.3	220.32	674.59	146.03	571.05	884.29	239.52	500.46	164.42	1685.71	159.9	150.17
C22orf43	0.37	0.0	1.99	18.29	7.28	3.79	6.01	2.56	7.46	0.0	0.0	6.62	4.66	6.26	2.76	15.68	9.48	5.77	10.16	2.92	15.11	0.0	0.0	1.14	0.0	9.34	1.89	0.0	6.31	0.0	0.0	1.06	0.0	0.0	0.0	0.74	1.5	0.67	1.31	0.0	2.89	1.08	0.0	0.0	0.59	0.0	0.0	0.68	1.03	3.89	0.0	3.53	0.0	1.03	1.55	0.0	2.14	0.0	31.45	1.06	0.15
C5orf45	84.04	155.5	514.56	567.1	277.2	559.28	348.71	381.68	460.44	473.41	616.37	483.38	503.95	651.58	928.3	1081.39	476.71	748.61	884.29	273.37	620.67	107.38	45.53	172.65	83.45	329.84	187.71	75.11	320.8	60.82	163.28	132.44	163.28	110.43	106.63	167.9	119.26	71.5	85.82	108.14	194.36	111.21	201.25	77.79	141.02	143.01	87.03	109.66	67.12	120.94	129.69	547.75	55.89	147.06	186.4	114.36	102.97	67.59	1119.56	106.63	157.68
C6ORF50	0.75	4.66	6.46	18.16	26.86	26.47	13.83	14.24	29.48	3.92	15.8	40.07	37.05	15.91	70.01	99.43	46.18	16.15	14.78	22.59	34.51	0.87	0.96	8.0	2.34	10.88	3.17	0.0	7.51	1.53	7.28	9.48	4.94	5.92	5.54	3.29	2.29	0.88	4.39	3.03	5.77	0.0	6.57	0.0	0.8	3.23	3.2	1.43	1.75	3.08	0.88	6.31	0.0	3.08	2.36	0.0	2.46	0.0	201.25	0.0	0.0
CCDC14	239.52	363.56	133.36	603.67	1268.46	1457.23	343.89	1037.29	381.68	392.44	915.51	547.75	1277.29	743.43	1437.15	2061.24	2351.53	1051.79	1819.35	738.29	1001.93	135.24	68.07	463.65	206.94	575.03	271.48	163.28	343.89	93.35	256.78	423.61	193.01	373.81	325.29	208.38	265.87	291.04	379.04	165.57	208.38	157.68	343.89	253.23	305.55	180.02	373.81	301.33	194.36	307.69	162.14	318.57	101.54	229.72	438.59	299.25	109.66	92.05	1519.15	88.26	59.13
CCNL1	872.1	624.99	1044.52	1225.22	2090.03	3491.39	1378.57	1487.87	1745.2	1378.57	1662.49	2193.99	1991.0	3690.52	13399.51	9606.86	6840.04	6207.38	5872.48	1857.6	4671.57	529.06	223.41	3060.45	638.15	2335.28	651.58	620.67	1832.01	348.71	981.29	1697.45	2682.69	1427.22	1295.13	457.25	1127.35	1015.93	1037.29	854.13	1781.89	620.67	780.44	808.0	486.75	974.5	1096.5	536.45	353.59	1417.35	540.19	1037.29	497.0	587.13	2400.97	1857.6	607.87	679.29	2032.85	1233.75	2573.36
CDK11A	571.05	307.69	403.5	842.36	764.36	1397.83	518.15	1397.83	518.15	759.08	656.11	825.0	1225.22	947.83	1259.69	1651.0	1819.35	1388.16	884.29	718.08	1242.34	111.21	120.94	753.83	318.57	656.11	432.53	295.11	928.3	246.28	587.13	567.1	595.34	559.28	607.87	253.23	470.14	406.31	490.14	463.65	483.38	529.06	583.07	208.38	314.17	444.72	476.71	327.56	215.77	753.83	412.0	647.07	279.14	490.14	563.18	229.72	356.05	307.69	1295.13	389.72	500.46
CDK3	55.49	40.36	100.83	271.48	262.2	379.04	122.64	158.79	119.26	24.11	40.36	134.3	100.83	176.29	162.14	190.34	295.11	291.04	277.2	116.78	178.77	9.63	19.97	141.02	18.97	122.64	75.64	16.51	265.87	20.26	55.89	69.52	69.52	42.11	94.01	22.92	71.0	59.97	48.87	26.1	65.72	20.41	37.05	14.78	17.51	33.3	54.33	34.51	24.11	81.71	24.63	87.03	25.72	19.68	84.04	51.35	24.81	19.68	441.64	22.92	3.2
CEP95	460.44	363.56	460.44	921.88	738.29	934.76	567.1	708.18	665.29	435.55	591.22	507.46	860.08	1104.13	1096.5	1674.06	1437.15	819.3	866.07	995.0	1143.1	116.78	99.43	514.56	191.67	348.71	323.03	133.36	651.58	111.99	361.04	476.71	450.94	409.15	447.82	147.06	249.73	320.8	466.88	273.37	283.05	177.53	403.5	164.42	228.13	171.45	303.44	285.03	159.9	441.64	156.59	297.17	141.02	228.13	414.87	231.32	206.94	143.01	2855.44	164.42	403.5
CLASRP	679.29	633.73	693.58	1857.6	1127.35	1617.0	1322.37	2255.7	1059.11	1143.1	1857.6	1628.26	2255.7	1639.59	2664.15	3103.19	2255.7	1721.16	1721.16	1397.83	2133.97	170.25	327.56	995.0	426.57	836.53	753.83	232.94	1369.04	318.57	785.88	559.28	854.13	708.18	896.64	334.46	567.1	616.37	703.28	713.11	599.49	435.55	896.64	414.87	454.09	476.71	441.64	507.46	511.0	587.13	293.07	830.75	329.84	738.29	703.28	314.17	395.18	346.29	2384.37	339.14	620.67
CLDN15	118.43	57.49	71.0	115.97	111.99	94.01	48.87	51.71	40.36	102.97	105.15	154.42	361.04	172.65	141.02	420.68	339.14	214.27	190.34	212.78	205.5	19.97	22.92	110.43	17.25	68.55	38.67	32.59	218.79	31.67	44.25	52.82	35.25	49.21	77.79	73.03	120.94	69.52	31.67	32.82	54.33	52.08	48.18	14.24	22.59	105.89	20.41	61.68	37.05	36.01	26.67	143.01	31.0	48.87	31.0	25.72	56.68	25.91	486.75	88.26	65.26
CLSTN3	320.8	255.0	180.02	3190.46	785.88	563.18	470.14	426.57	500.46	170.25	291.04	825.0	429.54	525.39	808.0	1295.13	764.36	551.56	665.29	511.0	848.22	95.34	60.39	426.57	185.11	447.82	163.28	167.9	555.41	123.5	209.84	218.79	285.03	138.1	318.57	258.57	318.57	156.59	249.73	116.78	181.28	231.32	303.44	89.51	104.42	559.28	217.27	129.69	157.68	221.86	201.25	353.59	136.19	206.94	441.64	153.34	185.11	100.83	1015.93	239.52	316.37
CSAD	95.34	41.81	361.04	656.11	921.88	1977.24	854.13	860.08	775.05	307.69	703.28	928.3	728.11	540.19	902.89	2451.44	2061.24	961.07	1540.37	283.05	1096.5	47.84	63.89	599.49	134.3	743.43	170.25	36.01	718.08	126.12	242.88	264.03	591.22	220.32	447.82	150.17	289.02	127.89	79.45	161.02	291.04	127.89	265.87	37.59	63.0	110.43	134.3	131.51	98.04	221.86	111.99	231.32	91.41	100.83	583.07	59.55	156.59	101.54	1870.53	102.97	28.24
CYP2D6	5.36	1.97	105.89	58.3	85.82	79.45	49.21	40.36	66.18	8.92	6.73	130.6	197.09	73.54	91.41	136.19	172.65	92.7	182.55	32.36	139.07	2.68	0.89	25.17	11.3	37.05	15.0	3.41	15.11	4.13	14.67	16.63	31.67	17.51	41.22	4.78	23.42	17.13	20.41	4.9	9.2	5.36	5.02	5.45	5.63	8.92	13.42	3.82	2.94	12.55	3.23	25.72	2.68	3.79	32.13	6.41	10.71	5.32	525.39	4.94	5.96
DDX55	265.87	177.53	218.79	417.77	441.64	559.28	559.28	571.05	674.59	327.56	688.78	543.96	567.1	373.81	718.08	1023.0	656.11	460.44	493.56	575.03	848.22	158.79	185.11	403.5	336.79	497.0	371.22	173.85	466.88	232.94	329.84	356.05	251.48	283.05	323.03	231.32	332.14	193.01	271.48	242.88	291.04	287.01	426.57	202.66	232.94	212.78	301.33	256.78	183.82	395.18	237.86	336.79	163.28	275.28	450.94	389.72	237.86	249.73	420.68	291.04	273.37
DPH7	275.28	175.07	323.03	1015.93	728.11	1467.37	1051.79	836.53	1037.29	567.1	684.02	1216.75	813.63	525.39	1111.82	1709.26	780.44	665.29	995.0	693.58	796.86	193.01	130.6	476.71	249.73	684.02	329.84	169.07	684.02	173.85	358.54	480.04	368.65	432.53	470.14	246.28	457.25	339.14	579.04	194.36	376.41	303.44	551.56	171.45	314.17	212.78	258.57	295.11	249.73	591.22	236.21	285.03	132.44	323.03	334.46	444.72	316.37	193.01	1304.15	201.25	295.11
DXO	153.34	157.68	87.03	348.71	674.59	376.41	237.86	551.56	271.48	397.93	353.59	575.03	543.96	303.44	432.53	381.68	616.37	426.57	423.61	466.88	733.19	148.09	166.73	299.25	163.28	241.19	314.17	117.6	414.87	152.28	248.0	169.07	246.28	186.4	199.85	209.84	161.02	212.78	237.86	178.77	232.94	208.38	139.07	110.43	164.42	221.86	232.94	212.78	232.94	258.57	217.27	305.55	140.04	209.84	229.72	61.25	260.38	202.66	669.92	94.67	148.09
EGFL8	64.34	28.86	158.79	242.88	220.32	153.34	323.03	281.09	346.29	127.89	547.75	142.01	226.54	327.56	376.41	400.71	466.88	332.14	153.34	234.57	318.57	11.91	46.84	387.02	63.45	187.71	23.08	14.78	529.06	69.52	389.72	267.73	320.8	102.97	116.78	80.01	119.26	136.19	36.01	70.01	248.0	73.54	83.45	23.93	32.59	96.01	108.9	73.54	27.44	102.25	43.02	127.0	49.91	112.77	236.21	35.0	112.77	70.51	1088.92	231.32	35.5
ENTHD2	249.73	258.57	218.79	791.35	463.65	620.67	616.37	532.74	521.76	595.34	547.75	819.3	884.29	967.76	1073.91	1883.54	954.43	842.36	1088.92	669.92	620.67	171.45	153.34	511.0	185.11	571.05	366.09	183.82	954.43	143.01	325.29	470.14	412.0	329.84	555.41	191.67	258.57	265.87	373.81	217.27	299.25	206.94	332.14	205.5	255.0	251.48	323.03	260.38	157.68	320.8	197.09	316.37	145.02	323.03	518.15	163.28	281.09	170.25	1286.18	158.79	100.13
FAM156A	109.66	46.84	91.41	217.27	738.29	454.09	255.0	551.56	346.29	212.78	265.87	403.5	358.54	244.57	429.54	830.75	551.56	426.57	432.53	253.23	579.04	36.79	20.41	159.9	73.54	218.79	111.99	31.0	232.94	69.52	143.01	51.35	173.85	120.1	176.29	66.65	116.78	95.34	58.71	65.72	165.57	52.45	135.24	15.68	35.5	20.86	43.94	75.11	24.46	92.7	11.64	183.82	45.85	108.14	283.05	38.95	104.42	29.06	688.78	23.42	8.38
FBF1	47.84	53.95	346.29	283.05	406.31	460.44	249.73	389.72	246.28	130.6	244.57	447.82	543.96	249.73	244.57	665.29	579.04	285.03	536.45	332.14	353.59	12.93	47.17	163.28	52.45	132.44	96.68	24.81	135.24	50.98	72.52	92.7	53.57	82.87	107.38	57.49	99.43	45.53	148.09	58.3	65.72	60.39	56.68	57.08	29.48	73.03	125.24	61.25	54.72	118.43	70.01	120.94	54.72	69.03	129.69	26.86	57.89	39.5	603.67	115.16	47.17
GATAD1	381.68	281.09	283.05	217.27	305.55	198.47	193.01	460.44	264.03	249.73	339.14	420.68	603.67	1685.71	438.59	612.11	723.08	507.46	426.57	638.15	384.34	130.6	98.73	241.19	228.13	299.25	242.88	152.28	253.23	142.01	175.07	281.09	162.14	291.04	255.0	231.32	693.58	166.73	189.02	198.47	186.4	195.72	176.29	110.43	141.02	206.94	171.45	209.84	221.86	229.72	150.17	287.01	142.01	217.27	214.27	237.86	158.79	144.01	708.18	90.77	92.05
GGA3	307.69	567.1	507.46	884.29	529.06	738.29	571.05	567.1	547.75	669.92	967.76	547.75	791.35	1225.22	1001.93	1721.16	1030.12	988.12	1119.56	579.04	967.76	150.17	293.07	536.45	327.56	543.96	323.03	231.32	429.54	303.44	450.94	371.22	457.25	323.03	387.02	441.64	358.54	301.33	500.46	366.09	368.65	426.57	262.2	353.59	325.29	460.44	470.14	320.8	351.14	490.14	267.73	287.01	271.48	466.88	476.71	301.33	358.54	323.03	791.35	575.03	660.68
GIGYF1	295.11	197.09	209.84	447.82	307.69	223.41	223.41	381.68	236.21	265.87	353.59	403.5	612.11	295.11	514.56	1044.52	1427.22	480.04	674.59	480.04	551.56	69.03	120.1	253.23	178.77	332.14	187.71	117.6	348.71	123.5	260.38	206.94	271.48	351.14	309.83	170.25	463.65	232.94	202.66	232.94	246.28	152.28	173.85	126.12	191.67	218.79	138.1	295.11	189.02	205.5	111.21	293.07	176.29	260.38	275.28	115.97	166.73	108.14	1268.46	68.55	103.69
GNRH1	23.59	21.16	37.32	103.69	44.89	232.94	36.53	57.49	59.97	71.0	163.28	211.31	178.77	199.85	142.01	246.28	255.0	152.28	85.22	68.55	88.26	4.35	3.89	39.79	4.82	36.53	14.89	0.95	25.54	6.11	12.64	18.43	38.4	36.79	29.91	14.67	24.28	10.39	10.71	18.97	27.44	7.11	26.28	6.31	5.15	18.16	7.4	10.16	8.99	38.67	8.38	48.18	15.34	11.04	17.77	5.11	10.31	4.54	105.15	7.57	4.98
