	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.A7.A13E.11A.61R.A12P.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.E9.A1NA.11A.33R.A144.07	GTEX.1211K.1926.SM.5EQLB	GTEX.11P81.1926.SM.5BC53	GTEX.W5X1.2326.SM.3GIL6	GTEX.YB5K.1626.SM.5IFIN	GTEX.145ME.1526.SM.5Q5F2	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.BC.A10Y.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.ZVP2.0626.SM.51MSO	GTEX.UTHO.2426.SM.4JBHD	GTEX.WQUQ.1926.SM.4OOSA	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.145MO.2326.SM.5NQ9K	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.VUSG.0126.SM.4KL1X
CDK19	277.2	177.53	186.4	281.09	185.11	212.78	334.46	397.93	301.33	264.03	281.09	211.31	209.84	176.29	373.81	490.14	218.79	190.34	76.17	67.59	90.77	63.45	55.49	47.5	30.12	39.5	76.17	98.73	151.22	72.52	115.97	87.65	71.5	50.27	105.15	120.94	61.68	111.21	50.98	76.17	74.06	44.57	131.51	40.07	41.52	12.74	41.22	33.06	162.14	54.72	72.52	48.18	58.71	79.45
CHMP2B	1059.11	813.63	836.53	1044.52	981.29	769.69	1088.92	1135.2	1015.93	1175.27	1044.52	967.76	819.3	878.17	866.07	1467.37	836.53	1225.22	540.19	595.34	669.92	316.37	363.56	341.51	223.41	384.34	507.46	323.03	466.88	791.35	599.49	559.28	551.56	497.0	555.41	543.96	493.56	567.1	497.0	660.68	507.46	457.25	848.22	332.14	591.22	457.25	612.11	483.38	902.89	426.57	389.72	518.15	483.38	796.86
CLCN6	251.48	253.23	201.25	176.29	176.29	241.19	339.14	244.57	283.05	251.48	176.29	287.01	253.23	180.02	246.28	423.61	251.48	166.73	87.03	109.66	103.69	61.25	76.17	63.45	79.45	52.45	150.17	94.67	152.28	150.17	133.36	113.56	80.57	81.14	134.3	126.12	105.89	100.13	67.59	84.04	62.12	79.45	182.55	142.01	95.34	85.22	65.72	116.78	234.57	83.45	93.35	60.82	112.77	98.73
CREBRF	563.18	339.14	327.56	351.14	265.87	351.14	591.22	599.49	503.95	400.71	351.14	423.61	299.25	194.36	397.93	866.07	113.56	283.05	120.1	82.29	140.04	92.7	159.9	42.41	54.33	52.82	128.79	139.07	171.45	104.42	111.99	165.57	141.02	75.64	166.73	178.77	100.83	177.53	73.54	144.01	121.79	79.45	171.45	70.01	76.17	61.25	65.72	71.5	229.72	93.35	107.38	149.12	135.24	115.97
CTDSPL2	480.04	283.05	329.84	371.22	334.46	334.46	595.34	808.0	490.14	493.56	371.22	371.22	287.01	356.05	555.41	1059.11	214.27	309.83	87.03	93.35	141.02	54.72	69.52	45.21	52.45	46.5	100.83	154.42	133.36	111.21	132.44	120.1	94.67	73.54	119.26	129.69	70.51	122.64	53.95	108.14	88.26	50.27	109.66	48.18	54.33	47.17	49.21	46.18	119.26	40.93	69.03	49.21	96.68	81.14
CTNND1	3589.58	2287.2	2682.69	2701.35	2758.13	2758.13	3614.55	4419.52	3419.52	3614.55	2701.35	3146.52	2335.28	1769.57	3614.55	4298.64	1457.23	1991.0	1151.06	941.27	1651.0	934.76	1350.18	591.22	769.69	759.08	1721.16	1605.83	1508.65	1467.37	1605.83	1605.83	1551.09	1081.39	1697.45	1639.59	1304.15	1709.26	928.3	1651.0	1359.57	2148.82	1199.98	1030.12	1088.92	1151.06	1350.18	1733.13	1709.26	915.51	1104.13	753.83	1295.13	1199.98
DCAF17	320.8	159.9	161.02	202.66	169.07	161.02	279.14	403.5	314.17	285.03	202.66	232.94	172.65	148.09	220.32	490.14	144.01	151.22	52.82	61.68	68.55	46.5	82.87	29.06	43.94	31.9	71.0	114.36	170.25	67.59	108.9	80.57	64.8	45.53	84.04	83.45	55.49	81.14	34.02	84.04	63.45	44.89	98.04	38.67	35.0	68.55	66.18	63.45	77.79	36.27	59.55	32.82	66.65	45.21
DCUN1D4	638.15	599.49	389.72	543.96	432.53	521.76	642.59	1037.29	791.35	753.83	543.96	466.88	540.19	483.38	660.68	1242.34	361.04	555.41	329.84	325.29	450.94	262.2	346.29	221.86	255.0	205.5	500.46	397.93	708.18	476.71	454.09	432.53	507.46	341.51	536.45	503.95	476.71	476.71	285.03	379.04	295.11	353.59	334.46	193.01	260.38	384.34	206.94	299.25	521.76	241.19	318.57	316.37	343.89	232.94
DST	9279.58	3768.09	4903.87	3540.14	5751.61	4543.8	6745.86	10014.87	7280.4	7280.4	3540.14	5555.65	4481.23	4512.4	9088.59	5954.47	1551.09	2018.8	1757.34	1427.22	2351.53	1674.06	1709.26	753.83	1044.52	1242.34	2739.08	2148.82	1331.57	2976.74	3060.45	2609.3	1583.71	1498.22	2720.15	2287.2	1806.78	2224.63	1447.15	1844.76	1757.34	1331.57	3103.19	1350.18	1950.0	1008.9	1199.98	1467.37	2895.31	1651.0	1322.37	884.29	1909.85	2976.74
DYNC1LI2	2018.8	2193.99	1709.26	1977.24	1397.83	1757.34	2255.7	1662.49	2018.8	2004.85	1977.24	1883.54	1857.6	1781.89	1781.89	3564.78	1583.71	1950.0	371.22	406.31	507.46	256.78	249.73	186.4	108.9	180.02	463.65	463.65	651.58	595.34	688.78	429.54	395.18	255.0	532.74	555.41	318.57	376.41	232.94	409.15	297.17	339.14	392.44	371.22	178.77	665.29	363.56	521.76	713.11	77.79	236.21	104.42	318.57	435.55
EDIL3	85.22	171.45	170.25	172.65	37.85	161.02	186.4	466.88	281.09	603.67	172.65	122.64	97.36	71.0	493.56	2367.9	66.65	198.47	1.31	80.01	56.68	27.05	29.27	52.82	12.83	11.64	10.88	54.33	25.54	10.96	127.89	25.35	4.54	4.21	20.11	7.4	15.8	3.47	2.32	6.84	14.03	6.06	38.95	3.53	2.97	1.1	7.57	2.71	56.68	9.78	3.03	1.25	4.24	14.03
ENTPD4	642.59	373.81	412.0	356.05	346.29	441.64	497.0	603.67	563.18	591.22	356.05	486.75	417.77	358.54	358.54	358.54	301.33	525.39	189.02	226.54	161.02	114.36	96.68	140.04	93.35	96.68	265.87	114.36	271.48	289.02	260.38	271.48	237.86	125.24	277.2	223.41	171.45	291.04	133.36	285.03	166.73	217.27	299.25	232.94	214.27	214.27	149.12	283.05	361.04	149.12	206.94	80.01	183.82	275.28
ESYT2	1896.65	1331.57	1242.34	1662.49	1208.34	1191.69	1467.37	1617.0	1662.49	1721.16	1662.49	1407.55	1427.22	1143.1	1477.58	1794.29	1037.29	1467.37	341.51	397.93	444.72	198.47	262.2	208.38	277.2	244.57	305.55	231.32	738.29	348.71	460.44	381.68	366.09	287.01	441.64	470.14	287.01	381.68	262.2	379.04	273.37	279.14	620.67	221.86	169.07	334.46	281.09	265.87	921.88	228.13	166.73	400.71	303.44	525.39
FAM13B	813.63	429.54	435.55	417.77	403.5	473.41	679.29	902.89	764.36	688.78	417.77	532.74	460.44	420.68	753.83	1388.16	295.11	363.56	94.01	82.29	81.71	80.01	63.45	40.64	40.64	26.86	90.77	87.65	107.38	108.9	173.85	105.15	74.58	54.72	163.28	102.25	76.71	99.43	47.84	80.01	63.89	77.79	169.07	52.45	75.11	68.55	103.69	115.16	147.06	48.18	55.49	26.1	81.14	105.89
FAM172A	543.96	463.65	329.84	444.72	323.03	400.71	460.44	612.11	555.41	532.74	444.72	379.04	395.18	507.46	791.35	1030.12	329.84	595.34	87.65	67.12	73.54	41.81	61.68	52.45	46.84	38.12	83.45	127.89	133.36	76.71	139.07	94.67	92.05	59.13	114.36	101.54	67.59	82.87	56.68	76.71	70.01	90.77	100.83	50.27	72.52	50.27	119.26	77.25	161.02	76.17	69.52	71.5	45.53	100.13
FAM179B	307.69	275.28	226.54	277.2	194.36	249.73	381.68	476.71	343.89	363.56	277.2	297.17	217.27	193.01	518.15	785.88	131.51	130.6	82.87	61.68	94.01	59.55	117.6	46.84	47.84	30.56	111.99	48.52	137.14	130.6	156.59	117.6	71.5	52.45	122.64	90.14	68.55	90.77	59.13	106.63	57.89	52.82	88.88	39.79	50.98	81.71	76.71	62.56	95.34	96.68	97.36	58.71	77.25	49.91
FAM188A	638.15	518.15	466.88	426.57	483.38	514.56	587.13	688.78	674.59	698.41	426.57	470.14	409.15	329.84	612.11	1233.75	470.14	575.03	348.71	183.82	316.37	251.48	228.13	127.0	119.26	134.3	366.09	241.19	441.64	309.83	441.64	297.17	281.09	162.14	329.84	211.31	262.2	226.54	221.86	332.14	265.87	327.56	373.81	170.25	217.27	223.41	241.19	132.44	277.2	244.57	171.45	285.03	277.2	111.99
FAM63B	351.14	163.28	171.45	189.02	163.28	156.59	327.56	406.31	346.29	287.01	189.02	221.86	166.73	104.42	281.09	595.34	138.1	175.07	36.79	32.59	51.71	29.27	36.27	20.41	16.27	23.93	39.22	54.33	115.97	45.85	68.55	51.71	50.98	30.78	55.1	59.97	38.12	53.19	30.12	84.04	40.07	25.35	144.01	12.09	22.1	10.71	22.59	30.56	161.02	39.79	27.64	26.67	34.51	26.28
FBXO11	1135.2	769.69	759.08	802.41	791.35	796.86	1073.91	1242.34	1088.92	1159.07	802.41	836.53	693.58	848.22	1119.56	1757.34	780.44	1331.57	251.48	327.56	403.5	215.77	236.21	195.72	218.79	190.34	299.25	297.17	463.65	417.77	435.55	368.65	348.71	316.37	454.09	395.18	341.51	341.51	239.52	409.15	334.46	279.14	414.87	223.41	237.86	303.44	258.57	323.03	536.45	229.72	211.31	153.34	293.07	223.41
FBXO34	480.04	305.55	420.68	356.05	423.61	309.83	480.04	665.29	414.87	476.71	356.05	429.54	325.29	341.51	400.71	463.65	212.78	221.86	151.22	152.28	218.79	122.64	117.6	87.65	110.43	76.71	120.1	108.14	150.17	172.65	197.09	152.28	162.14	115.16	146.03	173.85	169.07	150.17	126.12	202.66	152.28	108.14	221.86	78.34	187.71	96.01	128.79	75.11	256.78	183.82	61.25	201.25	126.12	218.79
FOXJ3	759.08	547.75	571.05	612.11	575.03	555.41	813.63	1073.91	819.3	802.41	612.11	647.07	536.45	575.03	665.29	1030.12	432.53	753.83	157.68	191.67	229.72	151.22	145.02	116.78	78.34	119.26	177.53	215.77	262.2	220.32	265.87	226.54	180.02	159.9	218.79	256.78	187.71	191.67	132.44	275.28	164.42	158.79	234.57	121.79	146.03	139.07	111.99	139.07	476.71	153.34	180.02	115.97	149.12	166.73
FOXN2	226.54	255.0	211.31	224.97	214.27	265.87	336.79	307.69	454.09	368.65	224.97	199.85	220.32	218.79	497.0	486.75	450.94	518.15	77.25	191.67	155.5	50.98	68.55	94.67	39.79	69.03	105.89	323.03	157.68	217.27	162.14	78.34	153.34	147.06	178.77	283.05	155.5	125.24	71.0	195.72	126.12	74.58	167.9	53.19	54.72	156.59	157.68	50.63	379.04	57.49	81.71	52.82	117.6	45.85
GAN	67.59	46.18	44.57	38.12	53.57	42.71	64.34	137.14	98.73	76.17	38.12	50.27	37.85	47.5	68.07	78.89	34.02	31.67	5.5	12.64	10.31	7.11	7.4	8.85	4.74	5.82	9.56	11.82	23.25	16.15	17.77	12.45	6.52	7.22	15.0	12.27	8.06	9.7	5.73	13.12	10.47	6.84	16.15	6.89	8.65	8.38	4.66	9.41	13.32	9.85	5.63	3.96	9.13	11.55
GDAP2	269.6	180.02	187.71	185.11	166.73	209.84	197.09	246.28	239.52	217.27	185.11	173.85	172.65	187.71	231.32	536.45	214.27	151.22	99.43	130.6	130.6	84.63	103.69	88.26	108.14	77.79	100.13	84.04	130.6	120.94	140.04	139.07	102.97	89.51	110.43	144.01	118.43	148.09	74.06	157.68	80.01	74.58	134.3	84.04	127.0	60.39	135.24	74.58	178.77	137.14	101.54	110.43	100.13	129.69
GIGYF2	974.5	698.41	791.35	698.41	665.29	848.22	1059.11	1277.29	884.29	860.08	698.41	872.1	764.36	728.11	974.5	961.07	543.96	575.03	241.19	229.72	277.2	139.07	180.02	146.03	154.42	144.01	220.32	253.23	384.34	303.44	348.71	249.73	267.73	163.28	327.56	309.83	197.09	297.17	193.01	264.03	185.11	183.82	291.04	346.29	189.02	273.37	343.89	246.28	307.69	187.71	215.77	98.04	199.85	277.2
GLTSCR1L	441.64	255.0	287.01	256.78	265.87	275.28	473.41	624.99	438.59	361.04	256.78	351.14	256.78	237.86	490.14	665.29	170.25	130.6	53.95	62.56	98.73	47.17	69.52	40.07	38.95	33.3	75.11	102.25	136.19	121.79	92.05	76.71	71.5	48.52	107.38	122.64	55.89	88.26	38.95	80.57	55.89	50.27	112.77	39.5	46.5	43.63	76.17	59.55	61.68	29.7	44.89	27.84	45.21	60.39
GNG12	2178.83	2255.7	1651.0	2047.0	1388.16	1769.57	1745.2	1844.76	2018.8	2701.35	2047.0	1617.0	1639.59	2018.8	2319.15	7180.15	1923.14	2434.5	389.72	368.65	607.87	332.14	307.69	226.54	189.02	497.0	483.38	208.38	295.11	547.75	713.11	521.76	571.05	414.87	599.49	536.45	536.45	551.56	387.02	679.29	429.54	271.48	1015.93	142.01	297.17	158.79	279.14	287.01	1397.83	371.22	112.77	249.73	511.0	563.18
GOLGA4	1407.55	1119.56	1111.82	1135.2	954.43	1143.1	1304.15	1498.22	1674.06	1331.57	1135.2	1167.14	1096.5	1199.98	1697.45	2537.92	2061.24	2468.49	780.44	624.99	825.0	543.96	633.73	409.15	529.06	466.88	688.78	872.1	1066.48	1216.75	1104.13	915.51	802.41	571.05	961.07	1037.29	607.87	764.36	718.08	836.53	785.88	575.03	872.1	607.87	842.36	738.29	444.72	1159.07	1259.69	1096.5	802.41	460.44	620.67	896.64
GOPC	688.78	368.65	397.93	392.44	435.55	409.15	665.29	884.29	674.59	587.13	392.44	511.0	387.02	343.89	780.44	1199.98	332.14	339.14	178.77	201.25	223.41	138.1	175.07	100.83	63.89	115.16	189.02	234.57	341.51	320.8	269.6	199.85	208.38	133.36	237.86	242.88	173.85	224.97	144.01	256.78	194.36	159.9	195.72	121.79	161.02	166.73	223.41	197.09	175.07	125.24	172.65	76.17	161.02	114.36
HAUS6	228.13	147.06	146.03	212.78	141.02	161.02	228.13	307.69	229.72	209.84	212.78	167.9	132.44	242.88	242.88	406.31	140.04	351.14	44.25	65.72	93.35	45.85	58.71	40.07	18.97	40.64	64.8	80.57	94.67	111.21	110.43	64.8	77.79	52.08	77.79	88.88	48.87	68.07	50.27	79.45	51.35	52.08	64.34	37.32	74.06	54.33	56.28	68.07	154.42	24.11	56.28	11.47	40.93	44.89
HDHD1	307.69	297.17	253.23	198.47	285.03	265.87	299.25	301.33	334.46	267.73	198.47	267.73	265.87	258.57	490.14	651.58	283.05	327.56	115.97	201.25	285.03	142.01	139.07	260.38	144.01	153.34	148.09	285.03	198.47	239.52	273.37	118.43	167.9	99.43	237.86	157.68	194.36	176.29	102.25	129.69	212.78	78.89	71.0	87.65	115.97	97.36	120.1	105.15	275.28	117.6	108.14	80.57	128.79	137.14
HEATR5B	441.64	273.37	279.14	293.07	299.25	334.46	426.57	591.22	441.64	387.02	293.07	379.04	255.0	329.84	551.56	438.59	239.52	295.11	99.43	94.67	112.77	79.45	81.14	45.85	74.06	40.36	110.43	111.21	214.27	127.0	164.42	107.38	92.05	71.0	121.79	127.0	84.04	133.36	65.72	117.6	80.57	123.5	97.36	105.89	56.68	146.03	120.1	103.69	131.51	62.56	127.0	40.93	80.57	72.01
INADL	785.88	185.11	432.53	351.14	463.65	432.53	665.29	947.83	543.96	353.59	351.14	486.75	334.46	277.2	490.14	423.61	147.06	148.09	132.44	162.14	215.77	71.0	94.01	122.64	92.05	125.24	171.45	236.21	253.23	163.28	218.79	154.42	182.55	127.0	182.55	175.07	186.4	209.84	149.12	158.79	126.12	141.02	164.42	58.71	105.15	50.27	46.18	97.36	291.04	92.05	83.45	112.77	145.02	159.9
INO80D	183.82	78.34	76.17	92.7	93.35	72.52	140.04	191.67	155.5	125.24	92.7	94.67	73.03	75.64	120.1	185.11	46.84	76.17	26.86	35.5	35.76	25.35	35.0	18.84	21.32	17.77	40.36	42.71	44.25	53.19	43.63	35.0	26.67	37.85	37.32	41.22	33.06	49.91	19.82	47.17	28.86	36.27	29.7	20.56	33.3	26.47	15.8	27.25	39.22	20.26	19.53	8.92	30.56	44.89
INPP5B	336.79	275.28	373.81	212.78	251.48	320.8	490.14	356.05	417.77	291.04	212.78	412.0	320.8	336.79	466.88	629.35	173.85	279.14	164.42	121.79	209.84	159.9	133.36	68.55	84.63	80.01	178.77	170.25	307.69	287.01	249.73	164.42	169.07	148.09	277.2	239.52	156.59	273.37	147.06	242.88	95.34	107.38	164.42	187.71	218.79	105.89	144.01	173.85	211.31	80.57	228.13	127.0	176.29	117.6
IST1	4298.64	3564.78	3257.52	3060.45	3419.52	3103.19	3928.15	4419.52	3955.48	3820.7	3060.45	3395.89	2956.17	3081.75	3419.52	3467.27	2701.35	2720.15	995.0	1583.71	1369.04	1001.93	1487.87	1508.65	854.13	1199.98	1397.83	1639.59	2485.67	1757.34	1745.2	1561.89	1119.56	1066.48	1250.98	1617.0	995.0	1268.46	967.76	1151.06	1044.52	1008.9	1697.45	974.5	1794.29	909.17	764.36	1081.39	2701.35	1183.45	1250.98	457.25	1233.75	1175.27
KDM4C	373.81	206.94	301.33	281.09	334.46	277.2	381.68	480.04	373.81	327.56	281.09	351.14	305.55	295.11	400.71	371.22	162.14	141.02	115.97	157.68	158.79	98.04	132.44	86.43	60.39	88.88	146.03	109.66	212.78	183.82	169.07	217.27	120.1	107.38	182.55	158.79	125.24	155.5	114.36	150.17	100.13	96.68	138.1	98.73	135.24	126.12	106.63	145.02	253.23	99.43	171.45	78.89	113.56	191.67
KDM5C	1037.29	651.58	921.88	825.0	947.83	753.83	1044.52	988.12	896.64	860.08	825.0	995.0	902.89	890.44	866.07	674.59	551.56	551.56	341.51	368.65	371.22	281.09	343.89	441.64	209.84	198.47	318.57	476.71	842.36	780.44	607.87	329.84	262.2	231.32	555.41	389.72	395.18	400.71	228.13	312.0	363.56	318.57	351.14	325.29	318.57	480.04	297.17	237.86	743.43	157.68	232.94	129.69	255.0	339.14
KDM6A	764.36	447.82	559.28	525.39	571.05	480.04	743.43	1023.0	728.11	743.43	525.39	642.59	414.87	466.88	738.29	941.27	297.17	432.53	143.01	202.66	346.29	108.9	183.82	217.27	97.36	128.79	228.13	211.31	389.72	329.84	348.71	214.27	148.09	100.83	348.71	221.86	309.83	202.66	151.22	256.78	283.05	110.43	154.42	134.3	131.51	214.27	124.37	152.28	301.33	163.28	161.02	115.16	187.71	215.77
KIAA0430	1233.75	785.88	802.41	872.1	703.28	860.08	1143.1	1304.15	1250.98	928.3	872.1	909.17	738.29	693.58	1208.34	1572.76	529.06	642.59	279.14	239.52	287.01	234.57	246.28	208.38	228.13	205.5	351.14	231.32	426.57	334.46	363.56	358.54	285.03	242.88	361.04	417.77	248.0	305.55	206.94	251.48	267.73	351.14	450.94	170.25	172.65	191.67	297.17	185.11	457.25	176.29	241.19	121.79	281.09	132.44
