	TCGA.W5.AA2U.01A.11R.A41I.07	TCGA.CZ.4857.01A.01R.1305.07	TCGA.B0.4837.01A.01R.1305.07	TCGA.CZ.5459.01A.01R.1503.07	TCGA.CJ.5671.01A.11R.1541.07	TCGA.CJ.5686.01A.11R.1672.07	TCGA.B0.5697.01A.11R.1541.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B0.5097.01A.01R.1420.07	TCGA.CJ.5689.01A.11R.1541.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.BP.4176.01A.02R.1289.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.2Z.A9JL.01A.11R.A42S.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.B1.7332.01A.11R.A32Z.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	GTEX.YB5E.0326.SM.5IFHU
DLL4	120.1	599.49	1369.04	1397.83	1896.65	1417.35	460.44	41.22	91.41	1936.53	1407.55	759.08	1199.98	262.2	785.88	42.11	20.26	42.71	420.68	57.08	119.26	24.28	297.17	70.51	55.1	70.01	46.84	144.01	107.38	76.17	72.52	16.39	46.18
EBF2	8.32	43.63	180.02	40.36	94.01	51.71	21.94	0.69	5.23	182.55	248.0	151.22	71.0	2.14	38.4	1.03	0.0	1.01	7.82	0.42	5.11	0.0	29.06	0.99	0.34	1.38	0.0	9.13	2.1	1.31	2.03	0.0	0.0
ECSCR	769.69	1540.37	3303.0	2701.35	4268.94	2537.92	1250.98	234.57	312.0	5441.3	3303.0	2032.85	2303.12	1277.29	2664.15	157.68	84.04	163.28	825.0	167.9	283.05	156.59	954.43	246.28	151.22	171.45	178.77	444.72	332.14	281.09	366.09	72.52	603.67
EDNRA	57.89	356.05	612.11	133.36	435.55	195.72	135.24	30.12	23.59	748.61	909.17	579.04	417.77	181.28	197.09	2.41	6.73	14.45	66.65	2.84	18.84	15.45	77.25	44.57	14.78	24.46	8.65	52.45	27.25	18.84	93.35	1.55	33.78
ELTD1	171.45	616.37	1350.18	902.89	1870.53	1388.16	595.34	75.64	98.73	2682.69	1487.87	981.29	642.59	432.53	1175.27	43.94	14.24	55.89	329.84	37.59	81.14	35.5	432.53	69.52	73.03	77.79	69.03	181.28	104.42	102.25	133.36	18.56	283.05
FATE1	2.76	30.56	137.14	32.36	52.45	44.25	36.27	3.72	7.88	132.44	90.77	64.8	92.05	16.27	34.75	2.05	0.0	0.69	39.5	5.23	15.22	5.32	41.22	0.68	3.56	2.1	2.71	10.24	5.23	7.34	6.06	4.54	0.91
FLT1	154.42	1447.15	981.29	1397.83	2816.11	2701.35	1540.37	52.82	142.01	3564.78	2240.11	1896.65	934.76	346.29	1662.49	36.53	27.64	41.22	764.36	51.71	46.18	29.91	412.0	55.89	59.13	35.0	23.59	153.34	74.58	95.34	105.89	11.47	159.9
GAP43	9.06	17.13	9.2	1.93	14.89	16.51	1.79	1.68	0.88	26.86	49.91	44.89	16.27	1.77	5.54	0.0	0.59	0.34	6.11	0.0	1.1	0.0	8.51	1.3	0.33	0.69	0.0	6.73	1.04	0.0	4.78	0.0	0.74
GPR124	217.27	723.08	825.0	316.37	902.89	332.14	260.38	84.63	45.21	884.29	1030.12	607.87	878.17	289.02	234.57	12.64	15.45	45.53	287.01	18.16	42.11	24.28	242.88	104.42	30.56	48.18	22.1	105.89	55.1	49.21	297.17	9.2	137.14
GPR4	108.14	470.14	842.36	660.68	1350.18	791.35	473.41	19.82	42.41	1519.15	1369.04	967.76	915.51	151.22	591.22	14.45	10.96	21.47	242.88	21.16	28.45	12.83	264.03	25.91	27.84	22.92	36.27	76.71	38.4	36.53	88.88	8.13	136.19
GRIK3	0.42	47.5	94.01	12.74	142.01	37.59	52.82	0.0	0.92	159.9	275.28	113.56	72.01	1.46	56.28	1.39	0.0	1.69	1.07	0.43	5.15	0.0	5.41	0.68	0.0	0.38	0.0	6.16	1.08	0.46	0.43	0.0	0.0
HMCN1	47.17	206.94	283.05	142.01	293.07	291.04	113.56	10.63	40.64	503.95	198.47	525.39	206.94	98.04	206.94	10.0	8.32	10.47	132.44	25.54	16.88	15.0	119.26	40.36	11.73	37.85	4.13	34.26	35.5	35.5	120.94	1.14	69.52
IBSP	20.56	151.22	84.63	37.32	77.25	113.56	1.07	0.0	0.0	127.89	13.83	358.54	105.15	2.12	101.54	0.68	0.0	0.67	5.06	8.65	0.0	0.0	3.2	9.56	0.65	0.0	0.0	1.36	0.0	7.63	2.78	1.13	42.11
IL12B	1.97	6.01	0.84	9.13	6.26	2.89	3.53	0.67	0.0	2.36	1.17	1.27	3.63	1.06	5.87	0.35	0.0	0.66	0.68	0.4	0.0	0.34	1.07	0.0	0.33	0.0	0.0	0.35	0.35	0.87	0.0	0.0	0.0
IL6	384.34	116.78	3742.05	902.89	954.43	674.59	57.08	38.67	136.19	2796.65	4152.18	129.69	463.65	45.21	239.52	4.31	3.41	2.92	854.13	7.82	34.75	16.15	2255.7	141.02	28.45	63.0	13.93	47.17	61.25	112.77	1199.98	7.75	77.25
INHBB	176.29	2271.4	1832.01	629.35	1806.78	713.11	242.88	63.0	70.51	2384.37	1662.49	1037.29	603.67	67.12	329.84	26.28	6.11	26.86	356.05	19.53	88.26	15.45	162.14	39.5	42.11	52.08	129.69	56.28	20.41	49.91	123.5	22.59	417.77
ITGA5	2133.97	1909.85	4388.98	1769.57	5831.91	1977.24	1208.34	356.05	518.15	8598.28	2720.15	5366.37	2627.46	708.18	2287.2	193.01	264.03	251.48	2240.11	236.21	400.71	285.03	1037.29	583.07	320.8	334.46	191.67	563.18	202.66	212.78	688.78	63.0	854.13
KCNAB1	18.03	60.39	75.11	55.49	107.38	100.13	60.39	17.64	9.93	100.83	149.12	146.03	99.43	52.45	114.36	16.03	8.06	18.16	20.56	5.96	14.03	13.03	16.63	17.25	18.7	10.47	10.55	19.11	5.87	6.41	16.27	5.63	8.06
KCNE4	127.0	217.27	796.86	329.84	429.54	228.13	191.67	49.21	46.84	947.83	954.43	435.55	320.8	84.63	339.14	5.19	5.63	20.26	128.79	5.73	48.87	17.0	177.53	61.68	25.54	37.85	12.64	52.45	20.26	31.45	155.5	42.71	24.28
LHFPL2	208.38	860.08	511.0	260.38	785.88	518.15	432.53	124.37	587.13	1143.1	703.28	665.29	307.69	178.77	909.17	295.11	71.5	114.36	139.07	143.01	153.34	167.9	193.01	202.66	120.94	124.37	116.78	305.55	36.27	57.89	215.77	145.02	642.59
LINGO1	941.27	343.89	547.75	120.94	567.1	198.47	127.0	12.27	18.56	457.25	693.58	599.49	521.76	76.17	183.82	5.5	3.86	11.64	65.72	15.8	32.59	9.7	106.63	22.75	13.93	10.71	4.86	63.89	18.16	19.53	33.06	5.02	60.39
LOX	102.97	11424.74	6887.62	1857.6	5791.62	2915.45	1457.23	178.77	113.56	14971.21	3540.14	2701.35	1151.06	353.59	2367.9	64.34	23.59	185.11	75.11	44.89	81.14	17.0	71.0	115.97	33.78	70.01	9.06	178.77	5.68	9.2	215.77	57.49	44.89
MMP16	6.01	7.11	40.36	6.84	36.01	21.16	6.62	2.97	0.87	81.71	24.63	57.08	22.1	2.43	27.44	0.67	0.58	1.3	5.36	1.19	0.37	0.97	158.79	1.91	1.89	3.99	3.2	3.66	0.35	0.42	3.14	0.38	0.93
NCR1	3.32	12.0	7.94	11.47	15.22	14.03	12.0	0.67	3.89	21.01	40.07	13.72	6.16	4.21	5.87	2.68	3.44	0.0	5.73	2.39	3.23	1.64	5.68	0.65	0.96	0.68	0.0	0.0	0.0	1.28	5.54	0.0	0.0
NPTX2	132.44	941.27	16843.62	16843.62	1023.0	271.48	88.26	17.51	17.77	1628.26	1617.0	679.29	854.13	7.34	6294.04	4.54	2.43	21.16	124.37	8.65	16.39	1.41	149.12	107.38	6.94	2.86	7.34	15.91	0.41	1.38	150.17	5.45	117.6
OLFML2A	84.63	842.36	1322.37	660.68	1477.58	693.58	559.28	31.22	9.7	1127.35	1417.35	1437.15	967.76	91.41	395.18	7.51	38.12	50.63	69.03	6.89	49.56	11.04	158.79	18.29	16.51	20.86	31.0	102.97	42.11	31.0	35.76	9.56	5.96
OLFML2B	234.57	1250.98	2032.85	532.74	2835.7	1008.9	223.41	47.84	289.02	3060.45	3303.0	2061.24	1950.0	291.04	1127.35	165.57	32.59	61.68	1015.93	51.71	279.14	71.0	995.0	123.5	53.19	20.26	36.79	251.48	59.13	78.34	473.41	147.06	177.53
OR51E1	11.73	260.38	164.42	63.0	172.65	80.01	37.05	8.06	6.57	153.34	205.5	279.14	100.83	5.32	94.67	2.39	0.6	2.66	9.85	1.22	3.66	2.01	29.06	9.34	1.95	7.17	1.51	13.12	5.87	4.74	11.21	1.91	0.65
P2RY1	34.02	77.79	120.1	41.52	87.03	92.7	43.02	3.35	7.75	166.73	43.63	76.71	34.02	18.16	92.05	2.36	0.0	4.9	33.06	3.99	2.18	3.92	17.64	2.58	0.97	2.39	0.6	16.75	1.06	2.16	9.13	0.77	21.32
PCDH17	69.52	231.32	395.18	166.73	728.11	256.78	149.12	8.71	4.82	902.89	273.37	320.8	232.94	115.16	234.57	2.39	0.6	4.28	171.45	2.03	9.06	4.94	101.54	12.55	1.95	6.46	2.39	16.51	18.16	17.51	44.25	0.78	34.02
PGF	208.38	1008.9	5292.48	2739.08	5479.15	490.14	343.89	50.63	82.29	3257.52	6935.54	1250.98	3280.18	307.69	4388.98	33.3	55.1	51.71	231.32	42.41	194.36	23.59	113.56	55.89	53.95	38.12	34.51	180.02	48.87	101.54	81.71	24.99	62.56
POPDC2	67.12	143.01	363.56	78.89	412.0	186.4	84.04	25.72	43.32	285.03	339.14	483.38	265.87	47.17	267.73	22.75	41.52	37.32	26.47	24.99	59.13	54.33	81.71	51.35	28.04	32.13	32.36	43.94	37.85	28.45	43.94	20.11	5.02
PRR16	55.89	92.7	171.45	68.55	201.25	54.72	64.8	6.21	34.02	175.07	246.28	181.28	127.0	43.94	94.67	32.59	1.22	3.72	18.03	0.87	12.55	2.39	60.82	7.94	3.96	3.17	2.46	10.0	1.81	4.86	18.7	0.0	6.46
S1PR1	332.14	698.41	872.1	1225.22	2163.77	1529.73	759.08	102.97	224.97	1923.14	1477.58	656.11	733.19	432.53	1037.29	43.63	26.1	95.34	363.56	63.89	189.02	43.02	536.45	129.69	100.13	79.45	60.39	161.02	110.43	131.51	178.77	24.81	813.63
SCARF1	139.07	299.25	497.0	312.0	583.07	237.86	169.07	32.59	100.13	571.05	323.03	267.73	395.18	148.09	232.94	37.05	30.78	48.18	137.14	39.5	79.45	97.36	102.25	85.82	26.86	40.36	59.97	69.03	150.17	71.0	83.45	16.63	58.3
SEMA6B	141.02	318.57	669.92	295.11	1104.13	358.54	171.45	83.45	87.03	1088.92	571.05	518.15	420.68	277.2	351.14	27.64	17.0	37.32	381.68	43.02	134.3	35.5	356.05	57.89	66.18	65.72	52.82	105.15	63.0	84.04	206.94	29.7	131.51
SH3GLB1	1199.98	1540.37	1844.76	1540.37	1721.16	1806.78	1233.75	802.41	1030.12	2520.38	1844.76	2018.8	1721.16	1529.73	1674.06	1008.9	723.08	728.11	1477.58	563.18	1104.13	796.86	1277.29	1088.92	780.44	1059.11	872.1	1242.34	981.29	1183.45	1295.13	813.63	1233.75
SHANK3	172.65	511.0	409.15	389.72	679.29	336.79	175.07	63.0	75.64	381.68	264.03	120.94	336.79	171.45	167.9	96.01	55.89	72.52	108.14	73.03	178.77	91.41	113.56	69.03	81.71	69.52	58.3	128.79	57.08	101.54	69.03	129.69	114.36
SLC10A6	12.27	21.78	22.26	49.56	66.65	30.56	17.51	0.0	1.75	94.01	24.46	18.97	15.45	1.41	24.81	1.35	0.59	0.99	24.46	0.4	2.18	2.29	16.88	3.86	0.0	1.69	0.6	6.36	1.04	1.71	2.39	0.75	0.89
SOX11	2.41	120.94	68.07	24.81	45.85	27.25	4.24	0.35	1.31	108.14	10.39	16.51	43.02	0.37	4.06	0.0	0.0	0.34	0.69	0.0	0.38	0.0	29.91	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.41	0.0	0.0
SPP1	391864.76	158046.64	160252.91	204252.32	18689.27	168220.2	226632.25	405683.88	654483.73	249727.34	88291.3	228208.61	34876.28	348306.01	102125.66	422911.59	179048.63	311742.51	492579.5	614902.29	397335.0	234624.45	509950.32	363097.14	271387.49	414208.18	234624.45	292889.12	822695.06	499455.67	405683.88	422911.59	951601.81
STC2	75.64	813.63	1277.29	928.3	1167.14	651.58	314.17	27.25	59.55	2287.2	1066.48	2520.38	1447.15	26.47	769.69	15.8	5.06	14.35	105.15	32.36	21.32	1.73	463.65	34.26	9.13	97.36	10.24	169.07	58.71	81.14	93.35	53.19	15.22
TCF4	164.42	651.58	607.87	363.56	961.07	563.18	441.64	61.25	138.1	1331.57	866.07	718.08	532.74	511.0	620.67	46.5	16.15	40.36	293.07	28.24	68.07	72.01	258.57	94.01	43.02	75.11	41.22	68.55	53.95	100.13	260.38	5.32	77.25
TMCC1	265.87	2555.58	2119.22	1529.73	1225.22	2664.15	1030.12	426.57	591.22	3467.27	808.0	1259.69	1359.57	547.75	1963.57	490.14	221.86	373.81	928.3	387.02	441.64	208.38	638.15	529.06	400.71	363.56	242.88	511.0	327.56	368.65	395.18	156.59	624.99
TNFRSF4	105.15	242.88	775.05	195.72	514.56	283.05	86.43	23.76	32.13	540.19	281.09	309.83	457.25	91.41	161.02	17.13	19.97	21.94	244.57	41.81	100.83	32.59	45.21	64.8	29.7	35.5	40.93	50.63	13.32	18.7	53.57	14.45	24.28
ZNF395	551.56	6699.25	5006.93	4543.8	2875.3	3349.13	1369.04	368.65	616.37	4123.49	1769.57	1001.93	2816.11	595.34	1143.1	511.0	441.64	669.92	1369.04	493.56	579.04	518.15	802.41	819.3	307.69	1088.92	638.15	429.54	559.28	309.83	872.1	332.14	193.01
