	GTEX.YJ8O.1426.SM.5PNV9	GTEX.131YS.2926.SM.5EGKI	GTEX.ZVT3.2826.SM.5GU6A	GTEX.14C38.2626.SM.5RQI4	GTEX.147JS.2626.SM.5S2UX	GTEX.13PL7.2426.SM.5J2N3	GTEX.12ZZX.2726.SM.5N9FT	GTEX.11EI6.2626.SM.5PNVT	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.12584.1426.SM.5EGJ9	GTEX.11TUW.0526.SM.5LU9A	GTEX.YFC4.1126.SM.5RQJN	GTEX.YECK.0926.SM.4W214	GTEX.OOBJ.0526.SM.48TDK	GTEX.11UD2.0726.SM.5EQ69	GTEX.WWYW.0926.SM.3NB2Z	GTEX.X3Y1.0626.SM.3P5YS	GTEX.RWSA.1126.SM.2XCAZ	GTEX.11ZUS.0126.SM.5EQM5	GTEX.1128S.0726.SM.5N9D6	GTEX.145MN.0926.SM.5NQBT	GTEX.13FLV.0426.SM.5KLZA	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.145MF.0726.SM.5Q5BT	GTEX.S341.0326.SM.2XCAU	GTEX.13FTX.0326.SM.5J2NG	GTEX.11ZTT.0626.SM.5EQLM	GTEX.144GO.0226.SM.5LUB1
ANPEP	293.07	297.17	209.84	4671.57	409.15	172.65	293.07	339.14	3928.15	3847.29	5872.48	3443.31	5954.47	239.52	183.82	3820.7	896.64	166.73	366.09	775.05	5006.93	1199.98	4736.79	988.12	529.06	253.23	1286.18	314.17	555.41	1498.22	5913.33
AQP9	0.0	1.93	0.14	21026.65	1.57	0.48	6.11	2.51	518.15	4972.34	529.06	1001.93	5872.48	42.71	217.27	583.07	723.08	11.64	555.41	87.65	2255.7	281.09	830.75	1088.92	363.56	38.67	212.78	94.01	199.85	497.0	3325.99
ARRB2	1008.9	1001.93	854.13	15075.35	1259.69	587.13	642.59	1119.56	2997.45	7485.11	3443.31	3443.31	11035.54	1963.57	2075.59	4298.64	3212.66	2104.58	3018.3	2417.67	6561.36	2645.74	5831.91	2777.33	1407.55	1397.83	1662.49	1183.45	2555.58	2502.97	6983.79
ATF6	249.73	208.38	205.5	409.15	258.57	194.36	175.07	193.01	406.31	981.29	656.11	397.93	376.41	265.87	275.28	285.03	379.04	237.86	890.44	299.25	543.96	267.73	665.29	392.44	293.07	234.57	460.44	271.48	279.14	366.09	660.68
BASP1	175.07	135.24	155.5	29327.18	305.55	39.22	165.57	293.07	954.43	5112.16	3928.15	830.75	7911.95	297.17	239.52	1259.69	1397.83	264.03	674.59	327.56	1844.76	293.07	3540.14	532.74	638.15	473.41	1628.26	389.72	271.48	1183.45	3303.0
BAZ1A	187.71	185.11	226.54	1397.83	275.28	182.55	232.94	185.11	713.11	2047.0	2319.15	780.44	1519.15	521.76	417.77	890.44	884.29	305.55	909.17	490.14	808.0	373.81	1051.79	525.39	316.37	316.37	909.17	336.79	291.04	356.05	1498.22
BCL2A1	4.58	10.63	19.39	48307.85	14.45	9.13	18.97	24.63	1051.79	9151.82	3467.27	1628.26	16045.82	119.26	409.15	1081.39	1259.69	248.0	1757.34	348.71	5831.91	567.1	1277.29	1883.54	155.5	463.65	1135.2	232.94	215.77	438.59	11424.74
BEST1	71.0	39.5	67.12	684.02	50.27	98.73	55.1	64.34	161.02	368.65	115.16	180.02	224.97	57.08	145.02	126.12	129.69	125.24	295.11	105.15	217.27	119.26	199.85	251.48	97.36	106.63	115.16	127.0	94.01	85.22	334.46
BMP2	139.07	144.01	127.89	1572.76	289.02	49.91	171.45	120.94	457.25	4210.15	3280.18	493.56	2287.2	327.56	603.67	441.64	297.17	187.71	3212.66	265.87	941.27	447.82	1508.65	1066.48	647.07	295.11	1896.65	314.17	1023.0	171.45	1651.0
BST1	258.57	236.21	220.32	2335.28	232.94	48.52	269.6	297.17	232.94	1268.46	3847.29	688.78	2417.67	293.07	368.65	825.0	466.88	126.12	460.44	229.72	1844.76	197.09	872.1	463.65	169.07	153.34	264.03	43.02	346.29	387.02	490.14
C5orf58	8.06	4.35	3.59	297.17	8.85	1.14	4.54	8.58	13.42	64.34	34.26	50.27	127.0	23.42	18.97	57.08	31.0	18.84	12.64	17.9	34.51	3.29	43.94	13.12	6.94	15.11	13.62	1.97	3.59	2.92	47.17
CASP4	543.96	511.0	525.39	5913.33	633.73	269.6	660.68	656.11	2997.45	14262.1	4210.15	2997.45	14262.1	665.29	1583.71	3257.52	2468.49	1857.6	5183.54	1359.57	3280.18	1697.45	2875.3	3419.52	961.07	1030.12	3325.99	1008.9	1322.37	1529.73	12764.83
CCDC47	915.51	830.75	759.08	1909.85	961.07	718.08	769.69	842.36	1286.18	2303.12	2047.0	1572.76	1721.16	967.76	890.44	1216.75	954.43	1001.93	3589.58	1104.13	1277.29	921.88	2061.24	1662.49	1015.93	738.29	1721.16	1081.39	1407.55	1498.22	2090.03
CCL3	44.57	0.0	17.64	20310.37	3.72	176.29	37.59	31.45	1159.07	3982.99	7749.1	1088.92	3372.43	403.5	723.08	3212.66	555.41	733.19	941.27	532.74	2591.27	167.9	1674.06	2224.63	80.57	251.48	954.43	236.21	293.07	217.27	2609.3
CD300LD	0.0	1.79	0.0	10.96	0.0	0.0	0.0	0.0	0.85	3.56	0.0	1.45	0.47	0.0	0.92	1.35	1.06	0.0	0.73	0.6	0.97	1.95	1.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.29
CD44	1529.73	2163.77	1950.0	36610.26	2367.9	1073.91	2417.67	2468.49	14765.09	42641.37	62865.33	12589.08	32315.87	3372.43	1721.16	16727.26	9540.5	2682.69	9606.86	7485.11	20030.74	3820.7	17197.56	8718.32	1467.37	3235.01	14262.1	2119.22	4358.66	2193.99	29124.6
CDC42EP3	688.78	934.76	974.5	1685.71	738.29	486.75	866.07	642.59	1477.58	3103.19	2148.82	1721.16	2855.44	713.11	339.14	878.17	954.43	785.88	1233.75	525.39	2664.15	603.67	995.0	669.92	473.41	325.29	1857.6	400.71	500.46	341.51	6887.62
CLEC4A	106.63	63.89	113.56	4152.18	113.56	35.0	96.01	120.94	255.0	1183.45	432.53	343.89	718.08	212.78	301.33	503.95	450.94	248.0	159.9	182.55	441.64	289.02	217.27	595.34	111.21	141.02	241.19	205.5	117.6	228.13	297.17
CLEC4D	0.0	0.0	0.0	896.64	1.31	1.97	0.0	0.0	48.87	231.32	98.04	90.14	135.24	7.46	29.48	94.01	56.68	12.27	151.22	5.59	69.52	30.78	92.05	62.12	46.5	7.69	7.88	5.45	27.64	71.5	122.64
CMTM2	7.17	0.0	4.66	3103.19	14.89	15.34	7.0	11.3	14.03	825.0	660.68	164.42	1594.73	30.78	165.57	100.83	119.26	4.5	277.2	61.68	221.86	190.34	373.81	316.37	291.04	60.82	52.45	25.91	64.8	194.36	113.56
CR1	7.0	3.72	15.91	1757.34	8.99	8.92	4.24	13.72	10.55	275.28	237.86	237.86	379.04	3.82	40.64	102.97	60.39	17.51	108.14	7.82	176.29	56.28	57.49	220.32	80.01	9.78	22.59	8.85	56.28	121.79	145.02
CSNK1A1	1508.65	1674.06	1331.57	2976.74	1540.37	1397.83	1322.37	1388.16	2976.74	3982.99	3124.78	2075.59	2400.97	1135.2	1225.22	1540.37	1870.53	1806.78	4239.45	2451.44	2384.37	2133.97	3349.13	2018.8	2209.26	1208.34	3395.89	1794.29	2240.11	2627.46	3146.52
CXCL5	2.14	0.0	0.0	8901.53	5.87	0.66	0.73	0.61	915.51	11504.21	14663.09	1923.14	223.41	11.47	31.67	163.28	830.75	3.89	279.14	17.13	2417.67	55.89	267.73	301.33	3.66	19.53	571.05	46.5	25.35	63.0	11112.3
CXCR1	0.0	1.38	1.89	3325.99	3.44	0.0	13.72	1.79	3.59	866.07	136.19	226.54	325.29	9.63	158.79	130.6	83.45	2.97	301.33	18.7	212.78	107.38	403.5	473.41	76.71	15.91	15.68	11.64	118.43	150.17	830.75
CYTIP	49.56	29.48	50.27	2075.59	115.97	44.89	80.57	111.99	796.86	3124.78	1769.57	1059.11	2935.74	341.51	543.96	928.3	1066.48	802.41	872.1	395.18	2627.46	211.31	2609.3	514.56	98.04	438.59	848.22	212.78	195.72	297.17	2133.97
DDX21	253.23	237.86	271.48	2075.59	253.23	271.48	248.0	273.37	813.63	2384.37	1963.57	1322.37	842.36	466.88	363.56	1369.04	842.36	389.72	2209.26	426.57	1073.91	389.72	1427.22	723.08	563.18	283.05	1225.22	490.14	703.28	441.64	2133.97
DDX3X	1674.06	1628.26	1721.16	4358.66	1540.37	1936.53	1250.98	1322.37	1883.54	5147.73	2855.44	1883.54	7032.37	1467.37	1781.89	1508.65	2468.49	2319.15	2855.44	1697.45	4123.49	1651.0	2627.46	2417.67	1685.71	2351.53	2319.15	2682.69	3690.52	2609.3	4450.27
DGAT2	141.02	70.51	52.45	229.72	80.57	34.51	92.7	32.82	45.85	921.88	264.03	379.04	830.75	45.53	113.56	281.09	158.79	49.91	406.31	72.01	291.04	220.32	305.55	356.05	241.19	52.82	73.03	68.55	178.77	190.34	703.28
EHD4	320.8	327.56	373.81	1407.55	320.8	205.5	299.25	376.41	1605.83	2777.33	1628.26	1242.34	854.13	981.29	529.06	457.25	1015.93	1059.11	1709.26	974.5	1081.39	591.22	1583.71	909.17	612.11	343.89	1551.09	490.14	830.75	921.88	1350.18
F5	15.0	29.27	19.53	2163.77	32.36	0.0	2.23	3.99	106.63	351.14	884.29	171.45	813.63	23.76	92.7	103.69	191.67	115.16	169.07	10.39	579.04	78.89	63.89	158.79	81.71	16.27	17.25	2.89	43.94	162.14	265.87
FAM49B	583.07	463.65	684.02	7230.1	591.22	366.09	595.34	638.15	941.27	3665.02	1709.26	1407.55	4181.07	718.08	854.13	1561.89	1233.75	872.1	1639.59	412.0	2739.08	728.11	1447.15	1498.22	785.88	651.58	1378.57	764.36	769.69	1199.98	2163.77
FAM65B	52.45	44.25	50.63	10733.74	107.38	19.68	67.12	59.13	50.63	4038.61	941.27	713.11	2956.17	131.51	339.14	1233.75	813.63	206.94	693.58	149.12	2701.35	271.48	1832.01	579.04	363.56	186.4	139.07	110.43	244.57	346.29	1963.57
FCAR	2.25	0.0	3.99	2895.31	0.0	0.0	1.95	3.03	5.19	728.11	406.31	221.86	1044.52	6.73	36.27	167.9	131.51	2.12	154.42	8.58	540.19	21.16	341.51	103.69	33.54	5.87	10.08	1.85	41.22	57.08	351.14
FCER1G	540.19	525.39	457.25	61146.25	483.38	718.08	251.48	796.86	21026.65	41763.8	16045.82	15499.21	14065.74	1277.29	7803.01	11745.96	9151.82	4388.98	9344.14	3372.43	22850.48	6294.04	42054.3	17804.06	2319.15	1286.18	11664.82	4268.94	5147.73	8840.04	30572.63
FCGR2A	295.11	194.36	309.83	10733.74	429.54	105.15	125.24	603.67	1233.75	16045.82	3665.02	2875.3	6250.56	351.14	1151.06	2351.53	1044.52	785.88	3257.52	679.29	6792.79	2047.0	4607.24	5441.3	733.19	343.89	1159.07	743.43	1111.82	3564.78	4328.55
FFAR2	0.0	4.9	2.07	7433.4	2.1	1.41	9.34	2.66	21.16	902.89	127.89	271.48	587.13	4.31	64.34	295.11	90.77	3.2	215.77	22.43	638.15	21.01	96.68	403.5	34.51	10.47	37.32	10.71	55.89	38.4	366.09
FGR	44.25	33.78	72.01	12502.12	38.4	80.57	29.91	63.0	1208.34	7230.1	1963.57	3515.68	3901.01	312.0	1561.89	4268.94	2319.15	698.41	2335.28	483.38	8022.41	2627.46	3564.78	1388.16	583.07	332.14	693.58	988.12	1769.57	934.76	6792.79
FNDC3B	297.17	287.01	281.09	2816.11	334.46	136.19	232.94	325.29	693.58	2956.17	2555.58	1175.27	2209.26	743.43	242.88	954.43	988.12	341.51	1857.6	878.17	1397.83	384.34	1397.83	514.56	414.87	269.6	1250.98	291.04	466.88	483.38	1909.85
GABPB1	145.02	139.07	121.79	457.25	142.01	84.63	167.9	155.5	323.03	723.08	703.28	265.87	698.41	343.89	228.13	356.05	320.8	232.94	403.5	201.25	470.14	152.28	432.53	295.11	141.02	218.79	412.0	165.57	202.66	177.53	503.95
GCA	303.44	231.32	283.05	4607.24	253.23	204.07	287.01	283.05	703.28	3768.09	1857.6	1159.07	2384.37	480.04	1015.93	753.83	780.44	480.04	2573.36	376.41	1950.0	1199.98	1008.9	2148.82	1066.48	457.25	954.43	514.56	1127.35	1583.71	1572.76
GCH1	88.26	72.52	131.51	1685.71	115.16	59.55	92.7	139.07	211.31	1359.57	1183.45	441.64	1378.57	229.72	417.77	802.41	559.28	172.65	312.0	267.73	872.1	140.04	638.15	293.07	127.0	234.57	351.14	109.66	190.34	128.79	819.3
GK	164.42	90.77	135.24	6935.54	136.19	115.16	67.59	118.43	493.56	3103.19	674.59	785.88	2796.65	316.37	156.59	738.29	1295.13	161.02	878.17	164.42	1540.37	289.02	1167.14	651.58	190.34	154.42	647.07	353.59	194.36	348.71	4802.93
GLT1D1	12.0	6.84	7.4	327.56	13.22	6.52	7.57	10.08	9.13	189.02	77.25	68.55	189.02	3.26	59.13	51.35	37.05	3.76	111.99	4.9	74.06	59.97	71.0	137.14	65.72	9.13	10.63	15.91	65.26	92.7	72.52
GPR97	10.55	9.13	12.93	6471.02	40.36	7.34	17.38	16.03	16.03	860.08	417.77	209.84	1143.1	27.64	49.21	204.07	143.01	3.63	339.14	26.28	371.22	57.08	307.69	87.65	91.41	28.45	31.67	8.78	68.07	77.79	327.56
HIST2H2AA3	29.91	59.13	40.07	1059.11	13.22	67.12	17.9	49.56	79.45	529.06	447.82	279.14	325.29	49.21	58.3	318.57	165.57	42.71	463.65	155.5	332.14	29.48	223.41	36.53	45.53	133.36	109.66	41.22	44.57	41.22	173.85
HIST2H2AA4	591.22	665.29	559.28	20030.74	395.18	1183.45	567.1	518.15	1498.22	11345.82	10883.59	7331.05	8247.98	1088.92	1030.12	5995.9	3303.0	529.06	6699.25	3303.0	6652.97	514.56	4123.49	656.11	808.0	2384.37	3081.75	457.25	532.74	521.76	4450.27
HIST2H2AC	27.64	28.04	21.32	241.19	16.15	29.7	21.16	47.5	58.3	348.71	194.36	114.36	146.03	16.03	57.08	58.71	83.45	8.32	703.28	60.82	123.5	10.08	125.24	18.7	45.85	53.95	126.12	22.59	9.93	25.35	156.59
HIST2H2BF	30.78	37.85	30.78	1008.9	16.39	8.78	21.32	8.71	52.45	708.18	591.22	379.04	708.18	69.52	28.86	373.81	232.94	41.52	231.32	255.0	480.04	42.11	307.69	29.06	61.68	195.72	202.66	26.47	29.7	50.98	248.0
HNRNPH2	1037.29	1037.29	941.27	1242.34	1127.35	1277.29	808.0	1199.98	1909.85	2997.45	1674.06	2537.92	2032.85	1008.9	1208.34	1388.16	1295.13	808.0	3665.02	1286.18	1923.14	1242.34	2609.3	2935.74	1427.22	769.69	2502.97	1066.48	1781.89	1963.57	2193.99
HRH2	2.05	4.06	1.06	223.41	2.05	1.71	3.41	8.71	11.13	376.41	76.17	97.36	10.55	1.6	14.89	66.18	37.32	4.86	186.4	9.93	169.07	15.68	66.65	52.45	16.88	14.45	10.88	3.06	20.26	14.24	281.09
ICAM1	115.16	146.03	175.07	15075.35	229.72	128.79	150.17	248.0	6164.49	66912.05	187950.38	14361.31	124863.17	3257.52	4239.45	8718.32	7695.57	1950.0	26248.46	3820.7	9540.5	3280.18	22225.61	10659.59	5995.9	2047.0	17437.64	1487.87	9344.14	2271.4	21768.19
IFNAR1	507.46	463.65	493.56	1407.55	426.57	387.02	547.75	493.56	1167.14	1923.14	1417.35	738.29	921.88	518.15	567.1	599.49	718.08	454.09	1508.65	395.18	1268.46	371.22	1304.15	1259.69	262.2	633.73	1407.55	543.96	397.93	688.78	1359.57
IL18RAP	3.06	3.06	8.38	915.51	8.45	5.63	8.51	6.21	21.01	669.92	236.21	142.01	68.55	30.56	37.05	198.47	110.43	40.93	314.17	38.67	193.01	103.69	126.12	63.0	59.97	20.56	14.03	26.28	87.65	68.55	301.33
IL1B	12.45	9.48	19.68	21617.82	0.0	55.1	8.13	16.15	381.68	7803.01	8134.41	426.57	5872.48	86.43	466.88	293.07	438.59	84.63	400.71	159.9	1674.06	195.72	400.71	2720.15	43.94	95.34	341.51	49.56	265.87	84.04	5076.84
IL8	6.21	9.78	42.41	581732.96	14.03	25.72	32.82	61.68	1088.92	23009.42	19348.38	4903.87	29943.43	358.54	180.02	1819.35	4736.79	82.29	1295.13	329.84	6792.79	115.16	4736.79	1340.84	133.36	1135.2	2777.33	403.5	135.24	163.28	7803.01
KIAA0040	161.02	159.9	162.14	902.89	180.02	85.22	151.22	162.14	1594.73	3515.68	2018.8	1477.58	1030.12	921.88	1397.83	1268.46	674.59	688.78	4095.0	1119.56	1519.15	961.07	4419.52	1781.89	896.64	713.11	1159.07	830.75	819.3	738.29	2835.7
LCP2	131.51	138.1	161.02	14361.31	143.01	97.36	105.89	153.34	454.09	8840.04	1883.54	2485.67	21468.49	518.15	1407.55	3874.05	1208.34	2591.27	909.17	775.05	3847.29	785.88	4903.87	1806.78	381.68	387.02	954.43	275.28	830.75	674.59	11584.24
LILRA5	9.06	4.54	22.59	6561.36	8.58	5.06	9.93	21.32	237.86	4328.55	1572.76	2133.97	1350.18	70.51	909.17	1709.26	567.1	58.3	1427.22	182.55	4607.24	426.57	854.13	1977.24	395.18	34.51	183.82	84.63	320.8	483.38	748.61
LIPN	0.0	0.0	1.33	144.01	0.0	0.0	0.0	0.0	14.03	110.43	15.45	41.22	43.94	1.31	11.47	10.24	6.78	0.0	13.83	15.68	47.84	10.16	35.5	23.59	13.03	5.23	10.47	6.26	12.09	15.8	35.0
LRG1	22.43	7.82	25.17	1832.01	28.24	19.39	22.43	33.3	228.13	6607.01	460.44	1001.93	307.69	112.77	197.09	1331.57	1950.0	165.57	830.75	87.65	2739.08	204.07	339.14	1359.57	420.68	361.04	1437.15	242.88	748.61	540.19	1369.04
LYN	127.0	150.17	212.78	5219.6	206.94	135.24	172.65	220.32	1551.09	5329.3	1277.29	2224.63	1950.0	525.39	642.59	2178.83	2720.15	397.93	3212.66	301.33	3018.3	616.37	2119.22	1936.53	547.75	406.31	3847.29	624.99	684.02	1340.84	7081.29
MAN2A2	836.53	693.58	808.0	3235.01	825.0	684.02	583.07	507.46	718.08	3614.55	1322.37	1216.75	1216.75	642.59	493.56	1709.26	1388.16	674.59	2701.35	813.63	1583.71	1519.15	2627.46	651.58	718.08	441.64	780.44	460.44	1233.75	603.67	3081.75
MAPK14	559.28	679.29	599.49	2417.67	616.37	497.0	567.1	493.56	497.0	2018.8	1508.65	1417.35	1617.0	376.41	629.35	967.76	813.63	567.1	1167.14	518.15	1529.73	660.68	854.13	1199.98	802.41	473.41	343.89	651.58	642.59	698.41	1127.35
MCTP2	49.21	44.25	75.64	2758.13	40.64	24.11	33.06	48.87	209.84	1757.34	878.17	540.19	1498.22	189.02	155.5	698.41	423.61	92.05	780.44	316.37	769.69	152.28	381.68	295.11	147.06	183.82	432.53	137.14	89.51	246.28	1359.57
MEFV	2.81	2.12	2.12	3928.15	3.11	4.13	4.28	3.53	16.15	318.57	114.36	161.02	500.46	28.04	63.89	223.41	85.22	14.03	100.83	32.59	202.66	70.01	153.34	103.69	36.27	30.12	10.96	18.03	55.1	55.89	191.67
MT1A	74.06	20.56	64.8	13033.07	38.95	104.42	54.33	37.59	884.29	38164.99	16269.83	3419.52	1119.56	748.61	24.99	4639.29	10296.45	176.29	6887.62	503.95	16269.83	52.45	29531.18	71.5	237.86	31.0	406.31	98.04	656.11	51.71	13492.72
NAMPT	320.8	320.8	327.56	19754.96	473.41	493.56	332.14	470.14	4268.94	39510.91	29531.18	7911.95	37379.55	1233.75	941.27	5517.27	5791.62	647.07	12676.65	1617.0	19214.73	890.44	28132.47	4769.75	1561.89	698.41	5633.22	563.18	1757.34	2367.9	22380.2
NCR3LG1	13.03	10.31	12.09	30.56	11.73	9.41	7.88	9.78	8.19	55.49	40.64	23.25	29.7	2.78	0.12	32.13	10.96	12.45	41.52	15.8	37.32	38.67	34.51	27.44	47.17	2.34	28.24	17.9	26.28	26.67	56.28
NFE2	3.63	3.59	1.45	5147.73	4.39	0.47	4.1	4.78	13.83	1388.16	780.44	603.67	387.02	15.11	620.67	460.44	169.07	5.87	305.55	52.45	698.41	172.65	172.65	836.53	85.82	57.08	20.71	15.34	239.52	176.29	351.14
NLRP3	22.1	18.7	35.76	2796.65	30.12	6.73	13.32	71.0	64.8	2451.44	351.14	262.2	638.15	94.67	90.14	158.79	353.59	178.77	497.0	50.27	1044.52	70.51	486.75	153.34	75.11	13.62	52.82	25.35	56.68	234.57	559.28
NUP98	571.05	660.68	521.76	2758.13	629.35	909.17	500.46	551.56	981.29	2417.67	2148.82	947.83	2032.85	802.41	791.35	1066.48	1143.1	819.3	2104.58	1015.93	1111.82	703.28	1427.22	825.0	713.11	693.58	1015.93	785.88	941.27	612.11	2701.35
PATL1	438.59	387.02	307.69	1242.34	460.44	251.48	334.46	323.03	454.09	1199.98	961.07	642.59	1127.35	312.0	297.17	785.88	460.44	332.14	656.11	518.15	713.11	287.01	928.3	450.94	229.72	368.65	563.18	253.23	307.69	323.03	941.27
PFKFB3	239.52	314.17	295.11	12589.08	420.68	318.57	400.71	444.72	902.89	6516.03	9876.98	1819.35	14163.58	967.76	1088.92	2627.46	1977.24	808.0	3039.3	854.13	6121.9	518.15	3847.29	1551.09	947.83	1073.91	1023.0	318.57	1023.0	1359.57	7695.57
PGS1	395.18	389.72	441.64	1819.35	470.14	587.13	454.09	325.29	775.05	4836.35	1781.89	2739.08	1322.37	470.14	591.22	2335.28	1259.69	591.22	2090.03	629.35	2627.46	836.53	1551.09	934.76	684.02	454.09	1159.07	660.68	915.51	660.68	2956.17
PLEK	88.26	89.51	65.72	189257.69	72.52	59.13	36.53	146.03	511.0	8963.45	2739.08	2573.36	31432.17	185.11	848.22	2163.77	928.3	1015.93	1023.0	463.65	2796.65	406.31	1551.09	2468.49	215.77	307.69	603.67	120.94	361.04	387.02	4152.18
PLXNC1	69.52	91.41	82.87	5751.61	114.36	32.82	62.12	208.38	34.75	896.64	392.44	339.14	2627.46	120.94	256.78	323.03	204.07	194.36	249.73	339.14	665.29	102.97	371.22	253.23	143.01	599.49	109.66	35.5	84.04	285.03	656.11
PPA1	2451.44	1896.65	2835.7	9025.81	1991.0	1540.37	2255.7	3081.75	3235.01	7803.01	4836.35	5183.54	1819.35	2271.4	3443.31	6561.36	5219.6	1388.16	5255.91	1709.26	7803.01	2739.08	3716.2	4210.15	3039.3	2520.38	6079.61	2303.12	3614.55	2915.45	4972.34
PROK2	6.46	1.46	11.82	6935.54	7.28	1.1	4.58	7.51	2.46	503.95	220.32	334.46	1216.75	8.38	87.65	114.36	96.01	6.73	289.02	10.0	66.65	19.25	141.02	327.56	24.28	20.71	20.41	5.28	17.9	33.78	92.7
PTEN	896.64	529.06	536.45	12589.08	836.53	470.14	1216.75	1015.93	525.39	3190.46	1467.37	1151.06	3742.05	967.76	466.88	1037.29	1467.37	713.11	1605.83	713.11	2133.97	660.68	1697.45	447.82	358.54	551.56	438.59	802.41	387.02	688.78	2701.35
PTPRC	127.89	83.45	95.34	7433.4	202.66	21.01	36.53	177.53	1001.93	13306.94	5791.62	6381.92	7433.4	1044.52	521.76	4903.87	2119.22	1477.58	3018.3	1427.22	7433.4	599.49	6207.38	2664.15	248.0	397.93	2255.7	273.37	651.58	1331.57	7857.29
