	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07
CLPX	769.69	748.61	275.28	718.08	642.59	414.87	403.5	743.43	307.69	454.09	435.55	647.07	435.55	514.56	470.14	351.14	571.05	463.65	733.19	409.15	559.28	387.02	493.56	441.64	265.87	289.02	854.13	366.09	368.65	373.81	363.56	473.41	521.76	579.04	460.44	759.08	713.11	320.8	348.71	395.18	878.17	507.46	312.0	525.39	647.07	497.0	514.56	312.0	441.64	277.2	363.56	384.34	420.68	409.15
CNOT6L	511.0	493.56	104.42	423.61	470.14	171.45	204.07	503.95	201.25	224.97	193.01	366.09	228.13	215.77	167.9	191.67	202.66	195.72	457.25	187.71	400.71	199.85	267.73	239.52	201.25	102.97	518.15	140.04	191.67	155.5	159.9	323.03	353.59	325.29	205.5	403.5	234.57	143.01	170.25	167.9	518.15	256.78	136.19	181.28	473.41	218.79	301.33	153.34	197.09	132.44	183.82	204.07	149.12	191.67
CREBRF	400.71	297.17	68.55	297.17	403.5	52.08	124.37	351.14	135.24	123.5	110.43	181.28	98.73	167.9	97.36	111.21	172.65	97.36	287.01	121.79	208.38	90.14	135.24	128.79	43.32	53.57	348.71	104.42	79.45	115.97	97.36	175.07	137.14	221.86	121.79	253.23	190.34	101.54	120.94	100.13	435.55	147.06	63.0	103.69	287.01	110.43	226.54	102.25	134.3	102.97	117.6	156.59	98.04	104.42
CTDSP2	2591.27	1628.26	612.11	2835.7	2701.35	802.41	1350.18	2178.83	896.64	1529.73	1167.14	2032.85	995.0	1407.55	796.86	1233.75	1208.34	1111.82	1923.14	941.27	1572.76	785.88	1331.57	1794.29	511.0	775.05	2591.27	775.05	1059.11	1159.07	1331.57	2133.97	1447.15	1697.45	1127.35	1936.53	1991.0	921.88	1008.9	1378.57	3103.19	1350.18	830.75	1183.45	1936.53	2004.85	1617.0	995.0	1651.0	688.78	988.12	1457.23	1183.45	1331.57
CTDSPL2	368.65	346.29	87.03	406.31	503.95	135.24	181.28	366.09	138.1	178.77	155.5	273.37	189.02	151.22	121.79	148.09	193.01	151.22	316.37	136.19	258.57	149.12	228.13	159.9	87.65	73.03	348.71	122.64	107.38	133.36	132.44	217.27	229.72	251.48	143.01	406.31	231.32	120.1	137.14	99.43	420.68	194.36	104.42	177.53	392.44	164.42	249.73	126.12	161.02	92.05	153.34	170.25	125.24	135.24
DAAM1	583.07	723.08	150.17	819.3	713.11	336.79	460.44	954.43	323.03	486.75	371.22	638.15	521.76	389.72	253.23	339.14	540.19	493.56	1001.93	320.8	633.73	305.55	525.39	361.04	234.57	198.47	854.13	205.5	231.32	260.38	271.48	540.19	511.0	718.08	366.09	860.08	669.92	341.51	291.04	246.28	785.88	559.28	248.0	483.38	748.61	463.65	603.67	251.48	486.75	332.14	318.57	361.04	299.25	275.28
DCUN1D1	450.94	447.82	112.77	525.39	525.39	181.28	237.86	450.94	173.85	236.21	171.45	500.46	212.78	226.54	165.57	205.5	239.52	191.67	500.46	154.42	395.18	167.9	185.11	248.0	102.97	102.97	490.14	141.02	121.79	165.57	134.3	305.55	450.94	409.15	283.05	450.94	327.56	153.34	173.85	153.34	551.56	255.0	153.34	223.41	616.37	231.32	343.89	124.37	223.41	144.01	170.25	191.67	185.11	180.02
DDX6	1023.0	1044.52	156.59	1104.13	1127.35	432.53	511.0	1167.14	320.8	555.41	409.15	866.07	559.28	435.55	309.83	444.72	511.0	460.44	791.35	246.28	796.86	341.51	607.87	400.71	167.9	157.68	1216.75	201.25	173.85	341.51	211.31	698.41	825.0	866.07	551.56	1183.45	785.88	348.71	327.56	204.07	1233.75	656.11	197.09	493.56	1167.14	591.22	753.83	217.27	417.77	289.02	305.55	486.75	312.0	384.34
DENND4C	525.39	518.15	119.26	679.29	723.08	218.79	287.01	607.87	197.09	366.09	232.94	536.45	336.79	256.78	186.4	211.31	346.29	275.28	674.59	239.52	450.94	206.94	309.83	312.0	88.26	120.1	629.35	141.02	167.9	217.27	211.31	387.02	473.41	389.72	299.25	525.39	253.23	208.38	198.47	194.36	1127.35	381.68	181.28	332.14	665.29	361.04	387.02	154.42	256.78	153.34	190.34	297.17	226.54	323.03
DIEXF	140.04	99.43	59.55	133.36	97.36	68.07	72.52	117.6	34.51	87.65	73.54	105.89	88.88	66.18	37.05	76.17	75.11	71.0	73.54	63.45	88.88	43.94	63.45	92.05	40.64	41.52	119.26	49.91	49.21	53.57	62.56	82.29	105.15	91.41	76.71	84.63	90.77	49.21	56.28	62.12	143.01	87.03	43.63	85.82	102.25	142.01	104.42	37.59	78.89	45.85	61.25	62.56	66.65	73.03
EIF3A	2417.67	2875.3	902.89	2591.27	2255.7	1923.14	1709.26	2335.28	1216.75	1674.06	2018.8	2148.82	1936.53	1806.78	1378.57	1781.89	2255.7	1832.01	1806.78	1674.06	2133.97	1551.09	1199.98	1923.14	872.1	819.3	2816.11	1561.89	1143.1	1467.37	1008.9	1963.57	1950.0	2591.27	2163.77	2468.49	2240.11	1832.01	1551.09	1008.9	2573.36	1857.6	1277.29	1551.09	2303.12	1832.01	2319.15	909.17	1662.49	1030.12	1427.22	1175.27	1709.26	1457.23
ERCC6	141.02	111.21	34.26	134.3	127.0	69.03	59.55	144.01	78.34	76.17	60.39	98.04	77.79	78.89	57.49	80.57	66.65	76.17	90.77	63.0	99.43	66.18	74.58	65.72	41.22	46.18	142.01	45.21	43.02	43.94	62.12	102.25	106.63	106.63	81.71	122.64	99.43	59.97	59.97	48.52	165.57	84.63	55.49	90.14	127.0	99.43	112.77	63.45	87.65	42.71	70.51	90.77	58.71	73.54
ERLIN1	454.09	571.05	180.02	567.1	583.07	279.14	361.04	500.46	172.65	339.14	303.44	483.38	361.04	309.83	218.79	215.77	361.04	348.71	603.67	262.2	466.88	187.71	211.31	329.84	146.03	145.02	412.0	176.29	186.4	301.33	199.85	417.77	379.04	444.72	285.03	490.14	426.57	277.2	273.37	212.78	571.05	312.0	165.57	361.04	708.18	242.88	559.28	211.31	351.14	234.57	171.45	260.38	234.57	217.27
ESF1	237.86	190.34	81.14	279.14	297.17	137.14	137.14	215.77	135.24	180.02	185.11	220.32	182.55	145.02	123.5	127.0	198.47	143.01	234.57	177.53	181.28	165.57	181.28	193.01	74.58	82.29	201.25	135.24	76.17	143.01	130.6	159.9	208.38	108.9	191.67	224.97	218.79	118.43	154.42	124.37	214.27	181.28	117.6	149.12	246.28	224.97	199.85	100.83	155.5	104.42	157.68	153.34	167.9	147.06
FAM160A1	140.04	119.26	26.28	156.59	131.51	51.71	42.11	170.25	38.67	57.49	31.67	96.68	76.71	50.27	76.17	35.5	40.93	56.28	95.34	20.11	85.82	41.81	76.17	41.52	25.35	21.63	186.4	14.45	28.86	42.11	20.41	92.05	130.6	90.14	82.29	358.54	103.69	28.86	47.17	23.25	215.77	60.39	30.34	59.55	129.69	61.25	62.56	40.36	56.68	28.86	31.67	48.52	38.12	26.28
FAM21C	612.11	507.46	182.55	624.99	587.13	387.02	384.34	587.13	253.23	493.56	366.09	616.37	343.89	423.61	269.6	224.97	559.28	392.44	518.15	341.51	358.54	346.29	441.64	460.44	133.36	215.77	674.59	199.85	194.36	241.19	329.84	525.39	595.34	470.14	348.71	366.09	563.18	376.41	323.03	258.57	1167.14	476.71	172.65	457.25	642.59	379.04	429.54	293.07	376.41	204.07	323.03	476.71	466.88	518.15
FOXJ3	603.67	603.67	320.8	733.19	579.04	420.68	503.95	607.87	551.56	463.65	529.06	616.37	476.71	447.82	371.22	466.88	493.56	450.94	587.13	450.94	638.15	432.53	579.04	500.46	361.04	287.01	703.28	381.68	536.45	473.41	470.14	547.75	466.88	543.96	591.22	647.07	679.29	414.87	397.93	432.53	688.78	483.38	314.17	473.41	642.59	457.25	555.41	403.5	490.14	409.15	414.87	470.14	406.31	454.09
FRS2	236.21	293.07	58.3	327.56	395.18	109.66	113.56	332.14	132.44	149.12	129.69	202.66	141.02	120.94	102.25	120.1	154.42	134.3	287.01	115.97	209.84	124.37	163.28	194.36	50.63	55.49	305.55	75.11	85.82	202.66	87.65	208.38	208.38	228.13	159.9	275.28	228.13	107.38	125.24	88.26	334.46	166.73	70.51	170.25	287.01	181.28	220.32	73.03	149.12	84.04	120.94	143.01	92.05	99.43
GAB1	145.02	234.57	18.56	223.41	228.13	59.97	77.79	220.32	52.08	130.6	74.58	126.12	52.45	94.67	48.87	53.95	100.13	79.45	152.28	73.03	136.19	71.5	169.07	108.9	6.89	29.48	231.32	53.57	53.95	64.34	73.54	144.01	105.89	121.79	133.36	138.1	147.06	61.68	47.5	52.45	358.54	97.36	44.57	82.87	167.9	139.07	158.79	62.12	95.34	46.84	60.39	109.66	54.33	90.77
GLTSCR1L	334.46	327.56	95.34	334.46	312.0	182.55	194.36	353.59	158.79	199.85	171.45	260.38	244.57	182.55	135.24	177.53	237.86	204.07	316.37	172.65	269.6	156.59	237.86	271.48	84.63	75.11	412.0	98.04	114.36	145.02	127.89	239.52	228.13	283.05	246.28	332.14	253.23	185.11	175.07	119.26	376.41	208.38	116.78	209.84	299.25	228.13	281.09	149.12	180.02	141.02	165.57	199.85	155.5	153.34
HEATR1	260.38	214.27	81.71	249.73	241.19	120.1	114.36	244.57	94.01	137.14	125.24	205.5	156.59	122.64	92.7	119.26	120.1	118.43	152.28	84.04	195.72	93.35	79.45	139.07	51.35	70.51	232.94	79.45	71.5	108.14	90.77	176.29	197.09	180.02	149.12	236.21	156.59	111.21	101.54	79.45	258.57	156.59	78.34	130.6	232.94	215.77	189.02	82.87	126.12	62.56	104.42	132.44	117.6	111.21
HELZ	197.09	220.32	59.13	237.86	256.78	84.04	111.99	260.38	92.7	133.36	110.43	172.65	127.0	115.16	91.41	88.88	134.3	102.25	197.09	91.41	170.25	89.51	166.73	125.24	53.57	50.27	277.2	63.0	60.82	74.58	85.82	144.01	163.28	173.85	103.69	234.57	157.68	97.36	101.54	84.04	285.03	138.1	71.0	111.21	191.67	98.04	180.02	78.34	108.14	74.06	103.69	141.02	85.22	112.77
HOOK1	429.54	351.14	100.13	575.03	420.68	198.47	163.28	368.65	120.1	273.37	170.25	325.29	255.0	176.29	199.85	159.9	239.52	166.73	275.28	185.11	299.25	138.1	476.71	182.55	127.0	99.43	591.22	108.9	229.72	145.02	144.01	164.42	303.44	264.03	346.29	379.04	224.97	120.94	153.34	119.26	493.56	212.78	164.42	226.54	423.61	209.84	329.84	111.99	134.3	111.21	136.19	169.07	205.5	232.94
INADL	780.44	511.0	251.48	599.49	718.08	353.59	379.04	514.56	356.05	356.05	400.71	547.75	397.93	381.68	414.87	327.56	486.75	356.05	392.44	353.59	420.68	454.09	674.59	417.77	271.48	221.86	486.75	147.06	339.14	287.01	242.88	387.02	470.14	363.56	426.57	656.11	521.76	318.57	343.89	363.56	567.1	381.68	289.02	341.51	417.77	470.14	518.15	297.17	366.09	185.11	363.56	409.15	318.57	376.41
IREB2	571.05	500.46	144.01	629.35	563.18	241.19	262.2	595.34	173.85	289.02	239.52	503.95	293.07	279.14	241.19	220.32	420.68	271.48	392.44	246.28	473.41	228.13	332.14	305.55	136.19	155.5	638.15	167.9	204.07	202.66	220.32	332.14	356.05	470.14	293.07	708.18	490.14	239.52	218.79	236.21	764.36	323.03	154.42	295.11	507.46	256.78	392.44	164.42	291.04	181.28	209.84	299.25	264.03	253.23
JARID2	164.42	165.57	57.49	267.73	189.02	94.01	146.03	193.01	96.01	165.57	139.07	167.9	115.16	127.89	120.1	121.79	171.45	123.5	156.59	108.9	142.01	92.7	112.77	223.41	70.01	79.45	255.0	73.03	79.45	108.14	111.99	140.04	146.03	156.59	131.51	121.79	220.32	108.9	92.7	98.73	218.79	147.06	66.18	135.24	178.77	183.82	138.1	87.65	124.37	88.88	110.43	134.3	131.51	122.64
KDM3A	624.99	486.75	220.32	738.29	728.11	289.02	389.72	551.56	264.03	500.46	426.57	490.14	379.04	563.18	371.22	307.69	457.25	376.41	684.02	351.14	412.0	435.55	753.83	521.76	150.17	249.73	575.03	336.79	348.71	262.2	376.41	460.44	409.15	336.79	341.51	503.95	532.74	316.37	373.81	361.04	693.58	412.0	260.38	438.59	518.15	403.5	490.14	291.04	366.09	260.38	414.87	438.59	353.59	400.71
KIAA0754	66.65	44.57	1.2	96.01	65.26	13.52	18.56	121.79	4.5	25.54	15.8	48.52	27.64	22.26	8.85	12.64	25.72	12.93	33.3	6.36	33.06	7.75	19.11	24.99	1.43	1.23	107.38	3.69	2.16	11.21	4.21	40.64	59.13	60.39	26.67	53.95	40.07	14.35	8.13	3.35	111.21	38.12	2.16	34.02	69.03	20.86	53.19	3.86	21.94	3.76	9.63	25.72	10.71	12.0
KIAA0947	228.13	226.54	85.82	291.04	265.87	149.12	154.42	249.73	116.78	171.45	149.12	234.57	156.59	141.02	111.21	124.37	186.4	139.07	198.47	132.44	194.36	125.24	156.59	190.34	98.04	88.26	285.03	96.01	102.25	126.12	113.56	193.01	187.71	208.38	161.02	271.48	190.34	129.69	125.24	134.3	297.17	165.57	96.68	161.02	246.28	202.66	218.79	102.25	164.42	112.77	117.6	161.02	124.37	128.79
KLK2	217400.14	246289.25	520665.48	163620.18	189257.69	391864.76	329517.51	225066.78	284880.02	353168.2	324980.94	236256.4	350728.68	378516.38	334117.42	341137.96	311742.51	378516.38	318292.9	383800.28	303217.87	280957.98	386469.83	360589.03	341137.96	443937.41	182810.84	338781.54	269512.87	363097.14	324980.94	294926.33	329517.51	320506.81	373305.21	320506.81	301123.38	419990.32	284880.02	311742.51	139508.13	324980.94	279017.26	355624.68	221968.2	437825.58	280957.98	265802.39	331809.5	244588.0	375901.76	365622.68	383800.28	402881.61
LARP4B	842.36	947.83	384.34	981.29	728.11	603.67	629.35	1008.9	525.39	759.08	571.05	860.08	559.28	651.58	571.05	587.13	708.18	688.78	529.06	599.49	775.05	486.75	860.08	629.35	389.72	429.54	1088.92	435.55	486.75	486.75	583.07	703.28	769.69	1008.9	669.92	830.75	1096.5	603.67	540.19	441.64	1066.48	733.19	412.0	642.59	967.76	620.67	718.08	490.14	633.73	480.04	493.56	583.07	674.59	679.29
LATS1	363.56	363.56	93.35	387.02	417.77	175.07	194.36	368.65	167.9	198.47	195.72	307.69	246.28	194.36	131.51	175.07	236.21	170.25	332.14	199.85	309.83	149.12	277.2	208.38	77.25	90.77	426.57	116.78	130.6	153.34	150.17	224.97	269.6	291.04	223.41	341.51	258.57	166.73	143.01	133.36	441.64	212.78	110.43	191.67	346.29	201.25	277.2	127.0	159.9	134.3	154.42	202.66	140.04	167.9
LCOR	277.2	341.51	53.57	265.87	293.07	220.32	111.99	316.37	157.68	181.28	152.28	181.28	161.02	138.1	103.69	128.79	143.01	158.79	297.17	141.02	269.6	165.57	104.42	172.65	107.38	67.12	384.34	111.99	89.51	117.6	74.06	187.71	293.07	242.88	218.79	279.14	211.31	103.69	134.3	76.71	287.01	175.07	80.57	118.43	248.0	113.56	214.27	81.71	115.16	90.77	128.79	135.24	102.25	112.77
MBTD1	246.28	176.29	78.34	307.69	264.03	118.43	127.89	234.57	92.05	159.9	163.28	297.17	169.07	136.19	95.34	109.66	178.77	162.14	204.07	177.53	211.31	122.64	295.11	229.72	75.11	83.45	351.14	85.22	97.36	85.22	194.36	180.02	209.84	208.38	175.07	181.28	289.02	121.79	138.1	122.64	275.28	172.65	96.01	190.34	279.14	212.78	189.02	110.43	139.07	109.66	167.9	215.77	151.22	186.4
MCMBP	633.73	647.07	291.04	642.59	759.08	356.05	473.41	420.68	438.59	532.74	406.31	532.74	395.18	457.25	343.89	406.31	406.31	376.41	603.67	389.72	532.74	361.04	373.81	547.75	336.79	320.8	575.03	406.31	316.37	511.0	320.8	518.15	563.18	559.28	571.05	583.07	579.04	320.8	348.71	366.09	769.69	426.57	316.37	435.55	607.87	587.13	529.06	343.89	414.87	376.41	341.51	409.15	366.09	400.71
MED13L	490.14	514.56	87.03	674.59	738.29	155.5	277.2	575.03	208.38	312.0	223.41	426.57	264.03	256.78	291.04	237.86	314.17	241.19	447.82	169.07	441.64	197.09	432.53	444.72	78.89	90.14	674.59	127.0	139.07	309.83	166.73	395.18	356.05	429.54	403.5	620.67	559.28	167.9	204.07	154.42	688.78	303.44	137.14	218.79	518.15	348.71	379.04	169.07	260.38	153.34	211.31	368.65	182.55	246.28
MGA	242.88	237.86	68.07	295.11	287.01	105.15	127.89	291.04	105.89	121.79	119.26	215.77	141.02	98.73	63.89	109.66	161.02	111.99	185.11	90.77	206.94	105.89	180.02	161.02	61.68	54.72	305.55	72.52	69.03	90.77	82.29	178.77	170.25	211.31	141.02	281.09	208.38	115.16	96.68	81.14	332.14	149.12	73.03	138.1	239.52	135.24	183.82	81.14	129.69	78.89	83.45	139.07	100.83	108.14
MKL2	579.04	547.75	54.72	507.46	514.56	156.59	169.07	518.15	115.16	197.09	193.01	400.71	194.36	223.41	131.51	157.68	314.17	193.01	395.18	112.77	371.22	131.51	260.38	251.48	52.82	50.98	674.59	101.54	98.04	242.88	102.25	389.72	293.07	395.18	249.73	503.95	351.14	173.85	136.19	120.1	669.92	275.28	69.52	232.94	529.06	237.86	384.34	118.43	212.78	134.3	149.12	277.2	116.78	137.14
MPHOSPH8	872.1	884.29	514.56	981.29	1073.91	444.72	651.58	921.88	450.94	633.73	607.87	819.3	679.29	669.92	389.72	457.25	713.11	500.46	1015.93	688.78	684.02	432.53	688.78	679.29	341.51	432.53	748.61	490.14	511.0	432.53	599.49	728.11	708.18	595.34	599.49	616.37	656.11	567.1	575.03	647.07	1096.5	669.92	441.64	660.68	785.88	514.56	791.35	507.46	884.29	480.04	567.1	651.58	603.67	607.87
MTX3	145.02	153.34	15.34	153.34	166.73	52.45	76.17	145.02	31.0	88.88	53.19	118.43	89.51	68.07	34.02	38.12	78.34	66.65	157.68	40.36	116.78	48.52	84.04	108.9	11.47	15.22	212.78	16.03	6.62	40.93	22.1	87.65	108.9	135.24	58.3	130.6	112.77	47.5	56.68	17.13	175.07	92.7	15.45	72.52	149.12	52.08	133.36	17.13	62.56	27.84	46.84	82.29	27.84	36.01
