	GTEX.11I78.1326.SM.5PNY9	GTEX.S4P3.0426.SM.4AD56	GTEX.VUSG.0126.SM.4KL1X	TCGA.38.4625.01A.01R.1206.07	GTEX.P4QT.1526.SM.3NMCT	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.1313W.0726.SM.5EGK1	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.ZYFG.0626.SM.5GZYA	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.YEC3.0826.SM.4WWFP	GTEX.T2IS.0626.SM.32QP6	GTEX.11DXX.0226.SM.5P9HL	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N
DMXL2	137.14	102.97	80.01	0.0	78.34	228.13	511.0	224.97	269.6	277.2	403.5	224.97	325.29	307.69	426.57	395.18	417.77	435.55	381.68	273.37	480.04	221.86	412.0	275.28	260.38	307.69	316.37	307.69
DNAL4	190.34	289.02	126.12	0.0	147.06	1175.27	1304.15	698.41	813.63	1159.07	1051.79	866.07	1277.29	941.27	1242.34	1151.06	884.29	1295.13	1242.34	769.69	1151.06	543.96	1127.35	703.28	848.22	896.64	718.08	1008.9
DYNC2LI1	166.73	236.21	94.01	291.04	224.97	1066.48	1066.48	665.29	733.19	1159.07	954.43	753.83	1051.79	947.83	988.12	961.07	1023.0	1167.14	1001.93	521.76	1111.82	514.56	775.05	748.61	693.58	785.88	603.67	954.43
EIF2D	796.86	612.11	775.05	0.0	567.1	1250.98	1388.16	848.22	866.07	1313.23	1572.76	915.51	1322.37	896.64	1378.57	1417.35	1551.09	1540.37	1359.57	825.0	1674.06	764.36	928.3	890.44	836.53	1127.35	884.29	1233.75
FAM136A	629.35	780.44	599.49	0.0	323.03	854.13	902.89	599.49	693.58	830.75	813.63	647.07	723.08	764.36	872.1	791.35	764.36	780.44	785.88	718.08	896.64	587.13	825.0	748.61	902.89	723.08	791.35	819.3
FAM181B	7.94	5.59	0.0	0.0	31.0	130.6	104.42	36.01	31.45	68.07	78.89	74.06	44.57	14.14	195.72	63.45	76.71	72.52	124.37	18.29	47.5	26.28	105.89	44.89	40.07	34.75	34.75	54.33
FAM218A	0.53	0.0	0.12	0.0	4.86	208.38	142.01	54.33	95.34	127.0	142.01	38.4	167.9	56.68	177.53	141.02	152.28	158.79	143.01	31.45	186.4	27.05	89.51	75.11	44.25	71.0	68.55	120.94
FAM86B1	70.01	73.03	1.36	0.0	8.65	239.52	323.03	193.01	68.55	248.0	281.09	93.35	387.02	193.01	463.65	224.97	432.53	287.01	279.14	92.05	303.44	102.25	100.83	190.34	98.04	144.01	206.94	100.83
FLNB	1757.34	1883.54	759.08	0.0	1651.0	2520.38	2701.35	1832.01	1819.35	2537.92	2976.74	1844.76	2758.13	1896.65	3060.45	2855.44	2956.17	3018.3	2777.33	1781.89	3515.68	1685.71	1896.65	1857.6	1991.0	2004.85	1639.59	2555.58
FN3KRP	470.14	373.81	490.14	0.0	473.41	836.53	934.76	753.83	665.29	629.35	759.08	612.11	836.53	633.73	1073.91	825.0	796.86	967.76	921.88	591.22	728.11	595.34	587.13	579.04	555.41	642.59	651.58	559.28
GATM	376.41	503.95	15075.35	0.0	140.04	4607.24	1950.0	264.03	281.09	1295.13	1135.2	409.15	1896.65	591.22	2224.63	1561.89	571.05	1685.71	2627.46	212.78	2133.97	217.27	1322.37	217.27	1030.12	764.36	583.07	941.27
GDPD1	19.97	2.66	13.03	0.0	9.93	111.99	93.35	27.05	37.85	88.26	87.03	67.59	85.22	74.06	103.69	43.63	48.52	76.17	130.6	48.52	132.44	23.25	54.33	50.27	42.41	53.19	46.84	47.17
HMGN1	1857.6	3955.48	1059.11	0.0	1167.14	7331.05	6561.36	4937.99	4095.0	7331.05	6426.31	4152.18	6079.61	4388.98	6699.25	5995.9	6887.62	7081.29	4972.34	3589.58	7280.4	3443.31	4836.35	5292.48	4671.57	4607.24	4038.61	6121.9
HMGN2	4010.71	6471.02	1331.57	10585.95	4066.71	22225.61	22225.61	13306.94	10014.87	18560.17	20593.91	10440.2	21617.82	12415.75	24660.96	20451.65	20737.16	23009.42	17804.06	10154.69	21919.61	9474.59	11112.3	11345.82	12160.22	13306.94	10368.08	15934.98
INTS8	412.0	371.22	248.0	0.0	267.73	525.39	748.61	376.41	483.38	532.74	713.11	429.54	447.82	587.13	629.35	688.78	389.72	420.68	769.69	457.25	511.0	480.04	503.95	599.49	429.54	480.04	454.09	476.71
IQCK	97.36	71.0	94.67	0.0	157.68	1583.71	1175.27	1104.13	961.07	1733.13	1268.46	660.68	1143.1	785.88	1199.98	1030.12	1104.13	1225.22	1183.45	890.44	1359.57	633.73	995.0	1008.9	928.3	1088.92	759.08	848.22
KIAA1324	18.7	12.0	12.93	0.0	10.79	743.43	514.56	301.33	63.45	616.37	123.5	432.53	616.37	395.18	995.0	1135.2	217.27	518.15	152.28	64.34	1159.07	195.72	660.68	130.6	703.28	241.19	432.53	151.22
KIAA1841	202.66	187.71	244.57	212.78	94.01	808.0	753.83	228.13	299.25	633.73	669.92	267.73	679.29	409.15	854.13	708.18	314.17	665.29	961.07	269.6	679.29	285.03	521.76	511.0	166.73	409.15	256.78	376.41
LONP2	587.13	599.49	612.11	1151.06	438.59	1001.93	1417.35	974.5	1073.91	1015.93	1350.18	679.29	1081.39	878.17	1594.73	1250.98	1242.34	1015.93	1104.13	878.17	1295.13	723.08	884.29	769.69	738.29	902.89	733.19	1250.98
LYRM9	115.16	35.76	68.55	0.0	314.17	1639.59	1628.26	941.27	1015.93	1388.16	1662.49	579.04	1605.83	1208.34	1769.57	1467.37	1427.22	1794.29	1259.69	688.78	1551.09	470.14	1208.34	854.13	921.88	1015.93	934.76	1143.1
MBOAT1	126.12	148.09	41.22	265.87	48.87	155.5	447.82	97.36	199.85	180.02	260.38	105.89	269.6	144.01	341.51	305.55	181.28	236.21	346.29	114.36	279.14	105.89	68.55	137.14	94.67	153.34	84.63	271.48
MYCBPAP	0.34	2.27	0.0	0.0	2.53	51.35	80.01	17.64	18.84	25.17	53.57	24.81	53.57	15.56	78.34	43.32	78.34	32.36	54.72	20.71	13.12	10.71	16.15	9.56	7.06	21.32	9.63	20.71
NAE1	836.53	693.58	366.09	0.0	660.68	819.3	954.43	616.37	703.28	802.41	981.29	559.28	769.69	775.05	878.17	830.75	890.44	791.35	921.88	651.58	934.76	660.68	830.75	633.73	703.28	698.41	769.69	921.88
NELL2	1.71	10.0	7.75	0.0	78.89	928.3	825.0	251.48	43.02	1286.18	258.57	64.8	1008.9	141.02	947.83	854.13	253.23	426.57	205.5	30.78	603.67	157.68	332.14	12.45	81.71	124.37	318.57	497.0
NTRK2	1.36	113.56	17.13	0.0	116.78	7032.37	3491.39	1745.2	1936.53	5517.27	3395.89	2047.0	5255.91	1909.85	4481.23	5831.91	2434.5	3742.05	5791.62	1417.35	5076.84	1447.15	1437.15	2384.37	1674.06	2627.46	2193.99	2255.7
OARD1	293.07	327.56	571.05	0.0	202.66	1313.23	1143.1	896.64	854.13	1199.98	1268.46	769.69	1359.57	1037.29	1350.18	1259.69	974.5	1119.56	1199.98	802.41	1407.55	620.67	947.83	1001.93	698.41	1023.0	854.13	1143.1
ORC4	334.46	454.09	457.25	0.0	228.13	819.3	890.44	563.18	612.11	733.19	860.08	551.56	764.36	679.29	974.5	764.36	775.05	808.0	819.3	536.45	808.0	500.46	764.36	693.58	638.15	759.08	511.0	698.41
PARD6G	64.8	339.14	28.45	0.0	137.14	872.1	454.09	351.14	435.55	638.15	555.41	273.37	518.15	412.0	679.29	414.87	414.87	819.3	733.19	447.82	529.06	307.69	559.28	320.8	567.1	500.46	454.09	559.28
PDRG1	341.51	271.48	183.82	0.0	483.38	567.1	607.87	536.45	325.29	466.88	575.03	412.0	591.22	490.14	579.04	571.05	571.05	575.03	624.99	403.5	647.07	368.65	463.65	466.88	466.88	500.46	379.04	583.07
PIFO	49.21	9.7	8.0	0.0	40.93	447.82	563.18	244.57	493.56	483.38	536.45	325.29	647.07	612.11	435.55	555.41	629.35	698.41	563.18	241.19	854.13	175.07	423.61	244.57	368.65	769.69	423.61	384.34
RGS9BP	3.76	0.41	0.0	0.0	1.1	7.46	4.13	0.92	1.36	4.54	6.36	3.41	5.41	2.71	6.21	5.92	6.01	6.26	6.01	2.39	4.06	1.36	2.23	3.44	1.71	3.63	2.27	1.69
RIBC1	5.96	17.77	0.39	0.0	19.68	193.01	277.2	112.77	105.15	194.36	273.37	86.43	285.03	121.79	251.48	218.79	193.01	181.28	218.79	85.82	293.07	55.1	112.77	109.66	67.59	108.14	93.35	157.68
SETMAR	224.97	212.78	85.82	0.0	312.0	780.44	551.56	547.75	454.09	500.46	896.64	444.72	679.29	532.74	909.17	595.34	624.99	825.0	624.99	540.19	642.59	341.51	540.19	563.18	454.09	738.29	473.41	633.73
SH3YL1	336.79	1135.2	400.71	0.0	251.48	2351.53	1936.53	981.29	1008.9	3018.3	2287.2	941.27	1697.45	1322.37	2468.49	1844.76	2555.58	1977.24	1628.26	941.27	2520.38	603.67	1594.73	878.17	1199.98	1407.55	1030.12	1844.76
SLC25A21-AS1	2.53	4.46	0.0	0.0	2.92	186.4	195.72	87.03	85.22	159.9	172.65	73.03	197.09	133.36	277.2	258.57	167.9	138.1	201.25	68.07	197.09	48.87	94.01	69.03	104.42	120.1	85.82	181.28
SLC38A6	64.8	63.45	59.97	0.0	42.11	169.07	293.07	169.07	201.25	264.03	283.05	169.07	253.23	218.79	232.94	241.19	193.01	248.0	237.86	205.5	246.28	171.45	223.41	170.25	177.53	224.97	164.42	208.38
SLC43A2	187.71	92.05	262.2	267.73	703.28	563.18	638.15	371.22	384.34	579.04	703.28	669.92	813.63	423.61	896.64	825.0	483.38	642.59	728.11	318.57	595.34	271.48	441.64	389.72	320.8	470.14	412.0	642.59
SMIM20	409.15	387.02	684.02	0.0	366.09	1286.18	1427.22	808.0	555.41	1583.71	1167.14	884.29	1331.57	934.76	1135.2	934.76	1295.13	1427.22	1340.84	738.29	1286.18	616.37	1143.1	941.27	854.13	1073.91	878.17	1135.2
SPEF2	8.85	18.56	2.94	0.0	6.57	329.84	457.25	187.71	218.79	368.65	379.04	182.55	285.03	271.48	450.94	423.61	353.59	368.65	403.5	123.5	373.81	111.99	165.57	180.02	127.0	295.11	242.88	229.72
TG	9.13	13.93	119.26	0.0	18.97	2068278.89	828417.36	2247670.86	2126426.15	2375828.71	1622738.51	1997825.68	1535204.12	1997825.68	894051.48	1355129.16	2986448.72	2425749.94	1318073.06	1943195.01	1589343.01	731246.37	2636147.11	2263304.65	3178687.03	3886391.01	2263304.65	2672946.37
TIGD7	43.63	31.0	5.41	0.0	47.84	379.04	361.04	285.03	260.38	323.03	346.29	231.32	303.44	301.33	441.64	348.71	314.17	358.54	356.05	190.34	400.71	248.0	291.04	269.6	212.78	297.17	273.37	273.37
TMEM107	88.88	107.38	63.0	0.0	244.57	743.43	679.29	698.41	842.36	769.69	947.83	551.56	796.86	633.73	878.17	830.75	775.05	836.53	825.0	651.58	728.11	476.71	764.36	511.0	684.02	884.29	457.25	854.13
TMEM27	3.44	9.06	72.52	0.0	4.62	161.02	60.39	54.72	41.52	126.12	95.34	33.06	134.3	53.95	115.97	96.68	113.56	105.15	103.69	29.27	110.43	18.03	65.26	45.21	39.79	55.89	58.71	99.43
UPP2	0.0	0.0	0.11	0.0	0.0	4.43	7.06	0.96	2.36	2.29	2.76	0.0	4.1	2.97	5.59	2.66	6.78	5.15	2.76	1.68	2.73	0.0	2.63	1.53	0.37	0.4	0.0	2.71
ZDHHC6	400.71	748.61	258.57	0.0	264.03	884.29	1023.0	647.07	684.02	785.88	1015.93	595.34	848.22	733.19	967.76	1015.93	974.5	796.86	961.07	571.05	1119.56	547.75	743.43	759.08	599.49	848.22	738.29	759.08
ZFP2	22.59	3.03	5.11	0.0	17.64	102.97	104.42	45.85	61.25	73.03	110.43	43.94	84.63	49.21	127.0	76.17	80.57	103.69	113.56	49.56	106.63	37.59	59.97	47.17	55.1	66.65	55.1	62.56
ZMYM6NB	373.81	208.38	607.87	0.0	713.11	2485.67	1561.89	1268.46	583.07	2133.97	1617.0	1143.1	1733.13	1529.73	1662.49	1721.16	1697.45	1909.85	1819.35	1175.27	2047.0	1259.69	1639.59	1359.57	1437.15	981.29	1081.39	1551.09
ZMYND12	1.5	7.51	30.12	0.0	15.34	414.87	279.14	120.1	94.67	283.05	248.0	63.89	279.14	152.28	366.09	223.41	204.07	318.57	206.94	100.13	353.59	61.25	191.67	118.43	148.09	158.79	114.36	165.57
ZNF117	30.78	83.45	24.11	0.0	13.72	96.01	137.14	98.04	67.12	83.45	139.07	80.57	123.5	88.88	128.79	128.79	87.03	113.56	128.79	82.87	104.42	69.52	90.77	93.35	43.94	87.65	74.58	79.45
ZNF415	130.6	37.32	7.75	0.0	45.21	325.29	429.54	251.48	232.94	287.01	450.94	151.22	305.55	201.25	483.38	312.0	332.14	348.71	323.03	204.07	361.04	148.09	251.48	241.19	171.45	201.25	169.07	275.28
ZNF473	105.15	74.06	42.11	0.0	87.65	132.44	244.57	129.69	98.73	142.01	140.04	83.45	137.14	108.14	206.94	128.79	185.11	130.6	127.89	82.87	187.71	80.01	76.17	111.21	85.22	136.19	129.69	98.04
ZNF564	64.8	42.71	47.5	0.0	40.07	139.07	142.01	107.38	119.26	125.24	150.17	111.99	129.69	120.94	181.28	134.3	128.79	100.83	132.44	114.36	191.67	96.68	137.14	102.25	87.03	105.15	108.9	118.43
ZNF571	42.71	49.21	18.7	0.0	20.41	149.12	133.36	85.22	131.51	102.97	144.01	88.26	142.01	105.89	183.82	120.1	116.78	110.43	190.34	124.37	157.68	76.71	140.04	101.54	92.7	112.77	108.9	98.04
ZNF572	3.32	3.2	1.27	0.0	2.53	44.25	39.79	28.45	35.0	32.59	52.82	18.56	40.64	26.1	86.43	56.68	49.56	55.89	54.72	21.63	42.11	22.59	25.17	29.06	15.91	18.7	26.28	25.91
ZNF610	5.63	5.28	1.71	0.0	7.11	128.79	115.16	63.89	54.72	111.21	131.51	44.25	116.78	55.89	167.9	106.63	85.82	95.34	120.94	45.21	133.36	28.45	59.55	54.72	24.99	70.51	35.76	72.52
ZNF776	113.56	73.03	30.34	0.0	54.33	262.2	336.79	191.67	198.47	318.57	366.09	130.6	299.25	223.41	400.71	400.71	253.23	220.32	295.11	129.69	332.14	138.1	223.41	199.85	137.14	204.07	171.45	228.13
ZNHIT3	612.11	665.29	473.41	0.0	379.04	1286.18	1044.52	995.0	708.18	1096.5	1159.07	825.0	1096.5	967.76	1030.12	995.0	1023.0	1059.11	1259.69	688.78	1199.98	713.11	1015.93	954.43	848.22	954.43	884.29	915.51
