	TCGA.BJ.A0ZC.01A.12R.A13Y.07	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.ET.A39I.01A.11R.A19O.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.FY.A3NM.01A.11R.A21D.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A2CJ.01A.11R.A180.07	TCGA.FY.A3NP.01A.11R.A21D.07	TCGA.BJ.A0Z0.01A.11R.A10U.07	TCGA.EL.A3T6.11A.11R.A220.07	TCGA.EL.A3T1.11A.11R.A22L.07	TCGA.EL.A3H7.11A.11R.A21D.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZVT3.0726.SM.5GICN	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.117XS.0526.SM.5987Q	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.WVLH.0626.SM.3MJG7	GTEX.ZYFG.0626.SM.5GZYA	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13PVQ.0726.SM.5L3GI	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2
FAM53C	209.84	163.28	273.37	176.29	157.68	141.02	228.13	281.09	229.72	176.29	178.77	183.82	232.94	199.85	239.52	363.56	463.65	536.45	620.67	438.59	379.04	392.44	327.56	435.55	351.14	358.54	547.75	1369.04	438.59	536.45	356.05	521.76	356.05	301.33	371.22	269.6	389.72	334.46	334.46	603.67	307.69	400.71	356.05	420.68	281.09	1225.22	228.13	470.14	368.65	316.37	476.71	332.14	392.44	387.02	1001.93	441.64	325.29	218.79	309.83	343.89	353.59	521.76	429.54	361.04	323.03
FOSB	60.82	199.85	226.54	29.06	3.47	120.94	31.9	260.38	3.38	149.12	46.5	54.33	438.59	120.94	83.45	122.64	4639.29	5076.84	6561.36	25530.66	1583.71	157.68	3257.52	6516.03	890.44	17317.18	3257.52	32767.0	5441.3	1286.18	967.76	29327.18	406.31	423.61	753.83	293.07	1733.13	4328.55	624.99	32540.65	981.29	1857.6	1111.82	4836.35	769.69	15715.58	872.1	12329.98	3614.55	316.37	170568.48	346.29	316.37	262.2	35363.15	1051.79	141.02	389.72	406.31	312.0	281.09	2018.8	6887.62	603.67	50011.46
GBP1	368.65	215.77	209.84	93.35	185.11	137.14	142.01	277.2	249.73	287.01	228.13	198.47	703.28	181.28	228.13	228.13	6983.79	6745.86	8901.53	2163.77	1199.98	466.88	1350.18	2835.7	780.44	1447.15	854.13	8658.09	3190.46	3146.52	500.46	12415.75	780.44	1191.69	406.31	460.44	1175.27	651.58	1081.39	4836.35	848.22	1519.15	961.07	1685.71	490.14	9409.14	698.41	2935.74	665.29	532.74	11424.74	1081.39	500.46	669.92	2935.74	1073.91	591.22	358.54	547.75	603.67	902.89	1457.23	1697.45	579.04	3928.15
GPR183	17.25	12.74	101.54	29.7	4.5	6.46	16.15	36.27	118.43	28.45	13.22	52.08	69.52	36.79	16.27	8.25	1617.0	1295.13	1896.65	242.88	289.02	172.65	127.0	603.67	166.73	183.82	139.07	473.41	447.82	231.32	503.95	665.29	186.4	35.5	73.54	171.45	84.04	246.28	115.97	848.22	190.34	547.75	173.85	246.28	514.56	356.05	113.56	287.01	166.73	33.78	848.22	128.79	223.41	88.88	507.46	438.59	31.67	46.18	36.27	172.65	34.51	397.93	291.04	118.43	490.14
HBEGF	111.99	124.37	107.38	119.26	169.07	205.5	127.89	162.14	140.04	112.77	98.04	110.43	175.07	244.57	97.36	101.54	2645.74	2777.33	2367.9	1167.14	848.22	221.86	121.79	1477.58	679.29	2777.33	54.33	974.5	713.11	587.13	414.87	2417.67	231.32	287.01	119.26	307.69	201.25	420.68	293.07	1073.91	343.89	480.04	226.54	563.18	395.18	624.99	314.17	518.15	312.0	242.88	351.14	157.68	186.4	320.8	713.11	497.0	105.89	325.29	169.07	351.14	208.38	591.22	1340.84	94.67	1304.15
HNRNPH3	2209.26	3303.0	2682.69	1457.23	2287.2	1519.15	2835.7	2739.08	3039.3	2701.35	2816.11	3419.52	2997.45	3146.52	2915.45	3820.7	5711.87	5006.93	5441.3	3874.05	7130.55	4298.64	4123.49	5751.61	3639.7	4802.93	5711.87	5711.87	4152.18	7485.11	4704.07	6037.61	3325.99	3639.7	3847.29	3491.39	3212.66	4972.34	4419.52	4095.0	3742.05	3467.27	3614.55	3395.89	3982.99	5791.62	3039.3	4575.41	4512.4	3190.46	5672.41	3847.29	3982.99	4239.45	5366.37	4095.0	3690.52	2758.13	4181.07	3794.3	3690.52	5791.62	5672.41	3419.52	4010.71
IL6	10.71	7.34	7.57	6.21	9.78	5.15	12.93	7.22	3.59	25.54	10.47	14.89	26.86	11.38	2.23	4.31	2148.82	3491.39	4802.93	96.68	251.48	42.71	13.12	96.68	77.79	334.46	36.27	555.41	115.16	7485.11	417.77	92.7	14.35	56.28	57.89	260.38	187.71	197.09	25.35	679.29	57.89	293.07	22.75	85.82	1242.34	67.12	64.34	387.02	83.45	28.45	64.34	36.53	52.08	291.04	237.86	5329.3	12.0	194.36	38.4	309.83	75.64	4152.18	62.56	6.11	177.53
JMJD6	248.0	373.81	400.71	279.14	299.25	395.18	486.75	218.79	351.14	571.05	417.77	358.54	511.0	384.34	336.79	348.71	1242.34	1151.06	902.89	603.67	974.5	529.06	441.64	579.04	511.0	595.34	503.95	1008.9	723.08	1191.69	500.46	902.89	571.05	414.87	447.82	503.95	417.77	444.72	429.54	825.0	483.38	656.11	511.0	395.18	490.14	928.3	555.41	708.18	480.04	547.75	583.07	450.94	486.75	476.71	842.36	620.67	389.72	688.78	429.54	395.18	674.59	698.41	896.64	503.95	555.41
JOSD1	406.31	376.41	412.0	420.68	460.44	303.44	470.14	312.0	432.53	397.93	409.15	397.93	412.0	212.78	346.29	429.54	1096.5	1096.5	1151.06	551.56	1008.9	743.43	656.11	1127.35	616.37	738.29	343.89	1529.73	624.99	860.08	728.11	961.07	669.92	536.45	518.15	503.95	642.59	842.36	563.18	1119.56	713.11	813.63	532.74	591.22	703.28	1359.57	412.0	1037.29	688.78	567.1	785.88	703.28	454.09	633.73	1088.92	909.17	571.05	555.41	555.41	748.61	483.38	785.88	669.92	466.88	500.46
JUNB	866.07	1896.65	3716.2	791.35	830.75	967.76	1175.27	2609.3	348.71	2720.15	1199.98	1104.13	2855.44	1340.84	1331.57	2417.67	10225.32	9876.98	8538.88	16496.96	11035.54	2997.45	2664.15	7695.57	3768.09	11909.94	3742.05	14867.79	8134.41	16727.26	6699.25	12160.22	3665.02	3212.66	2090.03	3419.52	4481.23	5872.48	2351.53	9945.68	5913.33	8778.97	3589.58	7130.55	13776.25	12244.81	6079.61	11504.21	3955.48	1781.89	16611.71	1662.49	2609.3	6121.9	10296.45	8134.41	1572.76	5791.62	2061.24	4450.27	3665.02	11992.79	12329.98	1457.23	9215.48
JUND	718.08	2319.15	1617.0	860.08	1639.59	1159.07	1936.53	1781.89	780.44	1806.78	2319.15	1167.14	2178.83	836.53	1127.35	967.76	20451.65	11424.74	16157.44	12853.63	7130.55	4639.29	3794.3	11584.24	2855.44	9279.58	7280.4	20451.65	8538.88	7857.29	5366.37	17078.76	3794.3	3540.14	2739.08	2915.45	4358.66	4972.34	3467.27	9945.68	3690.52	5633.22	2895.31	6079.61	5791.62	12764.83	5403.7	12160.22	4512.4	3280.18	20170.07	2287.2	3665.02	5219.6	15392.14	2935.74	2400.97	4512.4	3395.89	3103.19	3103.19	8598.28	4639.29	4607.24	13492.72
KDM6B	202.66	204.07	260.38	158.79	228.13	190.34	303.44	285.03	249.73	215.77	171.45	141.02	212.78	167.9	211.31	269.6	1277.29	2061.24	1572.76	547.75	884.29	376.41	397.93	780.44	293.07	543.96	575.03	1286.18	551.56	551.56	329.84	603.67	358.54	237.86	285.03	420.68	341.51	426.57	271.48	1199.98	343.89	406.31	297.17	327.56	511.0	775.05	307.69	854.13	417.77	217.27	507.46	309.83	384.34	376.41	1159.07	647.07	244.57	218.79	301.33	339.14	384.34	1369.04	447.82	353.59	656.11
KLF10	490.14	450.94	503.95	283.05	450.94	241.19	269.6	1066.48	329.84	262.2	397.93	607.87	567.1	305.55	406.31	518.15	2976.74	4239.45	3060.45	1781.89	1208.34	693.58	656.11	595.34	616.37	909.17	384.34	599.49	813.63	1135.2	1359.57	1322.37	480.04	866.07	780.44	1081.39	738.29	1313.23	693.58	1870.53	769.69	563.18	1088.92	575.03	1417.35	1119.56	497.0	1519.15	854.13	575.03	1457.23	543.96	775.05	1427.22	1059.11	1340.84	753.83	1127.35	543.96	679.29	651.58	915.51	1378.57	297.17	1388.16
KLF4	108.9	161.02	185.11	127.89	139.07	162.14	125.24	320.8	113.56	129.69	93.35	85.82	281.09	72.01	141.02	72.52	1331.57	2047.0	2468.49	1015.93	1008.9	532.74	417.77	551.56	543.96	1322.37	105.15	860.08	802.41	656.11	1628.26	1104.13	825.0	612.11	414.87	356.05	514.56	753.83	808.0	1369.04	785.88	540.19	256.78	555.41	872.1	954.43	775.05	1183.45	902.89	336.79	2061.24	105.89	503.95	441.64	825.0	1059.11	134.3	500.46	334.46	435.55	189.02	723.08	483.38	620.67	1259.69
KLF6	159.9	264.03	353.59	111.99	297.17	275.28	253.23	384.34	269.6	397.93	215.77	234.57	387.02	314.17	234.57	117.6	9945.68	7081.29	13215.02	2209.26	4123.49	3639.7	3018.3	9151.82	4095.0	2915.45	872.1	11909.94	3443.31	7857.29	5672.41	9876.98	1437.15	3540.14	2591.27	1909.85	2090.03	6652.97	3124.78	3419.52	2384.37	2855.44	1088.92	7081.29	3742.05	12415.75	12502.12	4937.99	3235.01	796.86	32092.64	1844.76	2351.53	5219.6	11504.21	6471.02	1709.26	1594.73	2895.31	1519.15	941.27	5995.9	8658.09	872.1	7382.04
LONRF1	423.61	371.22	204.07	232.94	177.53	376.41	191.67	234.57	195.72	295.11	511.0	183.82	301.33	346.29	164.42	267.73	878.17	708.18	796.86	571.05	1457.23	559.28	587.13	890.44	624.99	466.88	698.41	1096.5	669.92	698.41	547.75	587.13	387.02	438.59	379.04	563.18	389.72	642.59	514.56	854.13	583.07	688.78	314.17	529.06	483.38	708.18	483.38	921.88	493.56	450.94	536.45	400.71	441.64	518.15	878.17	780.44	563.18	507.46	463.65	511.0	466.88	743.43	466.88	397.93	493.56
MAFF	52.45	63.89	211.31	124.37	137.14	92.7	175.07	63.45	115.97	181.28	57.49	83.45	217.27	70.51	104.42	85.82	3874.05	3768.09	6121.9	738.29	1111.82	291.04	176.29	1963.57	237.86	1819.35	688.78	1709.26	872.1	2609.3	463.65	1417.35	361.04	124.37	320.8	277.2	158.79	480.04	209.84	2119.22	260.38	1191.69	178.77	518.15	483.38	1350.18	105.15	1639.59	587.13	120.1	890.44	133.36	244.57	575.03	1605.83	764.36	155.5	353.59	119.26	301.33	579.04	1519.15	2148.82	55.1	1051.79
MCL1	1331.57	1143.1	2148.82	1322.37	1250.98	1088.92	1936.53	2367.9	1794.29	1651.0	947.83	1277.29	2417.67	1583.71	1685.71	1508.65	7130.55	6607.01	8538.88	5076.84	6840.04	3467.27	2720.15	3639.7	3540.14	5831.91	2303.12	6121.9	3614.55	8840.04	4210.15	5479.15	2976.74	3146.52	2682.69	2417.67	3018.3	4671.57	3060.45	5672.41	3039.3	3395.89	2451.44	4869.99	5183.54	5255.91	3901.01	4239.45	3901.01	1832.01	9606.86	1806.78	3212.66	5219.6	6745.86	7803.01	2627.46	2287.2	2956.17	3124.78	2573.36	5366.37	7537.18	1551.09	6121.9
