	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AR.A5QM.01A.11R.A27Q.07	TCGA.E2.A107.01A.11R.A10J.07	TCGA.A7.A425.01A.11R.A24H.07	TCGA.CC.A9FS.01A.11R.A37K.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.XR.A8TE.01A.11R.A36F.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.FV.A3R2.01A.11R.A22L.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.BC.A217.01A.11R.A155.07	TCGA.DD.AAD2.01A.11R.A41C.07	TCGA.EP.A3RK.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.DD.AAVV.01A.11R.A41C.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.FV.A3I1.01A.11R.A22L.07	TCGA.GJ.A9DB.01A.11R.A37K.07	GTEX.11GSP.0626.SM.5986T	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.QESD.2026.SM.447BI	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	TCGA.MP.A4SW.01A.21R.A24X.07
COG7	909.17	1066.48	1135.2	1295.13	147.06	351.14	420.68	215.77	353.59	96.01	336.79	466.88	287.01	381.68	320.8	277.2	490.14	301.33	426.57	483.38	514.56	194.36	312.0	368.65	309.83	144.01	204.07	239.52	212.78	285.03	256.78	166.73	155.5	301.33	249.73	186.4	241.19	232.94	981.29
DCTN5	872.1	848.22	665.29	738.29	150.17	224.97	435.55	158.79	246.28	127.89	395.18	277.2	283.05	267.73	379.04	262.2	226.54	221.86	205.5	397.93	441.64	205.5	248.0	206.94	223.41	202.66	211.31	141.02	138.1	166.73	165.57	223.41	242.88	157.68	264.03	195.72	94.67	162.14	571.05
E4F1	2855.44	890.44	967.76	3124.78	239.52	381.68	571.05	320.8	400.71	224.97	441.64	518.15	334.46	417.77	387.02	363.56	397.93	674.59	490.14	450.94	785.88	260.38	543.96	480.04	366.09	158.79	214.27	156.59	264.03	234.57	202.66	173.85	231.32	198.47	301.33	312.0	117.6	172.65	836.53
EME2	450.94	248.0	256.78	1135.2	45.85	142.01	140.04	59.13	117.6	56.68	133.36	156.59	83.45	117.6	329.84	70.51	121.79	73.03	34.75	163.28	255.0	30.78	87.03	202.66	55.89	24.99	25.72	31.0	24.81	27.84	36.53	19.39	58.3	35.0	37.59	40.36	6.01	33.78	412.0
FAM86A	884.29	432.53	563.18	351.14	231.32	503.95	346.29	267.73	155.5	170.25	327.56	334.46	307.69	698.41	366.09	218.79	525.39	334.46	318.57	551.56	651.58	291.04	507.46	307.69	130.6	139.07	148.09	142.01	111.21	92.7	86.43	154.42	98.73	234.57	131.51	152.28	114.36	152.28	612.11
FBRS	1721.16	1977.24	1769.57	2485.67	400.71	579.04	1051.79	412.0	638.15	356.05	848.22	688.78	559.28	647.07	780.44	483.38	748.61	559.28	507.46	909.17	825.0	470.14	748.61	679.29	529.06	438.59	318.57	267.73	500.46	417.77	414.87	264.03	395.18	379.04	392.44	435.55	187.71	470.14	1685.71
FLYWCH1	1208.34	775.05	708.18	1104.13	277.2	633.73	595.34	246.28	412.0	258.57	1001.93	500.46	305.55	532.74	476.71	363.56	591.22	406.31	486.75	616.37	981.29	450.94	563.18	575.03	175.07	163.28	111.21	159.9	130.6	334.46	287.01	113.56	269.6	172.65	336.79	209.84	177.53	363.56	769.69
FOPNL	1242.34	1119.56	802.41	629.35	281.09	511.0	551.56	256.78	303.44	224.97	457.25	647.07	361.04	406.31	353.59	373.81	629.35	297.17	583.07	723.08	698.41	301.33	429.54	325.29	226.54	420.68	540.19	379.04	265.87	438.59	353.59	361.04	327.56	438.59	307.69	258.57	281.09	358.54	785.88
GSPT1	3235.01	3235.01	2468.49	1757.34	567.1	1407.55	2384.37	728.11	961.07	660.68	890.44	1331.57	1225.22	1447.15	1417.35	1088.92	1037.29	967.76	1081.39	2287.2	1477.58	759.08	1417.35	1331.57	842.36	967.76	1015.93	669.92	866.07	813.63	759.08	1023.0	830.75	647.07	854.13	896.64	759.08	819.3	2664.15
GTF3C1	3103.19	3081.75	3257.52	3039.3	507.46	961.07	854.13	540.19	878.17	381.68	1605.83	909.17	733.19	1183.45	1175.27	819.3	860.08	909.17	1233.75	1477.58	1088.92	785.88	934.76	854.13	921.88	612.11	579.04	684.02	463.65	854.13	633.73	583.07	708.18	551.56	521.76	733.19	420.68	733.19	1936.53
INO80E	2271.4	2004.85	2468.49	3443.31	679.29	1073.91	1447.15	988.12	785.88	483.38	1350.18	1242.34	1037.29	1233.75	1191.69	738.29	1519.15	1135.2	896.64	1896.65	1437.15	728.11	1268.46	1066.48	1208.34	684.02	587.13	603.67	620.67	743.43	896.64	575.03	723.08	860.08	941.27	808.0	387.02	995.0	2468.49
JMJD8	4972.34	2287.2	3716.2	2739.08	656.11	1923.14	1322.37	872.1	518.15	665.29	1508.65	988.12	1135.2	2090.03	1104.13	1268.46	1551.09	1487.87	1583.71	1977.24	5147.73	764.36	1561.89	1651.0	466.88	769.69	872.1	1242.34	902.89	1008.9	1119.56	974.5	1073.91	848.22	981.29	836.53	1143.1	1794.29	2061.24
KCTD5	1583.71	878.17	934.76	669.92	187.71	414.87	514.56	133.36	299.25	148.09	314.17	291.04	285.03	417.77	540.19	392.44	373.81	265.87	351.14	591.22	518.15	204.07	348.71	351.14	135.24	201.25	301.33	256.78	197.09	260.38	229.72	231.32	206.94	185.11	212.78	281.09	129.69	264.03	1143.1
KNOP1	878.17	1023.0	1639.59	1135.2	154.42	281.09	198.47	136.19	587.13	197.09	320.8	334.46	291.04	351.14	409.15	258.57	248.0	155.5	223.41	638.15	511.0	194.36	318.57	273.37	129.69	215.77	144.01	108.9	84.04	164.42	127.89	251.48	221.86	186.4	169.07	76.17	74.06	111.21	1104.13
LCMT1	2739.08	2090.03	1359.57	1540.37	199.85	532.74	358.54	320.8	514.56	201.25	988.12	638.15	543.96	633.73	612.11	312.0	525.39	389.72	674.59	1001.93	688.78	327.56	392.44	480.04	320.8	256.78	237.86	299.25	265.87	417.77	273.37	198.47	223.41	258.57	334.46	248.0	173.85	325.29	1135.2
MAPK3	3690.52	3103.19	4972.34	3325.99	486.75	1295.13	1081.39	688.78	1008.9	412.0	1883.54	928.3	961.07	1030.12	1183.45	708.18	1757.34	753.83	656.11	1111.82	1651.0	450.94	1151.06	1015.93	872.1	708.18	379.04	432.53	379.04	591.22	674.59	703.28	848.22	607.87	708.18	325.29	420.68	860.08	3060.45
METTL9	2502.97	2163.77	2047.0	1540.37	186.4	438.59	753.83	206.94	665.29	121.79	1447.15	339.14	457.25	356.05	583.07	473.41	423.61	318.57	283.05	1104.13	748.61	199.85	518.15	343.89	521.76	476.71	642.59	154.42	277.2	299.25	339.14	400.71	265.87	348.71	220.32	277.2	124.37	255.0	2319.15
MLST8	2816.11	1733.13	2319.15	2384.37	567.1	1378.57	961.07	642.59	1030.12	854.13	1143.1	1151.06	909.17	1388.16	1313.23	612.11	1322.37	890.44	1199.98	1508.65	1991.0	457.25	1167.14	1397.83	486.75	507.46	708.18	660.68	583.07	460.44	583.07	607.87	559.28	575.03	595.34	583.07	435.55	698.41	1199.98
MRPS34	10084.54	6037.61	6652.97	9344.14	1477.58	4972.34	2720.15	2178.83	1583.71	1487.87	2664.15	3039.3	1950.0	4543.8	4010.71	2434.5	3372.43	2645.74	4066.71	4328.55	7485.11	1167.14	2816.11	3395.89	2417.67	2104.58	3395.89	2976.74	3168.41	1896.65	2303.12	2119.22	1806.78	3372.43	2777.33	2417.67	1551.09	2163.77	4010.71
NAA60	1498.22	1322.37	1605.83	1388.16	1159.07	1628.26	1498.22	830.75	1044.52	1151.06	1135.2	1674.06	813.63	1477.58	1388.16	1081.39	1277.29	1378.57	1331.57	1721.16	1991.0	1104.13	1477.58	1909.85	563.18	1216.75	884.29	780.44	791.35	974.5	791.35	1066.48	1259.69	961.07	802.41	808.0	1073.91	647.07	1685.71
NAGPA	547.75	373.81	361.04	409.15	177.53	647.07	1242.34	325.29	343.89	237.86	438.59	356.05	389.72	915.51	785.88	209.84	651.58	297.17	476.71	660.68	819.3	244.57	420.68	466.88	146.03	229.72	117.6	130.6	177.53	191.67	316.37	206.94	262.2	269.6	279.14	172.65	138.1	221.86	414.87
NARFL	1709.26	1135.2	1467.37	1397.83	307.69	848.22	521.76	406.31	620.67	309.83	708.18	718.08	480.04	791.35	713.11	624.99	728.11	607.87	915.51	854.13	1674.06	291.04	607.87	988.12	466.88	312.0	406.31	403.5	392.44	387.02	417.77	297.17	303.44	361.04	511.0	432.53	191.67	476.71	1081.39
NME3	10959.3	5041.77	5954.47	13399.51	723.08	1923.14	1832.01	1143.1	947.83	785.88	2133.97	1832.01	967.76	1628.26	1242.34	825.0	1977.24	1806.78	1508.65	2178.83	5219.6	1044.52	1295.13	1551.09	1662.49	642.59	1151.06	1073.91	723.08	928.3	1167.14	764.36	947.83	1143.1	1143.1	941.27	669.92	1183.45	3146.52
NOMO1	3146.52	1950.0	2104.58	2163.77	791.35	2163.77	2384.37	1331.57	1477.58	1015.93	1498.22	1073.91	1605.83	2384.37	1295.13	995.0	2645.74	1127.35	974.5	2133.97	2855.44	967.76	1583.71	1015.93	379.04	974.5	708.18	796.86	825.0	764.36	713.11	1008.9	1331.57	708.18	457.25	435.55	529.06	624.99	1936.53
NOMO2	974.5	1594.73	1030.12	974.5	231.32	1104.13	1963.57	808.0	872.1	769.69	890.44	651.58	1001.93	1437.15	733.19	400.71	921.88	620.67	540.19	559.28	2075.59	309.83	1277.29	450.94	218.79	743.43	316.37	353.59	563.18	341.51	361.04	743.43	514.56	454.09	329.84	260.38	137.14	221.86	1208.34
NOMO3	1628.26	1572.76	2335.28	1295.13	713.11	3212.66	3955.48	1119.56	1883.54	1208.34	1651.0	2502.97	1923.14	2209.26	1617.0	825.0	3874.05	2537.92	1583.71	2090.03	3515.68	1721.16	1388.16	1216.75	543.96	785.88	902.89	974.5	642.59	551.56	759.08	371.22	426.57	332.14	603.67	688.78	262.2	629.35	2645.74
NPIPA1	2537.92	1745.2	1111.82	1208.34	647.07	1159.07	1594.73	698.41	1119.56	343.89	1167.14	1350.18	669.92	1159.07	974.5	1008.9	780.44	525.39	656.11	1151.06	1487.87	603.67	954.43	1081.39	796.86	356.05	275.28	376.41	343.89	571.05	361.04	303.44	379.04	356.05	429.54	316.37	104.42	332.14	2061.24
NUBP1	1378.57	1199.98	1467.37	1216.75	412.0	825.0	738.29	353.59	718.08	426.57	743.43	1250.98	656.11	819.3	669.92	669.92	703.28	579.04	1096.5	1096.5	1111.82	708.18	525.39	830.75	567.1	607.87	656.11	567.1	567.1	669.92	540.19	679.29	791.35	607.87	753.83	860.08	480.04	629.35	1233.75
PARN	1304.15	1183.45	1242.34	928.3	239.52	571.05	426.57	189.02	323.03	165.57	381.68	466.88	341.51	432.53	389.72	316.37	633.73	327.56	409.15	669.92	587.13	343.89	432.53	389.72	620.67	341.51	291.04	264.03	211.31	406.31	346.29	325.29	295.11	336.79	279.14	244.57	221.86	205.5	848.22
PGP	981.29	397.93	842.36	656.11	209.84	334.46	242.88	258.57	253.23	144.01	301.33	507.46	244.57	543.96	547.75	163.28	279.14	260.38	373.81	493.56	470.14	127.0	373.81	438.59	176.29	90.77	163.28	116.78	132.44	94.01	44.25	77.25	119.26	169.07	126.12	177.53	92.05	109.66	599.49
PMM2	1250.98	1322.37	1407.55	1225.22	361.04	878.17	1051.79	547.75	665.29	314.17	366.09	703.28	780.44	836.53	915.51	743.43	1119.56	723.08	629.35	1561.89	1832.01	595.34	836.53	728.11	466.88	381.68	703.28	490.14	314.17	366.09	412.0	447.82	318.57	397.93	507.46	791.35	490.14	1286.18	1721.16
POLR3E	1127.35	1127.35	1519.15	1369.04	363.56	409.15	802.41	429.54	457.25	403.5	543.96	426.57	624.99	591.22	665.29	567.1	511.0	497.0	412.0	665.29	890.44	376.41	733.19	591.22	414.87	470.14	389.72	457.25	320.8	420.68	275.28	400.71	363.56	297.17	353.59	438.59	281.09	206.94	1066.48
PRR14	1794.29	1709.26	1857.6	2104.58	473.41	674.59	890.44	412.0	1081.39	361.04	909.17	688.78	536.45	830.75	802.41	733.19	733.19	748.61	660.68	703.28	708.18	718.08	878.17	684.02	733.19	381.68	403.5	363.56	547.75	470.14	476.71	289.02	438.59	457.25	412.0	493.56	279.14	543.96	1457.23
RNF40	4388.98	2645.74	3467.27	3303.0	529.06	1388.16	1639.59	974.5	1127.35	890.44	1617.0	1639.59	1277.29	1457.23	1135.2	1233.75	1594.73	1388.16	1883.54	2537.92	2119.22	1233.75	1447.15	1378.57	1051.79	878.17	967.76	981.29	1044.52	1183.45	1388.16	1397.83	1001.93	1295.13	1059.11	1066.48	748.61	1331.57	2720.15
RNPS1	8022.41	5112.16	6121.9	7911.95	1313.23	1709.26	2573.36	1059.11	2193.99	1066.48	2400.97	2468.49	1437.15	1991.0	2133.97	1359.57	1745.2	1639.59	1857.6	3081.75	2739.08	854.13	1639.59	1628.26	1096.5	921.88	1407.55	878.17	1023.0	1417.35	1111.82	878.17	860.08	1159.07	974.5	1457.23	629.35	1268.46	4512.4
RP11-345J4.5	1963.57	890.44	1388.16	819.3	170.25	470.14	759.08	500.46	647.07	158.79	450.94	514.56	947.83	656.11	759.08	490.14	878.17	343.89	283.05	1277.29	1199.98	503.95	373.81	457.25	140.04	237.86	194.36	151.22	255.0	264.03	176.29	135.24	183.82	392.44	269.6	224.97	267.73	256.78	684.02
RPUSD1	2895.31	947.83	988.12	1111.82	275.28	423.61	295.11	253.23	312.0	212.78	376.41	500.46	226.54	769.69	651.58	318.57	384.34	368.65	454.09	934.76	967.76	221.86	514.56	507.46	206.94	135.24	161.02	170.25	264.03	139.07	155.5	127.0	129.69	170.25	175.07	208.38	68.07	201.25	633.73
RRAS	2434.5	1857.6	1651.0	1806.78	583.07	1745.2	1407.55	830.75	796.86	463.65	4152.18	1175.27	1081.39	1030.12	842.36	753.83	1628.26	1277.29	1407.55	3146.52	1639.59	743.43	1359.57	1159.07	1044.52	743.43	693.58	466.88	158.79	791.35	743.43	651.58	718.08	872.1	587.13	412.0	381.68	848.22	2163.77
SH2B1	1277.29	836.53	1199.98	1832.01	371.22	684.02	1175.27	450.94	708.18	429.54	1617.0	579.04	507.46	651.58	688.78	521.76	802.41	470.14	796.86	941.27	703.28	470.14	698.41	1096.5	460.44	476.71	339.14	490.14	500.46	371.22	547.75	389.72	414.87	412.0	423.61	409.15	241.19	336.79	1594.73
SPNS1	2627.46	1233.75	1359.57	1594.73	444.72	1437.15	1030.12	1073.91	2287.2	728.11	1508.65	1183.45	1008.9	1806.78	1674.06	669.92	1167.14	878.17	1806.78	1909.85	1617.0	728.11	1359.57	1628.26	547.75	497.0	521.76	529.06	547.75	819.3	651.58	555.41	490.14	748.61	624.99	507.46	389.72	791.35	1304.15
STX4	2335.28	2209.26	1769.57	3018.3	684.02	1639.59	1857.6	1001.93	1350.18	612.11	1605.83	1757.34	1225.22	1923.14	1697.45	1044.52	1498.22	1286.18	1617.0	1936.53	2796.65	1119.56	1127.35	1733.13	1561.89	633.73	753.83	638.15	775.05	981.29	743.43	629.35	743.43	934.76	890.44	954.43	599.49	2075.59	2816.11
TBC1D10B	1883.54	1277.29	1733.13	1819.35	228.13	348.71	343.89	220.32	450.94	189.02	733.19	473.41	361.04	450.94	457.25	314.17	435.55	323.03	316.37	571.05	420.68	273.37	397.93	376.41	414.87	237.86	248.0	181.28	297.17	161.02	164.42	167.9	260.38	215.77	273.37	163.28	124.37	229.72	1242.34
TELO2	2061.24	2104.58	1662.49	7032.37	457.25	848.22	988.12	414.87	802.41	444.72	954.43	974.5	748.61	669.92	947.83	599.49	1216.75	620.67	825.0	1081.39	1259.69	361.04	934.76	1127.35	540.19	316.37	409.15	450.94	490.14	395.18	551.56	301.33	514.56	460.44	447.82	450.94	269.6	563.18	2148.82
TMEM186	679.29	571.05	521.76	503.95	124.37	463.65	389.72	171.45	303.44	171.45	327.56	551.56	329.84	406.31	384.34	336.79	371.22	301.33	420.68	376.41	450.94	187.71	269.6	312.0	236.21	336.79	212.78	234.57	173.85	139.07	289.02	258.57	164.42	267.73	275.28	220.32	232.94	320.8	397.93
TRAF7	2303.12	1819.35	1540.37	2209.26	497.0	1088.92	1628.26	642.59	954.43	796.86	679.29	738.29	1135.2	988.12	1295.13	665.29	1605.83	728.11	1529.73	1561.89	1628.26	417.77	1870.53	1259.69	441.64	507.46	334.46	384.34	476.71	376.41	325.29	693.58	412.0	397.93	529.06	392.44	363.56	547.75	2739.08
TSC2	2335.28	1477.58	2148.82	3372.43	318.57	1477.58	1896.65	293.07	1143.1	703.28	480.04	1359.57	1183.45	1697.45	1208.34	981.29	1551.09	1037.29	1909.85	1757.34	2739.08	460.44	1583.71	1242.34	1199.98	674.59	387.02	559.28	1015.93	769.69	769.69	575.03	915.51	480.04	555.41	567.1	1295.13	813.63	2018.8
UBE2I	5292.48	3395.89	4671.57	7032.37	624.99	1331.57	4010.71	854.13	1628.26	660.68	2075.59	2133.97	1427.22	1819.35	1832.01	981.29	1551.09	733.19	1250.98	2758.13	3212.66	493.56	1487.87	1427.22	1447.15	941.27	961.07	555.41	723.08	884.29	603.67	532.74	728.11	591.22	718.08	753.83	376.41	723.08	3190.46
UNKL	759.08	466.88	312.0	1651.0	77.25	289.02	318.57	190.34	223.41	142.01	256.78	356.05	199.85	395.18	400.71	102.25	265.87	132.44	258.57	441.64	728.11	85.82	267.73	285.03	57.89	94.67	30.56	124.37	84.63	115.97	171.45	77.79	127.0	94.67	83.45	34.51	56.68	47.84	684.02
VOPP1	2855.44	1794.29	1508.65	1340.84	316.37	854.13	775.05	457.25	493.56	595.34	1088.92	486.75	723.08	1191.69	1127.35	660.68	708.18	490.14	587.13	1044.52	1191.69	454.09	1685.71	713.11	361.04	483.38	466.88	403.5	208.38	237.86	384.34	397.93	368.65	444.72	426.57	438.59	170.25	703.28	1313.23
WDR24	961.07	665.29	406.31	525.39	143.01	341.51	285.03	172.65	236.21	182.55	180.02	336.79	180.02	363.56	258.57	231.32	323.03	283.05	483.38	400.71	457.25	137.14	361.04	444.72	125.24	171.45	112.77	234.57	159.9	173.85	232.94	199.85	175.07	197.09	155.5	148.09	166.73	169.07	336.79
XPO6	3614.55	1991.0	2485.67	2240.11	854.13	1950.0	1119.56	723.08	1709.26	679.29	2104.58	1044.52	1151.06	1819.35	1963.57	988.12	1447.15	1233.75	1331.57	2434.5	1977.24	866.07	1594.73	954.43	490.14	457.25	507.46	759.08	819.3	791.35	470.14	647.07	854.13	616.37	567.1	854.13	529.06	884.29	2777.33
ZC3H7A	514.56	679.29	723.08	764.36	279.14	529.06	909.17	273.37	599.49	314.17	878.17	571.05	414.87	392.44	500.46	483.38	483.38	291.04	454.09	679.29	819.3	397.93	567.1	607.87	775.05	368.65	555.41	253.23	346.29	473.41	389.72	295.11	334.46	358.54	460.44	392.44	205.5	447.82	961.07
ZNF598	1477.58	1277.29	902.89	2701.35	438.59	896.64	796.86	423.61	470.14	438.59	450.94	599.49	540.19	753.83	1167.14	384.34	872.1	543.96	603.67	1001.93	1498.22	297.17	769.69	684.02	320.8	289.02	423.61	244.57	271.48	265.87	318.57	320.8	351.14	366.09	363.56	470.14	187.71	277.2	1259.69
