	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.W5X1.2326.SM.3GIL6	GTEX.S32W.2026.SM.4AD6E	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13OVG.1426.SM.5K7VP	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.XYKS.0526.SM.4BRW2
DHRS4L2	961.07	780.44	629.35	1331.57	1322.37	1369.04	723.08	723.08	961.07	438.59	830.75	836.53	703.28	785.88	450.94	733.19	947.83	1583.71	256.78	830.75	665.29	819.3	1417.35	1561.89	872.1	928.3	638.15	0.0	0.42	1277.29
DNPH1	2627.46	583.07	406.31	1350.18	1991.0	1427.22	417.77	334.46	819.3	291.04	728.11	674.59	543.96	473.41	220.32	633.73	1199.98	738.29	161.02	647.07	307.69	218.79	698.41	1628.26	1628.26	403.5	878.17	0.0	0.27	2468.49
EEFSEC	591.22	281.09	299.25	392.44	395.18	426.57	206.94	223.41	262.2	206.94	249.73	271.48	281.09	260.38	197.09	314.17	231.32	371.22	162.14	406.31	214.27	154.42	307.69	215.77	518.15	343.89	265.87	0.0	0.43	457.25
ELP6	693.58	497.0	493.56	785.88	759.08	775.05	429.54	438.59	603.67	387.02	536.45	563.18	457.25	395.18	400.71	703.28	633.73	620.67	470.14	669.92	361.04	387.02	559.28	559.28	591.22	536.45	518.15	0.0	0.0	791.35
ETV2	125.24	24.81	24.46	52.45	59.97	44.57	17.0	19.39	29.27	13.72	13.93	24.63	22.1	21.32	7.46	39.79	14.56	46.5	7.17	53.19	26.47	12.27	11.82	24.46	31.45	33.78	50.98	0.0	0.11	72.52
EXOSC4	2224.63	283.05	239.52	796.86	708.18	769.69	150.17	152.28	314.17	215.77	265.87	312.0	185.11	172.65	122.64	379.04	532.74	813.63	77.25	599.49	161.02	185.11	1259.69	532.74	603.67	332.14	575.03	0.0	0.24	878.17
FABP4	189.02	228208.61	217400.14	134755.94	365622.68	211455.3	322736.12	386469.83	394590.4	119776.72	348306.01	358098.26	370726.6	489177.0	43537.38	716197.51	602247.76	360589.03	18689.27	345900.08	187950.38	260332.24	558035.51	906531.99	1078054.48	1838374.44	636586.81	0.0	0.15	7032.37
FAM173A	1208.34	180.02	178.77	651.58	665.29	624.99	120.94	149.12	255.0	143.01	226.54	265.87	195.72	158.79	55.1	320.8	420.68	629.35	32.13	575.03	115.97	56.28	228.13	363.56	480.04	376.41	460.44	0.0	0.55	1277.29
FAM50A	3349.13	1159.07	830.75	1806.78	2502.97	2240.11	723.08	860.08	1733.13	432.53	1427.22	1572.76	915.51	753.83	281.09	1583.71	1583.71	2384.37	616.37	3060.45	599.49	842.36	2018.8	1721.16	1242.34	2209.26	1175.27	0.0	1.06	3820.7
FASTK	3018.3	759.08	693.58	1233.75	1295.13	1427.22	420.68	587.13	1023.0	599.49	848.22	860.08	728.11	738.29	426.57	591.22	583.07	1757.34	339.14	1551.09	403.5	320.8	764.36	902.89	854.13	819.3	947.83	0.0	0.74	2591.27
FDX1L	1051.79	332.14	343.89	587.13	791.35	866.07	231.32	258.57	406.31	202.66	339.14	463.65	202.66	218.79	151.22	633.73	363.56	470.14	262.2	543.96	175.07	334.46	466.88	466.88	587.13	373.81	301.33	0.0	0.21	954.43
GTPBP6	819.3	271.48	201.25	500.46	642.59	620.67	134.3	172.65	329.84	141.02	318.57	373.81	269.6	205.5	85.22	358.54	295.11	555.41	67.12	559.28	128.79	56.28	426.57	543.96	463.65	327.56	547.75	0.0	0.75	830.75
H2AFJ	13872.08	2502.97	1896.65	6840.04	7695.57	3874.05	1467.37	1378.57	2976.74	748.61	2573.36	3589.58	1883.54	1407.55	476.71	3874.05	4239.45	6561.36	163.28	13033.07	1769.57	1143.1	3901.01	9740.98	10014.87	3794.3	10225.32	0.0	1.03	2485.67
HEXIM2	397.93	84.04	85.82	325.29	334.46	361.04	82.87	62.12	145.02	40.93	146.03	164.42	82.29	77.79	24.99	307.69	214.27	265.87	153.34	98.73	37.85	47.17	275.28	154.42	101.54	59.13	77.25	0.0	0.0	153.34
ICAM3	698.41	438.59	376.41	866.07	830.75	514.56	295.11	265.87	376.41	161.02	708.18	780.44	651.58	612.11	90.14	679.29	896.64	674.59	149.12	521.76	293.07	150.17	941.27	1250.98	309.83	249.73	674.59	0.0	0.51	665.29
IMP3	2255.7	723.08	981.29	1359.57	1268.46	1183.45	651.58	743.43	633.73	684.02	928.3	860.08	656.11	836.53	669.92	1175.27	1467.37	1697.45	708.18	819.3	1044.52	620.67	988.12	1225.22	1159.07	764.36	1081.39	0.0	0.0	1369.04
IPO13	624.99	248.0	316.37	376.41	400.71	454.09	285.03	283.05	351.14	318.57	307.69	318.57	281.09	269.6	218.79	497.0	295.11	612.11	273.37	497.0	218.79	260.38	450.94	361.04	441.64	389.72	249.73	0.0	0.29	764.36
JMJD8	1883.54	1111.82	1111.82	1651.0	1572.76	1721.16	954.43	878.17	1037.29	1015.93	1001.93	1183.45	1037.29	860.08	733.19	674.59	1096.5	2255.7	540.19	1572.76	896.64	638.15	1359.57	1151.06	1909.85	1407.55	1233.75	0.0	0.8	2816.11
LAMTOR2	5076.84	1529.73	1369.04	3168.41	3235.01	3820.7	1199.98	1175.27	1923.14	1008.9	1844.76	1662.49	1183.45	1208.34	616.37	2193.99	2682.69	2468.49	620.67	2555.58	1104.13	1037.29	2468.49	2627.46	3303.0	1977.24	1977.24	0.0	0.53	3280.18
LRFN3	486.75	178.77	181.28	273.37	305.55	206.94	121.79	121.79	158.79	144.01	170.25	127.0	182.55	151.22	134.3	384.34	194.36	389.72	100.13	226.54	136.19	83.45	175.07	175.07	363.56	429.54	305.55	0.0	0.61	414.87
LRFN4	507.46	145.02	169.07	215.77	316.37	303.44	82.87	127.89	191.67	78.89	183.82	183.82	129.69	201.25	48.52	371.22	209.84	400.71	7.4	559.28	35.25	16.27	232.94	316.37	281.09	279.14	223.41	0.0	0.78	287.01
LSM10	1733.13	808.0	753.83	1268.46	1437.15	1397.83	769.69	764.36	1233.75	713.11	808.0	947.83	651.58	713.11	555.41	988.12	1135.2	1844.76	633.73	796.86	454.09	764.36	1259.69	808.0	1008.9	764.36	708.18	0.0	0.54	1697.45
MCAT	769.69	229.72	346.29	470.14	470.14	429.54	162.14	183.82	239.52	197.09	297.17	201.25	242.88	244.57	229.72	327.56	371.22	444.72	169.07	309.83	166.73	438.59	409.15	289.02	409.15	215.77	181.28	0.0	0.0	607.87
MFSD3	988.12	118.43	146.03	389.72	287.01	336.79	78.89	85.82	156.59	141.02	167.9	164.42	107.38	124.37	78.89	185.11	197.09	551.56	32.82	373.81	88.88	47.17	190.34	253.23	318.57	172.65	244.57	0.0	0.45	624.99
MON1A	332.14	118.43	149.12	224.97	287.01	244.57	116.78	135.24	153.34	138.1	161.02	151.22	97.36	106.63	86.43	275.28	237.86	336.79	97.36	244.57	89.51	100.13	187.71	172.65	258.57	256.78	178.77	0.0	0.0	329.84
MRPL54	4358.66	1397.83	1331.57	2319.15	3955.48	2351.53	981.29	934.76	2193.99	660.68	1844.76	1540.37	1277.29	1359.57	518.15	915.51	2351.53	2319.15	543.96	1008.9	1030.12	1111.82	1977.24	3146.52	1437.15	633.73	1359.57	0.0	0.54	3212.66
MRPS21	2018.8	1268.46	1340.84	1709.26	1745.2	1685.71	1044.52	1081.39	1111.82	1059.11	1427.22	1286.18	1350.18	1104.13	1023.0	684.02	1883.54	1127.35	808.0	1617.0	723.08	961.07	1806.78	1437.15	1073.91	909.17	1340.84	0.0	0.89	2148.82
MRPS26	2502.97	551.56	575.03	1175.27	1467.37	1350.18	432.53	387.02	708.18	444.72	713.11	748.61	571.05	460.44	339.14	674.59	842.36	1378.57	444.72	616.37	470.14	579.04	567.1	591.22	1397.83	785.88	503.95	0.0	0.67	2047.0
MRPS34	4543.8	1008.9	813.63	2351.53	2303.12	2537.92	521.76	612.11	1427.22	483.38	1331.57	1331.57	1135.2	743.43	336.79	1832.01	1991.0	3665.02	764.36	1991.0	638.15	738.29	2047.0	1819.35	2018.8	1037.29	1407.55	0.0	0.36	3257.52
MTG1	1119.56	412.0	493.56	603.67	603.67	660.68	267.73	395.18	409.15	353.59	432.53	490.14	420.68	497.0	351.14	387.02	320.8	718.08	251.48	928.3	291.04	521.76	414.87	420.68	395.18	791.35	599.49	0.0	0.43	974.5
MUL1	743.43	547.75	529.06	733.19	738.29	620.67	400.71	503.95	476.71	473.41	507.46	563.18	463.65	395.18	441.64	624.99	595.34	961.07	435.55	463.65	406.31	633.73	693.58	599.49	536.45	414.87	647.07	0.0	0.0	775.05
MYPOP	271.48	73.54	79.45	105.89	137.14	124.37	70.01	77.25	79.45	78.34	85.82	78.89	108.9	77.79	48.52	149.12	84.63	209.84	48.87	115.97	68.55	53.57	80.01	50.98	100.13	150.17	111.99	0.0	0.46	177.53
NAA10	4123.49	1397.83	1583.71	2319.15	3168.41	2502.97	1159.07	1119.56	1745.2	1427.22	1457.23	1594.73	1295.13	1427.22	954.43	1936.53	1685.71	2758.13	928.3	4152.18	1073.91	688.78	3443.31	2224.63	2855.44	2335.28	1806.78	0.0	1.07	3303.0
NELFB	1662.49	616.37	529.06	902.89	1151.06	1037.29	438.59	409.15	665.29	361.04	629.35	748.61	540.19	503.95	318.57	1127.35	514.56	961.07	323.03	1081.39	532.74	239.52	629.35	603.67	842.36	890.44	915.51	0.0	0.74	1023.0
NUBP2	2997.45	500.46	476.71	1378.57	1757.34	1551.09	348.71	309.83	703.28	293.07	591.22	785.88	599.49	426.57	202.66	669.92	555.41	1540.37	248.0	1135.2	341.51	208.38	866.07	808.0	1127.35	842.36	941.27	0.0	0.78	2816.11
NUDT14	1457.23	363.56	348.71	1051.79	1208.34	1143.1	403.5	426.57	693.58	226.54	684.02	633.73	463.65	529.06	151.22	941.27	674.59	1081.39	246.28	463.65	336.79	121.79	718.08	1397.83	759.08	325.29	656.11	0.0	0.3	1963.57
NUDT8	974.5	253.23	215.77	961.07	674.59	409.15	161.02	142.01	406.31	166.73	271.48	325.29	236.21	180.02	87.03	417.77	563.18	2240.11	11.04	669.92	141.02	251.48	1073.91	1030.12	368.65	97.36	384.34	0.0	0.39	785.88
OCEL1	1151.06	647.07	753.83	1023.0	1250.98	896.64	902.89	836.53	928.3	738.29	796.86	836.53	866.07	785.88	493.56	1313.23	1551.09	1781.89	115.16	507.46	275.28	277.2	921.88	915.51	1286.18	521.76	463.65	0.0	0.43	1457.23
PEX10	775.05	329.84	336.79	629.35	723.08	470.14	287.01	232.94	480.04	198.47	327.56	460.44	438.59	353.59	171.45	612.11	397.93	476.71	123.5	642.59	323.03	162.14	540.19	708.18	718.08	460.44	309.83	0.0	0.26	460.44
PGP	348.71	123.5	104.42	186.4	199.85	228.13	80.57	86.43	167.9	127.89	98.04	109.66	110.43	93.35	87.03	134.3	142.01	403.5	43.63	180.02	76.71	63.0	191.67	141.02	169.07	144.01	201.25	0.0	0.56	571.05
POR	2468.49	1572.76	1350.18	2075.59	2133.97	1977.24	1697.45	1781.89	1832.01	1242.34	1832.01	1709.26	1135.2	1721.16	718.08	1233.75	2104.58	3325.99	595.34	2451.44	679.29	921.88	3081.75	2319.15	2502.97	1250.98	2224.63	0.0	0.85	11189.6
PSMB6	5076.84	3018.3	2855.44	4836.35	5441.3	4937.99	2591.27	2434.5	3716.2	1883.54	3124.78	3589.58	2682.69	2367.9	1605.83	3372.43	4181.07	4388.98	2287.2	4575.41	2367.9	3372.43	5441.3	3928.15	4481.23	3928.15	3212.66	0.0	0.78	5995.9
PWWP2B	866.07	100.83	108.14	325.29	395.18	327.56	88.26	102.25	170.25	68.55	146.03	205.5	106.63	137.14	55.89	507.46	248.0	325.29	17.25	343.89	90.14	78.89	173.85	291.04	197.09	135.24	264.03	0.0	0.52	497.0
RAB1B	5954.47	3515.68	3280.18	5041.77	5633.22	4358.66	2739.08	2664.15	3982.99	2555.58	3820.7	3901.01	3039.3	2855.44	2193.99	4095.0	3928.15	7695.57	1977.24	3372.43	3060.45	1628.26	5872.48	5403.7	5219.6	3589.58	4210.15	0.0	1.01	4802.93
RBFA	743.43	397.93	444.72	620.67	813.63	647.07	435.55	341.51	713.11	356.05	551.56	551.56	540.19	497.0	269.6	567.1	395.18	656.11	195.72	698.41	441.64	412.0	753.83	1030.12	616.37	769.69	497.0	0.0	0.4	483.38
RFXANK	4268.94	1208.34	1030.12	1709.26	2193.99	2451.44	708.18	698.41	1225.22	780.44	1397.83	921.88	1359.57	1119.56	521.76	1250.98	954.43	1721.16	1037.29	1936.53	921.88	743.43	1199.98	791.35	1685.71	1295.13	1437.15	0.0	0.57	3325.99
RMND5B	1104.13	595.34	674.59	738.29	808.0	723.08	543.96	525.39	665.29	450.94	642.59	703.28	688.78	551.56	389.72	842.36	642.59	1242.34	336.79	642.59	264.03	273.37	947.83	607.87	836.53	1044.52	656.11	0.0	0.47	1037.29
RNPEPL1	2591.27	1208.34	1096.5	2271.4	2855.44	2835.7	981.29	941.27	1977.24	679.29	1407.55	1519.15	1378.57	1331.57	361.04	1936.53	1628.26	2434.5	543.96	2032.85	660.68	525.39	1733.13	2434.5	1733.13	1268.46	1721.16	0.0	0.45	3716.2
RPS19BP1	4123.49	1208.34	921.88	2417.67	3874.05	2935.74	796.86	791.35	1639.59	486.75	1594.73	1769.57	947.83	896.64	366.09	1923.14	2627.46	4038.61	470.14	2520.38	928.3	693.58	2664.15	2061.24	1794.29	1605.83	2090.03	0.0	0.87	6294.04
RPUSD1	866.07	108.9	172.65	348.71	309.83	392.44	92.05	70.51	134.3	113.56	132.44	152.28	100.83	87.03	79.45	189.02	155.5	559.28	61.25	295.11	118.43	109.66	392.44	152.28	199.85	177.53	277.2	0.0	0.01	480.04
SAC3D1	753.83	121.79	102.25	312.0	417.77	341.51	107.38	108.14	206.94	94.67	146.03	194.36	155.5	111.21	31.0	320.8	242.88	363.56	77.79	351.14	53.19	76.17	295.11	299.25	256.78	151.22	149.12	0.0	0.0	371.22
SMPD1	1417.35	764.36	693.58	974.5	890.44	1268.46	532.74	642.59	629.35	660.68	698.41	723.08	518.15	612.11	493.56	842.36	819.3	961.07	480.04	836.53	483.38	476.71	713.11	1250.98	1059.11	688.78	813.63	0.0	0.68	2148.82
SMUG1	1388.16	616.37	713.11	988.12	1023.0	954.43	624.99	532.74	819.3	529.06	713.11	688.78	647.07	612.11	460.44	890.44	909.17	1015.93	612.11	974.5	665.29	503.95	860.08	769.69	1304.15	521.76	563.18	0.0	0.0	934.76
SNF8	4268.94	1794.29	1583.71	2956.17	3847.29	3212.66	1477.58	1378.57	2319.15	884.29	2018.8	2090.03	1605.83	1498.22	836.53	2573.36	2287.2	3589.58	1369.04	5219.6	1023.0	1073.91	3716.2	3018.3	3589.58	2816.11	2485.67	3564.78	796.86	3395.89
SNRNP35	1359.57	543.96	450.94	890.44	819.3	961.07	277.2	351.14	775.05	297.17	507.46	612.11	420.68	389.72	248.0	728.11	748.61	718.08	511.0	934.76	332.14	426.57	299.25	684.02	698.41	450.94	723.08	0.0	0.37	684.02
ST20	318.57	102.97	137.14	178.77	157.68	194.36	98.73	46.84	90.77	108.9	108.14	137.14	106.63	90.77	105.15	248.0	176.29	152.28	85.82	166.73	45.85	59.55	251.48	212.78	128.79	84.04	151.22	0.0	0.49	224.97
STUB1	5479.15	2520.38	2032.85	3349.13	5479.15	3716.2	2303.12	1769.57	3124.78	1225.22	2777.33	2956.17	2119.22	2193.99	934.76	2976.74	2682.69	4972.34	1233.75	2591.27	1397.83	669.92	4736.79	3081.75	3443.31	2047.0	2163.77	0.0	0.89	5006.93
TIMM13	5366.37	708.18	587.13	1769.57	2255.7	2271.4	353.59	457.25	1143.1	414.87	796.86	928.3	679.29	579.04	251.48	954.43	1378.57	2682.69	397.93	2520.38	351.14	493.56	2061.24	1883.54	1417.35	915.51	1457.23	0.0	0.48	4239.45
TMEM104	248.0	135.24	123.5	229.72	180.02	228.13	114.36	158.79	205.5	149.12	147.06	166.73	99.43	130.6	97.36	195.72	152.28	289.02	108.9	271.48	63.89	100.13	271.48	220.32	186.4	158.79	123.5	0.0	0.28	567.1
TOMM40L	249.73	180.02	187.71	305.55	275.28	348.71	209.84	248.0	316.37	232.94	249.73	260.38	169.07	205.5	166.73	348.71	346.29	493.56	164.42	414.87	271.48	217.27	454.09	397.93	500.46	275.28	275.28	0.0	0.54	420.68
TP53I13	1936.53	836.53	486.75	1008.9	1437.15	1277.29	426.57	638.15	1127.35	420.68	921.88	947.83	1143.1	1151.06	231.32	1295.13	1519.15	1467.37	146.03	2591.27	299.25	214.27	1359.57	1757.34	1304.15	1023.0	1059.11	0.0	0.77	1259.69
TRIM41	540.19	242.88	283.05	476.71	454.09	387.02	325.29	229.72	384.34	242.88	295.11	395.18	218.79	232.94	195.72	332.14	231.32	361.04	138.1	529.06	199.85	194.36	348.71	343.89	373.81	343.89	403.5	0.0	0.68	934.76
TSR3	3564.78	791.35	665.29	1697.45	2178.83	1733.13	579.04	518.15	1015.93	363.56	813.63	1143.1	656.11	466.88	258.57	1417.35	1322.37	1896.65	454.09	1757.34	599.49	291.04	1268.46	1617.0	1378.57	825.0	1225.22	0.0	0.34	1977.24
TWF2	1781.89	733.19	878.17	1331.57	1923.14	2384.37	836.53	624.99	941.27	514.56	1088.92	1023.0	909.17	1508.65	403.5	1605.83	974.5	1143.1	392.44	1295.13	536.45	497.0	642.59	2573.36	1508.65	1277.29	1388.16	0.0	0.47	1781.89
UBE2J2	2255.7	836.53	836.53	1208.34	1216.75	1359.57	595.34	669.92	896.64	693.58	884.29	890.44	813.63	708.18	647.07	1030.12	902.89	1674.06	363.56	1225.22	543.96	309.83	1427.22	981.29	1119.56	961.07	1015.93	0.0	0.85	1322.37
VPS16	995.0	457.25	480.04	656.11	638.15	830.75	435.55	327.56	536.45	329.84	497.0	547.75	444.72	591.22	251.48	743.43	409.15	759.08	417.77	830.75	305.55	339.14	511.0	397.93	1322.37	921.88	599.49	0.0	0.93	1096.5
ZMAT5	1030.12	435.55	454.09	647.07	819.3	848.22	414.87	325.29	470.14	356.05	507.46	476.71	476.71	480.04	307.69	713.11	595.34	708.18	312.0	651.58	273.37	476.71	384.34	447.82	665.29	371.22	429.54	0.0	0.08	954.43
ZNF576	551.56	248.0	251.48	412.0	435.55	417.77	165.57	167.9	232.94	151.22	264.03	226.54	256.78	178.77	159.9	332.14	466.88	423.61	253.23	277.2	214.27	195.72	332.14	287.01	325.29	204.07	273.37	0.0	0.0	460.44
