	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.05.4389.01A.01R.1206.07	TCGA.80.5611.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.7670.01A.11R.2066.07	TCGA.60.2709.01A.21R.1820.07	TCGA.51.4081.01A.01R.1100.07	TCGA.J1.A4AH.01A.31R.A24H.07	TCGA.58.A46N.01A.11R.A24H.07	TCGA.21.1075.01A.01R.0692.07	TCGA.58.8392.01A.11R.2326.07	TCGA.66.2777.01A.01R.1201.07	TCGA.85.8052.01A.11R.2247.07
DDX10	202.66	819.3	242.88	318.57	229.72	305.55	108.9	303.44	493.56	0.0	0.47	444.72	825.0	591.22	813.63	878.17	2004.85	559.28	620.67	1721.16
DGKG	1.68	5.41	8.85	18.16	2.16	10.0	8.45	194.36	26.67	0.0	0.73	92.7	226.54	285.03	713.11	356.05	521.76	181.28	154.42	237.86
DIP2B	1561.89	575.03	153.34	104.42	82.87	81.14	77.79	208.38	193.01	0.0	0.71	341.51	341.51	1225.22	708.18	395.18	417.77	476.71	463.65	896.64
DMRT2	0.8	0.0	0.0	0.0	0.0	0.0	0.47	20.56	65.26	0.0	0.39	87.65	878.17	381.68	1277.29	860.08	1127.35	309.83	209.84	384.34
DSC3	1.09164457E7	1.018540392E7	0.58	0.58	0.0	0.0	1.14	19.82	47.5	0.0	0.33	5.02	406.31	2351.53	1143.1	1639.59	1051.79	2209.26	1242.34	1268.46
DSG3	4.7062411207E8	1.846220966E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	1.62	728.11	2739.08	2004.85	2163.77	1331.57	3349.13	2485.67	1417.35
EFNB1	2915.45	1583.71	102.97	224.97	157.68	107.38	128.79	320.8	190.34	0.0	0.97	358.54	633.73	1111.82	915.51	2609.3	612.11	1135.2	802.41	1151.06
EFS	435.55	909.17	3.23	4.54	35.5	4.5	12.55	166.73	181.28	0.0	0.95	1111.82	366.09	1059.11	769.69	1135.2	466.88	1151.06	269.6	693.58
EXT1	638.15	848.22	1008.9	2047.0	693.58	759.08	616.37	579.04	825.0	0.0	0.61	679.29	1250.98	1857.6	1225.22	2400.97	1745.2	1359.57	1073.91	1119.56
FAM153C	33.3	118.43	4.28	0.0	0.0	1.79	0.0	0.93	2.97	0.0	0.48	14.14	28.04	102.97	17.13	182.55	2.94	19.25	0.0	142.01
FAM181B	1.57	70.01	0.54	1.85	0.0	0.66	0.0	1.73	33.78	0.0	0.29	8.32	13.12	8.85	48.52	73.03	25.54	217.27	45.85	128.79
FAM43A	1991.0	2209.26	36.53	42.11	27.25	41.52	98.73	45.21	28.45	0.0	0.52	131.51	283.05	301.33	256.78	583.07	78.89	281.09	217.27	503.95
FAM89A	78.34	579.04	100.13	202.66	107.38	118.43	71.5	242.88	189.02	698.41	267.73	348.71	423.61	429.54	633.73	728.11	819.3	718.08	848.22	878.17
FBXO27	3124.78	5006.93	132.44	127.89	85.82	242.88	214.27	163.28	67.59	0.0	0.42	209.84	813.63	547.75	1378.57	860.08	974.5	1081.39	825.0	473.41
FEM1A	301.33	713.11	277.2	204.07	221.86	181.28	115.16	104.42	183.82	0.0	0.38	109.66	143.01	318.57	318.57	543.96	231.32	180.02	149.12	325.29
FGFR2	1242.34	1030.12	262.2	460.44	170.25	48.52	403.5	60.39	260.38	0.0	0.08	217.27	563.18	603.67	1008.9	1081.39	1151.06	921.88	866.07	1044.52
FLG2	1.91	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.13	4.9	1.91	2.34	3.79	0.66	16.03
FOXJ2	70.01	71.5	124.37	58.71	69.03	71.0	60.82	187.71	127.0	172.65	376.41	206.94	301.33	379.04	277.2	283.05	283.05	229.72	269.6	312.0
FRMD6	1369.04	339.14	45.53	49.21	148.09	47.84	18.7	64.34	164.42	0.0	0.69	88.88	486.75	1540.37	371.22	1561.89	988.12	1183.45	454.09	366.09
FSCN1	72715.74	5791.62	144.01	295.11	332.14	234.57	356.05	728.11	603.67	0.0	0.83	2855.44	2319.15	4607.24	1388.16	9606.86	4869.99	4181.07	5255.91	7749.1
FSTL4	11.82	819.3	6.78	2.71	17.25	5.41	0.0	15.68	3.0	0.0	0.19	71.5	58.3	122.64	163.28	204.07	43.63	127.0	24.63	42.11
GLI2	0.0	6.41	1.93	1.5	0.59	1.3	1.27	8.51	4.7	0.0	0.6	12.83	226.54	473.41	351.14	320.8	152.28	395.18	75.11	262.2
GPR98	45.53	156.59	15.8	37.32	11.38	14.14	75.64	36.79	44.89	0.0	0.16	37.85	73.03	29.27	117.6	139.07	169.07	132.44	52.82	144.01
HDAC10	480.04	688.78	303.44	693.58	275.28	403.5	543.96	435.55	358.54	0.0	0.96	575.03	921.88	967.76	1340.84	728.11	708.18	748.61	698.41	934.76
HDGFRP3	49.91	56.28	23.25	25.91	24.81	26.67	9.7	483.38	57.89	0.0	0.74	642.59	656.11	988.12	748.61	647.07	1233.75	1127.35	872.1	733.19
HHLA1	6.84	13.42	0.0	0.0	0.0	0.0	0.0	0.0	1.97	0.0	0.05	0.64	5.96	0.62	2.94	2.73	1.95	2.03	0.0	5.36
HIAT1	638.15	688.78	420.68	295.11	169.07	307.69	202.66	507.46	435.55	0.0	0.49	511.0	842.36	902.89	718.08	780.44	1963.57	543.96	872.1	1151.06
HR	5183.54	2816.11	0.0	1.62	1.48	5.41	6.26	14.67	6.31	0.0	0.62	15.8	121.79	1427.22	325.29	854.13	28.45	612.11	251.48	842.36
HRNR	15.45	3.41	0.0	0.0	0.0	0.0	0.0	0.92	2.53	0.0	0.2	3.26	3.41	11.82	14.78	14.24	11.3	10.39	3.59	31.45
HS6ST2	2.89	16.51	0.0	0.0	0.38	0.0	0.43	158.79	11.21	0.0	0.08	111.99	226.54	178.77	206.94	293.07	450.94	178.77	186.4	318.57
IGSF11	39.79	88.88	0.0	0.0	0.89	0.0	0.62	1.46	2.76	0.0	0.34	12.55	57.49	147.06	135.24	279.14	309.83	115.97	15.91	158.79
IGSF3	2591.27	1417.35	9.78	6.06	66.65	50.27	4.86	170.25	176.29	0.0	0.15	220.32	376.41	748.61	791.35	981.29	497.0	620.67	713.11	1407.55
IRAK4	392.44	486.75	113.56	91.41	65.72	108.9	36.01	248.0	208.38	0.0	0.48	239.52	397.93	518.15	429.54	269.6	466.88	514.56	426.57	454.09
IRF6	38430.46	22072.07	854.13	466.88	674.59	934.76	567.1	450.94	343.89	0.0	0.42	607.87	1037.29	1950.0	1417.35	2502.97	1806.78	1757.34	2319.15	1844.76
ITGB8	356.05	967.76	0.48	0.85	3.03	0.0	0.66	11.38	90.77	358.54	429.54	183.82	325.29	656.11	289.02	543.96	896.64	466.88	480.04	318.57
IVNS1ABP	2240.11	2163.77	607.87	384.34	264.03	172.65	283.05	1183.45	1397.83	0.0	0.11	1769.57	1457.23	2915.45	2287.2	2682.69	4607.24	2739.08	2061.24	3146.52
KCNQ5	314.17	323.03	0.0	0.45	0.0	0.0	0.0	4.31	9.63	0.0	0.32	5.59	25.17	52.45	38.12	60.82	74.58	43.63	25.72	27.05
KCTD15	202.66	563.18	40.36	50.98	37.85	158.79	109.66	57.08	45.53	47.17	104.42	248.0	567.1	872.1	1044.52	780.44	638.15	1167.14	1096.5	684.02
KIF13A	473.41	728.11	368.65	258.57	172.65	309.83	220.32	271.48	334.46	0.0	0.56	423.61	518.15	511.0	638.15	974.5	603.67	769.69	591.22	718.08
KLHL13	1.91	12.27	6.46	3.35	6.46	63.45	17.64	16.39	49.56	0.0	0.3	23.59	149.12	295.11	244.57	480.04	486.75	316.37	173.85	92.7
KRT5	4.3607468381E8	8.2510357921E8	0.0	2.66	0.0	4.62	5.41	32.13	5.77	0.0	0.8	339.14	10368.08	41188.81	16157.44	57448.23	19348.38	77934.88	17437.64	13033.07
KRT6A	2.01760973986E9	2.41604469791E9	1.57	0.0	0.0	0.0	0.0	10.16	14.14	0.0	1.17	74.06	50011.46	55491.3	110983.6	87681.42	49322.93	90773.53	41475.31	60304.42
MAP1B	53.95	34.26	13.22	18.56	23.93	11.04	8.13	195.72	154.42	19.68	74.58	214.27	559.28	660.68	1059.11	679.29	660.68	507.46	387.02	384.34
MAPKBP1	1769.57	285.03	42.41	33.78	34.02	38.95	29.7	73.54	69.03	0.0	0.83	87.03	175.07	361.04	327.56	305.55	114.36	379.04	251.48	241.19
MBD2	7433.4	7911.95	1183.45	638.15	967.76	884.29	473.41	1191.69	1963.57	0.0	0.95	941.27	2384.37	2555.58	4869.99	4512.4	3395.89	3280.18	2555.58	1950.0
MCC	211.31	312.0	12.18	44.89	32.59	6.62	75.11	18.16	36.53	54.72	48.52	29.06	218.79	208.38	127.0	182.55	170.25	167.9	175.07	103.69
ME1	8658.09	3212.66	48.87	181.28	13.62	802.41	291.04	1259.69	555.41	0.0	0.62	435.55	1208.34	2976.74	1340.84	1487.87	5219.6	1883.54	1561.89	2664.15
METTL24	0.0	0.0	2.63	12.83	0.73	1.0	6.89	16.39	4.94	0.0	0.29	8.51	114.36	93.35	127.0	135.24	237.86	116.78	186.4	198.47
MMS22L	111.21	82.87	68.55	9.27	23.59	11.55	4.28	88.88	109.66	0.0	0.39	99.43	145.02	186.4	163.28	134.3	255.0	279.14	167.9	158.79
MRAP2	738.29	529.06	62.56	0.0	2.32	1.46	0.58	4.66	3.59	46.84	137.14	9.7	157.68	423.61	323.03	303.44	748.61	379.04	106.63	463.65
MTMR1	961.07	693.58	277.2	163.28	48.87	107.38	116.78	348.71	325.29	0.0	0.72	283.05	571.05	854.13	872.1	780.44	688.78	743.43	567.1	638.15
MXRA7	395.18	902.89	599.49	595.34	182.55	151.22	429.54	1397.83	921.88	0.0	0.78	2303.12	3190.46	6471.02	4836.35	6792.79	5112.16	2758.13	3081.75	4010.71
NAP1L2	6.78	22.59	6.46	1.99	80.01	2.97	1.35	58.3	8.92	0.0	0.16	17.77	42.71	31.0	59.13	85.22	249.73	129.69	42.11	91.41
NDUFA4L2	327241.36	31650.8	400.71	616.37	961.07	165.57	120.1	376.41	194.36	0.0	1.06	3928.15	2104.58	2915.45	7485.11	656.11	19348.38	15499.21	1594.73	12853.63
NFE2L2	8963.45	8901.53	620.67	981.29	796.86	579.04	532.74	1378.57	1819.35	0.0	0.95	1923.14	2895.31	2720.15	4972.34	5791.62	6079.61	5441.3	2434.5	4481.23
NKAIN2	0.16	0.0	0.0	0.0	9.41	0.92	0.0	47.5	52.82	0.0	0.21	0.87	100.83	146.03	145.02	146.03	336.79	129.69	61.25	66.18
NTRK2	486.75	258.57	0.95	10.71	3.63	3.59	3.66	22.75	84.04	0.0	0.33	11.73	1313.23	5147.73	2720.15	2555.58	1819.35	4802.93	2047.0	2875.3
NTS	0.0	6.01	1.2	2.97	6.26	11.04	16.39	2.71	4.54	0.0	0.17	25.54	215.77	2287.2	21468.49	3982.99	5479.15	1844.76	1159.07	947.83
NUP50	1733.13	915.51	170.25	156.59	119.26	217.27	108.9	356.05	463.65	511.0	165.57	819.3	633.73	928.3	1529.73	698.41	733.19	1191.69	764.36	1059.11
NXPH4	13215.02	429.54	20.56	8.45	28.86	9.34	1.41	20.11	13.62	0.0	0.56	769.69	249.73	583.07	514.56	135.24	1088.92	854.13	363.56	432.53
OR7D2	0.2	23.08	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.09	0.0	0.0	0.42	0.44	0.0	0.0	0.42	0.42	11.73
PAK7	31.67	19.68	0.0	0.0	0.28	0.0	0.88	0.0	0.0	0.0	0.0	1.35	11.3	53.95	57.89	25.54	45.85	108.14	19.11	7.4
PCYT1B	3.23	0.0	0.75	0.0	0.35	0.93	2.56	2.16	0.66	0.0	0.07	35.5	54.72	120.94	127.89	105.15	163.28	178.77	71.0	74.06
PELI1	2163.77	679.29	118.43	86.43	40.93	83.45	56.68	339.14	239.52	0.0	0.27	507.46	819.3	1059.11	1529.73	1066.48	860.08	1447.15	480.04	647.07
PERP	492579.5	469249.9	1407.55	1594.73	808.0	1143.1	1111.82	3982.99	5594.3	2875.3	802.41	1870.53	4038.61	8901.53	8778.97	9025.81	8421.31	11345.82	6121.9	6699.25
PGF	295.11	185.11	104.42	104.42	116.78	32.59	40.64	137.14	91.41	0.0	0.69	175.07	293.07	480.04	400.71	1143.1	1359.57	703.28	967.76	808.0
PLA2R1	100.13	141.02	0.64	12.45	0.97	2.89	18.56	42.71	48.87	0.0	0.42	23.08	120.94	353.59	258.57	1044.52	447.82	273.37	183.82	124.37
PLCH2	37639.55	43236.64	5.5	75.64	12.36	295.11	80.57	10.0	10.39	0.0	0.8	46.5	218.79	165.57	221.86	507.46	81.14	253.23	81.71	185.11
PNCK	23.08	16.63	0.0	0.96	0.0	0.0	0.0	3.53	13.72	0.0	0.89	61.25	571.05	309.83	1685.71	1417.35	1745.2	1167.14	551.56	2591.27
PPM1L	87.65	226.54	19.53	18.84	36.27	123.5	23.59	44.57	40.64	0.0	0.48	59.55	74.06	260.38	165.57	312.0	262.2	211.31	228.13	127.0
PPP2R5A	3168.41	1963.57	1477.58	947.83	1023.0	902.89	387.02	738.29	679.29	0.0	0.46	679.29	866.07	1467.37	1151.06	1008.9	1127.35	947.83	1127.35	1378.57
PRPF4	400.71	503.95	297.17	176.29	177.53	166.73	190.34	376.41	307.69	0.0	0.4	409.15	591.22	878.17	764.36	1037.29	616.37	775.05	713.11	728.11
PRR5	559.28	1183.45	98.73	376.41	244.57	113.56	518.15	273.37	178.77	0.0	0.67	403.5	612.11	775.05	1167.14	1001.93	265.87	743.43	813.63	1183.45
PTDSS1	1111.82	1159.07	866.07	2032.85	665.29	1233.75	1242.34	1896.65	890.44	0.0	0.96	1322.37	4704.07	5751.61	8598.28	2537.92	10585.95	4481.23	5995.9	7280.4
PTHLH	3395.89	1498.22	2.2	6.16	5.28	5.68	0.0	30.56	19.25	0.0	0.62	301.33	1540.37	5555.65	2104.58	4481.23	16496.96	3982.99	3690.52	1870.53
PTPRZ1	6652.97	7331.05	2.92	0.0	0.99	0.0	0.0	40.36	9.56	0.0	0.77	56.68	426.57	1963.57	825.0	2451.44	3419.52	2319.15	423.61	483.38
RAB6B	2.92	8.78	20.56	21.16	13.62	7.17	14.14	684.02	480.04	0.0	0.67	269.6	2287.2	2935.74	3820.7	3419.52	1733.13	1757.34	1457.23	1819.35
RAET1L	49322.93	24660.96	0.0	0.0	0.0	1.97	0.0	4.9	4.66	0.0	0.35	6.01	255.0	299.25	563.18	318.57	164.42	1081.39	256.78	361.04
RASSF9	4.58	23.25	2.41	1.28	0.47	6.11	3.06	72.01	103.69	0.0	0.28	165.57	185.11	277.2	974.5	318.57	379.04	334.46	264.03	563.18
RCN2	435.55	1051.79	688.78	423.61	258.57	246.28	143.01	1605.83	759.08	0.0	0.82	1685.71	1540.37	2163.77	2682.69	1628.26	3325.99	2855.44	2148.82	2075.59
RGMA	237.86	341.51	6.52	5.5	18.56	3.72	3.26	78.89	77.25	0.0	0.69	89.51	264.03	642.59	830.75	1378.57	733.19	1561.89	275.28	483.38
RGS6	3.0	0.4	0.0	1.41	2.43	3.41	1.68	3.23	1.2	0.0	0.22	1.23	80.01	301.33	120.1	258.57	249.73	28.65	62.56	57.89
RNF217	115.16	71.5	49.21	48.18	70.51	114.36	89.51	808.0	191.67	0.0	0.88	112.77	327.56	642.59	651.58	265.87	836.53	483.38	457.25	612.11
S100A2	3.15251512E7	1739208.14	13.03	5.92	1.87	1.79	4.39	277.2	444.72	0.0	0.87	447.82	3690.52	22850.48	2351.53	87681.42	2976.74	9279.58	10585.95	9088.59
SCN9A	0.21	4.46	36.53	5.82	21.32	59.13	10.16	26.67	4.46	0.0	0.21	23.59	71.5	262.2	130.6	139.07	353.59	107.38	111.99	221.86
SEMA6D	55.1	2178.83	5.54	2.89	8.38	9.48	6.84	4.7	3.82	0.0	0.36	9.48	128.79	346.29	511.0	239.52	275.28	353.59	77.25	88.88
SESN3	514.56	341.51	75.64	15.91	18.29	94.67	22.75	105.89	25.17	241.19	46.84	92.05	368.65	769.69	974.5	713.11	2133.97	1857.6	638.15	947.83
SGK1	3419.52	16157.44	389.72	563.18	221.86	486.75	1639.59	647.07	753.83	0.0	0.46	775.05	3820.7	4181.07	4704.07	4038.61	3665.02	4239.45	2209.26	1697.45
SH3BP1	4512.4	1745.2	28.04	50.63	23.08	27.64	61.68	389.72	432.53	0.0	0.67	540.19	860.08	1733.13	1331.57	1508.65	928.3	1225.22	1277.29	1529.73
SIPA1L2	1073.91	1225.22	61.25	187.71	35.5	154.42	82.87	157.68	466.88	0.0	0.68	420.68	693.58	1242.34	769.69	941.27	547.75	947.83	647.07	819.3
SLC2A12	18.03	20.11	13.12	33.3	50.98	57.49	25.54	37.32	22.59	0.0	0.18	305.55	279.14	320.8	521.76	432.53	1088.92	147.06	287.01	267.73
SLC6A8	5555.65	363.56	89.51	53.57	20.56	39.5	226.54	403.5	318.57	0.0	1.31	1583.71	4152.18	2997.45	9876.98	8538.88	10733.74	7382.04	2720.15	10368.08
SLCO1B7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7	0.0	0.0	0.0	0.37	2.05	0.0	2.68	8.19	17.64	1.5	2.32	3.23
SMO	132.44	389.72	555.41	392.44	1001.93	583.07	633.73	74.06	169.07	0.0	0.54	529.06	728.11	872.1	819.3	1059.11	684.02	1208.34	429.54	603.67
SNAI2	231.32	1977.24	38.4	127.0	181.28	91.41	74.06	63.0	85.82	0.0	0.68	108.9	536.45	1498.22	733.19	808.0	1572.76	1073.91	684.02	825.0
SOWAHC	18819.27	4607.24	133.36	226.54	167.9	287.01	291.04	152.28	117.6	57.08	74.58	269.6	267.73	426.57	314.17	441.64	320.8	460.44	503.95	612.11
SQLE	6037.61	3146.52	417.77	563.18	1857.6	1340.84	181.28	703.28	688.78	0.0	0.0	1359.57	808.0	1519.15	1529.73	785.88	1896.65	1268.46	2224.63	947.83
SREBF2	2573.36	2163.77	293.07	967.76	1583.71	764.36	718.08	902.89	518.15	1096.5	279.14	1350.18	1322.37	2090.03	2224.63	2178.83	2645.74	2451.44	2573.36	3303.0
SSFA2	1159.07	2434.5	599.49	417.77	603.67	591.22	607.87	688.78	616.37	500.46	166.73	1477.58	703.28	1857.6	1127.35	1286.18	2303.12	1044.52	1268.46	1561.89
STX6	1721.16	708.18	145.02	95.34	54.72	63.45	67.59	536.45	497.0	0.0	0.72	414.87	532.74	703.28	490.14	769.69	536.45	674.59	708.18	915.51
SUSD4	59474.18	50359.33	483.38	6.89	5.5	199.85	41.81	255.0	34.02	0.0	0.38	63.89	241.19	480.04	400.71	638.15	629.35	1183.45	521.76	651.58
TARBP1	379.04	1044.52	384.34	447.82	116.78	403.5	72.01	529.06	480.04	0.0	0.43	314.17	563.18	1037.29	1225.22	1191.69	1216.75	738.29	679.29	928.3
TCF20	878.17	457.25	99.43	117.6	70.51	122.64	67.12	387.02	224.97	351.14	251.48	454.09	473.41	483.38	825.0	759.08	336.79	674.59	525.39	764.36
TFRC	473.41	493.56	884.29	483.38	543.96	267.73	42.41	1104.13	1151.06	0.0	0.75	2591.27	5041.77	12076.21	4704.07	6426.31	6840.04	3039.3	3794.3	4328.55
TMEM117	1051.79	1127.35	63.45	58.3	7.46	51.71	34.26	69.52	83.45	0.0	0.56	80.57	239.52	616.37	435.55	283.05	571.05	473.41	287.01	273.37
TMEM151B	12.45	4.98	0.0	0.0	0.84	0.0	0.0	1.5	0.71	0.0	0.33	18.56	12.36	9.78	24.46	145.02	3.23	5.82	9.63	7.51
TMEM17	94.01	162.14	25.91	17.51	35.0	44.57	10.24	60.39	48.18	0.0	0.0	48.87	126.12	239.52	493.56	162.14	258.57	142.01	202.66	295.11
TMTC1	0.88	28.86	11.82	22.43	6.67	10.71	13.72	80.57	10.63	0.0	0.65	40.64	273.37	397.93	312.0	620.67	334.46	361.04	265.87	318.57
TMTC3	206.94	273.37	62.12	43.02	43.02	64.8	21.47	152.28	119.26	92.05	55.49	172.65	189.02	599.49	400.71	551.56	463.65	620.67	265.87	368.65
TPD52L1	29327.18	31215.04	76.71	1250.98	656.11	1733.13	1286.18	2434.5	2240.11	0.0	0.61	848.22	1745.2	3443.31	2163.77	2645.74	5913.33	2855.44	3564.78	3665.02
TRIB2	406.31	291.04	57.49	129.69	183.82	255.0	153.34	551.56	217.27	0.0	1.06	271.48	764.36	1167.14	497.0	2627.46	1427.22	616.37	896.64	723.08
TRIM16	28923.41	28923.41	82.87	138.1	34.26	123.5	59.97	1242.34	457.25	0.0	0.71	1119.56	1447.15	2816.11	1733.13	2240.11	3168.41	2997.45	1769.57	3018.3
TRIM29	1212874.47	1656835.72	7.28	10.16	10.39	12.64	55.1	46.5	316.37	0.0	0.56	551.56	3491.39	8421.31	5954.47	5219.6	4736.79	9540.5	8247.98	6840.04
TRPM7	98.04	141.02	244.57	176.29	71.0	336.79	46.84	167.9	152.28	166.73	61.68	152.28	251.48	414.87	381.68	289.02	536.45	409.15	232.94	454.09
