	GTEX.139TT.0726.SM.5K7XW	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13U4I.1426.SM.5J2M3	GTEX.11DXX.0626.SM.5Q5AG	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WZTO.0426.SM.3NM99	GTEX.ZA64.0326.SM.5HL8T	GTEX.WFJO.0326.SM.3GIL3	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.11I78.0126.SM.5HL6F	GTEX.RWSA.1126.SM.2XCAZ	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.13VXU.2726.SM.5LU4N	GTEX.P78B.0926.SM.2I5FA	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDTT.0926.SM.5J2MS	GTEX.OIZI.1026.SM.3NB1K	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.UPIC.0826.SM.3GADQ	GTEX.XPVG.1026.SM.4B64Y	GTEX.UJHI.0726.SM.3DB92	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.S7SF.0426.SM.3K2B7	GTEX.Q2AG.1026.SM.33HBW	GTEX.R55D.0926.SM.3GAEU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.1399U.0826.SM.5KM1P	GTEX.OXRL.0526.SM.2I3EZ	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.13G51.0426.SM.5K7Z5	GTEX.UJMC.0726.SM.3GADX	GTEX.NFK9.1026.SM.2HMK1	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.RM2N.0426.SM.2TF4T	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.131XH.0426.SM.5DUWU
C20orf27	239.52	1151.06	1183.45	1628.26	1127.35	819.3	189.02	785.88	656.11	764.36	244.57	753.83	780.44	633.73	1304.15	808.0	1437.15	229.72	947.83	339.14	244.57	620.67	915.51	1529.73	1191.69	624.99	1832.01	148.09	1073.91	703.28	1119.56	665.29	447.82	633.73	1883.54	1088.92	878.17	536.45	351.14	177.53	1015.93	1225.22	836.53	684.02	1073.91	854.13	909.17	896.64	1151.06	1286.18	1051.79	660.68	954.43	2271.4	2104.58	1909.85	229.72	417.77	890.44	1044.52	909.17	723.08	460.44	1350.18	1175.27	872.1	796.86	309.83	1051.79	536.45	215.77	400.71	656.11	733.19	305.55	329.84
C21orf67	6.21	46.5	38.67	38.95	82.87	28.04	70.51	22.43	15.91	27.84	13.03	31.9	34.51	46.5	34.26	53.95	24.46	23.08	44.89	24.11	19.97	5.68	24.81	41.52	53.95	21.32	31.67	22.92	38.4	16.27	39.5	45.85	33.54	29.91	108.9	29.27	13.22	13.62	21.01	15.56	30.12	59.13	35.0	49.91	43.94	45.21	49.91	33.06	65.72	34.75	72.52	48.87	43.02	31.67	56.68	52.08	8.06	17.0	12.36	41.81	55.89	24.63	12.0	47.5	41.22	50.63	59.13	15.56	23.76	19.11	9.48	15.91	20.41	10.96	17.64	8.99
C9orf69	154.42	429.54	476.71	836.53	476.71	483.38	135.24	426.57	379.04	409.15	132.44	368.65	620.67	242.88	575.03	420.68	444.72	153.34	529.06	392.44	273.37	381.68	392.44	518.15	525.39	277.2	603.67	131.51	320.8	463.65	490.14	336.79	182.55	493.56	723.08	559.28	332.14	291.04	285.03	234.57	486.75	647.07	536.45	348.71	503.95	587.13	559.28	409.15	493.56	540.19	368.65	361.04	651.58	503.95	412.0	808.0	221.86	297.17	417.77	381.68	525.39	356.05	486.75	567.1	493.56	529.06	525.39	149.12	395.18	301.33	143.01	204.07	447.82	187.71	178.77	171.45
CAD	92.05	460.44	409.15	802.41	473.41	480.04	87.03	279.14	285.03	248.0	129.69	251.48	454.09	224.97	403.5	409.15	346.29	84.63	366.09	341.51	172.65	368.65	314.17	373.81	466.88	195.72	490.14	169.07	329.84	366.09	480.04	195.72	299.25	403.5	753.83	587.13	327.56	237.86	171.45	144.01	518.15	708.18	339.14	336.79	387.02	536.45	414.87	420.68	460.44	551.56	414.87	231.32	540.19	361.04	327.56	733.19	129.69	309.83	265.87	379.04	438.59	264.03	353.59	450.94	563.18	579.04	514.56	94.67	371.22	269.6	63.45	327.56	223.41	169.07	101.54	114.36
CCDC167	157.68	293.07	441.64	595.34	529.06	432.53	134.3	242.88	607.87	208.38	87.03	264.03	441.64	295.11	490.14	353.59	412.0	206.94	256.78	466.88	279.14	316.37	450.94	599.49	289.02	239.52	441.64	146.03	237.86	332.14	387.02	262.2	237.86	441.64	866.07	395.18	358.54	297.17	212.78	275.28	540.19	525.39	348.71	205.5	463.65	559.28	450.94	339.14	318.57	647.07	318.57	669.92	547.75	341.51	718.08	1427.22	218.79	312.0	429.54	281.09	379.04	423.61	480.04	616.37	397.93	403.5	395.18	293.07	463.65	318.57	185.11	242.88	279.14	212.78	151.22	140.04
CHID1	753.83	1529.73	2075.59	2664.15	1806.78	1208.34	629.35	1697.45	1199.98	1037.29	967.76	1127.35	1594.73	909.17	1909.85	1781.89	1397.83	575.03	1437.15	1369.04	1233.75	1250.98	1457.23	1909.85	1832.01	769.69	921.88	848.22	1605.83	1313.23	2163.77	791.35	1378.57	1447.15	3257.52	1844.76	1467.37	1477.58	1259.69	642.59	1119.56	2335.28	1277.29	1437.15	1250.98	2682.69	2090.03	1407.55	1769.57	1923.14	1857.6	1806.78	1617.0	1407.55	2976.74	3146.52	703.28	1175.27	1457.23	1151.06	2303.12	1498.22	1936.53	1594.73	2303.12	1781.89	2485.67	1127.35	1417.35	1662.49	460.44	1662.49	1008.9	1359.57	473.41	1001.93
CHMP6	255.0	616.37	981.29	896.64	902.89	679.29	291.04	830.75	493.56	791.35	297.17	624.99	532.74	373.81	802.41	802.41	928.3	212.78	967.76	540.19	389.72	624.99	769.69	1127.35	967.76	567.1	1044.52	688.78	595.34	599.49	733.19	854.13	403.5	647.07	1369.04	785.88	476.71	536.45	348.71	251.48	703.28	842.36	684.02	780.44	928.3	884.29	1127.35	830.75	769.69	669.92	830.75	624.99	909.17	947.83	769.69	915.51	171.45	660.68	728.11	693.58	769.69	656.11	371.22	947.83	836.53	688.78	825.0	289.02	819.3	647.07	170.25	438.59	559.28	341.51	212.78	301.33
CISD3	346.29	1096.5	1340.84	2047.0	915.51	1477.58	295.11	703.28	723.08	954.43	351.14	713.11	1551.09	1044.52	1313.23	947.83	1674.06	215.77	1104.13	830.75	599.49	813.63	1023.0	1340.84	1208.34	684.02	1572.76	332.14	890.44	1051.79	1427.22	733.19	551.56	1081.39	1733.13	1199.98	909.17	567.1	444.72	279.14	1313.23	1037.29	780.44	738.29	1143.1	1096.5	1143.1	1037.29	1096.5	1651.0	1001.93	395.18	1225.22	1286.18	1674.06	2384.37	316.37	607.87	981.29	934.76	954.43	775.05	624.99	1359.57	1081.39	1340.84	848.22	540.19	1167.14	884.29	320.8	571.05	718.08	389.72	587.13	412.0
COPS6	1331.57	2047.0	2104.58	3168.41	2178.83	2758.13	988.12	1378.57	1977.24	1819.35	780.44	1519.15	2591.27	1388.16	2133.97	1936.53	2287.2	1159.07	2224.63	2075.59	1685.71	1733.13	1757.34	2104.58	2163.77	1529.73	2417.67	1447.15	1662.49	2384.37	2163.77	1397.83	1369.04	2209.26	3768.09	2255.7	1662.49	1819.35	1417.35	1268.46	2664.15	2627.46	1685.71	1322.37	1963.57	2739.08	2468.49	1844.76	2004.85	3212.66	1745.2	1991.0	2148.82	1819.35	2997.45	4388.98	1427.22	2163.77	1832.01	1857.6	1733.13	1594.73	1617.0	2956.17	2075.59	2224.63	1909.85	1519.15	1745.2	1594.73	1295.13	1467.37	1551.09	1540.37	684.02	1427.22
COPS7A	547.75	1923.14	2133.97	2090.03	1529.73	1950.0	435.55	1617.0	1498.22	1457.23	660.68	1340.84	1757.34	559.28	1909.85	1697.45	1572.76	438.59	1605.83	1135.2	665.29	1639.59	1896.65	1651.0	2004.85	1397.83	1487.87	884.29	1594.73	1467.37	1950.0	1295.13	921.88	1674.06	2400.97	1936.53	1066.48	934.76	878.17	500.46	1662.49	1977.24	1594.73	1417.35	1594.73	2090.03	2178.83	1674.06	1685.71	1857.6	1519.15	1561.89	1628.26	1857.6	2319.15	2835.7	547.75	1427.22	1437.15	1369.04	1857.6	1487.87	1508.65	1936.53	1781.89	1936.53	1697.45	688.78	1721.16	1286.18	403.5	780.44	1388.16	791.35	366.09	825.0
CTD-2369P2.12	130.6	273.37	638.15	532.74	283.05	242.88	269.6	132.44	229.72	316.37	113.56	295.11	483.38	291.04	175.07	198.47	346.29	99.43	289.02	273.37	194.36	171.45	241.19	595.34	571.05	127.0	511.0	209.84	256.78	148.09	255.0	202.66	258.57	281.09	575.03	287.01	133.36	171.45	112.77	178.77	339.14	371.22	173.85	190.34	169.07	305.55	703.28	154.42	497.0	265.87	403.5	142.01	429.54	366.09	583.07	591.22	151.22	497.0	466.88	423.61	214.27	532.74	236.21	441.64	486.75	351.14	435.55	96.01	483.38	289.02	214.27	218.79	281.09	78.34	249.73	157.68
CYC1	612.11	2627.46	2520.38	5255.91	1143.1	2591.27	1322.37	1427.22	1259.69	1870.53	1605.83	1757.34	4181.07	1819.35	1806.78	2047.0	1594.73	660.68	2400.97	3395.89	896.64	2468.49	1936.53	3018.3	2163.77	1388.16	3614.55	1340.84	1697.45	2061.24	2537.92	1832.01	1487.87	2502.97	3955.48	3491.39	1487.87	2133.97	1015.93	1015.93	1617.0	2163.77	2240.11	1407.55	2133.97	2758.13	2148.82	2720.15	1977.24	3955.48	1870.53	1183.45	2777.33	2573.36	3168.41	3847.29	543.96	1963.57	2047.0	2032.85	2224.63	1388.16	1088.92	2664.15	2434.5	3146.52	1583.71	819.3	2555.58	1991.0	718.08	1340.84	1487.87	1030.12	896.64	1322.37
DBNL	1259.69	2555.58	2935.74	3124.78	3146.52	2209.26	2915.45	2485.67	2255.7	2520.38	947.83	1977.24	1447.15	2148.82	2777.33	2609.3	2645.74	1857.6	2417.67	2133.97	1250.98	1923.14	2895.31	2835.7	2915.45	2224.63	3018.3	1417.35	2287.2	2367.9	2537.92	2796.65	1540.37	2271.4	4268.94	2627.46	1896.65	1896.65	1427.22	1388.16	2502.97	3124.78	2796.65	2367.9	2520.38	3325.99	3820.7	3060.45	2104.58	2777.33	2417.67	1781.89	2502.97	3212.66	2976.74	4736.79	836.53	1662.49	2209.26	2451.44	3146.52	1628.26	1991.0	2956.17	2701.35	2956.17	3467.27	1685.71	2645.74	2739.08	878.17	1519.15	2047.0	2047.0	1051.79	1529.73
DNAJC17	248.0	603.67	587.13	400.71	503.95	551.56	299.25	470.14	460.44	567.1	139.07	555.41	514.56	332.14	624.99	713.11	738.29	111.99	503.95	353.59	275.28	454.09	420.68	703.28	460.44	406.31	785.88	363.56	395.18	476.71	543.96	379.04	353.59	414.87	860.08	466.88	400.71	429.54	269.6	218.79	466.88	551.56	591.22	497.0	521.76	791.35	435.55	441.64	438.59	423.61	647.07	403.5	878.17	607.87	743.43	629.35	117.6	414.87	381.68	599.49	490.14	403.5	457.25	500.46	525.39	607.87	514.56	262.2	497.0	460.44	187.71	420.68	293.07	291.04	183.82	376.41
DRG2	325.29	698.41	647.07	878.17	738.29	890.44	320.8	529.06	612.11	563.18	521.76	503.95	728.11	447.82	567.1	647.07	708.18	232.94	703.28	684.02	251.48	620.67	769.69	743.43	775.05	708.18	941.27	620.67	591.22	684.02	656.11	543.96	361.04	547.75	902.89	723.08	406.31	629.35	351.14	255.0	825.0	836.53	559.28	521.76	638.15	698.41	1583.71	624.99	860.08	679.29	665.29	599.49	836.53	748.61	629.35	1030.12	221.86	511.0	532.74	733.19	703.28	563.18	579.04	825.0	878.17	884.29	848.22	301.33	629.35	693.58	171.45	490.14	651.58	366.09	271.48	253.23
EEFSEC	138.1	371.22	426.57	612.11	327.56	441.64	148.09	412.0	269.6	312.0	176.29	363.56	371.22	226.54	423.61	361.04	384.34	92.7	376.41	379.04	231.32	318.57	262.2	540.19	348.71	224.97	432.53	301.33	318.57	379.04	409.15	244.57	195.72	312.0	698.41	441.64	273.37	309.83	212.78	146.03	320.8	441.64	325.29	435.55	423.61	447.82	521.76	358.54	353.59	457.25	373.81	262.2	417.77	316.37	414.87	480.04	178.77	236.21	341.51	339.14	423.61	438.59	318.57	638.15	444.72	441.64	543.96	182.55	348.71	309.83	50.63	373.81	316.37	262.2	91.41	145.02
ERAL1	320.8	780.44	896.64	819.3	836.53	780.44	309.83	688.78	607.87	743.43	500.46	669.92	848.22	438.59	669.92	759.08	896.64	177.53	780.44	718.08	271.48	753.83	830.75	890.44	890.44	616.37	954.43	665.29	733.19	796.86	748.61	603.67	414.87	785.88	1143.1	854.13	473.41	599.49	336.79	312.0	941.27	825.0	713.11	733.19	759.08	775.05	884.29	791.35	684.02	860.08	775.05	651.58	967.76	819.3	902.89	1111.82	334.46	759.08	595.34	708.18	769.69	753.83	708.18	819.3	819.3	796.86	813.63	316.37	802.41	642.59	147.06	371.22	669.92	262.2	255.0	293.07
ERCC1	830.75	1427.22	1143.1	2133.97	1104.13	1388.16	1295.13	909.17	928.3	1111.82	759.08	1111.82	1794.29	1008.9	1059.11	1030.12	1159.07	860.08	1001.93	1745.2	718.08	1151.06	808.0	1242.34	1561.89	808.0	1175.27	961.07	1104.13	1023.0	1104.13	1806.78	890.44	1059.11	1628.26	1417.35	813.63	1066.48	718.08	819.3	1457.23	1733.13	743.43	1008.9	909.17	1378.57	1651.0	1250.98	1447.15	1427.22	1127.35	1104.13	1417.35	1551.09	1685.71	1359.57	665.29	1191.69	1111.82	1268.46	1225.22	1477.58	733.19	1769.57	1233.75	1561.89	1350.18	1143.1	1059.11	1199.98	1059.11	866.07	1447.15	890.44	909.17	713.11
ERI3	376.41	1477.58	1322.37	1883.54	921.88	1295.13	540.19	1030.12	718.08	1175.27	947.83	1225.22	1662.49	819.3	1001.93	1104.13	1427.22	351.14	1008.9	1059.11	591.22	1059.11	928.3	1388.16	1407.55	854.13	1340.84	780.44	1104.13	890.44	1216.75	764.36	884.29	1081.39	2255.7	1159.07	1051.79	1242.34	830.75	497.0	1023.0	1331.57	878.17	1359.57	1088.92	1388.16	1183.45	1030.12	1628.26	1378.57	1242.34	825.0	1175.27	1001.93	1721.16	2178.83	514.56	703.28	1340.84	1175.27	1340.84	1388.16	612.11	1896.65	1674.06	1561.89	872.1	583.07	1427.22	1104.13	348.71	974.5	1159.07	567.1	414.87	620.67
FAM195B	1378.57	2351.53	2997.45	3742.05	2855.44	1819.35	928.3	1605.83	1923.14	2104.58	591.22	1437.15	3820.7	1781.89	1883.54	1183.45	2468.49	1111.82	1628.26	1216.75	1628.26	1745.2	1044.52	5555.65	1977.24	1277.29	1662.49	947.83	2875.3	2148.82	1350.18	1295.13	954.43	1191.69	6037.61	2163.77	1143.1	1551.09	890.44	1277.29	2303.12	1977.24	1427.22	1819.35	1119.56	2875.3	4869.99	1639.59	3955.48	1950.0	1991.0	1250.98	2163.77	2090.03	2976.74	4869.99	995.0	728.11	2090.03	1857.6	1407.55	2287.2	1037.29	3589.58	2739.08	2047.0	2178.83	1216.75	3124.78	2032.85	785.88	902.89	1350.18	1143.1	791.35	1104.13
FAM212A	41.52	264.03	660.68	361.04	215.77	536.45	24.11	83.45	134.3	307.69	12.09	156.59	616.37	24.81	420.68	128.79	480.04	31.67	447.82	57.08	90.77	108.9	108.14	368.65	236.21	81.71	153.34	70.51	171.45	166.73	232.94	226.54	25.91	163.28	400.71	339.14	66.18	69.52	186.4	133.36	283.05	441.64	309.83	130.6	231.32	201.25	373.81	237.86	110.43	221.86	503.95	109.66	234.57	267.73	220.32	269.6	45.85	96.01	104.42	63.45	285.03	155.5	88.88	361.04	165.57	133.36	208.38	47.84	133.36	145.02	46.84	63.45	96.01	41.52	27.44	49.91
