	TCGA.CU.A5W6.01A.11R.A28M.07	TCGA.BT.A0YX.01A.11R.A10U.07	TCGA.XF.A9T8.01A.11R.A39I.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.CU.A72E.01A.12R.A33J.07	TCGA.BT.A20U.11A.11R.A14Y.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.UC.A7PF.01A.11R.A352.07	TCGA.MA.AA42.01A.12R.A38B.07	TCGA.EK.A2RC.01A.11R.A18M.07	TCGA.Q1.A6DW.01A.11R.A32P.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.DS.A5RQ.01A.11R.A28H.07	TCGA.EK.A2RO.01A.11R.A18M.07	TCGA.EA.A3HU.01A.11R.A213.07	TCGA.DS.A1OB.01A.11R.A14Y.07	TCGA.C5.A1BQ.01C.11R.A213.07	TCGA.XP.A8T8.01A.11R.A36D.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.IG.A8O2.01A.11R.A36D.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.Z6.A8JD.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.LN.A49L.01A.11R.A24K.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.XP.A8T6.01A.11R.A36D.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.LN.A4A1.01A.21R.A260.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.V5.AASV.01A.11R.A38D.31	TCGA.LN.A8I1.01A.11R.A36D.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.VR.A8EW.01A.11R.A36D.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZTTD.1226.SM.51MS2	GTEX.145LV.1326.SM.5S2QI	GTEX.QVUS.0626.SM.447CC	GTEX.T5JC.1726.SM.4DM6U	GTEX.PLZ4.1626.SM.3P618	GTEX.RNOR.1226.SM.48FDQ	GTEX.UPK5.1226.SM.4IHL8	GTEX.XQ3S.1126.SM.4BOPK	GTEX.132AR.2226.SM.5J2NT	GTEX.132AR.2326.SM.5IJDY	TCGA.QK.A6VC.01A.23R.A34R.07	TCGA.CR.6472.01A.11R.1873.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.6955.01A.11R.2016.07	TCGA.CV.6935.01A.11R.1915.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7421.01A.11R.2081.07	TCGA.CV.7183.11A.01R.2016.07	GTEX.YFC4.1126.SM.5RQJN	GTEX.ZUA1.1026.SM.4YCEA	TCGA.85.A4JC.01A.11R.A24Z.07	TCGA.21.5784.01A.01R.1635.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.7806.11A.01R.2055.13	GTEX.WWYW.2826.SM.4MVOQ	GTEX.PWN1.2026.SM.48TD9	GTEX.R55G.1626.SM.48FF4
CCNT2	148.09	231.32	130.6	63.0	189.02	197.09	149.12	303.44	157.68	152.28	332.14	199.85	161.02	157.68	242.88	232.94	246.28	351.14	366.09	269.6	295.11	361.04	297.17	279.14	271.48	187.71	193.01	236.21	336.79	368.65	395.18	575.03	371.22	447.82	521.76	406.31	679.29	591.22	314.17	307.69	651.58	291.04	312.0	363.56	301.33	295.11	323.03	327.56	420.68	603.67	297.17	473.41	323.03	389.72	379.04	341.51	518.15	429.54	246.28	295.11	473.41	180.02	117.6	135.24	135.24	189.02	181.28	112.77	133.36	285.03	336.79	143.01	118.43	76.71	115.97	109.66	129.69	114.36	98.04	63.0	244.57	547.75	152.28	147.06
CLASRP	1350.18	688.78	921.88	878.17	974.5	961.07	693.58	1304.15	759.08	1286.18	1295.13	1167.14	684.02	1081.39	981.29	1167.14	1051.79	1286.18	1529.73	3212.66	1427.22	1519.15	1477.58	2104.58	1745.2	1605.83	1628.26	1617.0	1991.0	1639.59	1977.24	2664.15	1594.73	1572.76	1295.13	2400.97	3103.19	2609.3	3928.15	1191.69	2255.7	2047.0	1909.85	1397.83	2367.9	1268.46	1950.0	1059.11	2090.03	2133.97	1397.83	2682.69	2434.5	3847.29	2075.59	2739.08	2720.15	3039.3	2367.9	1551.09	2645.74	1407.55	624.99	232.94	363.56	420.68	651.58	579.04	269.6	1233.75	674.59	1135.2	547.75	84.63	376.41	339.14	476.71	305.55	253.23	271.48	967.76	3303.0	529.06	571.05
CLK2	878.17	444.72	684.02	733.19	796.86	698.41	796.86	1617.0	961.07	872.1	1498.22	947.83	651.58	567.1	599.49	981.29	791.35	1651.0	1369.04	2075.59	1051.79	1639.59	1397.83	1685.71	1088.92	1331.57	1457.23	1313.23	3146.52	1143.1	1397.83	1883.54	1551.09	1844.76	1313.23	1685.71	1883.54	1529.73	2485.67	1151.06	2104.58	1167.14	1417.35	1135.2	1551.09	1407.55	1519.15	1295.13	1870.53	1508.65	1015.93	1286.18	1733.13	1745.2	1417.35	1963.57	1572.76	1950.0	1167.14	1304.15	1583.71	890.44	902.89	279.14	384.34	603.67	620.67	473.41	275.28	329.84	197.09	1407.55	878.17	141.02	318.57	318.57	466.88	406.31	241.19	190.34	733.19	1561.89	525.39	624.99
CLK4	155.5	111.21	144.01	190.34	175.07	220.32	206.94	305.55	253.23	256.78	293.07	191.67	256.78	170.25	323.03	253.23	242.88	271.48	332.14	215.77	329.84	305.55	323.03	164.42	303.44	197.09	127.89	297.17	303.44	470.14	406.31	476.71	215.77	397.93	262.2	295.11	490.14	368.65	236.21	348.71	463.65	242.88	299.25	166.73	249.73	161.02	387.02	327.56	358.54	480.04	387.02	674.59	612.11	525.39	447.82	525.39	647.07	656.11	232.94	500.46	813.63	248.0	170.25	125.24	88.26	190.34	198.47	64.8	156.59	241.19	190.34	232.94	144.01	56.28	99.43	45.85	108.9	82.87	96.68	84.63	299.25	536.45	226.54	136.19
CPT1B	559.28	329.84	283.05	329.84	563.18	503.95	603.67	591.22	323.03	651.58	693.58	343.89	414.87	825.0	303.44	529.06	595.34	341.51	486.75	587.13	327.56	728.11	463.65	819.3	567.1	260.38	444.72	753.83	1191.69	521.76	493.56	1001.93	587.13	543.96	703.28	1540.37	2047.0	981.29	1175.27	400.71	1304.15	555.41	669.92	379.04	733.19	423.61	392.44	642.59	624.99	551.56	470.14	447.82	3190.46	1883.54	941.27	1350.18	1119.56	2047.0	532.74	1870.53	842.36	463.65	26.86	43.63	74.58	71.5	457.25	180.02	48.87	136.19	76.71	921.88	384.34	90.77	215.77	848.22	293.07	40.36	157.68	137.14	186.4	947.83	35.0	48.52
CSAD	647.07	146.03	244.57	185.11	256.78	307.69	361.04	872.1	195.72	351.14	551.56	872.1	231.32	285.03	180.02	423.61	447.82	563.18	1044.52	1191.69	733.19	684.02	769.69	1088.92	902.89	444.72	928.3	607.87	1119.56	540.19	884.29	902.89	693.58	698.41	947.83	1819.35	2451.44	6652.97	1159.07	941.27	2061.24	759.08	819.3	283.05	764.36	463.65	1259.69	775.05	698.41	1096.5	848.22	1508.65	1781.89	2061.24	1529.73	1651.0	1487.87	1417.35	679.29	738.29	974.5	713.11	100.83	36.01	96.68	108.14	305.55	156.59	88.26	1111.82	368.65	764.36	175.07	8.45	94.67	102.97	111.99	74.58	64.8	45.53	361.04	1397.83	167.9	229.72
DCST2	23.59	3.69	24.46	57.49	45.53	23.42	73.54	115.16	61.25	72.52	137.14	76.17	106.63	58.3	7.63	21.94	116.78	166.73	90.77	82.87	15.22	60.39	73.03	102.97	35.5	22.92	75.11	25.54	423.61	105.15	71.0	175.07	78.89	111.99	121.79	158.79	62.56	73.03	146.03	63.89	118.43	37.59	88.88	12.36	60.39	69.03	67.12	171.45	47.84	51.35	83.45	23.59	281.09	251.48	158.79	181.28	161.02	148.09	91.41	62.12	24.28	109.66	19.82	13.52	22.1	34.02	12.64	12.55	5.5	27.64	13.52	114.36	25.35	0.16	9.7	7.69	9.2	5.28	7.28	11.04	50.63	124.37	2.23	10.47
DDTL	36.79	33.3	23.59	61.68	84.04	50.98	88.88	57.49	55.49	71.5	51.35	45.53	54.72	59.97	27.84	93.35	84.63	51.71	60.82	57.08	81.14	69.52	102.25	81.14	53.19	49.91	70.01	76.71	39.22	50.63	61.68	71.0	62.56	55.49	64.8	96.01	94.67	68.55	75.11	58.3	68.07	80.57	65.26	67.12	75.64	85.22	64.34	57.89	85.82	83.45	80.57	84.63	136.19	277.2	156.59	289.02	228.13	194.36	139.07	181.28	101.54	58.71	34.51	23.76	14.24	25.72	40.64	26.67	28.24	18.43	16.88	118.43	62.56	11.3	23.25	12.09	32.82	10.47	18.56	13.83	59.97	77.25	30.34	24.81
DDX51	466.88	157.68	218.79	417.77	339.14	220.32	135.24	255.0	187.71	180.02	285.03	197.09	151.22	204.07	178.77	371.22	248.0	379.04	334.46	748.61	387.02	603.67	379.04	253.23	361.04	532.74	579.04	493.56	603.67	195.72	361.04	476.71	318.57	361.04	339.14	525.39	674.59	674.59	759.08	208.38	529.06	353.59	423.61	392.44	450.94	305.55	620.67	599.49	441.64	563.18	271.48	769.69	423.61	624.99	251.48	525.39	567.1	543.96	624.99	403.5	693.58	295.11	293.07	82.29	190.34	111.99	209.84	209.84	57.89	187.71	199.85	660.68	177.53	108.9	151.22	323.03	138.1	139.07	132.44	100.13	195.72	981.29	211.31	236.21
DMTF1	318.57	275.28	305.55	205.5	620.67	348.71	271.48	723.08	336.79	633.73	1081.39	429.54	351.14	327.56	571.05	1073.91	497.0	1119.56	1447.15	1167.14	1088.92	1268.46	928.3	981.29	713.11	490.14	1427.22	647.07	2119.22	4152.18	1427.22	1685.71	1127.35	1427.22	1437.15	2351.53	3794.3	2287.2	1651.0	1008.9	3257.52	819.3	1088.92	1508.65	995.0	769.69	1844.76	974.5	1561.89	1605.83	748.61	1639.59	1216.75	1143.1	1104.13	1259.69	1340.84	1225.22	633.73	802.41	1896.65	674.59	563.18	205.5	162.14	224.97	525.39	435.55	172.65	896.64	967.76	660.68	253.23	56.28	189.02	193.01	211.31	140.04	115.97	128.79	423.61	1143.1	341.51	409.15
EME2	92.7	181.28	146.03	66.18	136.19	159.9	202.66	149.12	50.27	237.86	102.97	159.9	113.56	63.89	48.87	201.25	75.11	480.04	395.18	299.25	111.99	381.68	387.02	679.29	406.31	186.4	202.66	351.14	267.73	376.41	341.51	490.14	470.14	356.05	444.72	318.57	802.41	441.64	346.29	329.84	255.0	366.09	194.36	108.9	232.94	211.31	262.2	346.29	348.71	325.29	269.6	108.9	665.29	633.73	414.87	591.22	607.87	642.59	244.57	438.59	136.19	175.07	73.54	20.71	72.01	74.06	186.4	45.21	44.25	14.89	30.78	123.5	75.64	17.38	112.77	53.19	95.34	55.1	72.52	33.78	117.6	82.87	59.97	71.0
ENTHD2	444.72	195.72	379.04	403.5	371.22	249.73	218.79	638.15	373.81	486.75	403.5	387.02	400.71	297.17	327.56	368.65	406.31	909.17	1088.92	1175.27	934.76	934.76	796.86	1008.9	909.17	450.94	819.3	860.08	651.58	967.76	825.0	1073.91	1143.1	579.04	1044.52	1191.69	1883.54	1583.71	1233.75	684.02	954.43	802.41	802.41	669.92	796.86	669.92	921.88	1044.52	1051.79	620.67	780.44	1088.92	1304.15	1151.06	928.3	1066.48	1191.69	1369.04	607.87	656.11	872.1	371.22	312.0	183.82	195.72	232.94	361.04	265.87	108.9	108.14	129.69	563.18	264.03	62.12	149.12	158.79	212.78	155.5	118.43	120.1	507.46	603.67	264.03	232.94
ERICH1	181.28	305.55	312.0	285.03	285.03	157.68	152.28	343.89	194.36	334.46	414.87	214.27	432.53	133.36	353.59	329.84	244.57	395.18	325.29	409.15	368.65	366.09	289.02	414.87	320.8	358.54	414.87	334.46	379.04	493.56	441.64	555.41	299.25	441.64	389.72	728.11	555.41	607.87	305.55	273.37	366.09	256.78	384.34	738.29	329.84	255.0	555.41	287.01	525.39	423.61	239.52	555.41	351.14	540.19	444.72	483.38	412.0	312.0	205.5	343.89	612.11	267.73	260.38	142.01	198.47	262.2	267.73	201.25	110.43	759.08	224.97	183.82	387.02	176.29	371.22	260.38	237.86	214.27	183.82	145.02	316.37	346.29	228.13	181.28
EZH1	271.48	197.09	228.13	215.77	287.01	283.05	412.0	368.65	194.36	293.07	305.55	299.25	165.57	176.29	251.48	248.0	514.56	620.67	753.83	444.72	595.34	497.0	753.83	603.67	543.96	173.85	543.96	563.18	1498.22	660.68	674.59	748.61	684.02	775.05	275.28	802.41	836.53	733.19	559.28	884.29	854.13	571.05	708.18	438.59	559.28	397.93	679.29	503.95	819.3	759.08	785.88	665.29	791.35	1135.2	1175.27	1233.75	813.63	1030.12	435.55	703.28	1407.55	269.6	223.41	127.89	129.69	135.24	154.42	206.94	107.38	836.53	351.14	463.65	164.42	98.73	248.0	142.01	256.78	140.04	189.02	124.37	529.06	1923.14	309.83	348.71
FAM156A	177.53	59.55	134.3	89.51	109.66	105.15	91.41	423.61	167.9	190.34	145.02	316.37	232.94	103.69	363.56	105.89	191.67	281.09	563.18	371.22	371.22	309.83	316.37	316.37	269.6	226.54	403.5	514.56	647.07	244.57	403.5	429.54	239.52	264.03	346.29	414.87	830.75	547.75	769.69	307.69	551.56	275.28	417.77	253.23	303.44	81.71	536.45	460.44	417.77	579.04	336.79	595.34	679.29	836.53	438.59	441.64	400.71	603.67	339.14	327.56	493.56	206.94	84.04	31.0	47.17	91.41	164.42	106.63	56.68	156.59	166.73	397.93	77.25	10.88	77.79	23.42	76.17	49.91	14.67	29.48	130.6	748.61	182.55	231.32
FAM160A2	260.38	358.54	323.03	392.44	493.56	358.54	271.48	518.15	381.68	559.28	258.57	629.35	507.46	420.68	429.54	363.56	348.71	463.65	551.56	587.13	587.13	607.87	595.34	743.43	842.36	483.38	599.49	642.59	521.76	743.43	629.35	591.22	518.15	591.22	575.03	559.28	1044.52	669.92	595.34	595.34	830.75	595.34	723.08	392.44	480.04	480.04	825.0	583.07	500.46	454.09	587.13	1143.1	836.53	1143.1	769.69	848.22	928.3	854.13	647.07	743.43	1111.82	503.95	234.57	275.28	287.01	450.94	503.95	208.38	164.42	769.69	432.53	595.34	341.51	137.14	206.94	295.11	309.83	251.48	220.32	186.4	414.87	785.88	486.75	620.67
FAM160B2	511.0	688.78	1001.93	896.64	1081.39	723.08	693.58	825.0	540.19	1104.13	1617.0	733.19	830.75	368.65	603.67	915.51	974.5	2271.4	1427.22	2209.26	1896.65	1991.0	1697.45	2240.11	2090.03	1037.29	2018.8	1936.53	1088.92	2351.53	1870.53	2319.15	1350.18	1350.18	1594.73	2047.0	2573.36	3081.75	1561.89	1594.73	3303.0	1896.65	1662.49	1340.84	1605.83	1066.48	1909.85	1268.46	2609.3	1397.83	1529.73	2240.11	2573.36	2627.46	2061.24	3491.39	2193.99	2997.45	1721.16	1806.78	1769.57	679.29	486.75	277.2	591.22	368.65	1059.11	500.46	205.5	476.71	791.35	934.76	559.28	115.97	438.59	669.92	620.67	503.95	348.71	251.48	819.3	2104.58	540.19	579.04
FAM193B	1225.22	466.88	647.07	698.41	896.64	896.64	616.37	1225.22	764.36	1208.34	878.17	1819.35	796.86	1015.93	733.19	934.76	1059.11	1304.15	1651.0	1540.37	1397.83	1674.06	1617.0	1001.93	2351.53	1963.57	1397.83	1769.57	2335.28	3491.39	1572.76	2485.67	1191.69	1857.6	1331.57	1651.0	3794.3	3060.45	1639.59	1806.78	1427.22	2367.9	1617.0	718.08	1697.45	928.3	1721.16	1350.18	1870.53	1127.35	1295.13	2303.12	2591.27	2573.36	2451.44	3190.46	2573.36	2682.69	1950.0	1540.37	2664.15	961.07	733.19	185.11	457.25	356.05	684.02	318.57	332.14	1605.83	599.49	1819.35	400.71	93.35	490.14	392.44	656.11	323.03	307.69	269.6	981.29	2367.9	583.07	624.99
