	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.ZVP2.0826.SM.59HJ6	GTEX.14E6E.1126.SM.5S2R4
AP003068.6	9.48	16.03	19.68	11.47	27.84	12.83	38.67	14.03	24.99	5.41	21.63	11.82	14.24	19.82	18.56	21.16	6.46	39.79	22.26	31.67	10.47	28.04	8.25	10.0	4.17	16.63	11.38	25.91	6.36	15.34	20.56	12.74	7.57	7.75	18.97	35.5	30.34	21.47	16.75	9.93	23.25	10.88	14.24	19.82	15.45	26.1	16.03	25.72	51.71	7.28	9.06	10.55	7.46	16.27	25.72	9.06	22.59	19.11	10.47	8.13	11.47	30.12	21.63	16.88	10.0	17.64	9.93	23.42	5.28	29.91	33.78	8.38	24.81	10.39	10.79	29.7	33.3	45.53	41.52	23.59	21.63	7.63	15.34	7.75	9.41	17.13	10.16	5.73	7.0	4.54	5.23
AP006621.5	152.28	105.89	277.2	149.12	215.77	193.01	329.84	154.42	175.07	65.26	223.41	177.53	161.02	182.55	145.02	191.67	177.53	246.28	136.19	363.56	165.57	239.52	172.65	265.87	117.6	129.69	236.21	336.79	105.15	171.45	92.05	137.14	108.9	145.02	229.72	400.71	283.05	229.72	183.82	172.65	197.09	218.79	154.42	223.41	241.19	271.48	206.94	269.6	813.63	89.51	78.34	102.97	183.82	187.71	273.37	76.17	246.28	291.04	51.35	67.12	79.45	154.42	316.37	187.71	127.89	125.24	191.67	466.88	161.02	217.27	389.72	84.04	299.25	180.02	224.97	629.35	348.71	660.68	409.15	220.32	221.86	161.02	249.73	159.9	170.25	281.09	146.03	142.01	103.69	95.34	70.01
AP1G2	1769.57	2485.67	2133.97	1508.65	3540.14	3039.3	3564.78	2104.58	2555.58	1159.07	2271.4	1639.59	2609.3	2104.58	1806.78	3190.46	1923.14	3146.52	1870.53	4512.4	2417.67	3395.89	1340.84	3124.78	1685.71	1417.35	1745.2	3540.14	1277.29	1991.0	2682.69	2018.8	884.29	1286.18	4181.07	3742.05	3325.99	4358.66	2178.83	2090.03	2627.46	2739.08	2119.22	1963.57	1936.53	3325.99	1733.13	2520.38	4607.24	1806.78	1096.5	1498.22	1697.45	2935.74	4123.49	1870.53	2701.35	2645.74	665.29	1111.82	1059.11	2209.26	3614.55	2895.31	1427.22	1819.35	1572.76	4450.27	981.29	2255.7	2537.92	1651.0	3168.41	1159.07	947.83	3768.09	3955.48	4419.52	3901.01	2367.9	3212.66	1331.57	2075.59	1159.07	1081.39	2240.11	1594.73	1081.39	1143.1	802.41	480.04
ARFGAP1	842.36	1540.37	1508.65	915.51	1896.65	1259.69	1844.76	1159.07	1963.57	603.67	1923.14	1151.06	1340.84	1359.57	1268.46	1268.46	1127.35	1936.53	1697.45	2032.85	1313.23	1794.29	1259.69	1561.89	1066.48	1540.37	1359.57	1487.87	1088.92	1561.89	1594.73	1322.37	753.83	759.08	1508.65	1685.71	1950.0	1697.45	1437.15	1277.29	1519.15	1572.76	1135.2	1551.09	1167.14	1757.34	1191.69	1508.65	2645.74	915.51	1208.34	1487.87	1073.91	1388.16	1857.6	1119.56	1487.87	1519.15	896.64	733.19	854.13	1991.0	1572.76	1378.57	785.88	1216.75	1073.91	1832.01	1397.83	2018.8	1781.89	1104.13	1745.2	1023.0	1159.07	1745.2	2004.85	2417.67	2384.37	1407.55	1467.37	780.44	1519.15	1096.5	872.1	1447.15	967.76	896.64	693.58	571.05	785.88
ARHGAP33	127.0	271.48	75.64	78.89	241.19	202.66	334.46	67.59	180.02	38.67	273.37	102.25	208.38	128.79	58.3	242.88	51.35	260.38	115.97	239.52	88.26	273.37	69.03	201.25	24.46	98.04	111.21	195.72	42.41	117.6	133.36	88.88	36.27	52.82	231.32	361.04	244.57	412.0	98.04	40.93	197.09	134.3	73.03	142.01	153.34	217.27	137.14	199.85	287.01	86.43	132.44	68.07	62.56	148.09	177.53	81.71	162.14	226.54	48.87	34.75	56.68	366.09	152.28	146.03	45.21	43.32	131.51	260.38	71.0	231.32	293.07	75.64	400.71	98.73	75.11	429.54	239.52	423.61	507.46	164.42	220.32	82.87	231.32	65.72	49.91	189.02	24.28	68.07	38.4	44.89	29.48
ASIC3	30.12	48.18	56.28	14.24	105.89	67.12	165.57	40.64	102.25	19.97	87.65	53.57	41.22	114.36	55.89	83.45	25.72	139.07	44.25	145.02	33.54	73.54	34.75	226.54	23.93	136.19	55.49	106.63	24.46	39.79	33.78	54.33	23.25	33.3	73.03	206.94	226.54	267.73	58.71	34.26	130.6	78.89	26.1	85.22	198.47	62.12	65.26	55.89	178.77	31.67	25.91	30.12	22.26	64.34	98.04	13.12	64.8	69.03	9.13	4.58	30.12	86.43	108.9	48.52	21.94	36.53	63.45	358.54	21.16	60.39	90.14	18.16	100.13	22.1	43.63	167.9	119.26	348.71	195.72	77.25	63.45	17.64	94.67	29.7	15.8	90.77	15.0	23.08	18.7	10.71	24.63
ATAD3B	170.25	480.04	351.14	66.65	559.28	356.05	536.45	187.71	669.92	60.82	356.05	239.52	269.6	379.04	211.31	343.89	115.16	603.67	371.22	607.87	206.94	466.88	97.36	271.48	104.42	351.14	229.72	371.22	102.97	281.09	265.87	181.28	65.72	116.78	432.53	466.88	490.14	693.58	392.44	182.55	348.71	320.8	198.47	343.89	281.09	486.75	264.03	353.59	656.11	167.9	116.78	182.55	110.43	309.83	543.96	208.38	289.02	420.68	134.3	94.01	90.14	497.0	414.87	312.0	142.01	186.4	186.4	532.74	92.7	389.72	480.04	223.41	500.46	136.19	159.9	463.65	483.38	738.29	579.04	423.61	392.44	84.04	297.17	112.77	107.38	237.86	112.77	84.04	161.02	74.06	73.03
ATG16L2	143.01	212.78	183.82	82.29	466.88	260.38	620.67	104.42	253.23	89.51	361.04	220.32	154.42	318.57	147.06	205.5	82.29	473.41	224.97	218.79	143.01	599.49	94.01	273.37	71.5	145.02	191.67	432.53	109.66	162.14	215.77	88.26	63.89	91.41	260.38	529.06	426.57	212.78	182.55	78.34	295.11	117.6	77.25	277.2	285.03	327.56	145.02	358.54	587.13	97.36	149.12	97.36	98.73	248.0	514.56	130.6	198.47	281.09	61.25	56.28	92.05	285.03	212.78	195.72	162.14	124.37	164.42	503.95	81.71	271.48	346.29	60.82	251.48	124.37	88.88	316.37	379.04	420.68	525.39	260.38	293.07	78.34	267.73	123.5	111.99	312.0	89.51	127.89	113.56	95.34	95.34
AZI1	120.1	193.01	214.27	122.64	320.8	142.01	353.59	139.07	194.36	92.05	327.56	195.72	211.31	173.85	143.01	248.0	195.72	197.09	201.25	318.57	146.03	348.71	193.01	201.25	142.01	172.65	199.85	187.71	185.11	212.78	153.34	42.11	92.7	133.36	307.69	371.22	307.69	318.57	299.25	172.65	164.42	269.6	140.04	246.28	241.19	318.57	195.72	212.78	384.34	128.79	135.24	143.01	189.02	215.77	281.09	124.37	255.0	217.27	99.43	102.97	69.03	281.09	275.28	171.45	94.01	165.57	171.45	368.65	173.85	239.52	303.44	178.77	327.56	128.79	145.02	384.34	251.48	303.44	409.15	244.57	361.04	123.5	157.68	175.07	144.01	141.02	124.37	163.28	68.07	112.77	63.45
BGLAP	11.04	11.38	47.17	13.62	112.77	19.53	73.03	17.9	57.08	5.63	99.43	16.15	24.11	26.1	34.51	30.78	6.21	67.12	33.06	48.52	20.11	85.82	12.0	21.32	2.78	26.86	29.48	65.72	14.67	23.93	20.56	12.93	8.51	8.19	49.21	161.02	73.54	80.57	51.71	33.54	43.63	35.25	17.0	47.5	29.06	90.14	30.78	44.25	175.07	9.78	11.13	9.63	6.16	27.84	94.01	10.55	30.56	56.68	10.55	5.41	12.09	77.25	75.64	33.54	17.0	23.08	13.72	78.89	10.79	60.82	99.43	6.67	92.7	13.03	22.92	180.02	142.01	127.89	165.57	46.18	93.35	13.03	46.18	13.52	8.45	55.49	24.63	13.93	12.36	6.16	3.35
C11orf35	41.81	127.89	139.07	59.55	162.14	104.42	237.86	98.04	117.6	44.25	190.34	111.21	109.66	79.45	66.65	146.03	90.77	143.01	146.03	94.67	74.58	201.25	46.84	124.37	47.5	95.34	89.51	105.15	76.17	143.01	90.77	68.55	33.3	80.01	144.01	185.11	96.68	183.82	91.41	63.89	165.57	195.72	129.69	72.01	136.19	135.24	125.24	142.01	297.17	52.45	55.49	60.82	85.22	96.01	140.04	58.71	142.01	132.44	62.56	57.49	54.33	114.36	155.5	128.79	49.91	83.45	53.95	204.07	70.01	231.32	265.87	73.54	218.79	44.25	49.91	262.2	153.34	260.38	277.2	93.35	116.78	84.63	102.25	62.56	56.28	99.43	55.89	47.84	48.18	30.78	28.65
C1orf159	115.16	211.31	198.47	132.44	339.14	204.07	318.57	193.01	303.44	72.52	273.37	176.29	258.57	206.94	159.9	199.85	152.28	253.23	318.57	339.14	141.02	305.55	185.11	193.01	146.03	167.9	199.85	283.05	159.9	228.13	226.54	132.44	68.55	122.64	277.2	323.03	318.57	293.07	226.54	158.79	262.2	260.38	242.88	248.0	193.01	363.56	182.55	236.21	423.61	141.02	132.44	105.15	167.9	195.72	273.37	146.03	237.86	221.86	119.26	86.43	84.04	305.55	258.57	201.25	120.94	181.28	153.34	303.44	139.07	309.83	343.89	209.84	363.56	125.24	153.34	301.33	239.52	400.71	356.05	231.32	223.41	137.14	279.14	218.79	145.02	154.42	141.02	162.14	112.77	87.03	92.7
C1orf228	42.71	77.79	173.85	35.5	285.03	108.9	115.97	56.28	131.51	26.1	81.71	161.02	50.98	62.12	67.12	121.79	29.06	262.2	119.26	181.28	79.45	142.01	66.18	117.6	46.84	52.08	88.26	171.45	51.35	42.71	59.13	48.52	36.01	35.25	155.5	400.71	115.97	204.07	62.12	48.52	133.36	172.65	76.71	209.84	273.37	108.14	30.34	177.53	269.6	42.11	44.89	34.02	48.87	120.94	109.66	76.17	78.34	138.1	33.78	16.27	44.25	236.21	139.07	132.44	37.05	22.59	73.03	281.09	29.06	138.1	231.32	31.45	144.01	53.19	69.03	301.33	281.09	356.05	187.71	104.42	126.12	67.59	189.02	48.52	42.71	194.36	39.22	60.82	15.45	20.86	34.51
C9orf142	896.64	1340.84	2163.77	1286.18	2935.74	1508.65	1991.0	1508.65	1923.14	518.15	1721.16	1477.58	1857.6	1407.55	1313.23	2485.67	1487.87	1950.0	1870.53	2090.03	1225.22	2287.2	1745.2	1991.0	1304.15	1378.57	1844.76	2502.97	1199.98	1427.22	1551.09	1233.75	884.29	890.44	1991.0	2645.74	2855.44	3257.52	2956.17	1583.71	1709.26	2335.28	967.76	1369.04	1757.34	2895.31	1378.57	1844.76	2573.36	1111.82	961.07	988.12	1331.57	1685.71	1757.34	872.1	1819.35	1896.65	1088.92	476.71	703.28	2209.26	3081.75	1427.22	769.69	1388.16	1268.46	3589.58	1208.34	2434.5	2816.11	1583.71	2855.44	1259.69	1923.14	2434.5	2895.31	2758.13	2664.15	1757.34	1674.06	1111.82	1950.0	1794.29	1183.45	1572.76	1605.83	1059.11	785.88	785.88	775.05
C9orf173	3.23	1.23	3.35	1.28	21.32	14.35	21.78	1.27	6.52	0.0	18.84	5.06	4.86	3.59	1.75	8.71	1.35	19.97	20.41	9.06	4.86	25.54	0.88	16.75	0.0	0.0	7.94	12.64	0.85	4.03	6.57	1.85	0.0	1.77	12.55	14.78	8.13	18.43	2.14	0.0	8.92	4.39	4.17	5.41	11.21	11.91	6.31	4.94	17.9	1.77	0.0	0.84	1.33	7.57	24.46	2.2	7.22	14.14	0.0	0.0	1.33	4.31	12.36	8.71	0.0	4.24	3.69	19.11	2.23	7.0	14.67	0.0	15.91	2.73	0.0	9.7	15.0	25.17	16.75	6.78	5.63	1.68	11.38	2.71	3.53	7.63	0.0	0.0	1.39	0.0	3.86
