	TCGA.E2.A1AZ.01A.11R.A12P.07	TCGA.A2.A0SX.01A.12R.A084.07	TCGA.D8.A147.01A.11R.A115.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.13RTJ.2226.SM.5S2Q1	GTEX.Y5V6.2026.SM.5IFHO	TCGA.AK.3447.01A.01R.1766.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BR.8590.01A.11R.2402.13	TCGA.BR.8485.01A.11R.2402.13	TCGA.BR.8678.01A.11R.2402.13	TCGA.IP.7968.01A.11R.2203.13	TCGA.D7.A4YU.01A.21R.A251.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8484.01A.11R.2402.13	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.ZA.A8F6.01A.23R.A36D.31	TCGA.BR.8683.01A.11R.2402.13
TTC17	2573.36	1044.52	890.44	559.28	371.22	642.59	693.58	563.18	961.07	703.28	684.02	941.27	540.19	532.74	237.86	665.29	775.05	656.11	769.69	616.37	624.99	500.46	444.72	1001.93	575.03	371.22	1159.07	1487.87	1066.48	1104.13	1427.22	1225.22	1208.34	1757.34	1135.2	1407.55
TTF2	642.59	579.04	444.72	121.79	68.07	156.59	74.58	154.42	114.36	98.73	136.19	100.83	111.99	130.6	20.71	149.12	106.63	107.38	155.5	162.14	88.88	69.03	86.43	108.9	69.52	29.48	409.15	490.14	361.04	277.2	748.61	244.57	860.08	540.19	301.33	339.14
U2SURP	2720.15	1857.6	3235.01	497.0	343.89	480.04	703.28	521.76	872.1	540.19	728.11	947.83	476.71	387.02	68.55	665.29	753.83	684.02	759.08	738.29	447.82	397.93	341.51	638.15	414.87	61.25	2061.24	1662.49	2133.97	1617.0	1844.76	1340.84	1963.57	2133.97	1225.22	1561.89
UBA6	785.88	358.54	647.07	220.32	151.22	139.07	127.0	244.57	176.29	316.37	277.2	153.34	116.78	226.54	80.57	177.53	201.25	260.38	169.07	271.48	127.89	142.01	154.42	214.27	147.06	63.0	420.68	353.59	457.25	563.18	463.65	323.03	287.01	603.67	305.55	693.58
UBE2O	532.74	343.89	583.07	197.09	78.89	180.02	189.02	226.54	265.87	231.32	195.72	182.55	138.1	169.07	14.45	197.09	217.27	211.31	181.28	191.67	224.97	108.14	194.36	224.97	269.6	109.66	358.54	441.64	466.88	395.18	307.69	395.18	339.14	420.68	325.29	348.71
UHRF2	1199.98	954.43	723.08	301.33	206.94	283.05	205.5	251.48	368.65	305.55	283.05	339.14	234.57	186.4	102.25	417.77	287.01	277.2	262.2	346.29	237.86	231.32	189.02	312.0	215.77	82.87	579.04	647.07	808.0	738.29	638.15	738.29	555.41	915.51	521.76	450.94
UMOD	0.0	0.36	0.62	602247.76	169390.27	443937.41	3178687.03	1318073.06	789181.81	1070607.81	565825.41	1299926.74	378516.38	225066.78	21.78	585779.24	434801.29	431797.89	422911.59	636586.81	502929.67	373305.21	234624.45	381149.17	641014.63	0.0	0.0	0.0	1.79	0.0	0.0	0.0	8.45	0.0	4.5	0.88
USP31	271.48	115.16	236.21	69.03	41.22	51.35	25.91	60.82	64.34	79.45	68.55	54.72	43.63	70.01	14.78	89.51	63.45	50.27	37.32	51.71	66.65	51.71	81.71	57.89	81.71	71.0	154.42	205.5	170.25	79.45	236.21	153.34	201.25	208.38	136.19	206.94
USP48	981.29	934.76	884.29	371.22	236.21	381.68	473.41	507.46	532.74	563.18	460.44	503.95	406.31	339.14	84.04	486.75	603.67	540.19	507.46	540.19	389.72	351.14	332.14	441.64	387.02	155.5	860.08	723.08	743.43	808.0	995.0	860.08	698.41	909.17	647.07	688.78
WDR43	1447.15	802.41	884.29	316.37	228.13	287.01	181.28	379.04	191.67	273.37	358.54	212.78	211.31	248.0	42.71	287.01	301.33	295.11	264.03	297.17	202.66	197.09	189.02	271.48	208.38	115.97	647.07	1183.45	872.1	1073.91	842.36	476.71	571.05	884.29	575.03	866.07
WHSC1	981.29	1286.18	825.0	234.57	114.36	209.84	205.5	289.02	287.01	275.28	269.6	260.38	209.84	154.42	58.3	253.23	327.56	269.6	218.79	301.33	198.47	112.77	155.5	262.2	241.19	50.98	571.05	1175.27	1407.55	1073.91	961.07	665.29	974.5	2287.2	571.05	1369.04
WRN	587.13	144.01	301.33	75.64	40.07	74.06	75.64	96.01	115.97	81.71	91.41	95.34	52.82	57.89	42.11	82.29	93.35	105.89	87.65	111.21	63.0	41.81	47.84	89.51	53.19	21.01	246.28	191.67	293.07	163.28	255.0	187.71	214.27	460.44	190.34	131.51
XAF1	1819.35	1572.76	2319.15	114.36	94.01	147.06	201.25	98.04	392.44	232.94	529.06	371.22	157.68	29.7	8.13	144.01	236.21	253.23	275.28	237.86	195.72	115.16	58.3	205.5	144.01	50.98	1529.73	967.76	1081.39	941.27	2915.45	961.07	1183.45	1950.0	1001.93	2240.11
XPNPEP1	2303.12	1397.83	1111.82	759.08	599.49	723.08	698.41	947.83	616.37	941.27	791.35	583.07	708.18	785.88	264.03	830.75	791.35	848.22	708.18	785.88	651.58	723.08	647.07	723.08	551.56	358.54	1844.76	1051.79	1313.23	2287.2	1819.35	1233.75	1096.5	1685.71	1477.58	1037.29
ZNF280C	182.55	56.68	87.65	25.17	8.92	22.43	22.26	26.86	23.59	24.28	19.53	27.64	19.11	15.22	11.55	26.47	29.91	25.72	25.72	30.34	16.15	17.51	13.83	20.86	19.25	4.5	81.71	110.43	100.83	96.01	108.9	65.72	87.03	94.01	89.51	133.36
ZNF384	1685.71	1096.5	1216.75	521.76	368.65	555.41	514.56	525.39	890.44	656.11	651.58	536.45	429.54	529.06	127.0	507.46	728.11	583.07	665.29	708.18	547.75	432.53	486.75	633.73	607.87	239.52	896.64	1250.98	890.44	909.17	1340.84	1167.14	1369.04	1605.83	1073.91	1001.93
ZNF398	241.19	173.85	226.54	117.6	53.95	90.77	116.78	149.12	144.01	84.63	78.89	110.43	75.64	92.7	18.16	125.24	134.3	102.25	97.36	103.69	107.38	66.65	91.41	98.04	108.14	46.5	215.77	195.72	194.36	153.34	172.65	224.97	127.89	182.55	182.55	229.72
ZNRF1	1073.91	718.08	497.0	246.28	122.64	199.85	256.78	217.27	307.69	149.12	265.87	212.78	255.0	120.94	68.55	178.77	212.78	223.41	283.05	246.28	212.78	242.88	175.07	136.19	198.47	343.89	679.29	660.68	444.72	511.0	579.04	633.73	486.75	507.46	500.46	660.68
ZRANB2	2271.4	1295.13	1467.37	629.35	532.74	633.73	743.43	583.07	708.18	551.56	624.99	1008.9	543.96	327.56	361.04	698.41	684.02	733.19	759.08	769.69	480.04	559.28	307.69	708.18	483.38	123.5	995.0	1225.22	1250.98	1081.39	1794.29	1457.23	1081.39	1551.09	1151.06	1127.35
