	TCGA.FJ.A3ZF.01A.11R.A23N.07	TCGA.ZF.A9RN.01A.11R.A42T.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.CC.A9FU.01A.11R.A37K.07	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZF29.2026.SM.4WWB7	GTEX.13PVR.0126.SM.5S2PY	GTEX.WFON.1726.SM.4LVMQ	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
HGF	1.28	4.82	2.56	5.92	8.0	33.54	14.78	14.03	12.09	125.24	444.72	540.19	441.64	206.94	58.3	102.25	169.07	37.32	47.17	575.03	121.79	450.94	241.19	251.48	0.0	0.44
IFITM2	638.15	1151.06	4268.94	8078.22	4419.52	7749.1	3018.3	8901.53	5751.61	40904.3	24321.43	25530.66	22225.61	55107.99	36357.37	22535.88	23009.42	26431.04	33224.42	20881.4	30361.44	33688.23	24321.43	34635.37	0.0	1.16
IFITM3	1008.9	3060.45	56265.94	54727.32	27174.14	50011.46	22535.88	51417.5	38966.94	104271.56	76861.91	66449.85	57847.82	137587.47	61571.56	53601.03	48982.22	77396.54	77934.88	64632.75	61146.25	67377.47	62865.33	112532.89	0.0	1.35
IL33	10.39	6.89	1.23	51.35	21.16	172.65	44.25	39.22	7.75	759.08	301.33	723.08	559.28	872.1	221.86	305.55	323.03	400.71	228.13	376.41	366.09	656.11	325.29	432.53	0.0	0.21
ISOC1	412.0	476.71	1081.39	928.3	567.1	567.1	480.04	1127.35	642.59	1583.71	1159.07	1427.22	1819.35	988.12	1199.98	921.88	1081.39	1250.98	713.11	1605.83	1268.46	909.17	1208.34	525.39	0.0	0.27
LILRA2	0.96	8.45	4.54	8.78	5.06	3.69	11.73	11.82	1.87	139.07	90.14	63.0	114.36	142.01	76.17	95.34	89.51	164.42	87.65	134.3	86.43	155.5	92.7	44.25	0.0	0.21
LILRB5	5.96	37.59	18.43	35.25	18.03	52.45	41.22	24.11	8.71	490.14	376.41	376.41	165.57	387.02	176.29	358.54	264.03	258.57	95.34	373.81	420.68	426.57	214.27	224.97	0.0	0.61
LRG1	164.42	4.9	2133.97	2032.85	1175.27	2502.97	226.54	2555.58	1832.01	63302.6	19348.38	28328.16	35856.82	82951.62	47642.77	22535.88	18304.63	26614.89	33688.23	20593.91	38164.99	25005.23	31215.04	129266.49	0.0	0.09
LURAP1L	30.56	842.36	145.02	599.49	152.28	85.82	90.14	540.19	209.84	139.07	1769.57	896.64	1331.57	237.86	1896.65	423.61	1143.1	563.18	251.48	2178.83	860.08	2935.74	559.28	1143.1	0.0	0.61
MMAA	68.55	229.72	176.29	212.78	154.42	320.8	140.04	291.04	69.03	1081.39	753.83	1151.06	466.88	836.53	500.46	400.71	612.11	575.03	738.29	813.63	633.73	426.57	769.69	878.17	0.0	0.19
NAMPT	591.22	785.88	392.44	547.75	507.46	607.87	1594.73	1819.35	279.14	6516.03	7331.05	21617.82	18950.18	25530.66	9673.69	2591.27	8963.45	9876.98	8658.09	14361.31	17558.94	9945.68	8247.98	11112.3	0.0	0.45
NAMPTL	18.29	62.56	33.54	55.1	70.01	50.27	138.1	105.89	26.47	532.74	392.44	830.75	769.69	1096.5	441.64	293.07	379.04	595.34	532.74	967.76	108.9	143.01	540.19	454.09	0.0	0.06
NDUFV2	7230.1	3847.29	3901.01	5711.87	3443.31	6079.61	3395.89	5147.73	3103.19	17197.56	9088.59	7749.1	6935.54	14461.21	4903.87	10014.87	6516.03	6250.56	6887.62	6516.03	6037.61	8658.09	6699.25	11992.79	0.0	0.92
NOS3	56.28	67.12	24.28	76.17	60.39	113.56	62.12	48.18	19.53	220.32	111.99	249.73	248.0	146.03	231.32	65.26	102.25	135.24	75.11	82.87	171.45	137.14	116.78	202.66	0.0	0.58
OLFM1	14.89	4.58	1.36	6.89	6.46	14.45	12.0	14.45	3.47	358.54	299.25	144.01	151.22	87.65	43.02	23.08	38.12	137.14	36.01	55.1	25.17	82.29	151.22	159.9	0.0	0.71
PROS1	52.08	34.75	1378.57	1151.06	1135.2	1487.87	1096.5	1369.04	819.3	11035.54	9409.14	11267.44	14765.09	6699.25	5791.62	3372.43	10014.87	10296.45	4607.24	9409.14	9945.68	11504.21	9808.75	6164.49	0.0	0.45
SDSL	291.04	40.64	96.68	1015.93	363.56	29.48	181.28	2018.8	341.51	813.63	3280.18	3168.41	2609.3	1397.83	5555.65	633.73	381.68	2682.69	3589.58	1477.58	4038.61	3467.27	2796.65	343.89	0.0	0.21
SERPINA1	28.24	189.02	336441.4	286861.53	649962.87	185362.8	116501.39	277089.94	305326.92	3200796.55	2965819.8	2310861.52	3383299.76	4342214.81	2442622.37	1255646.43	4023444.33	3780117.42	2375828.71	2442622.37	2884719.27	2767207.65	2636147.11	2617937.91	0.0	0.52
SERPINA3	1.01	30.34	5076.84	8363.13	127486.83	28525.2	995.0	48982.22	19482.97	338781.54	828417.36	772940.66	857631.47	772940.66	789181.81	233003.78	851707.37	900270.11	539026.74	851707.37	1041331.96	912837.43	721179.07	606436.73	0.0	1.2
SGMS2	6.89	46.18	91.41	40.93	21.01	59.97	80.01	62.12	20.56	229.72	206.94	854.13	825.0	1697.45	511.0	108.14	166.73	244.57	186.4	348.71	356.05	279.14	237.86	154.42	0.0	0.06
SLC1A1	10.0	11.91	271.48	3.23	34.51	262.2	41.22	612.11	6.84	1832.01	2384.37	3212.66	10225.32	457.25	3168.41	157.68	2701.35	8305.36	5913.33	3303.0	7749.1	6381.92	4328.55	1896.65	0.0	0.07
SLC25A4	264.03	343.89	836.53	473.41	503.95	854.13	525.39	764.36	842.36	665.29	1757.34	1304.15	1397.83	480.04	896.64	890.44	1175.27	1286.18	941.27	1498.22	1540.37	1605.83	1407.55	967.76	0.0	0.26
SLC35C1	791.35	159.9	444.72	224.97	379.04	251.48	180.02	872.1	400.71	2976.74	1844.76	1397.83	1313.23	1991.0	1457.23	2018.8	1037.29	1159.07	2935.74	1733.13	1183.45	2004.85	2209.26	2573.36	0.0	0.0
SPSB1	155.5	20.86	135.24	172.65	169.07	460.44	674.59	466.88	128.79	579.04	1540.37	2119.22	1216.75	2555.58	1427.22	693.58	1304.15	559.28	1127.35	1529.73	1015.93	1369.04	915.51	1819.35	0.0	0.21
TGFBR3	27.64	5.77	52.08	58.3	139.07	180.02	39.22	144.01	126.12	423.61	368.65	651.58	346.29	947.83	255.0	43.63	217.27	260.38	226.54	221.86	307.69	1167.14	253.23	1304.15	0.0	0.45
TLR4	57.08	16.88	9.34	19.68	14.89	30.78	28.04	48.52	10.16	139.07	148.09	450.94	269.6	85.82	139.07	47.5	128.79	183.82	87.03	273.37	191.67	299.25	161.02	41.81	0.0	0.39
TSLP	12.0	0.87	7.88	6.36	21.01	5.54	1.3	43.02	0.53	153.34	29.48	112.77	139.07	135.24	38.67	77.25	92.7	111.99	17.38	92.05	53.19	48.18	46.18	13.42	0.0	0.26
UQCRFS1	1477.58	1757.34	1697.45	1487.87	2915.45	1605.83	890.44	2451.44	1233.75	2895.31	3901.01	3564.78	3325.99	3018.3	3060.45	2816.11	3103.19	3235.01	3768.09	3847.29	3146.52	3395.89	3928.15	2573.36	0.0	0.75
ZHX3	43.63	108.14	143.01	98.73	118.43	226.54	177.53	444.72	118.43	131.51	457.25	400.71	493.56	147.06	279.14	246.28	417.77	532.74	264.03	460.44	438.59	785.88	543.96	234.57	0.0	0.36
