	TCGA.BT.A2LD.01A.12R.A20F.07	TCGA.XF.A9T2.01A.11R.A42T.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.DK.A1A3.01A.11R.A13Y.07	TCGA.2F.A9KW.01A.11R.A38B.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.XF.AAN2.01A.11R.A42T.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.A8.A07L.01A.11R.A00Z.07	TCGA.C8.A12W.01A.11R.A115.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.W5.AA38.01A.11R.A41I.07	TCGA.W5.AA2X.01A.11R.A41I.07	TCGA.YR.A95A.01A.12R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.AD.6889.01A.11R.1928.07	TCGA.AM.5821.01A.01R.1653.07	TCGA.AD.5900.01A.11R.1653.07	TCGA.A6.5662.01A.01R.1653.07	TCGA.AD.6895.01A.11R.1928.07	GTEX.1399R.2226.SM.5P9JB	GTEX.11TT1.1026.SM.5PNW7	TCGA.B0.5098.01A.01R.1420.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.FV.A3I0.01A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10U.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.FV.A2QR.11A.11R.A213.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.ZTPG.1426.SM.51MT3	GTEX.13FTW.1126.SM.5J2NV	GTEX.REY6.1226.SM.48FDR	TCGA.50.5936.01A.11R.1628.07	TCGA.44.7669.01A.21R.2066.07	TCGA.53.7624.01A.11R.2066.07	TCGA.05.4415.01A.22R.1858.07	TCGA.21.1083.01A.01R.0692.07	TCGA.58.8388.01A.11R.2326.07	TCGA.85.6560.01A.11R.1820.07	TCGA.39.5040.01A.21R.2125.07	TCGA.34.5927.01A.11R.1820.07	TCGA.AF.5654.01A.01R.1660.07	TCGA.AF.2693.01A.02R.1736.07	TCGA.AG.3731.01A.11R.1736.07	TCGA.EI.6507.01A.11R.1736.07	TCGA.G5.6233.01A.11R.1736.07	TCGA.CD.5799.01A.11R.1602.13	TCGA.BR.6852.01A.11R.1884.13	TCGA.CG.5720.01A.11R.1602.13	TCGA.HU.A4GN.01A.11R.A251.31	TCGA.BR.8678.01A.11R.2402.13	TCGA.D7.5578.01A.01R.1602.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.B7.A5TK.01A.12R.A36D.31	TCGA.VQ.A8P3.01A.11R.A36D.31	TCGA.BR.7707.01A.11R.2055.13	TCGA.VQ.AA69.01A.11R.A414.31	TCGA.EY.A1GL.01A.11R.A13S.07
BAZ2A	438.59	395.18	660.68	599.49	693.58	327.56	743.43	221.86	414.87	1015.93	909.17	1111.82	305.55	529.06	575.03	323.03	497.0	693.58	555.41	1051.79	1066.48	273.37	743.43	571.05	153.34	180.02	181.28	208.38	155.5	244.57	500.46	95.34	231.32	193.01	180.02	204.07	336.79	159.9	279.14	167.9	161.02	1051.79	2104.58	1295.13	1407.55	1104.13	1175.27	1143.1	1551.09	1407.55	693.58	764.36	1127.35	1697.45	1051.79	808.0	1143.1	669.92	974.5	1096.5	954.43	902.89	1081.39	1104.13	733.19	1529.73	432.53
BCL7A	83.45	181.28	87.03	204.07	92.7	78.34	106.63	145.02	68.07	341.51	239.52	211.31	176.29	108.14	229.72	77.79	120.94	162.14	256.78	107.38	110.43	49.56	66.18	536.45	49.91	63.89	54.72	51.35	70.01	41.22	348.71	91.41	86.43	92.7	70.01	122.64	151.22	44.25	85.82	60.82	59.13	291.04	231.32	111.21	226.54	318.57	620.67	241.19	114.36	287.01	231.32	134.3	224.97	447.82	106.63	185.11	139.07	185.11	191.67	713.11	173.85	111.21	132.44	251.48	178.77	503.95	132.44
BIRC6	563.18	384.34	607.87	476.71	435.55	454.09	612.11	249.73	231.32	703.28	967.76	738.29	341.51	665.29	444.72	423.61	441.64	309.83	466.88	473.41	575.03	301.33	769.69	525.39	217.27	305.55	368.65	265.87	275.28	275.28	397.93	212.78	363.56	279.14	283.05	363.56	371.22	329.84	297.17	389.72	253.23	620.67	629.35	708.18	660.68	718.08	620.67	620.67	813.63	753.83	733.19	703.28	728.11	665.29	633.73	429.54	607.87	476.71	718.08	848.22	500.46	629.35	674.59	642.59	420.68	1104.13	332.14
C12orf4	218.79	113.56	137.14	191.67	166.73	123.5	229.72	142.01	115.97	511.0	414.87	189.02	161.02	97.36	132.44	55.1	94.01	323.03	132.44	129.69	170.25	108.14	220.32	110.43	120.94	58.71	75.11	81.14	51.35	92.05	105.89	18.29	90.14	31.0	79.45	124.37	75.11	68.07	78.34	63.89	50.63	229.72	366.09	176.29	220.32	285.03	256.78	297.17	228.13	246.28	124.37	269.6	297.17	226.54	164.42	136.19	182.55	182.55	228.13	156.59	162.14	237.86	244.57	130.6	142.01	162.14	105.89
C18orf25	155.5	202.66	246.28	163.28	135.24	127.89	279.14	258.57	88.88	301.33	242.88	248.0	98.04	141.02	124.37	88.88	149.12	194.36	142.01	87.65	205.5	92.7	186.4	273.37	93.35	87.03	73.54	78.34	68.55	87.65	70.01	55.1	105.15	75.64	83.45	145.02	102.25	75.11	152.28	53.95	60.82	167.9	151.22	139.07	332.14	312.0	307.69	218.79	753.83	339.14	148.09	122.64	153.34	249.73	139.07	107.38	241.19	142.01	220.32	295.11	140.04	183.82	137.14	165.57	135.24	336.79	185.11
C4orf46	90.14	108.9	90.77	116.78	143.01	66.18	116.78	234.57	60.39	246.28	91.41	111.99	37.32	69.03	48.18	13.83	95.34	177.53	113.56	102.25	66.65	52.08	88.88	68.55	23.93	15.22	16.39	9.06	16.63	24.63	46.18	11.91	9.85	3.86	7.06	23.59	14.45	8.92	18.7	22.92	14.45	80.01	267.73	97.36	148.09	161.02	224.97	373.81	128.79	183.82	112.77	75.64	185.11	170.25	93.35	94.01	121.79	120.1	150.17	237.86	178.77	103.69	117.6	105.89	145.02	234.57	54.33
CCDC41	47.84	212.78	312.0	118.43	180.02	177.53	165.57	96.68	51.71	267.73	167.9	215.77	111.99	224.97	109.66	48.18	153.34	178.77	242.88	77.25	143.01	81.71	143.01	285.03	45.21	96.68	81.14	90.77	52.45	44.89	98.73	13.03	65.72	52.45	72.01	58.3	74.06	73.03	71.5	47.5	70.51	152.28	258.57	126.12	211.31	197.09	309.83	176.29	199.85	208.38	287.01	214.27	500.46	473.41	202.66	169.07	106.63	132.44	314.17	193.01	201.25	105.15	231.32	249.73	166.73	332.14	82.29
CCDC77	121.79	363.56	158.79	134.3	118.43	146.03	153.34	318.57	146.03	417.77	389.72	171.45	94.67	289.02	75.11	35.0	146.03	256.78	237.86	159.9	147.06	97.36	134.3	189.02	62.12	34.51	74.06	85.22	55.1	116.78	87.65	41.22	27.84	30.78	27.64	87.03	73.54	24.63	68.07	37.85	48.18	356.05	392.44	373.81	718.08	361.04	191.67	441.64	273.37	392.44	170.25	183.82	647.07	269.6	228.13	84.04	128.79	99.43	141.02	193.01	132.44	117.6	169.07	220.32	153.34	248.0	59.13
CDC40	139.07	218.79	172.65	204.07	165.57	204.07	327.56	244.57	66.18	199.85	197.09	260.38	81.71	325.29	115.16	186.4	206.94	244.57	232.94	262.2	175.07	140.04	271.48	231.32	137.14	146.03	163.28	173.85	125.24	137.14	94.01	106.63	158.79	169.07	175.07	183.82	241.19	136.19	186.4	178.77	172.65	341.51	327.56	214.27	244.57	285.03	242.88	339.14	171.45	384.34	182.55	165.57	312.0	305.55	159.9	193.01	211.31	255.0	289.02	432.53	157.68	211.31	312.0	343.89	217.27	368.65	163.28
CELF1	579.04	688.78	559.28	599.49	703.28	466.88	808.0	571.05	412.0	1008.9	1081.39	934.76	463.65	995.0	466.88	848.22	514.56	607.87	733.19	555.41	753.83	303.44	733.19	921.88	325.29	343.89	412.0	323.03	395.18	423.61	381.68	591.22	738.29	688.78	480.04	656.11	921.88	575.03	567.1	660.68	450.94	547.75	1857.6	884.29	1127.35	909.17	1427.22	1605.83	1233.75	1733.13	656.11	698.41	981.29	1369.04	842.36	529.06	967.76	830.75	1023.0	1794.29	733.19	836.53	679.29	866.07	612.11	1651.0	571.05
CENPL	171.45	123.5	100.83	209.84	171.45	63.0	151.22	144.01	76.17	438.59	129.69	144.01	56.68	121.79	55.1	6.94	67.12	129.69	83.45	78.34	65.72	57.89	81.14	105.15	15.0	27.44	18.29	23.08	30.56	31.0	35.0	11.38	16.51	5.32	6.26	26.67	19.97	11.47	20.71	20.71	7.88	123.5	197.09	327.56	217.27	215.77	269.6	297.17	197.09	289.02	48.18	144.01	137.14	126.12	146.03	155.5	148.09	117.6	211.31	279.14	164.42	123.5	132.44	154.42	154.42	182.55	29.06
CEP152	37.32	67.59	58.3	33.3	40.07	26.1	62.56	26.67	12.09	80.57	45.53	70.01	12.0	96.68	31.0	6.73	43.94	54.72	52.45	41.81	53.19	33.54	33.06	82.87	8.06	11.82	9.13	5.96	7.06	16.27	11.64	17.9	7.0	2.36	2.73	18.16	20.41	5.77	18.43	23.59	6.01	43.02	94.67	126.12	92.05	93.35	78.34	52.08	105.15	94.01	48.18	60.39	66.18	111.99	73.54	66.65	57.49	38.95	90.14	134.3	31.45	49.21	30.56	130.6	46.84	127.0	12.27
CEP97	34.51	30.56	48.87	55.49	40.64	47.17	55.49	23.76	23.08	159.9	73.03	77.25	20.86	41.81	25.54	24.28	34.02	46.5	46.18	38.67	37.85	12.93	29.27	70.51	17.38	12.27	16.75	7.11	12.27	18.56	14.35	3.66	13.62	8.92	17.38	22.1	14.78	11.38	34.02	9.06	10.24	66.65	159.9	69.03	47.5	82.87	163.28	106.63	98.73	185.11	37.85	57.08	67.12	120.94	28.86	28.65	49.56	34.02	55.1	141.02	29.06	39.79	52.82	55.89	35.76	172.65	27.25
CKAP5	866.07	1225.22	547.75	698.41	921.88	409.15	1359.57	902.89	547.75	1923.14	1369.04	1183.45	444.72	902.89	309.83	559.28	718.08	842.36	698.41	665.29	860.08	371.22	503.95	860.08	343.89	397.93	638.15	532.74	547.75	463.65	409.15	334.46	400.71	314.17	353.59	551.56	507.46	476.71	348.71	412.0	441.64	759.08	1757.34	796.86	1151.06	698.41	954.43	2287.2	1250.98	1397.83	878.17	878.17	1268.46	1225.22	1127.35	497.0	1081.39	723.08	1159.07	1844.76	775.05	708.18	796.86	555.41	791.35	2520.38	612.11
CTDSPL2	178.77	166.73	153.34	159.9	183.82	211.31	239.52	91.41	82.87	486.75	381.68	454.09	47.17	264.03	148.09	89.51	126.12	209.84	178.77	241.19	108.14	58.3	141.02	341.51	62.12	47.84	54.72	43.63	46.5	54.72	111.21	37.59	117.6	77.25	91.41	84.04	93.35	72.01	127.0	73.03	65.72	392.44	555.41	389.72	447.82	728.11	521.76	603.67	387.02	532.74	119.26	262.2	287.01	285.03	137.14	162.14	255.0	242.88	318.57	748.61	239.52	186.4	307.69	332.14	163.28	743.43	116.78
DAXX	1051.79	1037.29	775.05	753.83	536.45	595.34	1233.75	813.63	1540.37	1111.82	1191.69	1225.22	988.12	1250.98	884.29	599.49	981.29	1059.11	934.76	1127.35	995.0	860.08	995.0	1781.89	743.43	802.41	521.76	525.39	571.05	819.3	842.36	242.88	454.09	403.5	387.02	981.29	540.19	514.56	1183.45	470.14	318.57	1104.13	1447.15	1044.52	860.08	785.88	1216.75	1819.35	1001.93	1561.89	764.36	1832.01	1104.13	928.3	1104.13	830.75	995.0	909.17	896.64	1477.58	733.19	954.43	493.56	684.02	890.44	890.44	836.53
DCAF17	73.03	89.51	92.05	77.25	68.55	84.63	98.73	57.08	55.1	199.85	115.97	127.0	82.87	269.6	108.9	50.98	81.71	92.7	127.89	130.6	82.29	55.49	80.57	172.65	46.5	65.72	46.5	31.9	31.9	31.45	84.63	29.27	58.3	35.0	50.63	63.89	54.72	48.18	68.07	38.12	34.75	170.25	182.55	215.77	157.68	283.05	186.4	241.19	172.65	336.79	239.52	130.6	258.57	246.28	156.59	84.04	155.5	74.58	145.02	281.09	104.42	123.5	185.11	182.55	105.15	329.84	57.89
DCLRE1B	88.88	106.63	65.26	88.26	84.63	40.93	126.12	61.25	64.34	209.84	108.14	98.04	61.68	60.82	42.11	21.32	89.51	85.22	127.0	35.76	80.01	51.35	106.63	79.45	22.75	29.91	19.82	26.86	25.91	24.11	28.65	18.56	24.81	21.94	15.68	26.86	30.34	17.25	23.76	48.18	16.88	89.51	185.11	139.07	128.79	125.24	151.22	273.37	122.64	223.41	92.05	119.26	135.24	121.79	80.57	87.03	136.19	108.9	158.79	114.36	131.51	82.87	122.64	83.45	140.04	161.02	159.9
DDHD1	52.08	269.6	74.06	84.63	78.34	96.01	61.68	44.57	44.25	118.43	86.43	98.04	28.24	54.72	16.75	22.92	55.49	98.04	52.08	67.12	66.18	29.27	51.71	143.01	22.92	20.26	22.59	31.45	18.29	18.84	29.91	14.35	22.75	13.22	16.27	37.05	27.84	23.08	37.32	31.9	23.76	61.25	115.97	42.71	81.14	69.52	78.89	253.23	68.55	86.43	81.71	97.36	148.09	183.82	74.06	30.34	118.43	64.8	130.6	198.47	57.89	81.14	83.45	99.43	77.25	127.89	65.72
DDX46	381.68	540.19	518.15	435.55	629.35	444.72	808.0	563.18	476.71	1044.52	860.08	967.76	373.81	536.45	361.04	336.79	525.39	563.18	698.41	791.35	633.73	265.87	575.03	543.96	246.28	249.73	199.85	202.66	181.28	329.84	293.07	126.12	267.73	239.52	277.2	316.37	336.79	204.07	275.28	285.03	169.07	915.51	1250.98	665.29	802.41	890.44	684.02	947.83	854.13	825.0	603.67	928.3	1030.12	934.76	633.73	629.35	514.56	698.41	941.27	995.0	743.43	624.99	934.76	1199.98	698.41	1008.9	395.18
DEK	1191.69	1832.01	698.41	780.44	1030.12	642.59	3235.01	1051.79	480.04	2104.58	1806.78	1540.37	511.0	1950.0	860.08	633.73	1487.87	1963.57	2240.11	2915.45	1936.53	748.61	1617.0	1437.15	514.56	412.0	400.71	246.28	444.72	511.0	713.11	150.17	684.02	473.41	575.03	620.67	620.67	514.56	718.08	612.11	366.09	1781.89	3467.27	3039.3	1397.83	1685.71	2997.45	3168.41	1844.76	3039.3	1369.04	1963.57	2384.37	2609.3	2915.45	1832.01	1561.89	1977.24	2224.63	4836.35	1721.16	1183.45	1685.71	2335.28	2271.4	3372.43	1023.0
DNAJC24	74.06	162.14	100.13	77.25	84.04	65.72	155.5	81.71	39.5	147.06	108.14	126.12	95.34	157.68	78.34	96.68	102.25	180.02	119.26	135.24	97.36	37.05	115.97	164.42	85.82	62.12	101.54	53.19	34.75	51.35	105.89	22.26	76.71	76.17	67.12	82.29	88.26	59.55	74.06	84.04	90.77	175.07	218.79	105.15	406.31	112.77	223.41	220.32	129.69	215.77	118.43	110.43	249.73	299.25	153.34	100.13	143.01	120.1	215.77	275.28	88.88	134.3	178.77	105.89	149.12	218.79	102.25
DR1	483.38	599.49	536.45	351.14	603.67	497.0	521.76	525.39	293.07	409.15	571.05	486.75	483.38	320.8	366.09	353.59	480.04	688.78	423.61	432.53	571.05	363.56	896.64	356.05	327.56	323.03	273.37	334.46	208.38	242.88	248.0	209.84	368.65	281.09	332.14	373.81	397.93	264.03	511.0	368.65	323.03	728.11	902.89	860.08	748.61	825.0	928.3	921.88	921.88	941.27	361.04	698.41	638.15	941.27	457.25	457.25	579.04	470.14	575.03	836.53	540.19	713.11	571.05	400.71	423.61	890.44	412.0
E2F6	392.44	201.25	412.0	236.21	239.52	178.77	486.75	221.86	295.11	638.15	256.78	389.72	258.57	454.09	171.45	199.85	271.48	457.25	334.46	540.19	414.87	74.06	228.13	493.56	163.28	145.02	127.0	139.07	114.36	115.97	215.77	73.54	166.73	166.73	172.65	223.41	229.72	140.04	156.59	97.36	163.28	486.75	733.19	551.56	679.29	629.35	500.46	830.75	674.59	656.11	532.74	293.07	514.56	559.28	571.05	234.57	256.78	228.13	279.14	483.38	249.73	191.67	293.07	297.17	173.85	624.99	236.21
E2F7	41.81	53.19	11.13	12.45	50.63	6.31	78.89	26.86	8.99	84.63	45.53	69.03	10.71	20.56	9.63	0.64	25.72	236.21	44.25	2.97	41.81	28.45	34.02	35.25	0.72	4.43	0.71	1.07	1.95	7.0	5.32	2.51	0.66	0.64	1.06	1.04	4.24	0.0	2.03	16.27	0.0	28.04	137.14	78.34	48.87	52.08	173.85	114.36	38.12	187.71	52.82	37.85	45.85	136.19	21.78	55.1	43.63	36.27	100.83	215.77	33.3	37.05	36.79	71.0	78.89	195.72	8.0
EEF2K	236.21	114.36	277.2	175.07	221.86	197.09	197.09	234.57	293.07	285.03	353.59	253.23	141.02	358.54	204.07	127.0	511.0	267.73	366.09	356.05	371.22	175.07	221.86	325.29	74.58	125.24	112.77	139.07	122.64	141.02	123.5	105.89	148.09	108.14	75.11	169.07	158.79	88.88	102.25	116.78	64.8	366.09	356.05	476.71	384.34	607.87	642.59	312.0	189.02	1088.92	239.52	241.19	351.14	490.14	299.25	363.56	490.14	169.07	753.83	371.22	253.23	438.59	332.14	486.75	287.01	521.76	120.94
EPC2	205.5	234.57	165.57	162.14	205.5	242.88	134.3	129.69	48.87	392.44	234.57	320.8	117.6	255.0	191.67	162.14	143.01	140.04	199.85	381.68	151.22	88.26	186.4	329.84	115.16	171.45	110.43	75.11	67.12	81.14	123.5	55.1	181.28	117.6	148.09	224.97	155.5	100.13	287.01	86.43	130.6	277.2	426.57	341.51	287.01	332.14	473.41	267.73	379.04	529.06	255.0	258.57	423.61	329.84	256.78	129.69	162.14	101.54	183.82	432.53	159.9	146.03	273.37	209.84	130.6	379.04	145.02
