	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.FV.A3I1.11A.11R.A22L.07	GTEX.XBEC.1526.SM.4AT68	GTEX.RN64.1826.SM.48FDV	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.11EQ9.0226.SM.5A5JX	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.YFC4.1126.SM.5RQJN	GTEX.XBEC.1026.SM.4QASM	GTEX.OOBJ.0526.SM.48TDK	GTEX.11P7K.0326.SM.59871	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.11PRG.0926.SM.5EGI8	GTEX.11WQC.0626.SM.5EQMF	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.P4PQ.0526.SM.2HMKR	GTEX.11EI6.0826.SM.5985V	GTEX.14E7W.1326.SM.5RQIV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.117YX.1326.SM.5H125	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.ZZPT.1326.SM.5E43H	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13O21.3026.SM.5J2NI	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZE7O.0826.SM.57WCP	GTEX.13VXU.2726.SM.5LU4N	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.11O72.1326.SM.5BC5A	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZYT6.0526.SM.5GIEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.139UW.0226.SM.5K7WU	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.QEG4.0526.SM.48TZD	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.UJMC.0726.SM.3GADX	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.OHPM.0526.SM.2YUMJ
ARMCX3	376.41	113.56	82.29	444.72	74.06	88.88	444.72	15.91	39.79	384.34	124.37	329.84	301.33	231.32	346.29	323.03	151.22	323.03	291.04	291.04	194.36	59.97	1806.78	1044.52	1127.35	753.83	1806.78	575.03	1127.35	1605.83	426.57	1191.69	3349.13	909.17	575.03	567.1	825.0	1896.65	409.15	1628.26	796.86	819.3	1909.85	866.07	703.28	420.68	1605.83	941.27	679.29	1066.48	698.41	1015.93	1794.29	447.82	1051.79	896.64	599.49	651.58	497.0	1081.39	540.19	753.83	1487.87	1304.15	480.04	1295.13	1030.12	684.02	1104.13	412.0	878.17	1268.46	2720.15	334.46	830.75	1794.29	583.07	395.18	1259.69	624.99	961.07	493.56	409.15	2701.35	769.69	915.51	1259.69	967.76	1561.89	624.99	599.49
BAZ1A	191.67	297.17	241.19	194.36	195.72	239.52	153.34	68.07	90.77	181.28	224.97	116.78	162.14	120.1	199.85	113.56	42.11	101.54	135.24	156.59	77.25	205.5	1551.09	738.29	2047.0	320.8	490.14	490.14	674.59	450.94	435.55	379.04	1519.15	518.15	417.77	291.04	915.51	1508.65	299.25	947.83	293.07	305.55	1143.1	339.14	307.69	218.79	688.78	1561.89	909.17	303.44	320.8	301.33	1350.18	316.37	1844.76	490.14	305.55	242.88	289.02	267.73	356.05	669.92	493.56	642.59	316.37	1662.49	718.08	303.44	503.95	703.28	1066.48	642.59	872.1	403.5	316.37	802.41	1111.82	414.87	511.0	373.81	429.54	215.77	316.37	1183.45	336.79	660.68	1250.98	1111.82	819.3	1498.22	480.04
BTG3	209.84	234.57	187.71	162.14	579.04	204.07	191.67	218.79	287.01	287.01	123.5	98.73	101.54	111.21	201.25	127.0	69.03	105.89	148.09	140.04	85.22	93.35	2434.5	1844.76	2895.31	1477.58	1350.18	2271.4	1561.89	1242.34	2417.67	1378.57	5112.16	1551.09	842.36	1378.57	1369.04	3039.3	967.76	2701.35	988.12	1304.15	1697.45	1685.71	1242.34	1242.34	2384.37	2701.35	2682.69	1059.11	2573.36	854.13	2816.11	1268.46	2224.63	2032.85	2434.5	1191.69	1313.23	1277.29	1295.13	3124.78	1551.09	2664.15	1233.75	2997.45	1844.76	1304.15	1572.76	3395.89	1651.0	3212.66	2997.45	1104.13	718.08	3467.27	2178.83	2627.46	1183.45	1583.71	1639.59	1359.57	3540.14	2367.9	1651.0	1936.53	3060.45	2209.26	1674.06	3443.31	1030.12
CAMSAP2	58.3	102.97	120.94	72.52	126.12	133.36	68.07	80.01	28.65	78.34	99.43	43.02	68.07	52.82	59.55	55.89	21.94	43.94	60.39	62.56	39.22	16.51	921.88	624.99	612.11	403.5	387.02	260.38	426.57	511.0	220.32	255.0	579.04	381.68	204.07	151.22	599.49	583.07	194.36	536.45	293.07	429.54	703.28	234.57	217.27	158.79	603.67	447.82	480.04	532.74	305.55	371.22	497.0	289.02	376.41	389.72	312.0	206.94	181.28	325.29	220.32	209.84	514.56	466.88	262.2	753.83	297.17	258.57	329.84	366.09	551.56	651.58	764.36	199.85	277.2	915.51	435.55	218.79	285.03	201.25	318.57	258.57	215.77	708.18	327.56	387.02	733.19	470.14	563.18	447.82	384.34
CASP4	684.02	1216.75	1617.0	1044.52	808.0	1477.58	954.43	473.41	1250.98	1322.37	1208.34	796.86	1051.79	713.11	1051.79	974.5	603.67	703.28	769.69	620.67	769.69	571.05	6745.86	2240.11	14262.1	1051.79	2287.2	2384.37	3060.45	3190.46	2104.58	2451.44	14262.1	1350.18	1583.71	1407.55	2591.27	13968.57	1417.35	2468.49	1378.57	1295.13	7331.05	1923.14	2417.67	1709.26	2664.15	4358.66	5183.54	2004.85	1950.0	1769.57	3874.05	1781.89	8778.97	2520.38	1457.23	1331.57	1757.34	2997.45	2047.0	4066.71	2875.3	1447.15	1030.12	10883.59	4239.45	1745.2	2090.03	4607.24	6792.79	3235.01	4769.75	2451.44	1936.53	3982.99	5954.47	854.13	4268.94	4450.27	2018.8	1467.37	1059.11	5006.93	1340.84	2303.12	5711.87	4358.66	3564.78	12764.83	3589.58
CCNK	287.01	384.34	325.29	262.2	447.82	346.29	251.48	303.44	307.69	336.79	309.83	248.0	291.04	173.85	271.48	237.86	209.84	264.03	237.86	287.01	234.57	241.19	1781.89	1030.12	1923.14	854.13	769.69	825.0	1015.93	559.28	493.56	733.19	1806.78	775.05	314.17	341.51	775.05	2032.85	525.39	1199.98	395.18	447.82	1721.16	703.28	543.96	493.56	967.76	1151.06	988.12	651.58	775.05	708.18	1551.09	511.0	1781.89	733.19	743.43	532.74	536.45	583.07	679.29	988.12	571.05	1417.35	616.37	1844.76	909.17	616.37	540.19	1167.14	1427.22	1015.93	825.0	819.3	518.15	1304.15	1167.14	642.59	454.09	583.07	612.11	708.18	486.75	1870.53	507.46	723.08	1844.76	1199.98	1037.29	2255.7	896.64
CDK17	159.9	149.12	104.42	87.65	125.24	125.24	96.01	43.02	66.18	84.04	84.63	124.37	150.17	165.57	129.69	127.0	90.77	105.89	134.3	141.02	83.45	127.89	1104.13	733.19	928.3	307.69	500.46	420.68	921.88	988.12	275.28	361.04	733.19	612.11	414.87	307.69	780.44	1008.9	332.14	860.08	473.41	389.72	1051.79	353.59	258.57	224.97	785.88	1066.48	796.86	674.59	363.56	575.03	825.0	414.87	753.83	759.08	540.19	265.87	267.73	480.04	223.41	665.29	665.29	599.49	392.44	961.07	536.45	305.55	514.56	684.02	947.83	718.08	961.07	299.25	420.68	1030.12	603.67	320.8	547.75	273.37	624.99	265.87	287.01	1104.13	356.05	713.11	1066.48	713.11	872.1	616.37	583.07
CDK2	293.07	309.83	237.86	241.19	332.14	361.04	214.27	128.79	343.89	297.17	234.57	218.79	264.03	329.84	170.25	318.57	251.48	314.17	256.78	260.38	246.28	358.54	1268.46	780.44	2119.22	559.28	616.37	400.71	995.0	511.0	381.68	395.18	1295.13	872.1	426.57	343.89	1023.0	1806.78	389.72	1044.52	435.55	603.67	1674.06	426.57	450.94	423.61	1023.0	1923.14	1388.16	414.87	406.31	409.15	1407.55	490.14	1769.57	961.07	444.72	358.54	423.61	497.0	403.5	909.17	915.51	848.22	426.57	2502.97	633.73	341.51	860.08	1023.0	1322.37	1233.75	1250.98	271.48	463.65	1427.22	1286.18	381.68	536.45	348.71	819.3	559.28	563.18	1529.73	414.87	1127.35	1457.23	1447.15	934.76	2075.59	896.64
CHD2	239.52	137.14	182.55	150.17	239.52	147.06	166.73	105.15	101.54	114.36	153.34	166.73	183.82	226.54	190.34	265.87	94.67	229.72	156.59	363.56	205.5	327.56	1081.39	660.68	1167.14	669.92	518.15	579.04	769.69	629.35	295.11	490.14	1447.15	444.72	323.03	353.59	629.35	1794.29	525.39	1216.75	426.57	397.93	1143.1	403.5	314.17	314.17	909.17	1119.56	1151.06	486.75	376.41	447.82	1819.35	555.41	1175.27	507.46	708.18	409.15	318.57	438.59	476.71	1167.14	616.37	1369.04	397.93	1199.98	503.95	532.74	1023.0	909.17	1350.18	669.92	669.92	423.61	400.71	1397.83	825.0	2047.0	674.59	221.86	629.35	414.87	813.63	1008.9	529.06	769.69	1417.35	884.29	1023.0	1794.29	525.39
CHIC2	460.44	253.23	303.44	205.5	301.33	277.2	299.25	86.43	180.02	223.41	221.86	234.57	287.01	371.22	323.03	253.23	194.36	303.44	307.69	295.11	242.88	325.29	1175.27	414.87	1437.15	423.61	490.14	490.14	403.5	466.88	665.29	358.54	967.76	503.95	563.18	500.46	532.74	1340.84	271.48	463.65	483.38	450.94	616.37	547.75	199.85	242.88	536.45	738.29	616.37	363.56	595.34	429.54	507.46	1151.06	743.43	525.39	612.11	332.14	409.15	848.22	381.68	379.04	423.61	454.09	559.28	483.38	438.59	476.71	232.94	693.58	595.34	518.15	1191.69	353.59	397.93	397.93	660.68	314.17	629.35	242.88	486.75	376.41	450.94	583.07	341.51	607.87	1111.82	529.06	638.15	1051.79	651.58
CHSY1	125.24	92.05	91.41	68.07	100.13	126.12	67.59	50.27	40.36	85.82	69.52	65.26	95.34	68.55	109.66	61.25	67.12	75.64	98.73	80.57	112.77	43.32	1832.01	688.78	1487.87	503.95	571.05	316.37	1175.27	830.75	275.28	262.2	1151.06	271.48	320.8	289.02	713.11	1844.76	400.71	723.08	466.88	624.99	1277.29	356.05	397.93	309.83	698.41	2271.4	1529.73	470.14	409.15	438.59	995.0	511.0	1104.13	507.46	551.56	218.79	327.56	620.67	368.65	624.99	909.17	454.09	299.25	1340.84	825.0	353.59	497.0	1388.16	753.83	1350.18	1143.1	303.44	406.31	915.51	1208.34	327.56	470.14	514.56	583.07	316.37	262.2	1605.83	341.51	473.41	2075.59	802.41	954.43	1487.87	836.53
CLIC4	813.63	543.96	532.74	373.81	536.45	693.58	389.72	224.97	480.04	297.17	447.82	503.95	450.94	802.41	514.56	665.29	447.82	638.15	476.71	693.58	493.56	363.56	3928.15	2537.92	6699.25	2915.45	3325.99	2520.38	3614.55	4095.0	2384.37	1936.53	5219.6	2271.4	2303.12	1674.06	3060.45	7331.05	1819.35	2835.7	3639.7	2367.9	2816.11	2255.7	1832.01	1769.57	3168.41	5147.73	3349.13	4769.75	3018.3	3303.0	2915.45	2209.26	3515.68	3081.75	3303.0	1733.13	2163.77	4010.71	2090.03	2976.74	3018.3	3690.52	1721.16	4388.98	2855.44	2384.37	2178.83	2997.45	3716.2	3303.0	13492.72	1794.29	2701.35	4512.4	3395.89	1617.0	2319.15	2367.9	2240.11	1977.24	2240.11	5633.22	2682.69	5112.16	8363.13	2591.27	6250.56	4607.24	3768.09
CORO1C	656.11	713.11	567.1	490.14	500.46	693.58	356.05	271.48	190.34	503.95	607.87	297.17	575.03	358.54	480.04	412.0	429.54	334.46	457.25	358.54	351.14	279.14	6207.38	3039.3	2816.11	2209.26	3614.55	2468.49	2287.2	2303.12	1350.18	3081.75	5403.7	1745.2	1081.39	2400.97	3874.05	6471.02	2061.24	4123.49	1806.78	2240.11	3928.15	1617.0	2209.26	1417.35	4937.99	5292.48	2303.12	1733.13	2664.15	1467.37	5255.91	1119.56	4802.93	2090.03	1977.24	1561.89	1437.15	2133.97	1651.0	1111.82	2758.13	2627.46	599.49	1923.14	1685.71	1923.14	3847.29	3982.99	3303.0	2701.35	8247.98	3928.15	2758.13	4419.52	1733.13	2739.08	1857.6	2148.82	3257.52	1819.35	1183.45	10368.08	1662.49	3614.55	11112.3	2468.49	7280.4	3372.43	4450.27
