	TCGA.E9.A243.01A.21R.A169.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.G3.A3CI.01A.11R.A213.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10Y.11A.11R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.FV.A23B.11A.11R.A16W.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.DD.A114.11A.12R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.PX3G.0826.SM.48TZS	GTEX.145MF.0826.SM.5QGQA	GTEX.P78B.1326.SM.3P611	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	TCGA.78.7536.01A.11R.2066.07	TCGA.05.4420.01A.01R.1206.07	TCGA.55.7815.01A.11R.2170.07	TCGA.78.7161.01A.11R.2039.07	TCGA.78.7159.01A.11R.2039.07	TCGA.55.8203.01A.11R.2241.07	TCGA.55.6642.01A.11R.1858.07	TCGA.55.6971.01A.11R.1949.07	TCGA.86.8359.01A.11R.2326.07	TCGA.55.8615.01A.11R.2403.07	TCGA.86.8076.01A.31R.2241.07	TCGA.80.5608.01A.31R.1949.07	TCGA.05.4396.01A.21R.1858.07	TCGA.44.3918.01A.01R.A278.07	TCGA.99.8032.01A.11R.2241.07	TCGA.55.7724.01A.11R.2170.07	TCGA.64.5774.01A.01R.1628.07	TCGA.73.4659.01A.01R.1206.07	TCGA.05.4384.01A.01R.1755.07	TCGA.44.8119.01A.11R.2241.07	TCGA.55.8508.01A.11R.2403.07	TCGA.05.4390.01A.02R.1755.07	GTEX.144GN.0426.SM.5O9AP	GTEX.WWYW.0926.SM.3NB2Z	GTEX.145MF.0726.SM.5Q5BT	GTEX.13FH7.1726.SM.5IJE7
DCAF13	1397.83	2591.27	244.57	244.57	708.18	547.75	201.25	193.01	218.79	217.27	127.89	277.2	182.55	228.13	256.78	217.27	242.88	166.73	236.21	201.25	206.94	224.97	329.84	242.88	105.89	988.12	860.08	954.43	884.29	1388.16	866.07	1008.9	567.1	1143.1	525.39	603.67	878.17	543.96	1977.24	1191.69	728.11	819.3	1104.13	540.19	1685.71	616.37	1857.6	647.07	194.36	417.77	974.5
DCK	954.43	665.29	77.79	63.89	214.27	312.0	100.13	73.03	91.41	32.59	50.98	96.01	56.68	57.89	108.14	55.89	115.16	57.89	177.53	60.82	61.25	57.49	103.69	36.79	47.84	318.57	743.43	536.45	215.77	460.44	329.84	267.73	332.14	190.34	295.11	299.25	277.2	275.28	703.28	381.68	476.71	511.0	251.48	231.32	480.04	205.5	507.46	432.53	176.29	232.94	237.86
E2F5	555.41	1417.35	72.52	28.24	100.13	79.45	35.5	50.27	44.25	51.35	25.91	55.49	23.08	61.25	44.57	46.5	50.98	31.45	50.27	34.02	22.43	20.56	66.65	27.64	12.74	738.29	379.04	255.0	647.07	713.11	444.72	620.67	417.77	444.72	297.17	329.84	361.04	318.57	785.88	447.82	182.55	351.14	373.81	202.66	392.44	301.33	961.07	165.57	253.23	457.25	202.66
FAM101A	48.52	18.29	0.0	1.73	78.89	22.26	10.08	0.0	2.89	1.1	0.59	4.21	0.0	0.65	0.0	1.73	7.82	1.13	1.58	0.66	0.0	0.39	0.0	0.0	8.65	40.07	17.0	46.5	27.64	90.14	50.27	72.52	101.54	55.89	51.35	32.59	16.39	8.85	61.68	84.63	10.31	73.03	55.89	9.63	265.87	150.17	96.01	18.97	39.5	8.92	24.28
FAM220A	412.0	497.0	115.16	136.19	454.09	327.56	106.63	125.24	119.26	80.01	110.43	132.44	98.04	82.29	102.25	98.73	140.04	119.26	105.89	94.67	101.54	117.6	132.44	75.11	71.0	323.03	476.71	303.44	267.73	420.68	348.71	376.41	314.17	363.56	423.61	303.44	201.25	255.0	400.71	246.28	507.46	339.14	285.03	420.68	297.17	463.65	400.71	244.57	114.36	88.26	205.5
FAM49B	3146.52	3419.52	309.83	373.81	769.69	1199.98	234.57	327.56	343.89	209.84	214.27	412.0	234.57	271.48	329.84	273.37	480.04	267.73	532.74	309.83	289.02	190.34	191.67	229.72	185.11	2224.63	1674.06	2090.03	1697.45	2335.28	1477.58	1225.22	1870.53	1733.13	813.63	1662.49	1529.73	1051.79	5006.93	1819.35	2061.24	1295.13	1950.0	1322.37	2209.26	1030.12	2875.3	2018.8	1233.75	1378.57	1605.83
FAM92A1	808.0	1313.23	283.05	316.37	301.33	253.23	153.34	395.18	395.18	297.17	126.12	406.31	325.29	358.54	379.04	329.84	532.74	312.0	441.64	334.46	320.8	395.18	473.41	389.72	56.68	551.56	591.22	642.59	1051.79	836.53	536.45	511.0	466.88	1208.34	665.29	351.14	540.19	94.67	1073.91	718.08	547.75	473.41	532.74	150.17	1051.79	309.83	1268.46	780.44	463.65	400.71	500.46
FAP	1757.34	775.05	5.87	5.41	68.07	40.93	27.84	12.64	5.68	2.36	8.13	9.06	0.0	6.94	4.9	9.27	57.08	1.89	19.53	8.71	11.73	2.43	2.27	9.93	0.0	152.28	260.38	1551.09	366.09	454.09	536.45	1540.37	480.04	327.56	253.23	426.57	113.56	156.59	1819.35	909.17	371.22	409.15	417.77	159.9	1467.37	480.04	638.15	68.07	150.17	204.07	121.79
FZD6	476.71	1617.0	44.89	54.72	368.65	599.49	31.0	34.26	68.07	26.47	16.39	56.68	38.4	43.32	32.82	22.92	88.88	31.22	63.89	38.4	39.79	27.44	23.76	29.91	17.51	567.1	293.07	529.06	473.41	748.61	368.65	579.04	379.04	738.29	412.0	366.09	423.61	318.57	669.92	703.28	1143.1	366.09	486.75	307.69	878.17	426.57	872.1	656.11	334.46	1397.83	507.46
G2E3	231.32	866.07	38.4	40.36	90.14	155.5	30.56	40.64	53.95	24.28	13.93	85.22	38.67	36.79	47.5	28.24	54.72	37.05	61.68	53.57	27.05	22.92	43.63	28.45	13.93	339.14	217.27	251.48	295.11	226.54	185.11	232.94	262.2	120.1	77.25	127.0	155.5	154.42	748.61	134.3	312.0	234.57	246.28	137.14	229.72	80.57	332.14	65.26	90.14	77.79	95.34
INTS8	813.63	2796.65	208.38	265.87	323.03	389.72	127.0	246.28	264.03	159.9	98.73	336.79	220.32	178.77	215.77	205.5	244.57	164.42	218.79	211.31	155.5	131.51	221.86	323.03	96.01	1745.2	708.18	808.0	1295.13	1757.34	1104.13	1066.48	759.08	1498.22	769.69	738.29	1023.0	866.07	2502.97	1216.75	775.05	633.73	921.88	703.28	1233.75	660.68	1350.18	417.77	441.64	307.69	239.52
KBTBD2	738.29	674.59	246.28	255.0	503.95	412.0	251.48	208.38	299.25	226.54	152.28	346.29	187.71	312.0	237.86	205.5	343.89	155.5	314.17	193.01	181.28	157.68	214.27	157.68	212.78	514.56	713.11	890.44	647.07	743.43	497.0	647.07	718.08	633.73	591.22	470.14	466.88	457.25	890.44	595.34	679.29	698.41	444.72	620.67	796.86	473.41	780.44	392.44	363.56	738.29	438.59
KIAA0196	1037.29	2255.7	325.29	258.57	503.95	660.68	237.86	316.37	381.68	236.21	242.88	441.64	327.56	262.2	351.14	271.48	423.61	271.48	343.89	275.28	312.0	279.14	255.0	265.87	161.02	934.76	624.99	1183.45	759.08	884.29	669.92	669.92	651.58	753.83	507.46	638.15	796.86	733.19	1208.34	748.61	988.12	660.68	669.92	660.68	808.0	466.88	928.3	878.17	373.81	429.54	743.43
KIAA1429	1030.12	1832.01	493.56	669.92	525.39	583.07	412.0	525.39	660.68	591.22	320.8	624.99	603.67	543.96	426.57	551.56	595.34	514.56	595.34	473.41	466.88	493.56	529.06	563.18	336.79	1216.75	764.36	791.35	1208.34	1540.37	947.83	1313.23	547.75	1286.18	842.36	802.41	1313.23	629.35	1857.6	1268.46	1066.48	890.44	836.53	723.08	1015.93	830.75	1832.01	688.78	620.67	476.71	665.29
MIOS	595.34	1059.11	343.89	191.67	571.05	607.87	125.24	201.25	264.03	166.73	127.89	244.57	169.07	162.14	269.6	139.07	202.66	208.38	201.25	180.02	212.78	107.38	187.71	124.37	116.78	392.44	341.51	336.79	309.83	320.8	346.29	397.93	379.04	358.54	361.04	368.65	255.0	373.81	616.37	239.52	400.71	271.48	279.14	414.87	426.57	260.38	363.56	429.54	239.52	346.29	299.25
MTDH	2664.15	4704.07	860.08	733.19	1051.79	1259.69	368.65	941.27	1119.56	587.13	258.57	934.76	723.08	830.75	954.43	753.83	866.07	909.17	1044.52	974.5	457.25	769.69	860.08	934.76	733.19	1733.13	1143.1	3124.78	1044.52	2468.49	1233.75	2555.58	1721.16	1806.78	791.35	1111.82	1529.73	1388.16	2895.31	1529.73	1498.22	1081.39	2018.8	902.89	2133.97	780.44	2520.38	1498.22	500.46	1199.98	1313.23
MTERFD1	928.3	1369.04	301.33	287.01	289.02	291.04	190.34	305.55	305.55	256.78	201.25	363.56	265.87	285.03	358.54	269.6	387.02	221.86	387.02	289.02	224.97	339.14	275.28	246.28	80.01	848.22	460.44	392.44	620.67	830.75	543.96	521.76	371.22	698.41	420.68	373.81	547.75	346.29	848.22	688.78	466.88	483.38	511.0	327.56	551.56	420.68	872.1	420.68	157.68	164.42	346.29
NEURL1B	88.26	244.57	50.63	82.29	165.57	269.6	54.72	131.51	229.72	47.5	33.06	154.42	92.7	49.56	82.87	43.63	232.94	61.25	88.88	95.34	92.05	37.32	117.6	31.45	9.27	387.02	665.29	175.07	129.69	406.31	432.53	1519.15	265.87	193.01	339.14	339.14	260.38	303.44	253.23	332.14	228.13	376.41	934.76	256.78	341.51	947.83	967.76	146.03	728.11	180.02	124.37
NSMCE2	764.36	1295.13	217.27	299.25	480.04	490.14	232.94	232.94	258.57	195.72	175.07	314.17	269.6	228.13	269.6	229.72	395.18	205.5	363.56	248.0	309.83	271.48	373.81	152.28	366.09	884.29	511.0	872.1	802.41	1111.82	638.15	525.39	473.41	660.68	429.54	599.49	967.76	490.14	1605.83	813.63	791.35	660.68	514.56	571.05	866.07	444.72	1378.57	490.14	486.75	403.5	733.19
NUDCD1	599.49	1175.27	86.43	100.83	185.11	218.79	47.5	98.04	129.69	61.25	35.76	111.99	86.43	69.03	111.99	81.14	105.89	85.82	91.41	89.51	44.25	61.25	93.35	63.0	50.63	432.53	543.96	343.89	316.37	665.29	373.81	466.88	363.56	591.22	220.32	265.87	476.71	269.6	1008.9	423.61	339.14	532.74	420.68	248.0	693.58	255.0	848.22	239.52	182.55	201.25	336.79
OTUD6B	218.79	559.28	56.28	39.79	154.42	130.6	36.53	63.45	81.14	43.32	17.51	59.97	35.76	36.53	70.51	49.21	60.82	44.25	74.06	48.18	40.93	49.56	29.91	48.18	23.25	289.02	94.01	148.09	186.4	214.27	138.1	137.14	162.14	138.1	81.71	104.42	85.82	111.99	414.87	197.09	159.9	98.04	120.94	124.37	156.59	85.82	356.05	108.14	92.05	193.01	162.14
PHF20L1	866.07	1583.71	153.34	154.42	301.33	366.09	110.43	159.9	218.79	111.21	34.26	218.79	111.99	137.14	185.11	122.64	223.41	117.6	195.72	137.14	55.49	68.07	126.12	119.26	67.59	780.44	336.79	723.08	703.28	723.08	490.14	432.53	540.19	647.07	293.07	426.57	454.09	476.71	1437.15	651.58	603.67	205.5	329.84	371.22	848.22	312.0	743.43	297.17	320.8	277.2	212.78
PHTF2	395.18	483.38	62.12	77.79	281.09	194.36	56.28	59.97	69.52	36.53	17.25	105.89	55.1	54.72	66.18	43.94	84.04	30.34	102.97	44.25	62.56	62.12	30.78	21.16	41.22	226.54	647.07	463.65	255.0	547.75	316.37	476.71	329.84	417.77	119.26	181.28	251.48	226.54	842.36	264.03	325.29	450.94	417.77	111.99	500.46	228.13	368.65	177.53	265.87	246.28	136.19
RNF2	563.18	688.78	104.42	100.83	214.27	332.14	87.65	111.99	151.22	43.32	39.5	126.12	79.45	120.94	98.04	85.22	133.36	57.08	113.56	98.73	99.43	52.82	84.04	94.67	55.1	567.1	379.04	616.37	269.6	444.72	368.65	400.71	339.14	358.54	460.44	343.89	248.0	400.71	738.29	265.87	438.59	395.18	371.22	389.72	447.82	356.05	392.44	309.83	151.22	193.01	239.52
SAMD8	202.66	414.87	82.87	84.04	208.38	181.28	63.89	78.34	116.78	57.49	25.54	111.99	80.01	84.63	95.34	59.13	105.89	59.55	86.43	57.08	48.87	60.39	59.55	54.33	57.08	139.07	135.24	376.41	189.02	181.28	167.9	228.13	177.53	141.02	190.34	201.25	169.07	211.31	389.72	189.02	318.57	135.24	170.25	156.59	186.4	99.43	253.23	106.63	220.32	198.47	155.5
SEPT7	3168.41	3690.52	802.41	878.17	1870.53	2468.49	842.36	791.35	1096.5	587.13	432.53	1059.11	684.02	836.53	954.43	728.11	1151.06	723.08	1030.12	819.3	796.86	620.67	748.61	620.67	529.06	1909.85	3589.58	3168.41	2090.03	2004.85	2193.99	2417.67	2224.63	2133.97	1963.57	1844.76	1378.57	1709.26	3901.01	2018.8	3614.55	2148.82	1697.45	2645.74	2018.8	1662.49	2720.15	2720.15	1519.15	2271.4	2485.67
SLC25A32	483.38	988.12	260.38	241.19	264.03	258.57	124.37	237.86	307.69	273.37	221.86	341.51	204.07	267.73	341.51	204.07	291.04	202.66	218.79	206.94	164.42	211.31	124.37	161.02	285.03	332.14	409.15	480.04	323.03	503.95	325.29	463.65	336.79	563.18	248.0	279.14	301.33	336.79	813.63	460.44	379.04	371.22	473.41	275.28	503.95	267.73	620.67	273.37	215.77	366.09	543.96
SNX16	224.97	723.08	61.25	60.39	170.25	157.68	33.06	63.45	68.55	39.22	17.51	80.57	39.22	76.71	65.26	66.18	64.34	61.68	56.28	47.17	38.12	40.93	66.18	24.99	21.47	316.37	140.04	293.07	217.27	343.89	202.66	241.19	181.28	197.09	90.14	158.79	190.34	115.16	332.14	163.28	384.34	312.0	125.24	129.69	334.46	98.04	303.44	124.37	150.17	80.01	115.97
SPAG1	287.01	248.0	53.95	78.89	114.36	283.05	42.71	54.72	70.01	45.85	31.22	78.89	44.57	72.01	63.89	48.18	89.51	53.19	102.25	49.21	52.08	17.77	54.72	48.87	73.03	242.88	111.99	198.47	145.02	244.57	173.85	129.69	143.01	285.03	125.24	153.34	136.19	123.5	738.29	135.24	242.88	154.42	166.73	80.57	265.87	80.57	242.88	647.07	476.71	1051.79	260.38
STK3	543.96	1378.57	271.48	228.13	236.21	341.51	130.6	248.0	217.27	167.9	141.02	239.52	175.07	206.94	209.84	170.25	231.32	177.53	190.34	191.67	118.43	182.55	105.89	185.11	206.94	1059.11	463.65	454.09	521.76	703.28	420.68	525.39	346.29	540.19	251.48	327.56	567.1	620.67	1605.83	480.04	536.45	571.05	507.46	463.65	830.75	283.05	884.29	379.04	307.69	447.82	264.03
SULF1	2855.44	1769.57	88.26	53.95	299.25	341.51	114.36	19.11	152.28	23.93	35.5	66.65	41.81	69.52	57.89	47.17	84.04	20.41	47.5	56.68	91.41	19.53	8.38	29.91	2.68	3639.7	595.34	5112.16	738.29	2682.69	2047.0	6887.62	2627.46	1457.23	547.75	1594.73	738.29	563.18	5219.6	2855.44	1709.26	2004.85	1519.15	206.94	7130.55	1733.13	2537.92	387.02	1015.93	229.72	642.59
TAF2	447.82	1277.29	143.01	108.14	224.97	293.07	94.67	150.17	164.42	81.14	46.18	224.97	97.36	100.83	163.28	106.63	173.85	108.9	167.9	100.83	85.22	57.49	101.54	137.14	41.52	612.11	305.55	343.89	647.07	599.49	312.0	361.04	320.8	392.44	293.07	242.88	381.68	305.55	890.44	429.54	412.0	444.72	287.01	289.02	521.76	258.57	457.25	190.34	89.51	177.53	231.32
TDG	555.41	1051.79	127.0	124.37	295.11	575.03	118.43	157.68	195.72	117.6	87.65	157.68	100.83	171.45	163.28	110.43	195.72	127.89	175.07	109.66	58.3	92.05	119.26	149.12	40.64	928.3	728.11	713.11	503.95	629.35	532.74	493.56	575.03	429.54	521.76	384.34	366.09	555.41	825.0	698.41	656.11	674.59	493.56	361.04	854.13	361.04	698.41	241.19	193.01	234.57	262.2
TGS1	438.59	363.56	95.34	88.26	205.5	293.07	73.54	86.43	125.24	62.12	19.39	121.79	85.22	76.17	101.54	62.56	104.42	84.04	111.99	74.06	63.0	62.56	58.71	59.97	23.93	518.15	236.21	343.89	157.68	483.38	217.27	373.81	277.2	320.8	201.25	162.14	236.21	215.77	575.03	187.71	384.34	144.01	343.89	218.79	285.03	162.14	376.41	255.0	153.34	193.01	279.14
TMEM55A	178.77	379.04	50.27	27.44	135.24	80.01	70.01	48.18	61.25	11.38	25.91	143.01	21.78	48.18	60.82	23.76	97.36	23.25	107.38	113.56	9.34	27.25	21.78	19.25	25.91	26.47	143.01	234.57	217.27	144.01	106.63	197.09	129.69	239.52	81.14	116.78	105.89	122.64	212.78	146.03	139.07	127.0	105.89	128.79	256.78	120.1	232.94	244.57	95.34	19.11	150.17
TMEM67	120.94	728.11	17.64	74.06	59.13	162.14	13.72	33.3	29.7	14.89	6.01	40.07	31.45	12.55	24.99	9.85	34.26	13.22	48.52	35.25	15.0	42.71	28.24	17.64	18.84	325.29	60.39	348.71	256.78	346.29	124.37	169.07	202.66	226.54	144.01	262.2	155.5	121.79	620.67	253.23	165.57	143.01	111.21	68.55	253.23	121.79	305.55	403.5	470.14	775.05	237.86
TMEM68	525.39	988.12	162.14	206.94	214.27	353.59	166.73	143.01	221.86	176.29	111.99	206.94	215.77	148.09	223.41	114.36	231.32	162.14	186.4	178.77	96.01	217.27	165.57	127.0	93.35	878.17	629.35	607.87	358.54	890.44	432.53	511.0	316.37	514.56	486.75	318.57	473.41	262.2	842.36	529.06	476.71	318.57	638.15	281.09	665.29	260.38	836.53	629.35	285.03	629.35	447.82
UBE2W	575.03	1030.12	193.01	202.66	224.97	295.11	129.69	249.73	249.73	181.28	107.38	267.73	173.85	237.86	232.94	155.5	241.19	151.22	217.27	220.32	135.24	147.06	127.89	146.03	312.0	571.05	775.05	769.69	320.8	780.44	429.54	540.19	420.68	775.05	327.56	392.44	743.43	567.1	2163.77	450.94	575.03	595.34	417.77	373.81	713.11	241.19	791.35	309.83	368.65	293.07	201.25
USP42	126.12	281.09	41.81	58.71	94.01	139.07	49.21	54.33	60.39	40.36	38.67	88.88	36.01	57.08	60.39	53.57	71.0	44.25	72.52	37.59	43.94	44.25	33.06	37.05	27.25	126.12	115.97	115.97	172.65	158.79	125.24	151.22	159.9	110.43	159.9	102.25	104.42	127.0	185.11	126.12	147.06	153.34	105.89	126.12	131.51	132.44	172.65	76.17	125.24	131.51	81.71
UTP23	518.15	1001.93	117.6	136.19	187.71	265.87	53.95	166.73	124.37	117.6	50.27	145.02	120.94	119.26	161.02	103.69	172.65	110.43	127.89	137.14	56.28	118.43	71.0	96.68	57.08	490.14	215.77	309.83	395.18	476.71	334.46	334.46	373.81	363.56	190.34	260.38	348.71	287.01	1096.5	353.59	417.77	493.56	265.87	264.03	387.02	156.59	555.41	191.67	138.1	237.86	248.0
VCAN	3742.05	2104.58	45.21	28.04	327.56	896.64	93.35	25.54	50.63	7.46	22.1	61.25	6.06	44.57	33.78	37.85	111.99	16.03	71.0	57.49	48.52	3.69	35.25	2.94	84.63	981.29	1617.0	8718.32	902.89	2555.58	1794.29	9279.58	2682.69	2061.24	1313.23	915.51	1369.04	381.68	5831.91	2855.44	1216.75	2224.63	3515.68	285.03	5751.61	2148.82	4802.93	1051.79	1008.9	423.61	1896.65
WDR66	48.87	147.06	55.1	33.54	80.57	693.58	10.16	37.59	84.04	17.77	32.59	48.18	42.11	33.3	32.82	45.21	67.12	27.84	52.82	23.08	15.68	11.91	23.93	14.56	41.81	169.07	149.12	215.77	146.03	107.38	55.89	155.5	77.25	607.87	217.27	295.11	159.9	137.14	392.44	58.71	480.04	201.25	100.83	52.08	157.68	17.9	698.41	830.75	1378.57	1819.35	435.55
YAE1D1	493.56	642.59	162.14	223.41	332.14	361.04	198.47	220.32	205.5	156.59	82.29	241.19	215.77	162.14	211.31	136.19	283.05	169.07	199.85	209.84	151.22	106.63	251.48	153.34	49.91	551.56	860.08	679.29	669.92	780.44	633.73	397.93	417.77	723.08	642.59	483.38	389.72	267.73	708.18	555.41	514.56	559.28	395.18	536.45	323.03	536.45	825.0	376.41	228.13	187.71	444.72
YRDC	271.48	373.81	246.28	255.0	285.03	379.04	162.14	256.78	316.37	264.03	275.28	258.57	205.5	271.48	248.0	220.32	271.48	217.27	291.04	190.34	154.42	241.19	191.67	248.0	195.72	305.55	921.88	389.72	563.18	412.0	371.22	397.93	297.17	438.59	249.73	363.56	305.55	329.84	403.5	395.18	361.04	341.51	463.65	363.56	579.04	432.53	454.09	395.18	291.04	414.87	638.15
