	GTEX.132AR.0826.SM.5EGK6	GTEX.13OVI.1126.SM.5KLZF	TCGA.B2.4098.01A.02R.1325.07	TCGA.A3.3317.01A.02R.1325.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.EV.5902.01A.11R.1592.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.B3.3926.01A.02R.1351.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.4117.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.DD.A3A8.11A.11R.A22L.07
C5orf15	915.51	3349.13	1457.23	3540.14	1225.22	1250.98	3564.78	3124.78	4066.71	1191.69	1081.39	2591.27	1359.57	2537.92	1806.78	1819.35	2004.85	2417.67	1991.0	988.12	1844.76	813.63	934.76	1051.79	1304.15	995.0	1745.2	723.08
C5orf24	603.67	1001.93	409.15	1242.34	232.94	423.61	836.53	698.41	738.29	412.0	264.03	796.86	341.51	563.18	591.22	543.96	463.65	612.11	563.18	414.87	429.54	134.3	307.69	361.04	283.05	202.66	473.41	258.57
C5orf51	299.25	316.37	318.57	329.84	109.66	197.09	323.03	262.2	339.14	141.02	136.19	271.48	218.79	346.29	246.28	244.57	264.03	303.44	226.54	226.54	226.54	104.42	223.41	119.26	155.5	130.6	169.07	63.0
CAB39L	112.77	314.17	228.13	318.57	133.36	159.9	246.28	244.57	217.27	75.11	57.49	176.29	156.59	154.42	232.94	325.29	84.04	202.66	83.45	138.1	229.72	40.93	105.15	71.0	148.09	61.68	111.99	40.07
CDC23	389.72	447.82	435.55	603.67	346.29	400.71	669.92	591.22	575.03	305.55	368.65	703.28	470.14	551.56	450.94	460.44	450.94	567.1	493.56	417.77	384.34	307.69	366.09	343.89	336.79	251.48	356.05	208.38
CEP120	143.01	743.43	199.85	412.0	75.64	87.03	220.32	204.07	267.73	101.54	63.89	239.52	65.72	305.55	128.79	131.51	116.78	182.55	141.02	99.43	100.83	16.15	79.45	62.56	64.34	68.07	120.1	28.45
CEP128	37.32	62.56	41.22	46.5	15.11	19.53	27.64	29.7	50.27	15.45	14.67	11.38	12.27	98.04	13.32	31.0	33.54	31.9	26.28	13.03	36.27	9.13	22.59	11.21	21.32	11.91	38.12	4.7
CHD9	255.0	791.35	387.02	463.65	132.44	123.5	373.81	343.89	583.07	76.71	130.6	260.38	148.09	480.04	251.48	320.8	221.86	476.71	223.41	178.77	165.57	47.17	143.01	141.02	146.03	111.99	194.36	50.63
CNOT6	262.2	409.15	220.32	381.68	128.79	150.17	329.84	234.57	381.68	81.14	119.26	253.23	161.02	373.81	217.27	239.52	178.77	281.09	206.94	166.73	248.0	69.03	134.3	112.77	135.24	81.71	217.27	25.17
CREBRF	161.02	860.08	241.19	397.93	75.64	120.94	368.65	281.09	463.65	127.0	90.77	236.21	141.02	423.61	180.02	181.28	142.01	285.03	279.14	99.43	229.72	40.93	164.42	81.14	76.71	90.14	214.27	28.04
CRMP1	193.01	343.89	253.23	624.99	198.47	166.73	607.87	791.35	866.07	295.11	166.73	470.14	253.23	1322.37	551.56	679.29	341.51	525.39	435.55	181.28	624.99	221.86	318.57	96.01	61.25	68.07	473.41	8.78
CRYAB	1503610.06	25005.23	383800.28	33688.23	239554.43	447025.24	181548.07	260332.24	130165.62	318292.9	220434.95	408505.64	456418.21	184082.4	546551.29	251464.33	301123.38	195931.88	391864.76	513497.31	375901.76	174152.51	303217.87	141455.6	233003.78	589853.66	269512.87	271.48
CTD-2583A14.10	38.12	50.98	46.5	55.89	8.06	22.43	50.63	43.02	46.84	6.06	12.64	24.11	5.82	24.46	33.54	30.78	8.51	35.76	15.56	14.35	17.51	14.35	10.0	8.58	12.27	0.0	9.48	0.0
DDX46	414.87	1096.5	457.25	693.58	251.48	265.87	575.03	583.07	796.86	217.27	206.94	624.99	202.66	665.29	348.71	429.54	379.04	579.04	339.14	381.68	248.0	98.73	256.78	285.03	211.31	191.67	291.04	126.12
DIMT1	231.32	303.44	341.51	444.72	150.17	197.09	341.51	595.34	460.44	125.24	194.36	647.07	287.01	403.5	234.57	236.21	248.0	262.2	371.22	341.51	232.94	226.54	214.27	228.13	190.34	217.27	194.36	121.79
DMXL1	185.11	813.63	435.55	507.46	183.82	228.13	412.0	529.06	660.68	262.2	143.01	698.41	299.25	567.1	476.71	281.09	277.2	316.37	432.53	287.01	503.95	75.64	223.41	283.05	154.42	215.77	303.44	57.89
DNAJC21	708.18	769.69	890.44	753.83	346.29	318.57	679.29	884.29	974.5	493.56	217.27	1119.56	249.73	748.61	532.74	525.39	603.67	612.11	612.11	532.74	403.5	99.43	450.94	291.04	353.59	361.04	301.33	85.82
DTWD2	89.51	176.29	81.71	170.25	35.76	73.03	138.1	153.34	180.02	51.71	49.91	98.73	84.04	111.99	82.29	115.97	90.14	145.02	74.58	62.56	46.18	31.67	49.56	36.27	46.5	35.76	69.52	40.07
ERBB2IP	412.0	1551.09	521.76	896.64	224.97	463.65	521.76	808.0	1044.52	307.69	246.28	1225.22	353.59	1167.14	486.75	563.18	490.14	638.15	656.11	429.54	529.06	78.34	297.17	395.18	371.22	194.36	476.71	89.51
EXOC6	275.28	341.51	303.44	305.55	85.22	102.97	159.9	454.09	493.56	86.43	161.02	228.13	180.02	164.42	190.34	150.17	293.07	279.14	182.55	208.38	178.77	92.05	183.82	75.11	279.14	92.05	146.03	80.01
FAM114A2	624.99	633.73	373.81	503.95	162.14	190.34	334.46	293.07	438.59	77.79	189.02	260.38	279.14	450.94	260.38	258.57	218.79	460.44	208.38	155.5	180.02	151.22	183.82	132.44	224.97	85.82	175.07	127.0
FAM172A	248.0	497.0	221.86	256.78	94.67	138.1	237.86	151.22	341.51	77.25	57.08	159.9	115.16	353.59	95.34	141.02	127.0	224.97	112.77	142.01	119.26	54.33	94.67	57.89	69.52	87.65	104.42	39.79
FBXL17	167.9	603.67	234.57	579.04	108.14	237.86	371.22	287.01	389.72	110.43	124.37	361.04	256.78	256.78	351.14	253.23	163.28	293.07	190.34	189.02	237.86	68.55	185.11	106.63	102.97	115.97	198.47	72.52
FBXO38	271.48	656.11	486.75	563.18	223.41	258.57	507.46	414.87	540.19	167.9	234.57	432.53	275.28	591.22	366.09	329.84	358.54	406.31	327.56	293.07	285.03	145.02	211.31	199.85	253.23	171.45	265.87	167.9
FCHO2	249.73	1477.58	400.71	591.22	97.36	248.0	497.0	438.59	563.18	162.14	201.25	490.14	281.09	718.08	239.52	327.56	293.07	599.49	318.57	253.23	346.29	64.8	260.38	183.82	129.69	112.77	291.04	48.18
FPGT	447.82	514.56	178.77	414.87	110.43	101.54	214.27	164.42	231.32	100.83	117.6	87.65	139.07	248.0	67.12	178.77	177.53	287.01	88.88	170.25	106.63	62.56	122.64	101.54	100.13	59.13	136.19	60.82
GEMIN5	260.38	183.82	109.66	264.03	100.83	82.87	218.79	208.38	256.78	94.01	127.0	199.85	92.7	202.66	84.04	129.69	137.14	186.4	112.77	138.1	106.63	108.14	92.7	87.03	94.01	97.36	87.03	60.39
GOLGA8Q	52.45	53.57	26.28	33.54	0.0	2.1	8.65	18.97	41.52	0.0	2.51	35.5	9.78	57.89	14.56	20.26	11.04	67.59	16.03	12.36	0.0	0.0	8.85	0.33	4.35	0.0	11.82	0.0
GRAMD3	146.03	1487.87	400.71	703.28	256.78	473.41	273.37	813.63	713.11	334.46	255.0	511.0	507.46	759.08	295.11	441.64	438.59	514.56	441.64	463.65	521.76	301.33	368.65	242.88	289.02	281.09	301.33	167.9
HDX	47.17	38.67	47.17	35.5	14.35	17.9	34.02	47.84	53.95	15.91	19.53	38.12	12.74	59.97	22.26	45.85	33.06	31.22	44.57	34.51	25.17	1.85	17.9	14.89	29.27	23.42	28.24	1.5
HERC3	612.11	1963.57	698.41	728.11	163.28	414.87	447.82	500.46	1088.92	236.21	371.22	571.05	389.72	1242.34	332.14	406.31	258.57	961.07	269.6	307.69	441.64	339.14	267.73	105.15	107.38	94.01	279.14	239.52
IFIT5	371.22	988.12	366.09	656.11	197.09	120.94	379.04	497.0	571.05	206.94	218.79	384.34	178.77	341.51	146.03	343.89	231.32	339.14	264.03	457.25	224.97	83.45	197.09	140.04	146.03	181.28	262.2	89.51
IL18R1	57.08	116.78	57.89	161.02	26.28	13.32	76.17	185.11	98.04	61.68	12.18	47.5	63.45	93.35	74.06	11.82	25.54	146.03	101.54	15.11	57.49	11.64	50.63	55.89	47.84	7.28	38.67	54.33
IL6ST	2319.15	5517.27	890.44	1909.85	253.23	339.14	1183.45	1540.37	2555.58	307.69	262.2	567.1	507.46	1477.58	575.03	463.65	454.09	1066.48	934.76	486.75	713.11	176.29	438.59	289.02	242.88	346.29	490.14	301.33
IPO11	575.03	217.27	384.34	529.06	223.41	154.42	341.51	371.22	503.95	124.37	201.25	309.83	221.86	334.46	289.02	214.27	204.07	312.0	249.73	173.85	249.73	107.38	193.01	166.73	193.01	264.03	214.27	99.43
KAT7	309.83	684.02	483.38	587.13	332.14	343.89	480.04	483.38	642.59	353.59	366.09	483.38	297.17	759.08	334.46	521.76	420.68	511.0	381.68	486.75	381.68	379.04	412.0	267.73	368.65	262.2	358.54	204.07
KIAA0825	24.11	37.05	28.86	43.02	8.78	8.85	47.5	44.89	60.39	8.38	5.54	34.75	11.04	26.28	26.1	18.7	21.47	38.95	40.64	7.94	14.67	1.83	10.24	8.13	6.06	7.75	12.45	2.18
KIAA0947	239.52	346.29	218.79	318.57	107.38	105.15	287.01	231.32	392.44	85.22	90.14	283.05	102.97	309.83	187.71	182.55	167.9	231.32	178.77	144.01	135.24	39.22	109.66	96.68	87.65	78.34	108.9	29.7
KIAA1279	607.87	595.34	567.1	473.41	346.29	373.81	551.56	753.83	775.05	334.46	384.34	633.73	438.59	395.18	563.18	476.71	389.72	438.59	466.88	420.68	429.54	327.56	438.59	256.78	392.44	105.15	351.14	107.38
KIF16B	170.25	395.18	212.78	208.38	86.43	220.32	312.0	341.51	283.05	58.3	109.66	165.57	75.11	511.0	172.65	131.51	204.07	190.34	172.65	182.55	162.14	52.45	88.88	162.14	92.7	73.03	166.73	43.02
KMT2A	220.32	753.83	260.38	463.65	92.7	64.8	368.65	281.09	529.06	59.55	75.64	314.17	80.01	543.96	121.79	202.66	162.14	248.0	273.37	114.36	206.94	40.64	88.26	80.01	73.03	65.26	158.79	38.67
LMBRD2	129.69	329.84	153.34	177.53	31.22	51.35	132.44	114.36	193.01	43.94	29.7	115.97	67.12	154.42	103.69	92.05	61.68	102.97	84.04	62.12	64.8	17.13	59.55	39.22	33.54	34.26	51.35	28.65
LYSMD3	246.28	368.65	218.79	381.68	87.03	98.73	271.48	267.73	389.72	96.01	85.22	218.79	162.14	318.57	197.09	186.4	121.79	231.32	182.55	116.78	149.12	52.08	109.66	83.45	57.08	58.71	127.89	81.71
MAN2A1	255.0	1225.22	387.02	684.02	217.27	332.14	791.35	848.22	1331.57	325.29	325.29	490.14	363.56	860.08	450.94	358.54	417.77	764.36	500.46	381.68	406.31	265.87	267.73	201.25	185.11	214.27	312.0	473.41
MAPK9	376.41	759.08	633.73	967.76	217.27	305.55	473.41	612.11	669.92	265.87	389.72	543.96	438.59	748.61	563.18	444.72	476.71	563.18	454.09	406.31	406.31	260.38	389.72	249.73	223.41	376.41	341.51	153.34
MARCH7	718.08	1508.65	928.3	1225.22	281.09	343.89	616.37	688.78	1119.56	218.79	271.48	738.29	384.34	1051.79	599.49	660.68	447.82	802.41	525.39	583.07	389.72	156.59	332.14	363.56	275.28	236.21	503.95	232.94
MBLAC2	75.64	155.5	70.51	112.77	17.0	45.53	137.14	96.01	92.7	33.54	24.11	128.79	56.68	98.04	82.29	65.26	47.17	76.17	67.59	58.71	48.52	10.88	33.78	30.56	25.35	41.22	40.07	19.97
MED14	273.37	500.46	371.22	389.72	131.51	223.41	314.17	450.94	890.44	159.9	164.42	269.6	177.53	836.53	279.14	336.79	249.73	358.54	334.46	265.87	295.11	134.3	183.82	132.44	151.22	163.28	209.84	129.69
MIER3	159.9	423.61	182.55	253.23	49.91	53.19	186.4	175.07	242.88	40.36	57.08	193.01	53.57	209.84	106.63	88.26	61.68	162.14	139.07	69.03	88.88	26.67	67.12	68.07	46.84	29.7	81.71	49.56
MMGT1	521.76	633.73	571.05	463.65	262.2	256.78	271.48	466.88	607.87	130.6	260.38	358.54	291.04	638.15	366.09	283.05	262.2	358.54	198.47	264.03	299.25	242.88	236.21	180.02	224.97	260.38	198.47	87.65
MPP7	30.12	285.03	95.34	98.04	56.68	62.12	77.25	202.66	229.72	35.76	31.22	110.43	46.5	88.26	140.04	94.01	60.39	89.51	80.01	81.71	73.54	17.38	74.58	50.63	32.36	28.04	48.52	8.19
MSH3	169.07	205.5	156.59	232.94	97.36	131.51	189.02	287.01	242.88	82.29	55.89	142.01	77.79	314.17	177.53	177.53	123.5	236.21	133.36	154.42	80.01	15.8	102.25	125.24	108.14	71.5	113.56	34.02
NADK2	406.31	432.53	343.89	669.92	167.9	373.81	507.46	447.82	595.34	135.24	155.5	392.44	299.25	366.09	470.14	291.04	239.52	244.57	384.34	264.03	226.54	155.5	231.32	283.05	206.94	214.27	228.13	2400.97
NCOA4	3146.52	4450.27	3589.58	4736.79	1685.71	2485.67	3768.09	3325.99	4543.8	1896.65	1870.53	3280.18	3491.39	3081.75	4152.18	2835.7	2287.2	4095.0	2224.63	1651.0	2664.15	2855.44	1977.24	1508.65	1359.57	2148.82	1216.75	3372.43
OSBPL1A	1350.18	1304.15	521.76	1427.22	435.55	638.15	1051.79	1313.23	1104.13	346.29	463.65	921.88	579.04	679.29	1304.15	743.43	373.81	941.27	299.25	616.37	438.59	217.27	878.17	392.44	426.57	480.04	384.34	195.72
PAK1	521.76	909.17	928.3	896.64	438.59	571.05	514.56	1044.52	1250.98	463.65	575.03	878.17	450.94	1088.92	780.44	563.18	708.18	872.1	902.89	915.51	775.05	629.35	387.02	435.55	591.22	444.72	514.56	173.85
PAPD4	293.07	785.88	890.44	819.3	285.03	336.79	764.36	414.87	559.28	194.36	293.07	813.63	316.37	941.27	486.75	473.41	423.61	511.0	633.73	423.61	301.33	145.02	356.05	273.37	289.02	299.25	514.56	130.6
PDE4D	32.36	476.71	314.17	529.06	125.24	187.71	466.88	620.67	713.11	136.19	131.51	470.14	260.38	414.87	316.37	329.84	171.45	327.56	271.48	153.34	327.56	47.5	221.86	209.84	114.36	169.07	236.21	5.32
PHF15	381.68	1225.22	420.68	848.22	253.23	239.52	1037.29	679.29	1111.82	191.67	218.79	1001.93	435.55	665.29	323.03	339.14	339.14	518.15	780.44	376.41	417.77	521.76	248.0	214.27	164.42	309.83	293.07	66.65
PHF6	307.69	291.04	223.41	275.28	67.12	94.01	271.48	323.03	490.14	68.55	71.0	221.86	105.89	376.41	198.47	190.34	183.82	234.57	262.2	167.9	149.12	25.91	100.13	55.49	75.11	86.43	150.17	36.27
PIK3C2A	297.17	1023.0	287.01	679.29	65.72	166.73	285.03	457.25	728.11	92.7	69.52	320.8	66.18	476.71	211.31	293.07	191.67	480.04	281.09	166.73	161.02	21.32	111.21	94.01	91.41	74.06	161.02	23.93
PJA2	921.88	4268.94	1519.15	2061.24	316.37	532.74	1369.04	1369.04	1757.34	511.0	486.75	1304.15	1104.13	1378.57	842.36	830.75	587.13	1037.29	780.44	775.05	819.3	366.09	444.72	285.03	329.84	480.04	579.04	476.71
POLK	232.94	603.67	229.72	400.71	52.45	102.97	277.2	260.38	303.44	90.14	52.82	334.46	94.67	327.56	167.9	206.94	81.71	228.13	186.4	169.07	122.64	16.63	88.26	47.5	59.55	55.1	131.51	18.29
PPIP5K2	329.84	819.3	500.46	860.08	171.45	258.57	791.35	819.3	961.07	163.28	182.55	529.06	229.72	624.99	412.0	486.75	432.53	483.38	567.1	327.56	291.04	76.17	248.0	228.13	181.28	185.11	384.34	105.89
PRKAA1	327.56	2224.63	595.34	954.43	229.72	323.03	796.86	684.02	1044.52	221.86	218.79	665.29	314.17	860.08	532.74	518.15	327.56	819.3	476.71	334.46	397.93	108.14	226.54	191.67	199.85	177.53	346.29	224.97
PTCD2	285.03	120.94	186.4	115.97	111.99	147.06	178.77	146.03	202.66	73.54	97.36	157.68	128.79	163.28	151.22	159.9	152.28	183.82	117.6	201.25	125.24	75.64	139.07	94.67	144.01	139.07	87.65	62.56
PURA	170.25	567.1	189.02	536.45	79.45	104.42	358.54	336.79	521.76	215.77	88.26	363.56	158.79	323.03	177.53	186.4	123.5	248.0	194.36	125.24	153.34	42.71	105.15	111.99	84.04	67.59	137.14	45.53
RAD50	483.38	878.17	624.99	1096.5	212.78	177.53	483.38	579.04	928.3	232.94	96.68	796.86	98.04	638.15	507.46	435.55	426.57	536.45	387.02	366.09	248.0	14.45	236.21	212.78	234.57	239.52	283.05	29.91
RAP2C	301.33	503.95	395.18	514.56	78.89	180.02	199.85	279.14	249.73	154.42	134.3	249.73	171.45	514.56	265.87	199.85	267.73	277.2	199.85	198.47	202.66	94.01	148.09	135.24	105.15	127.89	186.4	248.0
RAPGEF6	54.33	232.94	100.83	241.19	34.26	163.28	115.16	111.99	150.17	24.99	28.86	146.03	45.85	142.01	59.13	72.52	49.21	117.6	80.57	45.85	60.39	11.04	34.51	33.54	26.86	17.9	53.95	14.14
RASA1	346.29	733.19	490.14	507.46	198.47	264.03	575.03	791.35	866.07	115.16	199.85	518.15	346.29	647.07	392.44	444.72	271.48	432.53	426.57	299.25	299.25	115.16	226.54	175.07	208.38	138.1	289.02	75.64
RBM27	180.02	409.15	197.09	343.89	74.58	71.5	264.03	183.82	277.2	109.66	63.89	197.09	65.26	260.38	127.0	163.28	132.44	229.72	108.9	142.01	95.34	16.15	84.04	74.06	70.51	78.89	120.94	22.26
RP11-111M22.2	35.76	72.01	91.41	86.43	21.47	24.11	99.43	97.36	111.21	53.57	39.22	123.5	14.24	100.13	59.13	55.89	37.32	74.06	64.8	70.01	28.45	16.88	44.57	18.84	24.81	73.03	39.22	8.99
SCAMP1	291.04	1081.39	656.11	748.61	170.25	265.87	669.92	854.13	1304.15	246.28	201.25	738.29	397.93	890.44	460.44	476.71	316.37	441.64	579.04	346.29	376.41	111.21	244.57	255.0	237.86	291.04	336.79	73.54
SEMA6A	89.51	444.72	228.13	1697.45	466.88	470.14	909.17	995.0	1008.9	486.75	237.86	1498.22	684.02	1167.14	713.11	638.15	420.68	358.54	1427.22	507.46	406.31	108.14	198.47	587.13	343.89	151.22	587.13	46.18
SERINC5	116.78	1183.45	64.34	152.28	4.28	39.22	158.79	88.26	301.33	13.83	19.25	102.25	31.22	229.72	61.25	59.13	43.02	114.36	29.48	38.4	49.21	74.06	11.38	9.63	9.06	5.15	28.86	186.4
SLC26A2	135.24	199.85	87.65	201.25	40.93	40.36	186.4	211.31	293.07	31.0	44.89	175.07	35.0	118.43	105.15	62.12	84.04	129.69	129.69	72.52	84.63	59.13	50.98	20.11	41.81	48.18	52.82	6.36
SLCO4C1	0.0	688.78	265.87	217.27	260.38	490.14	1088.92	1467.37	3794.3	327.56	149.12	379.04	232.94	1572.76	1407.55	1073.91	376.41	1199.98	961.07	118.43	312.0	49.91	229.72	307.69	295.11	120.1	483.38	8.58
SLK	279.14	718.08	429.54	688.78	217.27	162.14	460.44	713.11	748.61	205.5	135.24	642.59	108.9	361.04	423.61	381.68	325.29	463.65	373.81	318.57	262.2	39.79	234.57	165.57	171.45	199.85	244.57	56.68
SMAD5	429.54	825.0	228.13	665.29	151.22	111.99	493.56	351.14	500.46	101.54	118.43	379.04	134.3	426.57	176.29	251.48	193.01	473.41	265.87	158.79	162.14	57.49	142.01	157.68	140.04	92.05	218.79	84.63
SNX30	121.79	529.06	297.17	202.66	147.06	264.03	368.65	356.05	503.95	96.68	201.25	260.38	138.1	435.55	327.56	299.25	279.14	323.03	170.25	173.85	244.57	218.79	199.85	136.19	167.9	165.57	226.54	39.5
SON	3081.75	2664.15	2319.15	3280.18	753.83	860.08	1794.29	2485.67	1950.0	753.83	974.5	2417.67	848.22	2701.35	1923.14	1709.26	1331.57	2047.0	988.12	1073.91	1199.98	603.67	967.76	684.02	1233.75	974.5	1295.13	665.29
SPTLC1	860.08	1819.35	1331.57	825.0	438.59	896.64	1350.18	1143.1	1331.57	555.41	679.29	1023.0	808.0	1259.69	1397.83	1199.98	1044.52	1617.0	412.0	808.0	1119.56	555.41	591.22	470.14	620.67	409.15	620.67	229.72
SRFBP1	126.12	175.07	161.02	226.54	55.1	38.95	157.68	164.42	197.09	45.85	53.95	141.02	49.56	127.89	103.69	118.43	105.89	161.02	105.15	99.43	82.87	12.09	52.08	52.82	60.82	60.82	67.59	15.68
STAG1	234.57	612.11	170.25	381.68	115.97	108.14	204.07	343.89	392.44	85.82	115.97	131.51	109.66	307.69	190.34	236.21	124.37	232.94	142.01	119.26	139.07	50.63	94.67	111.21	90.14	60.82	165.57	54.72
SYNM	170.25	107.38	264.03	412.0	78.34	36.27	156.59	215.77	172.65	50.27	25.35	199.85	63.0	116.78	167.9	127.89	90.77	156.59	73.54	87.03	47.5	42.41	134.3	35.5	84.63	106.63	22.43	51.71
TLR3	239.52	503.95	156.59	2090.03	109.66	82.87	368.65	303.44	647.07	50.63	150.17	120.1	105.89	603.67	211.31	221.86	228.13	587.13	138.1	101.54	215.77	27.25	120.94	70.01	119.26	47.5	128.79	38.12
TMED7	1015.93	1977.24	1388.16	1991.0	348.71	764.36	1143.1	1745.2	2193.99	579.04	514.56	1143.1	1015.93	1277.29	1096.5	769.69	743.43	1127.35	1159.07	665.29	909.17	457.25	507.46	426.57	366.09	563.18	624.99	665.29
TMEM135	703.28	684.02	529.06	514.56	154.42	389.72	403.5	612.11	764.36	329.84	226.54	277.2	327.56	395.18	237.86	412.0	293.07	480.04	309.83	309.83	387.02	265.87	258.57	260.38	323.03	224.97	291.04	320.8
TMEM161B	117.6	358.54	267.73	285.03	140.04	157.68	293.07	381.68	414.87	98.04	132.44	318.57	181.28	371.22	175.07	189.02	241.19	197.09	260.38	202.66	113.56	86.43	173.85	120.1	101.54	127.89	155.5	69.03
TRAPPC10	406.31	753.83	314.17	429.54	74.58	239.52	217.27	379.04	275.28	132.44	163.28	366.09	194.36	348.71	289.02	249.73	218.79	265.87	183.82	177.53	287.01	242.88	180.02	92.7	127.89	98.04	208.38	138.1
TRIM23	147.06	466.88	134.3	212.78	48.18	102.97	214.27	204.07	314.17	81.14	64.34	173.85	103.69	221.86	135.24	102.97	135.24	139.07	183.82	135.24	159.9	37.32	81.71	59.55	45.21	100.83	101.54	35.76
TRPA1	47.17	53.57	267.73	111.99	39.22	50.63	285.03	273.37	156.59	21.01	24.63	6.21	63.45	102.97	202.66	93.35	8.0	170.25	50.98	36.27	87.03	44.25	9.34	12.18	18.29	30.12	36.01	0.93
TTC33	167.9	607.87	197.09	312.0	45.53	83.45	305.55	305.55	497.0	57.49	73.03	217.27	103.69	371.22	202.66	175.07	152.28	223.41	157.68	146.03	180.02	45.85	110.43	65.26	63.0	51.35	122.64	64.34
TTC37	551.56	1295.13	633.73	708.18	201.25	341.51	775.05	796.86	1096.5	279.14	175.07	785.88	248.0	1127.35	392.44	703.28	551.56	743.43	518.15	511.0	334.46	49.56	327.56	218.79	217.27	218.79	420.68	61.68
