	TCGA.B8.A54K.01A.11R.A33J.07	TCGA.BP.4760.01A.02R.1420.07	TCGA.B4.5378.01A.01R.1503.07	TCGA.DV.5567.01A.01R.1541.07	TCGA.BP.4177.01A.02R.1420.07	TCGA.2Z.A9J9.01A.11R.A42S.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EL.A3CX.01A.11R.A19O.07	TCGA.ET.A39J.01A.11R.A19O.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.13YAN.0926.SM.5O9C3
DYRK1B	555.41	435.55	612.11	567.1	473.41	536.45	157.68	320.8	23.42	71.0	169.07	125.24	223.41	111.21	329.84	161.02	281.09	320.8	169.07	71.5	283.05	159.9	0.0	0.1	444.72	638.15	532.74	563.18	674.59	476.71	480.04
EFEMP2	4419.52	4358.66	3081.75	4358.66	2682.69	3467.27	348.71	323.03	193.01	133.36	426.57	283.05	159.9	246.28	92.05	159.9	547.75	309.83	258.57	228.13	403.5	143.01	0.0	0.85	5751.61	3690.52	4038.61	3395.89	3280.18	3018.3	3190.46
EXOC7	2351.53	1844.76	1977.24	2209.26	2451.44	2148.82	555.41	896.64	575.03	830.75	961.07	514.56	656.11	848.22	688.78	769.69	941.27	540.19	532.74	514.56	896.64	373.81	0.0	0.8	2520.38	1794.29	1909.85	2758.13	2090.03	2224.63	1583.71
FAM214B	426.57	351.14	332.14	309.83	255.0	277.2	89.51	135.24	90.14	94.67	123.5	32.36	92.05	159.9	197.09	116.78	142.01	141.02	82.87	52.45	129.69	69.52	0.0	0.74	473.41	339.14	295.11	262.2	299.25	341.51	251.48
FBXO41	151.22	73.54	42.41	69.03	33.06	69.52	1.36	24.11	3.03	4.43	21.01	0.0	4.43	14.35	1.85	12.36	20.26	3.5	0.93	2.84	11.3	0.0	0.0	0.51	63.0	53.57	60.82	70.01	94.01	81.14	27.25
GLIS2	915.51	679.29	426.57	785.88	633.73	981.29	85.22	50.63	36.79	19.53	96.68	17.9	27.25	34.75	126.12	67.12	34.26	73.03	15.22	24.63	113.56	5.06	0.0	0.65	954.43	540.19	438.59	723.08	633.73	444.72	429.54
GRID2IP	15.45	6.73	11.3	10.96	8.85	10.24	0.53	2.94	0.57	0.53	0.0	0.45	0.6	0.0	0.44	1.83	0.65	0.0	0.0	0.45	1.48	0.62	0.0	0.02	14.67	5.82	8.38	9.27	4.78	10.31	8.71
GUCY2D	14.14	8.92	4.66	11.3	10.31	9.63	3.72	0.82	0.0	5.36	11.91	0.21	0.3	0.0	3.29	0.29	0.0	0.0	0.26	0.22	0.0	0.31	0.0	0.0	68.07	15.11	8.19	4.39	7.06	34.26	7.4
HEXIM1	529.06	543.96	571.05	511.0	854.13	738.29	392.44	305.55	122.64	387.02	423.61	256.78	395.18	269.6	363.56	318.57	323.03	395.18	323.03	366.09	486.75	102.25	339.14	318.57	532.74	384.34	450.94	567.1	819.3	429.54	583.07
HPS4	902.89	476.71	521.76	587.13	397.93	629.35	130.6	189.02	119.26	153.34	201.25	173.85	142.01	180.02	180.02	163.28	226.54	146.03	155.5	185.11	253.23	90.77	0.0	0.68	718.08	348.71	525.39	571.05	579.04	591.22	532.74
HYDIN	120.1	75.11	66.18	128.79	110.43	64.34	15.22	24.81	21.94	14.35	4.66	0.0	16.63	8.71	1.81	12.45	0.32	11.38	27.25	50.63	50.63	0.77	0.0	0.04	111.99	69.52	109.66	120.94	159.9	177.53	163.28
IGFBP5	32767.0	33688.23	26067.14	42346.82	22692.63	17078.76	620.67	78.34	759.08	363.56	1295.13	237.86	503.95	941.27	90.77	343.89	368.65	293.07	277.2	111.99	507.46	1143.1	808.0	890.44	2777.33	19482.97	37901.36	26067.14	35609.13	36106.23	12589.08
IRF2BPL	540.19	441.64	587.13	563.18	511.0	796.86	255.0	361.04	135.24	189.02	301.33	186.4	269.6	432.53	358.54	229.72	299.25	201.25	251.48	371.22	217.27	872.1	185.11	1350.18	896.64	518.15	470.14	764.36	753.83	473.41	473.41
MSH5-SAPCD1	193.01	103.69	99.43	109.66	148.09	231.32	40.36	31.9	9.56	41.22	23.93	54.72	6.41	18.84	50.98	19.39	45.21	44.57	45.85	44.57	65.26	15.91	0.0	0.43	312.0	150.17	56.68	153.34	127.89	87.65	47.17
MYOZ1	120.94	123.5	75.64	49.91	63.89	56.68	2.43	0.72	19.11	4.43	18.56	6.73	6.41	31.45	1.14	2.32	5.41	0.88	6.16	4.62	6.26	2.41	0.0	0.13	325.29	96.68	40.07	127.89	77.25	127.0	76.17
NRSN2	848.22	1015.93	620.67	995.0	1008.9	802.41	48.18	214.27	85.82	46.5	111.99	18.84	70.01	77.25	81.14	36.01	180.02	129.69	48.87	25.17	61.68	19.11	0.0	0.73	1111.82	775.05	896.64	981.29	796.86	819.3	872.1
NYNRIN	307.69	444.72	356.05	348.71	205.5	271.48	41.22	185.11	94.01	152.28	287.01	11.73	49.21	37.85	376.41	114.36	86.43	46.18	241.19	47.84	403.5	29.91	0.0	0.39	470.14	381.68	392.44	297.17	454.09	532.74	543.96
OR5K2	6.52	2.2	2.92	1.1	2.92	3.41	0.92	4.03	0.0	0.0	2.81	0.0	1.0	0.0	1.06	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	8.06	0.0	1.99	1.36	0.0	2.63	4.21
OR8S1	1.07	0.0	0.37	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	0.68	1.06	0.96	0.67	0.34	0.0
PALD1	167.9	214.27	301.33	120.1	119.26	180.02	27.05	39.5	27.64	18.29	57.08	4.78	28.65	34.26	17.0	40.07	37.59	18.43	30.34	75.64	16.27	4.21	0.0	0.57	438.59	177.53	279.14	251.48	176.29	212.78	76.71
PBXIP1	6983.79	3874.05	4152.18	7589.61	5329.3	5711.87	1508.65	1268.46	400.71	1088.92	1551.09	796.86	1697.45	1757.34	928.3	1844.76	1583.71	1151.06	988.12	769.69	1104.13	1277.29	620.67	189.02	4481.23	4066.71	8479.89	5517.27	7180.15	4704.07	2758.13
PDE7B	147.06	128.79	163.28	260.38	108.9	206.94	109.66	22.75	36.53	47.17	56.68	39.5	42.71	45.53	78.34	43.63	100.13	68.55	76.17	84.04	109.66	28.65	0.0	0.09	46.5	71.5	206.94	105.89	281.09	119.26	115.16
SALL2	336.79	260.38	320.8	325.29	348.71	273.37	8.13	16.63	18.03	30.56	76.71	27.44	33.54	39.79	6.78	44.89	111.99	2.23	2.25	7.0	140.04	0.14	0.0	0.31	514.56	258.57	346.29	336.79	441.64	264.03	307.69
SLIT3	902.89	1806.78	1417.35	995.0	1175.27	301.33	66.18	23.76	33.54	9.56	148.09	8.58	35.0	68.55	19.11	63.89	106.63	33.3	32.13	18.84	107.38	2.2	0.0	0.53	1388.16	703.28	1191.69	647.07	1806.78	1216.75	236.21
SNAP25	223.41	76.17	84.04	75.64	60.82	144.01	22.1	5.41	348.71	7.06	33.54	1.51	4.35	9.7	0.14	57.49	17.77	7.57	61.68	33.54	438.59	4.54	0.0	0.28	244.57	59.13	206.94	129.69	71.0	170.25	12.55
SNAPIN	1477.58	1378.57	1199.98	1397.83	1216.75	1388.16	525.39	1001.93	525.39	518.15	753.83	476.71	928.3	660.68	536.45	563.18	796.86	723.08	674.59	503.95	974.5	400.71	0.0	0.47	1477.58	1143.1	1167.14	1331.57	1322.37	1119.56	1208.34
SNX21	518.15	368.65	361.04	371.22	334.46	444.72	182.55	273.37	41.52	199.85	202.66	175.07	195.72	267.73	141.02	198.47	180.02	217.27	201.25	155.5	223.41	119.26	0.0	0.77	733.19	348.71	323.03	447.82	361.04	381.68	295.11
TF	101.54	29.48	50.98	85.82	9.2	31.67	2786455.11	3406832.48	2039804.27	2825352.59	2068278.89	1739208.14	1.271475112E7	1864037.21	2279047.19	4165330.83	8273118.55	3007221.12	2232145.06	2011721.67	2375828.71	1355129.16	0.0	0.62	18.56	7.06	7.06	16.75	7.88	23.76	22.26
TFIP11	665.29	780.44	813.63	785.88	743.43	669.92	423.61	514.56	460.44	497.0	651.58	323.03	514.56	679.29	463.65	579.04	497.0	441.64	454.09	532.74	414.87	212.78	0.0	0.56	733.19	684.02	723.08	743.43	825.0	679.29	723.08
TTC12	493.56	507.46	271.48	389.72	281.09	493.56	127.89	103.69	123.5	170.25	201.25	195.72	161.02	79.45	78.34	157.68	136.19	127.89	181.28	73.54	211.31	94.67	0.0	0.19	638.15	318.57	206.94	241.19	312.0	559.28	444.72
UBOX5	142.01	125.24	151.22	129.69	100.13	163.28	19.68	75.64	51.71	49.56	52.82	52.08	41.81	45.53	24.28	53.19	61.25	50.63	37.59	44.25	42.71	42.41	0.0	0.41	193.01	111.21	144.01	172.65	150.17	115.16	108.9
USP11	2451.44	2133.97	2090.03	2682.69	2591.27	2193.99	307.69	229.72	237.86	212.78	384.34	232.94	332.14	412.0	242.88	329.84	341.51	215.77	320.8	500.46	241.19	199.85	0.0	0.75	2271.4	1769.57	2133.97	2609.3	2609.3	2193.99	2468.49
VILL	698.41	202.66	688.78	723.08	208.38	381.68	24.81	28.65	13.62	15.11	96.01	4.13	31.9	27.84	28.24	43.94	67.12	34.26	37.85	11.82	24.11	4.31	0.0	0.44	189.02	140.04	221.86	234.57	269.6	236.21	185.11
ZCCHC3	166.73	122.64	182.55	149.12	90.14	173.85	43.02	79.45	26.1	55.89	57.08	81.14	78.89	90.77	77.79	57.49	68.55	54.33	41.81	55.1	31.45	18.97	0.0	0.22	123.5	104.42	118.43	167.9	145.02	96.68	106.63
ZMYND10	236.21	329.84	103.69	309.83	291.04	159.9	12.27	2.36	1.75	12.18	12.27	1.58	5.5	9.27	8.13	10.39	7.0	2.16	14.45	27.64	16.75	0.61	0.0	0.0	232.94	198.47	206.94	275.28	299.25	182.55	175.07
ZNF287	137.14	91.41	127.89	92.05	128.79	81.71	7.4	3.79	13.03	14.35	26.1	0.0	20.11	11.38	12.83	5.5	33.54	42.71	6.16	10.71	15.68	4.43	0.0	0.0	180.02	75.11	61.68	108.9	129.69	86.43	87.65
ZNF362	476.71	503.95	532.74	536.45	514.56	473.41	144.01	209.84	107.38	194.36	193.01	162.14	181.28	170.25	138.1	198.47	293.07	177.53	178.77	115.16	205.5	81.14	0.0	0.27	547.75	540.19	642.59	595.34	493.56	480.04	503.95
ZNF730	28.45	15.68	8.92	7.46	4.28	9.27	0.58	8.06	0.0	0.58	0.65	0.0	0.66	1.85	1.46	0.65	0.0	0.0	1.66	0.0	0.0	0.0	0.0	0.1	15.68	18.56	6.94	12.27	8.19	18.84	2.18
ZNF836	287.01	217.27	246.28	187.71	202.66	244.57	50.27	11.13	24.11	49.56	84.04	52.45	34.75	30.56	53.95	53.57	37.05	55.49	39.79	26.67	70.51	26.86	0.0	0.09	256.78	185.11	178.77	281.09	255.0	206.94	181.28
