	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.K4.A54R.01A.11R.A26T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.GU.A42Q.01A.11R.A23W.07	TCGA.ZF.AA4R.01A.11R.A38B.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0H7.01A.13R.A056.07	GTEX.TML8.0726.SM.4DXTT	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.A6.5665.01A.01R.1653.07	TCGA.CV.7435.01A.11R.2132.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.BB.A5HU.01A.11R.A28V.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.CR.7367.01A.11R.2016.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.BR.A4IZ.01A.32R.A251.31	GTEX.12WSB.0726.SM.5N9GD
CASP12	3.11	0.93	10.63	0.0	2.2	27.05	2.29	9.2	6.62	2.66	3.53	0.8	21.32	25.54	1.68	2.18	3.82	1.28	5.32	4.82	4.1	1.51	8.13	0.0	3.56	0.0	0.08	4.13	7.17	10.79	44.89
CC2D2B	10.39	0.32	7.63	0.34	1.57	7.22	0.77	11.38	1.27	2.16	4.74	0.39	8.51	22.26	0.0	1.35	0.59	0.89	2.27	2.89	3.56	1.95	2.2	0.0	2.53	0.0	0.2	3.59	7.28	3.11	14.35
CD248	5041.77	934.76	3395.89	76.17	1135.2	1950.0	1268.46	4210.15	2271.4	1467.37	2255.7	1519.15	9409.14	2816.11	182.55	1175.27	3235.01	1259.69	1572.76	10659.59	1467.37	4512.4	2720.15	470.14	2240.11	0.0	0.24	2997.45	1794.29	12160.22	679.29
CDH5	1331.57	107.38	403.5	31.45	97.36	1104.13	289.02	981.29	1111.82	281.09	974.5	206.94	473.41	2255.7	52.82	208.38	275.28	100.83	559.28	368.65	312.0	291.04	571.05	18.84	426.57	0.0	0.51	351.14	218.79	1135.2	490.14
CDH6	49.91	20.41	57.49	15.8	15.91	206.94	24.11	53.95	119.26	36.27	107.38	29.91	1059.11	275.28	10.39	42.11	32.59	11.82	90.14	15.45	53.19	63.0	28.65	7.88	69.52	0.0	0.4	73.03	29.91	231.32	241.19
CLEC14A	764.36	102.97	483.38	28.65	91.41	780.44	211.31	525.39	1208.34	214.27	647.07	265.87	848.22	1044.52	34.02	209.84	305.55	55.89	400.71	224.97	198.47	198.47	381.68	27.44	299.25	0.0	0.25	307.69	163.28	723.08	256.78
CLEC1A	277.2	22.26	48.52	5.87	18.43	119.26	27.84	156.59	114.36	24.63	239.52	31.67	208.38	253.23	18.7	31.22	37.05	25.91	87.03	40.64	39.5	31.22	74.58	12.93	41.52	0.0	0.22	61.68	43.63	122.64	224.97
CMKLR1	138.1	33.78	48.87	2.97	13.22	135.24	111.99	262.2	214.27	71.5	287.01	74.06	226.54	253.23	22.92	185.11	148.09	43.63	665.29	94.67	187.71	205.5	194.36	13.52	127.89	0.0	0.4	312.0	167.9	181.28	426.57
CNRIP1	896.64	93.35	529.06	19.25	172.65	591.22	242.88	511.0	457.25	420.68	612.11	232.94	1350.18	620.67	28.86	158.79	285.03	102.25	329.84	363.56	157.68	358.54	444.72	26.86	258.57	0.0	0.62	339.14	305.55	830.75	381.68
COL1A1	244588.0	67846.12	405683.88	6792.79	110216.97	231394.29	168220.2	204252.32	195931.88	284880.02	254974.66	161367.56	485798.0	223512.12	3303.0	123144.13	282912.21	82951.62	198667.0	598087.73	146444.06	324980.94	168220.2	18052.61	172949.54	4328.55	10659.59	208544.12	163620.18	345900.08	254974.66
COX4I2	500.46	39.5	169.07	11.73	54.72	301.33	77.79	218.79	387.02	76.17	237.86	204.07	195.72	239.52	2.66	83.45	101.54	57.49	159.9	130.6	85.82	122.64	111.21	12.36	186.4	0.0	0.21	197.09	76.71	195.72	356.05
CPZ	4181.07	373.81	1331.57	35.76	679.29	1331.57	406.31	3146.52	1119.56	450.94	1617.0	486.75	11035.54	480.04	48.87	616.37	1088.92	204.07	775.05	2758.13	521.76	470.14	769.69	113.56	665.29	0.0	0.23	1135.2	1059.11	1819.35	3614.55
CXorf36	688.78	36.01	150.17	14.56	41.52	414.87	123.5	559.28	395.18	112.77	473.41	93.35	775.05	1015.93	19.25	78.89	111.99	36.01	215.77	134.3	113.56	115.97	175.07	10.47	131.51	0.0	0.16	122.64	67.59	450.94	429.54
CYGB	947.83	104.42	343.89	33.78	140.04	444.72	187.71	802.41	551.56	194.36	872.1	157.68	830.75	532.74	123.5	314.17	447.82	218.79	368.65	447.82	205.5	629.35	693.58	134.3	532.74	0.0	0.26	866.07	669.92	1721.16	1191.69
CYTL1	293.07	11.91	36.53	4.54	13.42	119.26	17.13	131.51	112.77	42.71	172.65	12.0	450.94	249.73	2.97	41.52	66.18	54.72	102.97	119.26	66.18	115.97	76.71	5.73	56.28	0.0	0.0	54.72	57.49	441.64	214.27
DHH	19.39	2.73	7.63	0.97	4.66	3.53	2.53	22.92	35.0	7.06	19.39	1.79	65.26	33.78	0.16	1.93	6.01	0.74	12.45	5.23	5.73	2.16	15.22	1.51	5.45	0.0	0.0	2.86	0.38	14.78	2.2
ECSCR	4869.99	217.27	791.35	85.22	226.54	1617.0	438.59	2255.7	1857.6	348.71	2004.85	503.95	2701.35	3372.43	136.19	460.44	775.05	185.11	1051.79	1216.75	500.46	466.88	1477.58	35.5	500.46	0.0	0.54	486.75	341.51	2032.85	1923.14
ENG	3928.15	974.5	2004.85	156.59	748.61	2224.63	1259.69	3716.2	3901.01	1208.34	3018.3	1104.13	4481.23	6337.83	327.56	1378.57	2075.59	647.07	2875.3	1781.89	1508.65	1733.13	2591.27	221.86	1651.0	743.43	161.02	2032.85	2163.77	5672.41	4268.94
EXOC3L2	139.07	59.13	85.22	9.06	46.5	102.25	69.03	100.83	150.17	61.25	139.07	37.59	303.44	336.79	10.63	96.68	95.34	27.25	97.36	72.52	53.95	71.0	87.65	28.65	97.36	0.0	0.0	74.58	74.06	256.78	91.41
F10	1369.04	31.67	162.14	2.92	21.94	98.73	48.52	202.66	71.5	38.12	144.01	62.56	1331.57	35.5	22.1	40.93	90.77	2.05	70.01	16.27	67.59	97.36	92.7	9.06	63.45	0.0	0.4	60.39	81.14	128.79	273.37
FAM124B	71.0	5.5	31.22	2.61	5.92	61.68	19.97	33.78	48.52	20.86	105.89	12.09	21.01	156.59	2.12	23.93	21.63	2.97	32.36	19.82	20.56	23.25	8.32	2.36	38.12	0.0	0.0	20.11	10.08	74.06	41.52
FAM162B	72.01	1.89	69.03	0.68	2.86	78.89	17.64	127.89	45.53	14.24	104.42	17.13	463.65	156.59	1.89	10.16	22.92	8.0	41.52	25.54	17.0	10.08	19.68	2.32	41.81	0.0	0.03	37.32	35.25	231.32	256.78
FLT4	126.12	44.25	141.02	12.64	24.99	194.36	77.25	366.09	267.73	67.12	217.27	59.13	264.03	583.07	16.75	52.82	138.1	23.76	223.41	126.12	110.43	97.36	130.6	11.82	98.73	0.0	0.52	144.01	119.26	251.48	808.0
GDF10	20.56	1.83	2.14	0.0	1.55	20.26	11.55	56.68	27.84	6.21	53.57	3.89	99.43	3.96	0.0	6.11	5.5	0.0	78.89	10.79	11.04	2.16	32.82	0.65	25.91	0.0	0.16	17.9	1.81	25.91	167.9
GDF3	8.85	0.0	5.54	0.0	0.0	7.69	1.36	4.46	9.7	1.58	0.79	4.43	11.3	8.13	0.0	1.03	1.95	0.96	2.58	1.99	2.97	1.57	7.51	0.33	0.82	0.0	0.0	0.3	0.0	4.54	4.21
GNG11	1519.15	83.45	460.44	35.76	156.59	684.02	229.72	738.29	684.02	356.05	543.96	239.52	3395.89	934.76	43.63	199.85	297.17	102.25	291.04	559.28	148.09	287.01	334.46	44.57	244.57	0.0	0.38	145.02	120.94	967.76	860.08
GPR4	414.87	79.45	127.0	11.73	34.26	397.93	135.24	214.27	336.79	98.73	205.5	78.34	54.33	995.0	33.78	122.64	141.02	55.89	198.47	169.07	105.15	103.69	147.06	12.36	251.48	0.0	0.21	153.34	131.51	389.72	146.03
GRAP	181.28	29.48	101.54	11.38	27.84	121.79	63.45	202.66	275.28	44.89	90.77	71.0	329.84	206.94	17.51	47.84	146.03	38.95	142.01	150.17	62.56	80.01	84.63	25.72	94.67	0.0	0.32	90.14	73.03	122.64	221.86
HIGD1B	100.13	18.03	173.85	3.92	43.32	271.48	71.5	173.85	214.27	78.89	100.83	118.43	246.28	239.52	7.46	50.63	47.17	20.56	45.85	64.8	33.78	91.41	63.45	10.08	73.54	0.0	0.0	102.97	53.57	285.03	209.84
IL3RA	412.0	42.41	50.63	12.36	34.51	111.99	46.18	134.3	135.24	44.57	64.34	43.02	116.78	275.28	24.63	57.08	57.89	24.28	148.09	98.73	61.25	52.82	144.01	14.89	51.35	0.0	0.2	62.12	61.68	140.04	64.34
JAM2	928.3	49.91	239.52	12.64	61.68	547.75	195.72	444.72	429.54	220.32	603.67	89.51	1388.16	400.71	10.08	183.82	295.11	68.07	371.22	145.02	150.17	309.83	260.38	21.78	234.57	0.0	0.1	145.02	228.13	438.59	426.57
KCNIP1	16.75	0.0	4.24	0.33	0.0	5.59	5.23	40.93	11.64	8.92	13.42	2.78	177.53	6.52	0.0	3.92	6.16	1.51	9.06	14.67	5.45	4.43	6.06	0.0	3.79	0.0	0.0	5.36	4.17	46.5	23.93
KIF17	70.51	8.85	43.02	5.19	18.97	27.44	16.51	61.25	49.56	11.64	58.71	12.36	158.79	72.01	3.69	19.82	24.46	12.74	31.45	36.01	17.13	35.0	63.45	24.99	33.06	0.0	0.27	40.07	13.72	84.63	102.97
LDB2	684.02	57.08	368.65	19.11	96.01	890.44	239.52	698.41	463.65	242.88	669.92	142.01	1081.39	642.59	28.65	140.04	267.73	60.82	339.14	187.71	181.28	314.17	285.03	22.1	260.38	0.0	0.27	353.59	197.09	896.64	579.04
LHFP	1909.85	314.17	1977.24	77.79	540.19	2104.58	738.29	1991.0	1277.29	796.86	2032.85	441.64	2032.85	1896.65	74.58	743.43	1037.29	480.04	1331.57	1242.34	728.11	830.75	1617.0	194.36	842.36	226.54	591.22	872.1	684.02	2209.26	2485.67
LMO2	426.57	106.63	215.77	18.97	149.12	356.05	187.71	480.04	454.09	267.73	366.09	217.27	1721.16	432.53	27.25	130.6	124.37	39.79	343.89	190.34	138.1	115.16	307.69	39.79	312.0	0.0	0.45	214.27	166.73	371.22	406.31
LPPR4	41.22	10.63	18.84	1.93	13.12	105.15	8.85	39.22	77.25	12.27	102.25	13.32	78.89	70.51	9.56	37.32	38.67	13.62	73.54	23.59	40.93	115.97	46.18	4.74	75.64	0.0	0.0	78.34	45.21	309.83	62.12
LRRC32	7749.1	423.61	3168.41	78.89	796.86	2976.74	1359.57	2090.03	2816.11	1685.71	1936.53	1617.0	3982.99	1757.34	152.28	974.5	1794.29	275.28	1030.12	2319.15	540.19	1030.12	1551.09	215.77	1225.22	0.0	0.26	2351.53	813.63	2935.74	1417.35
LRRN4CL	346.29	10.96	473.41	1.0	127.0	100.13	27.44	231.32	105.89	36.27	58.71	7.22	1936.53	173.85	14.89	38.95	37.59	5.02	90.77	36.79	34.51	23.08	99.43	19.68	29.27	0.0	0.21	20.56	39.22	175.07	27.44
NKAPL	12.27	4.24	13.12	0.34	2.18	8.78	6.11	19.68	12.09	12.18	20.56	5.73	24.11	28.86	0.0	6.78	19.11	1.87	9.56	5.28	4.94	21.94	5.54	0.48	10.31	0.0	0.0	10.16	8.13	21.78	16.15
NOVA2	57.49	7.34	31.9	3.92	11.3	86.43	35.0	64.8	62.12	20.86	99.43	14.56	66.65	206.94	3.06	25.72	29.06	8.85	37.85	45.53	25.91	24.99	40.93	7.75	36.27	0.0	0.39	30.56	21.63	100.13	105.15
NPR1	884.29	16.27	119.26	10.71	21.94	151.22	55.89	403.5	155.5	38.67	400.71	42.11	1044.52	583.07	7.51	76.71	64.34	12.74	76.71	107.38	44.57	77.79	88.88	6.52	70.01	0.0	0.46	107.38	49.21	693.58	258.57
NRXN2	123.5	28.24	100.83	1.0	10.63	77.79	65.26	139.07	169.07	41.22	215.77	50.98	5147.73	105.89	3.0	80.01	89.51	43.63	97.36	73.54	18.29	72.01	376.41	40.64	55.49	0.0	0.23	110.43	27.25	1639.59	228.13
PCDH12	139.07	25.91	150.17	9.7	25.17	307.69	104.42	95.34	232.94	89.51	133.36	72.52	138.1	403.5	13.72	63.45	135.24	25.54	149.12	165.57	68.55	118.43	111.99	6.52	131.51	0.0	0.16	94.01	84.04	169.07	143.01
RHOJ	633.73	31.67	307.69	14.89	53.95	466.88	190.34	480.04	435.55	134.3	466.88	113.56	395.18	1104.13	17.38	96.01	239.52	40.07	353.59	241.19	163.28	232.94	295.11	15.0	186.4	54.72	228.13	303.44	107.38	536.45	435.55
ROBO4	470.14	61.68	178.77	12.74	58.71	318.57	119.26	571.05	480.04	134.3	368.65	140.04	493.56	890.44	38.95	104.42	209.84	75.64	212.78	170.25	291.04	171.45	244.57	29.91	209.84	0.0	0.4	140.04	103.69	753.83	368.65
SEMA6B	819.3	93.35	244.57	29.7	49.21	183.82	102.25	529.06	559.28	90.14	595.34	128.79	269.6	836.53	52.82	262.2	417.77	64.34	289.02	180.02	206.94	323.03	406.31	50.27	283.05	0.0	0.23	301.33	265.87	808.0	158.79
SH2D3C	379.04	90.14	209.84	23.08	59.13	305.55	156.59	551.56	420.68	146.03	356.05	107.38	575.03	669.92	37.59	110.43	267.73	46.5	366.09	180.02	138.1	206.94	186.4	26.1	232.94	0.0	0.49	195.72	140.04	532.74	348.71
SH3BP5	2148.82	379.04	915.51	117.6	395.18	1151.06	698.41	1183.45	1159.07	764.36	1407.55	476.71	6037.61	1199.98	77.79	483.38	703.28	249.73	703.28	941.27	432.53	420.68	1030.12	125.24	518.15	0.0	0.71	825.0	389.72	1286.18	1059.11
SHE	163.28	15.0	47.5	2.63	36.01	126.12	48.52	218.79	159.9	59.97	221.86	32.82	154.42	239.52	9.34	34.51	134.3	14.67	94.67	43.94	37.85	24.81	92.05	3.11	60.82	0.0	0.53	78.89	25.72	339.14	429.54
SHROOM4	186.4	39.22	75.64	2.94	37.85	136.19	70.01	117.6	120.94	53.19	172.65	26.67	127.89	248.0	23.76	31.9	73.03	8.92	77.79	78.89	40.36	114.36	74.06	14.56	53.57	0.0	0.45	121.79	42.71	147.06	134.3
STAB2	23.42	0.0	4.28	0.97	0.95	4.74	0.69	85.22	26.1	2.01	20.86	0.68	14.45	32.36	7.82	3.66	13.32	4.17	27.44	4.66	10.63	5.92	16.88	0.52	4.39	0.0	0.0	9.2	13.93	19.39	46.5
TAL1	68.55	2.78	18.7	1.33	4.43	36.27	15.68	103.69	78.34	16.51	58.71	6.21	82.29	115.97	3.47	6.21	15.45	15.68	27.64	16.15	36.27	13.22	19.68	1.79	19.53	0.0	0.47	17.38	11.55	60.39	140.04
TCEAL7	334.46	55.49	277.2	12.93	77.25	297.17	96.01	228.13	170.25	77.79	187.71	73.03	651.58	248.0	12.0	85.22	154.42	33.54	108.14	121.79	71.0	258.57	153.34	25.54	91.41	0.0	0.26	161.02	94.67	466.88	198.47
TIE1	1015.93	106.63	406.31	30.12	93.35	540.19	224.97	743.43	878.17	185.11	748.61	171.45	450.94	1909.85	46.18	228.13	414.87	74.58	591.22	423.61	283.05	301.33	642.59	16.75	406.31	0.0	0.4	275.28	159.9	665.29	813.63
TMEM255B	769.69	55.1	242.88	20.86	93.35	265.87	83.45	497.0	283.05	80.57	285.03	66.18	277.2	1037.29	50.27	97.36	466.88	63.45	239.52	363.56	148.09	119.26	234.57	34.51	165.57	0.0	0.68	224.97	199.85	555.41	583.07
TSPAN4	4869.99	842.36	2720.15	221.86	1183.45	1844.76	1388.16	2816.11	2720.15	1844.76	1407.55	1551.09	6294.04	2104.58	420.68	884.29	1781.89	638.15	1769.57	3794.3	1051.79	1331.57	2502.97	638.15	1199.98	0.0	0.95	1819.35	1639.59	2090.03	2104.58
USHBP1	80.57	9.48	78.34	3.92	20.86	63.45	23.25	134.3	103.69	17.13	100.13	14.56	118.43	177.53	10.08	9.34	29.7	8.32	40.93	33.06	24.46	20.56	46.5	3.5	15.56	0.0	0.26	16.03	17.25	85.22	176.29
VWF	2777.33	204.07	633.73	90.14	140.04	1572.76	450.94	1883.54	1923.14	529.06	1628.26	603.67	1088.92	2645.74	116.78	612.11	753.83	201.25	1286.18	162.14	928.3	647.07	1369.04	37.59	708.18	0.0	0.54	967.76	563.18	2627.46	961.07
XPNPEP2	493.56	0.93	16.88	0.0	29.48	16.03	6.78	191.67	16.15	4.17	64.34	11.47	88.26	14.67	1.97	17.0	11.04	3.29	69.03	6.16	9.78	18.84	42.41	1.25	21.16	0.0	0.26	19.68	8.32	130.6	54.33
ZBTB47	514.56	145.02	748.61	51.71	193.01	289.02	253.23	450.94	379.04	356.05	414.87	145.02	848.22	995.0	80.01	152.28	567.1	90.77	295.11	293.07	183.82	305.55	351.14	81.14	217.27	106.63	108.9	258.57	239.52	559.28	514.56
