	TCGA.AR.A2LH.01A.31R.A18M.07	TCGA.BH.A1EV.01A.11R.A137.07	TCGA.A7.A2KD.01A.31R.A21T.07	TCGA.D8.A27T.01A.11R.A16F.07	GTEX.S341.1326.SM.4AD72	TCGA.CV.6938.01A.11R.1915.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.38.4625.01A.01R.1206.07
DNASE1L1	591.22	769.69	1304.15	656.11	928.3	483.38	473.41	0.0
FAM227A	20.56	75.64	71.0	45.53	389.72	3.23	1.38	0.0
FBXO36	52.08	151.22	209.84	83.45	503.95	11.91	39.5	43.32
IDNK	181.28	307.69	466.88	234.57	1001.93	63.45	73.03	0.0
IQUB	6.06	12.0	25.17	20.11	122.64	2.16	1.85	0.0
MAGEA9	0.0	0.68	0.65	0.37	21.32	0.0	0.0	0.0
MAPK15	154.42	753.83	1111.82	251.48	2915.45	43.02	18.97	0.0
MICU1	785.88	1030.12	1167.14	1073.91	1066.48	525.39	460.44	0.0
MMP17	41.22	145.02	343.89	92.7	1250.98	26.86	117.6	0.0
MMP21	0.39	1.13	1.41	0.79	4.1	0.0	0.53	0.0
MORN3	35.25	97.36	102.97	20.11	571.05	7.88	7.34	0.0
NBR1	1059.11	1870.53	2485.67	1073.91	1651.0	733.19	698.41	0.0
PIH1D3	0.0	2.01	5.28	1.06	8538.88	0.0	0.0	0.0
PKP4	1066.48	1250.98	1295.13	1073.91	1674.06	480.04	395.18	325.29
PPP1R42	3.26	84.63	66.65	3.47	1977.24	0.0	1.87	0.0
RBM39	2758.13	4937.99	6652.97	4869.99	5041.77	2209.26	2255.7	3081.75
RBM4B	312.0	583.07	688.78	555.41	954.43	303.44	244.57	0.0
RP11-368I7.4	3.08	17.51	27.44	14.56	228.13	0.0	1.58	0.0
RSPH1	83.45	305.55	460.44	295.11	573724.06	1.46	2.18	0.0
RSPH4A	5.96	15.45	24.63	5.63	11345.82	0.78	1.85	0.0
RUNDC1	295.11	559.28	1008.9	327.56	400.71	149.12	190.34	147.06
SALL3	0.0	1.04	3.53	0.38	0.88	0.0	0.0	0.0
SCGB3A1	14.45	63.89	307.69	4.86	6.482288873E7	8.45	2.32	0.0
SLC2A10	836.53	2417.67	3419.52	476.71	3303.0	6.84	18.84	0.0
SP3	825.0	1051.79	1313.23	1175.27	1551.09	595.34	595.34	0.0
SPAG17	16.51	144.01	178.77	43.63	4210.15	43.32	4.62	0.0
SPAG8	14.03	51.71	90.14	46.18	3235.01	1.71	3.26	0.0
SPEF2	86.43	229.72	397.93	368.65	947.83	1.46	5.02	0.0
SRRM5	4.94	14.35	22.26	18.16	29.48	3.66	4.13	0.0
SYT6	2.94	3.35	4.43	2.43	15.68	0.39	0.4	0.0
TAB1	438.59	503.95	583.07	414.87	723.08	277.2	371.22	0.0
TCTN2	167.9	503.95	595.34	242.88	915.51	55.1	88.88	105.89
TDRD12	3.41	7.34	12.18	5.11	414.87	2.29	0.71	0.0
TEKT2	10.0	69.52	85.82	23.59	176583.6	0.87	1.6	0.0
TMEM190	4.17	6.06	11.64	17.51	165904.25	0.0	0.0	0.0
TRAF3IP1	239.52	384.34	791.35	305.55	624.99	154.42	201.25	120.1
TRIM52	186.4	262.2	466.88	275.28	376.41	50.63	75.64	0.0
TSSK4	13.62	29.7	55.89	29.48	58.3	3.03	2.71	0.0
TUBA3D	2.89	87.03	232.94	27.64	180.02	0.0	0.0	0.0
USH2A	0.36	0.72	0.68	0.39	1.58	0.0	0.0	0.0
WBP2NL	9.93	37.59	39.5	12.83	132.44	2.12	2.53	0.0
WDR31	63.0	190.34	202.66	89.51	262.2	21.63	10.16	0.0
WFDC6	29.27	59.55	72.52	1.07	3614.55	0.0	0.0	0.0
ZMAT1	125.24	197.09	332.14	122.64	529.06	5.63	0.87	0.0
ZNF43	215.77	493.56	1359.57	486.75	1331.57	8.71	3.17	93.35
ZNF75A	287.01	633.73	830.75	438.59	651.58	120.1	269.6	0.0
