	TCGA.GU.A766.01A.11R.A32O.07	TCGA.AO.A128.01A.11R.A10J.07	TCGA.BH.A0B9.01A.11R.A056.07	TCGA.AR.A0U4.01A.11R.A109.07	TCGA.BH.A18V.01A.11R.A12D.07	TCGA.E9.A3QA.01A.61R.A22K.07	TCGA.C8.A12K.01A.21R.A115.07	TCGA.EW.A1PB.01A.11R.A144.07	TCGA.E2.A1II.01A.11R.A144.07	TCGA.3X.AAVE.01A.11R.A41I.07	TCGA.W5.AA38.01A.11R.A41I.07	TCGA.W5.AA30.01A.31R.A41I.07	TCGA.ZH.A8Y1.01A.11R.A41I.07	TCGA.W5.AA2U.01A.11R.A41I.07	TCGA.B8.5164.01A.01R.1420.07	TCGA.BP.4346.01A.01R.1289.07	TCGA.B8.A54G.01A.11R.A266.07	TCGA.CJ.4888.01A.01R.1305.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.B0.5709.01A.11R.1541.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.CZ.5452.01A.01R.1503.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.CZ.4864.01A.01R.1503.07	TCGA.CJ.4640.01A.02R.1325.07	TCGA.AL.3473.01A.01R.1193.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.BC.A10W.01A.11R.A131.07	TCGA.FV.A23B.01A.11R.A16W.07	TCGA.ED.A8O6.01A.11R.A36F.07	TCGA.DD.AAVS.01A.11R.A41C.07	TCGA.BW.A5NQ.01A.11R.A27V.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.EP.A3RK.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.DD.A11A.01A.11R.A131.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.G3.A25Y.01A.11R.A16W.07	TCGA.DD.A114.01A.11R.A131.07	TCGA.2Y.A9H2.01A.12R.A38B.07	TCGA.BC.A112.01A.11R.A131.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.G3.A3CH.01A.11R.A22L.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.UB.A7MF.01A.11R.A33J.07	TCGA.G3.A3CG.01A.11R.A213.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.DD.AAVV.01A.11R.A41C.07	TCGA.DD.AACV.01A.11R.A41C.07	TCGA.DD.AACU.01A.11R.A41C.07	TCGA.CC.A1HT.01A.11R.A131.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.DD.AACF.01A.11R.A41C.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.BC.A8YO.01A.11R.A37K.07	TCGA.FV.A3I0.01A.11R.A22L.07	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.50.6592.01A.11R.1755.07	TCGA.77.A5GH.01A.11R.A27Q.07	TCGA.37.4130.01A.01R.1100.07	TCGA.56.8307.01A.11R.2296.07	TCGA.HC.7079.01A.11R.1965.07	TCGA.B7.A5TK.01A.12R.A36D.31	GTEX.WHPG.0426.SM.4M1XW
CTTNBP2NL	113.56	397.93	320.8	297.17	265.87	249.73	267.73	217.27	236.21	348.71	155.5	239.52	334.46	232.94	599.49	395.18	260.38	208.38	457.25	595.34	180.02	229.72	293.07	454.09	305.55	181.28	17.13	50.27	56.28	162.14	60.39	47.17	44.25	44.25	16.88	51.35	36.79	69.03	46.5	70.01	45.21	55.1	38.4	33.06	62.12	154.42	195.72	208.38	38.95	14.78	75.64	16.51	43.63	43.32	63.45	49.21	38.95	37.59	58.3	48.87	60.39	48.52	30.78	133.36	25.91	57.49	27.05	16.27	89.51	114.36	28.65	120.94	0.0	0.34	234.57	264.03	82.87	441.64	214.27	348.71	244.57
DCLK1	18.03	193.01	47.17	49.91	33.78	19.53	307.69	34.51	162.14	45.85	2.73	15.11	12.55	17.64	258.57	91.41	148.09	450.94	150.17	249.73	69.52	511.0	55.1	21.16	119.26	170.25	0.55	10.96	12.0	9.2	4.43	7.22	5.82	2.73	2.71	2.97	1.79	16.75	5.59	12.83	2.16	9.63	8.65	10.08	16.63	21.01	13.32	15.0	3.76	1.62	22.75	1.66	4.74	4.17	4.62	8.58	2.86	7.11	16.27	5.32	9.48	0.96	5.28	2.03	2.23	2.16	1.73	1.04	1.99	19.39	4.28	16.15	0.0	0.25	15.0	23.76	8.0	29.7	212.78	29.06	48.52
DOCK10	124.37	633.73	209.84	376.41	248.0	312.0	507.46	249.73	447.82	214.27	27.84	143.01	102.25	77.25	583.07	836.53	796.86	536.45	1059.11	698.41	221.86	559.28	262.2	536.45	536.45	206.94	11.82	56.68	110.43	85.82	63.0	22.75	50.98	102.25	20.71	32.59	63.45	68.07	100.13	161.02	17.38	34.26	81.71	80.01	59.55	332.14	84.63	143.01	78.89	4.35	64.8	26.1	105.15	107.38	70.51	57.08	87.65	34.51	63.0	24.28	73.03	12.74	27.44	249.73	46.5	36.79	46.84	3.11	329.84	43.63	45.21	163.28	0.0	0.46	189.02	384.34	108.9	559.28	507.46	206.94	309.83
DSE	532.74	473.41	258.57	603.67	307.69	507.46	358.54	348.71	629.35	303.44	151.22	124.37	137.14	103.69	543.96	295.11	368.65	423.61	796.86	638.15	82.87	189.02	229.72	351.14	376.41	134.3	17.0	72.01	47.84	53.95	46.84	25.17	27.05	43.94	35.25	27.64	36.27	70.51	36.53	123.5	39.22	38.67	36.01	44.89	91.41	205.5	50.63	96.68	30.56	7.94	58.71	14.78	35.0	47.5	20.41	96.01	24.11	18.97	76.71	40.36	72.52	30.34	41.81	164.42	29.27	23.93	14.67	17.0	84.04	54.72	118.43	223.41	0.0	0.8	480.04	753.83	195.72	518.15	387.02	264.03	212.78
GLI3	82.87	21.16	75.64	22.75	61.68	38.4	55.89	82.87	32.59	18.56	4.17	21.16	23.08	12.45	104.42	33.06	13.12	65.26	22.43	49.91	38.12	9.41	23.76	81.14	12.45	6.31	0.93	5.82	5.45	6.41	2.81	3.86	2.76	3.38	1.48	3.03	1.0	4.78	2.46	4.35	2.58	3.26	5.77	4.21	7.4	15.22	3.99	9.78	3.82	0.56	8.38	1.68	5.19	2.07	0.97	9.48	1.75	5.68	7.0	4.62	5.96	0.97	5.96	5.06	1.85	1.87	0.99	1.5	2.03	5.68	4.24	7.22	0.0	0.54	33.54	334.46	8.19	231.32	136.19	53.19	57.08
GMIP	351.14	738.29	289.02	327.56	297.17	395.18	314.17	575.03	563.18	387.02	264.03	248.0	318.57	283.05	493.56	543.96	563.18	454.09	728.11	457.25	175.07	473.41	212.78	358.54	281.09	295.11	48.87	96.68	159.9	108.14	85.22	80.01	80.57	117.6	126.12	81.71	118.43	105.15	182.55	273.37	61.25	74.06	120.1	218.79	101.54	323.03	183.82	175.07	90.77	31.67	152.28	39.5	63.0	194.36	67.12	90.14	129.69	75.11	102.97	56.68	129.69	85.22	78.89	256.78	151.22	157.68	87.65	35.0	163.28	267.73	66.18	158.79	0.0	0.52	376.41	376.41	234.57	457.25	693.58	480.04	583.07
GNB4	115.16	406.31	88.26	536.45	384.34	232.94	346.29	147.06	180.02	143.01	30.78	55.1	86.43	44.25	620.67	264.03	232.94	271.48	612.11	444.72	88.88	169.07	237.86	379.04	169.07	73.54	5.36	36.27	18.29	36.79	25.35	8.85	16.15	22.43	9.13	18.29	8.92	15.11	12.55	67.59	17.77	13.83	8.45	9.13	23.59	76.17	11.38	42.41	11.13	2.76	36.53	6.01	18.7	11.55	10.79	26.67	6.36	18.03	26.86	17.64	28.86	6.31	14.14	44.89	7.46	7.75	5.02	2.1	51.35	16.15	33.54	96.68	0.0	0.49	173.85	127.0	99.43	253.23	151.22	293.07	107.38
HDGFRP3	228.13	156.59	525.39	836.53	651.58	182.55	785.88	429.54	921.88	314.17	127.89	624.99	1407.55	884.29	295.11	211.31	125.24	214.27	366.09	409.15	135.24	78.89	217.27	260.38	334.46	70.01	19.11	94.01	62.12	55.1	39.5	35.25	47.17	64.34	14.78	47.5	21.47	90.77	110.43	47.84	30.56	53.19	40.64	38.12	127.89	76.71	334.46	84.63	32.82	7.51	105.15	24.81	53.95	232.94	17.38	98.73	14.67	43.02	65.26	33.54	66.18	14.24	28.65	217.27	15.11	27.64	17.25	12.09	42.71	450.94	25.91	212.78	0.0	0.74	559.28	1199.98	120.94	1447.15	629.35	616.37	169.07
IL17RD	14.24	17.0	49.56	164.42	83.45	165.57	190.34	31.22	65.26	12.74	9.56	33.78	31.9	31.22	81.14	53.19	15.0	15.34	24.11	88.26	38.4	10.47	33.06	96.68	59.97	4.43	0.0	5.28	3.63	10.79	1.35	5.96	6.31	3.35	0.91	1.0	4.1	1.69	0.46	4.58	0.48	1.91	6.62	2.73	4.28	15.34	7.75	8.65	4.86	0.0	3.63	1.48	1.71	2.18	1.89	2.18	0.47	1.99	6.01	2.01	3.38	0.46	2.39	4.86	7.34	4.86	0.84	0.92	3.72	20.11	1.07	9.48	0.0	0.1	58.3	29.27	8.32	8.51	53.19	28.04	16.51
INPP4A	111.21	281.09	103.69	269.6	239.52	175.07	197.09	187.71	325.29	145.02	105.89	420.68	327.56	353.59	249.73	228.13	199.85	231.32	307.69	314.17	108.9	201.25	185.11	255.0	152.28	96.68	40.93	93.35	77.79	133.36	97.36	61.68	79.45	75.11	34.26	124.37	100.13	67.59	85.82	132.44	70.51	78.34	110.43	67.12	93.35	175.07	119.26	117.6	52.08	34.26	171.45	26.47	74.06	103.69	53.57	73.03	73.03	72.01	109.66	82.29	115.16	52.08	77.25	158.79	86.43	97.36	72.52	49.56	251.48	51.71	66.18	164.42	0.0	0.6	185.11	1044.52	116.78	2271.4	336.79	255.0	208.38
IQSEC2	299.25	283.05	195.72	237.86	246.28	363.56	679.29	759.08	157.68	114.36	30.12	136.19	126.12	145.02	234.57	323.03	397.93	277.2	309.83	351.14	305.55	371.22	371.22	366.09	356.05	470.14	10.63	46.84	53.57	78.34	36.01	27.25	27.25	25.35	50.27	19.82	31.0	56.68	63.89	65.72	21.78	24.28	81.71	45.21	50.63	143.01	73.03	126.12	37.05	6.73	77.25	14.24	39.22	30.78	52.45	34.75	45.53	18.7	37.59	19.82	50.98	27.64	70.51	223.41	22.92	35.5	21.78	11.38	128.79	94.67	8.32	133.36	0.0	0.45	229.72	258.57	97.36	139.07	287.01	205.5	194.36
IRAK3	50.63	37.32	54.72	163.28	35.76	68.07	86.43	22.92	68.07	24.63	4.28	32.13	21.32	25.35	53.19	63.45	88.26	87.65	134.3	84.63	92.05	31.45	34.02	88.88	50.27	28.24	4.94	19.97	14.56	25.17	10.63	6.41	11.47	9.41	4.7	8.85	7.57	22.75	11.3	27.84	7.11	20.71	7.28	13.93	22.26	25.91	13.12	13.42	7.28	1.99	21.63	3.29	15.11	10.0	5.15	21.47	8.19	10.79	16.51	24.11	11.47	6.01	5.54	79.45	6.41	6.73	5.19	2.81	10.16	10.24	9.7	23.76	0.0	0.64	108.9	206.94	66.18	262.2	125.24	115.16	633.73
LOXL3	105.15	99.43	105.89	99.43	83.45	154.42	122.64	80.57	75.64	85.82	36.01	72.52	59.55	36.27	143.01	214.27	248.0	164.42	258.57	128.79	31.22	125.24	79.45	180.02	116.78	100.13	10.55	21.16	26.47	29.27	24.81	28.45	19.82	21.78	25.91	21.78	22.26	44.89	56.28	69.03	10.55	26.1	15.68	45.85	42.11	66.18	34.51	36.27	30.78	4.98	24.11	9.41	28.24	34.02	25.35	29.06	35.0	18.03	22.75	7.88	43.02	7.34	15.0	88.26	21.32	29.06	23.76	6.36	45.21	53.19	15.91	52.82	0.0	0.47	107.38	126.12	107.38	63.0	115.97	126.12	66.18
LRRC8C	59.55	158.79	127.0	291.04	199.85	307.69	289.02	171.45	138.1	68.07	8.58	73.03	39.5	54.33	267.73	208.38	181.28	173.85	256.78	273.37	120.1	134.3	100.13	236.21	167.9	108.14	10.79	26.67	29.7	63.45	44.57	11.04	19.39	49.21	13.83	21.01	36.27	35.76	31.9	45.53	21.16	18.7	15.8	38.4	29.06	100.83	24.11	49.91	13.32	5.68	44.25	16.63	31.9	29.27	19.97	29.48	19.39	21.16	27.25	18.03	35.0	8.32	15.68	60.39	16.51	15.0	16.51	8.51	44.57	16.88	31.0	33.54	0.0	0.32	102.97	95.34	46.5	81.14	172.65	142.01	75.11
LRRK1	163.28	299.25	176.29	211.31	414.87	307.69	356.05	123.5	283.05	229.72	24.11	140.04	165.57	62.56	275.28	409.15	295.11	297.17	603.67	358.54	161.02	309.83	289.02	234.57	212.78	125.24	6.31	32.36	33.3	24.63	23.25	19.25	19.82	26.67	19.39	12.27	37.05	32.13	36.53	70.01	5.54	25.17	13.62	65.72	80.01	114.36	131.51	27.05	19.11	1.97	28.65	2.01	16.63	40.93	15.0	27.64	66.65	7.34	38.67	11.55	39.22	4.98	17.38	41.81	25.17	10.55	14.45	7.28	96.01	135.24	56.28	65.72	0.0	0.62	194.36	314.17	53.19	559.28	511.0	147.06	220.32
LUZP1	136.19	198.47	130.6	181.28	234.57	152.28	127.89	84.04	140.04	93.35	73.54	130.6	128.79	123.5	316.37	242.88	111.99	138.1	248.0	305.55	126.12	141.02	181.28	228.13	182.55	105.15	30.56	67.12	45.21	70.01	56.28	44.57	49.56	50.63	26.47	44.25	41.22	47.17	41.22	98.73	33.78	45.85	60.39	36.27	67.12	186.4	77.79	65.72	43.94	14.35	96.01	24.28	55.1	33.78	47.5	48.52	41.22	48.52	81.14	65.26	76.71	22.43	53.19	87.03	36.53	59.13	36.53	39.22	64.8	55.1	34.26	94.67	0.0	0.44	186.4	163.28	35.76	262.2	265.87	191.67	212.78
NHS	15.0	111.21	31.0	31.67	16.63	40.07	41.81	38.12	35.5	13.83	3.14	15.91	22.92	11.13	120.94	190.34	161.02	81.14	94.67	181.28	94.67	93.35	91.41	152.28	107.38	59.13	0.0	3.79	2.58	13.03	2.89	1.91	2.46	0.88	4.46	2.16	2.66	3.66	2.53	6.26	1.04	2.2	3.14	2.71	3.47	10.55	7.34	6.16	1.89	0.0	7.4	0.59	2.41	2.86	2.18	3.38	1.41	2.68	5.5	1.48	4.21	0.61	0.95	6.62	1.5	2.25	0.61	1.1	8.0	3.41	2.16	8.13	0.0	0.39	36.27	124.37	7.46	29.48	65.26	149.12	13.32
PTPN13	105.89	57.89	273.37	181.28	157.68	78.89	102.97	84.63	114.36	109.66	31.45	177.53	224.97	155.5	223.41	111.21	22.1	143.01	163.28	348.71	153.34	176.29	264.03	285.03	212.78	40.07	1.3	5.28	4.98	6.52	4.78	5.28	2.36	3.63	2.29	5.96	2.56	5.06	4.17	8.0	2.16	7.4	3.76	4.5	5.92	26.28	125.24	11.73	1.83	1.28	15.68	1.3	3.11	2.41	5.59	7.63	2.12	3.72	15.34	5.96	7.51	1.73	3.29	8.71	2.23	3.11	0.99	2.32	5.02	87.03	42.11	40.36	0.0	0.2	94.01	206.94	7.75	283.05	275.28	158.79	18.43
SACS	84.04	74.06	109.66	68.55	100.13	94.01	118.43	60.82	155.5	120.94	39.22	110.43	108.14	99.43	142.01	87.03	155.5	170.25	167.9	118.43	114.36	81.71	88.26	150.17	87.65	82.87	17.51	20.56	61.68	78.34	16.27	24.46	11.04	96.68	11.64	38.95	71.5	37.59	47.5	77.79	5.92	32.13	50.98	28.45	48.52	67.12	74.58	141.02	20.71	10.88	66.18	40.07	24.81	81.14	78.34	35.76	16.75	19.25	23.76	7.51	28.65	49.21	30.78	31.0	95.34	351.14	12.93	29.48	76.71	61.25	6.62	18.97	0.0	0.47	63.0	127.89	90.14	120.1	167.9	187.71	46.5
SIRPB2	38.12	277.2	42.11	287.01	112.77	96.68	100.83	144.01	108.14	39.79	17.38	70.01	36.01	36.01	214.27	151.22	291.04	105.89	256.78	127.0	35.0	87.65	99.43	189.02	66.65	69.52	7.51	34.75	44.57	14.03	29.91	3.5	9.48	19.68	23.08	12.0	19.68	13.52	34.51	60.82	6.36	15.56	5.28	11.3	8.06	47.17	36.53	18.7	19.25	1.5	13.72	3.56	4.1	27.64	1.99	30.12	19.97	12.45	25.72	10.08	38.67	1.57	3.03	77.25	27.25	13.03	5.82	3.63	26.86	21.47	4.58	23.59	0.0	0.24	128.79	98.04	59.55	43.02	127.89	87.65	61.68
