	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.A3.A6NL.01A.11R.A33J.07	TCGA.B4.5836.01A.11R.1672.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.CJ.4644.01A.02R.1325.07	TCGA.DV.5569.01A.01R.1541.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5987.01A.11R.1672.07	TCGA.BP.5177.01A.01R.1426.07	TCGA.CJ.5684.01A.11R.1541.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.CJ.4874.01A.01R.1305.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.BP.4762.01A.02R.1289.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4341.01A.01R.1289.07	TCGA.BP.5194.01A.02R.1426.07	TCGA.B8.4154.01A.01R.1188.07	TCGA.B0.4827.01A.02R.1420.07	TCGA.BP.4338.01A.01R.1289.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.B2.5635.01A.01R.1541.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.3Z.A93Z.01A.11R.A37O.07	TCGA.B8.A7U6.01A.12R.A37O.07	TCGA.BP.4355.01A.01R.1289.07	TCGA.A3.A8OU.01A.11R.A37O.07	TCGA.AK.3434.01A.02R.1277.07	TCGA.CJ.4892.01A.01R.1305.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.BP.4335.01A.01R.1289.07	TCGA.BP.4327.01A.01R.1289.07	TCGA.B0.5696.01A.11R.1541.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B0.4823.01A.02R.1420.07	TCGA.AK.3428.01A.02R.1277.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.BP.4807.01A.01R.1305.07	TCGA.BP.4804.01A.02R.1305.07	TCGA.BP.4349.01A.01R.1289.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.5007.01A.01R.1334.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B4.5838.01A.11R.1672.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.5181.01A.01R.1426.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.BP.5183.01A.01R.1426.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.B0.5096.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.MM.A563.01A.11R.A266.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.B8.5549.01A.01R.1541.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.EU.5904.01A.11R.1672.07	TCGA.BP.5196.01A.01R.1426.07	GTEX.ZQG8.2126.SM.4YCF1
AZI1	175.07	242.88	68.07	166.73	111.99	140.04	182.55	98.73	152.28	231.32	107.38	137.14	397.93	177.53	130.6	75.11	289.02	104.42	191.67	309.83	134.3	63.45	244.57	74.58	31.45	194.36	149.12	72.01	152.28	151.22	318.57	205.5	297.17	275.28	190.34	163.28	289.02	103.69	218.79	228.13	265.87	150.17	215.77	226.54	102.25	74.58	204.07	173.85	108.14	262.2	202.66	303.44	191.67	248.0	173.85	42.11	140.04	151.22	140.04	142.01	244.57	256.78	258.57	177.53	231.32	187.71	97.36	94.01	395.18	102.97	264.03	199.85	226.54	125.24	132.44	256.78	114.36	212.78	353.59	102.25	220.32	151.22	212.78	32.59
BRICD5	29.06	77.25	9.13	28.65	17.51	12.83	40.07	3.86	40.93	46.5	8.85	130.6	379.04	9.63	11.38	8.13	112.77	4.39	58.71	202.66	13.22	45.85	4.94	6.67	1.62	25.72	7.88	35.76	75.64	10.71	110.43	105.89	234.57	163.28	29.06	95.34	63.89	17.0	99.43	164.42	146.03	10.71	131.51	90.14	5.15	10.63	75.11	72.52	5.11	91.41	114.36	152.28	69.03	88.26	43.94	4.28	12.09	4.9	46.5	2.18	129.69	293.07	220.32	52.08	36.79	88.26	21.94	11.04	163.28	12.0	144.01	29.27	109.66	3.32	19.68	95.34	27.25	76.71	82.29	15.34	92.7	29.27	66.18	0.0
C1orf159	303.44	187.71	108.9	111.99	78.89	87.03	93.35	77.79	145.02	93.35	82.87	171.45	323.03	66.18	209.84	85.22	183.82	84.63	173.85	265.87	63.45	111.21	75.11	63.45	27.05	90.77	104.42	128.79	173.85	154.42	165.57	162.14	214.27	291.04	121.79	180.02	175.07	97.36	139.07	236.21	224.97	75.64	211.31	236.21	59.13	49.56	231.32	144.01	63.0	177.53	236.21	323.03	146.03	318.57	98.04	71.5	161.02	97.36	262.2	81.71	231.32	258.57	303.44	108.14	167.9	206.94	85.22	123.5	180.02	98.04	206.94	116.78	218.79	47.17	74.06	218.79	85.82	171.45	194.36	81.71	223.41	107.38	166.73	96.68
CACTIN	133.36	358.54	256.78	309.83	190.34	215.77	275.28	186.4	295.11	281.09	211.31	271.48	543.96	208.38	258.57	190.34	444.72	201.25	423.61	447.82	223.41	132.44	185.11	197.09	86.43	251.48	281.09	173.85	299.25	234.57	343.89	361.04	371.22	466.88	255.0	301.33	384.34	239.52	346.29	325.29	361.04	212.78	291.04	323.03	177.53	114.36	269.6	228.13	194.36	297.17	368.65	323.03	283.05	316.37	258.57	166.73	297.17	253.23	237.86	175.07	414.87	366.09	406.31	262.2	289.02	323.03	170.25	167.9	395.18	173.85	412.0	312.0	403.5	237.86	232.94	346.29	162.14	275.28	346.29	237.86	244.57	214.27	409.15	134.3
CAPN10	205.5	343.89	127.89	176.29	180.02	153.34	209.84	208.38	242.88	178.77	181.28	320.8	866.07	149.12	371.22	111.21	384.34	175.07	379.04	476.71	109.66	153.34	122.64	150.17	108.9	229.72	100.13	231.32	299.25	260.38	543.96	373.81	400.71	395.18	218.79	329.84	316.37	159.9	373.81	429.54	420.68	137.14	454.09	612.11	142.01	90.77	202.66	177.53	165.57	417.77	503.95	503.95	490.14	457.25	237.86	100.13	231.32	132.44	444.72	36.53	343.89	514.56	529.06	258.57	293.07	226.54	181.28	139.07	463.65	148.09	529.06	275.28	444.72	84.63	157.68	395.18	224.97	356.05	599.49	98.04	447.82	180.02	291.04	85.22
CC2D1A	1044.52	532.74	253.23	373.81	277.2	329.84	470.14	204.07	480.04	454.09	305.55	403.5	1015.93	305.55	426.57	236.21	599.49	221.86	753.83	848.22	273.37	249.73	480.04	175.07	81.71	454.09	312.0	358.54	426.57	438.59	551.56	476.71	713.11	660.68	473.41	503.95	486.75	336.79	559.28	830.75	780.44	341.51	665.29	612.11	295.11	258.57	629.35	366.09	307.69	480.04	575.03	638.15	480.04	567.1	403.5	217.27	435.55	387.02	490.14	343.89	796.86	934.76	743.43	466.88	532.74	624.99	182.55	291.04	660.68	264.03	718.08	420.68	603.67	287.01	295.11	547.75	287.01	563.18	775.05	312.0	507.46	389.72	371.22	267.73
CCDC130	417.77	775.05	307.69	438.59	208.38	356.05	454.09	186.4	493.56	575.03	316.37	748.61	1896.65	332.14	447.82	237.86	934.76	211.31	830.75	1051.79	281.09	497.0	341.51	232.94	309.83	414.87	334.46	305.55	587.13	336.79	633.73	866.07	1216.75	947.83	511.0	743.43	748.61	334.46	633.73	1066.48	1104.13	285.03	860.08	967.76	262.2	262.2	915.51	476.71	275.28	642.59	941.27	1350.18	684.02	785.88	457.25	171.45	426.57	348.71	878.17	312.0	866.07	1340.84	1199.98	403.5	629.35	1051.79	224.97	285.03	995.0	242.88	1073.91	343.89	947.83	275.28	273.37	1001.93	514.56	796.86	1242.34	314.17	567.1	497.0	688.78	100.13
CCDC84	356.05	567.1	139.07	289.02	120.1	144.01	241.19	84.63	293.07	312.0	155.5	525.39	1857.6	94.67	232.94	114.36	624.99	75.11	693.58	1059.11	134.3	277.2	77.79	75.11	75.64	253.23	149.12	182.55	325.29	182.55	514.56	429.54	1447.15	575.03	432.53	866.07	543.96	183.82	381.68	1397.83	1286.18	102.97	1304.15	764.36	99.43	108.14	426.57	163.28	107.38	435.55	1183.45	1250.98	583.07	500.46	332.14	38.12	177.53	109.66	420.68	87.65	698.41	1378.57	1322.37	214.27	356.05	642.59	166.73	104.42	1015.93	121.79	915.51	152.28	836.53	90.77	158.79	595.34	204.07	612.11	896.64	115.97	769.69	181.28	392.44	31.45
CCS	473.41	1519.15	547.75	1001.93	1119.56	1088.92	1407.55	583.07	1135.2	1331.57	1143.1	1350.18	2682.69	1350.18	660.68	860.08	1417.35	878.17	1923.14	2209.26	1059.11	1001.93	525.39	500.46	514.56	1216.75	1662.49	1015.93	988.12	791.35	2209.26	1498.22	1844.76	1697.45	1540.37	1721.16	1685.71	1225.22	1529.73	1674.06	1883.54	1208.34	2090.03	2018.8	872.1	954.43	1572.76	1487.87	941.27	1143.1	1467.37	1304.15	1529.73	1268.46	1066.48	253.23	1111.82	1322.37	1044.52	1081.39	2384.37	2047.0	2193.99	1583.71	1250.98	1225.22	669.92	466.88	1639.59	995.0	1733.13	1225.22	2434.5	1081.39	1427.22	1104.13	808.0	1304.15	1561.89	954.43	638.15	1081.39	921.88	318.57
CDAN1	117.6	159.9	87.03	130.6	64.8	91.41	106.63	76.71	113.56	135.24	87.65	164.42	327.56	143.01	124.37	74.58	181.28	75.64	128.79	215.77	98.04	79.45	114.36	63.89	52.45	101.54	98.04	123.5	115.16	97.36	134.3	108.14	231.32	131.51	135.24	201.25	170.25	88.26	106.63	223.41	229.72	75.64	204.07	120.1	100.83	78.34	167.9	115.97	96.01	131.51	182.55	258.57	161.02	140.04	112.77	98.04	104.42	107.38	180.02	99.43	190.34	178.77	264.03	113.56	116.78	198.47	65.72	70.01	211.31	83.45	183.82	111.21	265.87	104.42	111.21	177.53	66.18	166.73	148.09	96.68	181.28	132.44	162.14	39.79
CENPT	503.95	780.44	281.09	423.61	275.28	305.55	400.71	251.48	371.22	457.25	320.8	860.08	2502.97	336.79	325.29	255.0	693.58	262.2	540.19	1331.57	336.79	463.65	228.13	287.01	183.82	395.18	332.14	269.6	497.0	339.14	607.87	775.05	1175.27	974.5	480.04	902.89	830.75	325.29	624.99	1127.35	1023.0	277.2	1135.2	802.41	264.03	376.41	1015.93	420.68	301.33	587.13	1088.92	1286.18	753.83	665.29	389.72	155.5	358.54	327.56	780.44	343.89	860.08	1594.73	1268.46	514.56	521.76	909.17	231.32	215.77	1331.57	269.6	713.11	320.8	1350.18	244.57	423.61	909.17	351.14	1037.29	1008.9	327.56	764.36	381.68	500.46	114.36
CROCC	208.38	356.05	58.71	186.4	66.65	101.54	163.28	65.72	112.77	248.0	105.15	163.28	629.35	181.28	171.45	77.79	301.33	102.25	105.15	379.04	162.14	58.3	143.01	46.5	24.99	77.79	146.03	87.03	180.02	127.89	297.17	351.14	435.55	450.94	151.22	206.94	379.04	121.79	177.53	293.07	309.83	92.05	269.6	271.48	73.54	100.83	329.84	140.04	77.79	198.47	387.02	329.84	293.07	397.93	107.38	24.28	94.67	122.64	224.97	104.42	363.56	463.65	348.71	133.36	209.84	329.84	143.01	59.55	341.51	141.02	336.79	205.5	323.03	50.27	102.25	366.09	108.9	215.77	358.54	60.82	221.86	163.28	262.2	31.67
DCAF15	1059.11	555.41	275.28	389.72	275.28	332.14	400.71	260.38	358.54	529.06	361.04	651.58	1216.75	444.72	395.18	295.11	718.08	325.29	688.78	733.19	301.33	368.65	329.84	273.37	281.09	295.11	343.89	291.04	450.94	323.03	483.38	612.11	713.11	603.67	412.0	563.18	571.05	406.31	432.53	674.59	703.28	371.22	764.36	480.04	305.55	291.04	536.45	309.83	309.83	591.22	651.58	854.13	450.94	473.41	376.41	167.9	395.18	356.05	483.38	420.68	708.18	713.11	764.36	353.59	336.79	660.68	236.21	267.73	624.99	287.01	591.22	325.29	748.61	248.0	343.89	693.58	283.05	698.41	559.28	366.09	460.44	444.72	599.49	297.17
DENND4B	226.54	603.67	251.48	395.18	171.45	325.29	314.17	214.27	356.05	320.8	283.05	733.19	2739.08	273.37	329.84	166.73	941.27	186.4	624.99	909.17	221.86	244.57	303.44	206.94	132.44	318.57	217.27	329.84	563.18	320.8	356.05	547.75	941.27	819.3	438.59	651.58	624.99	307.69	454.09	890.44	1073.91	178.77	872.1	540.19	226.54	191.67	796.86	409.15	275.28	587.13	769.69	1487.87	521.76	633.73	358.54	198.47	312.0	206.94	447.82	218.79	665.29	1088.92	1331.57	426.57	486.75	733.19	285.03	409.15	1008.9	164.42	733.19	395.18	651.58	215.77	248.0	941.27	224.97	665.29	1023.0	215.77	674.59	285.03	435.55	122.64
DHX34	206.94	221.86	110.43	158.79	73.03	176.29	169.07	57.49	152.28	180.02	110.43	204.07	346.29	133.36	180.02	77.25	269.6	70.01	202.66	336.79	94.01	93.35	99.43	50.27	49.56	115.97	127.89	122.64	197.09	161.02	251.48	293.07	281.09	248.0	149.12	214.27	231.32	92.7	264.03	232.94	309.83	82.87	351.14	236.21	98.04	99.43	253.23	133.36	80.01	157.68	234.57	241.19	191.67	267.73	189.02	97.36	181.28	132.44	202.66	103.69	269.6	327.56	305.55	153.34	228.13	189.02	115.16	86.43	293.07	58.71	281.09	205.5	297.17	99.43	130.6	312.0	93.35	246.28	361.04	98.73	314.17	171.45	209.84	122.64
DNAH1	32.36	107.38	30.12	59.13	21.16	35.25	49.56	14.56	63.89	51.35	29.27	90.77	432.53	43.02	57.08	14.24	94.01	10.16	146.03	137.14	34.51	37.85	14.45	19.11	10.24	49.56	17.38	53.19	115.97	26.1	53.57	92.7	170.25	163.28	55.49	147.06	142.01	34.51	65.26	170.25	193.01	6.78	170.25	137.14	12.74	14.56	135.24	56.68	14.14	123.5	150.17	170.25	98.73	92.7	49.56	15.45	21.47	22.92	81.71	38.12	133.36	273.37	226.54	22.92	129.69	108.14	25.72	13.62	204.07	12.27	140.04	62.12	124.37	16.88	35.5	145.02	49.56	108.14	406.31	22.75	329.84	44.57	110.43	3.53
DNHD1	52.82	100.13	21.16	36.27	7.34	25.17	40.64	24.28	54.72	48.87	29.48	116.78	567.1	18.84	44.57	23.42	127.0	13.22	148.09	221.86	25.54	28.45	14.78	21.94	17.25	46.84	27.64	32.59	85.82	21.47	69.03	85.82	204.07	135.24	54.33	202.66	101.54	44.89	87.03	289.02	194.36	8.19	232.94	201.25	16.15	19.53	129.69	109.66	21.63	68.55	190.34	147.06	77.25	115.16	35.5	13.93	26.28	17.51	98.73	32.36	103.69	426.57	327.56	35.76	165.57	115.97	28.24	30.34	127.89	11.47	124.37	43.32	204.07	34.51	29.91	165.57	39.5	158.79	234.57	19.97	178.77	31.0	67.59	2.43
DPH7	323.03	420.68	204.07	248.0	159.9	172.65	162.14	186.4	143.01	277.2	173.85	435.55	1388.16	199.85	211.31	145.02	624.99	163.28	353.59	638.15	161.02	260.38	191.67	237.86	154.42	152.28	164.42	187.71	303.44	181.28	371.22	414.87	743.43	450.94	295.11	457.25	412.0	223.41	281.09	688.78	476.71	136.19	514.56	514.56	154.42	140.04	457.25	389.72	154.42	376.41	591.22	728.11	358.54	525.39	239.52	137.14	194.36	150.17	384.34	128.79	457.25	633.73	796.86	229.72	242.88	432.53	167.9	113.56	559.28	165.57	521.76	218.79	563.18	88.88	146.03	511.0	194.36	429.54	441.64	153.34	320.8	176.29	295.11	67.12
DUS3L	500.46	555.41	277.2	358.54	273.37	406.31	507.46	312.0	384.34	490.14	339.14	579.04	854.13	332.14	291.04	269.6	647.07	256.78	698.41	988.12	353.59	376.41	301.33	346.29	229.72	460.44	376.41	279.14	444.72	273.37	368.65	813.63	688.78	808.0	312.0	529.06	703.28	256.78	503.95	733.19	836.53	325.29	713.11	486.75	277.2	392.44	780.44	341.51	224.97	341.51	486.75	748.61	423.61	551.56	303.44	153.34	323.03	329.84	595.34	371.22	656.11	842.36	769.69	454.09	450.94	511.0	170.25	183.82	688.78	293.07	660.68	356.05	769.69	363.56	279.14	555.41	432.53	656.11	511.0	232.94	336.79	400.71	409.15	267.73
