	TCGA.FD.A3SM.01A.11R.A22U.07	TCGA.GU.AATQ.01A.11R.A39I.07	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.11ZTS.1426.SM.5EQMM	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.55.6968.01A.11R.1949.07	TCGA.38.4631.01A.01R.1755.07	TCGA.44.7660.01A.11R.2066.07	TCGA.95.7043.01A.11R.1949.07	TCGA.86.8358.01A.11R.2326.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.PWOO.0726.SM.2I3EB	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.43.6143.01A.11R.1820.07	TCGA.22.4591.01A.01R.1201.07	TCGA.66.2727.01A.01R.0980.07	TCGA.94.A5I6.01A.21R.A27Q.07	TCGA.66.2754.01A.01R.0980.07	TCGA.22.4599.01A.01R.1443.07	TCGA.77.8007.11A.01R.2187.07
CDC7	83.45	197.09	70.01	46.84	45.85	31.22	28.04	31.0	20.86	26.28	62.12	43.02	99.43	24.46	42.11	108.14	36.01	21.01	105.15	153.34	73.54	119.26	100.13	25.17	18.56	95.34	31.22	49.56	89.51	45.53	6.01	9.2	2.29	9.63	14.67	5.02	6.67	2.76	100.83	6.52	11.47	34.51	7.75	21.32	5.28	14.35	571.05	96.68	224.97	120.1	813.63	63.45	61.25	37.59	69.03	94.67	43.63	95.34	397.93	279.14	131.51	172.65	293.07	199.85	85.82
CDK1	638.15	2047.0	93.35	71.0	34.02	105.89	23.76	23.42	29.91	41.22	170.25	228.13	802.41	236.21	183.82	629.35	197.09	75.64	447.82	255.0	48.18	872.1	341.51	591.22	25.35	842.36	120.1	441.64	285.03	351.14	16.03	18.03	8.58	16.39	6.57	20.41	5.02	9.48	336.79	10.0	20.26	185.11	136.19	58.71	1.83	43.02	2400.97	1304.15	2004.85	450.94	2976.74	169.07	444.72	129.69	785.88	624.99	63.89	616.37	1605.83	1709.26	2502.97	1059.11	1651.0	1529.73	356.05
CENPE	74.06	84.63	7.57	4.03	3.41	3.35	0.77	0.0	0.37	0.0	13.42	21.47	57.89	9.78	29.06	81.14	10.47	11.47	52.45	41.52	12.27	38.12	34.75	21.32	2.12	46.84	5.06	44.89	12.55	25.91	0.0	1.13	0.6	0.37	0.72	1.87	0.0	0.0	31.9	4.62	0.31	23.42	17.38	6.26	3.86	2.97	136.19	46.18	71.5	70.01	191.67	14.14	46.5	13.03	68.07	25.54	12.18	31.45	141.02	87.65	127.0	106.63	144.01	53.95	21.94
CENPI	62.12	70.01	8.25	5.11	3.41	7.51	3.47	3.59	4.39	4.39	21.63	30.12	58.3	16.75	15.8	57.08	18.03	7.46	35.5	53.95	19.53	69.52	34.75	20.11	10.47	109.66	9.2	40.64	24.11	16.88	0.55	0.61	0.62	0.8	0.65	2.25	1.53	0.79	33.06	1.6	4.13	14.89	17.51	4.5	0.96	1.1	137.14	154.42	128.79	71.0	460.44	21.16	34.75	7.46	36.27	34.02	11.55	33.78	177.53	141.02	173.85	215.77	121.79	206.94	21.63
CENPK	94.67	260.38	47.5	38.95	26.28	27.64	21.63	28.04	4.78	15.8	51.35	112.77	316.37	78.34	37.32	101.54	35.0	24.63	135.24	150.17	69.03	129.69	135.24	124.37	12.18	334.46	42.71	96.68	67.59	73.54	1.13	9.27	0.0	5.28	7.94	10.16	10.08	5.68	90.14	16.27	15.8	40.07	32.36	22.59	7.57	12.55	563.18	486.75	242.88	164.42	915.51	58.71	139.07	39.79	167.9	153.34	19.39	237.86	406.31	136.19	412.0	493.56	674.59	356.05	109.66
CEP55	363.56	379.04	46.5	37.32	13.62	42.11	8.45	8.51	6.94	9.48	41.81	38.4	109.66	43.32	54.33	163.28	20.86	14.14	118.43	90.77	5.36	139.07	62.56	71.0	6.21	143.01	21.32	55.89	65.26	127.89	0.85	2.92	1.48	3.06	1.43	3.06	1.48	0.0	95.34	0.0	3.96	57.08	26.28	15.8	2.97	9.85	981.29	312.0	314.17	381.68	743.43	43.94	166.73	30.34	202.66	157.68	43.94	145.02	343.89	769.69	521.76	753.83	616.37	620.67	140.04
CLSPN	113.56	120.94	35.0	11.64	3.06	13.32	2.29	7.17	5.82	6.94	11.38	15.0	72.01	15.8	29.06	26.86	3.96	2.81	51.71	87.03	10.39	63.0	44.89	11.3	4.94	48.87	10.47	57.89	53.57	27.05	1.06	1.73	0.0	1.66	0.64	0.77	0.0	0.33	48.87	0.71	0.27	30.34	10.24	8.25	0.0	9.13	567.1	76.17	312.0	54.33	902.89	16.15	73.03	20.71	59.13	64.8	10.79	50.98	368.65	117.6	141.02	204.07	293.07	69.03	34.26
CNIH2	106.63	25.35	13.93	6.41	22.59	1.75	2.01	8.32	2.29	6.41	8.58	20.71	4.5	7.28	10.63	36.27	10.39	10.24	13.93	41.81	8.06	3.35	12.93	20.56	5.54	251.48	5.73	12.64	3.99	13.42	3.2	5.5	3.63	3.79	5.19	4.03	4.94	6.26	9.13	5.45	6.57	10.47	7.34	9.93	3.82	2.05	400.71	141.02	214.27	13.62	348.71	16.03	63.89	13.72	50.63	77.79	43.94	102.25	303.44	39.5	47.17	80.57	128.79	94.01	40.36
CTD-2116N17.1	10.31	7.69	18.16	1.1	0.68	1.25	0.0	0.0	0.73	1.46	2.81	0.0	2.39	3.29	3.66	8.06	5.06	0.0	2.36	8.92	1.41	10.79	2.53	2.43	1.53	9.41	0.0	0.0	3.32	0.0	0.0	0.0	0.83	2.34	2.16	0.99	0.0	1.0	4.82	0.0	2.46	1.55	0.21	1.69	0.91	1.07	8.65	11.91	29.48	4.54	14.56	1.38	10.55	0.0	0.0	13.83	0.0	3.99	27.25	5.68	2.29	20.26	22.26	0.0	7.34
DCAF7	896.64	1167.14	733.19	728.11	723.08	669.92	551.56	785.88	669.92	1001.93	351.14	295.11	314.17	400.71	251.48	551.56	334.46	218.79	511.0	521.76	269.6	463.65	327.56	389.72	291.04	629.35	379.04	620.67	473.41	579.04	287.01	262.2	309.83	307.69	242.88	206.94	170.25	299.25	412.0	264.03	256.78	353.59	403.5	358.54	260.38	438.59	1519.15	547.75	1073.91	836.53	2090.03	733.19	830.75	974.5	866.07	785.88	1467.37	854.13	1259.69	1208.34	954.43	718.08	1583.71	1250.98	718.08
DDX39B	5517.27	8421.31	6745.86	4704.07	4639.29	4388.98	3303.0	3235.01	3467.27	4123.49	4481.23	2609.3	4575.41	6079.61	3235.01	9151.82	3742.05	6887.62	5292.48	4704.07	6983.79	5479.15	3443.31	5995.9	3901.01	10883.59	3716.2	5872.48	4388.98	3820.7	2148.82	3874.05	3491.39	2976.74	4869.99	3639.7	4298.64	2835.7	3928.15	2682.69	3742.05	3395.89	2720.15	3303.0	3982.99	1639.59	7331.05	5479.15	10883.59	5183.54	12076.21	4210.15	5913.33	3820.7	4836.35	6337.83	5517.27	6079.61	12676.65	7130.55	8840.04	8658.09	12160.22	7280.4	5479.15
DLGAP5	187.71	486.75	23.76	14.35	3.79	17.25	5.41	3.63	1.85	2.94	54.72	57.08	121.79	49.91	72.52	215.77	42.11	32.59	111.21	129.69	26.86	127.89	93.35	77.25	5.68	194.36	32.13	141.02	98.73	82.87	5.5	0.51	1.04	3.08	7.51	0.0	1.71	1.35	73.54	1.79	0.0	48.52	48.52	15.91	2.89	5.73	830.75	293.07	392.44	143.01	825.0	35.25	129.69	23.76	131.51	78.34	15.91	76.17	759.08	476.71	307.69	361.04	529.06	521.76	87.03
ECT2	287.01	743.43	181.28	145.02	90.14	69.03	87.65	82.29	20.56	57.89	75.11	103.69	356.05	150.17	122.64	336.79	99.43	64.8	221.86	211.31	102.25	249.73	217.27	130.6	63.45	358.54	36.01	260.38	204.07	193.01	7.34	21.94	8.32	13.93	10.0	18.84	11.91	1.95	161.02	15.22	15.0	96.68	57.08	37.05	14.89	21.32	1447.15	1594.73	1104.13	599.49	1051.79	170.25	387.02	86.43	285.03	239.52	59.97	253.23	1477.58	1295.13	1295.13	1159.07	1832.01	2400.97	202.66
EXOSC9	395.18	684.02	214.27	327.56	423.61	409.15	226.54	190.34	133.36	246.28	379.04	339.14	281.09	392.44	332.14	503.95	283.05	511.0	595.34	473.41	262.2	397.93	587.13	381.68	260.38	466.88	339.14	264.03	435.55	373.81	127.89	205.5	195.72	356.05	191.67	175.07	189.02	212.78	848.22	251.48	239.52	251.48	193.01	212.78	136.19	155.5	620.67	551.56	543.96	361.04	866.07	429.54	444.72	579.04	567.1	376.41	457.25	529.06	703.28	435.55	738.29	514.56	796.86	529.06	476.71
FANCD2	151.22	314.17	138.1	105.89	88.26	77.25	80.57	48.87	42.71	87.03	85.82	80.57	273.37	90.77	104.42	212.78	78.89	44.89	217.27	237.86	60.39	215.77	105.89	94.67	34.75	429.54	37.85	146.03	152.28	111.21	35.0	19.97	14.14	16.03	9.7	14.14	16.51	20.41	297.17	27.64	13.12	83.45	35.25	20.86	18.03	25.35	309.83	450.94	253.23	237.86	457.25	79.45	135.24	137.14	159.9	260.38	136.19	223.41	674.59	348.71	633.73	303.44	587.13	289.02	105.15
FANCI	289.02	525.39	88.88	52.45	47.17	75.11	38.12	39.22	27.44	50.27	85.22	84.63	113.56	115.97	90.14	220.32	69.52	48.87	185.11	202.66	88.26	214.27	150.17	98.73	52.45	587.13	90.77	151.22	157.68	102.25	18.84	13.22	7.63	14.89	16.75	16.15	18.43	7.75	246.28	36.53	8.99	127.89	60.39	91.41	7.69	25.91	1417.35	642.59	457.25	358.54	1268.46	69.03	229.72	62.12	392.44	438.59	177.53	376.41	1295.13	748.61	854.13	1104.13	1233.75	493.56	143.01
FTL	783730.52	453265.5	1221310.69	1422501.74	919186.72	1355129.16	932018.1	998912.34	1422501.74	1048575.0	1123834.93	971597.0	2111737.85	1327240.99	1452391.55	1026995.62	1393227.06	1055868.42	851707.37	828417.36	1514068.5	919186.72	985160.01	1100706.72	958220.73	912837.43	932018.1	1147449.11	1493223.86	881742.8	472513.8	581732.96	489177.0	701458.36	2294899.22	502929.67	1179708.33	919186.72	1327240.99	1147449.11	1374046.07	1055868.42	1131651.83	925580.18	706337.4	2326934.84	284880.02	978355.0	411347.03	1273174.62	329517.51	1204496.53	1336472.68	971597.0	875652.15	1327240.99	1179708.33	762299.34	234624.45	649962.87	524287.0	405683.88	489177.0	677564.08	971597.0
G3BP1	974.5	1295.13	2835.7	909.17	718.08	981.29	909.17	866.07	551.56	1119.56	921.88	679.29	934.76	743.43	723.08	764.36	775.05	599.49	1199.98	1081.39	514.56	1378.57	1001.93	878.17	642.59	1151.06	738.29	1127.35	1127.35	1127.35	583.07	842.36	819.3	791.35	1023.0	684.02	836.53	624.99	693.58	665.29	743.43	759.08	1037.29	967.76	486.75	1208.34	1844.76	934.76	1044.52	947.83	1806.78	1208.34	1757.34	629.35	1096.5	934.76	563.18	941.27	3874.05	1295.13	2209.26	2485.67	3060.45	1651.0	1023.0
GNL2	915.51	1457.23	1397.83	723.08	896.64	579.04	341.51	397.93	147.06	275.28	947.83	684.02	1378.57	1359.57	1059.11	2935.74	764.36	848.22	1104.13	1233.75	780.44	1857.6	967.76	769.69	1111.82	896.64	1111.82	1572.76	2468.49	759.08	181.28	785.88	400.71	591.22	902.89	713.11	1457.23	607.87	1605.83	607.87	480.04	708.18	540.19	470.14	616.37	366.09	2209.26	1250.98	6164.49	764.36	1540.37	941.27	974.5	529.06	995.0	1066.48	587.13	796.86	2133.97	1359.57	1540.37	1883.54	1295.13	1119.56	836.53
HAUS1	836.53	941.27	59.55	295.11	473.41	392.44	208.38	251.48	50.27	218.79	309.83	271.48	432.53	358.54	189.02	693.58	389.72	232.94	341.51	518.15	241.19	420.68	551.56	525.39	204.07	438.59	221.86	231.32	325.29	361.04	81.71	120.1	158.79	201.25	150.17	76.17	72.52	185.11	503.95	149.12	157.68	265.87	109.66	156.59	114.36	175.07	1331.57	1051.79	1104.13	387.02	1051.79	860.08	633.73	669.92	738.29	665.29	353.59	842.36	1369.04	536.45	1059.11	497.0	1551.09	647.07	733.19
HMMR	120.94	217.27	56.68	21.16	13.32	13.42	4.66	7.22	2.23	1.48	76.17	177.53	368.65	76.17	157.68	269.6	83.45	67.12	211.31	244.57	33.78	190.34	232.94	155.5	13.32	178.77	64.8	329.84	253.23	130.6	2.78	12.27	1.36	6.21	6.21	4.58	7.17	7.88	94.67	8.32	7.11	121.79	135.24	27.44	3.76	15.68	384.34	255.0	167.9	72.52	612.11	57.89	116.78	31.0	115.97	120.1	10.31	83.45	718.08	387.02	591.22	450.94	532.74	271.48	100.83
HNRNPD	4769.75	6652.97	3257.52	3018.3	3257.52	3665.02	2367.9	2193.99	3467.27	2758.13	2555.58	2061.24	2287.2	2777.33	2209.26	3614.55	2240.11	2520.38	3235.01	3146.52	2119.22	3768.09	2997.45	2178.83	1844.76	4543.8	1457.23	2777.33	2935.74	2796.65	2047.0	2502.97	1745.2	2255.7	2400.97	2133.97	1950.0	3039.3	3768.09	2224.63	2018.8	2032.85	1561.89	1519.15	1583.71	921.88	6652.97	3742.05	7857.29	5292.48	7032.37	3467.27	2956.17	3168.41	4481.23	2178.83	4419.52	4239.45	7130.55	5594.3	5112.16	5711.87	5633.22	4010.71	3257.52
HNRNPL	5441.3	7433.4	2335.28	3690.52	3690.52	3491.39	3349.13	3212.66	4152.18	4152.18	3794.3	2555.58	3491.39	4152.18	2915.45	4769.75	3467.27	3146.52	3955.48	4152.18	2739.08	5292.48	3235.01	4038.61	3257.52	5872.48	3349.13	4066.71	4239.45	3540.14	2701.35	3235.01	2351.53	3491.39	3081.75	2796.65	2895.31	2271.4	2915.45	2520.38	2271.4	4123.49	2664.15	4123.49	2209.26	2758.13	7966.99	7695.57	7081.29	5329.3	11189.6	4419.52	4512.4	3257.52	4181.07	4152.18	5183.54	3690.52	10084.54	8247.98	7966.99	6935.54	8901.53	7695.57	5112.16
INCENP	297.17	748.61	165.57	135.24	67.59	147.06	96.01	127.0	130.6	212.78	116.78	105.15	215.77	113.56	155.5	177.53	148.09	33.06	226.54	231.32	87.65	229.72	105.15	115.16	90.77	217.27	78.34	229.72	100.13	198.47	56.68	39.5	57.89	30.34	24.28	50.63	17.51	29.27	130.6	43.02	40.64	120.94	113.56	85.22	40.64	72.01	934.76	234.57	567.1	417.77	1104.13	124.37	295.11	167.9	275.28	242.88	165.57	153.34	1023.0	529.06	521.76	403.5	551.56	480.04	122.64
KHDRBS1	2061.24	2682.69	1832.01	1388.16	1313.23	1427.22	1242.34	1088.92	890.44	1407.55	967.76	848.22	1167.14	1233.75	860.08	1594.73	928.3	743.43	1242.34	1467.37	769.69	1508.65	1044.52	1151.06	967.76	1662.49	723.08	1407.55	1277.29	1066.48	490.14	915.51	738.29	842.36	921.88	624.99	1001.93	743.43	1015.93	974.5	791.35	890.44	1001.93	981.29	915.51	713.11	3443.31	1437.15	2468.49	1651.0	2997.45	1467.37	1819.35	1540.37	1950.0	921.88	1268.46	2133.97	2997.45	1769.57	2104.58	2417.67	2591.27	1794.29	1407.55
KIAA1524	102.97	211.31	9.2	36.53	24.11	20.26	5.36	7.17	1.83	5.5	23.08	24.46	116.78	40.64	38.95	111.21	24.99	17.0	65.72	104.42	11.47	81.14	43.94	30.78	17.25	94.67	12.09	73.54	63.45	53.57	1.16	6.16	2.43	5.15	1.25	2.05	5.82	5.73	68.07	4.66	3.41	26.28	24.99	11.47	4.54	5.28	287.01	346.29	102.97	139.07	412.0	38.95	194.36	19.82	215.77	100.13	26.28	101.54	346.29	275.28	454.09	208.38	591.22	532.74	47.84
KIF11	205.5	253.23	39.79	24.81	9.13	30.12	9.85	8.45	2.18	7.22	31.0	46.18	94.01	41.52	42.41	129.69	38.95	17.38	85.82	101.54	15.8	76.71	73.54	98.04	8.58	172.65	21.94	121.79	59.55	72.01	4.35	7.88	5.45	6.57	4.7	5.11	3.26	3.86	93.35	6.57	7.34	54.72	38.12	19.11	9.78	10.63	785.88	148.09	262.2	187.71	723.08	30.78	151.22	34.51	159.9	108.14	29.06	111.21	703.28	368.65	323.03	403.5	483.38	389.72	67.12
KIF15	101.54	206.94	21.94	15.0	5.15	10.47	1.57	1.38	0.0	1.5	19.11	15.45	76.17	45.85	13.42	112.77	17.77	12.93	51.71	72.01	25.54	69.03	43.02	74.58	7.94	195.72	22.92	106.63	23.25	22.26	0.58	1.73	1.2	1.66	3.66	1.13	15.11	0.65	54.33	8.51	0.11	17.0	18.16	11.91	1.6	3.79	373.81	164.42	163.28	100.13	412.0	18.16	70.01	18.7	63.89	67.12	8.92	90.14	212.78	120.1	214.27	211.31	249.73	309.83	64.34
KIF18A	53.95	111.21	17.77	6.57	7.51	5.02	2.71	4.06	0.39	1.85	7.82	27.25	54.33	18.56	34.51	44.89	13.42	9.78	43.63	55.1	15.68	52.08	22.59	36.79	3.32	48.87	7.75	33.78	38.67	22.59	1.43	2.1	0.0	2.97	0.0	1.66	0.91	1.04	20.11	2.12	0.39	19.25	20.11	17.51	1.25	6.89	122.64	86.43	87.65	106.63	246.28	32.59	46.84	17.9	86.43	56.68	12.27	49.21	156.59	175.07	172.65	155.5	186.4	232.94	38.12
