	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T6MO.1426.SM.4DM73	TCGA.C5.A1M5.01A.11R.A13Y.07	TCGA.C5.A1ML.01A.11R.A14Y.07	TCGA.C5.A902.01A.11R.A37O.07	TCGA.LP.A4AU.01A.32R.A32Y.07	TCGA.VS.A9V3.01A.11R.A42T.07	TCGA.C5.A7CL.01A.11R.A32P.07	TCGA.C5.A7CJ.01A.11R.A32P.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A1BJ.01A.11R.A13Y.07	TCGA.UC.A7PG.01A.11R.A42S.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.90.A4ED.01A.31R.A24Z.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
C8orf44	42.71	142.01	97.36	59.55	201.25	102.25	85.22	92.05	64.34	67.12	124.37	63.89	193.01	51.71	57.08	88.26	73.54	242.88	173.85	49.56	142.01	87.65	111.21	57.08	241.19	208.38	134.3	164.42	38.12	32.36	88.88	41.81	38.12	46.84	36.79	136.19	22.43	81.71	15.0	32.59	41.81	65.72	44.89	98.04	73.03	14.89	40.93	36.01	75.11	50.63	43.94	80.57	43.02	38.95	31.9	35.5	194.36	78.34	98.73	27.84	30.12	39.79	28.86	8.92	226.54	8.71	17.9
C9orf96	5.68	13.12	3.89	55.49	120.1	21.94	14.24	48.52	15.22	10.0	30.56	11.55	17.9	10.47	10.47	16.03	14.35	29.91	30.78	4.66	18.29	18.56	5.73	21.47	16.03	29.27	14.78	36.53	8.71	5.96	8.25	7.88	6.36	5.54	4.98	25.17	3.99	7.51	20.26	5.63	11.21	10.0	6.52	8.85	5.59	3.32	8.38	1.79	13.83	3.06	5.92	9.56	6.84	3.66	2.1	19.82	32.59	27.84	7.22	7.75	5.45	3.96	4.7	6.67	59.13	11.3	5.5
CASC3	466.88	728.11	941.27	525.39	1277.29	928.3	819.3	1030.12	902.89	954.43	995.0	1008.9	679.29	947.83	769.69	660.68	802.41	708.18	1447.15	947.83	1350.18	1561.89	1242.34	1242.34	1175.27	1794.29	1286.18	1487.87	483.38	432.53	620.67	547.75	693.58	536.45	718.08	624.99	460.44	830.75	435.55	435.55	693.58	473.41	466.88	819.3	620.67	466.88	493.56	571.05	444.72	642.59	503.95	791.35	718.08	587.13	466.88	476.71	780.44	500.46	679.29	403.5	638.15	555.41	656.11	429.54	1359.57	301.33	500.46
CATSPERG	10.96	27.64	19.25	18.03	234.57	50.63	24.63	113.56	11.04	105.15	44.89	45.53	45.85	118.43	61.68	9.63	23.25	36.27	59.97	17.38	30.34	41.22	50.63	53.95	48.18	80.01	23.59	95.34	10.96	14.78	11.91	7.28	15.34	12.36	17.13	13.62	26.1	14.24	16.51	37.32	22.43	18.84	16.75	15.8	3.92	17.51	14.35	11.13	12.64	6.89	6.06	20.26	7.4	5.96	15.8	11.64	51.35	4.58	27.84	17.51	31.0	25.54	9.06	19.39	54.33	19.68	8.25
CBFA2T2	85.82	118.43	90.77	236.21	211.31	221.86	275.28	289.02	139.07	483.38	323.03	291.04	120.1	281.09	429.54	111.99	269.6	122.64	775.05	147.06	303.44	291.04	249.73	271.48	507.46	412.0	234.57	358.54	45.53	68.07	120.1	102.97	82.87	76.71	111.21	112.77	127.0	114.36	78.89	82.87	113.56	99.43	75.11	109.66	96.01	98.73	89.51	111.99	63.0	107.38	84.04	150.17	255.0	115.16	117.6	78.89	120.94	194.36	228.13	104.42	101.54	73.03	59.55	81.71	353.59	82.29	53.57
CCDC146	36.79	48.18	25.91	679.29	2520.38	279.14	133.36	71.0	45.21	161.02	242.88	299.25	17.64	148.09	220.32	40.36	23.76	19.82	325.29	60.82	287.01	142.01	69.03	163.28	307.69	384.34	279.14	253.23	23.93	15.8	82.87	16.88	42.71	8.85	24.63	48.52	26.1	63.45	90.77	96.68	40.93	85.82	88.26	34.51	36.53	17.38	61.25	12.74	46.18	18.29	18.84	98.73	31.67	46.5	35.5	32.36	40.64	27.44	13.12	13.83	53.95	50.27	42.41	32.82	100.13	19.53	163.28
CCDC66	51.71	45.53	78.89	95.34	246.28	195.72	153.34	98.04	236.21	214.27	176.29	154.42	101.54	130.6	159.9	178.77	155.5	146.03	348.71	145.02	122.64	221.86	152.28	314.17	327.56	249.73	178.77	343.89	26.86	42.11	141.02	86.43	78.89	44.57	38.67	120.1	67.59	66.18	87.65	162.14	60.39	66.65	56.28	52.08	67.12	59.97	108.14	68.07	58.3	38.95	55.49	103.69	64.34	44.57	49.21	33.54	92.7	52.45	50.27	49.21	74.06	94.67	90.77	64.8	476.71	63.0	59.13
CDK3	55.49	105.15	40.36	100.83	343.89	275.28	441.64	271.48	262.2	209.84	379.04	187.71	122.64	169.07	180.02	158.79	217.27	119.26	194.36	24.11	134.3	100.83	176.29	162.14	190.34	295.11	116.78	178.77	9.63	19.97	141.02	18.97	75.64	16.51	16.51	265.87	20.26	69.52	69.52	42.11	22.92	71.0	59.97	48.87	39.79	26.1	65.72	20.41	37.05	14.78	17.51	120.94	54.33	34.51	24.11	24.63	56.28	87.03	34.51	25.72	41.22	19.68	24.81	19.68	441.64	22.92	3.2
CENPJ	63.89	34.51	59.55	48.18	119.26	414.87	327.56	159.9	124.37	229.72	543.96	258.57	94.01	205.5	189.02	113.56	99.43	138.1	571.05	171.45	173.85	381.68	108.14	409.15	255.0	595.34	285.03	376.41	23.59	16.63	53.19	57.08	84.04	27.44	58.71	88.26	48.52	36.53	20.86	121.79	40.07	105.89	29.48	58.3	100.13	42.41	96.01	77.25	69.03	30.12	126.12	115.16	44.25	65.26	112.77	49.91	84.63	89.51	86.43	27.64	75.11	69.52	39.79	36.27	273.37	51.35	8.65
CLASRP	679.29	738.29	633.73	693.58	1199.98	1519.15	1199.98	1857.6	1127.35	1350.18	1617.0	1437.15	1322.37	1268.46	2018.8	2255.7	1216.75	1059.11	3325.99	1143.1	1628.26	2255.7	1639.59	2664.15	3103.19	2255.7	1397.83	2133.97	170.25	327.56	995.0	426.57	753.83	232.94	403.5	1369.04	318.57	559.28	854.13	708.18	334.46	567.1	616.37	703.28	441.64	713.11	599.49	435.55	896.64	414.87	454.09	854.13	441.64	507.46	511.0	293.07	1096.5	830.75	457.25	329.84	303.44	738.29	395.18	346.29	2384.37	339.14	620.67
CLK1	1769.57	1457.23	836.53	1819.35	3081.75	2609.3	3212.66	2400.97	1583.71	1508.65	4512.4	3060.45	2816.11	1883.54	2645.74	3280.18	1819.35	3039.3	3768.09	1909.85	988.12	1286.18	4298.64	6164.49	5366.37	2976.74	1313.23	4328.55	1059.11	540.19	1794.29	684.02	836.53	769.69	363.56	2520.38	297.17	1313.23	2018.8	995.0	500.46	825.0	1745.2	567.1	587.13	713.11	1896.65	400.71	981.29	743.43	603.67	1561.89	878.17	669.92	460.44	470.14	633.73	660.68	339.14	656.11	830.75	629.35	1015.93	441.64	3491.39	381.68	521.76
CLK2	460.44	500.46	1191.69	796.86	1605.83	1159.07	1605.83	2104.58	890.44	1628.26	2434.5	1457.23	1001.93	1467.37	1651.0	1088.92	693.58	1096.5	3419.52	928.3	1457.23	1697.45	1143.1	1883.54	1883.54	2104.58	1135.2	1508.65	346.29	314.17	603.67	486.75	620.67	279.14	514.56	842.36	392.44	395.18	909.17	457.25	373.81	529.06	454.09	450.94	305.55	688.78	656.11	438.59	543.96	409.15	379.04	785.88	348.71	429.54	329.84	329.84	463.65	669.92	299.25	412.0	669.92	551.56	426.57	329.84	1844.76	318.57	260.38
CSAD	95.34	339.14	41.81	361.04	796.86	748.61	748.61	656.11	921.88	1199.98	1977.24	728.11	854.13	518.15	1191.69	860.08	395.18	775.05	2178.83	307.69	928.3	728.11	540.19	902.89	2451.44	2061.24	283.05	1096.5	47.84	63.89	599.49	134.3	170.25	36.01	72.52	718.08	126.12	264.03	591.22	220.32	150.17	289.02	127.89	79.45	84.04	161.02	291.04	127.89	265.87	37.59	63.0	441.64	134.3	131.51	98.04	111.99	241.19	231.32	38.95	91.41	126.12	100.83	156.59	101.54	1870.53	102.97	28.24
DDTL	17.0	47.84	43.02	88.88	81.71	83.45	87.65	62.12	47.84	62.12	61.68	41.52	103.69	77.79	59.55	97.36	60.39	115.97	57.49	54.72	70.01	60.82	50.63	71.0	94.67	68.07	67.12	83.45	8.0	10.88	50.27	19.25	34.02	23.76	56.68	90.77	8.19	15.11	27.05	30.12	24.81	19.25	18.97	11.38	25.91	35.76	17.38	16.03	49.56	5.77	27.84	47.17	29.48	26.28	16.75	4.54	24.63	46.84	38.95	15.8	29.48	37.05	15.8	16.88	95.34	12.09	17.51
DDX17	1819.35	1745.2	1322.37	2271.4	6516.03	4298.64	4388.98	4704.07	4419.52	5633.22	6426.31	4836.35	4152.18	4512.4	4543.8	4639.29	4095.0	4388.98	7382.04	3419.52	2240.11	4903.87	4671.57	10585.95	10014.87	9673.69	4481.23	5751.61	2209.26	1651.0	2720.15	1870.53	1844.76	2591.27	1268.46	3018.3	1369.04	2271.4	3060.45	2997.45	2701.35	2090.03	1950.0	1757.34	1909.85	1950.0	2895.31	1806.78	1870.53	2104.58	1662.49	3639.7	2240.11	1923.14	2573.36	1295.13	1745.2	1909.85	1883.54	1350.18	1909.85	1963.57	1662.49	1508.65	6471.02	1467.37	909.17
DDX59	323.03	248.0	476.71	275.28	409.15	463.65	490.14	497.0	595.34	414.87	791.35	642.59	457.25	532.74	842.36	470.14	470.14	607.87	532.74	320.8	470.14	476.71	403.5	551.56	466.88	656.11	450.94	426.57	265.87	143.01	260.38	236.21	366.09	180.02	262.2	454.09	220.32	277.2	248.0	214.27	253.23	220.32	318.57	255.0	228.13	269.6	265.87	255.0	248.0	232.94	253.23	307.69	177.53	229.72	241.19	248.0	275.28	253.23	202.66	193.01	279.14	218.79	232.94	217.27	543.96	63.0	143.01
DEPDC5	189.02	176.29	183.82	392.44	162.14	371.22	295.11	262.2	234.57	277.2	285.03	426.57	237.86	291.04	236.21	177.53	275.28	281.09	291.04	159.9	212.78	277.2	189.02	429.54	358.54	486.75	281.09	406.31	80.57	163.28	129.69	121.79	153.34	132.44	73.03	251.48	164.42	108.14	151.22	137.14	125.24	165.57	120.1	157.68	129.69	150.17	136.19	183.82	129.69	106.63	156.59	206.94	166.73	170.25	173.85	139.07	164.42	170.25	84.63	156.59	119.26	132.44	169.07	108.9	417.77	87.03	143.01
DMTF1	480.04	187.71	224.97	271.48	921.88	842.36	1191.69	466.88	543.96	825.0	3325.99	1135.2	318.57	878.17	860.08	587.13	583.07	514.56	2627.46	718.08	1427.22	2255.7	4152.18	1685.71	3794.3	3257.52	1508.65	1605.83	220.32	118.43	493.56	297.17	332.14	205.5	228.13	441.64	138.1	525.39	497.0	571.05	348.71	529.06	316.37	283.05	248.0	400.71	414.87	209.84	267.73	167.9	171.45	559.28	260.38	255.0	201.25	171.45	379.04	406.31	241.19	220.32	318.57	246.28	182.55	153.34	1561.89	193.01	116.78
DNAH1	14.14	6.78	8.51	32.36	301.33	55.89	40.07	58.71	94.67	75.11	86.43	48.87	51.71	41.22	66.65	40.36	17.9	68.07	82.87	19.25	26.1	47.5	34.75	40.36	111.99	117.6	26.67	67.12	1.69	4.62	21.63	3.96	13.83	5.77	2.25	17.77	8.19	14.24	18.43	12.27	16.15	13.32	17.25	4.46	9.48	7.17	22.1	45.21	10.16	15.45	2.73	29.27	4.24	6.06	9.48	5.45	18.7	19.97	3.89	4.86	11.47	21.78	11.82	12.55	152.28	11.91	8.51
ELMOD3	112.77	237.86	129.69	221.86	358.54	336.79	327.56	343.89	220.32	591.22	460.44	403.5	327.56	255.0	255.0	265.87	171.45	287.01	426.57	218.79	363.56	303.44	307.69	381.68	616.37	563.18	217.27	341.51	137.14	94.67	223.41	191.67	289.02	79.45	92.05	256.78	110.43	275.28	185.11	189.02	169.07	180.02	116.78	115.97	173.85	116.78	193.01	161.02	143.01	99.43	52.08	316.37	153.34	151.22	132.44	123.5	258.57	197.09	127.89	84.63	162.14	171.45	175.07	87.65	480.04	132.44	97.36
EZH1	84.04	228.13	353.59	412.0	1015.93	432.53	409.15	376.41	363.56	417.77	708.18	429.54	255.0	260.38	444.72	264.03	197.09	262.2	759.08	409.15	543.96	764.36	660.68	748.61	836.53	854.13	438.59	759.08	115.16	84.63	231.32	130.6	116.78	127.89	147.06	183.82	133.36	208.38	260.38	165.57	178.77	116.78	157.68	154.42	65.72	176.29	205.5	106.63	135.24	95.34	91.41	287.01	148.09	134.3	127.0	126.12	281.09	149.12	104.42	103.69	153.34	135.24	173.85	72.01	759.08	142.01	72.52
FAM156A	109.66	48.52	46.84	91.41	536.45	454.09	368.65	217.27	738.29	246.28	454.09	206.94	255.0	332.14	490.14	551.56	279.14	346.29	575.03	212.78	403.5	358.54	244.57	429.54	830.75	551.56	253.23	579.04	36.79	20.41	159.9	73.54	111.99	31.0	53.95	232.94	69.52	51.35	173.85	120.1	66.65	116.78	95.34	58.71	69.03	65.72	165.57	52.45	135.24	15.68	35.5	307.69	43.94	75.11	24.46	11.64	159.9	183.82	69.52	45.85	64.8	108.14	104.42	29.06	688.78	23.42	8.38
FAM178A	127.0	144.01	161.02	95.34	314.17	289.02	180.02	256.78	180.02	309.83	186.4	301.33	258.57	231.32	165.57	220.32	165.57	287.01	323.03	121.79	111.99	229.72	134.3	226.54	444.72	454.09	122.64	281.09	62.12	70.51	131.51	94.67	102.97	71.5	120.94	123.5	71.5	78.89	75.11	89.51	120.94	99.43	77.25	105.15	123.5	48.87	103.69	151.22	71.0	89.51	108.14	119.26	98.04	120.94	102.97	80.01	117.6	57.49	112.77	45.53	110.43	136.19	96.68	53.19	303.44	57.89	36.53
FAM193B	312.0	884.29	381.68	616.37	1519.15	1427.22	1519.15	1498.22	1023.0	1208.34	2400.97	1208.34	1119.56	896.64	1104.13	1023.0	941.27	1322.37	3124.78	1023.0	1397.83	909.17	3491.39	2485.67	3794.3	1427.22	718.08	1127.35	244.57	353.59	860.08	599.49	703.28	185.11	186.4	1250.98	435.55	500.46	1529.73	1159.07	395.18	890.44	476.71	406.31	381.68	860.08	688.78	353.59	638.15	429.54	234.57	890.44	490.14	400.71	236.21	363.56	575.03	1709.26	246.28	642.59	454.09	438.59	703.28	486.75	4972.34	392.44	423.61
FBF1	47.84	101.54	53.95	346.29	236.21	346.29	285.03	283.05	406.31	186.4	460.44	435.55	249.73	289.02	193.01	389.72	72.52	246.28	647.07	130.6	447.82	543.96	249.73	244.57	665.29	579.04	332.14	353.59	12.93	47.17	163.28	52.45	96.68	24.81	80.57	135.24	50.98	92.7	53.57	82.87	57.49	99.43	45.53	148.09	185.11	58.3	65.72	60.39	56.68	57.08	29.48	128.79	125.24	61.25	54.72	70.01	120.1	120.94	158.79	54.72	58.3	69.03	57.89	39.5	603.67	115.16	47.17
FOXD4L6	0.0	0.3	0.0	1.41	3.89	3.76	6.06	0.0	1.03	2.05	8.45	2.76	4.17	2.66	4.94	3.5	2.07	0.0	1.91	0.0	1.06	0.0	0.0	0.0	0.55	3.41	0.0	5.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGNBP2	825.0	397.93	1096.5	723.08	1242.34	1001.93	1104.13	1008.9	1119.56	902.89	1594.73	1127.35	1127.35	967.76	915.51	961.07	728.11	1295.13	1208.34	909.17	1259.69	1498.22	1487.87	1259.69	1397.83	1304.15	1388.16	1199.98	543.96	571.05	1023.0	1023.0	813.63	518.15	567.1	995.0	669.92	1015.93	785.88	842.36	612.11	791.35	872.1	878.17	669.92	819.3	743.43	872.1	718.08	660.68	567.1	1111.82	764.36	743.43	693.58	764.36	1030.12	802.41	647.07	665.29	743.43	802.41	679.29	620.67	1030.12	595.34	802.41
GNRH1	23.59	29.48	21.16	37.32	76.17	51.71	90.77	103.69	44.89	83.45	232.94	38.95	36.53	54.33	146.03	57.49	77.79	59.97	239.52	71.0	211.31	178.77	199.85	142.01	246.28	255.0	68.55	88.26	4.35	3.89	39.79	4.82	14.89	0.95	6.16	25.54	6.11	18.43	38.4	36.79	14.67	24.28	10.39	10.71	5.59	18.97	27.44	7.11	26.28	6.31	5.15	27.05	7.4	10.16	8.99	8.38	38.67	48.18	9.85	15.34	17.9	11.04	10.31	4.54	105.15	7.57	4.98
