	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.QLQW.0526.SM.4R1KS	GTEX.P4PP.0626.SM.3NM9X	GTEX.ZPU1.1426.SM.4WWFU	GTEX.X585.1226.SM.46MW7	GTEX.146FH.1726.SM.5QGQ2	GTEX.P4QS.0626.SM.3NMD1	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.55.6980.11A.01R.1949.07	GTEX.S7SE.0926.SM.2XCD6	GTEX.13N11.0326.SM.5LUA3	GTEX.X3Y1.0626.SM.3P5YS	GTEX.U3ZH.0526.SM.3DB75	GTEX.ZE7O.0826.SM.57WCP	GTEX.Q734.0626.SM.2I3EF	TCGA.85.7710.11A.01R.2125.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BJ.A28X.11A.11R.A22L.07	GTEX.111VG.0526.SM.5N9BW
B3GAT1	0.18	0.46	0.0	0.0	0.0	0.0	0.38	41.81	29.06	11.91	24.11	20.56	37.05	0.0	2.16	0.0	1.3	18.97	46.84	21.01	486.75	5.36	41.52	26.67	20.26	0.09	1.13	5.23	7.57	1.06	2.39	0.74	85.22	281.09
BDH2	395.18	595.34	674.59	791.35	525.39	493.56	607.87	1242.34	1583.71	921.88	1331.57	563.18	1322.37	332.14	120.1	94.01	392.44	1685.71	1417.35	5006.93	2255.7	4010.71	2061.24	1001.93	1037.29	769.69	486.75	518.15	780.44	483.38	723.08	379.04	2591.27	3212.66
BET1	197.09	255.0	368.65	493.56	307.69	303.44	212.78	339.14	384.34	327.56	379.04	361.04	457.25	249.73	295.11	384.34	244.57	426.57	802.41	651.58	361.04	612.11	902.89	642.59	651.58	384.34	127.0	157.68	221.86	166.73	199.85	128.79	511.0	638.15
BRI3	2271.4	2178.83	2664.15	2758.13	1757.34	2090.03	2119.22	3103.19	4736.79	2816.11	4836.35	2835.7	3212.66	1806.78	3124.78	3190.46	1757.34	8078.22	4268.94	5633.22	4769.75	5292.48	6935.54	8022.41	6337.83	4704.07	941.27	1594.73	2271.4	1909.85	2739.08	1819.35	3847.29	4671.57
C14orf28	40.93	89.51	76.17	125.24	65.72	57.08	88.26	78.89	119.26	69.03	90.14	55.89	99.43	47.84	19.11	35.25	28.86	142.01	155.5	128.79	98.73	202.66	158.79	90.14	120.94	40.07	30.78	21.32	66.65	28.65	40.07	38.12	102.25	126.12
C22orf43	1.99	4.31	12.09	9.27	3.79	13.03	2.25	4.9	5.68	6.21	7.88	8.85	15.0	1.31	0.59	0.0	0.0	7.69	13.32	15.56	3.56	1.11	13.93	11.13	7.46	0.65	0.42	1.06	0.53	0.09	0.08	1.01	28.86	2.32
C3orf18	5.41	51.71	73.03	32.36	21.94	11.55	29.48	96.68	217.27	89.51	172.65	85.82	111.21	11.82	12.93	15.0	12.83	154.42	289.02	343.89	320.8	392.44	493.56	239.52	202.66	33.54	25.91	21.47	27.05	28.45	33.06	8.06	297.17	423.61
C5orf24	228.13	366.09	371.22	457.25	353.59	376.41	318.57	409.15	480.04	423.61	457.25	397.93	463.65	187.71	287.01	206.94	332.14	595.34	769.69	708.18	497.0	961.07	693.58	698.41	599.49	563.18	287.01	237.86	323.03	204.07	251.48	275.28	543.96	693.58
CABP4	0.44	11.47	11.73	8.85	3.23	9.63	4.31	11.91	39.5	7.17	40.64	11.13	31.45	1.75	1.85	0.65	5.15	45.85	180.02	157.68	68.55	70.51	72.52	74.58	62.56	3.0	2.73	3.44	2.14	0.59	2.48	0.0	29.48	19.39
CACFD1	136.19	176.29	339.14	117.6	164.42	178.77	212.78	381.68	358.54	275.28	339.14	260.38	265.87	198.47	209.84	57.49	146.03	603.67	379.04	441.64	684.02	353.59	791.35	591.22	307.69	156.59	133.36	92.7	211.31	186.4	253.23	117.6	432.53	503.95
CCAR1	703.28	693.58	872.1	981.29	595.34	748.61	559.28	890.44	947.83	802.41	1295.13	1001.93	1037.29	860.08	743.43	733.19	679.29	884.29	1015.93	1127.35	915.51	1159.07	808.0	819.3	1216.75	395.18	647.07	441.64	521.76	575.03	417.77	796.86	1304.15	1199.98
CCDC106	361.04	177.53	165.57	143.01	146.03	123.5	211.31	187.71	305.55	249.73	376.41	124.37	256.78	36.53	231.32	37.85	171.45	295.11	297.17	819.3	316.37	371.22	703.28	279.14	366.09	94.67	37.32	173.85	144.01	175.07	208.38	128.79	339.14	432.53
CCM2L	31.67	75.64	140.04	53.95	42.41	73.03	33.78	56.68	136.19	66.65	269.6	75.11	121.79	8.45	11.82	8.85	25.72	351.14	463.65	775.05	291.04	473.41	511.0	463.65	178.77	13.22	44.57	44.57	41.52	22.59	24.11	29.7	138.1	387.02
CD1D	0.83	13.12	15.91	10.55	5.92	9.93	15.11	34.51	40.64	35.0	69.52	44.89	140.04	1.58	4.24	2.97	4.24	80.57	63.45	148.09	81.71	106.63	52.45	108.9	212.78	15.68	3.89	11.47	16.88	3.69	2.94	3.14	239.52	59.97
CD72	10.16	38.95	131.51	31.22	19.97	28.45	89.51	64.8	87.03	41.81	135.24	111.21	117.6	12.83	8.32	0.99	7.11	158.79	98.73	217.27	242.88	141.02	126.12	204.07	1066.48	19.11	8.19	7.46	18.03	15.45	4.74	4.43	743.43	159.9
CHRD	1.57	161.02	138.1	53.95	30.56	24.46	60.39	97.36	381.68	154.42	511.0	153.34	177.53	10.0	9.78	3.29	14.24	111.21	118.43	351.14	135.24	209.84	205.5	155.5	125.24	9.78	28.24	52.45	19.25	17.13	8.13	8.32	156.59	246.28
COG1	301.33	514.56	571.05	536.45	486.75	583.07	486.75	629.35	660.68	521.76	769.69	490.14	629.35	432.53	417.77	373.81	395.18	571.05	1304.15	780.44	1001.93	974.5	813.63	460.44	603.67	187.71	283.05	320.8	371.22	395.18	318.57	285.03	796.86	819.3
CPEB1	1.13	25.91	12.27	72.01	11.47	1.95	42.71	30.34	145.02	64.8	86.43	65.26	45.21	0.53	1.3	0.88	2.29	35.25	148.09	102.97	94.67	94.01	224.97	110.43	67.59	25.91	24.81	31.67	12.74	7.82	19.82	1.87	62.56	137.14
CTNND2	0.0	6.67	1.89	1.68	2.46	0.06	1.51	9.85	15.0	5.73	35.76	1.16	9.7	0.55	0.0	0.0	0.75	45.53	8.71	12.0	18.97	28.65	332.14	18.84	8.85	1.81	1.27	1.04	3.0	0.0	2.61	1.23	8.0	24.46
CUBN	3.99	4.98	8.06	7.46	4.03	4.06	4.21	9.27	15.8	3.03	27.25	6.36	12.55	1.64	0.96	1.28	1.79	14.67	48.87	26.67	24.11	23.08	53.57	18.29	25.91	0.14	1.38	3.08	1.83	0.72	1.3	0.19	81.71	50.98
CYP4V2	59.13	130.6	287.01	115.97	89.51	128.79	85.82	214.27	204.07	166.73	323.03	92.7	195.72	19.53	2.94	11.73	41.52	406.31	518.15	909.17	571.05	1081.39	708.18	785.88	429.54	53.95	26.47	27.44	88.26	25.35	34.02	17.9	551.56	842.36
DALRD3	616.37	872.1	629.35	723.08	872.1	775.05	1008.9	848.22	738.29	674.59	1417.35	813.63	896.64	269.6	420.68	493.56	591.22	769.69	825.0	1059.11	1313.23	1044.52	2047.0	842.36	753.83	559.28	559.28	743.43	679.29	543.96	624.99	629.35	1216.75	1427.22
DTWD1	301.33	348.71	371.22	521.76	361.04	186.4	237.86	376.41	575.03	412.0	529.06	426.57	607.87	239.52	236.21	341.51	341.51	603.67	842.36	543.96	633.73	915.51	1037.29	723.08	728.11	567.1	201.25	389.72	356.05	190.34	267.73	281.09	669.92	748.61
DUSP28	115.16	131.51	113.56	90.77	89.51	98.73	98.73	193.01	154.42	152.28	183.82	169.07	181.28	35.76	56.28	50.63	88.88	103.69	244.57	169.07	198.47	96.68	173.85	143.01	162.14	80.01	103.69	43.02	71.0	102.97	105.89	118.43	161.02	205.5
FAM133B	241.19	303.44	429.54	521.76	267.73	336.79	248.0	341.51	387.02	368.65	395.18	325.29	473.41	301.33	246.28	368.65	277.2	493.56	466.88	579.04	473.41	775.05	532.74	423.61	457.25	287.01	220.32	339.14	389.72	221.86	182.55	189.02	551.56	575.03
FES	30.56	209.84	301.33	169.07	113.56	141.02	178.77	201.25	403.5	226.54	507.46	246.28	420.68	53.57	39.22	13.03	59.97	579.04	336.79	688.78	397.93	759.08	507.46	1073.91	616.37	119.26	49.91	117.6	105.89	48.52	70.01	37.05	693.58	703.28
FIGN	0.0	14.24	9.2	26.67	10.31	11.64	7.34	23.76	82.87	12.83	54.72	30.12	35.0	11.21	1.48	34.26	3.06	34.26	37.59	111.21	70.01	66.18	40.93	38.4	23.76	0.0	0.78	2.05	3.56	0.04	5.5	0.0	18.7	30.56
FKBP1B	309.83	130.6	226.54	97.36	102.25	145.02	171.45	376.41	180.02	190.34	587.13	190.34	297.17	43.32	31.67	96.68	53.19	371.22	334.46	785.88	205.5	651.58	1225.22	320.8	267.73	155.5	68.55	148.09	152.28	70.51	92.7	191.67	165.57	143.01
FLT4	21.47	132.44	113.56	94.01	49.21	183.82	76.17	87.03	283.05	161.02	417.77	167.9	239.52	10.39	21.78	21.01	26.1	444.72	543.96	466.88	193.01	309.83	642.59	518.15	363.56	6.06	139.07	96.01	31.22	23.59	29.48	37.05	563.18	343.89
FZD4	12.27	104.42	80.57	59.97	39.79	73.54	40.64	120.1	395.18	139.07	454.09	111.99	303.44	15.68	21.47	12.93	26.1	595.34	267.73	555.41	483.38	256.78	325.29	248.0	307.69	28.24	18.97	28.65	53.95	19.97	33.06	22.75	409.15	392.44
GAB3	1.39	56.28	97.36	57.89	32.13	45.53	57.08	57.49	88.88	43.63	102.25	35.5	91.41	3.44	3.63	2.39	5.92	171.45	397.93	555.41	928.3	518.15	199.85	438.59	231.32	16.75	18.7	26.1	13.42	17.25	3.59	9.48	198.47	228.13
GBGT1	22.92	36.27	33.78	32.13	24.46	36.01	37.32	143.01	159.9	150.17	237.86	249.73	223.41	10.63	16.27	7.22	21.94	223.41	226.54	591.22	406.31	281.09	231.32	642.59	387.02	198.47	22.43	87.03	138.1	34.02	59.97	38.67	316.37	267.73
GLCCI1	56.68	90.14	126.12	81.14	75.64	65.72	93.35	144.01	193.01	137.14	187.71	107.38	239.52	10.08	13.32	5.06	46.84	599.49	941.27	543.96	1037.29	733.19	988.12	1498.22	559.28	19.82	16.15	13.72	52.08	48.87	47.84	33.06	941.27	532.74
GNPTG	791.35	1044.52	1037.29	1081.39	759.08	830.75	1225.22	1304.15	1437.15	1199.98	1819.35	1008.9	1369.04	813.63	866.07	1030.12	961.07	1721.16	1781.89	2701.35	3103.19	1378.57	1977.24	2645.74	1832.01	759.08	559.28	674.59	1066.48	679.29	896.64	633.73	1950.0	2502.97
GOLGA8R	1.6	23.59	17.9	23.76	35.0	10.88	39.79	35.5	44.25	18.97	43.63	43.32	80.57	2.48	0.0	0.0	4.7	94.67	43.94	36.53	80.57	94.01	23.93	44.25	115.16	2.46	24.63	3.99	7.82	1.73	8.38	1.19	193.01	162.14
GPR182	1.89	2.76	2.86	4.54	0.87	0.77	4.94	1.36	12.18	6.84	14.89	5.23	10.63	0.0	0.35	0.65	0.0	8.78	15.45	16.39	19.97	19.82	21.94	14.56	100.83	2.92	4.5	3.56	3.63	1.6	2.03	2.43	30.78	12.64
GPRASP1	9.2	63.89	52.82	58.71	34.26	21.01	53.95	94.01	175.07	77.79	180.02	62.12	153.34	2.25	2.76	2.63	6.67	151.22	161.02	241.19	209.84	255.0	175.07	70.51	141.02	1.35	5.45	17.13	17.13	8.85	8.99	4.24	521.76	400.71
GRAPL	22.92	33.78	56.68	24.99	8.85	4.28	42.41	29.91	96.01	14.03	67.59	15.34	65.72	1.99	2.48	3.41	1.75	49.21	46.5	144.01	162.14	153.34	125.24	120.1	438.59	1.28	4.03	1.43	5.15	2.39	2.32	0.0	236.21	18.29
HEMK1	316.37	260.38	366.09	190.34	279.14	190.34	297.17	454.09	312.0	260.38	547.75	376.41	486.75	112.77	223.41	185.11	283.05	483.38	599.49	612.11	540.19	607.87	854.13	708.18	438.59	269.6	201.25	389.72	389.72	241.19	260.38	153.34	713.11	633.73
HERC1	176.29	603.67	616.37	575.03	743.43	518.15	872.1	947.83	1199.98	947.83	748.61	591.22	1015.93	267.73	211.31	325.29	432.53	974.5	1662.49	854.13	1286.18	1135.2	591.22	860.08	1242.34	277.2	514.56	665.29	665.29	540.19	607.87	202.66	1388.16	1135.2
IRAK3	1.91	49.56	36.01	50.27	20.71	35.5	27.84	135.24	281.09	51.71	231.32	33.06	303.44	5.19	11.73	14.35	5.87	191.67	85.22	400.71	204.07	139.07	65.26	208.38	212.78	22.26	2.23	18.16	23.59	1.99	9.78	14.67	105.89	53.57
JAK3	44.57	127.89	220.32	85.82	47.84	114.36	111.99	167.9	159.9	201.25	332.14	291.04	323.03	19.39	27.64	15.34	21.32	173.85	237.86	212.78	195.72	144.01	80.01	587.13	981.29	13.62	19.11	182.55	32.59	65.26	14.24	21.32	808.0	351.14
KIAA0430	371.22	403.5	476.71	473.41	441.64	444.72	406.31	599.49	728.11	497.0	629.35	555.41	669.92	187.71	175.07	217.27	154.42	708.18	928.3	624.99	785.88	1073.91	981.29	775.05	961.07	199.85	187.71	105.15	293.07	178.77	239.52	186.4	974.5	854.13
KIAA1107	24.63	19.25	32.13	40.64	33.54	22.59	15.34	33.06	35.0	19.11	59.55	39.79	31.22	8.65	2.73	6.31	6.26	45.85	47.5	75.11	57.89	100.83	80.01	77.79	36.79	14.03	7.88	5.92	19.68	5.41	10.96	3.63	66.65	76.17
KIAA1244	4.17	7.69	14.89	2.36	2.84	8.71	2.97	161.02	73.03	66.18	90.14	14.45	52.45	1.79	3.06	1.04	3.72	186.4	140.04	90.14	205.5	62.12	237.86	105.89	102.25	5.41	0.0	1.31	15.91	2.2	13.32	0.74	28.45	42.11
KRT4	3.697379928E7	1.810644424E7	2263304.65	6140819.49	2.276004283E7	3359929.59	3.109113511E7	185362.8	171754.88	329517.51	122293.5	156954.93	51417.5	45.21	1388.16	39.79	93325.55	1143.1	1561.89	612.11	1769.57	224.97	2303.12	3901.01	285.03	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	0.0	11.21
LCA5L	19.11	17.0	25.17	35.25	25.17	22.92	9.78	28.24	19.25	15.8	37.32	40.93	48.52	5.92	13.32	11.64	11.21	52.45	98.04	48.87	187.71	146.03	429.54	103.69	50.98	16.63	8.06	5.23	21.94	2.03	5.68	10.0	75.11	113.56
LILRB1	18.29	49.56	127.0	51.71	25.54	82.87	58.3	106.63	86.43	113.56	220.32	133.36	151.22	13.93	16.27	3.96	5.54	314.17	457.25	567.1	215.77	332.14	209.84	1008.9	830.75	11.13	0.84	32.36	27.84	17.9	4.21	1.1	497.0	154.42
LOXHD1	0.0	2.84	3.26	2.71	0.78	1.16	3.56	0.0	6.67	2.25	10.24	0.99	1.33	0.38	0.0	0.39	0.0	16.15	25.91	8.25	3.2	18.7	55.1	17.38	16.03	1.39	4.54	0.68	1.57	0.42	0.77	1.03	1.66	7.69
LRRC4B	45.85	79.45	57.49	13.03	21.63	47.17	39.79	52.08	64.8	120.1	148.09	61.25	45.21	1.91	4.54	3.99	13.42	61.25	129.69	170.25	47.84	291.04	175.07	105.15	68.07	1.19	20.11	29.27	4.21	44.25	7.28	7.11	47.5	94.67
LZTFL1	113.56	236.21	237.86	239.52	209.84	206.94	161.02	287.01	260.38	265.87	265.87	246.28	303.44	153.34	208.38	155.5	224.97	473.41	813.63	351.14	599.49	587.13	819.3	674.59	540.19	283.05	256.78	206.94	265.87	145.02	156.59	151.22	503.95	420.68
MCOLN1	341.51	679.29	674.59	426.57	540.19	633.73	563.18	429.54	518.15	397.93	866.07	420.68	532.74	389.72	463.65	185.11	363.56	775.05	633.73	1407.55	830.75	1044.52	909.17	1733.13	1119.56	529.06	255.0	242.88	348.71	314.17	341.51	420.68	470.14	450.94
MFSD7	190.34	127.0	108.9	53.19	74.58	128.79	127.0	273.37	854.13	127.89	368.65	141.02	153.34	23.42	18.43	1.87	24.99	312.0	381.68	693.58	769.69	256.78	412.0	406.31	283.05	71.0	34.51	44.25	126.12	16.75	84.04	42.41	198.47	536.45
MGAT3	5.96	34.75	87.65	14.89	9.78	56.68	25.72	22.92	90.77	49.56	223.41	57.08	156.59	1.83	1.93	1.17	5.06	665.29	708.18	297.17	183.82	186.4	902.89	454.09	414.87	3.69	11.04	50.27	6.11	66.18	4.98	11.3	85.82	129.69
MYO1F	36.79	201.25	218.79	191.67	140.04	185.11	172.65	191.67	312.0	389.72	476.71	217.27	450.94	36.01	31.67	10.79	47.5	842.36	1216.75	1225.22	947.83	1561.89	1199.98	2935.74	1250.98	118.43	63.0	100.13	104.42	60.39	48.87	28.24	836.53	981.29
NOSTRIN	35.25	89.51	237.86	64.8	55.89	149.12	81.71	248.0	1159.07	267.73	738.29	110.43	583.07	16.51	17.13	6.26	28.04	759.08	1508.65	2090.03	409.15	273.37	559.28	260.38	665.29	29.7	33.78	40.36	43.02	22.75	51.35	32.82	426.57	624.99
NR2F2	38.12	293.07	305.55	156.59	104.42	180.02	90.14	309.83	1143.1	819.3	1407.55	514.56	947.83	84.04	108.9	130.6	98.73	1081.39	1127.35	1286.18	825.0	2047.0	1322.37	995.0	819.3	88.88	165.57	111.21	182.55	132.44	71.5	109.66	1119.56	1794.29
NR5A2	5.82	36.27	50.98	19.39	14.78	50.98	9.93	10.47	33.54	24.99	111.99	11.13	28.04	1.73	4.24	1.08	3.92	28.04	84.63	115.97	59.55	72.01	31.22	35.0	57.89	2.58	14.35	8.71	5.02	2.58	4.62	4.74	40.93	38.12
OFD1	483.38	348.71	507.46	555.41	392.44	420.68	305.55	743.43	764.36	389.72	1037.29	728.11	896.64	373.81	101.54	112.77	264.03	665.29	463.65	688.78	941.27	723.08	1350.18	599.49	896.64	143.01	291.04	206.94	376.41	220.32	316.37	218.79	1183.45	1073.91
PAK3	0.05	1.1	4.43	0.38	0.06	0.0	0.53	17.25	31.9	3.38	33.06	3.5	30.12	0.59	0.0	0.59	1.33	11.82	17.77	3.11	44.57	30.12	7.06	81.71	17.77	0.13	0.0	0.38	2.97	0.03	2.46	0.0	143.01	31.0
PBLD	34.26	16.51	84.04	12.27	13.42	19.68	18.56	84.04	182.55	77.79	56.68	51.35	92.05	27.64	30.34	18.03	10.79	87.65	109.66	99.43	209.84	79.45	115.97	137.14	102.25	31.45	24.46	5.87	40.93	20.71	44.89	19.68	77.25	78.89
PIK3R6	7.22	40.93	41.52	63.45	35.25	23.93	52.45	44.57	13.83	40.36	58.3	30.34	57.08	4.66	5.63	1.22	5.68	48.52	194.36	131.51	103.69	435.55	165.57	229.72	88.26	10.88	9.56	23.25	13.52	9.13	5.06	4.28	69.52	29.7
PIWIL4	0.49	28.24	94.01	17.13	13.93	22.59	28.45	36.53	67.59	16.39	114.36	29.06	80.01	5.92	2.32	6.31	5.82	42.41	65.72	197.09	150.17	125.24	94.01	127.0	98.04	4.82	0.62	4.5	6.01	3.89	5.45	2.97	85.22	68.07
PLCB2	100.13	226.54	351.14	224.97	129.69	190.34	193.01	297.17	426.57	358.54	567.1	190.34	500.46	40.93	22.1	17.77	29.06	1015.93	3103.19	3443.31	2367.9	2502.97	1447.15	2255.7	1286.18	72.01	70.51	75.11	97.36	68.07	47.5	31.0	1350.18	1127.35
POLR3GL	267.73	525.39	624.99	480.04	414.87	454.09	432.53	629.35	802.41	529.06	674.59	521.76	679.29	441.64	384.34	314.17	234.57	1295.13	1259.69	1467.37	2367.9	1529.73	1583.71	1111.82	1151.06	753.83	463.65	323.03	409.15	307.69	343.89	358.54	1250.98	1081.39
PTK2B	1023.0	547.75	866.07	529.06	376.41	559.28	444.72	915.51	1487.87	525.39	1233.75	728.11	1183.45	299.25	540.19	769.69	165.57	988.12	1369.04	1487.87	3928.15	500.46	420.68	1617.0	2178.83	158.79	126.12	361.04	532.74	236.21	309.83	234.57	1175.27	1151.06
PTPRN2	29.7	9.48	27.44	2.71	2.66	7.4	8.13	189.02	97.36	76.17	154.42	42.71	80.57	7.06	5.59	2.01	10.88	142.01	536.45	105.15	567.1	116.78	1628.26	187.71	128.79	22.43	6.36	13.32	18.97	7.82	16.39	7.51	154.42	339.14
QPRT	18.56	133.36	49.56	38.4	27.25	23.08	29.91	150.17	521.76	126.12	518.15	63.89	113.56	28.86	8.92	40.36	16.39	397.93	848.22	1051.79	934.76	954.43	995.0	825.0	269.6	47.84	9.7	82.29	44.89	60.39	14.78	5.15	164.42	642.59
RASA4	351.14	638.15	718.08	540.19	206.94	409.15	389.72	518.15	738.29	728.11	1233.75	616.37	1369.04	78.89	133.36	180.02	149.12	532.74	708.18	1167.14	1135.2	688.78	688.78	915.51	974.5	142.01	248.0	403.5	234.57	444.72	202.66	152.28	1088.92	759.08
RASA4B	115.16	232.94	341.51	223.41	75.11	148.09	99.43	158.79	309.83	301.33	819.3	164.42	595.34	31.45	63.0	122.64	43.63	305.55	381.68	974.5	813.63	217.27	255.0	665.29	587.13	80.57	71.5	173.85	51.71	173.85	98.04	46.5	332.14	493.56
RASAL3	80.57	108.9	190.34	107.38	64.34	115.16	155.5	305.55	329.84	275.28	679.29	348.71	463.65	19.11	17.64	7.06	34.02	327.56	2032.85	633.73	1605.83	299.25	708.18	884.29	961.07	17.9	58.71	180.02	53.57	171.45	11.47	16.39	1119.56	713.11
RASGRP3	39.5	57.49	127.89	34.51	21.47	85.22	52.82	44.57	112.77	115.16	299.25	58.71	80.01	12.55	27.64	9.78	24.11	141.02	638.15	260.38	242.88	119.26	170.25	447.82	503.95	31.22	19.39	12.93	46.84	23.08	35.5	8.19	490.14	450.94
RASSF1	392.44	490.14	819.3	441.64	403.5	633.73	473.41	532.74	620.67	503.95	743.43	642.59	728.11	246.28	232.94	318.57	336.79	1322.37	1191.69	941.27	802.41	1066.48	1950.0	723.08	1233.75	271.48	236.21	223.41	214.27	170.25	193.01	150.17	947.83	1277.29
RBM26	366.09	441.64	559.28	607.87	435.55	412.0	384.34	738.29	866.07	638.15	624.99	595.34	961.07	323.03	438.59	412.0	343.89	703.28	718.08	785.88	759.08	1096.5	507.46	693.58	775.05	151.22	332.14	249.73	262.2	307.69	262.2	205.5	764.36	612.11
RGN	5.11	22.59	17.13	9.93	11.21	10.71	32.36	94.01	214.27	81.71	303.44	50.98	92.05	0.0	1.66	1.58	6.01	305.55	412.0	2895.31	1167.14	316.37	878.17	217.27	309.83	13.72	5.54	32.13	15.11	15.68	13.32	4.1	406.31	497.0
