	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.D8.A1JP.01A.11R.A13Q.07	TCGA.BH.A1EV.11A.24R.A137.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.CZ.5463.01A.01R.1503.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.DZ.6131.01A.11R.1965.07	TCGA.G7.7501.01A.11R.2204.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.CC.A9FS.01A.11R.A37K.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.DD.A1EB.01A.11R.A131.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.DD.AAW2.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A3R2.01A.11R.A22L.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.ZP.A9D2.01A.11R.A38B.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.FV.A2QR.01A.11R.A213.07	TCGA.DD.A4NK.01A.11R.A28V.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.A11A.01A.11R.A131.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.2Y.A9HB.01A.11R.A39D.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.2Y.A9H0.01A.11R.A38B.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.DD.A11B.01A.11R.A131.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.DD.A1EK.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.DD.A115.01A.11R.A131.07	TCGA.DD.AAW3.01A.11R.A41C.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.5R.AA1D.01A.11R.A38B.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.RC.A7SB.01A.21R.A352.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A1EI.11A.11R.A131.07	TCGA.DD.A1EL.11A.11R.A155.07	TCGA.DD.A114.11A.12R.A131.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11GSP.0626.SM.5986T	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.BK.A139.01A.11R.A277.07
CCNC	2777.33	2758.13	1685.71	2032.85	2739.08	1135.2	1277.29	2271.4	1340.84	1457.23	2075.59	1059.11	703.28	1159.07	1104.13	1304.15	521.76	559.28	2148.82	915.51	1417.35	703.28	878.17	1159.07	417.77	1295.13	463.65	567.1	532.74	764.36	536.45	547.75	358.54	480.04	830.75	2090.03	1059.11	866.07	532.74	1331.57	624.99	2400.97	2119.22	921.88	1066.48	764.36	713.11	1088.92	323.03	1519.15	708.18	1519.15	1143.1	332.14	540.19	1225.22	1322.37	470.14	2240.11	1467.37	1051.79	426.57	902.89	432.53	629.35	679.29	1313.23	361.04	521.76	896.64	1561.89	624.99	642.59	1605.83	1143.1	579.04	2018.8	438.59	1143.1	1277.29	511.0	1159.07	447.82	1008.9	1066.48	441.64	995.0	1096.5	1119.56	532.74	669.92	854.13	819.3	780.44	819.3	620.67	1295.13	854.13	860.08	738.29	915.51	743.43	1104.13	656.11	921.88	665.29	1477.58	679.29	733.19	616.37	854.13	728.11	791.35	902.89	1225.22	733.19	4066.71
CD164	16843.62	11112.3	10512.82	8840.04	20451.65	3325.99	3716.2	6381.92	5292.48	7857.29	11664.82	6840.04	3515.68	8134.41	8538.88	1407.55	981.29	2367.9	2537.92	2956.17	2468.49	1561.89	1143.1	2104.58	947.83	3325.99	1183.45	2061.24	1295.13	2090.03	3235.01	1331.57	1059.11	3280.18	3018.3	3955.48	2609.3	1583.71	1268.46	2451.44	2451.44	3742.05	4836.35	1639.59	1977.24	3443.31	1233.75	2303.12	1059.11	3716.2	1268.46	4419.52	3372.43	995.0	1467.37	2835.7	4123.49	1950.0	4607.24	4736.79	1870.53	1388.16	2148.82	928.3	1844.76	1757.34	2855.44	1037.29	1369.04	3235.01	3540.14	1819.35	1015.93	3874.05	3768.09	1225.22	4575.41	1104.13	3395.89	1963.57	1143.1	2255.7	1216.75	3081.75	3235.01	1936.53	2520.38	2573.36	3665.02	2976.74	2609.3	2739.08	1923.14	3768.09	4010.71	4836.35	4358.66	2555.58	3901.01	3124.78	3690.52	1651.0	3060.45	4388.98	7081.29	4210.15	4575.41	3212.66	2720.15	3982.99	2645.74	3372.43	2875.3	4038.61	3515.68	3419.52	7537.18
CDC40	532.74	703.28	540.19	1437.15	759.08	214.27	248.0	426.57	450.94	327.56	579.04	379.04	279.14	423.61	346.29	90.14	75.64	91.41	249.73	241.19	226.54	146.03	94.67	172.65	97.36	215.77	94.67	103.69	93.35	167.9	146.03	119.26	77.25	195.72	195.72	277.2	228.13	96.01	106.63	162.14	131.51	267.73	376.41	135.24	96.68	193.01	98.73	195.72	43.32	236.21	101.54	273.37	212.78	88.88	84.63	221.86	223.41	115.97	325.29	271.48	151.22	87.03	198.47	82.87	85.22	93.35	153.34	88.26	85.82	167.9	251.48	86.43	84.04	246.28	248.0	91.41	170.25	93.35	269.6	113.56	115.16	163.28	88.88	157.68	199.85	106.63	206.94	258.57	249.73	152.28	101.54	156.59	224.97	152.28	205.5	178.77	318.57	241.19	251.48	239.52	361.04	155.5	206.94	173.85	195.72	164.42	287.01	234.57	202.66	170.25	162.14	138.1	166.73	102.97	172.65	229.72	660.68
CDK19	575.03	583.07	376.41	490.14	255.0	90.14	73.03	58.3	571.05	153.34	447.82	187.71	142.01	246.28	163.28	43.02	35.0	52.45	92.05	90.77	94.67	48.18	37.32	100.13	51.35	95.34	42.41	72.01	43.63	197.09	76.71	56.28	30.12	91.41	76.17	400.71	108.9	60.39	43.02	73.54	58.3	89.51	193.01	65.26	50.98	126.12	73.54	64.8	26.86	115.97	48.87	224.97	96.01	25.91	46.5	138.1	167.9	53.19	161.02	139.07	63.45	34.02	86.43	31.22	38.67	69.52	151.22	36.01	43.94	126.12	94.01	57.89	39.79	145.02	123.5	37.85	89.51	27.64	115.97	47.84	57.49	74.58	43.94	50.27	70.51	41.52	71.0	76.71	98.73	116.78	61.68	60.82	197.09	123.5	149.12	78.34	92.05	92.7	91.41	96.68	156.59	93.35	88.88	125.24	116.78	62.12	152.28	113.56	98.04	76.71	81.14	34.51	99.43	48.18	122.64	57.08	518.15
CEP85L	50.27	22.1	84.04	395.18	65.26	25.91	31.0	47.84	54.72	24.46	82.87	28.86	33.54	23.42	19.82	6.94	5.92	7.69	17.77	12.0	15.11	21.32	1.1	15.0	5.73	25.91	13.32	9.06	10.63	19.39	15.22	7.82	9.2	43.02	17.9	29.7	16.15	13.22	10.79	9.78	14.78	7.63	32.59	11.64	2.73	23.59	8.45	13.22	5.11	33.78	1.11	46.5	15.22	12.0	13.42	11.91	18.7	11.13	29.91	43.02	10.31	6.31	12.93	4.62	16.27	13.42	21.63	5.28	8.19	14.24	16.51	16.39	5.23	45.53	35.25	12.36	18.29	7.28	21.63	5.96	7.34	24.63	8.32	24.99	16.51	13.12	24.46	24.81	27.64	35.76	24.11	21.94	78.34	19.11	37.32	23.59	57.49	18.03	18.97	23.93	54.72	2.1	57.08	56.28	30.78	15.8	39.5	18.97	11.47	27.25	32.13	27.64	32.59	10.63	26.28	14.35	191.67
DIS3	483.38	400.71	656.11	1096.5	457.25	214.27	223.41	237.86	599.49	262.2	674.59	297.17	301.33	314.17	329.84	164.42	205.5	90.14	239.52	228.13	341.51	98.04	185.11	125.24	183.82	197.09	153.34	121.79	71.5	115.16	134.3	105.89	53.57	164.42	173.85	389.72	205.5	159.9	232.94	104.42	197.09	293.07	231.32	178.77	170.25	112.77	178.77	204.07	97.36	251.48	108.9	275.28	185.11	120.94	158.79	157.68	209.84	123.5	260.38	224.97	96.01	96.68	156.59	86.43	73.54	131.51	327.56	106.63	163.28	159.9	120.1	78.34	173.85	244.57	241.19	82.29	151.22	169.07	217.27	78.34	180.02	204.07	148.09	169.07	155.5	89.51	198.47	209.84	209.84	193.01	115.16	130.6	191.67	148.09	166.73	204.07	158.79	64.34	232.94	143.01	141.02	173.85	137.14	150.17	178.77	201.25	172.65	249.73	87.65	177.53	111.99	132.44	253.23	102.25	154.42	212.78	507.46
DOPEY1	327.56	119.26	444.72	490.14	332.14	151.22	153.34	129.69	275.28	164.42	305.55	218.79	193.01	156.59	293.07	62.56	30.34	75.64	96.68	95.34	154.42	45.21	68.55	71.5	29.91	114.36	37.85	112.77	40.64	90.14	115.16	31.0	29.06	147.06	96.01	155.5	89.51	45.53	74.58	42.41	47.17	106.63	122.64	64.8	96.68	93.35	40.36	96.68	11.82	102.97	30.12	97.36	105.89	21.32	22.59	74.06	87.65	40.07	118.43	122.64	53.19	30.78	65.72	32.36	17.9	22.75	152.28	26.28	48.87	78.89	82.87	47.84	37.59	220.32	102.25	42.41	38.95	48.87	194.36	50.63	53.19	87.03	39.22	70.51	80.01	39.5	115.16	115.16	145.02	115.16	72.01	85.22	172.65	109.66	164.42	57.49	87.03	80.01	66.65	128.79	130.6	74.06	114.36	148.09	156.59	81.14	144.01	150.17	74.06	62.12	107.38	112.77	118.43	22.1	90.77	56.68	651.58
DYNLT1	8479.89	8538.88	3742.05	3847.29	4388.98	1674.06	1857.6	7032.37	4239.45	3874.05	3257.52	2520.38	5555.65	7857.29	3235.01	1135.2	738.29	1250.98	1617.0	2319.15	1561.89	1781.89	1242.34	2133.97	708.18	2193.99	1250.98	1832.01	1119.56	3372.43	2075.59	884.29	1340.84	2319.15	2758.13	2627.46	1896.65	1175.27	579.04	1923.14	1286.18	1639.59	5441.3	1583.71	1427.22	1216.75	1721.16	2384.37	563.18	2417.67	967.76	2537.92	1896.65	1037.29	1151.06	1832.01	2609.3	961.07	1757.34	2627.46	2119.22	896.64	1340.84	1088.92	1733.13	1697.45	1322.37	1350.18	1167.14	2240.11	1674.06	1159.07	902.89	2209.26	2835.7	3280.18	3372.43	896.64	1745.2	3081.75	518.15	2178.83	1870.53	2075.59	1794.29	1487.87	1857.6	2133.97	3491.39	2367.9	2255.7	1066.48	1295.13	1059.11	1059.11	1745.2	1819.35	2047.0	1819.35	1111.82	981.29	884.29	2303.12	1437.15	890.44	1936.53	1572.76	1340.84	3768.09	2537.92	1286.18	1477.58	1359.57	1437.15	2209.26	1857.6	2255.7
ECHDC1	500.46	1447.15	1857.6	1950.0	2148.82	1183.45	1605.83	1388.16	1651.0	1977.24	1457.23	1781.89	860.08	1359.57	1883.54	579.04	454.09	420.68	1806.78	1322.37	854.13	780.44	363.56	1037.29	490.14	1277.29	595.34	450.94	679.29	890.44	743.43	813.63	547.75	571.05	928.3	1697.45	1073.91	525.39	587.13	915.51	164.42	1191.69	1950.0	733.19	595.34	759.08	775.05	1350.18	500.46	1259.69	728.11	1378.57	1268.46	392.44	718.08	954.43	1277.29	397.93	1745.2	1529.73	808.0	242.88	941.27	493.56	540.19	629.35	1167.14	525.39	575.03	848.22	1594.73	373.81	525.39	1242.34	1709.26	92.7	1359.57	571.05	1250.98	728.11	100.13	1015.93	551.56	1119.56	1208.34	698.41	1322.37	1467.37	1304.15	1096.5	1427.22	423.61	748.61	1477.58	400.71	403.5	1447.15	1950.0	2895.31	796.86	780.44	1963.57	842.36	1023.0	665.29	1427.22	1037.29	1806.78	738.29	1066.48	764.36	713.11	1175.27	2335.28	642.59	3303.0	1963.57
EPB41L2	500.46	551.56	2004.85	5831.91	2148.82	334.46	228.13	603.67	1088.92	674.59	941.27	503.95	1066.48	728.11	490.14	713.11	81.14	109.66	158.79	420.68	114.36	82.87	72.01	460.44	111.99	244.57	154.42	148.09	139.07	295.11	178.77	157.68	67.12	647.07	334.46	1208.34	194.36	299.25	115.16	281.09	178.77	323.03	361.04	215.77	92.7	289.02	195.72	220.32	35.76	409.15	84.63	476.71	409.15	95.34	253.23	463.65	514.56	149.12	154.42	669.92	366.09	70.01	111.99	71.0	165.57	215.77	223.41	91.41	104.42	325.29	551.56	299.25	95.34	660.68	995.0	166.73	186.4	134.3	435.55	75.64	76.71	105.15	205.5	258.57	277.2	131.51	264.03	295.11	387.02	941.27	249.73	102.25	693.58	98.73	201.25	511.0	214.27	151.22	381.68	113.56	351.14	65.26	197.09	500.46	435.55	387.02	384.34	620.67	183.82	723.08	172.65	224.97	291.04	57.08	232.94	152.28	4210.15
EXOC5	1540.37	547.75	961.07	2303.12	878.17	176.29	307.69	447.82	400.71	454.09	1417.35	476.71	361.04	381.68	454.09	90.14	180.02	162.14	253.23	281.09	244.57	119.26	140.04	220.32	144.01	140.04	163.28	164.42	167.9	241.19	143.01	202.66	105.15	325.29	186.4	303.44	223.41	183.82	161.02	100.83	181.28	187.71	371.22	97.36	125.24	228.13	158.79	146.03	112.77	291.04	121.79	607.87	223.41	95.34	158.79	232.94	138.1	129.69	409.15	237.86	172.65	81.14	159.9	120.94	194.36	153.34	403.5	99.43	170.25	158.79	217.27	157.68	74.58	371.22	281.09	130.6	180.02	92.05	297.17	111.21	158.79	220.32	102.25	157.68	176.29	51.35	373.81	186.4	277.2	253.23	122.64	92.7	198.47	145.02	156.59	277.2	181.28	126.12	281.09	104.42	183.82	134.3	226.54	239.52	162.14	309.83	162.14	318.57	144.01	303.44	146.03	147.06	244.57	90.14	88.26	248.0	813.63
FAM120B	665.29	660.68	525.39	718.08	698.41	309.83	232.94	351.14	441.64	301.33	497.0	384.34	346.29	547.75	409.15	130.6	80.57	97.36	414.87	285.03	332.14	409.15	92.7	185.11	112.77	249.73	148.09	161.02	90.77	215.77	170.25	102.97	131.51	220.32	253.23	341.51	133.36	127.0	130.6	145.02	175.07	197.09	285.03	158.79	144.01	146.03	116.78	241.19	94.01	307.69	115.16	447.82	237.86	108.9	92.7	195.72	195.72	145.02	271.48	267.73	190.34	127.0	194.36	120.94	98.73	170.25	289.02	149.12	116.78	156.59	264.03	141.02	138.1	205.5	285.03	224.97	189.02	123.5	242.88	173.85	123.5	356.05	158.79	202.66	164.42	158.79	198.47	209.84	246.28	309.83	176.29	368.65	316.37	158.79	260.38	293.07	173.85	109.66	202.66	228.13	220.32	68.55	246.28	246.28	204.07	215.77	214.27	249.73	156.59	251.48	295.11	295.11	305.55	82.87	242.88	229.72	497.0
FBXL3	813.63	954.43	1757.34	3395.89	2193.99	429.54	334.46	423.61	974.5	909.17	1295.13	1008.9	571.05	616.37	848.22	187.71	249.73	155.5	327.56	438.59	334.46	153.34	181.28	193.01	283.05	241.19	239.52	149.12	147.06	470.14	162.14	149.12	95.34	460.44	229.72	466.88	466.88	251.48	373.81	142.01	363.56	400.71	426.57	275.28	202.66	251.48	251.48	249.73	121.79	384.34	120.1	480.04	346.29	147.06	323.03	205.5	307.69	237.86	327.56	406.31	111.21	195.72	208.38	87.65	206.94	217.27	620.67	167.9	231.32	231.32	228.13	143.01	220.32	435.55	532.74	128.79	197.09	281.09	438.59	94.67	307.69	346.29	224.97	332.14	316.37	90.77	361.04	334.46	356.05	555.41	332.14	159.9	185.11	231.32	334.46	567.1	463.65	305.55	518.15	346.29	392.44	336.79	281.09	237.86	540.19	417.77	540.19	511.0	199.85	514.56	255.0	260.38	441.64	241.19	199.85	414.87	543.96
FBXL4	332.14	447.82	291.04	417.77	239.52	172.65	256.78	155.5	316.37	281.09	339.14	312.0	275.28	327.56	303.44	161.02	73.03	78.89	144.01	209.84	258.57	144.01	93.35	162.14	99.43	148.09	100.13	67.12	105.15	137.14	162.14	86.43	72.52	112.77	135.24	218.79	135.24	111.99	65.26	147.06	71.0	171.45	242.88	103.69	120.94	376.41	88.88	175.07	64.34	204.07	103.69	208.38	198.47	63.45	71.5	201.25	202.66	62.12	218.79	145.02	119.26	64.8	170.25	108.14	88.88	95.34	189.02	85.82	99.43	138.1	197.09	82.29	119.26	201.25	139.07	100.13	157.68	78.89	231.32	108.9	84.04	214.27	79.45	131.51	146.03	121.79	205.5	197.09	205.5	167.9	189.02	253.23	166.73	195.72	198.47	185.11	229.72	205.5	191.67	202.66	244.57	205.5	156.59	264.03	285.03	171.45	341.51	131.51	175.07	202.66	165.57	115.97	327.56	171.45	117.6	241.19	532.74
FBXO30	147.06	157.68	161.02	579.04	223.41	44.57	31.45	102.97	89.51	90.14	209.84	97.36	65.26	78.89	113.56	23.93	17.25	33.06	46.84	50.98	34.02	26.47	15.68	40.64	18.03	47.84	54.33	15.56	26.47	57.08	36.01	19.11	12.45	67.59	31.0	105.15	39.22	22.59	16.51	19.82	29.27	36.01	94.01	41.52	17.9	38.4	15.34	34.26	17.9	88.88	11.91	99.43	42.11	15.0	24.99	33.06	58.71	23.93	55.1	94.01	25.35	16.51	28.86	10.39	28.24	29.48	51.71	19.97	21.94	44.25	46.84	16.88	23.42	69.52	62.56	18.16	35.5	18.43	55.89	20.41	14.45	47.5	22.92	30.78	31.22	15.68	27.44	33.54	43.32	43.32	22.75	17.9	27.25	19.53	37.85	39.5	42.41	13.93	27.25	28.86	25.72	62.56	39.79	25.54	25.72	20.56	55.1	29.91	32.36	39.5	26.86	24.11	34.02	5.96	17.13	37.85	307.69
FGFR1OP	753.83	490.14	264.03	373.81	309.83	343.89	353.59	277.2	1008.9	279.14	299.25	299.25	255.0	297.17	277.2	149.12	94.67	72.01	441.64	327.56	493.56	115.16	115.16	269.6	94.67	244.57	132.44	226.54	125.24	197.09	218.79	193.01	117.6	206.94	435.55	392.44	105.89	92.05	214.27	269.6	101.54	273.37	571.05	253.23	129.69	318.57	190.34	426.57	60.39	379.04	173.85	688.78	379.04	78.89	80.57	339.14	381.68	108.14	417.77	432.53	264.03	154.42	414.87	159.9	112.77	215.77	371.22	84.63	113.56	242.88	318.57	241.19	120.94	316.37	236.21	234.57	316.37	106.63	320.8	204.07	128.79	460.44	115.16	287.01	309.83	265.87	353.59	429.54	473.41	214.27	224.97	178.77	638.15	346.29	638.15	260.38	536.45	366.09	361.04	283.05	403.5	281.09	289.02	603.67	293.07	397.93	555.41	307.69	728.11	269.6	417.77	271.48	642.59	165.57	332.14	395.18	896.64
FGFR1OP2	813.63	480.04	1030.12	1950.0	902.89	493.56	406.31	1096.5	748.61	733.19	1044.52	603.67	728.11	674.59	723.08	135.24	275.28	395.18	420.68	463.65	373.81	275.28	299.25	409.15	241.19	251.48	285.03	239.52	295.11	314.17	384.34	157.68	157.68	703.28	297.17	813.63	366.09	435.55	220.32	229.72	316.37	397.93	444.72	223.41	279.14	323.03	175.07	194.36	165.57	291.04	135.24	447.82	309.83	264.03	500.46	435.55	406.31	314.17	329.84	543.96	441.64	198.47	265.87	214.27	314.17	229.72	309.83	251.48	307.69	387.02	387.02	353.59	316.37	490.14	575.03	241.19	490.14	154.42	521.76	267.73	314.17	291.04	303.44	368.65	406.31	140.04	327.56	406.31	426.57	447.82	361.04	258.57	616.37	348.71	409.15	435.55	417.77	318.57	414.87	201.25	348.71	293.07	348.71	473.41	309.83	318.57	587.13	325.29	379.04	507.46	384.34	384.34	518.15	144.01	341.51	389.72	947.83
FIG4	624.99	909.17	242.88	819.3	567.1	118.43	100.13	371.22	325.29	251.48	642.59	285.03	309.83	429.54	262.2	55.1	57.89	68.55	93.35	128.79	159.9	94.67	50.98	122.64	56.28	153.34	80.01	50.98	65.26	152.28	129.69	23.59	51.71	305.55	133.36	307.69	173.85	96.68	45.85	94.01	91.41	96.01	241.19	90.77	56.68	116.78	78.89	127.89	42.41	199.85	78.34	181.28	145.02	44.57	105.89	108.9	195.72	69.52	151.22	172.65	127.0	66.65	137.14	53.95	67.59	68.55	171.45	54.33	80.01	158.79	139.07	95.34	49.91	150.17	147.06	88.26	120.1	52.08	119.26	67.59	59.13	111.99	84.04	92.7	102.25	81.71	102.25	124.37	136.19	177.53	94.67	70.51	102.97	72.52	104.42	131.51	90.77	100.13	176.29	115.97	164.42	70.51	113.56	150.17	127.89	139.07	119.26	111.99	94.67	172.65	49.56	48.87	98.04	70.51	86.43	172.65	400.71
FOXO3	854.13	1119.56	921.88	547.75	698.41	336.79	255.0	269.6	624.99	490.14	457.25	511.0	441.64	486.75	368.65	99.43	169.07	113.56	312.0	397.93	244.57	151.22	89.51	171.45	158.79	283.05	107.38	158.79	71.5	336.79	256.78	149.12	85.22	275.28	180.02	490.14	281.09	88.26	163.28	172.65	124.37	229.72	283.05	138.1	164.42	218.79	157.68	329.84	68.07	307.69	116.78	612.11	253.23	87.65	58.3	267.73	256.78	97.36	392.44	366.09	152.28	116.78	103.69	105.15	119.26	157.68	217.27	108.14	82.29	314.17	289.02	93.35	132.44	466.88	529.06	102.25	195.72	91.41	226.54	115.97	134.3	231.32	111.21	253.23	299.25	153.34	221.86	267.73	223.41	246.28	291.04	108.14	289.02	101.54	305.55	185.11	260.38	175.07	164.42	231.32	242.88	194.36	241.19	343.89	205.5	165.57	297.17	244.57	239.52	218.79	199.85	346.29	339.14	486.75	193.01	134.3	842.36
FUCA2	1233.75	2090.03	981.29	1651.0	1159.07	684.02	813.63	4066.71	1617.0	1781.89	1437.15	1183.45	3794.3	4328.55	1259.69	620.67	279.14	392.44	1508.65	1304.15	1369.04	921.88	327.56	1151.06	334.46	1417.35	836.53	612.11	854.13	1605.83	1508.65	651.58	525.39	1583.71	1183.45	3103.19	1268.46	379.04	229.72	1769.57	343.89	1498.22	2417.67	651.58	441.64	1295.13	1359.57	830.75	624.99	1819.35	1487.87	1561.89	1037.29	329.84	1111.82	1151.06	2384.37	470.14	1242.34	1378.57	928.3	612.11	1605.83	540.19	642.59	928.3	1378.57	665.29	511.0	1208.34	981.29	435.55	450.94	1457.23	1378.57	928.3	2075.59	842.36	1015.93	209.84	137.14	1143.1	674.59	802.41	961.07	1088.92	1159.07	1111.82	1151.06	1216.75	947.83	351.14	665.29	759.08	470.14	1216.75	928.3	1030.12	1242.34	486.75	591.22	1119.56	638.15	1015.93	769.69	1081.39	651.58	1427.22	947.83	974.5	738.29	780.44	819.3	693.58	1051.79	1457.23	2004.85
GCC2	974.5	271.48	836.53	532.74	616.37	191.67	157.68	351.14	872.1	363.56	1295.13	500.46	320.8	454.09	480.04	115.97	122.64	123.5	224.97	226.54	165.57	77.25	112.77	116.78	102.97	172.65	97.36	67.12	118.43	353.59	137.14	142.01	75.11	137.14	157.68	460.44	149.12	105.15	123.5	88.26	115.16	176.29	72.01	147.06	75.11	182.55	63.45	147.06	60.39	246.28	67.12	224.97	147.06	78.89	105.15	208.38	217.27	66.18	258.57	291.04	98.04	110.43	100.13	79.45	115.16	102.97	232.94	60.82	120.1	171.45	157.68	100.83	79.45	312.0	209.84	96.01	96.01	101.54	267.73	111.21	145.02	127.0	71.0	105.15	145.02	21.63	156.59	178.77	171.45	178.77	125.24	64.34	303.44	67.12	195.72	253.23	164.42	83.45	226.54	121.79	176.29	60.82	199.85	221.86	189.02	85.22	223.41	144.01	103.69	221.86	161.02	135.24	137.14	107.38	172.65	129.69	780.44
GINM1	1388.16	1427.22	1594.73	2682.69	2255.7	571.05	638.15	1757.34	1870.53	2133.97	2319.15	2047.0	1268.46	2384.37	2209.26	253.23	201.25	371.22	463.65	693.58	836.53	633.73	373.81	567.1	275.28	866.07	265.87	395.18	395.18	463.65	392.44	279.14	269.6	854.13	665.29	825.0	575.03	346.29	265.87	414.87	454.09	412.0	1216.75	406.31	320.8	381.68	343.89	493.56	237.86	571.05	379.04	583.07	723.08	373.81	346.29	493.56	514.56	363.56	802.41	808.0	563.18	299.25	764.36	301.33	277.2	406.31	921.88	262.2	217.27	299.25	567.1	483.38	232.94	723.08	884.29	368.65	769.69	246.28	769.69	450.94	314.17	454.09	343.89	551.56	591.22	444.72	525.39	633.73	764.36	941.27	679.29	312.0	563.18	620.67	486.75	651.58	854.13	693.58	974.5	441.64	490.14	718.08	466.88	728.11	698.41	890.44	332.14	848.22	660.68	728.11	607.87	575.03	583.07	543.96	514.56	902.89	1427.22
