	TCGA.GI.A2C8.11A.22R.A16F.07	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.CV.7406.11A.01R.2081.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.6939.11A.01R.1915.07	GTEX.QDVN.1626.SM.48TZC	GTEX.P4QS.1126.SM.3NMD5	TCGA.B2.5639.01A.01R.1541.07	TCGA.CZ.5470.01A.01R.1503.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.B0.5701.01A.11R.1541.07	TCGA.CZ.4859.01A.02R.1426.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.DW.7841.01A.11R.A32Z.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.A57E.01A.11R.A26U.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.A4.7732.01A.11R.2139.07	TCGA.SX.A7SO.01A.11R.A355.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.BQ.5893.01A.11R.1592.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.IA.A83W.01A.11R.A355.07	TCGA.UZ.A9PU.01A.11R.A42S.07	TCGA.EV.5902.01A.11R.1592.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.BQ.5890.01A.11R.1592.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SN.01A.11R.A355.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.DW.5561.01A.01R.1592.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.F9.A8NY.01A.11R.A36F.07	TCGA.B3.A6W5.01A.12R.A33Z.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.5P.A9K0.01A.11R.A42S.07	TCGA.5P.A9KA.01A.11R.A42S.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.A4.7584.01A.11R.2139.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.2Z.A9JL.01A.11R.A42S.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.AL.3466.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.B3.4103.01A.02R.1351.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.G7.7502.01A.11R.2204.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.AL.3468.01A.02R.1351.07	TCGA.AT.A5NU.01A.11R.A28H.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.A4.A5DU.01A.11R.A28H.07	TCGA.Y8.A8RY.01A.11R.A37K.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.A4.8515.01A.11R.2404.07	TCGA.SX.A71W.01A.12R.A355.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.MH.A55W.01A.11R.A26U.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.A4.A772.01A.11R.A33Z.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.UZ.A9PX.01A.11R.A42S.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.B9.A8YH.01A.11R.A37K.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.B9.4113.01A.01R.1193.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.UZ.A9PS.01A.11R.A42S.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.2Z.A9JM.01A.12R.A42S.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.A4.A4ZT.01A.11R.A26U.07	TCGA.5P.A9K6.01A.11R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.Y8.A8S0.01A.11R.A37K.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	GTEX.1399T.0126.SM.5KM15	GTEX.OXRO.1226.SM.48TDL	GTEX.132AR.1526.SM.5KM1L
CSAD	109.66	1023.0	1781.89	130.6	264.03	100.13	80.57	181.28	100.13	56.68	148.09	256.78	154.42	713.11	108.9	112.77	82.29	191.67	1088.92	113.56	780.44	171.45	249.73	587.13	318.57	96.68	139.07	1051.79	698.41	353.59	825.0	61.68	1096.5	1498.22	647.07	540.19	723.08	450.94	95.34	334.46	483.38	616.37	1639.59	1233.75	323.03	1008.9	73.03	521.76	819.3	536.45	426.57	180.02	178.77	27.84	684.02	1059.11	819.3	563.18	543.96	1369.04	146.03	1088.92	66.18	559.28	108.9	1250.98	441.64	100.83	395.18	299.25	559.28	332.14	836.53	693.58	1498.22	660.68	121.79	813.63	947.83	87.03	170.25	1001.93	1183.45	156.59	85.82	525.39	147.06	43.02	1143.1	414.87	656.11	249.73	819.3	147.06	575.03	38.4	62.56	647.07	120.1	142.01	83.45	113.56	34.02	426.57	176.29	260.38	748.61	941.27	356.05	878.17	902.89	1674.06	1529.73	567.1	353.59	713.11	112.77	93.35	70.51	403.5	108.14	567.1	202.66	75.11	356.05	275.28	693.58	642.59	341.51	153.34	157.68	866.07	239.52	140.04	753.83	8.45	218.79	151.22	287.01	195.72	1001.93	559.28	638.15
CTD-3203P2.2	5.59	9.63	14.56	2.23	13.72	12.64	7.06	9.7	0.96	21.16	12.09	38.12	4.21	31.0	10.88	2.56	5.73	9.63	124.37	27.44	62.12	43.02	39.22	24.99	86.43	2.1	49.56	72.01	11.82	10.63	66.18	13.03	56.68	59.55	92.05	12.74	42.41	19.82	31.45	1.3	36.27	66.18	68.55	53.95	28.04	59.55	30.34	0.95	70.01	23.08	23.08	28.24	18.03	6.06	17.38	30.34	9.63	15.56	27.64	49.91	14.89	23.25	31.9	37.05	8.25	30.78	34.26	5.06	51.71	58.71	42.41	34.02	34.02	54.72	33.3	47.17	9.27	44.89	32.82	4.62	34.51	68.07	100.13	16.88	29.27	66.65	6.89	7.34	96.68	27.64	27.25	43.02	53.57	19.68	36.79	4.13	33.06	78.34	4.17	4.46	11.38	3.11	1.14	21.16	5.32	21.16	34.26	58.71	22.92	65.26	101.54	71.0	26.28	59.97	18.03	50.63	12.74	4.06	8.45	38.95	12.83	19.11	7.4	3.14	6.31	29.7	53.57	7.06	41.52	14.03	14.03	81.14	17.0	11.73	64.8	12.36	0.24	13.42	6.84	10.63	25.54	34.51	5.96
DENND3	55.89	166.73	289.02	46.18	81.71	162.14	173.85	173.85	281.09	251.48	392.44	208.38	334.46	718.08	256.78	351.14	201.25	325.29	854.13	236.21	684.02	379.04	733.19	332.14	414.87	170.25	239.52	896.64	397.93	486.75	748.61	236.21	1119.56	579.04	688.78	669.92	679.29	660.68	248.0	373.81	616.37	921.88	1225.22	909.17	195.72	974.5	454.09	543.96	387.02	483.38	961.07	176.29	486.75	567.1	571.05	723.08	500.46	514.56	497.0	802.41	466.88	825.0	191.67	447.82	389.72	1359.57	420.68	320.8	1127.35	647.07	723.08	525.39	612.11	660.68	1135.2	563.18	366.09	830.75	830.75	236.21	343.89	928.3	974.5	198.47	318.57	497.0	273.37	223.41	1143.1	836.53	718.08	327.56	457.25	624.99	591.22	348.71	150.17	536.45	295.11	507.46	327.56	299.25	275.28	441.64	595.34	450.94	1037.29	669.92	368.65	884.29	1277.29	921.88	1001.93	567.1	571.05	638.15	281.09	237.86	379.04	497.0	303.44	547.75	318.57	381.68	395.18	447.82	928.3	540.19	529.06	301.33	251.48	785.88	417.77	511.0	819.3	21.78	55.1	151.22	171.45	50.98	651.58	363.56	100.13
DENND6B	18.43	90.77	94.67	38.4	50.27	49.91	67.59	356.05	260.38	221.86	223.41	49.21	212.78	265.87	75.64	87.03	293.07	108.14	563.18	713.11	525.39	289.02	289.02	312.0	507.46	162.14	244.57	684.02	412.0	366.09	457.25	169.07	480.04	743.43	543.96	358.54	438.59	441.64	248.0	178.77	543.96	624.99	723.08	567.1	244.57	540.19	348.71	104.42	336.79	728.11	457.25	400.71	237.86	397.93	507.46	503.95	162.14	412.0	414.87	486.75	275.28	426.57	275.28	327.56	381.68	108.14	316.37	176.29	316.37	358.54	293.07	435.55	260.38	379.04	791.35	305.55	114.36	483.38	595.34	223.41	329.84	660.68	518.15	242.88	283.05	551.56	113.56	228.13	551.56	316.37	332.14	332.14	514.56	363.56	575.03	214.27	242.88	543.96	81.14	384.34	265.87	189.02	314.17	514.56	336.79	371.22	476.71	536.45	299.25	466.88	460.44	351.14	511.0	351.14	175.07	842.36	273.37	74.06	289.02	323.03	51.71	397.93	220.32	157.68	231.32	397.93	409.15	460.44	371.22	297.17	267.73	647.07	237.86	255.0	454.09	25.54	64.34	74.06	68.07	84.04	387.02	173.85	297.17
DFNB59	27.44	35.25	37.05	22.75	77.79	14.03	16.03	73.03	21.32	8.25	23.25	53.57	15.34	155.5	21.47	16.75	29.06	48.18	305.55	44.89	90.14	53.19	111.99	111.99	189.02	50.63	33.78	180.02	117.6	54.33	241.19	55.49	132.44	189.02	205.5	71.0	189.02	104.42	64.8	50.63	149.12	154.42	258.57	157.68	47.84	244.57	27.25	30.56	201.25	36.79	109.66	64.34	42.71	39.5	83.45	132.44	47.17	94.01	155.5	138.1	110.43	143.01	23.25	88.88	25.72	236.21	106.63	15.0	114.36	110.43	124.37	44.25	221.86	122.64	429.54	198.47	46.18	111.99	289.02	59.97	42.41	293.07	297.17	36.53	38.12	127.0	161.02	73.54	277.2	64.8	70.01	75.11	234.57	68.55	118.43	18.43	78.89	150.17	30.56	110.43	20.26	10.71	13.22	35.76	39.79	57.49	140.04	108.14	51.71	133.36	117.6	199.85	130.6	139.07	126.12	182.55	53.95	39.5	36.27	297.17	38.4	102.97	43.63	52.08	27.44	45.53	165.57	177.53	93.35	214.27	62.56	403.5	30.78	44.89	159.9	1.62	17.38	11.47	22.59	80.57	121.79	158.79	45.85
DMTF1	212.78	860.08	583.07	221.86	273.37	191.67	199.85	239.52	186.4	353.59	551.56	500.46	297.17	928.3	291.04	327.56	211.31	351.14	2796.65	205.5	1685.71	353.59	1259.69	665.29	483.38	132.44	265.87	2777.33	532.74	723.08	1991.0	371.22	1340.84	1119.56	2555.58	693.58	1369.04	559.28	297.17	529.06	708.18	1572.76	3103.19	2451.44	480.04	2591.27	309.83	387.02	872.1	624.99	1277.29	289.02	529.06	206.94	1051.79	1135.2	603.67	1001.93	555.41	1277.29	511.0	1322.37	119.26	896.64	229.72	2104.58	493.56	249.73	1250.98	1340.84	1769.57	629.35	1167.14	961.07	4671.57	1081.39	341.51	2193.99	1167.14	106.63	616.37	1794.29	2018.8	293.07	403.5	616.37	297.17	171.45	2287.2	316.37	563.18	733.19	1015.93	237.86	854.13	39.22	198.47	780.44	460.44	447.82	185.11	231.32	98.04	612.11	151.22	595.34	2032.85	1605.83	476.71	2240.11	1457.23	2061.24	1794.29	769.69	713.11	775.05	228.13	128.79	224.97	1044.52	236.21	1216.75	336.79	409.15	346.29	607.87	2032.85	1096.5	941.27	281.09	165.57	1519.15	309.83	400.71	1242.34	56.28	371.22	363.56	507.46	260.38	2555.58	1277.29	1407.55
DPH7	165.57	194.36	329.84	212.78	255.0	175.07	169.07	151.22	136.19	172.65	318.57	318.57	181.28	521.76	228.13	122.64	109.66	159.9	902.89	135.24	718.08	234.57	327.56	607.87	426.57	169.07	271.48	1015.93	318.57	287.01	591.22	258.57	624.99	769.69	738.29	389.72	599.49	507.46	194.36	197.09	476.71	728.11	878.17	878.17	432.53	1378.57	202.66	351.14	379.04	397.93	450.94	199.85	351.14	232.94	559.28	607.87	638.15	392.44	480.04	866.07	256.78	708.18	181.28	486.75	190.34	728.11	343.89	115.97	417.77	409.15	476.71	339.14	426.57	579.04	1628.26	521.76	187.71	660.68	563.18	220.32	255.0	669.92	934.76	314.17	194.36	395.18	305.55	136.19	759.08	511.0	460.44	256.78	432.53	395.18	379.04	248.0	255.0	521.76	173.85	348.71	201.25	181.28	170.25	441.64	190.34	262.2	693.58	514.56	366.09	660.68	547.75	890.44	947.83	624.99	373.81	540.19	236.21	143.01	133.36	536.45	139.07	698.41	131.51	182.55	521.76	318.57	759.08	435.55	441.64	316.37	301.33	665.29	327.56	373.81	559.28	67.12	376.41	281.09	228.13	231.32	780.44	620.67	884.29
DPY19L2	11.64	67.59	178.77	7.88	5.82	26.47	26.47	89.51	87.65	85.22	101.54	18.84	34.02	229.72	55.89	31.67	72.01	70.01	555.41	92.7	301.33	118.43	232.94	395.18	181.28	38.95	86.43	1359.57	220.32	152.28	490.14	4.94	708.18	450.94	438.59	316.37	329.84	215.77	81.71	493.56	244.57	293.07	915.51	808.0	152.28	660.68	39.22	127.89	287.01	161.02	336.79	67.12	94.01	52.45	351.14	486.75	497.0	277.2	241.19	624.99	121.79	796.86	25.17	281.09	81.14	514.56	170.25	66.18	343.89	173.85	176.29	128.79	1175.27	287.01	813.63	195.72	72.52	713.11	356.05	42.11	182.55	480.04	775.05	88.88	69.52	497.0	59.55	35.0	420.68	209.84	239.52	173.85	470.14	112.77	231.32	8.45	53.57	228.13	25.72	132.44	48.18	75.11	8.45	209.84	100.13	166.73	603.67	387.02	139.07	351.14	346.29	1313.23	743.43	215.77	198.47	551.56	92.05	28.86	43.32	285.03	74.58	366.09	89.51	72.01	53.19	118.43	371.22	463.65	204.07	110.43	42.71	435.55	72.01	88.88	463.65	0.01	16.39	17.64	22.59	23.76	728.11	255.0	253.23
EFHC1	33.78	175.07	82.29	50.98	62.56	31.0	61.68	180.02	81.71	287.01	177.53	50.98	228.13	358.54	89.51	175.07	104.42	281.09	633.73	176.29	460.44	232.94	295.11	309.83	529.06	95.34	221.86	406.31	204.07	206.94	612.11	155.5	647.07	669.92	612.11	166.73	529.06	395.18	100.13	265.87	571.05	507.46	775.05	1143.1	131.51	902.89	256.78	236.21	450.94	486.75	426.57	83.45	162.14	170.25	325.29	392.44	151.22	432.53	414.87	543.96	303.44	320.8	100.13	387.02	229.72	532.74	341.51	255.0	518.15	450.94	412.0	256.78	420.68	358.54	825.0	289.02	171.45	376.41	532.74	175.07	199.85	507.46	674.59	68.07	183.82	435.55	226.54	158.79	656.11	277.2	351.14	397.93	551.56	279.14	400.71	50.63	144.01	325.29	181.28	305.55	129.69	87.65	127.89	251.48	129.69	287.01	579.04	329.84	241.19	529.06	551.56	470.14	748.61	323.03	450.94	208.38	242.88	75.11	198.47	532.74	102.25	384.34	169.07	258.57	228.13	269.6	450.94	395.18	327.56	507.46	159.9	703.28	141.02	189.02	406.31	18.29	63.0	72.52	66.18	70.01	460.44	332.14	463.65
EGFL8	60.82	157.68	167.9	204.07	293.07	134.3	264.03	27.05	55.89	46.18	120.1	53.19	68.55	295.11	46.84	90.14	8.58	74.58	1015.93	24.46	334.46	63.89	249.73	316.37	441.64	33.54	66.65	698.41	137.14	297.17	769.69	132.44	769.69	493.56	551.56	212.78	454.09	480.04	77.79	130.6	376.41	728.11	854.13	902.89	152.28	1051.79	114.36	242.88	267.73	277.2	420.68	80.01	128.79	80.57	435.55	460.44	279.14	248.0	224.97	483.38	186.4	921.88	49.21	353.59	64.8	575.03	267.73	44.89	256.78	346.29	551.56	182.55	361.04	417.77	1350.18	412.0	51.35	507.46	791.35	45.85	181.28	1001.93	665.29	35.5	62.56	264.03	51.35	20.86	679.29	264.03	392.44	206.94	616.37	271.48	339.14	56.28	74.06	575.03	153.34	226.54	83.45	43.94	35.5	165.57	43.63	121.79	483.38	503.95	101.54	466.88	473.41	934.76	759.08	497.0	264.03	497.0	175.07	69.52	31.0	638.15	17.77	414.87	28.86	86.43	120.1	224.97	620.67	463.65	320.8	199.85	98.73	1151.06	69.03	197.09	660.68	66.18	406.31	241.19	392.44	395.18	303.44	279.14	642.59
EME2	31.67	83.45	47.5	37.85	89.51	35.0	42.41	31.67	41.22	31.0	56.68	202.66	68.55	224.97	86.43	81.14	21.63	55.89	373.81	82.29	198.47	114.36	102.97	249.73	94.01	66.18	158.79	226.54	122.64	113.56	476.71	87.03	295.11	241.19	381.68	220.32	281.09	112.77	88.88	61.25	217.27	291.04	307.69	154.42	113.56	423.61	64.8	205.5	150.17	190.34	115.16	150.17	249.73	67.12	223.41	180.02	126.12	277.2	199.85	281.09	142.01	329.84	152.28	127.0	74.06	366.09	95.34	41.22	186.4	223.41	279.14	164.42	172.65	285.03	438.59	93.35	65.72	241.19	336.79	177.53	164.42	237.86	279.14	129.69	107.38	256.78	100.83	48.18	397.93	54.72	191.67	104.42	183.82	66.65	199.85	50.27	66.65	152.28	141.02	119.26	48.87	90.77	59.97	183.82	64.34	68.07	157.68	441.64	99.43	199.85	314.17	234.57	376.41	255.0	157.68	575.03	128.79	144.01	67.59	144.01	129.69	147.06	92.05	65.72	180.02	87.65	182.55	189.02	121.79	103.69	59.97	301.33	69.03	145.02	239.52	17.38	102.25	66.18	82.87	70.51	214.27	82.29	96.01
ENKD1	88.26	197.09	202.66	112.77	191.67	195.72	253.23	599.49	346.29	563.18	808.0	301.33	728.11	915.51	54.33	441.64	738.29	503.95	3325.99	808.0	1427.22	620.67	1857.6	981.29	1745.2	457.25	902.89	1844.76	651.58	1127.35	3124.78	896.64	2061.24	2075.59	1977.24	1963.57	1844.76	1757.34	825.0	1199.98	1617.0	2997.45	1709.26	2018.8	624.99	2271.4	1183.45	353.59	1477.58	2148.82	1407.55	723.08	1447.15	1159.07	1313.23	1159.07	988.12	1127.35	1119.56	1286.18	974.5	1769.57	974.5	1447.15	1216.75	587.13	1674.06	325.29	1037.29	1111.82	1259.69	878.17	2240.11	1781.89	2047.0	1617.0	518.15	1313.23	3325.99	463.65	941.27	2400.97	1963.57	928.3	738.29	1427.22	381.68	848.22	2090.03	1331.57	2701.35	1437.15	2303.12	1561.89	1639.59	444.72	723.08	1844.76	82.29	1242.34	902.89	1044.52	785.88	2400.97	1277.29	921.88	1378.57	2573.36	733.19	1191.69	1936.53	1159.07	1427.22	1651.0	1030.12	3124.78	909.17	819.3	587.13	1594.73	329.84	1119.56	693.58	503.95	728.11	1119.56	1427.22	1457.23	1216.75	954.43	1331.57	2701.35	753.83	743.43	1806.78	62.56	320.8	185.11	171.45	190.34	728.11	728.11	819.3
ENTHD2	94.01	258.57	218.79	127.0	217.27	135.24	115.16	112.77	101.54	94.01	201.25	154.42	127.89	332.14	305.55	150.17	85.82	153.34	1073.91	190.34	591.22	366.09	295.11	323.03	351.14	186.4	224.97	813.63	293.07	392.44	638.15	194.36	674.59	612.11	791.35	320.8	693.58	447.82	242.88	281.09	358.54	703.28	660.68	775.05	387.02	1096.5	221.86	346.29	403.5	503.95	441.64	208.38	269.6	215.77	547.75	583.07	555.41	514.56	470.14	567.1	341.51	890.44	142.01	460.44	163.28	759.08	211.31	159.9	493.56	412.0	483.38	346.29	638.15	460.44	1295.13	397.93	237.86	447.82	713.11	220.32	273.37	764.36	974.5	163.28	223.41	438.59	190.34	175.07	813.63	353.59	414.87	260.38	518.15	299.25	529.06	142.01	119.26	616.37	395.18	325.29	183.82	214.27	186.4	348.71	283.05	251.48	718.08	660.68	232.94	785.88	780.44	764.36	836.53	642.59	320.8	620.67	182.55	183.82	149.12	567.1	138.1	480.04	112.77	113.56	305.55	320.8	684.02	460.44	346.29	339.14	125.24	723.08	273.37	287.01	514.56	62.12	232.94	221.86	224.97	122.64	476.71	616.37	703.28
FAM227A	0.0	16.51	5.96	1.28	4.1	3.69	10.31	8.99	8.51	6.06	12.45	8.25	4.58	51.35	4.1	4.35	3.86	16.51	63.0	9.41	35.76	22.43	29.91	22.59	24.28	7.88	26.28	72.52	17.51	22.43	85.22	12.0	59.97	41.22	56.68	11.47	47.17	22.1	9.06	8.92	51.71	30.34	220.32	60.82	18.16	63.0	20.41	6.78	31.22	44.25	52.82	14.24	9.7	5.02	28.04	55.49	17.64	43.32	35.0	68.55	21.94	33.3	3.17	30.78	13.42	79.45	28.45	8.71	60.39	35.25	72.52	24.11	24.28	38.95	88.26	25.17	6.73	64.34	47.5	5.06	23.76	81.71	55.49	9.78	12.93	49.91	7.34	5.68	86.43	12.09	52.82	26.86	33.78	23.25	35.5	4.9	9.7	37.85	8.65	12.93	7.82	12.93	5.23	21.78	11.3	13.22	47.5	51.35	25.54	40.64	75.11	42.41	162.14	28.86	52.82	22.59	7.75	1.14	6.46	42.11	5.11	36.27	17.13	13.52	7.82	24.46	31.22	35.25	23.76	17.38	16.63	63.89	12.93	13.62	38.67	0.4	8.99	3.72	7.0	0.11	49.91	68.55	273.37
FAM229A	17.51	18.16	40.07	12.0	38.95	37.05	21.63	38.12	27.05	17.9	24.11	17.38	14.14	38.67	6.36	7.11	23.08	11.38	265.87	13.03	76.71	21.16	76.17	24.28	122.64	34.51	74.06	158.79	83.45	52.45	189.02	57.89	193.01	127.0	194.36	99.43	131.51	116.78	65.26	28.45	104.42	115.16	228.13	162.14	38.4	204.07	61.25	185.11	83.45	104.42	95.34	48.18	39.79	21.47	87.03	155.5	22.26	78.89	59.13	124.37	43.94	217.27	14.89	68.07	46.84	62.12	17.0	7.88	78.34	91.41	118.43	22.1	85.82	135.24	255.0	64.34	28.86	118.43	204.07	14.67	37.59	305.55	214.27	59.13	47.5	94.67	35.5	25.17	260.38	28.45	55.1	66.18	123.5	29.7	84.63	46.18	22.92	161.02	13.93	40.93	56.28	39.5	9.63	55.89	49.21	42.71	124.37	148.09	31.22	163.28	103.69	157.68	150.17	198.47	87.03	170.25	33.54	5.41	23.93	86.43	20.11	94.01	30.78	16.15	29.27	40.64	165.57	64.8	75.11	53.57	24.81	483.38	57.08	50.27	120.94	0.09	16.51	21.63	18.97	29.7	113.56	187.71	136.19
FAM71F2	4.31	52.45	23.59	2.14	17.25	4.9	9.56	25.54	20.11	3.69	6.78	50.98	10.47	18.43	6.31	3.0	0.71	5.32	20.41	2.63	24.11	8.99	28.45	33.54	23.93	8.13	1.08	39.79	12.83	6.21	18.7	1.17	28.45	33.06	35.76	7.63	31.9	12.55	1.43	13.03	13.52	19.39	43.94	25.35	5.73	21.63	8.51	8.78	29.27	1.71	7.28	0.58	2.53	3.69	10.63	30.56	47.84	5.23	7.46	35.0	3.69	7.34	5.63	37.05	0.0	94.67	21.78	3.03	10.63	40.93	14.03	2.58	178.77	51.35	62.56	9.63	1.2	100.83	7.4	6.62	5.15	59.13	55.1	2.66	6.89	8.25	3.56	5.82	61.68	30.78	18.56	3.96	16.27	8.78	19.39	0.0	5.36	14.56	6.41	7.51	0.0	4.24	1.2	24.63	3.92	12.45	19.39	19.82	14.78	34.02	17.51	42.71	81.71	29.48	9.48	11.47	6.36	5.32	3.35	8.25	18.97	56.68	6.41	5.73	9.48	5.92	27.05	40.93	9.78	18.7	1.22	17.64	4.31	2.56	3.56	0.0	3.17	17.0	7.28	4.86	34.26	38.67	33.78
FLJ00104	7.06	20.71	31.22	10.16	10.63	10.55	12.93	10.47	8.0	16.75	14.45	24.46	9.93	23.76	10.24	7.63	8.99	13.93	49.21	9.48	34.75	37.85	69.03	26.67	34.02	15.45	43.94	46.5	24.46	42.41	92.05	8.45	54.72	54.72	57.89	59.13	48.52	33.54	5.77	30.34	43.32	43.32	143.01	44.57	13.12	102.97	15.34	22.75	42.71	30.78	27.84	8.71	19.39	15.0	36.79	34.02	44.89	31.9	31.45	52.08	31.22	80.01	13.42	39.5	17.38	25.91	28.04	8.0	53.19	48.87	90.14	24.99	82.29	43.63	75.11	31.0	13.42	75.11	73.03	12.0	22.75	69.52	66.18	5.59	24.81	56.28	12.09	15.11	76.17	27.84	42.41	26.86	43.63	27.25	37.85	10.16	12.36	40.07	10.47	18.29	7.88	3.14	19.11	13.03	27.64	25.35	41.22	49.56	21.94	48.52	42.71	72.01	74.06	38.12	32.59	45.53	10.96	17.77	22.26	40.36	16.27	43.02	20.41	22.75	27.05	32.36	30.34	54.33	22.75	12.27	9.2	70.51	22.1	17.64	45.21	1.19	22.92	17.0	22.59	12.55	35.0	105.89	41.81
GABBR1	38.12	341.51	444.72	41.52	93.35	106.63	83.45	169.07	67.59	35.76	74.58	100.13	75.64	679.29	23.08	57.49	122.64	87.03	842.36	60.82	651.58	95.34	323.03	65.72	248.0	30.78	114.36	921.88	674.59	145.02	860.08	208.38	620.67	651.58	624.99	87.03	426.57	161.02	11.82	314.17	323.03	595.34	1721.16	1561.89	28.86	684.02	54.72	265.87	264.03	480.04	543.96	57.89	244.57	52.08	289.02	417.77	507.46	318.57	303.44	629.35	114.36	376.41	29.91	131.51	96.68	688.78	212.78	181.28	470.14	332.14	460.44	122.64	915.51	255.0	1540.37	500.46	114.36	476.71	684.02	81.71	157.68	743.43	780.44	119.26	31.9	387.02	214.27	67.59	941.27	332.14	476.71	199.85	381.68	246.28	417.77	109.66	36.53	234.57	100.83	144.01	119.26	74.58	49.91	341.51	78.34	197.09	1081.39	503.95	293.07	490.14	587.13	748.61	1870.53	249.73	299.25	127.89	63.45	75.11	96.01	228.13	139.07	358.54	111.21	48.52	229.72	118.43	665.29	426.57	178.77	100.13	169.07	555.41	134.3	78.34	483.38	5.96	143.01	100.83	305.55	83.45	473.41	392.44	1167.14
