	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OJ.11A.12R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11UD2.1526.SM.5EQLQ	GTEX.11O72.2026.SM.5N9G8	GTEX.WH7G.0926.SM.4LVMJ	GTEX.14DAQ.1426.SM.5RQJD	GTEX.XQ8I.1526.SM.4BOOH	GTEX.XBEW.1326.SM.4AT63	GTEX.11GSP.1726.SM.5A5LI	GTEX.13YAN.2026.SM.5Q5EY	GTEX.11ONC.1426.SM.5N9F4	GTEX.13PVQ.1826.SM.5L3GU	GTEX.13OW6.1426.SM.5L3EU	GTEX.113JC.0926.SM.5H114	TCGA.CV.7103.11A.01R.2016.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
HSBP1	3325.99	3039.3	2835.7	3280.18	1508.65	3018.3	1477.58	902.89	1639.59	2367.9	2417.67	2209.26	2335.28	1208.34	1051.79	1437.15	902.89	1359.57	1233.75	2367.9	5292.48	8022.41	4268.94	2796.65	4210.15	3491.39	6652.97
HSD17B10	2335.28	3540.14	2271.4	3794.3	1733.13	4239.45	1051.79	1199.98	1135.2	2664.15	1745.2	2319.15	3146.52	1119.56	1268.46	1096.5	1477.58	1259.69	1378.57	4869.99	6207.38	8078.22	5517.27	4268.94	4736.79	5041.77	5751.61
HSPA4	2193.99	1594.73	2104.58	2224.63	1037.29	2004.85	1111.82	1369.04	759.08	1167.14	1467.37	1268.46	1721.16	947.83	753.83	1674.06	1008.9	785.88	928.3	1757.34	2351.53	2875.3	2796.65	2061.24	3443.31	2855.44	3443.31
IMP3	2976.74	1519.15	995.0	1242.34	890.44	2018.8	403.5	392.44	521.76	1529.73	1183.45	1259.69	1350.18	638.15	514.56	444.72	283.05	447.82	444.72	1844.76	2367.9	2956.17	2255.7	1745.2	2758.13	2451.44	2209.26
KCTD20	595.34	753.83	718.08	759.08	417.77	651.58	595.34	486.75	543.96	599.49	819.3	679.29	500.46	571.05	346.29	389.72	395.18	339.14	460.44	624.99	1447.15	1135.2	961.07	819.3	1208.34	1044.52	1259.69
KRT33B	9.85	5.54	1.71	1.35	0.0	15.56	0.0	0.0	0.0	3.79	1.07	1.03	2.97	0.0	0.0	0.0	0.0	0.95	3.17	255.0	40.36	40.64	44.57	21.32	56.28	34.02	38.12
KRT34	19.53	4.03	50.27	15.8	0.0	19.25	0.0	0.56	0.0	10.71	5.5	8.85	7.57	0.0	0.0	0.0	1.58	0.79	0.0	195.72	169.07	246.28	57.49	58.3	264.03	102.97	209.84
KRT4	3.697379928E7	1.810644424E7	6140819.49	2.276004283E7	64632.75	3.109113511E7	49.56	136.19	24.81	363097.14	282912.21	391864.76	368165.8	59.13	5.06	42.71	87.65	2.23	75.11	447025.24	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7
LMAN2	3665.02	5555.65	2976.74	3820.7	2047.0	6381.92	1259.69	866.07	1605.83	4066.71	3146.52	3639.7	3443.31	1369.04	1304.15	1447.15	1313.23	1697.45	1151.06	4736.79	6561.36	8963.45	6935.54	5831.91	5555.65	7280.4	5112.16
MCTS1	1963.57	878.17	1159.07	981.29	854.13	896.64	633.73	525.39	620.67	1143.1	915.51	988.12	1151.06	579.04	802.41	651.58	543.96	669.92	571.05	1295.13	2555.58	1350.18	941.27	1216.75	1250.98	1397.83	1259.69
