	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OJ.11A.12R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11UD2.1526.SM.5EQLQ	GTEX.11O72.2026.SM.5N9G8	GTEX.WH7G.0926.SM.4LVMJ	GTEX.14DAQ.1426.SM.5RQJD	GTEX.XQ8I.1526.SM.4BOOH	GTEX.XBEW.1326.SM.4AT63	GTEX.11GSP.1726.SM.5A5LI	GTEX.13YAN.2026.SM.5Q5EY	GTEX.11ONC.1426.SM.5N9F4	GTEX.13PVQ.1826.SM.5L3GU	GTEX.13OW6.1426.SM.5L3EU	GTEX.113JC.0926.SM.5H114	TCGA.CV.7103.11A.01R.2016.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
PSEN1	819.3	708.18	753.83	620.67	532.74	651.58	450.94	395.18	466.88	753.83	540.19	684.02	718.08	486.75	567.1	432.53	483.38	447.82	426.57	743.43	1259.69	1104.13	819.3	878.17	988.12	1044.52	928.3
PSENEN	4802.93	1870.53	2609.3	1757.34	1295.13	1529.73	1199.98	967.76	1008.9	1467.37	1407.55	1697.45	1519.15	909.17	825.0	1096.5	954.43	1059.11	836.53	2335.28	7966.99	3614.55	4869.99	3349.13	4038.61	3303.0	3589.58
PSMA5	2816.11	2335.28	2591.27	2303.12	1519.15	2451.44	961.07	1059.11	988.12	1977.24	1313.23	1583.71	2178.83	921.88	1066.48	848.22	1199.98	1151.06	1059.11	2417.67	6294.04	3443.31	5555.65	2796.65	2875.3	3395.89	4095.0
PSMD14	1044.52	808.0	1030.12	866.07	583.07	921.88	379.04	346.29	323.03	769.69	551.56	633.73	878.17	341.51	325.29	389.72	555.41	493.56	346.29	1119.56	2468.49	1896.65	1572.76	1397.83	1437.15	1561.89	1936.53
PSMD9	1286.18	1340.84	1277.29	1242.34	1199.98	1259.69	928.3	656.11	780.44	1397.83	1233.75	1143.1	1295.13	915.51	842.36	813.63	733.19	1073.91	612.11	1259.69	3235.01	1733.13	1437.15	1709.26	1594.73	2090.03	1757.34
RALBP1	2319.15	1369.04	1447.15	1508.65	884.29	1216.75	493.56	384.34	591.22	1322.37	1268.46	1143.1	1151.06	497.0	514.56	500.46	384.34	555.41	473.41	1457.23	2224.63	2032.85	1540.37	1857.6	1551.09	1857.6	2400.97
RAN	10440.2	8901.53	11345.82	7280.4	3928.15	10154.69	2855.44	2645.74	2895.31	6381.92	5041.77	5913.33	7230.1	3325.99	2555.58	2468.49	4210.15	3540.14	4095.0	11584.24	21919.61	17437.64	18689.27	13492.72	13306.94	14663.09	16727.26
RAP2A	320.8	454.09	420.68	571.05	193.01	463.65	190.34	100.13	155.5	293.07	334.46	262.2	297.17	167.9	175.07	142.01	100.13	154.42	149.12	356.05	830.75	603.67	334.46	358.54	483.38	503.95	791.35
RBM8A	3212.66	4937.99	4802.93	4328.55	1923.14	6337.83	1477.58	1745.2	1477.58	2720.15	3349.13	2956.17	3847.29	1477.58	1540.37	1417.35	1923.14	1477.58	1950.0	3589.58	5255.91	7382.04	4388.98	4123.49	4972.34	4769.75	7589.61
RHOA	10512.82	10154.69	9474.59	11504.21	5633.22	11827.67	6652.97	4239.45	7803.01	8718.32	6607.01	6887.62	7130.55	7280.4	5147.73	6250.56	5831.91	7589.61	6471.02	9540.5	18178.19	13872.08	9151.82	10084.54	12415.75	10959.3	12076.21
ROMO1	4769.75	5594.3	4181.07	5791.62	3395.89	5831.91	3303.0	3039.3	2451.44	4704.07	4152.18	4769.75	4903.87	2816.11	2417.67	2976.74	3103.19	3639.7	2417.67	6426.31	12329.98	12244.81	4388.98	5594.3	7382.04	7803.01	9215.48
RTCB	1233.75	1369.04	1183.45	1001.93	1059.11	1331.57	642.59	743.43	764.36	1313.23	947.83	1143.1	1216.75	854.13	842.36	620.67	860.08	872.1	796.86	1870.53	2485.67	2178.83	1199.98	1733.13	2148.82	1923.14	2004.85
SAP18	5479.15	3614.55	4481.23	3874.05	3614.55	3257.52	2777.33	2591.27	2400.97	3794.3	3443.31	3847.29	3419.52	2701.35	2627.46	2163.77	2997.45	2351.53	3491.39	3768.09	8718.32	5594.3	3874.05	3928.15	5041.77	4298.64	6792.79
SF3B5	3280.18	3540.14	2915.45	3395.89	2777.33	3928.15	1991.0	1769.57	2240.11	3372.43	2609.3	2997.45	3564.78	2163.77	1709.26	2090.03	2004.85	2163.77	1685.71	4704.07	10084.54	5633.22	6561.36	4869.99	4903.87	4972.34	4937.99
SH3BGRL3	23492.92	10296.45	9409.14	14065.74	2417.67	13872.08	3325.99	1923.14	4802.93	8134.41	8363.13	7081.29	7485.11	3742.05	2739.08	2935.74	1572.76	2537.92	2004.85	10084.54	18304.63	28723.62	14765.09	10659.59	21026.65	13586.57	15824.9
SMIM12	808.0	941.27	1030.12	802.41	733.19	878.17	547.75	1023.0	638.15	808.0	866.07	884.29	921.88	759.08	633.73	743.43	1313.23	802.41	796.86	967.76	1936.53	1286.18	1674.06	1359.57	1225.22	1561.89	1191.69
SNRPD3	5147.73	3146.52	3039.3	2895.31	1498.22	2609.3	1073.91	890.44	1340.84	1896.65	1977.24	2319.15	1923.14	1199.98	890.44	1015.93	1044.52	1340.84	1088.92	3515.68	5076.84	6381.92	4419.52	3515.68	4239.45	3690.52	4419.52
SNX11	457.25	490.14	490.14	583.07	384.34	470.14	262.2	397.93	334.46	432.53	460.44	429.54	409.15	287.01	429.54	295.11	327.56	381.68	223.41	486.75	791.35	490.14	295.11	490.14	591.22	536.45	392.44
SSBP1	4512.4	3443.31	3467.27	3491.39	2573.36	2915.45	1487.87	1350.18	1397.83	3103.19	2255.7	2537.92	2777.33	1583.71	1594.73	1487.87	1963.57	2047.0	1651.0	4239.45	8840.04	6294.04	3303.0	4358.66	4769.75	4802.93	7130.55
SSNA1	2271.4	2303.12	1769.57	2163.77	1857.6	2090.03	1508.65	860.08	1447.15	2193.99	1923.14	2032.85	1896.65	1572.76	1073.91	1498.22	785.88	1605.83	728.11	2287.2	3395.89	2701.35	1605.83	2739.08	2875.3	2796.65	2627.46
STOML2	2555.58	2351.53	2400.97	2047.0	1806.78	2075.59	848.22	995.0	1008.9	2032.85	1322.37	1950.0	2335.28	1001.93	1277.29	848.22	1104.13	1519.15	1044.52	2855.44	7695.57	4328.55	4903.87	4181.07	3303.0	4419.52	4328.55
TAX1BP3	5555.65	9151.82	7433.4	7537.18	1757.34	7749.1	2468.49	1350.18	2739.08	5441.3	5255.91	5006.93	5183.54	2287.2	1844.76	2468.49	1519.15	2148.82	1437.15	5219.6	9740.98	8538.88	4869.99	7803.01	7911.95	10296.45	6792.79
TIFA	872.1	316.37	262.2	406.31	241.19	341.51	54.33	171.45	100.13	403.5	336.79	264.03	291.04	83.45	84.04	52.45	109.66	55.89	154.42	583.07	995.0	759.08	208.38	361.04	928.3	674.59	718.08
TIMM8B	2271.4	2451.44	1936.53	2417.67	1015.93	2701.35	713.11	718.08	974.5	1529.73	1397.83	1977.24	2193.99	723.08	688.78	896.64	780.44	1081.39	656.11	2591.27	7382.04	4512.4	3257.52	2935.74	4123.49	3928.15	4123.49
TMEM199	379.04	567.1	432.53	432.53	409.15	368.65	214.27	165.57	244.57	271.48	287.01	450.94	368.65	198.47	291.04	176.29	211.31	299.25	167.9	669.92	915.51	703.28	366.09	497.0	423.61	595.34	547.75
TOMM22	1331.57	1427.22	1127.35	1111.82	878.17	1104.13	483.38	490.14	559.28	1135.2	1001.93	1159.07	1369.04	563.18	444.72	540.19	518.15	665.29	547.75	1794.29	4358.66	2720.15	3018.3	2075.59	2627.46	2335.28	3103.19
TRAPPC3	2400.97	1923.14	1857.6	1883.54	1467.37	1870.53	896.64	1143.1	1119.56	1540.37	1127.35	1199.98	1277.29	1023.0	1066.48	1073.91	1111.82	1259.69	872.1	1477.58	3349.13	2796.65	2400.97	2193.99	2956.17	2502.97	2163.77
TSSC1	575.03	551.56	358.54	450.94	269.6	532.74	229.72	108.14	206.94	454.09	450.94	450.94	470.14	236.21	161.02	255.0	154.42	277.2	159.9	647.07	1044.52	1127.35	656.11	802.41	1015.93	947.83	934.76
TXNDC9	878.17	769.69	743.43	733.19	389.72	656.11	239.52	237.86	262.2	575.03	371.22	466.88	559.28	241.19	323.03	220.32	269.6	316.37	258.57	785.88	1594.73	1030.12	915.51	890.44	909.17	961.07	1127.35
UBE2E2	1359.57	961.07	915.51	1167.14	543.96	1066.48	825.0	612.11	896.64	551.56	684.02	389.72	620.67	674.59	368.65	450.94	575.03	941.27	624.99	775.05	1883.54	1832.01	1167.14	872.1	1733.13	1199.98	1594.73
UBE2F	1745.2	1605.83	1674.06	1674.06	1096.5	1806.78	909.17	1191.69	981.29	1059.11	947.83	1199.98	1561.89	819.3	603.67	928.3	1313.23	1044.52	1127.35	1159.07	4543.8	1369.04	2777.33	1286.18	1477.58	2047.0	3190.46
UBE2L3	2485.67	2367.9	2163.77	2335.28	1407.55	1923.14	1001.93	934.76	928.3	1794.29	1397.83	1674.06	1896.65	1015.93	836.53	915.51	1268.46	1183.45	1044.52	2240.11	4543.8	3665.02	2935.74	2758.13	3303.0	3190.46	4095.0
UBE2N	2451.44	1950.0	2148.82	1832.01	1225.22	1757.34	890.44	775.05	860.08	1685.71	1143.1	1407.55	1572.76	896.64	733.19	813.63	1059.11	1008.9	1651.0	2075.59	4010.71	3349.13	5112.16	2682.69	2835.7	2609.3	2758.13
UBE2V2	1936.53	1225.22	1662.49	1340.84	947.83	995.0	669.92	669.92	679.29	1242.34	808.0	830.75	967.76	540.19	525.39	603.67	698.41	624.99	693.58	1388.16	2915.45	2468.49	1721.16	1417.35	2591.27	1832.01	2451.44
VTA1	1313.23	1008.9	1159.07	1143.1	417.77	909.17	242.88	204.07	279.14	785.88	603.67	674.59	703.28	241.19	236.21	237.86	249.73	325.29	154.42	1066.48	1857.6	1662.49	1397.83	1225.22	1340.84	1295.13	1304.15
WDR41	603.67	620.67	603.67	743.43	511.0	1023.0	346.29	339.14	493.56	878.17	525.39	713.11	941.27	476.71	417.77	414.87	371.22	384.34	339.14	848.22	1870.53	1143.1	651.58	723.08	1167.14	743.43	1322.37
XRCC6	5633.22	5954.47	5555.65	5366.37	3515.68	4903.87	2609.3	2287.2	2855.44	4607.24	3540.14	3982.99	4419.52	2895.31	2178.83	2777.33	3257.52	2758.13	2758.13	6516.03	9215.48	9025.81	7280.4	6426.31	7032.37	7911.95	8963.45
YWHAE	18689.27	9540.5	12676.65	10154.69	6792.79	8134.41	4607.24	3742.05	4903.87	7803.01	7537.18	7433.4	7857.29	5672.41	3716.2	4450.27	3768.09	4512.4	4769.75	12943.04	17558.94	20593.91	12853.63	13872.08	15075.35	14765.09	20737.16
ZMAT2	2209.26	1950.0	1794.29	1870.53	1605.83	1794.29	603.67	836.53	915.51	1709.26	1628.26	1794.29	1447.15	842.36	915.51	748.61	967.76	1135.2	866.07	1950.0	2895.31	3257.52	2119.22	2664.15	2739.08	2835.7	3467.27
