	GTEX.RWS6.1926.SM.47JXY	GTEX.RM2N.0526.SM.2TF4N	GTEX.WH7G.0526.SM.3NMBI	GTEX.QV31.0726.SM.3GAEG	GTEX.OIZI.0726.SM.2XCEI	GTEX.Y5LM.0626.SM.4V6G4	GTEX.OHPM.2626.SM.33HC5	GTEX.13O61.0226.SM.5KM52	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.ZTSS.0226.SM.59877	GTEX.WFJO.0226.SM.3GIKW	GTEX.146FR.0326.SM.5SI8U	GTEX.ZV7C.0126.SM.57WDE	GTEX.X4LF.0426.SM.3NMB5	GTEX.YEC3.0826.SM.4WWFP	GTEX.YF7O.0726.SM.4W213	GTEX.YB5E.0626.SM.4VDSE	GTEX.12WSJ.0326.SM.5GCMT	GTEX.117YX.1226.SM.5H11S	GTEX.T8EM.0226.SM.3DB7C
CYBRD1	11189.6	6079.61	5403.7	4903.87	9215.48	5594.3	10084.54	2627.46	1977.24	4543.8	5076.84	7280.4	6121.9	2976.74	3955.48	2075.59	4066.71	4512.4	1639.59	6792.79	4575.41
CYP2U1	409.15	100.83	81.14	92.05	127.0	87.03	113.56	38.12	36.01	62.56	53.19	127.89	83.45	69.52	67.59	41.22	82.87	33.06	48.52	77.79	70.51
DBT	343.89	202.66	190.34	206.94	329.84	191.67	242.88	112.77	93.35	158.79	116.78	229.72	181.28	149.12	172.65	106.63	129.69	98.04	103.69	223.41	143.01
DCUN1D1	713.11	591.22	329.84	356.05	624.99	327.56	559.28	297.17	281.09	248.0	316.37	476.71	432.53	283.05	314.17	246.28	275.28	201.25	316.37	457.25	267.73
DIAPH2	173.85	72.52	50.98	93.35	96.68	80.57	57.08	38.95	19.97	46.5	55.89	79.45	46.18	57.08	57.49	32.82	33.78	28.24	34.75	59.55	60.82
DSTYK	307.69	239.52	217.27	189.02	291.04	208.38	275.28	127.89	98.04	149.12	172.65	262.2	209.84	128.79	152.28	112.77	125.24	127.0	109.66	183.82	144.01
ECM2	1529.73	242.88	162.14	191.67	432.53	190.34	264.03	87.03	56.68	111.21	96.01	426.57	150.17	115.16	164.42	87.03	107.38	90.77	40.07	260.38	146.03
EIF4EBP2	1709.26	909.17	723.08	733.19	1059.11	1015.93	1044.52	567.1	567.1	684.02	612.11	884.29	642.59	612.11	629.35	483.38	555.41	543.96	466.88	866.07	785.88
EPC2	669.92	563.18	423.61	438.59	802.41	525.39	633.73	277.2	214.27	339.14	450.94	532.74	460.44	371.22	395.18	279.14	325.29	279.14	260.38	466.88	387.02
EXOC5	708.18	368.65	332.14	297.17	507.46	351.14	447.82	197.09	223.41	258.57	281.09	368.65	323.03	303.44	226.54	229.72	285.03	182.55	221.86	285.03	329.84
FAM172A	656.11	320.8	323.03	307.69	403.5	223.41	379.04	172.65	148.09	209.84	214.27	361.04	221.86	208.38	239.52	163.28	231.32	172.65	185.11	316.37	194.36
FAM214A	1721.16	1498.22	1199.98	1111.82	1909.85	1268.46	1378.57	723.08	660.68	620.67	884.29	1407.55	1088.92	738.29	1081.39	780.44	825.0	860.08	759.08	1073.91	1008.9
FAM73A	473.41	432.53	318.57	283.05	587.13	275.28	438.59	153.34	155.5	206.94	232.94	389.72	285.03	170.25	260.38	96.68	165.57	76.17	144.01	251.48	229.72
FBXO42	679.29	397.93	417.77	379.04	457.25	371.22	395.18	346.29	287.01	387.02	366.09	426.57	368.65	379.04	346.29	358.54	356.05	363.56	299.25	403.5	351.14
FEM1C	307.69	211.31	204.07	197.09	297.17	181.28	208.38	131.51	106.63	137.14	154.42	229.72	169.07	122.64	154.42	107.38	139.07	135.24	109.66	208.38	137.14
FGD4	305.55	269.6	155.5	102.97	320.8	138.1	194.36	69.03	97.36	70.51	102.25	209.84	140.04	102.97	103.69	98.73	94.01	72.52	94.01	145.02	102.25
FKBP5	3349.13	2682.69	3395.89	2018.8	5147.73	3303.0	2956.17	2209.26	1844.76	2537.92	3349.13	3491.39	3018.3	2148.82	3124.78	1936.53	2537.92	2119.22	1359.57	3820.7	3540.14
FOXO3	1991.0	872.1	728.11	435.55	1519.15	743.43	884.29	301.33	273.37	332.14	503.95	1073.91	563.18	490.14	532.74	291.04	412.0	285.03	265.87	764.36	384.34
FXR1	2835.7	1819.35	1697.45	1651.0	2193.99	1757.34	1936.53	1242.34	1167.14	1477.58	1594.73	1896.65	1883.54	1407.55	1519.15	1199.98	1350.18	1233.75	1242.34	1733.13	1417.35
GNA13	507.46	543.96	353.59	403.5	591.22	346.29	536.45	204.07	206.94	251.48	305.55	463.65	348.71	316.37	285.03	202.66	318.57	251.48	211.31	366.09	343.89
GOLGA7	1477.58	842.36	693.58	848.22	934.76	909.17	1059.11	540.19	575.03	703.28	738.29	866.07	684.02	698.41	733.19	555.41	854.13	616.37	579.04	866.07	775.05
GPR75-ASB3	409.15	389.72	343.89	343.89	642.59	379.04	529.06	253.23	182.55	289.02	301.33	343.89	363.56	318.57	295.11	285.03	258.57	287.01	287.01	361.04	318.57
HACE1	293.07	181.28	152.28	117.6	201.25	147.06	193.01	82.29	102.97	100.83	109.66	190.34	135.24	107.38	140.04	90.77	125.24	80.57	111.99	183.82	132.44
HBP1	2915.45	2303.12	1936.53	1388.16	2895.31	2047.0	2875.3	1151.06	902.89	1127.35	1388.16	2287.2	1832.01	1104.13	1340.84	848.22	1081.39	1208.34	1015.93	1745.2	1001.93
HELQ	301.33	363.56	299.25	287.01	406.31	323.03	332.14	187.71	178.77	281.09	303.44	323.03	299.25	258.57	228.13	169.07	283.05	189.02	206.94	400.71	242.88
HERC5	171.45	220.32	178.77	120.1	236.21	140.04	262.2	85.82	38.95	110.43	151.22	128.79	175.07	89.51	118.43	39.22	122.64	218.79	45.53	154.42	105.89
HERPUD2	802.41	490.14	348.71	417.77	624.99	444.72	603.67	305.55	265.87	303.44	358.54	603.67	429.54	363.56	366.09	283.05	351.14	332.14	273.37	441.64	303.44
HIPK3	872.1	1498.22	1127.35	759.08	2240.11	1498.22	1529.73	540.19	493.56	612.11	825.0	1277.29	1015.93	629.35	575.03	603.67	540.19	532.74	444.72	1295.13	802.41
HSD17B11	1519.15	638.15	480.04	595.34	884.29	753.83	775.05	305.55	309.83	373.81	371.22	878.17	346.29	444.72	500.46	244.57	426.57	348.71	205.5	674.59	441.64
IDS	1963.57	1081.39	866.07	1183.45	1832.01	934.76	1216.75	511.0	607.87	775.05	961.07	1242.34	1331.57	693.58	1081.39	529.06	866.07	389.72	366.09	1685.71	813.63
IFRD1	854.13	728.11	651.58	607.87	819.3	688.78	813.63	518.15	381.68	389.72	616.37	791.35	575.03	624.99	536.45	483.38	529.06	409.15	400.71	656.11	473.41
IL6ST	3467.27	2701.35	1447.15	1277.29	2591.27	1498.22	2004.85	638.15	802.41	947.83	1015.93	2163.77	1104.13	1059.11	1295.13	748.61	1059.11	813.63	559.28	1733.13	1437.15
IPMK	90.77	94.01	59.97	53.19	91.41	67.12	115.97	50.63	42.71	53.19	51.71	81.71	77.79	49.21	39.22	39.22	64.8	45.85	40.36	64.34	64.8
IRAK1BP1	215.77	115.16	97.36	69.52	148.09	64.8	78.89	63.45	63.45	102.97	51.35	123.5	101.54	75.64	66.65	53.95	102.25	63.89	52.45	115.97	74.06
JMY	291.04	320.8	260.38	214.27	376.41	249.73	318.57	131.51	119.26	177.53	231.32	346.29	241.19	157.68	229.72	110.43	172.65	162.14	146.03	273.37	143.01
KCTD18	529.06	417.77	412.0	325.29	500.46	366.09	392.44	285.03	353.59	368.65	332.14	435.55	384.34	275.28	366.09	264.03	387.02	301.33	271.48	435.55	384.34
KIAA1107	125.24	102.97	82.87	66.18	157.68	82.87	115.16	40.93	35.76	38.4	50.63	121.79	64.34	52.45	58.3	40.64	49.56	32.82	50.98	64.8	41.52
KLHL20	384.34	244.57	214.27	303.44	353.59	231.32	205.5	166.73	162.14	221.86	236.21	253.23	221.86	237.86	267.73	165.57	202.66	124.37	172.65	301.33	214.27
KPNA4	514.56	387.02	392.44	363.56	559.28	353.59	624.99	206.94	226.54	295.11	307.69	406.31	339.14	299.25	329.84	251.48	320.8	217.27	264.03	397.93	291.04
LCA5	299.25	223.41	165.57	108.9	273.37	150.17	384.34	67.12	49.56	71.5	84.04	242.88	177.53	55.89	107.38	81.71	63.0	88.26	63.45	180.02	108.14
LRCH1	454.09	194.36	167.9	173.85	253.23	161.02	189.02	100.83	90.77	108.14	148.09	251.48	146.03	147.06	132.44	108.14	136.19	102.25	111.21	173.85	121.79
MAML2	915.51	358.54	314.17	191.67	532.74	212.78	575.03	89.51	94.01	92.05	158.79	356.05	232.94	135.24	165.57	66.18	146.03	102.25	89.51	353.59	177.53
MAN1A1	2351.53	1233.75	651.58	684.02	2004.85	866.07	941.27	387.02	237.86	371.22	432.53	1331.57	346.29	579.04	854.13	167.9	476.71	327.56	139.07	808.0	473.41
MBTD1	339.14	336.79	228.13	229.72	373.81	220.32	283.05	119.26	149.12	132.44	191.67	305.55	237.86	173.85	215.77	115.16	180.02	133.36	164.42	248.0	175.07
MIER1	559.28	543.96	348.71	376.41	571.05	320.8	518.15	214.27	214.27	244.57	279.14	493.56	343.89	275.28	353.59	223.41	336.79	281.09	226.54	371.22	334.46
MKRN1	2163.77	1806.78	1594.73	1508.65	2335.28	1883.54	1936.53	1277.29	1175.27	1388.16	1397.83	1923.14	1794.29	1088.92	1477.58	1167.14	1259.69	1295.13	1159.07	1857.6	1175.27
MMGT1	633.73	624.99	447.82	518.15	638.15	473.41	802.41	303.44	275.28	435.55	423.61	591.22	412.0	309.83	368.65	277.2	426.57	392.44	314.17	463.65	381.68
MOAP1	620.67	915.51	974.5	785.88	915.51	878.17	848.22	575.03	595.34	708.18	660.68	775.05	764.36	536.45	748.61	470.14	728.11	656.11	432.53	961.07	536.45
MPP7	373.81	269.6	275.28	262.2	281.09	248.0	381.68	172.65	90.77	223.41	195.72	293.07	162.14	123.5	157.68	193.01	167.9	251.48	102.25	173.85	143.01
MRPL10	1119.56	860.08	921.88	775.05	1175.27	988.12	954.43	836.53	738.29	921.88	728.11	743.43	866.07	738.29	769.69	647.07	934.76	808.0	728.11	981.29	780.44
N4BP2L1	1044.52	511.0	400.71	255.0	555.41	490.14	420.68	155.5	121.79	178.77	253.23	571.05	341.51	223.41	363.56	105.15	246.28	173.85	134.3	414.87	246.28
NCOA7	1175.27	743.43	351.14	281.09	825.0	435.55	466.88	204.07	195.72	325.29	303.44	679.29	241.19	289.02	314.17	187.71	193.01	209.84	106.63	514.56	316.37
NEK7	1015.93	909.17	540.19	486.75	981.29	575.03	1015.93	287.01	320.8	307.69	392.44	575.03	470.14	363.56	450.94	351.14	423.61	316.37	325.29	642.59	426.57
NET1	1721.16	1639.59	928.3	995.0	1313.23	842.36	1378.57	500.46	525.39	579.04	791.35	728.11	748.61	486.75	802.41	348.71	591.22	327.56	503.95	1369.04	547.75
OMG	55.49	41.52	26.67	15.11	47.84	21.78	23.59	11.91	4.94	17.25	7.51	55.49	19.11	18.29	34.51	5.36	6.31	11.13	6.89	27.05	10.08
OSBPL8	660.68	361.04	224.97	264.03	444.72	236.21	435.55	155.5	144.01	228.13	221.86	351.14	264.03	164.42	165.57	146.03	202.66	132.44	155.5	256.78	229.72
PAK2	836.53	540.19	332.14	521.76	587.13	447.82	638.15	303.44	269.6	400.71	392.44	551.56	356.05	368.65	363.56	297.17	329.84	224.97	228.13	441.64	400.71
PEX19	1870.53	1697.45	1378.57	1397.83	1936.53	1617.0	1870.53	1111.82	825.0	1233.75	1191.69	1407.55	1561.89	836.53	1015.93	896.64	954.43	1175.27	878.17	1709.26	1183.45
PHF3	878.17	780.44	647.07	603.67	1191.69	607.87	819.3	346.29	314.17	447.82	563.18	819.3	629.35	435.55	583.07	356.05	339.14	358.54	384.34	679.29	500.46
PIAS1	813.63	921.88	884.29	764.36	1104.13	743.43	1183.45	656.11	525.39	738.29	872.1	928.3	872.1	647.07	688.78	490.14	486.75	432.53	444.72	1030.12	780.44
PLCL1	71.5	297.17	201.25	76.71	194.36	115.97	262.2	33.78	40.07	34.26	64.34	185.11	149.12	40.64	56.68	33.54	94.67	30.56	29.91	122.64	93.35
PLSCR4	1001.93	1322.37	679.29	718.08	1551.09	884.29	1233.75	450.94	332.14	454.09	514.56	1073.91	679.29	503.95	571.05	271.48	511.0	318.57	299.25	660.68	514.56
PPM1B	1088.92	813.63	587.13	579.04	1088.92	785.88	791.35	476.71	486.75	603.67	693.58	733.19	728.11	543.96	624.99	435.55	607.87	563.18	444.72	909.17	583.07
PPP1R3D	181.28	98.04	90.14	83.45	104.42	98.04	119.26	68.07	78.89	94.67	76.71	96.68	92.05	69.03	89.51	62.56	98.04	69.03	67.12	100.83	76.17
PPP2R5A	1268.46	941.27	1417.35	921.88	1151.06	981.29	1199.98	607.87	400.71	791.35	713.11	1073.91	718.08	796.86	808.0	733.19	738.29	808.0	587.13	1023.0	638.15
PRKAA2	83.45	141.02	88.26	58.71	151.22	74.06	111.21	41.52	20.11	29.7	45.85	82.87	49.21	38.4	69.52	48.87	46.5	41.52	50.27	63.0	42.11
PRNP	4639.29	2061.24	1936.53	1794.29	2104.58	1594.73	2720.15	1350.18	1242.34	1794.29	1819.35	1819.35	1909.85	1044.52	1605.83	693.58	1551.09	1896.65	1059.11	1936.53	1685.71
RAB21	1088.92	1111.82	830.75	1023.0	1143.1	1104.13	1073.91	723.08	599.49	819.3	830.75	961.07	854.13	813.63	802.41	684.02	759.08	679.29	559.28	872.1	836.53
RAI2	1991.0	532.74	660.68	483.38	1135.2	688.78	698.41	323.03	314.17	395.18	486.75	1191.69	536.45	397.93	607.87	353.59	373.81	490.14	157.68	974.5	490.14
RB1CC1	660.68	579.04	417.77	409.15	629.35	490.14	674.59	220.32	212.78	260.38	307.69	432.53	366.09	297.17	348.71	241.19	271.48	289.02	249.73	441.64	285.03
RNASE4	5594.3	656.11	603.67	555.41	1259.69	954.43	785.88	279.14	248.0	460.44	490.14	1104.13	551.56	490.14	665.29	129.69	525.39	260.38	236.21	1030.12	511.0
RNF185	1051.79	1259.69	1304.15	1073.91	1286.18	1286.18	1304.15	890.44	733.19	1008.9	981.29	1081.39	1104.13	728.11	1015.93	934.76	854.13	1167.14	748.61	1183.45	928.3
RNF38	842.36	703.28	656.11	486.75	1208.34	583.07	1059.11	265.87	293.07	392.44	507.46	791.35	575.03	334.46	500.46	295.11	406.31	397.93	255.0	616.37	480.04
RPRD2	902.89	603.67	435.55	476.71	753.83	457.25	642.59	373.81	269.6	387.02	414.87	503.95	543.96	361.04	379.04	320.8	318.57	260.38	242.88	454.09	363.56
RSBN1	258.57	381.68	205.5	224.97	305.55	256.78	251.48	153.34	130.6	183.82	244.57	228.13	194.36	162.14	167.9	109.66	173.85	169.07	136.19	236.21	183.82
SAMD8	466.88	249.73	166.73	149.12	273.37	217.27	195.72	94.67	102.97	135.24	165.57	209.84	214.27	124.37	151.22	118.43	133.36	116.78	98.04	183.82	164.42
SECISBP2L	808.0	1044.52	563.18	463.65	915.51	616.37	748.61	323.03	420.68	423.61	463.65	629.35	748.61	309.83	435.55	305.55	343.89	329.84	285.03	748.61	547.75
SERINC1	6607.01	5329.3	4543.8	4328.55	8022.41	5633.22	6887.62	2739.08	2485.67	3212.66	3515.68	6337.83	4239.45	2875.3	4239.45	2758.13	3395.89	3257.52	2224.63	5041.77	3820.7
SGCE	3060.45	854.13	629.35	753.83	1397.83	1037.29	1037.29	624.99	281.09	325.29	432.53	988.12	603.67	334.46	529.06	176.29	441.64	373.81	291.04	981.29	351.14
SH3BGRL	4123.49	2502.97	2255.7	2351.53	3589.58	2148.82	3372.43	1583.71	1369.04	1870.53	1628.26	3124.78	2119.22	1639.59	2004.85	1674.06	1991.0	1883.54	1457.23	2451.44	2075.59
SIRT1	603.67	470.14	363.56	332.14	563.18	363.56	476.71	153.34	158.79	223.41	283.05	414.87	309.83	256.78	358.54	158.79	307.69	212.78	153.34	454.09	265.87
SORT1	1175.27	1259.69	1233.75	1051.79	1397.83	1233.75	1331.57	915.51	878.17	961.07	967.76	1286.18	1216.75	780.44	995.0	1037.29	813.63	1167.14	723.08	1225.22	928.3
SP1	1111.82	543.96	457.25	540.19	620.67	571.05	620.67	339.14	318.57	409.15	450.94	688.78	466.88	480.04	403.5	325.29	356.05	209.84	336.79	500.46	392.44
SPATA6	395.18	285.03	241.19	205.5	368.65	229.72	327.56	169.07	161.02	171.45	182.55	301.33	208.38	173.85	212.78	120.94	139.07	159.9	133.36	248.0	178.77
TAF3	212.78	139.07	131.51	136.19	139.07	125.24	153.34	82.87	88.26	120.1	133.36	102.97	137.14	103.69	114.36	89.51	122.64	100.13	85.82	135.24	106.63
TBC1D15	1008.9	1023.0	813.63	684.02	1030.12	872.1	872.1	493.56	429.54	638.15	620.67	780.44	759.08	713.11	651.58	447.82	595.34	547.75	559.28	785.88	656.11
TMCC1	514.56	438.59	348.71	397.93	486.75	363.56	435.55	221.86	242.88	346.29	297.17	476.71	368.65	275.28	305.55	305.55	265.87	246.28	267.73	373.81	339.14
TMEM192	836.53	713.11	450.94	447.82	764.36	503.95	748.61	303.44	429.54	435.55	384.34	616.37	587.13	307.69	403.5	220.32	373.81	348.71	251.48	629.35	426.57
TOR1AIP1	1709.26	1617.0	1277.29	1467.37	2090.03	1313.23	1909.85	842.36	738.29	1001.93	1127.35	1407.55	1250.98	1023.0	1304.15	738.29	1088.92	909.17	698.41	1594.73	1081.39
TPO	366.09	645473.24	757033.75	619179.28	66449.85	751804.53	260332.24	602247.76	716197.51	1078054.48	641014.63	286861.53	687022.54	636586.81	598087.73	353168.2	919186.72	1890058.21	875652.15	386469.83	2111737.85
TSHZ1	447.82	242.88	234.57	239.52	283.05	215.77	332.14	186.4	187.71	232.94	214.27	307.69	217.27	218.79	194.36	132.44	191.67	180.02	150.17	223.41	215.77
TTBK2	130.6	111.21	92.7	94.01	115.97	95.34	129.69	49.91	48.87	82.87	65.26	105.89	85.82	62.56	65.72	48.52	49.21	52.08	55.1	80.01	80.01
TXLNG	403.5	277.2	198.47	297.17	291.04	301.33	291.04	161.02	144.01	228.13	224.97	253.23	293.07	224.97	267.73	132.44	215.77	166.73	165.57	279.14	220.32
UBE2G1	1015.93	463.65	514.56	414.87	500.46	432.53	669.92	312.0	387.02	379.04	417.77	536.45	490.14	371.22	417.77	353.59	463.65	470.14	316.37	507.46	395.18
UBE2R2	872.1	591.22	529.06	486.75	624.99	547.75	583.07	507.46	483.38	490.14	511.0	563.18	540.19	473.41	525.39	470.14	567.1	490.14	429.54	603.67	480.04
UVRAG	575.03	323.03	423.61	358.54	432.53	339.14	323.03	193.01	201.25	279.14	303.44	353.59	277.2	283.05	356.05	260.38	258.57	312.0	199.85	316.37	291.04
VEZF1	1529.73	1519.15	1135.2	1151.06	1388.16	947.83	1651.0	651.58	547.75	854.13	1044.52	1167.14	1242.34	825.0	896.64	429.54	733.19	476.71	642.59	1378.57	866.07
VSIG10	432.53	842.36	567.1	500.46	759.08	728.11	703.28	409.15	351.14	511.0	599.49	860.08	708.18	447.82	503.95	409.15	444.72	470.14	351.14	595.34	507.46
WNK1	2004.85	1159.07	723.08	759.08	1051.79	759.08	1208.34	638.15	483.38	656.11	669.92	1304.15	860.08	547.75	743.43	457.25	420.68	285.03	447.82	981.29	563.18
YIPF4	860.08	825.0	620.67	551.56	688.78	679.29	872.1	500.46	277.2	480.04	583.07	743.43	543.96	518.15	466.88	490.14	555.41	414.87	409.15	684.02	450.94
YPEL2	507.46	379.04	262.2	220.32	450.94	303.44	366.09	147.06	129.69	151.22	239.52	409.15	279.14	154.42	204.07	169.07	148.09	201.25	137.14	309.83	151.22
YTHDC1	1540.37	1674.06	1498.22	1417.35	1991.0	1498.22	1529.73	947.83	866.07	1159.07	1651.0	2061.24	1540.37	1340.84	1397.83	819.3	1015.93	733.19	995.0	1605.83	1104.13
ZBTB33	353.59	262.2	226.54	198.47	334.46	199.85	420.68	127.0	102.25	197.09	195.72	287.01	220.32	144.01	186.4	114.36	195.72	177.53	120.94	281.09	187.71
ZBTB44	551.56	551.56	420.68	358.54	624.99	403.5	703.28	281.09	248.0	262.2	339.14	497.0	480.04	287.01	348.71	241.19	314.17	314.17	281.09	403.5	368.65
ZDHHC7	1295.13	775.05	665.29	642.59	718.08	738.29	934.76	651.58	470.14	629.35	651.58	698.41	669.92	674.59	591.22	587.13	551.56	587.13	595.34	802.41	624.99
ZFYVE9	624.99	503.95	444.72	444.72	532.74	368.65	728.11	341.51	273.37	373.81	423.61	470.14	466.88	314.17	325.29	283.05	275.28	309.83	275.28	551.56	318.57
ZNF134	371.22	281.09	351.14	309.83	371.22	242.88	305.55	241.19	176.29	275.28	289.02	297.17	297.17	255.0	215.77	132.44	248.0	187.71	190.34	343.89	236.21
ZNF322	426.57	361.04	228.13	332.14	473.41	260.38	447.82	140.04	162.14	217.27	232.94	297.17	297.17	202.66	226.54	110.43	166.73	110.43	166.73	305.55	301.33
