	TCGA.A7.A26I.01A.11R.A169.07.1	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CH.5739.01A.11R.1580.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5512.01A.01R.1580.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.CH.5768.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.J4.8198.01A.11R.2263.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.KK.A59X.01A.11R.A29R.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.CH.5790.01A.11R.1580.07	TCGA.CH.5772.01A.11R.1580.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.HC.8262.01A.11R.2263.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	TCGA.BK.A26L.01A.11R.A277.07
B3GAT3	373.81	540.19	0.0	0.93	896.64	1159.07	1135.2	2855.44	2133.97	1745.2	718.08	2104.58	884.29	2148.82	842.36	2163.77	2240.11	1977.24	1769.57	769.69	1697.45	1794.29	1417.35	1119.56	1936.53	1175.27	1175.27	1709.26	1896.65	909.17	2255.7	2104.58	1605.83	1697.45	1685.71	2047.0	2335.28	1096.5	2255.7	1896.65	2104.58	1457.23	1745.2	928.3	1721.16	860.08	1896.65	1977.24	1199.98	1427.22	2287.2	2351.53	1167.14	1781.89	1963.57	1159.07	1135.2	1295.13	1963.57	2520.38	1977.24	1259.69	2384.37	2555.58	2335.28	2255.7	2367.9	1870.53	2061.24	1242.34	896.64	1529.73	2816.11	1561.89	1378.57	1844.76	1819.35	1923.14	2018.8	1583.71	1769.57	1059.11	1397.83	1378.57	1417.35	954.43	1572.76	1572.76	1529.73	1572.76	1268.46	1617.0	1313.23	1909.85	1001.93	2303.12	1757.34	1883.54	1437.15	723.08	902.89	848.22	1359.57	1781.89	1286.18	1498.22	2875.3	1457.23	902.89	1519.15	775.05	1594.73	842.36	2104.58	1923.14	1936.53	2004.85	1457.23	1651.0	1745.2	1819.35	1233.75	1167.14	1950.0	2367.9	2335.28	1167.14	2119.22	1963.57	1651.0	1233.75	769.69	1340.84	854.13	1417.35	1733.13	1066.48	1733.13	1183.45	1143.1	915.51	1427.22	1745.2	967.76	981.29	140.04
BCKDK	312.0	536.45	0.0	0.72	1721.16	1143.1	1066.48	1242.34	1745.2	1745.2	896.64	1331.57	813.63	1151.06	961.07	1832.01	1757.34	1498.22	1388.16	808.0	1757.34	1183.45	1008.9	947.83	1268.46	1073.91	1143.1	2032.85	1437.15	1023.0	1540.37	1313.23	1127.35	1183.45	1605.83	1605.83	1008.9	1111.82	1015.93	1427.22	1437.15	1477.58	1378.57	830.75	1322.37	698.41	1322.37	1350.18	848.22	1167.14	1250.98	1447.15	1066.48	1250.98	1066.48	1104.13	660.68	1066.48	1529.73	890.44	1369.04	1135.2	1104.13	1508.65	1519.15	1883.54	1457.23	1561.89	1721.16	1066.48	775.05	1286.18	1605.83	1225.22	1151.06	1151.06	1498.22	1216.75	1583.71	1088.92	1088.92	1051.79	988.12	1651.0	1175.27	1015.93	1304.15	1417.35	1191.69	1313.23	1135.2	1295.13	1407.55	1674.06	928.3	1457.23	1066.48	1572.76	1167.14	866.07	890.44	902.89	1044.52	1199.98	1066.48	1427.22	1628.26	1286.18	1051.79	1143.1	884.29	1167.14	947.83	1447.15	1369.04	1175.27	1519.15	1119.56	1467.37	1216.75	1277.29	1143.1	1268.46	1313.23	728.11	1628.26	1199.98	1208.34	1378.57	1378.57	1051.79	941.27	1295.13	813.63	1259.69	1104.13	1066.48	1487.87	954.43	1096.5	1073.91	1159.07	1167.14	961.07	1135.2	587.13
BLOC1S1	1066.48	1769.57	3928.15	915.51	2209.26	3039.3	2400.97	6561.36	5403.7	5255.91	2875.3	5751.61	2224.63	4239.45	2303.12	4736.79	7803.01	4972.34	4066.71	2163.77	4450.27	5041.77	3235.01	2335.28	6381.92	2434.5	2163.77	4066.71	4123.49	2520.38	5041.77	5219.6	4239.45	4639.29	5633.22	5292.48	7589.61	2591.27	4239.45	5517.27	5633.22	5441.3	4802.93	2720.15	4123.49	2061.24	5517.27	3768.09	3372.43	3874.05	5711.87	5633.22	3614.55	4836.35	6840.04	2609.3	3742.05	4328.55	5791.62	5403.7	4736.79	3690.52	5954.47	2875.3	4937.99	5751.61	4512.4	10225.32	6207.38	2935.74	1378.57	3349.13	7230.1	5292.48	3146.52	4388.98	6792.79	4937.99	4450.27	3515.68	5112.16	2609.3	3820.7	4607.24	4769.75	2758.13	2682.69	3540.14	3564.78	2976.74	4903.87	3955.48	3820.7	5329.3	2434.5	6516.03	4038.61	5112.16	2915.45	2032.85	3639.7	2875.3	3716.2	6121.9	3303.0	3614.55	8305.36	3349.13	2384.37	3467.27	2835.7	4869.99	2796.65	6745.86	5255.91	4937.99	4769.75	3039.3	5479.15	4010.71	4358.66	4239.45	2997.45	6337.83	4903.87	6840.04	2351.53	5292.48	3419.52	3742.05	4239.45	2720.15	4010.71	3395.89	4543.8	4869.99	4066.71	5183.54	3901.01	3874.05	3515.68	5995.9	6121.9	4239.45	3515.68	1388.16
C11orf83	226.54	61.25	218.79	170.25	320.8	480.04	314.17	1151.06	1250.98	470.14	194.36	785.88	237.86	848.22	226.54	1295.13	775.05	633.73	567.1	253.23	738.29	547.75	536.45	466.88	764.36	397.93	376.41	1183.45	660.68	271.48	872.1	819.3	518.15	579.04	902.89	1151.06	1561.89	392.44	599.49	1051.79	934.76	595.34	703.28	231.32	796.86	273.37	1066.48	603.67	356.05	607.87	988.12	947.83	457.25	728.11	830.75	426.57	341.51	395.18	733.19	708.18	909.17	480.04	1388.16	934.76	633.73	1066.48	1378.57	1721.16	902.89	457.25	279.14	620.67	785.88	723.08	679.29	688.78	1143.1	780.44	896.64	575.03	674.59	323.03	423.61	759.08	603.67	339.14	518.15	684.02	555.41	536.45	688.78	728.11	551.56	1044.52	334.46	1191.69	808.0	1159.07	684.02	209.84	260.38	334.46	473.41	848.22	483.38	674.59	1304.15	583.07	351.14	738.29	220.32	633.73	269.6	1066.48	629.35	866.07	1051.79	395.18	830.75	733.19	507.46	595.34	444.72	909.17	723.08	947.83	389.72	759.08	684.02	780.44	466.88	206.94	460.44	273.37	511.0	470.14	376.41	438.59	379.04	381.68	297.17	444.72	651.58	307.69	353.59	54.72
C17orf82	4.94	6.84	0.0	0.42	3.26	24.46	2.05	21.01	58.71	9.41	4.58	41.22	8.19	16.15	15.0	46.18	46.84	19.97	19.97	4.62	29.48	75.11	18.29	17.13	64.34	9.63	13.62	58.3	41.81	12.93	19.53	37.05	8.38	31.9	72.01	59.55	86.43	14.78	55.49	75.64	95.34	22.59	52.82	6.89	54.72	4.1	39.5	5.19	25.17	48.52	104.42	38.12	24.28	30.78	44.57	14.03	16.15	23.93	60.82	27.05	47.84	33.3	145.02	19.25	120.1	46.5	59.13	57.49	57.08	11.04	10.47	22.43	40.07	44.57	29.48	26.86	195.72	44.89	39.5	44.57	99.43	4.13	31.45	29.06	39.5	12.93	12.09	33.3	10.31	12.18	14.24	26.1	24.11	39.5	14.14	99.43	70.51	20.41	15.34	8.0	11.47	11.64	37.85	41.81	40.07	44.25	41.22	53.57	16.39	19.97	5.11	50.98	10.24	53.95	40.64	33.3	93.35	13.52	67.12	44.89	77.25	40.36	35.0	64.8	94.01	29.27	4.24	26.86	19.25	10.08	13.93	28.86	30.12	18.84	15.34	20.41	9.63	9.7	18.7	23.93	29.27	31.9	13.12	15.11	19.68	0.0
C19orf60	420.68	277.2	0.0	0.73	536.45	753.83	376.41	2255.7	2739.08	954.43	620.67	2367.9	473.41	1709.26	493.56	2417.67	2047.0	1242.34	1295.13	507.46	1721.16	1870.53	1378.57	769.69	1733.13	665.29	591.22	1651.0	1331.57	540.19	1143.1	1721.16	1407.55	1651.0	2855.44	2148.82	3124.78	684.02	1127.35	1806.78	2032.85	1191.69	1529.73	463.65	1259.69	647.07	1936.53	854.13	1044.52	1359.57	1963.57	2485.67	759.08	2976.74	1617.0	713.11	642.59	872.1	2209.26	1697.45	3124.78	1250.98	1936.53	2400.97	2485.67	2032.85	1561.89	2047.0	1936.53	1008.9	647.07	1519.15	3467.27	1340.84	884.29	1407.55	3515.68	2119.22	1561.89	1378.57	1781.89	579.04	830.75	1268.46	1233.75	559.28	1008.9	1844.76	878.17	1051.79	1819.35	1322.37	974.5	1896.65	688.78	1651.0	2240.11	1697.45	1135.2	389.72	432.53	775.05	1066.48	2335.28	1008.9	1159.07	3491.39	1119.56	583.07	902.89	511.0	1909.85	567.1	2367.9	1685.71	1909.85	2682.69	500.46	1757.34	1427.22	1001.93	1909.85	1208.34	1806.78	2240.11	1794.29	684.02	2148.82	1378.57	1313.23	575.03	624.99	1044.52	785.88	1030.12	1519.15	884.29	1081.39	1008.9	1437.15	759.08	915.51	1135.2	941.27	753.83	242.88
C19orf70	389.72	934.76	0.0	0.47	1498.22	1331.57	1407.55	3540.14	2895.31	2335.28	848.22	2351.53	1268.46	1991.0	1350.18	2976.74	3081.75	2133.97	1844.76	796.86	2555.58	1883.54	1781.89	1313.23	2090.03	1259.69	1457.23	2133.97	1781.89	1183.45	2224.63	2520.38	1936.53	2133.97	3190.46	2451.44	2875.3	1427.22	1909.85	2367.9	2255.7	2367.9	2255.7	1111.82	1844.76	1135.2	2796.65	2148.82	1583.71	1896.65	2627.46	2061.24	1583.71	2664.15	2417.67	1594.73	1498.22	1639.59	2193.99	2104.58	2609.3	1896.65	1991.0	2573.36	2400.97	3190.46	2400.97	3349.13	2645.74	1721.16	1081.39	1806.78	1896.65	2148.82	1709.26	2075.59	4358.66	2739.08	2468.49	1909.85	2224.63	1175.27	1651.0	2075.59	2104.58	1651.0	1721.16	1991.0	1819.35	2004.85	2224.63	2384.37	1781.89	2573.36	1111.82	2271.4	2240.11	2178.83	1977.24	1216.75	1104.13	1088.92	1651.0	2351.53	1794.29	2224.63	3303.0	2004.85	1191.69	1350.18	1388.16	1950.0	1208.34	3190.46	2004.85	2720.15	2758.13	1457.23	2209.26	2224.63	1709.26	1605.83	1561.89	2875.3	1909.85	2701.35	2047.0	1936.53	2193.99	2351.53	1519.15	1208.34	1870.53	1427.22	2255.7	2075.59	1781.89	2163.77	1583.71	1628.26	1572.76	2004.85	2520.38	1709.26	1551.09	143.01
C9orf142	356.05	363.56	0.0	0.67	961.07	896.64	1023.0	2163.77	2537.92	1651.0	791.35	2935.74	884.29	1508.65	647.07	2163.77	1844.76	1508.65	1923.14	518.15	1896.65	2417.67	1340.84	921.88	1857.6	1159.07	981.29	1467.37	2119.22	848.22	1487.87	2075.59	1950.0	1870.53	2303.12	1857.6	2090.03	1096.5	1225.22	1844.76	2645.74	1745.2	2018.8	743.43	1498.22	1225.22	1991.0	1304.15	1487.87	1551.09	1844.76	2502.97	902.89	2796.65	1617.0	1151.06	884.29	890.44	1991.0	3235.01	2645.74	1437.15	2855.44	3257.52	1844.76	2956.17	1295.13	1832.01	1936.53	1037.29	854.13	1639.59	2335.28	2090.03	1277.29	1369.04	2104.58	1757.34	2895.31	1378.57	1844.76	961.07	1605.83	1487.87	2119.22	1037.29	1159.07	1977.24	988.12	1583.71	2701.35	1457.23	1331.57	1685.71	872.1	1819.35	1896.65	1697.45	1369.04	476.71	703.28	921.88	1286.18	2434.5	1233.75	1697.45	3081.75	1427.22	769.69	1745.2	733.19	1781.89	775.05	3589.58	2367.9	2816.11	1583.71	967.76	1819.35	1781.89	802.41	1844.76	1359.57	2895.31	2758.13	2591.27	921.88	2664.15	1757.34	1674.06	1111.82	825.0	1551.09	1066.48	1295.13	1950.0	1397.83	1685.71	1183.45	1447.15	884.29	1572.76	1605.83	1151.06	1059.11	87.65
CDKN2AIPNL	387.02	486.75	0.0	0.28	764.36	575.03	518.15	878.17	389.72	486.75	616.37	603.67	412.0	708.18	583.07	941.27	703.28	693.58	473.41	493.56	567.1	703.28	579.04	384.34	764.36	638.15	651.58	902.89	559.28	612.11	642.59	583.07	493.56	665.29	915.51	723.08	830.75	595.34	603.67	575.03	532.74	536.45	607.87	511.0	629.35	463.65	688.78	802.41	551.56	503.95	780.44	642.59	665.29	988.12	961.07	728.11	723.08	842.36	684.02	595.34	733.19	511.0	842.36	693.58	693.58	941.27	836.53	1037.29	718.08	669.92	529.06	698.41	785.88	507.46	412.0	551.56	860.08	674.59	612.11	651.58	743.43	466.88	679.29	607.87	603.67	559.28	595.34	612.11	507.46	607.87	1295.13	718.08	551.56	764.36	409.15	684.02	633.73	713.11	866.07	647.07	511.0	397.93	441.64	603.67	511.0	536.45	860.08	769.69	503.95	842.36	417.77	571.05	679.29	780.44	532.74	651.58	954.43	567.1	579.04	723.08	473.41	511.0	447.82	819.3	571.05	723.08	638.15	571.05	656.11	693.58	466.88	426.57	454.09	476.71	555.41	397.93	490.14	438.59	497.0	381.68	466.88	466.88	764.36	466.88	503.95	384.34
CHCHD5	229.72	432.53	0.0	0.3	981.29	884.29	718.08	2104.58	1757.34	1388.16	483.38	1662.49	660.68	1437.15	656.11	1378.57	1844.76	1487.87	1088.92	591.22	1350.18	1662.49	947.83	764.36	1498.22	796.86	866.07	1277.29	1199.98	669.92	1477.58	1806.78	1023.0	1583.71	2271.4	1561.89	2018.8	974.5	1427.22	1477.58	1721.16	1378.57	1583.71	769.69	1111.82	656.11	1551.09	1175.27	1044.52	1143.1	1508.65	1437.15	1111.82	934.76	1639.59	1119.56	1023.0	1191.69	1769.57	1437.15	1175.27	1044.52	1437.15	1781.89	1508.65	2047.0	1417.35	1844.76	1697.45	961.07	738.29	1183.45	2209.26	1183.45	1225.22	1369.04	2075.59	1594.73	1628.26	1199.98	1639.59	723.08	915.51	1331.57	1331.57	819.3	934.76	1111.82	988.12	842.36	473.41	1286.18	1250.98	1437.15	679.29	1498.22	1583.71	1529.73	1388.16	808.0	688.78	723.08	974.5	1662.49	1037.29	1199.98	1883.54	1378.57	665.29	954.43	819.3	1151.06	563.18	1242.34	1199.98	1437.15	1819.35	1151.06	1268.46	1242.34	1151.06	1081.39	954.43	1417.35	1183.45	1111.82	921.88	1225.22	1268.46	1369.04	1175.27	780.44	1135.2	743.43	1397.83	1037.29	947.83	1183.45	1015.93	1037.29	802.41	1216.75	1508.65	1104.13	896.64	102.97
CISD3	94.67	444.72	0.0	0.38	1008.9	915.51	1059.11	1757.34	2224.63	1819.35	921.88	1540.37	633.73	1143.1	1250.98	2351.53	2591.27	1781.89	1487.87	1096.5	1794.29	2400.97	981.29	1259.69	2335.28	1498.22	1437.15	1923.14	1519.15	1135.2	2075.59	2224.63	1498.22	1639.59	2627.46	2004.85	3665.02	1119.56	1437.15	1628.26	2335.28	1477.58	1583.71	1119.56	1066.48	981.29	1561.89	1909.85	1487.87	1225.22	1286.18	2004.85	1183.45	1857.6	1963.57	1073.91	1277.29	1304.15	1572.76	1059.11	1721.16	1030.12	1857.6	2287.2	2032.85	2816.11	1594.73	2573.36	3303.0	1896.65	854.13	1674.06	3540.14	1721.16	1685.71	1159.07	2591.27	1757.34	2104.58	1233.75	1331.57	1225.22	1378.57	1896.65	1250.98	1313.23	1295.13	1697.45	1407.55	1950.0	2224.63	1794.29	1477.58	2148.82	616.37	1651.0	1457.23	3419.52	1628.26	1233.75	1073.91	698.41	1340.84	1977.24	1208.34	1369.04	3081.75	1427.22	1119.56	1268.46	1119.56	1561.89	1066.48	1685.71	1909.85	1923.14	2502.97	1447.15	2133.97	1259.69	764.36	1313.23	866.07	1721.16	1286.18	2148.82	1417.35	1540.37	1794.29	2104.58	1088.92	759.08	1322.37	802.41	1519.15	1437.15	1151.06	1781.89	1073.91	909.17	808.0	1977.24	2119.22	909.17	896.64	67.59
CLPP	483.38	764.36	0.0	0.55	1697.45	1794.29	1508.65	2855.44	2367.9	1991.0	1167.14	1977.24	1350.18	1963.57	1295.13	1991.0	3168.41	2384.37	1909.85	785.88	2682.69	2451.44	1963.57	1617.0	2075.59	1733.13	1936.53	1991.0	1950.0	1250.98	2573.36	2163.77	2193.99	2061.24	2485.67	2240.11	2303.12	1477.58	2271.4	2032.85	1950.0	2209.26	2104.58	1183.45	2061.24	1407.55	2502.97	2335.28	1519.15	1819.35	2148.82	1923.14	1733.13	2384.37	2193.99	1628.26	1583.71	1769.57	2209.26	1467.37	2485.67	1819.35	1896.65	2997.45	2319.15	3235.01	2367.9	2520.38	2627.46	2047.0	1286.18	1963.57	1709.26	1794.29	1923.14	2104.58	2997.45	2090.03	2739.08	2104.58	2255.7	1340.84	1857.6	1923.14	1857.6	1594.73	1923.14	2209.26	2133.97	1757.34	2090.03	1832.01	2075.59	2133.97	1331.57	1819.35	2090.03	2224.63	1963.57	1322.37	1498.22	1304.15	1745.2	2287.2	1709.26	2163.77	3349.13	2335.28	1322.37	1583.71	1487.87	2367.9	1313.23	2163.77	2119.22	1870.53	2075.59	1781.89	2400.97	2090.03	1991.0	1806.78	1870.53	2061.24	1427.22	2400.97	2047.0	2032.85	2148.82	2209.26	2061.24	1250.98	1991.0	1437.15	1923.14	2367.9	1605.83	1794.29	1909.85	1977.24	1388.16	2018.8	1991.0	1508.65	1709.26	171.45
COMTD1	224.97	115.97	802.41	518.15	226.54	366.09	190.34	1023.0	836.53	353.59	191.67	848.22	289.02	571.05	176.29	753.83	607.87	356.05	454.09	189.02	738.29	703.28	267.73	273.37	728.11	271.48	229.72	830.75	384.34	206.94	638.15	616.37	389.72	432.53	1037.29	583.07	848.22	206.94	406.31	587.13	728.11	441.64	521.76	177.53	591.22	204.07	518.15	314.17	384.34	387.02	463.65	575.03	217.27	674.59	463.65	353.59	186.4	305.55	624.99	1151.06	612.11	303.44	660.68	1183.45	1023.0	603.67	616.37	647.07	796.86	170.25	198.47	409.15	612.11	503.95	417.77	327.56	1167.14	490.14	567.1	400.71	547.75	195.72	363.56	460.44	470.14	232.94	493.56	457.25	379.04	409.15	470.14	363.56	323.03	540.19	265.87	543.96	674.59	785.88	316.37	154.42	125.24	237.86	351.14	674.59	403.5	669.92	995.0	447.82	214.27	351.14	218.79	450.94	193.01	1051.79	454.09	1175.27	738.29	295.11	575.03	277.2	260.38	514.56	295.11	708.18	603.67	947.83	297.17	567.1	567.1	316.37	271.48	223.41	571.05	262.2	438.59	470.14	334.46	323.03	320.8	409.15	264.03	400.71	473.41	255.0	161.02	2.92
DEAF1	204.07	242.88	0.0	0.72	1023.0	1015.93	961.07	1359.57	1397.83	1167.14	759.08	1119.56	547.75	1594.73	583.07	1467.37	1059.11	1073.91	988.12	656.11	1127.35	1216.75	1242.34	854.13	1044.52	934.76	830.75	2004.85	1388.16	764.36	1733.13	1340.84	961.07	848.22	1259.69	1498.22	1417.35	1175.27	1216.75	1359.57	1313.23	759.08	1359.57	529.06	1143.1	470.14	1477.58	1096.5	713.11	1096.5	1037.29	1508.65	1015.93	1322.37	1519.15	842.36	796.86	1127.35	1259.69	1551.09	961.07	1023.0	1059.11	1088.92	1388.16	1250.98	1340.84	1572.76	1437.15	1259.69	860.08	1350.18	1081.39	981.29	743.43	854.13	1519.15	909.17	1883.54	1457.23	1015.93	830.75	872.1	988.12	1295.13	872.1	941.27	1378.57	1359.57	1081.39	638.15	995.0	1216.75	1583.71	629.35	1519.15	1199.98	1388.16	1051.79	842.36	651.58	728.11	872.1	1183.45	974.5	902.89	1295.13	1407.55	954.43	764.36	890.44	1096.5	928.3	1662.49	1104.13	1242.34	802.41	1030.12	1277.29	1340.84	1733.13	825.0	854.13	1457.23	967.76	1183.45	1059.11	1175.27	1151.06	1350.18	830.75	698.41	995.0	860.08	947.83	884.29	854.13	941.27	1001.93	941.27	733.19	872.1	941.27	769.69	679.29	473.41
DPM2	163.28	540.19	0.0	0.51	967.76	1191.69	1143.1	2090.03	1832.01	1605.83	1183.45	1662.49	769.69	1551.09	748.61	2224.63	2090.03	1605.83	1806.78	665.29	1674.06	1457.23	1081.39	872.1	1551.09	1151.06	902.89	1605.83	1350.18	860.08	1745.2	2148.82	1295.13	1594.73	1697.45	1870.53	2224.63	1111.82	1605.83	1628.26	1733.13	1551.09	1447.15	896.64	1427.22	1331.57	1617.0	1540.37	1088.92	1225.22	1551.09	1628.26	1242.34	1909.85	1757.34	1159.07	1023.0	1127.35	1674.06	1388.16	1662.49	1225.22	1896.65	2004.85	2468.49	1721.16	1561.89	2104.58	1674.06	890.44	785.88	1437.15	1697.45	1594.73	1135.2	1721.16	1572.76	1617.0	1605.83	1477.58	1551.09	1073.91	1143.1	1583.71	1313.23	1183.45	1199.98	1233.75	1304.15	1359.57	2645.74	1487.87	1233.75	1572.76	941.27	2133.97	1397.83	1781.89	1242.34	902.89	902.89	1030.12	1104.13	1628.26	1127.35	1487.87	2451.44	1313.23	854.13	1331.57	738.29	1417.35	1023.0	2163.77	1340.84	1896.65	1936.53	1295.13	1561.89	1447.15	1388.16	1199.98	1233.75	1662.49	1561.89	2351.53	1104.13	1709.26	1331.57	1322.37	1127.35	723.08	1242.34	813.63	1304.15	1359.57	974.5	1397.83	981.29	1023.0	866.07	1498.22	1583.71	941.27	928.3	435.55
