	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.4Z.AA83.01A.11R.A39I.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.PL.A8LX.01A.11R.A41B.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.G4.6298.01A.11R.1723.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.S7SF.0926.SM.4AD4M	GTEX.OXRL.0626.SM.3NM9C	TCGA.CV.7103.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.M7.A71Z.01A.12R.A32O.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.EY.A1GX.01A.12R.A13S.07
CDC42	3235.01	4152.18	4671.57	4210.15	2664.15	4388.98	3820.7	7081.29	1605.83	4869.99	4704.07	4869.99	5147.73	4181.07	4736.79	3928.15	19892.37	2384.37	10512.82	7130.55	6516.03	5995.9	7803.01	6607.01	6840.04	2573.36
CEP85	110.43	178.77	54.72	167.9	138.1	142.01	162.14	392.44	107.38	177.53	191.67	241.19	199.85	226.54	178.77	0.0	0.6	91.41	241.19	353.59	332.14	253.23	265.87	341.51	389.72	301.33
CKAP2L	32.36	24.46	20.86	46.18	20.56	30.56	13.93	129.69	24.99	23.76	14.14	66.18	88.88	53.57	153.34	0.0	0.0	5.36	187.71	241.19	187.71	173.85	151.22	88.88	193.01	24.99
CLNS1A	1313.23	2303.12	2319.15	2163.77	2119.22	2417.67	1662.49	3589.58	4358.66	2032.85	1936.53	1963.57	2573.36	2956.17	2720.15	2119.22	507.46	2935.74	5366.37	4450.27	2875.3	3235.01	5147.73	3639.7	5329.3	2090.03
CNTF	1.69	2.71	2.48	7.69	4.06	4.46	0.28	10.0	5.96	9.56	9.56	6.84	6.11	12.74	8.19	0.0	0.16	1.53	8.13	24.63	22.26	12.0	29.7	10.24	16.15	4.98
CPEB4	90.77	42.41	100.13	109.66	49.56	30.12	215.77	583.07	64.34	325.29	511.0	480.04	356.05	301.33	341.51	0.0	0.46	14.45	215.77	236.21	409.15	525.39	500.46	1159.07	356.05	92.7
CPSF2	186.4	249.73	215.77	287.01	239.52	169.07	366.09	432.53	332.14	420.68	429.54	295.11	503.95	384.34	540.19	525.39	146.03	198.47	890.44	915.51	693.58	595.34	490.14	660.68	651.58	226.54
DCLRE1B	36.79	38.95	34.02	43.63	43.02	50.27	83.45	91.41	49.91	108.14	82.29	80.57	69.52	69.03	97.36	0.0	0.0	27.44	169.07	118.43	79.45	76.71	77.79	88.26	94.01	54.33
DHCR24	125.24	463.65	59.13	229.72	39.22	2163.77	7537.18	9279.58	470.14	18819.27	32767.0	11112.3	9025.81	7537.18	9945.68	0.0	0.0	5872.48	8305.36	13033.07	7857.29	10368.08	10084.54	11909.94	8078.22	2537.92
DMC1	27.05	0.93	0.0	1.97	1.14	21.94	19.11	98.73	4.13	67.12	32.59	27.44	20.71	8.58	25.35	0.0	0.21	0.0	121.79	108.9	6.73	70.01	8.32	5.45	4.35	9.27
DYNLT3	237.86	366.09	567.1	497.0	343.89	387.02	514.56	2682.69	251.48	1216.75	1628.26	1397.83	1225.22	830.75	1268.46	0.0	0.59	249.73	6516.03	5711.87	2976.74	2434.5	3820.7	1806.78	5831.91	389.72
EFCAB14	629.35	563.18	808.0	688.78	470.14	669.92	1088.92	1397.83	384.34	660.68	743.43	928.3	1378.57	1242.34	1159.07	0.0	0.6	381.68	1883.54	1313.23	1617.0	1487.87	1250.98	1407.55	1023.0	703.28
EHD1	329.84	447.82	329.84	583.07	334.46	412.0	356.05	1167.14	417.77	1277.29	1151.06	1233.75	532.74	743.43	802.41	0.0	0.46	209.84	921.88	988.12	3874.05	1030.12	1685.71	1721.16	1437.15	642.59
EIF4G2	6745.86	7485.11	5403.7	7382.04	6381.92	4239.45	6294.04	9740.98	7433.4	9876.98	15392.14	11909.94	10883.59	7485.11	11664.82	10883.59	2664.15	3280.18	26800.01	15075.35	12329.98	14663.09	17078.76	16960.78	18560.17	4239.45
ELOVL7	32.36	13.62	39.5	23.93	19.97	20.56	37.32	170.25	33.06	71.0	66.65	51.71	63.45	85.82	156.59	0.0	0.2	139.07	75.64	130.6	251.48	106.63	54.33	85.82	112.77	6.84
EPT1	113.56	136.19	112.77	127.0	114.36	151.22	178.77	325.29	171.45	209.84	231.32	242.88	248.0	256.78	275.28	0.0	0.62	129.69	426.57	616.37	483.38	265.87	400.71	373.81	463.65	139.07
ETF1	511.0	599.49	775.05	836.53	536.45	470.14	753.83	1651.0	1242.34	2255.7	2417.67	2591.27	1674.06	1883.54	1950.0	0.0	0.36	543.96	2976.74	3103.19	3018.3	2104.58	2701.35	2835.7	3768.09	872.1
FBXO3	320.8	389.72	256.78	339.14	301.33	170.25	503.95	2875.3	351.14	679.29	830.75	825.0	819.3	669.92	995.0	0.0	0.56	277.2	1519.15	1605.83	1151.06	1096.5	2032.85	1340.84	1709.26	371.22
FYTTD1	387.02	460.44	480.04	738.29	476.71	490.14	775.05	1250.98	314.17	1081.39	1167.14	1191.69	988.12	808.0	1369.04	0.0	0.78	256.78	2956.17	2047.0	3190.46	1639.59	1662.49	1721.16	1977.24	500.46
G3BP2	460.44	591.22	723.08	723.08	429.54	397.93	733.19	928.3	660.68	780.44	872.1	1008.9	1001.93	775.05	1304.15	0.0	0.6	764.36	1896.65	1242.34	2133.97	1119.56	1350.18	1051.79	872.1	660.68
GNG12	285.03	320.8	336.79	559.28	260.38	351.14	356.05	2133.97	283.05	1322.37	1709.26	1639.59	1359.57	961.07	1721.16	0.0	0.6	121.79	3639.7	2520.38	2075.59	1909.85	2645.74	1870.53	2956.17	500.46
HIPK1	177.53	189.02	180.02	242.88	164.42	229.72	309.83	476.71	248.0	503.95	559.28	638.15	555.41	503.95	525.39	183.82	72.52	156.59	713.11	1304.15	1295.13	511.0	579.04	723.08	842.36	351.14
HIVEP1	156.59	74.06	97.36	159.9	155.5	103.69	112.77	417.77	115.97	361.04	414.87	395.18	318.57	234.57	366.09	132.44	249.73	122.64	316.37	884.29	211.31	417.77	463.65	373.81	368.65	124.37
KRAS	90.77	147.06	150.17	158.79	181.28	156.59	152.28	802.41	140.04	366.09	454.09	414.87	785.88	366.09	368.65	0.0	0.64	69.52	819.3	819.3	525.39	503.95	743.43	518.15	616.37	215.77
KRT31	41.22	0.92	1.87	53.19	1.5	5.73	10.88	3690.52	1.13	83.45	1225.22	2384.37	301.33	74.58	339.14	0.0	0.0	0.0	808.0	1127.35	1857.6	1015.93	1832.01	1167.14	1359.57	0.0
KRT32	0.67	0.3	0.0	0.0	1.83	0.0	0.0	49.56	0.39	1437.15	1369.04	2061.24	60.39	115.16	30.34	0.0	0.09	0.0	197.09	318.57	52.08	89.51	199.85	94.67	183.82	0.0
KRT33A	7.69	4.78	0.0	7.63	3.32	6.36	0.61	329.84	0.0	121.79	133.36	438.59	34.02	12.18	19.97	0.0	0.0	0.0	115.16	165.57	47.5	65.26	175.07	68.07	122.64	17.51
KRT35	0.34	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	1.41	8.25	4.43	2.01	2.27	0.35	0.0	0.0	0.0	1.35	6.36	1.35	0.0	0.0	3.14	1.43	0.0
KRT4	0.75	265.87	0.0	12.55	269.6	316.37	0.49	3.697379928E7	4.24	1.810644424E7	2.276004283E7	3.109113511E7	353168.2	89523.81	447025.24	0.0	0.0	8.13	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	8.25
LIN54	41.52	50.27	55.89	63.89	38.67	39.22	59.97	563.18	45.85	215.77	256.78	285.03	161.02	119.26	129.69	69.52	90.77	21.47	287.01	583.07	144.01	214.27	220.32	309.83	323.03	63.89
LY6G6C	1.75	0.0	1.91	3.63	0.0	4.24	0.72	81809.59	35.25	1277.29	1977.24	5041.77	551.56	93.35	5292.48	0.0	0.66	0.0	24490.61	40621.74	6337.83	5147.73	17197.56	4010.71	54349.29	1.11
MAP4	1191.69	1457.23	1529.73	1096.5	1216.75	1487.87	1322.37	2434.5	2303.12	2835.7	2485.67	2224.63	1745.2	2351.53	2485.67	0.0	0.88	1508.65	3303.0	4607.24	3467.27	3081.75	2645.74	3280.18	2537.92	1883.54
MRPL49	476.71	718.08	698.41	656.11	587.13	579.04	1540.37	1008.9	764.36	1151.06	1208.34	1199.98	1023.0	842.36	1331.57	0.0	0.6	1268.46	2104.58	1662.49	723.08	1467.37	1896.65	1909.85	1870.53	878.17
MXD1	389.72	379.04	85.82	500.46	122.64	175.07	144.01	22692.63	80.01	8022.41	17197.56	18178.19	1259.69	1378.57	1359.57	293.07	651.58	111.21	3103.19	6840.04	7230.1	3372.43	7803.01	6037.61	8421.31	279.14
MYEOV	346.29	21.78	7.51	435.55	158.79	50.63	27.25	21468.49	22.26	497.0	728.11	2032.85	748.61	633.73	147.06	0.0	0.58	0.0	2061.24	2555.58	1030.12	1757.34	3515.68	3901.01	2555.58	7.4
NAA15	164.42	178.77	220.32	239.52	134.3	152.28	193.01	348.71	181.28	379.04	305.55	320.8	343.89	414.87	406.31	480.04	1322.37	135.24	713.11	567.1	1073.91	429.54	476.71	476.71	529.06	202.66
NDC1	95.34	144.01	139.07	119.26	119.26	244.57	63.0	312.0	133.36	198.47	126.12	157.68	239.52	237.86	262.2	0.0	0.23	94.01	457.25	299.25	336.79	256.78	226.54	267.73	334.46	201.25
NPR3	5.06	2.71	5.23	1.62	9.56	5.73	4.5	187.71	22.75	57.49	67.12	60.39	124.37	69.52	171.45	0.0	0.24	5.5	660.68	1388.16	103.69	228.13	395.18	279.14	872.1	6.31
NR0B1	0.0	0.0	0.32	0.0	0.0	0.0	0.0	76.71	0.0	0.0	0.0	0.44	1.51	0.0	1.41	0.0	0.0	0.0	19.11	2.78	1.71	0.22	11.47	3.38	2.12	0.0
NTS	65.26	0.92	0.0	0.0	62.56	96.01	0.0	0.0	0.0	26.67	14.24	20.11	31.0	66.65	334.46	0.0	0.17	17.0	547.75	76861.91	1037.29	140.04	14361.31	96.68	39.5	11.3
OPN3	177.53	307.69	237.86	120.94	341.51	327.56	88.88	1617.0	124.37	154.42	208.38	262.2	371.22	334.46	204.07	0.0	0.35	40.93	507.46	334.46	395.18	384.34	223.41	334.46	447.82	38.4
PAPSS1	866.07	633.73	764.36	603.67	412.0	348.71	547.75	2303.12	348.71	547.75	438.59	483.38	981.29	934.76	1081.39	0.0	0.12	718.08	1250.98	909.17	785.88	1208.34	896.64	1295.13	708.18	791.35
PI4K2B	265.87	204.07	229.72	297.17	142.01	269.6	132.44	753.83	130.6	205.5	234.57	175.07	460.44	358.54	395.18	0.0	0.49	135.24	395.18	307.69	249.73	384.34	325.29	358.54	356.05	291.04
PIK3CB	169.07	155.5	190.34	201.25	125.24	133.36	361.04	836.53	343.89	435.55	432.53	406.31	480.04	389.72	540.19	0.0	0.51	253.23	748.61	796.86	414.87	457.25	748.61	620.67	624.99	381.68
PMEL	61.25	50.98	74.06	42.11	22.59	44.57	26.67	139.07	57.89	36.79	18.03	28.04	94.67	22.75	2400.97	0.0	0.19	3.76	221.86	183.82	236.21	373.81	129.69	161.02	351.14	71.5
PPP4R1	1651.0	713.11	1001.93	808.0	703.28	890.44	555.41	7803.01	361.04	3665.02	4671.57	4181.07	2451.44	2664.15	1427.22	860.08	154.42	532.74	3540.14	5633.22	4869.99	2609.3	4210.15	4481.23	5076.84	466.88
PRDX1	5076.84	8191.0	13872.08	5751.61	9344.14	15285.81	10659.59	40062.48	6745.86	22072.07	29124.6	27553.49	25530.66	18950.18	22535.88	0.0	1.28	7803.01	43840.21	45072.75	35363.15	29124.6	47642.77	42937.97	45386.27	12676.65
PSEN1	651.58	579.04	567.1	575.03	708.18	551.56	435.55	819.3	432.53	708.18	620.67	651.58	769.69	785.88	743.43	0.0	0.49	403.5	1259.69	1104.13	819.3	878.17	988.12	1044.52	928.3	500.46
PSMD12	447.82	669.92	567.1	583.07	450.94	579.04	595.34	1051.79	525.39	723.08	599.49	525.39	866.07	967.76	854.13	1359.57	974.5	287.01	1183.45	1030.12	1447.15	830.75	995.0	981.29	1127.35	497.0
PTBP3	346.29	376.41	346.29	529.06	346.29	327.56	409.15	2976.74	444.72	1143.1	1008.9	1883.54	884.29	698.41	1073.91	647.07	109.66	139.07	1551.09	2520.38	1477.58	1081.39	1540.37	1167.14	1594.73	299.25
RAB18	748.61	1030.12	1059.11	1001.93	825.0	1104.13	1304.15	2855.44	651.58	1757.34	2032.85	1757.34	2004.85	1857.6	1991.0	0.0	0.79	819.3	4736.79	4298.64	3395.89	2720.15	3081.75	3467.27	5183.54	1199.98
RNF11	483.38	860.08	902.89	921.88	476.71	802.41	1437.15	3349.13	476.71	1477.58	2193.99	2193.99	1662.49	848.22	2351.53	0.0	0.39	463.65	5672.41	5954.47	2935.74	2915.45	4388.98	3190.46	5594.3	733.19
RRAGC	149.12	186.4	193.01	414.87	197.09	189.02	305.55	796.86	189.02	718.08	748.61	624.99	503.95	587.13	599.49	0.0	0.54	255.0	1096.5	896.64	808.0	591.22	961.07	1023.0	1151.06	198.47
SEC14L2	156.59	226.54	118.43	289.02	20.71	77.25	83.45	10808.41	312.0	860.08	1508.65	1037.29	651.58	620.67	363.56	0.0	0.42	981.29	738.29	148.09	532.74	764.36	591.22	836.53	295.11	387.02
SEPP1	237.86	629.35	392.44	500.46	738.29	289.02	2537.92	6983.79	656.11	1685.71	1159.07	2520.38	3665.02	2855.44	2645.74	3372.43	241.19	748.61	26986.43	1096.5	2758.13	2816.11	5791.62	2609.3	4239.45	1819.35
SLC47A1	3.76	0.33	2.81	4.86	1.51	0.0	8.13	22.75	2.94	37.85	33.78	28.24	23.93	36.53	185.11	0.0	0.13	4.78	150.17	92.05	180.02	52.08	137.14	147.06	76.17	5.02
SLC6A9	40.36	30.12	53.95	15.22	64.8	157.68	36.01	941.27	52.82	1781.89	1037.29	2119.22	339.14	236.21	607.87	543.96	236.21	35.25	860.08	2032.85	346.29	775.05	872.1	1457.23	1529.73	218.79
STARD5	884.29	486.75	312.0	409.15	532.74	444.72	127.0	629.35	68.55	872.1	1359.57	902.89	638.15	753.83	620.67	0.0	0.8	81.14	656.11	1199.98	698.41	547.75	2032.85	651.58	961.07	125.24
TENM3	0.37	0.0	0.34	0.67	0.39	0.0	1.6	0.0	9.06	21.94	15.45	18.7	7.06	13.12	34.26	0.0	0.32	2.61	105.15	19.11	131.51	9.93	19.82	4.43	16.15	0.0
TMBIM1	3768.09	5441.3	4328.55	7537.18	2384.37	5954.47	947.83	19754.96	2004.85	7032.37	6745.86	8363.13	6840.04	7803.01	4802.93	2520.38	180.02	229.72	9215.48	8963.45	10808.41	10014.87	14361.31	13776.25	17317.18	909.17
TMPRSS4	8191.0	6745.86	3325.99	13776.25	8718.32	7032.37	7.82	12329.98	1844.76	1733.13	1208.34	12943.04	3847.29	4450.27	1030.12	0.0	0.0	10.16	7485.11	12502.12	30572.63	9673.69	10512.82	12502.12	9606.86	134.3
TOM1	447.82	473.41	518.15	961.07	563.18	547.75	718.08	4736.79	366.09	6381.92	7642.41	9808.75	2367.9	1427.22	2090.03	1651.0	551.56	1175.27	2739.08	3768.09	1662.49	3146.52	4038.61	5292.48	4575.41	1977.24
UBA6	346.29	126.12	262.2	1757.34	397.93	175.07	172.65	2701.35	114.36	551.56	703.28	420.68	332.14	384.34	447.82	303.44	130.6	65.26	429.54	842.36	1417.35	688.78	1175.27	620.67	764.36	149.12
UBE2A	872.1	753.83	878.17	1008.9	830.75	1191.69	1151.06	1896.65	813.63	1857.6	2018.8	1757.34	1617.0	1286.18	1369.04	0.0	0.95	629.35	3280.18	2417.67	1883.54	1721.16	1909.85	1923.14	2915.45	830.75
VPS26A	397.93	444.72	620.67	679.29	429.54	500.46	379.04	1388.16	651.58	974.5	1143.1	860.08	1111.82	1008.9	1225.22	0.0	0.78	503.95	2047.0	1806.78	1745.2	1340.84	1832.01	1529.73	1991.0	884.29
WARS	551.56	607.87	674.59	1096.5	860.08	591.22	1628.26	1832.01	1628.26	3060.45	2875.3	1369.04	1322.37	1651.0	2163.77	0.0	0.62	1081.39	3443.31	4152.18	4095.0	1709.26	2915.45	1447.15	679.29	1008.9
WDR1	2163.77	2976.74	3303.0	3614.55	2384.37	4543.8	2591.27	2367.9	1896.65	9474.59	5954.47	7537.18	3443.31	5076.84	3443.31	0.0	0.79	1709.26	6037.61	5913.33	6983.79	6792.79	5183.54	6207.38	5711.87	2997.45
WDR47	60.82	83.45	65.72	111.99	60.82	64.8	117.6	836.53	40.64	283.05	403.5	441.64	384.34	189.02	358.54	0.0	0.48	34.51	486.75	743.43	563.18	291.04	603.67	454.09	830.75	152.28
WNT4	260.38	138.1	67.59	414.87	71.0	26.1	60.39	1617.0	2.43	463.65	599.49	1378.57	463.65	205.5	718.08	0.0	0.01	166.73	2645.74	7911.95	532.74	1977.24	4481.23	2032.85	5517.27	5.54
ZDHHC20	118.43	142.01	115.97	194.36	124.37	205.5	163.28	1059.11	358.54	607.87	866.07	785.88	728.11	318.57	723.08	0.0	0.23	20.56	3212.66	3124.78	1295.13	1159.07	2835.7	1340.84	2193.99	163.28
ZFP91	255.0	251.48	242.88	435.55	237.86	209.84	265.87	507.46	387.02	591.22	486.75	490.14	567.1	493.56	703.28	0.0	0.72	265.87	872.1	830.75	759.08	638.15	728.11	665.29	733.19	406.31
ZNF185	198.47	450.94	723.08	403.5	121.79	563.18	109.66	16843.62	142.01	72715.74	140478.49	179048.63	7032.37	4066.71	6652.97	356.05	161.02	84.63	17927.91	28923.41	16496.96	16960.78	28923.41	19618.49	25354.3	65.26
