	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13QIC.2326.SM.5LU5N	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.XBEC.1526.SM.4AT68	TCGA.38.4625.01A.01R.1206.07
CSNK1A1	3081.75	4836.35	1651.0	2739.08	3039.3	4769.75	4543.8	3419.52	3690.52	3794.3	4769.75	4328.55	3820.7	4038.61	5517.27	4268.94	5913.33	5147.73	5366.37	718.08	928.3	420.68	521.76	1551.09
DCTN4	854.13	1208.34	457.25	532.74	718.08	1340.84	1104.13	1059.11	848.22	1037.29	660.68	928.3	1081.39	651.58	1191.69	1359.57	961.07	2835.7	1508.65	289.02	271.48	208.38	237.86	0.0
DEGS1	1388.16	2664.15	1242.34	1883.54	708.18	2976.74	1487.87	2367.9	1594.73	4869.99	1806.78	1909.85	1498.22	1605.83	1963.57	1008.9	3018.3	4210.15	1417.35	759.08	540.19	400.71	358.54	0.0
DENND6A	289.02	409.15	258.57	248.0	271.48	400.71	251.48	329.84	283.05	256.78	258.57	417.77	358.54	242.88	559.28	417.77	379.04	429.54	435.55	70.01	95.34	48.52	77.79	229.72
DHX29	417.77	366.09	279.14	329.84	356.05	866.07	423.61	808.0	403.5	703.28	381.68	441.64	420.68	392.44	543.96	698.41	842.36	802.41	642.59	183.82	161.02	89.51	176.29	0.0
EFTUD1	493.56	281.09	435.55	287.01	332.14	379.04	299.25	277.2	305.55	466.88	323.03	275.28	336.79	356.05	348.71	435.55	361.04	579.04	454.09	108.9	122.64	91.41	109.66	0.0
EGLN3	185.11	529.06	277.2	108.14	289.02	2004.85	194.36	543.96	275.28	1745.2	775.05	273.37	329.84	215.77	723.08	197.09	1583.71	536.45	412.0	209.84	73.03	17.0	38.4	170.25
EIF2B3	567.1	733.19	713.11	379.04	525.39	633.73	412.0	483.38	567.1	769.69	728.11	660.68	571.05	802.41	819.3	543.96	1015.93	1359.57	759.08	368.65	473.41	473.41	412.0	0.0
EPB41L1	1143.1	1388.16	403.5	1295.13	733.19	1388.16	928.3	1508.65	1359.57	1295.13	1250.98	1674.06	1111.82	1175.27	1721.16	1709.26	2367.9	1697.45	1540.37	483.38	98.04	1059.11	241.19	356.05
EPB41L5	384.34	775.05	303.44	368.65	403.5	848.22	529.06	674.59	559.28	743.43	363.56	414.87	511.0	406.31	842.36	708.18	679.29	543.96	417.77	287.01	693.58	379.04	500.46	0.0
ERCC8	117.6	150.17	103.69	88.88	113.56	173.85	81.14	176.29	111.99	159.9	133.36	159.9	151.22	127.0	197.09	182.55	136.19	406.31	229.72	91.41	39.79	45.85	53.95	0.0
FAM21B	241.19	20.86	37.85	202.66	7.75	229.72	12.64	181.28	0.64	406.31	21.01	454.09	226.54	547.75	490.14	64.8	426.57	130.6	379.04	25.35	4.35	4.31	0.0	0.0
FAM47E	142.01	191.67	124.37	66.18	137.14	178.77	128.79	361.04	221.86	361.04	289.02	409.15	279.14	236.21	339.14	332.14	403.5	591.22	202.66	253.23	738.29	392.44	0.0	0.0
FBXO28	299.25	571.05	426.57	366.09	218.79	555.41	387.02	703.28	361.04	854.13	299.25	529.06	447.82	241.19	536.45	473.41	780.44	769.69	802.41	131.51	205.5	144.01	139.07	0.0
FBXO3	728.11	733.19	486.75	400.71	674.59	896.64	612.11	860.08	819.3	896.64	723.08	825.0	954.43	624.99	1096.5	1096.5	1233.75	1183.45	1250.98	285.03	409.15	397.93	325.29	0.0
FBXO4	297.17	341.51	141.02	283.05	343.89	529.06	305.55	226.54	293.07	403.5	285.03	323.03	368.65	412.0	476.71	444.72	728.11	547.75	366.09	651.58	253.23	114.36	178.77	0.0
FGF11	85.82	29.27	28.45	38.12	76.17	106.63	114.36	420.68	131.51	262.2	71.5	152.28	124.37	99.43	113.56	154.42	295.11	193.01	96.01	9.93	7.51	11.13	13.93	0.0
GABRG1	0.32	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.33	0.69	0.31	0.68	0.58	0.8	0.57	3.11	1.55	0.0	0.49	0.0	2.51	0.0
GBE1	307.69	289.02	237.86	147.06	190.34	389.72	312.0	366.09	265.87	447.82	379.04	507.46	309.83	293.07	563.18	426.57	457.25	1313.23	785.88	255.0	591.22	1487.87	346.29	0.0
GLMN	155.5	198.47	202.66	103.69	170.25	255.0	102.25	127.0	173.85	201.25	110.43	215.77	152.28	169.07	297.17	195.72	242.88	191.67	157.68	121.79	48.52	8.65	127.0	0.0
GPR21	3.76	4.17	2.36	4.82	0.0	4.43	3.82	6.26	1.13	2.68	0.0	3.47	4.82	1.51	10.55	2.03	4.58	16.75	9.56	0.0	1.13	0.0	0.0	0.0
GSK3B	329.84	551.56	376.41	232.94	289.02	507.46	500.46	500.46	348.71	579.04	327.56	473.41	353.59	262.2	473.41	432.53	483.38	967.76	567.1	351.14	301.33	366.09	381.68	438.59
GTF2E1	228.13	231.32	114.36	157.68	170.25	269.6	76.71	169.07	153.34	165.57	119.26	204.07	208.38	176.29	249.73	239.52	166.73	353.59	195.72	68.55	45.21	60.82	57.49	198.47
IMPACT	540.19	796.86	493.56	414.87	555.41	1286.18	567.1	312.0	693.58	1051.79	518.15	693.58	780.44	551.56	854.13	988.12	1044.52	1427.22	1037.29	169.07	164.42	190.34	323.03	271.48
KIAA0825	24.28	55.89	11.04	13.42	21.94	72.01	28.04	30.56	32.59	76.71	25.17	40.07	37.05	18.43	72.52	67.59	76.71	72.01	90.77	3.17	6.21	2.18	11.13	0.0
KITLG	518.15	780.44	204.07	224.97	389.72	954.43	156.59	78.34	400.71	289.02	392.44	500.46	616.37	327.56	1030.12	521.76	518.15	1135.2	854.13	26.47	17.9	3.72	22.26	0.0
KPNA3	297.17	368.65	387.02	202.66	244.57	423.61	289.02	414.87	343.89	454.09	376.41	392.44	381.68	279.14	334.46	379.04	323.03	819.3	567.1	162.14	217.27	108.14	221.86	0.0
LARS	1286.18	1151.06	961.07	988.12	1073.91	1437.15	1008.9	1685.71	1519.15	1286.18	1233.75	1605.83	1651.0	1242.34	1519.15	1639.59	1350.18	2133.97	1697.45	536.45	358.54	224.97	426.57	0.0
LMAN1	884.29	1628.26	909.17	647.07	660.68	2384.37	1359.57	1208.34	1073.91	896.64	988.12	1259.69	1175.27	759.08	2004.85	995.0	2502.97	2609.3	2032.85	738.29	1001.93	1183.45	902.89	0.0
LRRC58	258.57	473.41	224.97	130.6	166.73	281.09	249.73	361.04	231.32	267.73	218.79	323.03	271.48	180.02	432.53	351.14	500.46	521.76	500.46	104.42	94.01	28.86	50.98	182.55
LYPLAL1	536.45	988.12	674.59	642.59	624.99	947.83	583.07	1936.53	941.27	1259.69	647.07	748.61	733.19	819.3	961.07	995.0	1457.23	1167.14	961.07	961.07	713.11	409.15	591.22	0.0
MCCC2	1806.78	2997.45	432.53	1295.13	2119.22	3874.05	915.51	2075.59	1896.65	4972.34	1111.82	1350.18	1519.15	1378.57	3303.0	1519.15	3665.02	2047.0	1639.59	1023.0	1073.91	1963.57	890.44	0.0
METTL15	186.4	229.72	152.28	129.69	162.14	277.2	175.07	180.02	175.07	193.01	132.44	199.85	176.29	146.03	318.57	206.94	287.01	193.01	307.69	147.06	74.58	44.57	83.45	148.09
METTL21C	0.0	0.0	0.0	0.0	0.0	1.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	1.6	0.0	1.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MFSD6	529.06	1081.39	406.31	507.46	466.88	1286.18	769.69	1135.2	698.41	1950.0	909.17	954.43	780.44	718.08	1369.04	633.73	1175.27	909.17	1127.35	44.25	40.93	12.27	24.46	0.0
MGP	286861.53	1139523.1	659036.03	368165.8	386469.83	736332.6	577714.63	1196176.45	623486.02	459592.86	425853.18	462789.59	800198.39	509950.32	598087.73	585779.24	1524599.69	845824.19	614902.29	1073.91	1572.76	387.02	1059.11	3419.52
MLTK	316.37	629.35	353.59	256.78	303.44	819.3	373.81	866.07	366.09	759.08	583.07	791.35	633.73	518.15	961.07	688.78	629.35	1467.37	813.63	73.03	258.57	154.42	104.42	713.11
NARS	1832.01	1936.53	1909.85	1427.22	1519.15	2520.38	2032.85	1909.85	1844.76	2193.99	1572.76	2255.7	1844.76	1769.57	1896.65	2163.77	2682.69	3103.19	1733.13	1096.5	647.07	796.86	547.75	1963.57
NCBP1	287.01	244.57	343.89	208.38	242.88	460.44	457.25	392.44	444.72	438.59	285.03	373.81	376.41	320.8	432.53	441.64	612.11	595.34	454.09	170.25	116.78	163.28	309.83	0.0
PAPOLA	1467.37	1467.37	1350.18	1268.46	1561.89	2417.67	1909.85	2468.49	1977.24	1794.29	2047.0	2133.97	1977.24	1870.53	2664.15	2209.26	1733.13	2875.3	2573.36	1583.71	1268.46	723.08	684.02	0.0
PARD3	406.31	860.08	389.72	341.51	497.0	318.57	540.19	540.19	543.96	860.08	738.29	884.29	674.59	607.87	1008.9	819.3	995.0	400.71	669.92	327.56	339.14	190.34	185.11	0.0
PCNP	2271.4	2935.74	2240.11	1857.6	1857.6	3847.29	2319.15	2224.63	2956.17	2537.92	2835.7	3419.52	3395.89	2287.2	3982.99	3168.41	4152.18	5183.54	3614.55	872.1	1037.29	514.56	775.05	2664.15
PDZK1IP1	759.08	902.89	1051.79	1883.54	1167.14	1259.69	591.22	1051.79	1583.71	2502.97	1617.0	1487.87	1936.53	1721.16	2835.7	1331.57	2255.7	1037.29	1950.0	26.47	217.27	220.32	153.34	0.0
POC1B	241.19	211.31	142.01	151.22	164.42	293.07	258.57	356.05	307.69	295.11	244.57	305.55	307.69	199.85	500.46	255.0	264.03	435.55	368.65	129.69	102.25	35.76	60.82	0.0
POT1	403.5	521.76	497.0	460.44	327.56	647.07	141.02	389.72	381.68	497.0	366.09	500.46	547.75	363.56	295.11	447.82	780.44	563.18	587.13	158.79	149.12	90.77	141.02	624.99
PPIP5K2	543.96	775.05	417.77	450.94	438.59	872.1	417.77	703.28	511.0	1313.23	366.09	785.88	665.29	397.93	872.1	1096.5	988.12	981.29	878.17	320.8	148.09	105.89	220.32	0.0
PROSER1	356.05	215.77	353.59	289.02	348.71	389.72	267.73	438.59	384.34	351.14	376.41	403.5	417.77	297.17	417.77	420.68	366.09	444.72	463.65	94.01	128.79	77.25	289.02	0.0
PSMC6	1594.73	1769.57	1832.01	860.08	1457.23	2224.63	1697.45	1794.29	1781.89	2335.28	1781.89	1572.76	1977.24	1896.65	1963.57	1963.57	2400.97	2645.74	2287.2	2193.99	1119.56	733.19	1208.34	0.0
PTGFRN	1259.69	1936.53	1769.57	921.88	974.5	2047.0	397.93	802.41	1417.35	2061.24	2591.27	1628.26	1857.6	2384.37	2537.92	2148.82	1832.01	1662.49	1617.0	392.44	251.48	186.4	150.17	848.22
PTPLB	463.65	748.61	603.67	253.23	414.87	713.11	444.72	551.56	796.86	802.41	511.0	947.83	775.05	389.72	802.41	759.08	595.34	813.63	769.69	612.11	460.44	438.59	423.61	0.0
PTPN3	351.14	249.73	529.06	403.5	381.68	470.14	92.7	264.03	358.54	529.06	242.88	346.29	429.54	281.09	547.75	435.55	297.17	660.68	189.02	426.57	406.31	480.04	718.08	253.23
PTRHD1	775.05	525.39	633.73	665.29	825.0	684.02	684.02	753.83	878.17	1225.22	1030.12	708.18	1030.12	1127.35	1242.34	1023.0	1151.06	493.56	780.44	400.71	759.08	860.08	693.58	0.0
PYGB	1794.29	1572.76	2090.03	1977.24	1806.78	1651.0	1427.22	2335.28	2434.5	2224.63	2090.03	2935.74	2209.26	2468.49	2758.13	1977.24	2720.15	3124.78	2075.59	540.19	154.42	387.02	397.93	0.0
PYROXD1	299.25	392.44	332.14	198.47	248.0	353.59	287.01	269.6	242.88	368.65	327.56	444.72	336.79	265.87	454.09	299.25	387.02	848.22	329.84	118.43	195.72	34.75	178.77	248.0
QTRTD1	285.03	356.05	189.02	199.85	218.79	332.14	180.02	368.65	273.37	279.14	251.48	336.79	303.44	194.36	255.0	384.34	463.65	412.0	387.02	76.71	96.01	52.82	73.03	0.0
RAB18	1977.24	3018.3	2417.67	1313.23	1883.54	3614.55	2451.44	4095.0	2520.38	4388.98	2335.28	2451.44	2935.74	2240.11	4388.98	4358.66	3349.13	6699.25	3742.05	759.08	813.63	748.61	500.46	0.0
RAB21	684.02	825.0	540.19	457.25	536.45	1015.93	642.59	941.27	780.44	872.1	1015.93	1143.1	1030.12	791.35	1487.87	769.69	1044.52	2417.67	1605.83	305.55	460.44	287.01	255.0	718.08
RARS	988.12	1519.15	860.08	698.41	909.17	1388.16	921.88	1427.22	1350.18	1594.73	1030.12	1104.13	1295.13	1059.11	1369.04	1159.07	1923.14	2075.59	1498.22	1073.91	532.74	450.94	738.29	0.0
RBM3	8963.45	10368.08	6471.02	7589.61	7642.41	8078.22	3874.05	7230.1	8963.45	11345.82	10733.74	11745.96	8718.32	6652.97	8191.0	5479.15	11909.94	16611.71	11664.82	2956.17	2956.17	1001.93	1662.49	10512.82
RFFL	381.68	195.72	444.72	232.94	353.59	426.57	299.25	271.48	312.0	426.57	279.14	281.09	329.84	271.48	403.5	376.41	392.44	848.22	460.44	186.4	258.57	244.57	301.33	0.0
RGS7BP	15.11	9.48	2.61	5.36	2.29	5.11	2.1	11.38	1.58	1.14	3.06	7.82	4.58	4.98	28.24	9.06	8.51	12.0	21.78	1.25	1.53	1.99	14.89	0.0
RLIM	265.87	397.93	371.22	167.9	193.01	466.88	366.09	351.14	332.14	389.72	291.04	389.72	387.02	231.32	476.71	309.83	463.65	521.76	567.1	90.77	112.77	51.35	82.87	214.27
RNF19A	571.05	1427.22	860.08	457.25	909.17	902.89	743.43	417.77	429.54	1242.34	884.29	1199.98	808.0	595.34	1923.14	915.51	753.83	1639.59	1216.75	314.17	595.34	166.73	343.89	0.0
RP11-286N22.8	728.11	872.1	860.08	638.15	656.11	967.76	1001.93	1073.91	842.36	915.51	1015.93	1119.56	934.76	684.02	698.41	753.83	1088.92	1081.39	988.12	896.64	511.0	595.34	232.94	0.0
SCAF11	872.1	1151.06	728.11	633.73	647.07	1096.5	967.76	1268.46	928.3	842.36	854.13	1175.27	981.29	866.07	961.07	1250.98	1242.34	1540.37	1529.73	656.11	283.05	117.6	291.04	624.99
SCFD1	921.88	974.5	1233.75	825.0	981.29	1757.34	981.29	2255.7	1242.34	1617.0	1286.18	1340.84	1304.15	1427.22	1322.37	1216.75	1709.26	1709.26	1508.65	872.1	780.44	309.83	1008.9	0.0
SEC23IP	563.18	447.82	684.02	395.18	463.65	1081.39	532.74	642.59	748.61	902.89	500.46	567.1	603.67	476.71	684.02	759.08	872.1	1111.82	1104.13	307.69	258.57	145.02	148.09	470.14
SEPT2	4512.4	6516.03	4181.07	4575.41	4419.52	6607.01	5633.22	5076.84	4639.29	7130.55	5112.16	5751.61	5441.3	6079.61	9025.81	6079.61	7749.1	8718.32	7382.04	1066.48	1350.18	713.11	1225.22	4671.57
SGMS1	334.46	486.75	295.11	234.57	239.52	432.53	150.17	540.19	244.57	529.06	329.84	409.15	376.41	287.01	587.13	387.02	373.81	693.58	532.74	223.41	255.0	162.14	165.57	0.0
SLC10A7	111.99	208.38	186.4	60.82	80.01	273.37	141.02	236.21	100.13	202.66	75.11	171.45	145.02	88.88	202.66	170.25	155.5	339.14	267.73	43.94	53.19	67.59	81.71	0.0
SLC25A51	237.86	201.25	224.97	193.01	182.55	232.94	158.79	275.28	239.52	283.05	194.36	289.02	253.23	190.34	277.2	281.09	231.32	295.11	271.48	113.56	78.89	76.17	50.27	291.04
SOCS4	134.3	158.79	162.14	88.88	96.01	212.78	129.69	202.66	146.03	195.72	170.25	287.01	208.38	111.99	194.36	172.65	164.42	181.28	183.82	46.84	61.68	13.83	54.33	0.0
SRFBP1	146.03	289.02	145.02	94.01	126.12	262.2	122.64	163.28	202.66	137.14	169.07	197.09	204.07	117.6	151.22	187.71	327.56	307.69	366.09	48.18	73.03	15.68	60.39	0.0
SSBP2	854.13	1378.57	293.07	587.13	698.41	1135.2	775.05	825.0	981.29	1066.48	1081.39	1639.59	1417.35	1066.48	2104.58	1096.5	1870.53	2555.58	1457.23	59.97	99.43	25.54	84.04	0.0
ST7	406.31	435.55	575.03	483.38	384.34	583.07	447.82	723.08	543.96	748.61	518.15	476.71	460.44	438.59	583.07	563.18	703.28	819.3	603.67	532.74	674.59	612.11	647.07	0.0
STRN3	384.34	409.15	289.02	269.6	334.46	493.56	521.76	486.75	339.14	420.68	343.89	483.38	403.5	291.04	728.11	426.57	656.11	1225.22	836.53	224.97	201.25	111.21	236.21	429.54
SULF2	1685.71	1268.46	1617.0	1015.93	2271.4	3349.13	246.28	872.1	2271.4	3564.78	2384.37	1733.13	1733.13	2451.44	3103.19	1259.69	1183.45	1963.57	4512.4	309.83	267.73	1551.09	1030.12	0.0
SYNPO2	336.79	297.17	49.56	195.72	146.03	185.11	117.6	336.79	249.73	802.41	665.29	1175.27	693.58	633.73	928.3	536.45	941.27	1417.35	1844.76	19.97	63.0	36.53	143.01	0.0
TACC2	567.1	334.46	493.56	571.05	536.45	368.65	660.68	1015.93	612.11	603.67	579.04	660.68	486.75	563.18	1721.16	854.13	1350.18	1340.84	1096.5	343.89	128.79	226.54	297.17	0.0
TBC1D15	651.58	819.3	497.0	432.53	497.0	802.41	728.11	748.61	647.07	785.88	693.58	890.44	759.08	651.58	1359.57	836.53	981.29	1781.89	1388.16	281.09	555.41	180.02	447.82	769.69
TBC1D23	389.72	591.22	432.53	226.54	291.04	563.18	353.59	571.05	384.34	473.41	373.81	540.19	447.82	320.8	599.49	480.04	708.18	1044.52	802.41	115.97	264.03	135.24	363.56	0.0
TC2N	921.88	1936.53	1457.23	743.43	753.83	1923.14	395.18	2004.85	1709.26	3257.52	1378.57	1963.57	2271.4	1388.16	2485.67	1540.37	3212.66	3124.78	3280.18	40.36	15.11	30.12	53.95	0.0
TLK1	518.15	775.05	575.03	332.14	435.55	1066.48	497.0	426.57	507.46	780.44	457.25	651.58	607.87	384.34	995.0	967.76	872.1	1135.2	775.05	177.53	185.11	83.45	201.25	241.19
TOMM20	2351.53	4123.49	2701.35	3467.27	2434.5	4123.49	2104.58	5633.22	4802.93	4298.64	3847.29	3928.15	3820.7	3443.31	3372.43	3124.78	5183.54	4268.94	3847.29	1651.0	2193.99	928.3	995.0	0.0
TP53I3	571.05	178.77	358.54	320.8	567.1	314.17	171.45	295.11	723.08	1030.12	642.59	466.88	603.67	775.05	1081.39	808.0	624.99	295.11	884.29	532.74	105.15	371.22	633.73	0.0
TRAPPC13	384.34	521.76	220.32	264.03	281.09	629.35	371.22	490.14	325.29	457.25	275.28	417.77	420.68	336.79	500.46	417.77	529.06	848.22	417.77	209.84	171.45	84.63	150.17	358.54
TTC19	988.12	1051.79	780.44	703.28	1008.9	1183.45	842.36	1322.37	1066.48	1340.84	1037.29	1037.29	1191.69	1008.9	1519.15	1447.15	1340.84	1594.73	1242.34	417.77	447.82	271.48	320.8	567.1
UBR1	186.4	279.14	201.25	136.19	142.01	334.46	183.82	111.99	178.77	273.37	148.09	253.23	209.84	177.53	371.22	287.01	336.79	438.59	435.55	25.72	72.52	39.79	57.49	0.0
UCHL3	684.02	529.06	728.11	579.04	836.53	1242.34	633.73	1340.84	1066.48	1340.84	967.76	1066.48	974.5	1111.82	1159.07	890.44	1457.23	2193.99	1397.83	460.44	607.87	884.29	470.14	0.0
UFM1	1143.1	1015.93	698.41	764.36	1008.9	1662.49	928.3	1757.34	1023.0	1427.22	1066.48	1417.35	1313.23	961.07	1023.0	1378.57	1794.29	2287.2	1806.78	366.09	785.88	373.81	603.67	961.07
USP54	587.13	379.04	303.44	299.25	616.37	733.19	463.65	503.95	679.29	1008.9	563.18	902.89	723.08	629.35	1081.39	684.02	830.75	1001.93	802.41	41.81	28.86	36.79	33.78	0.0
