	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZLV1.0526.SM.4WWD4	GTEX.ZVP2.1326.SM.57WCE	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.13FTX.0526.SM.5IFGS	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.131XE.1426.SM.5HL7V	GTEX.1399R.0826.SM.5IJEL	GTEX.W5WG.1626.SM.4LMKG	GTEX.ZT9W.1326.SM.51MTB	GTEX.TML8.1526.SM.4DXUX	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.ZVT2.1326.SM.5E45H	GTEX.12BJ1.1626.SM.5HL8Y	GTEX.1122O.1726.SM.5GICM	GTEX.QV44.1126.SM.4R1KO	GTEX.11DXY.1426.SM.5N9CN	GTEX.PWCY.0726.SM.48TCS	GTEX.OXRN.1726.SM.3NM9B	GTEX.ZPCL.1426.SM.57WEC	GTEX.14AS3.0626.SM.5QGQD	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.11WQC.0626.SM.5EQMF	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
EEFSEC	206.94	301.33	381.68	511.0	406.31	483.38	327.56	497.0	414.87	493.56	336.79	403.5	518.15	305.55	571.05	392.44	351.14	275.28	258.57	232.94	301.33	199.85	249.73	215.77	208.38	194.36	246.28	332.14	293.07	329.84	281.09	256.78	258.57	297.17	226.54	221.86	281.09	161.02	241.19	277.2	332.14	293.07	253.23	417.77	48.52	438.59	400.71	371.22	366.09	291.04	403.5	432.53
ERI3	457.25	915.51	1151.06	1191.69	961.07	1923.14	988.12	1896.65	1397.83	1605.83	902.89	1250.98	2004.85	1030.12	1551.09	1030.12	928.3	698.41	591.22	733.19	836.53	532.74	633.73	493.56	583.07	629.35	638.15	842.36	660.68	759.08	688.78	587.13	587.13	612.11	607.87	647.07	723.08	708.18	674.59	629.35	1051.79	836.53	764.36	1096.5	293.07	1477.58	848.22	902.89	819.3	902.89	1059.11	947.83
FBL	8022.41	5831.91	6207.38	7230.1	7331.05	14867.79	6607.01	7485.11	8134.41	8421.31	4769.75	5076.84	11992.79	5366.37	8963.45	8022.41	6983.79	5479.15	4419.52	6164.49	5751.61	3928.15	4328.55	3639.7	5112.16	3847.29	3928.15	5672.41	5672.41	4512.4	5183.54	4736.79	4450.27	5183.54	4210.15	4869.99	4869.99	4210.15	3665.02	4869.99	8901.53	7589.61	5995.9	10883.59	934.76	17681.08	13776.25	12589.08	8134.41	7589.61	6294.04	12329.98
HSPBP1	607.87	1963.57	1572.76	1437.15	1519.15	2271.4	1594.73	2224.63	1909.85	1519.15	1216.75	2061.24	1733.13	1427.22	1529.73	1059.11	1096.5	665.29	813.63	884.29	785.88	555.41	674.59	612.11	693.58	500.46	733.19	854.13	738.29	791.35	967.76	759.08	620.67	738.29	819.3	547.75	791.35	743.43	656.11	819.3	785.88	796.86	669.92	1304.15	195.72	1159.07	1447.15	1551.09	1417.35	1001.93	1369.04	1216.75
LSM2	1540.37	1685.71	1313.23	1457.23	1605.83	2682.69	1191.69	2104.58	1304.15	2061.24	1135.2	1769.57	1923.14	1572.76	1313.23	1051.79	928.3	780.44	476.71	796.86	848.22	629.35	723.08	674.59	583.07	713.11	830.75	921.88	947.83	612.11	909.17	743.43	624.99	733.19	728.11	718.08	599.49	713.11	591.22	748.61	995.0	1143.1	921.88	1427.22	878.17	2895.31	1322.37	1119.56	1225.22	1529.73	1340.84	1467.37
MED27	236.21	559.28	563.18	665.29	480.04	616.37	583.07	842.36	674.59	470.14	483.38	559.28	603.67	563.18	830.75	651.58	486.75	373.81	291.04	476.71	339.14	182.55	346.29	269.6	363.56	201.25	329.84	343.89	450.94	271.48	323.03	412.0	376.41	366.09	295.11	260.38	334.46	173.85	258.57	353.59	476.71	457.25	447.82	493.56	198.47	866.07	764.36	713.11	575.03	684.02	633.73	764.36
MRPL11	1088.92	1304.15	1447.15	1498.22	1628.26	3103.19	1199.98	2090.03	1685.71	1651.0	1277.29	1794.29	2047.0	1572.76	1757.34	1295.13	1143.1	775.05	769.69	928.3	961.07	785.88	808.0	607.87	684.02	723.08	808.0	1242.34	1030.12	842.36	1015.93	775.05	612.11	896.64	808.0	723.08	988.12	753.83	571.05	890.44	1135.2	1167.14	1030.12	1909.85	327.56	3874.05	1331.57	1594.73	1572.76	1225.22	1628.26	1757.34
MRPL4	1159.07	1651.0	2255.7	2468.49	2119.22	2758.13	1628.26	2875.3	1313.23	1709.26	1674.06	2502.97	3235.01	1508.65	2573.36	2417.67	1685.71	1066.48	1397.83	1870.53	1437.15	1015.93	1167.14	1044.52	1242.34	1250.98	1183.45	1781.89	1397.83	1135.2	1437.15	1487.87	1397.83	1487.87	1242.34	967.76	1769.57	1135.2	1250.98	1617.0	1551.09	1467.37	1135.2	2163.77	466.88	2875.3	1870.53	3103.19	2047.0	1857.6	2367.9	2351.53
MRPL47	947.83	1250.98	981.29	1233.75	1427.22	1662.49	1051.79	1322.37	1183.45	1340.84	902.89	1250.98	2224.63	1250.98	1651.0	928.3	651.58	583.07	457.25	896.64	684.02	395.18	830.75	540.19	708.18	412.0	599.49	825.0	713.11	497.0	819.3	728.11	723.08	665.29	753.83	417.77	633.73	480.04	521.76	796.86	1096.5	1001.93	934.76	1268.46	356.05	3303.0	1388.16	1457.23	1259.69	1008.9	1757.34	1794.29
MRPS12	1015.93	1369.04	1001.93	1540.37	1477.58	2075.59	1151.06	1806.78	1378.57	1088.92	698.41	1151.06	1844.76	854.13	1277.29	1159.07	830.75	665.29	941.27	1159.07	934.76	684.02	748.61	660.68	647.07	693.58	703.28	1059.11	902.89	791.35	921.88	830.75	819.3	791.35	796.86	500.46	988.12	791.35	599.49	836.53	860.08	1023.0	759.08	1437.15	239.52	3060.45	1397.83	2133.97	1322.37	1199.98	1498.22	1685.71
NABP2	463.65	738.29	808.0	842.36	819.3	1477.58	1030.12	941.27	753.83	842.36	595.34	1081.39	1044.52	575.03	1001.93	647.07	532.74	444.72	301.33	470.14	473.41	291.04	395.18	341.51	376.41	423.61	450.94	483.38	441.64	318.57	423.61	412.0	356.05	379.04	348.71	316.37	414.87	241.19	358.54	376.41	483.38	563.18	438.59	791.35	190.34	890.44	708.18	432.53	703.28	525.39	759.08	607.87
NELFE	1119.56	1844.76	2032.85	1963.57	1991.0	2664.15	1572.76	2816.11	1806.78	1709.26	1709.26	2400.97	2224.63	1909.85	2004.85	1721.16	1733.13	988.12	1457.23	1457.23	1073.91	1088.92	1216.75	921.88	1369.04	1378.57	1467.37	1447.15	1519.15	1359.57	1199.98	1037.29	1388.16	1487.87	1286.18	1216.75	1111.82	1096.5	1417.35	1519.15	1745.2	1806.78	1519.15	1977.24	967.76	2004.85	1781.89	1794.29	1857.6	1769.57	1991.0	2209.26
NUDT1	2451.44	2384.37	1073.91	1745.2	1583.71	2682.69	1151.06	1923.14	1313.23	1674.06	1051.79	1529.73	3124.78	1304.15	2915.45	551.56	808.0	423.61	301.33	551.56	616.37	384.34	414.87	208.38	392.44	358.54	447.82	733.19	547.75	201.25	493.56	500.46	457.25	503.95	403.5	299.25	403.5	329.84	358.54	420.68	748.61	967.76	974.5	1417.35	92.7	1639.59	1794.29	1023.0	1073.91	974.5	1151.06	1151.06
NUTF2	2090.03	2720.15	2591.27	4038.61	4388.98	4575.41	2075.59	3690.52	3039.3	2682.69	2090.03	2645.74	4181.07	3081.75	4769.75	2682.69	1870.53	1111.82	1359.57	1508.65	1487.87	1008.9	1277.29	1015.93	1111.82	1167.14	1397.83	1322.37	1594.73	1015.93	1350.18	1135.2	1073.91	1340.84	1295.13	1044.52	1151.06	1059.11	1051.79	1397.83	1923.14	1628.26	1674.06	2061.24	1617.0	3395.89	2224.63	3665.02	2451.44	2133.97	2163.77	2287.2
PHB	2367.9	3928.15	3639.7	4543.8	3820.7	5995.9	3146.52	5041.77	3690.52	3018.3	2855.44	4239.45	3768.09	3491.39	4869.99	3303.0	2573.36	2193.99	2224.63	2645.74	2485.67	1769.57	2758.13	2119.22	2468.49	2018.8	2682.69	3168.41	2178.83	2209.26	3146.52	2451.44	1769.57	2816.11	2915.45	1628.26	2627.46	1617.0	2434.5	2591.27	3018.3	2956.17	2816.11	3874.05	1023.0	3325.99	2434.5	3190.46	3168.41	2287.2	3124.78	2178.83
POP7	954.43	1015.93	1088.92	1322.37	1427.22	1923.14	1111.82	1242.34	1111.82	1135.2	981.29	981.29	1529.73	921.88	1870.53	921.88	813.63	785.88	669.92	902.89	954.43	483.38	703.28	642.59	543.96	583.07	693.58	872.1	934.76	775.05	698.41	866.07	684.02	836.53	551.56	647.07	890.44	438.59	698.41	733.19	813.63	954.43	769.69	1167.14	145.02	1594.73	1304.15	1001.93	1015.93	1015.93	1259.69	1369.04
PSMA4	2997.45	3901.01	2976.74	4328.55	4836.35	6337.83	4210.15	4481.23	3847.29	4210.15	3018.3	3639.7	4869.99	4388.98	4388.98	3325.99	2384.37	1977.24	1923.14	2956.17	2664.15	1936.53	2573.36	2240.11	2224.63	2178.83	2047.0	2976.74	2664.15	1769.57	2367.9	2335.28	2319.15	2502.97	2796.65	1909.85	2224.63	1883.54	1721.16	2664.15	2915.45	3190.46	2875.3	3491.39	1832.01	6983.79	5112.16	3716.2	3564.78	4239.45	3847.29	5479.15
PSMB2	1286.18	1519.15	1295.13	1794.29	1551.09	1896.65	1233.75	1733.13	1674.06	1639.59	1199.98	1963.57	1781.89	1331.57	2502.97	1250.98	884.29	785.88	669.92	1015.93	796.86	457.25	738.29	764.36	896.64	603.67	759.08	981.29	878.17	656.11	791.35	842.36	651.58	808.0	780.44	616.37	836.53	432.53	684.02	753.83	1051.79	1044.52	1015.93	1286.18	389.72	2367.9	1519.15	1369.04	1467.37	1304.15	1378.57	1685.71
PSMC4	1487.87	3280.18	2417.67	2609.3	2119.22	2935.74	2367.9	2935.74	2400.97	2148.82	1857.6	2816.11	3168.41	2351.53	2835.7	2119.22	1697.45	1331.57	1242.34	1806.78	1437.15	854.13	1331.57	1208.34	1378.57	1159.07	1508.65	1697.45	1594.73	1023.0	1745.2	1540.37	1407.55	1259.69	1313.23	1295.13	1529.73	1151.06	1233.75	1388.16	2032.85	2104.58	1628.26	2367.9	854.13	3372.43	2777.33	3103.19	2400.97	2468.49	2682.69	3039.3
PSMD3	1191.69	2855.44	3614.55	3768.09	2855.44	4450.27	2591.27	3564.78	2682.69	2835.7	2627.46	3665.02	3665.02	3018.3	4268.94	2271.4	2004.85	1135.2	1540.37	2090.03	1417.35	836.53	1605.83	1277.29	1769.57	1233.75	1769.57	2090.03	1963.57	1304.15	1794.29	1950.0	1819.35	2047.0	1304.15	967.76	2004.85	878.17	1519.15	2004.85	2240.11	2319.15	1806.78	2434.5	1832.01	2739.08	3589.58	2061.24	2434.5	2935.74	2816.11	2816.11
PSMD8	4736.79	5006.93	5633.22	6471.02	3874.05	5183.54	4512.4	7485.11	5751.61	5006.93	4972.34	5403.7	5995.9	4010.71	5329.3	4972.34	5255.91	3982.99	4010.71	4358.66	4802.93	2816.11	3768.09	3419.52	3768.09	3589.58	4066.71	4268.94	4937.99	4419.52	4736.79	4210.15	3716.2	4038.61	3955.48	3874.05	4210.15	2319.15	3395.89	4066.71	4575.41	4736.79	4010.71	5913.33	1457.23	8134.41	6516.03	7382.04	5555.65	6079.61	6887.62	6699.25
RANBP1	4181.07	3614.55	3847.29	5517.27	5329.3	8134.41	3395.89	5329.3	3820.7	4450.27	2855.44	4607.24	6607.01	3491.39	5751.61	3794.3	2400.97	1769.57	1286.18	2758.13	2178.83	1259.69	2163.77	1437.15	1508.65	1583.71	1651.0	2400.97	1991.0	1331.57	2645.74	1923.14	1519.15	1936.53	2075.59	2075.59	2119.22	1457.23	1870.53	2178.83	2664.15	2573.36	2090.03	3665.02	981.29	6207.38	3928.15	5441.3	3564.78	2739.08	3280.18	3716.2
RUVBL2	2193.99	2384.37	2193.99	2701.35	2855.44	2997.45	1909.85	3081.75	2701.35	2271.4	1806.78	2367.9	2682.69	1551.09	2682.69	1909.85	1781.89	1127.35	1073.91	1467.37	1268.46	890.44	1208.34	808.0	1286.18	988.12	1313.23	1487.87	1594.73	995.0	1508.65	1216.75	947.83	1304.15	1183.45	961.07	1304.15	1059.11	1008.9	1605.83	1794.29	1844.76	1359.57	2367.9	497.0	2855.44	2384.37	3847.29	2255.7	2451.44	2240.11	2645.74
SAC3D1	318.57	368.65	305.55	397.93	384.34	974.5	295.11	500.46	320.8	447.82	269.6	376.41	620.67	236.21	279.14	279.14	248.0	158.79	146.03	195.72	234.57	171.45	178.77	105.15	92.05	195.72	191.67	185.11	191.67	129.69	226.54	167.9	131.51	202.66	185.11	94.01	176.29	162.14	172.65	206.94	199.85	201.25	186.4	332.14	65.26	329.84	285.03	269.6	262.2	265.87	376.41	318.57
SCNM1	507.46	1794.29	1662.49	1745.2	1617.0	2178.83	1467.37	2075.59	1639.59	1529.73	1378.57	1832.01	2119.22	1417.35	1467.37	1151.06	1001.93	733.19	848.22	743.43	974.5	638.15	825.0	624.99	642.59	753.83	775.05	854.13	1015.93	738.29	802.41	769.69	723.08	878.17	612.11	698.41	665.29	642.59	769.69	679.29	808.0	921.88	808.0	1030.12	595.34	1605.83	981.29	890.44	1081.39	1030.12	1008.9	1304.15
SF3B4	1417.35	1991.0	1909.85	2032.85	1844.76	2148.82	1561.89	2319.15	2178.83	1936.53	1594.73	2061.24	2758.13	1844.76	1883.54	1721.16	1388.16	1051.79	1143.1	1304.15	1183.45	954.43	1175.27	1030.12	1096.5	1015.93	1059.11	1159.07	1059.11	1151.06	1233.75	1059.11	1183.45	1104.13	1023.0	647.07	1183.45	738.29	1051.79	1233.75	1447.15	1397.83	1233.75	1794.29	866.07	2047.0	2119.22	2240.11	2032.85	2090.03	1936.53	1896.65
SMIM4	400.71	1151.06	591.22	620.67	954.43	813.63	490.14	698.41	423.61	332.14	688.78	1023.0	825.0	642.59	620.67	780.44	514.56	336.79	205.5	400.71	395.18	249.73	406.31	289.02	406.31	176.29	450.94	392.44	511.0	318.57	327.56	483.38	438.59	525.39	329.84	423.61	384.34	346.29	463.65	356.05	503.95	651.58	463.65	679.29	181.28	1322.37	718.08	514.56	559.28	1081.39	848.22	420.68
SNRPB	8247.98	8479.89	6337.83	7537.18	8247.98	15075.35	5633.22	8658.09	5751.61	6471.02	4388.98	5517.27	8421.31	5366.37	8538.88	6887.62	4671.57	3190.46	2400.97	4802.93	4836.35	2335.28	3039.3	2956.17	3212.66	2133.97	2739.08	3982.99	3847.29	2855.44	4123.49	3820.7	3190.46	3467.27	3742.05	3874.05	3690.52	2935.74	2816.11	2875.3	5006.93	5219.6	3928.15	6337.83	2645.74	8191.0	8598.28	6250.56	5329.3	8718.32	5954.47	7749.1
SNRPC	2417.67	3874.05	3257.52	3540.14	3039.3	5913.33	2664.15	4736.79	2935.74	3146.52	2537.92	3349.13	3639.7	2796.65	3874.05	2255.7	1883.54	1561.89	1159.07	1832.01	2119.22	1250.98	1498.22	1225.22	1529.73	1417.35	1594.73	2303.12	2047.0	2004.85	1819.35	1594.73	1340.84	1896.65	1857.6	1457.23	1991.0	866.07	1378.57	1594.73	2119.22	2271.4	2148.82	3257.52	532.74	6250.56	2485.67	3303.0	3018.3	2627.46	2895.31	3280.18
TBCB	1936.53	3039.3	3614.55	3665.02	2956.17	5479.15	2701.35	4607.24	4358.66	3325.99	3018.3	3280.18	5329.3	3081.75	4239.45	3395.89	2796.65	1674.06	1594.73	1457.23	1709.26	1397.83	1721.16	1037.29	1519.15	1963.57	1857.6	1697.45	2004.85	1697.45	1286.18	1286.18	1388.16	1572.76	1407.55	1498.22	1561.89	1733.13	1617.0	1427.22	2032.85	1950.0	1529.73	1991.0	1286.18	3124.78	2956.17	2701.35	2468.49	2255.7	2004.85	2956.17
TUBB	12943.04	8840.04	12076.21	15934.98	13123.73	16496.96	9088.59	16727.26	12589.08	18819.27	9876.98	10014.87	18052.61	8963.45	22072.07	9945.68	7642.41	5041.77	2061.24	5219.6	5441.3	3443.31	4736.79	2956.17	3564.78	3901.01	5633.22	5954.47	4358.66	3419.52	5831.91	4358.66	2915.45	3794.3	5751.61	5913.33	4836.35	2835.7	3257.52	4298.64	9409.14	8479.89	6887.62	9740.98	5831.91	11992.79	11992.79	11909.94	8598.28	9606.86	11112.3	7589.61
