	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.A2.A1G1.01A.21R.A13Q.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.55.7726.01A.11R.2170.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.11NSD.0326.SM.5A5LS	GTEX.P4QT.0526.SM.2I3EX	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.P4PQ.0526.SM.2HMKR	GTEX.117YX.1326.SM.5H125	GTEX.U3ZN.0626.SM.3DB7U	GTEX.145MN.0926.SM.5NQBT	GTEX.13VXT.1426.SM.5LU4B	GTEX.XBEW.0226.SM.4AT6A	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.T8EM.0326.SM.3DB7F	GTEX.OHPM.0526.SM.2YUMJ
ASPRV1	6.01	16.03	13.93	8.45	0.0	0.36	44.89	13.72	49.56	35.25	59.55	37.32	53.95	42.11	13.32	11.73	27.84	76.71	115.97	46.18	31.0	23.08	10.71	8.13	46.84
BTBD2	366.09	624.99	450.94	540.19	0.0	0.66	1096.5	1295.13	1477.58	1508.65	1159.07	1250.98	1733.13	1721.16	974.5	967.76	1651.0	1617.0	1745.2	1477.58	1721.16	318.57	1143.1	808.0	775.05
C11orf35	20.86	16.63	12.93	22.75	0.0	0.52	67.59	154.42	94.01	127.0	102.97	205.5	156.59	105.89	98.04	28.45	221.86	147.06	256.78	195.72	181.28	23.08	98.04	27.05	32.82
C16orf58	1111.82	591.22	684.02	718.08	0.0	0.77	1143.1	1277.29	1304.15	1583.71	1397.83	1674.06	2224.63	2335.28	967.76	1437.15	1963.57	2090.03	1950.0	1757.34	1350.18	633.73	961.07	954.43	902.89
C1orf177	0.0	2.05	0.0	2.36	0.0	0.01	12.74	2.63	3.2	15.22	7.22	16.63	6.36	11.38	4.06	4.66	9.34	5.82	13.03	17.13	11.91	6.89	3.03	2.46	0.0
CACNA1D	22.92	17.9	43.32	16.27	0.0	0.53	143.01	351.14	273.37	90.14	256.78	97.36	195.72	457.25	115.97	73.03	249.73	239.52	269.6	256.78	97.36	38.12	96.01	36.53	97.36
CACTIN	133.36	158.79	120.1	239.52	0.0	0.72	287.01	194.36	241.19	314.17	366.09	316.37	387.02	500.46	283.05	206.94	463.65	633.73	444.72	395.18	381.68	237.86	248.0	154.42	256.78
CASP9	128.79	154.42	193.01	173.85	0.0	0.4	271.48	395.18	339.14	320.8	400.71	480.04	444.72	223.41	206.94	237.86	438.59	403.5	660.68	559.28	426.57	158.79	251.48	229.72	187.71
CBX7	50.98	87.65	579.04	249.73	0.0	0.36	1081.39	1340.84	2148.82	1216.75	1447.15	1015.93	1322.37	1350.18	1313.23	371.22	1388.16	1407.55	1697.45	1977.24	2004.85	476.71	842.36	376.41	1051.79
CDK9	555.41	713.11	698.41	1216.75	0.0	0.64	1304.15	1104.13	1467.37	961.07	1594.73	1378.57	1127.35	1304.15	1151.06	941.27	1697.45	1529.73	1651.0	1662.49	1757.34	1233.75	1225.22	1037.29	967.76
COL13A1	59.97	27.84	68.07	127.89	0.0	0.23	232.94	279.14	305.55	361.04	220.32	171.45	457.25	381.68	96.68	115.97	217.27	339.14	563.18	195.72	134.3	183.82	143.01	102.97	264.03
COL23A1	1.14	10.08	5.5	13.22	0.0	0.41	10.63	35.0	75.64	12.74	77.25	4.1	14.45	55.49	14.35	12.18	37.85	60.39	76.17	40.36	26.67	25.72	8.38	4.54	16.27
CYHR1	301.33	376.41	457.25	525.39	1066.48	559.28	514.56	981.29	1030.12	1135.2	974.5	1066.48	1331.57	1199.98	791.35	703.28	1617.0	1015.93	1519.15	1191.69	1388.16	476.71	1066.48	463.65	674.59
CYTH2	353.59	376.41	830.75	1023.0	0.0	0.64	1457.23	1350.18	1870.53	1819.35	1794.29	1378.57	1388.16	1617.0	1594.73	934.76	1529.73	1832.01	2758.13	2255.7	2133.97	674.59	1467.37	743.43	974.5
DBH	0.39	1.08	14.35	2.78	0.0	0.27	6.62	7.75	9.85	8.85	34.51	10.88	24.99	18.84	8.13	4.78	13.12	31.67	23.93	64.34	5.02	5.02	12.55	6.78	14.24
DMPK	208.38	123.5	228.13	242.88	0.0	1.04	358.54	536.45	563.18	435.55	723.08	603.67	518.15	954.43	327.56	234.57	791.35	753.83	988.12	1008.9	463.65	217.27	287.01	215.77	371.22
DTX3	406.31	164.42	423.61	260.38	0.0	0.78	291.04	432.53	426.57	616.37	511.0	555.41	483.38	674.59	387.02	343.89	974.5	642.59	1191.69	860.08	848.22	144.01	438.59	214.27	175.07
DUOX1	15.22	101.54	123.5	89.51	0.0	0.27	4123.49	7081.29	7642.41	4419.52	7180.15	5995.9	3190.46	9409.14	5555.65	3303.0	6294.04	7032.37	4298.64	4607.24	6561.36	1844.76	4575.41	2224.63	3491.39
DUOXA1	6.36	6.41	139.07	161.02	181.28	271.48	3955.48	5041.77	4607.24	3235.01	5831.91	4769.75	2720.15	6699.25	4802.93	2609.3	7642.41	4802.93	3589.58	5995.9	5112.16	1397.83	3349.13	1407.55	2193.99
DUS3L	46.84	185.11	193.01	180.02	0.0	0.68	607.87	237.86	368.65	351.14	384.34	587.13	460.44	723.08	356.05	518.15	466.88	567.1	713.11	769.69	540.19	251.48	320.8	400.71	406.31
E4F1	53.57	108.9	94.67	147.06	0.0	0.85	198.47	134.3	241.19	301.33	336.79	353.59	450.94	314.17	262.2	215.77	384.34	341.51	457.25	426.57	327.56	218.79	318.57	136.19	206.94
EFCC1	55.89	6.73	62.12	22.26	0.0	0.17	205.5	387.02	412.0	497.0	351.14	371.22	620.67	575.03	211.31	231.32	275.28	743.43	473.41	269.6	141.02	226.54	135.24	93.35	267.73
ENKD1	29.27	36.01	157.68	194.36	0.0	0.65	231.32	381.68	361.04	500.46	438.59	769.69	651.58	660.68	327.56	226.54	961.07	1081.39	1963.57	921.88	872.1	204.07	543.96	155.5	198.47
EPB42	7.69	4.74	15.56	7.51	0.0	0.06	28.24	27.64	26.47	21.78	41.22	22.92	33.78	38.67	38.4	14.35	43.63	52.82	73.03	44.25	33.54	13.12	22.75	35.5	18.03
EPOR	59.55	22.1	105.15	42.71	0.0	0.72	194.36	187.71	264.03	521.76	518.15	265.87	435.55	521.76	237.86	128.79	514.56	363.56	583.07	1250.98	954.43	127.0	114.36	79.45	161.02
FAM122C	30.34	23.25	56.28	54.72	0.0	0.27	87.65	66.18	103.69	72.01	56.68	67.59	68.07	88.26	50.27	53.57	102.25	96.01	81.71	91.41	80.01	65.72	59.13	63.45	53.57
FAM3A	351.14	334.46	339.14	460.44	0.0	0.77	728.11	967.76	1183.45	836.53	967.76	1167.14	1844.76	1015.93	791.35	612.11	1662.49	1870.53	896.64	1191.69	1304.15	403.5	902.89	460.44	1216.75
FBXL12	170.25	343.89	208.38	299.25	0.0	0.72	426.57	316.37	454.09	450.94	466.88	518.15	429.54	813.63	521.76	381.68	688.78	591.22	748.61	723.08	579.04	400.71	435.55	208.38	373.81
FGF22	0.0	0.0	0.0	0.0	0.0	0.17	3.69	3.5	6.84	2.36	3.2	7.28	6.67	4.66	8.45	2.73	14.56	5.02	14.14	8.0	12.64	0.0	1.5	0.82	1.19
FGFR4	80.57	57.49	173.85	1.68	0.0	0.61	1674.06	2609.3	2895.31	1304.15	1883.54	954.43	2537.92	4298.64	414.87	738.29	2090.03	4869.99	3395.89	1794.29	830.75	323.03	954.43	547.75	1697.45
FKSG61	0.0	2.81	0.0	0.0	0.0	0.0	5.73	3.29	3.35	1.2	13.93	6.67	12.36	9.13	6.06	0.16	13.52	8.65	20.86	4.17	4.78	0.01	1.1	1.14	5.54
FLJ00418	0.52	0.89	1.87	2.89	0.0	0.68	11.64	8.45	4.43	10.24	6.78	9.93	9.63	12.0	5.23	3.32	9.7	11.91	16.63	16.63	14.14	2.84	1.77	4.21	2.66
FXYD1	15.34	38.12	144.01	255.0	0.0	0.34	1447.15	2255.7	3235.01	1477.58	1551.09	1662.49	1662.49	2537.92	1605.83	384.34	2485.67	1806.78	4328.55	4010.71	2591.27	854.13	934.76	753.83	1733.13
GCDH	131.51	162.14	163.28	206.94	0.0	0.13	343.89	444.72	454.09	387.02	518.15	507.46	493.56	638.15	559.28	376.41	660.68	748.61	651.58	723.08	624.99	258.57	435.55	231.32	353.59
HDAC6	376.41	1151.06	941.27	591.22	0.0	1.08	679.29	1059.11	842.36	1427.22	1662.49	1709.26	1167.14	1407.55	866.07	1159.07	2240.11	1427.22	2758.13	1561.89	1359.57	305.55	878.17	674.59	532.74
HIF3A	5.77	0.54	18.16	20.26	0.0	0.75	591.22	848.22	1832.01	316.37	1059.11	1015.93	273.37	1721.16	967.76	190.34	1529.73	1508.65	1844.76	1350.18	1081.39	54.72	511.0	175.07	299.25
IGSF8	303.44	346.29	529.06	316.37	723.08	432.53	490.14	785.88	1617.0	796.86	1059.11	884.29	1059.11	866.07	723.08	591.22	1331.57	995.0	830.75	915.51	988.12	791.35	669.92	283.05	743.43
IL11RA	34.02	78.89	94.67	82.29	0.0	0.49	273.37	332.14	612.11	497.0	743.43	318.57	669.92	860.08	285.03	220.32	791.35	684.02	866.07	1088.92	536.45	265.87	242.88	248.0	314.17
IL34	10.31	384.34	31.22	72.01	0.0	0.14	86.43	134.3	860.08	559.28	67.12	470.14	438.59	547.75	796.86	140.04	1331.57	764.36	180.02	718.08	98.04	28.04	281.09	129.69	191.67
IMP3	616.37	665.29	529.06	679.29	0.0	0.0	1216.75	1127.35	928.3	1639.59	1096.5	1313.23	1331.57	1225.22	1508.65	1233.75	1268.46	1628.26	1359.57	1417.35	1508.65	1073.91	1304.15	1015.93	1159.07
ITIH3	0.4	8.65	15.56	9.85	0.0	0.42	30.34	323.03	255.0	92.7	209.84	202.66	44.25	145.02	88.88	25.54	146.03	126.12	112.77	232.94	79.45	47.84	36.01	23.76	90.14
ITIH4	6.21	24.11	13.83	7.22	0.0	1.03	147.06	53.95	85.22	295.11	167.9	53.19	31.45	249.73	40.93	17.64	334.46	182.55	551.56	275.28	70.01	52.82	62.12	32.59	16.27
IZUMO4	16.39	10.55	14.67	18.56	0.0	0.79	62.56	61.68	72.52	90.14	74.06	126.12	116.78	218.79	77.79	32.59	480.04	195.72	708.18	387.02	368.65	17.77	56.28	33.06	42.41
KATNB1	106.63	191.67	170.25	178.77	0.0	0.56	242.88	403.5	351.14	348.71	432.53	583.07	583.07	454.09	246.28	409.15	555.41	647.07	921.88	476.71	273.37	211.31	384.34	183.82	239.52
KDM4B	124.37	239.52	141.02	138.1	237.86	82.87	314.17	287.01	406.31	195.72	466.88	281.09	183.82	384.34	301.33	144.01	435.55	279.14	483.38	507.46	476.71	242.88	208.38	170.25	309.83
LCAT	51.71	73.54	72.52	205.5	0.0	1.11	129.69	164.42	149.12	214.27	217.27	454.09	624.99	633.73	260.38	135.24	688.78	387.02	1081.39	642.59	224.97	185.11	120.94	113.56	134.3
LGALSL	209.84	249.73	244.57	175.07	0.0	0.22	2816.11	780.44	1977.24	1111.82	1651.0	967.76	1832.01	1313.23	1605.83	934.76	1143.1	1225.22	423.61	3515.68	1487.87	759.08	825.0	713.11	679.29
LMTK3	44.25	9.93	24.99	6.78	46.84	69.03	88.26	102.25	126.12	108.14	141.02	102.25	164.42	85.82	69.52	38.95	204.07	116.78	190.34	110.43	143.01	24.46	84.63	27.05	36.53
LTBP3	327.56	1111.82	759.08	1540.37	0.0	0.82	1268.46	2032.85	2816.11	2047.0	2090.03	1674.06	2209.26	2468.49	1286.18	796.86	2468.49	2758.13	2591.27	3018.3	2701.35	1508.65	1111.82	915.51	988.12
MED16	201.25	426.57	271.48	172.65	0.0	0.64	785.88	830.75	909.17	921.88	1151.06	1030.12	1225.22	728.11	738.29	802.41	802.41	1397.83	915.51	1073.91	1051.79	387.02	713.11	493.56	703.28
MEPCE	693.58	429.54	785.88	674.59	476.71	775.05	1540.37	612.11	1073.91	1216.75	1151.06	1051.79	1066.48	1151.06	909.17	866.07	961.07	988.12	961.07	1167.14	1175.27	450.94	825.0	507.46	1030.12
MIB2	46.18	61.25	92.05	191.67	0.0	1.16	237.86	429.54	327.56	651.58	447.82	603.67	693.58	591.22	371.22	255.0	775.05	665.29	941.27	909.17	674.59	193.01	400.71	130.6	170.25
NEIL1	92.05	104.42	90.77	49.21	0.0	1.1	198.47	473.41	336.79	587.13	836.53	620.67	503.95	1096.5	287.01	152.28	1322.37	656.11	2335.28	941.27	854.13	109.66	429.54	148.09	94.01
NOL3	343.89	486.75	93.35	409.15	0.0	0.67	563.18	1208.34	961.07	1088.92	679.29	1277.29	1216.75	1950.0	819.3	503.95	1529.73	1295.13	1191.69	1628.26	1151.06	251.48	723.08	414.87	420.68
NPRL2	285.03	154.42	187.71	301.33	0.0	0.62	167.9	314.17	231.32	381.68	423.61	414.87	371.22	366.09	273.37	376.41	514.56	438.59	460.44	466.88	444.72	155.5	307.69	267.73	146.03
P2RX5-TAX1BP3	0.32	3.32	6.73	4.78	0.0	0.0	19.53	8.25	10.79	8.32	11.04	9.63	11.47	11.13	15.11	8.45	11.91	16.27	9.2	16.03	9.41	7.46	10.71	4.9	15.8
P2RX6	5.54	1.77	1.14	13.52	0.0	0.37	7.57	23.25	16.15	24.46	35.76	53.57	57.89	105.89	3.26	27.84	99.43	56.28	143.01	53.19	8.65	5.96	17.64	6.06	18.7
PLA2G6	114.36	181.28	71.5	130.6	0.0	0.91	262.2	318.57	473.41	780.44	400.71	759.08	521.76	708.18	373.81	249.73	1111.82	503.95	1617.0	1167.14	559.28	45.53	329.84	165.57	143.01
PRPF31	575.03	684.02	693.58	872.1	0.0	0.82	1143.1	1286.18	1023.0	1081.39	1340.84	1199.98	1159.07	1233.75	785.88	780.44	1369.04	1437.15	1322.37	1519.15	1457.23	854.13	1359.57	571.05	941.27
PRPF8	1870.53	3614.55	1950.0	2520.38	0.0	1.23	5913.33	5076.84	4869.99	4769.75	7857.29	5913.33	5672.41	6079.61	2976.74	4239.45	6935.54	5292.48	5633.22	7130.55	5751.61	3419.52	3419.52	5006.93	2935.74
PTH1R	16.15	20.86	297.17	38.12	0.0	0.52	183.82	392.44	265.87	158.79	490.14	237.86	232.94	1001.93	299.25	55.1	551.56	656.11	438.59	1119.56	356.05	44.57	232.94	117.6	182.55
PTOV1	1369.04	1044.52	1030.12	1340.84	0.0	0.99	1561.89	1457.23	1963.57	2004.85	2032.85	2133.97	2193.99	2400.97	1397.83	1268.46	2609.3	2682.69	3690.52	2816.11	2720.15	1001.93	1745.2	1001.93	1457.23
QRICH2	3.38	17.38	3.32	13.12	0.0	0.38	15.56	13.83	22.43	101.54	43.02	32.36	82.29	54.72	33.78	31.67	40.36	62.56	61.68	108.14	22.75	3.66	20.26	12.93	22.26
RARRES2	518.15	934.76	3515.68	5076.84	0.0	0.79	4575.41	7911.95	7966.99	7433.4	7180.15	4450.27	15180.22	8421.31	6840.04	2303.12	3589.58	12160.22	9279.58	10808.41	4481.23	8363.13	4836.35	2555.58	5479.15
REM2	12.74	3.44	2.58	1.55	0.0	0.48	15.45	5.5	4.35	11.13	14.45	18.29	6.94	17.0	11.64	6.31	22.92	34.02	44.25	24.11	15.11	9.56	6.57	10.24	7.88
RHOXF1	0.0	0.71	1.87	0.0	0.0	0.0	2.14	4.74	0.0	5.54	5.02	6.78	9.63	3.63	4.5	2.56	9.85	13.22	36.27	13.42	14.78	1.91	8.45	1.81	0.0
RING1	332.14	283.05	575.03	872.1	0.0	0.88	1023.0	1143.1	1008.9	1388.16	1216.75	1437.15	1183.45	1268.46	753.83	587.13	1340.84	1073.91	2163.77	1806.78	1066.48	884.29	769.69	503.95	1151.06
RP11-574K11.31	3.11	8.65	4.03	8.0	0.0	0.58	25.17	15.0	24.11	21.32	34.02	28.45	30.56	30.78	9.93	17.13	36.27	39.5	40.36	35.76	29.27	14.56	10.08	15.22	12.36
RP5-966M1.6	0.92	8.06	2.66	10.79	0.0	0.91	19.82	15.8	15.34	68.07	34.51	22.92	20.56	28.86	3.59	13.62	52.82	35.0	86.43	33.78	18.29	8.38	13.93	4.39	3.2
SEC31B	9.2	52.82	12.74	28.86	0.0	1.28	23.42	58.3	35.5	82.29	48.52	103.69	86.43	101.54	53.19	36.79	186.4	134.3	158.79	125.24	80.01	22.92	57.49	19.53	10.39
SEMA6C	62.12	29.7	54.72	54.33	0.0	0.59	95.34	96.01	177.53	64.8	147.06	143.01	249.73	269.6	197.09	21.32	253.23	224.97	190.34	343.89	204.07	39.22	68.55	38.12	53.57
SETD1B	163.28	130.6	135.24	121.79	105.89	206.94	127.89	163.28	215.77	166.73	267.73	180.02	206.94	246.28	170.25	140.04	275.28	312.0	353.59	314.17	323.03	242.88	139.07	157.68	156.59
SFTPA1	0.0	3.69	0.39	283.05	0.0	0.0	5809569.18	4987895.16	4495342.72	4252853.3	2636147.11	2039804.27	3576208.94	1864037.21	4252853.3	1432396.03	1374046.07	2581895.97	894051.48	3832885.91	3968052.37	2691538.19	1691649.38	2710259.32	3028138.0
SH2B1	166.73	293.07	273.37	295.11	0.0	0.84	412.0	651.58	909.17	796.86	872.1	842.36	1066.48	1167.14	567.1	503.95	1388.16	896.64	1407.55	860.08	995.0	271.48	591.22	392.44	426.57
SH2D6	1.48	3.63	0.38	0.0	0.0	0.21	12.0	23.76	12.45	31.45	23.25	8.92	28.24	12.83	9.41	0.34	48.87	24.63	111.99	13.83	30.56	13.03	14.89	3.86	12.27
SIX5	96.68	43.63	71.0	80.57	0.0	0.64	81.71	226.54	285.03	206.94	152.28	209.84	373.81	358.54	154.42	146.03	376.41	255.0	507.46	316.37	476.71	69.03	187.71	101.54	86.43
SLC25A4	463.65	289.02	563.18	199.85	0.0	0.26	1551.09	1457.23	1175.27	1242.34	1175.27	1769.57	1216.75	1388.16	1697.45	884.29	1457.23	1498.22	1417.35	1572.76	1605.83	866.07	1639.59	802.41	1167.14
SLC27A3	518.15	381.68	356.05	698.41	0.0	0.0	5995.9	5147.73	4358.66	3716.2	4903.87	3955.48	3794.3	8247.98	5479.15	3039.3	5112.16	5147.73	2485.67	5219.6	3847.29	1417.35	4038.61	1721.16	1733.13
SLIT2	73.03	92.7	150.17	295.11	0.0	0.41	769.69	1572.76	2895.31	1015.93	941.27	1127.35	808.0	878.17	708.18	490.14	457.25	1745.2	1183.45	1015.93	599.49	305.55	738.29	536.45	1277.29
TMEM175	647.07	295.11	202.66	241.19	0.0	0.8	529.06	775.05	612.11	866.07	651.58	1030.12	1685.71	1304.15	819.3	796.86	2004.85	1340.84	1023.0	1709.26	1111.82	246.28	583.07	389.72	466.88
TMEM222	764.36	514.56	490.14	567.1	0.0	0.39	1519.15	941.27	1159.07	1008.9	1167.14	1313.23	1359.57	1467.37	988.12	1208.34	1225.22	1250.98	1313.23	1286.18	1350.18	995.0	1073.91	934.76	1096.5
TMEM86B	17.13	23.76	23.76	44.57	0.0	0.64	61.68	28.65	53.95	52.82	75.11	65.72	127.0	85.82	34.02	68.07	132.44	107.38	135.24	134.3	62.12	32.36	53.57	40.93	21.94
TSC2	486.75	669.92	435.55	647.07	587.13	728.11	884.29	1015.93	1322.37	1119.56	1477.58	1268.46	1417.35	1781.89	796.86	848.22	1561.89	1662.49	1685.71	1313.23	1477.58	392.44	915.51	587.13	555.41
UBAP1L	6.46	7.63	4.46	20.86	0.0	0.68	14.89	16.88	24.11	47.17	38.67	34.26	57.89	31.9	27.84	11.91	47.17	45.85	98.73	81.14	47.5	8.06	17.77	12.0	16.15
UCP3	4.06	14.67	11.21	9.34	0.0	0.37	27.44	9.56	27.05	34.75	29.91	36.27	43.63	101.54	32.36	21.63	74.58	88.26	103.69	66.65	34.75	36.79	21.94	18.56	25.17
USP19	162.14	312.0	624.99	503.95	0.0	0.17	708.18	785.88	860.08	808.0	1015.93	848.22	860.08	974.5	713.11	603.67	928.3	981.29	934.76	878.17	813.63	435.55	775.05	529.06	703.28
WDR83	51.35	65.26	116.78	88.26	0.0	0.51	202.66	218.79	202.66	358.54	346.29	271.48	224.97	379.04	223.41	141.02	559.28	341.51	435.55	412.0	316.37	158.79	262.2	115.97	157.68
XAB2	204.07	403.5	275.28	269.6	0.0	0.85	718.08	1051.79	928.3	808.0	1304.15	1044.52	974.5	796.86	647.07	500.46	1313.23	1081.39	1331.57	1143.1	1388.16	698.41	785.88	417.77	599.49
ZFP41	33.3	50.27	69.03	82.87	0.0	0.23	165.57	108.9	167.9	134.3	215.77	102.97	110.43	163.28	139.07	113.56	169.07	165.57	132.44	163.28	133.36	83.45	158.79	49.91	110.43
ZNF296	46.5	12.27	8.65	12.18	0.0	0.29	38.4	29.27	15.34	48.87	41.81	53.95	37.59	46.18	57.49	42.41	92.05	67.59	99.43	37.05	47.5	26.67	50.98	18.97	29.48
ZNF34	85.82	71.0	71.0	93.35	0.0	0.34	151.22	156.59	114.36	115.97	127.89	130.6	149.12	155.5	169.07	102.25	115.16	169.07	215.77	201.25	180.02	92.05	102.25	100.83	83.45
ZNF444	423.61	156.59	232.94	267.73	0.0	0.54	476.71	791.35	780.44	1583.71	884.29	915.51	1066.48	1030.12	759.08	607.87	1498.22	1073.91	1594.73	967.76	1322.37	220.32	612.11	258.57	373.81
ZNF687	226.54	170.25	236.21	140.04	0.0	0.57	260.38	409.15	420.68	271.48	642.59	305.55	293.07	334.46	301.33	187.71	432.53	392.44	438.59	297.17	327.56	400.71	271.48	211.31	221.86
