	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5764.01A.21R.1580.07	TCGA.EJ.7330.01A.11R.2118.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.HC.A48F.01A.11R.A250.07	TCGA.VN.A88K.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.YL.A8SC.01A.11R.A37L.07	TCGA.EJ.7784.01A.11R.2118.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.ZG.A9L1.01A.11R.A41O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.VP.A87E.01A.31R.A352.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.2A.A8VV.01A.11R.A37L.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5506.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.HC.8259.11A.01R.2263.07
BPTF	212.78	279.14	194.36	287.01	287.01	217.27	80.57	438.59	1572.76	1104.13	1008.9	1037.29	616.37	551.56	872.1	674.59	629.35	884.29	1268.46	629.35	536.45	764.36	928.3	1233.75	503.95	896.64	1151.06	591.22	624.99	775.05	575.03	441.64	651.58	890.44	860.08	1268.46	476.71	660.68	743.43	579.04	616.37	981.29	733.19	607.87	599.49	1081.39	854.13	307.69	395.18	1369.04	1175.27	759.08	366.09	1104.13	656.11	476.71	669.92	723.08	529.06	521.76	947.83	866.07	878.17	669.92	595.34	836.53	1322.37	954.43	1015.93	620.67	708.18	599.49	1111.82	571.05	684.02	703.28	480.04	713.11	796.86	1015.93	1030.12	1225.22	450.94	607.87	603.67	470.14	660.68	476.71	791.35	575.03	540.19	647.07	624.99	612.11	236.21	656.11	638.15
BRAF	128.79	70.51	75.64	98.73	146.03	154.42	73.03	211.31	500.46	429.54	447.82	497.0	258.57	264.03	417.77	450.94	387.02	457.25	486.75	262.2	305.55	395.18	540.19	507.46	336.79	395.18	638.15	269.6	361.04	281.09	291.04	159.9	249.73	277.2	476.71	555.41	351.14	262.2	329.84	273.37	269.6	414.87	297.17	249.73	299.25	403.5	507.46	195.72	211.31	426.57	718.08	273.37	226.54	507.46	295.11	249.73	277.2	314.17	291.04	224.97	303.44	555.41	373.81	255.0	215.77	267.73	460.44	470.14	381.68	237.86	363.56	314.17	514.56	236.21	371.22	312.0	224.97	299.25	376.41	432.53	392.44	426.57	255.0	316.37	201.25	239.52	343.89	249.73	299.25	397.93	241.19	271.48	283.05	262.2	194.36	264.03	265.87
BRD3	57.08	109.66	111.99	127.89	108.14	115.16	116.78	231.32	708.18	571.05	595.34	660.68	293.07	368.65	848.22	493.56	363.56	441.64	813.63	438.59	376.41	511.0	651.58	796.86	480.04	967.76	813.63	381.68	409.15	400.71	368.65	301.33	463.65	429.54	1151.06	896.64	353.59	493.56	429.54	435.55	299.25	647.07	400.71	320.8	356.05	559.28	638.15	202.66	334.46	612.11	656.11	400.71	264.03	642.59	454.09	339.14	417.77	423.61	325.29	414.87	507.46	490.14	551.56	460.44	356.05	583.07	500.46	525.39	988.12	358.54	521.76	303.44	497.0	318.57	629.35	486.75	368.65	514.56	802.41	616.37	616.37	571.05	336.79	341.51	329.84	351.14	607.87	332.14	551.56	460.44	329.84	423.61	368.65	423.61	191.67	323.03	283.05
C11orf57	194.36	166.73	155.5	171.45	234.57	180.02	72.01	258.57	450.94	525.39	289.02	547.75	289.02	303.44	397.93	414.87	318.57	532.74	466.88	312.0	246.28	314.17	486.75	220.32	332.14	358.54	612.11	346.29	351.14	305.55	295.11	389.72	341.51	265.87	473.41	339.14	241.19	353.59	334.46	353.59	301.33	463.65	403.5	253.23	285.03	293.07	273.37	251.48	231.32	450.94	441.64	346.29	303.44	497.0	323.03	165.57	373.81	224.97	279.14	269.6	318.57	397.93	334.46	327.56	293.07	303.44	450.94	334.46	420.68	312.0	341.51	429.54	497.0	246.28	341.51	327.56	265.87	376.41	414.87	373.81	547.75	529.06	314.17	303.44	303.44	327.56	289.02	363.56	361.04	228.13	244.57	314.17	379.04	379.04	403.5	217.27	336.79
C16orf72	120.94	162.14	146.03	147.06	164.42	182.55	142.01	193.01	334.46	346.29	297.17	346.29	197.09	234.57	387.02	265.87	229.72	332.14	295.11	204.07	224.97	248.0	293.07	327.56	212.78	301.33	285.03	244.57	195.72	215.77	262.2	182.55	249.73	217.27	423.61	387.02	205.5	265.87	244.57	206.94	226.54	275.28	244.57	262.2	186.4	275.28	189.02	182.55	204.07	258.57	343.89	178.77	181.28	348.71	255.0	229.72	211.31	267.73	293.07	159.9	242.88	277.2	244.57	214.27	194.36	214.27	264.03	327.56	293.07	175.07	217.27	209.84	312.0	218.79	253.23	221.86	224.97	226.54	236.21	281.09	279.14	366.09	202.66	205.5	211.31	208.38	212.78	246.28	195.72	265.87	156.59	215.77	177.53	228.13	194.36	325.29	293.07
C1orf109	107.38	138.1	109.66	166.73	122.64	99.43	61.25	271.48	620.67	543.96	521.76	392.44	503.95	348.71	567.1	532.74	423.61	444.72	575.03	423.61	339.14	579.04	521.76	688.78	454.09	571.05	579.04	417.77	358.54	429.54	466.88	251.48	454.09	441.64	473.41	444.72	441.64	454.09	466.88	417.77	454.09	409.15	503.95	279.14	323.03	309.83	497.0	325.29	277.2	647.07	493.56	441.64	309.83	511.0	371.22	387.02	466.88	518.15	395.18	303.44	426.57	473.41	470.14	587.13	395.18	412.0	583.07	571.05	642.59	371.22	356.05	454.09	575.03	267.73	551.56	460.44	307.69	473.41	490.14	500.46	647.07	656.11	293.07	406.31	332.14	334.46	318.57	444.72	493.56	460.44	271.48	346.29	403.5	470.14	460.44	301.33	348.71
C5orf30	9.93	41.22	12.64	18.03	5.73	7.88	3.82	127.89	551.56	260.38	91.41	928.3	151.22	118.43	435.55	242.88	129.69	420.68	232.94	249.73	343.89	295.11	366.09	403.5	218.79	890.44	220.32	91.41	140.04	244.57	140.04	88.26	122.64	497.0	191.67	277.2	251.48	283.05	142.01	163.28	180.02	438.59	223.41	103.69	232.94	223.41	256.78	587.13	211.31	281.09	480.04	148.09	167.9	379.04	201.25	229.72	229.72	211.31	769.69	133.36	161.02	536.45	211.31	872.1	246.28	264.03	543.96	334.46	633.73	186.4	6.41	221.86	384.34	150.17	567.1	193.01	376.41	189.02	341.51	684.02	325.29	336.79	102.25	147.06	144.01	242.88	287.01	181.28	152.28	45.53	96.01	309.83	223.41	130.6	116.78	73.03	105.89
CAMSAP1	24.99	45.21	47.17	54.33	55.49	59.13	30.34	124.37	285.03	226.54	291.04	234.57	229.72	202.66	256.78	136.19	131.51	155.5	241.19	191.67	185.11	165.57	218.79	220.32	137.14	262.2	262.2	209.84	253.23	167.9	186.4	75.64	191.67	148.09	389.72	299.25	134.3	193.01	189.02	162.14	131.51	201.25	231.32	197.09	153.34	249.73	234.57	134.3	90.14	426.57	271.48	264.03	100.83	251.48	129.69	151.22	209.84	226.54	157.68	112.77	241.19	186.4	135.24	197.09	175.07	173.85	265.87	314.17	447.82	134.3	211.31	115.16	197.09	139.07	214.27	180.02	113.56	156.59	189.02	229.72	223.41	211.31	147.06	237.86	172.65	145.02	149.12	164.42	190.34	262.2	124.37	107.38	116.78	183.82	85.82	163.28	165.57
CCDC88C	19.53	30.78	33.78	64.8	16.51	71.5	31.9	307.69	708.18	813.63	587.13	503.95	253.23	237.86	1175.27	107.38	255.0	540.19	674.59	454.09	334.46	441.64	575.03	651.58	285.03	414.87	796.86	389.72	395.18	480.04	403.5	151.22	363.56	1119.56	1066.48	674.59	232.94	387.02	267.73	316.37	283.05	718.08	351.14	361.04	329.84	438.59	381.68	647.07	387.02	583.07	624.99	503.95	201.25	607.87	547.75	191.67	529.06	463.65	289.02	423.61	500.46	540.19	642.59	373.81	262.2	703.28	753.83	400.71	435.55	223.41	490.14	414.87	620.67	447.82	1096.5	599.49	346.29	547.75	500.46	679.29	543.96	373.81	325.29	441.64	366.09	314.17	947.83	412.0	460.44	214.27	441.64	563.18	579.04	400.71	171.45	229.72	242.88
CCNG2	22.43	44.89	43.32	66.18	16.88	82.29	42.11	902.89	2075.59	2645.74	1628.26	2956.17	1936.53	1519.15	2520.38	1628.26	1127.35	2148.82	3372.43	2193.99	2875.3	3212.66	2976.74	2664.15	2287.2	3146.52	2434.5	1350.18	1073.91	2956.17	2255.7	665.29	1745.2	1674.06	3419.52	4972.34	2777.33	2417.67	1639.59	2335.28	1662.49	3690.52	3235.01	1447.15	2351.53	1208.34	1605.83	3257.52	1111.82	3146.52	1769.57	4671.57	1268.46	3235.01	2555.58	1417.35	2537.92	2502.97	4512.4	813.63	2627.46	3190.46	1498.22	3515.68	2935.74	2075.59	1781.89	4607.24	2224.63	1639.59	3280.18	2855.44	3443.31	796.86	3190.46	1923.14	1340.84	2193.99	2351.53	1857.6	2816.11	2739.08	1073.91	1883.54	1977.24	1551.09	2627.46	1551.09	1709.26	2061.24	1111.82	1857.6	1350.18	1936.53	1628.26	961.07	1322.37
CCP110	17.0	17.77	23.93	20.86	36.01	40.64	10.24	71.0	295.11	287.01	224.97	312.0	98.04	82.29	291.04	164.42	187.71	211.31	199.85	128.79	110.43	176.29	262.2	212.78	96.01	249.73	249.73	122.64	88.88	120.1	120.94	61.25	121.79	170.25	305.55	429.54	92.05	77.79	176.29	105.89	115.16	209.84	162.14	167.9	120.1	173.85	162.14	91.41	73.03	189.02	269.6	151.22	64.8	223.41	146.03	73.54	186.4	149.12	127.0	108.9	152.28	255.0	199.85	142.01	92.05	162.14	303.44	217.27	228.13	108.14	138.1	111.21	201.25	112.77	197.09	140.04	81.71	117.6	197.09	183.82	178.77	277.2	92.7	131.51	54.72	139.07	141.02	115.16	173.85	125.24	108.9	142.01	144.01	181.28	127.0	136.19	148.09
CDH7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	110.43	118.43	24.99	173.85	0.55	0.27	83.45	13.72	10.79	332.14	83.45	6.11	2.97	23.59	26.28	100.83	12.83	153.34	78.34	5.73	0.97	9.56	4.78	64.34	5.11	130.6	260.38	127.89	0.0	15.45	6.89	0.89	2.73	18.16	10.39	4.74	3.2	0.33	24.28	5.87	10.47	15.8	223.41	24.99	1.66	94.67	26.67	4.7	10.47	16.88	1.22	30.12	8.51	73.03	130.6	36.79	3.89	47.84	127.89	7.34	193.01	4.21	5.06	58.71	115.16	10.39	47.17	14.78	11.47	37.59	65.72	104.42	23.76	26.67	2.84	8.06	4.28	3.5	2.07	4.39	16.75	5.06	47.84	28.86	66.65	23.59	29.7	5.15	11.82
CEP41	27.84	73.54	103.69	102.97	37.59	67.12	48.87	115.97	214.27	182.55	327.56	178.77	119.26	133.36	236.21	106.63	100.13	164.42	195.72	127.89	108.14	101.54	189.02	181.28	100.13	149.12	248.0	85.22	121.79	146.03	135.24	80.57	150.17	117.6	228.13	171.45	67.12	105.89	137.14	133.36	99.43	205.5	175.07	149.12	123.5	97.36	105.89	54.33	84.63	181.28	242.88	121.79	75.64	229.72	108.14	74.06	124.37	117.6	90.14	80.01	127.0	236.21	131.51	96.68	115.16	108.14	103.69	175.07	102.25	104.42	133.36	84.04	241.19	96.68	127.0	154.42	98.04	152.28	115.16	134.3	166.73	177.53	109.66	156.59	92.7	90.14	72.52	113.56	138.1	212.78	81.71	115.16	105.89	169.07	133.36	135.24	119.26
