	TCGA.B2.5641.01A.01R.1541.07	TCGA.AK.3429.01A.02R.1325.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.CJ.5672.01A.11R.1541.07	TCGA.BP.4346.01A.01R.1289.07	TCGA.A3.3347.01A.02R.1325.07	TCGA.CJ.4903.01A.01R.1426.07	TCGA.B0.4690.01A.01R.1277.07	TCGA.B0.4848.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CZ.5464.01A.01R.1503.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.B8.A54G.01A.11R.A266.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.6030.01A.11R.1672.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.BP.5173.01A.01R.1426.07	TCGA.CJ.4916.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.B8.5551.01A.01R.1541.07	TCGA.DV.5573.01A.01R.1541.07	TCGA.CW.6087.01A.11R.1672.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.BP.4804.01A.02R.1305.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.CJ.4637.01A.02R.1325.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.CZ.4864.01A.01R.1503.07	TCGA.CJ.4871.01A.01R.1305.07	GTEX.132NY.1226.SM.5PNVF	GTEX.139TT.0726.SM.5K7XW	GTEX.YF7O.0626.SM.4W21R	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12WSD.0826.SM.5GCNE	GTEX.12584.1426.SM.5EGJ9	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QXCU.0626.SM.2TC69	GTEX.13OVH.1026.SM.5J2NP	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WZTO.0426.SM.3NM99	GTEX.147JS.1226.SM.5RQK4	GTEX.V1D1.0826.SM.3P5ZA	GTEX.11EI6.0826.SM.5985V	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13PVQ.0926.SM.5IJFD	GTEX.RWSA.1126.SM.2XCAZ	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.12696.1026.SM.5FQUV	GTEX.ZDXO.1326.SM.57WBS	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.PX3G.0526.SM.2I3EM	GTEX.OHPL.0526.SM.3NM8U	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.WRHU.0226.SM.3MJFV	GTEX.13VXU.2726.SM.5LU4N	GTEX.P78B.0926.SM.2I5FA	GTEX.11NUK.0826.SM.5HL4U	GTEX.Q734.0626.SM.2I3EF	GTEX.13OW6.0826.SM.5L3GA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.T2IS.0526.SM.32QP9	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
C12orf43	366.09	295.11	323.03	253.23	262.2	361.04	493.56	336.79	366.09	244.57	371.22	303.44	314.17	242.88	285.03	381.68	246.28	493.56	283.05	316.37	260.38	309.83	358.54	329.84	307.69	314.17	236.21	299.25	271.48	253.23	341.51	384.34	281.09	206.94	177.53	301.33	211.31	293.07	237.86	145.02	177.53	262.2	285.03	152.28	221.86	269.6	195.72	320.8	325.29	323.03	275.28	164.42	283.05	356.05	199.85	291.04	177.53	181.28	361.04	130.6	218.79	444.72	202.66	165.57	143.01	177.53	384.34	323.03	249.73	149.12	161.02	182.55	244.57	173.85	185.11	159.9	305.55	198.47	285.03	289.02	336.79	189.02	307.69	191.67	320.8	273.37	297.17	395.18	381.68	325.29	320.8	232.94	180.02	164.42	152.28	100.83	183.82	185.11	134.3	189.02
C12orf52	420.68	303.44	395.18	373.81	334.46	473.41	473.41	387.02	629.35	320.8	583.07	559.28	441.64	305.55	255.0	348.71	297.17	307.69	323.03	366.09	426.57	343.89	361.04	309.83	463.65	269.6	226.54	450.94	242.88	291.04	376.41	277.2	412.0	193.01	147.06	403.5	176.29	293.07	262.2	130.6	151.22	234.57	218.79	73.54	232.94	118.43	147.06	299.25	368.65	334.46	277.2	164.42	209.84	314.17	111.21	307.69	115.97	186.4	115.16	127.89	134.3	305.55	123.5	124.37	87.65	166.73	371.22	336.79	187.71	151.22	106.63	236.21	155.5	208.38	191.67	97.36	320.8	143.01	358.54	253.23	348.71	253.23	265.87	100.13	334.46	334.46	363.56	336.79	336.79	297.17	371.22	198.47	106.63	111.99	153.34	90.77	173.85	126.12	95.34	111.99
C12orf73	190.34	223.41	176.29	152.28	244.57	395.18	255.0	295.11	358.54	323.03	316.37	361.04	236.21	191.67	171.45	249.73	186.4	283.05	211.31	237.86	255.0	246.28	182.55	190.34	256.78	287.01	236.21	220.32	175.07	232.94	204.07	215.77	171.45	104.42	48.18	241.19	141.02	189.02	119.26	140.04	77.25	116.78	135.24	29.48	157.68	120.1	164.42	297.17	197.09	129.69	139.07	115.97	172.65	271.48	116.78	241.19	98.73	198.47	291.04	72.52	90.14	197.09	135.24	191.67	29.06	123.5	262.2	127.89	66.18	150.17	98.04	155.5	212.78	77.79	169.07	79.45	205.5	180.02	159.9	253.23	239.52	135.24	297.17	97.36	251.48	135.24	150.17	114.36	166.73	140.04	143.01	111.21	39.22	64.8	170.25	43.32	198.47	137.14	114.36	111.99
C15orf41	96.01	66.65	88.88	59.97	77.25	121.79	129.69	123.5	143.01	78.89	139.07	70.51	111.21	43.63	69.52	132.44	97.36	107.38	90.77	101.54	64.8	76.71	52.08	85.22	78.89	74.06	68.55	78.89	70.51	64.34	57.89	74.58	82.29	73.54	31.45	67.59	55.49	76.17	21.47	21.78	40.93	100.83	155.5	16.27	53.19	8.85	19.11	162.14	92.05	25.35	34.02	64.8	24.99	87.03	50.98	63.0	39.79	45.85	43.63	12.18	30.34	79.45	45.53	30.12	22.75	14.89	92.7	62.12	104.42	28.24	30.78	29.27	18.7	30.78	33.78	6.11	88.88	58.3	65.72	31.9	84.63	29.27	134.3	23.42	94.67	82.87	54.33	154.42	91.41	73.54	47.17	99.43	24.63	51.35	15.45	10.08	33.06	23.25	15.91	19.25
C2orf15	743.43	591.22	587.13	1001.93	954.43	928.3	579.04	444.72	1304.15	665.29	1167.14	470.14	624.99	884.29	466.88	981.29	575.03	412.0	567.1	432.53	346.29	738.29	503.95	447.82	660.68	656.11	444.72	603.67	514.56	423.61	547.75	423.61	595.34	224.97	43.32	265.87	150.17	214.27	156.59	63.45	217.27	258.57	301.33	31.67	395.18	74.06	91.41	351.14	363.56	191.67	129.69	96.01	183.82	529.06	58.71	275.28	30.34	109.66	70.01	61.68	58.71	356.05	66.18	96.68	19.97	58.71	507.46	341.51	187.71	94.67	76.17	111.21	74.06	116.78	8.25	32.36	334.46	109.66	163.28	149.12	251.48	97.36	656.11	61.25	358.54	242.88	329.84	376.41	165.57	150.17	255.0	152.28	87.03	58.71	65.26	24.81	73.03	60.39	92.7	74.58
C3orf67	111.21	67.59	67.12	95.34	49.56	131.51	61.25	206.94	102.25	23.76	215.77	44.57	61.68	50.63	120.94	130.6	31.0	72.01	38.67	55.89	137.14	85.82	135.24	89.51	94.01	34.02	55.1	48.18	87.03	32.36	74.58	73.03	82.29	13.93	12.55	7.34	31.9	12.64	53.57	63.45	2.23	17.77	40.07	12.45	34.26	0.0	3.99	75.11	30.78	4.62	27.44	6.89	7.57	20.11	4.06	73.03	9.41	8.92	4.66	33.06	3.47	34.51	18.16	2.78	4.54	4.98	39.22	8.58	7.94	7.06	11.55	49.56	2.86	6.57	22.59	1.6	22.92	16.51	40.36	0.0	48.18	169.07	13.03	7.4	33.78	10.88	21.94	7.06	13.52	5.45	12.64	5.19	8.45	14.03	1.58	0.0	4.98	3.89	0.0	52.08
C9orf64	417.77	470.14	423.61	316.37	400.71	343.89	381.68	567.1	368.65	379.04	395.18	518.15	371.22	285.03	320.8	283.05	307.69	392.44	309.83	366.09	336.79	414.87	447.82	500.46	348.71	237.86	237.86	312.0	392.44	363.56	334.46	447.82	444.72	139.07	86.43	376.41	156.59	249.73	236.21	74.58	185.11	255.0	190.34	55.1	224.97	105.15	101.54	271.48	316.37	314.17	221.86	102.97	215.77	361.04	114.36	285.03	82.87	167.9	255.0	62.56	108.9	327.56	116.78	88.88	59.97	142.01	379.04	379.04	144.01	170.25	113.56	232.94	186.4	115.97	199.85	68.55	241.19	206.94	353.59	220.32	253.23	218.79	299.25	96.01	334.46	275.28	392.44	441.64	193.01	303.44	299.25	148.09	83.45	128.79	135.24	66.65	170.25	147.06	119.26	81.71
CD74	307450.64	294926.33	368165.8	378516.38	322736.12	154794.07	140478.49	172949.54	155870.75	343510.77	180294.02	248002.34	443937.41	437825.58	466008.55	249727.34	320506.81	466008.55	383800.28	341137.96	363097.14	368165.8	370726.6	299043.36	370726.6	425853.18	506427.83	397335.0	305326.92	402881.61	324980.94	329517.51	260332.24	402881.61	147462.67	425853.18	253213.41	527933.71	726195.27	262143.0	1196176.45	502929.67	485798.0	177811.84	682276.92	353168.2	237899.7	585779.24	338781.54	619179.28	383800.28	419990.32	391864.76	520665.48	394590.4	757033.75	358098.26	303217.87	320506.81	1019901.63	475800.4	482442.34	248002.34	414208.18	932018.1	320506.81	414208.18	475800.4	459592.86	265802.39	1503610.06	313910.86	273275.14	450134.56	422911.59	135693.24	453265.5	1229805.58	397335.0	378516.38	389157.95	649962.87	437825.58	741454.2	513497.31	358098.26	554180.87	610654.84	434801.29	355624.68	550352.86	280957.98	363097.14	593956.43	345900.08	375901.76	1877002.62	636586.81	1196176.45	531605.79
CDK5	463.65	656.11	358.54	476.71	279.14	603.67	486.75	633.73	563.18	435.55	599.49	435.55	507.46	387.02	473.41	473.41	327.56	493.56	368.65	500.46	420.68	409.15	708.18	327.56	536.45	409.15	540.19	599.49	363.56	476.71	423.61	303.44	490.14	226.54	112.77	417.77	209.84	332.14	329.84	60.82	239.52	281.09	289.02	113.56	323.03	94.67	153.34	229.72	248.0	353.59	193.01	170.25	264.03	409.15	139.07	309.83	162.14	209.84	100.83	127.89	208.38	312.0	169.07	204.07	139.07	129.69	500.46	406.31	208.38	211.31	118.43	190.34	131.51	108.9	197.09	52.45	371.22	262.2	392.44	165.57	285.03	197.09	316.37	265.87	307.69	303.44	358.54	400.71	229.72	423.61	366.09	181.28	123.5	141.02	94.67	108.14	271.48	195.72	201.25	146.03
CDKN2AIPNL	620.67	988.12	1001.93	638.15	444.72	497.0	878.17	698.41	836.53	830.75	796.86	860.08	551.56	665.29	403.5	599.49	579.04	1250.98	540.19	813.63	642.59	748.61	514.56	1001.93	633.73	884.29	432.53	718.08	483.38	723.08	674.59	629.35	836.53	314.17	123.5	848.22	262.2	358.54	275.28	183.82	211.31	361.04	329.84	246.28	454.09	293.07	173.85	403.5	620.67	432.53	343.89	189.02	297.17	511.0	215.77	232.94	189.02	409.15	366.09	141.02	220.32	532.74	339.14	194.36	105.89	224.97	591.22	595.34	246.28	287.01	158.79	236.21	325.29	285.03	351.14	126.12	392.44	264.03	483.38	197.09	454.09	251.48	483.38	152.28	536.45	389.72	525.39	629.35	423.61	432.53	579.04	253.23	145.02	226.54	181.28	76.71	217.27	212.78	232.94	173.85
CHRNB1	486.75	356.05	336.79	356.05	387.02	366.09	429.54	327.56	583.07	299.25	1030.12	327.56	521.76	571.05	356.05	599.49	226.54	293.07	384.34	490.14	262.2	366.09	346.29	253.23	392.44	518.15	279.14	503.95	371.22	285.03	429.54	237.86	444.72	52.08	111.99	167.9	215.77	218.79	102.25	34.26	151.22	327.56	171.45	43.63	171.45	69.03	108.9	441.64	486.75	182.55	88.88	114.36	121.79	269.6	138.1	334.46	33.78	102.25	69.03	77.25	90.14	242.88	67.12	109.66	52.45	75.64	358.54	356.05	114.36	84.04	38.4	63.0	91.41	215.77	132.44	52.45	295.11	97.36	253.23	102.25	111.99	126.12	251.48	41.22	325.29	190.34	289.02	325.29	239.52	197.09	264.03	162.14	80.57	93.35	127.0	116.78	68.55	76.17	88.88	79.45
CIDEB	988.12	723.08	825.0	1295.13	1806.78	1096.5	764.36	785.88	1498.22	988.12	4181.07	2701.35	890.44	2303.12	525.39	974.5	909.17	813.63	981.29	2148.82	825.0	808.0	273.37	921.88	866.07	1225.22	902.89	2163.77	656.11	1447.15	884.29	693.58	1096.5	93.35	82.87	246.28	251.48	381.68	106.63	152.28	111.99	293.07	368.65	50.98	287.01	77.25	45.21	638.15	460.44	599.49	126.12	121.79	121.79	1183.45	173.85	651.58	69.03	158.79	139.07	57.49	187.71	633.73	122.64	127.89	31.9	139.07	457.25	417.77	521.76	101.54	199.85	246.28	59.55	118.43	127.0	55.89	518.15	175.07	536.45	73.54	264.03	141.02	264.03	148.09	575.03	251.48	320.8	848.22	373.81	409.15	314.17	312.0	120.94	96.01	50.98	9.78	161.02	118.43	146.03	75.64
