	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11P82.0426.SM.5HL5D	GTEX.1211K.1326.SM.5FQV2	GTEX.12WSJ.0726.SM.5GCN6	GTEX.13OVG.0926.SM.5J2OJ	GTEX.131XF.0926.SM.5BC69	GTEX.13X6H.1426.SM.5SI91	GTEX.YB5K.0726.SM.5LU8R	GTEX.ZZ64.0326.SM.5E45S	GTEX.YF7O.0826.SM.4W21F	GTEX.13OVJ.1326.SM.5K7Z9	GTEX.13QBU.0926.SM.5K7WQ	TCGA.38.4625.01A.01R.1206.07	TCGA.91.6831.11A.02R.1858.07	GTEX.139UW.0226.SM.5K7WU	GTEX.QMR6.1926.SM.32PL9	TCGA.33.4589.01A.01R.1443.07	TCGA.77.7335.11A.01R.2045.07	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4Z8.1226.SM.4AD6W	GTEX.146FR.2026.SM.5NQAI	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.TKQ2.0926.SM.4DXU5	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.OIZH.1526.SM.3NB1J	GTEX.131XE.2226.SM.5PNYX	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
COL24A1	22.26	36.79	77.25	780.44	36.27	24.63	27.25	60.39	57.49	22.1	6.06	39.22	53.57	16.88	41.22	35.0	0.0	3.59	3.0	0.09	1.57	1.77	91.41	127.0	154.42	140.04	97.36	62.12	54.72	93.35	55.1	158.79	108.9	80.57	85.22	62.56	68.55	49.56	84.63	59.13	110.43	55.1	88.26	42.11
DENND1A	395.18	406.31	341.51	444.72	341.51	303.44	297.17	343.89	403.5	323.03	291.04	307.69	329.84	309.83	281.09	325.29	0.0	165.57	199.85	143.01	180.02	132.44	329.84	463.65	403.5	486.75	463.65	379.04	525.39	567.1	426.57	486.75	486.75	384.34	525.39	476.71	397.93	473.41	603.67	447.82	444.72	587.13	463.65	447.82
EMILIN1	4210.15	4358.66	16843.62	4512.4	2591.27	3039.3	1757.34	2047.0	1572.76	1407.55	1259.69	1923.14	1208.34	2148.82	2209.26	1487.87	0.0	842.36	921.88	262.2	162.14	438.59	4066.71	4639.29	6121.9	4038.61	3874.05	7032.37	5751.61	4481.23	5076.84	5791.62	6250.56	4903.87	10585.95	5711.87	7032.37	3955.48	7331.05	7749.1	8078.22	7081.29	5479.15	5995.9
FAM117A	651.58	791.35	1175.27	902.89	371.22	872.1	454.09	540.19	555.41	679.29	525.39	199.85	348.71	656.11	180.02	583.07	0.0	244.57	127.0	327.56	65.72	242.88	518.15	961.07	1151.06	2417.67	1487.87	1359.57	2537.92	738.29	1183.45	1467.37	1540.37	1175.27	3168.41	1844.76	5751.61	941.27	1088.92	1350.18	947.83	1447.15	1781.89	1216.75
FAM50B	265.87	325.29	381.68	305.55	220.32	447.82	260.38	406.31	285.03	236.21	258.57	183.82	248.0	460.44	89.51	368.65	0.0	146.03	88.88	111.21	75.64	142.01	258.57	307.69	353.59	723.08	660.68	679.29	595.34	511.0	426.57	629.35	669.92	532.74	941.27	389.72	1457.23	547.75	483.38	934.76	341.51	332.14	1397.83	624.99
FBXL15	181.28	166.73	514.56	287.01	332.14	346.29	234.57	447.82	287.01	269.6	334.46	255.0	301.33	414.87	262.2	412.0	0.0	115.16	325.29	84.04	88.26	142.01	305.55	473.41	518.15	575.03	466.88	921.88	616.37	1023.0	693.58	728.11	884.29	334.46	679.29	693.58	1081.39	432.53	638.15	780.44	1268.46	1001.93	1081.39	1340.84
FBXL19	172.65	145.02	242.88	242.88	208.38	198.47	181.28	181.28	231.32	194.36	131.51	211.31	195.72	180.02	165.57	178.77	0.0	114.36	115.97	106.63	36.01	38.67	166.73	173.85	180.02	339.14	224.97	356.05	293.07	201.25	287.01	454.09	327.56	262.2	323.03	234.57	258.57	271.48	500.46	242.88	373.81	486.75	389.72	358.54
FGD1	153.34	153.34	187.71	177.53	152.28	139.07	100.83	115.97	94.67	94.67	87.65	85.82	90.77	73.54	57.89	100.13	0.0	55.1	31.0	78.89	20.41	40.36	163.28	166.73	208.38	224.97	215.77	295.11	209.84	93.35	170.25	314.17	221.86	145.02	301.33	187.71	301.33	99.43	218.79	287.01	201.25	295.11	217.27	161.02
FOXP2	371.22	532.74	1119.56	490.14	403.5	642.59	260.38	409.15	450.94	521.76	447.82	125.24	387.02	301.33	206.94	438.59	0.0	62.56	11.64	52.08	2.89	53.19	1111.82	961.07	909.17	825.0	896.64	995.0	1733.13	1135.2	583.07	1259.69	1167.14	1015.93	1936.53	878.17	1806.78	780.44	1378.57	1119.56	1304.15	813.63	1733.13	961.07
GPLD1	52.08	56.68	101.54	43.32	35.25	42.11	17.0	42.11	25.54	21.78	28.24	12.74	12.93	9.85	6.46	37.05	0.0	20.71	4.21	21.32	4.66	5.73	54.72	73.54	80.01	69.52	80.57	126.12	83.45	52.45	77.79	103.69	85.22	64.8	215.77	55.1	94.01	96.01	71.0	74.58	46.18	93.35	106.63	78.34
IRF2BP1	305.55	358.54	563.18	412.0	417.77	500.46	463.65	376.41	547.75	493.56	466.88	435.55	356.05	579.04	253.23	376.41	0.0	173.85	262.2	147.06	78.89	170.25	397.93	483.38	647.07	638.15	638.15	587.13	748.61	599.49	603.67	995.0	684.02	420.68	1457.23	656.11	1250.98	551.56	1073.91	836.53	647.07	679.29	1143.1	733.19
LDLRAD4	289.02	343.89	265.87	429.54	295.11	301.33	148.09	212.78	226.54	246.28	120.94	273.37	217.27	182.55	181.28	341.51	42.41	176.29	176.29	124.37	32.59	131.51	269.6	351.14	514.56	194.36	769.69	713.11	1233.75	688.78	429.54	346.29	285.03	438.59	669.92	555.41	500.46	540.19	480.04	414.87	460.44	633.73	224.97	450.94
LLGL1	221.86	291.04	540.19	463.65	409.15	248.0	228.13	229.72	258.57	197.09	234.57	150.17	166.73	201.25	177.53	206.94	0.0	108.9	85.22	105.89	242.88	125.24	336.79	351.14	406.31	460.44	435.55	536.45	438.59	307.69	444.72	536.45	460.44	400.71	909.17	406.31	1096.5	320.8	633.73	660.68	460.44	514.56	571.05	327.56
METTL24	193.01	246.28	954.43	293.07	289.02	193.01	50.63	166.73	180.02	218.79	78.34	43.02	67.12	76.17	37.59	115.16	0.0	24.99	4.13	5.54	1.01	46.5	483.38	743.43	775.05	83.45	500.46	571.05	974.5	507.46	318.57	1008.9	775.05	518.15	1015.93	563.18	878.17	480.04	791.35	450.94	738.29	476.71	620.67	493.56
MNT	256.78	327.56	521.76	532.74	444.72	466.88	460.44	438.59	500.46	529.06	305.55	438.59	460.44	339.14	381.68	551.56	0.0	149.12	98.04	165.57	65.72	90.14	381.68	547.75	587.13	423.61	587.13	486.75	470.14	616.37	543.96	518.15	497.0	612.11	620.67	389.72	713.11	583.07	444.72	591.22	563.18	595.34	466.88	599.49
MYH11	299043.36	492579.5	925580.18	839981.65	343510.77	271387.49	220434.95	273275.14	280957.98	277089.94	253213.41	220434.95	177811.84	225066.78	114897.47	244588.0	0.0	3589.58	4038.61	3614.55	2.76	2976.74	425853.18	411347.03	417089.23	517068.97	397335.0	414208.18	527933.71	721179.07	513497.31	606436.73	857631.47	462789.59	561916.97	682276.92	577714.63	527933.71	405683.88	280957.98	428815.23	565825.41	381149.17	696613.03
NFRKB	269.6	332.14	339.14	348.71	307.69	253.23	267.73	271.48	226.54	281.09	264.03	195.72	234.57	155.5	177.53	283.05	0.0	256.78	217.27	202.66	53.57	181.28	353.59	327.56	435.55	366.09	420.68	363.56	303.44	198.47	301.33	397.93	381.68	297.17	571.05	269.6	444.72	291.04	409.15	511.0	242.88	351.14	417.77	255.0
PDF	45.53	35.25	88.26	78.89	132.44	122.64	115.97	118.43	81.71	107.38	35.0	104.42	63.45	59.13	35.25	80.01	0.0	36.79	40.36	72.52	115.97	76.71	131.51	136.19	155.5	154.42	137.14	169.07	120.94	205.5	147.06	182.55	190.34	91.41	183.82	181.28	215.77	120.1	94.67	123.5	214.27	180.02	173.85	171.45
PIAS4	379.04	417.77	713.11	379.04	325.29	379.04	454.09	325.29	376.41	329.84	327.56	283.05	358.54	269.6	283.05	346.29	466.88	242.88	249.73	291.04	121.79	176.29	473.41	555.41	571.05	480.04	486.75	486.75	473.41	493.56	595.34	878.17	457.25	429.54	1023.0	684.02	802.41	872.1	769.69	819.3	934.76	595.34	890.44	633.73
SATB1	928.3	921.88	1259.69	620.67	607.87	780.44	463.65	395.18	447.82	579.04	432.53	269.6	435.55	387.02	435.55	1051.79	76.71	336.79	400.71	348.71	12.09	205.5	1015.93	1388.16	1417.35	1059.11	1388.16	1143.1	1709.26	1008.9	728.11	2178.83	2075.59	866.07	1561.89	878.17	2351.53	1001.93	1467.37	1175.27	1096.5	1135.2	1628.26	813.63
SCAF1	684.02	825.0	1015.93	890.44	813.63	836.53	896.64	775.05	902.89	748.61	796.86	624.99	961.07	688.78	743.43	884.29	438.59	486.75	769.69	507.46	105.89	260.38	981.29	1216.75	1104.13	1216.75	1073.91	1073.91	1143.1	1037.29	1199.98	1583.71	1583.71	1008.9	1674.06	1151.06	1617.0	1199.98	1709.26	1242.34	1081.39	1295.13	1561.89	1388.16
SH3PXD2A	603.67	547.75	718.08	718.08	780.44	346.29	262.2	457.25	325.29	420.68	231.32	231.32	406.31	202.66	351.14	305.55	0.0	309.83	343.89	341.51	75.64	198.47	647.07	536.45	642.59	866.07	813.63	775.05	1015.93	438.59	583.07	1073.91	518.15	854.13	915.51	540.19	540.19	743.43	1037.29	981.29	819.3	698.41	748.61	493.56
SLC5A3	15.91	37.59	48.52	34.02	58.71	22.26	19.39	17.77	9.78	31.22	10.96	5.82	14.14	35.0	2.63	19.39	0.0	20.11	12.27	13.22	8.71	28.86	24.46	157.68	137.14	59.13	114.36	36.79	40.64	59.55	17.0	104.42	72.52	39.79	140.04	69.03	38.12	28.45	147.06	111.99	29.91	12.55	44.57	65.72
SOX12	148.09	253.23	624.99	231.32	170.25	271.48	177.53	121.79	123.5	232.94	193.01	96.01	100.83	107.38	77.25	87.65	166.73	86.43	77.25	64.8	89.51	90.14	253.23	358.54	438.59	435.55	420.68	587.13	525.39	105.15	420.68	684.02	329.84	291.04	1051.79	295.11	775.05	173.85	607.87	728.11	447.82	400.71	647.07	366.09
TBC1D20	603.67	638.15	738.29	764.36	703.28	624.99	543.96	583.07	713.11	629.35	547.75	665.29	612.11	591.22	603.67	591.22	316.37	575.03	518.15	543.96	166.73	463.65	728.11	764.36	896.64	764.36	884.29	1143.1	836.53	748.61	769.69	902.89	813.63	703.28	1030.12	708.18	825.0	836.53	941.27	872.1	780.44	866.07	967.76	947.83
THAP11	579.04	890.44	1259.69	591.22	567.1	723.08	753.83	748.61	748.61	738.29	796.86	656.11	651.58	785.88	327.56	567.1	444.72	432.53	490.14	426.57	559.28	733.19	660.68	679.29	854.13	934.76	928.3	825.0	872.1	802.41	878.17	1096.5	928.3	836.53	1081.39	988.12	1191.69	713.11	1350.18	1096.5	813.63	872.1	1081.39	915.51
TMEM160	124.37	109.66	236.21	229.72	295.11	334.46	237.86	316.37	267.73	595.34	316.37	237.86	229.72	332.14	202.66	237.86	0.0	146.03	182.55	84.04	249.73	171.45	420.68	412.0	379.04	267.73	769.69	1259.69	563.18	651.58	607.87	733.19	698.41	327.56	1208.34	376.41	941.27	229.72	295.11	454.09	830.75	988.12	532.74	567.1
TMEM25	507.46	567.1	842.36	679.29	470.14	718.08	373.81	521.76	414.87	409.15	323.03	363.56	316.37	403.5	291.04	316.37	0.0	343.89	142.01	353.59	76.17	363.56	466.88	599.49	733.19	660.68	961.07	2485.67	1896.65	1088.92	921.88	1844.76	1721.16	1572.76	2384.37	848.22	1594.73	884.29	1081.39	2627.46	607.87	567.1	2018.8	583.07
TTC36	1.79	0.0	2.66	16.27	16.39	30.56	4.13	8.78	6.89	15.22	7.06	2.07	5.96	8.13	2.39	6.94	0.0	6.52	1.66	0.99	5.11	1.41	15.45	33.3	29.91	23.25	56.28	35.0	37.59	27.25	23.59	112.77	23.59	37.59	157.68	12.64	120.94	10.96	33.54	29.27	41.81	65.72	42.11	33.54
ZBTB12	110.43	128.79	98.04	52.08	48.52	43.32	18.03	25.91	22.92	25.91	23.76	25.72	20.11	8.65	12.74	20.41	0.0	24.46	12.36	18.97	6.67	23.25	75.64	63.45	111.99	127.89	74.58	70.51	102.25	9.93	61.25	122.64	50.98	36.53	193.01	39.22	130.6	42.11	123.5	121.79	73.03	34.02	145.02	39.79
ZBTB7A	389.72	547.75	624.99	1051.79	813.63	669.92	599.49	620.67	753.83	915.51	665.29	540.19	884.29	514.56	387.02	599.49	228.13	336.79	334.46	138.1	101.54	159.9	753.83	1088.92	1167.14	1059.11	1896.65	1313.23	1104.13	1936.53	1685.71	2400.97	1529.73	1259.69	2609.3	1685.71	1819.35	1127.35	1628.26	1322.37	1594.73	2835.7	1963.57	1857.6
ZDHHC18	426.57	463.65	435.55	490.14	376.41	361.04	297.17	353.59	283.05	351.14	358.54	320.8	301.33	275.28	255.0	314.17	0.0	358.54	480.04	599.49	251.48	301.33	599.49	536.45	579.04	486.75	642.59	656.11	514.56	470.14	854.13	947.83	728.11	591.22	775.05	638.15	775.05	656.11	718.08	1199.98	915.51	848.22	928.3	684.02
ZFPM1	18.56	16.51	20.11	22.92	62.12	63.0	43.63	38.67	32.59	55.1	47.5	16.15	45.85	55.49	20.86	40.64	0.0	19.39	19.53	2.32	11.82	16.75	75.64	62.56	72.52	69.03	84.63	92.7	74.58	75.11	96.68	76.71	83.45	67.59	89.51	42.71	102.25	52.45	36.79	53.57	72.01	76.71	251.48	66.18
ZNF273	63.89	75.11	102.97	143.01	142.01	113.56	45.85	94.01	85.82	147.06	33.06	57.89	66.18	56.28	166.73	70.01	0.0	60.82	29.91	50.63	102.25	81.14	69.52	145.02	186.4	218.79	173.85	297.17	205.5	156.59	119.26	120.94	166.73	135.24	323.03	62.12	285.03	153.34	153.34	289.02	187.71	96.01	180.02	169.07
ZNF428	890.44	728.11	1350.18	1073.91	884.29	941.27	713.11	981.29	854.13	872.1	854.13	536.45	638.15	1023.0	603.67	866.07	351.14	612.11	536.45	237.86	159.9	316.37	656.11	1015.93	1066.48	848.22	1277.29	1651.0	1977.24	1015.93	1151.06	928.3	1583.71	836.53	1225.22	1044.52	1268.46	1030.12	1369.04	1540.37	1225.22	1151.06	1073.91	1407.55
ZNF48	96.68	180.02	447.82	113.56	106.63	127.89	183.82	163.28	155.5	167.9	145.02	169.07	134.3	158.79	91.41	108.14	0.0	82.87	98.73	40.93	29.91	61.25	209.84	228.13	356.05	204.07	169.07	208.38	154.42	148.09	224.97	214.27	231.32	164.42	277.2	155.5	343.89	128.79	299.25	260.38	205.5	158.79	255.0	265.87
ZNF574	121.79	253.23	353.59	289.02	293.07	289.02	348.71	258.57	289.02	289.02	262.2	314.17	234.57	301.33	187.71	295.11	0.0	147.06	204.07	141.02	50.27	135.24	305.55	314.17	379.04	361.04	412.0	316.37	356.05	381.68	500.46	429.54	480.04	444.72	703.28	420.68	587.13	463.65	579.04	551.56	441.64	303.44	624.99	536.45
ZNF575	50.98	60.39	90.77	73.54	69.52	91.41	28.24	55.1	24.81	33.06	39.5	22.26	20.41	36.01	29.91	44.89	0.0	32.82	42.41	34.75	5.96	23.76	118.43	115.97	117.6	127.0	171.45	206.94	183.82	59.97	144.01	135.24	120.94	105.89	187.71	60.39	178.77	98.04	74.06	262.2	92.05	128.79	151.22	101.54
ZNF592	264.03	293.07	316.37	277.2	314.17	289.02	253.23	305.55	363.56	392.44	228.13	209.84	341.51	226.54	165.57	368.65	0.0	231.32	154.42	307.69	21.78	148.09	320.8	397.93	358.54	435.55	575.03	312.0	423.61	339.14	463.65	684.02	567.1	483.38	595.34	417.77	503.95	591.22	493.56	583.07	417.77	536.45	511.0	457.25
ZNF703	764.36	647.07	1397.83	915.51	902.89	693.58	579.04	540.19	860.08	1407.55	567.1	633.73	395.18	981.29	361.04	638.15	100.83	165.57	147.06	88.88	66.65	125.24	1757.34	2384.37	2875.3	1119.56	2119.22	2133.97	2855.44	3280.18	2555.58	2956.17	2777.33	1819.35	3235.01	3349.13	3018.3	1628.26	2915.45	3639.7	2875.3	3955.48	2875.3	3639.7
ZNF777	197.09	289.02	309.83	256.78	228.13	198.47	242.88	249.73	256.78	215.77	255.0	236.21	221.86	209.84	185.11	218.79	211.31	138.1	149.12	185.11	21.94	88.88	215.77	253.23	264.03	287.01	265.87	255.0	325.29	371.22	275.28	271.48	256.78	248.0	323.03	361.04	332.14	307.69	392.44	387.02	271.48	312.0	318.57	316.37
