	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.DD.A4NS.01A.11R.A311.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZAB5.0426.SM.5CVMI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC	TCGA.BR.8365.01A.21R.2343.13	TCGA.BR.8364.01A.11R.2343.13
EPHB3	1030.12	432.53	432.53	769.69	116.78	116.78	88.88	267.73	53.95	27.84	6.84	42.71	3.92	17.9	0.22	0.0	10.63	0.93	61.25	5.19	5.82	0.21	1.53	54.33	1.71	3.82	6.67	3.89	5.15	8.51	12.09	183.82	400.71
FBLN1	10512.82	6037.61	6037.61	12329.98	8363.13	8363.13	2835.7	2163.77	693.58	100.83	264.03	2777.33	316.37	137.14	37.85	45.53	26.47	693.58	403.5	116.78	366.09	66.65	60.82	860.08	92.7	48.87	29.27	36.01	102.25	115.97	171.45	8538.88	11664.82
FMNL3	521.76	507.46	507.46	591.22	400.71	400.71	273.37	307.69	106.63	64.8	47.84	108.9	22.1	75.11	40.93	21.47	41.81	43.63	74.58	16.15	61.68	24.63	41.81	133.36	28.65	31.9	19.53	13.42	47.17	58.3	32.36	638.15	665.29
FOXC2	3.63	24.81	24.81	90.14	15.8	15.8	14.45	13.32	0.97	1.2	2.86	5.54	0.0	0.0	2.63	0.0	0.0	0.0	3.35	2.68	0.0	0.0	0.0	5.15	1.85	0.0	1.71	0.0	1.16	1.07	0.0	50.98	74.06
GATA2	336.79	76.71	76.71	119.26	68.55	68.55	75.11	105.89	22.92	23.08	32.13	40.93	30.78	10.96	6.78	52.45	13.72	32.59	17.38	12.55	16.75	15.68	13.22	70.01	6.78	5.32	6.06	10.79	42.11	17.64	8.51	228.13	197.09
GLT8D2	1286.18	733.19	733.19	1159.07	403.5	403.5	141.02	218.79	54.33	52.45	44.89	76.71	20.71	51.35	5.36	19.11	6.41	40.93	35.76	15.11	20.86	11.55	8.65	56.28	16.75	10.16	10.55	14.67	38.95	23.59	30.12	518.15	769.69
GPR124	1081.39	503.95	503.95	796.86	884.29	884.29	511.0	713.11	220.32	209.84	108.14	186.4	29.91	135.24	17.38	39.22	37.59	95.34	173.85	67.12	113.56	32.59	53.95	77.79	35.5	32.59	14.78	8.0	113.56	58.71	88.88	1167.14	1909.85
HP	59.13	134.3	134.3	5.87	119.26	119.26	211455.3	6183532.28	5972898.43	1.307221145E7	3.671840259E7	1.654623811E7	8744835.62	3.174442598E7	6719860.18	1.533154663E7	8990686.44	1.785716745E7	1.430483875E7	1.598261246E7	3.066309426E7	5022588.72	1.501602794E7	2186208.16	1.169995688E7	1.325469274E7	9307742.35	2.614442391E7	9179599.9	1.381756339E7	9838451.64	49.56	27.84
HS3ST1	43.94	33.78	33.78	102.25	9.41	9.41	112.77	229.72	29.06	63.45	29.27	32.59	2.56	11.64	1.97	4.86	1.69	3.11	29.06	25.54	14.14	3.76	14.78	70.01	8.06	2.94	1.79	7.88	3.86	2.66	4.03	183.82	181.28
HTR2B	156.59	100.83	100.83	87.03	23.42	23.42	119.26	269.6	95.34	67.12	15.56	62.12	10.39	42.41	0.87	15.22	10.71	45.53	66.65	63.45	22.75	12.74	12.93	75.11	18.56	5.23	11.55	120.94	22.75	85.82	30.12	371.22	265.87
ISLR	3540.14	5219.6	5219.6	9025.81	2645.74	2645.74	854.13	2796.65	607.87	748.61	85.22	830.75	94.67	343.89	3.63	13.93	17.0	255.0	444.72	122.64	121.79	22.59	82.29	87.65	110.43	133.36	56.28	164.42	115.16	204.07	149.12	3742.05	7911.95
ITGBL1	1127.35	1896.65	1896.65	2758.13	497.0	497.0	703.28	808.0	299.25	249.73	82.87	373.81	4.54	75.64	4.62	6.84	9.13	78.34	297.17	15.8	94.67	6.11	18.29	291.04	42.11	8.13	8.13	57.89	151.22	28.65	85.22	1159.07	941.27
JAG2	536.45	412.0	412.0	723.08	438.59	438.59	248.0	115.16	47.5	45.85	15.34	66.18	19.68	13.62	7.06	16.51	14.89	33.78	45.53	13.72	46.18	23.76	7.46	78.89	12.18	13.03	21.16	8.85	39.79	33.06	15.68	258.57	214.27
KRT19	8191.0	23330.64	23330.64	38164.99	17197.56	17197.56	2935.74	55877.28	21468.49	1127.35	120.94	780.44	35.76	173.85	15.22	72.52	88.88	373.81	3874.05	187.71	723.08	95.34	75.64	6745.86	18.97	28.45	3.29	33.78	118.43	59.97	25.72	4328.55	14361.31
LDOC1	1286.18	1388.16	1388.16	902.89	1540.37	1540.37	563.18	1662.49	358.54	201.25	64.34	1008.9	82.29	81.14	5.11	26.28	53.57	158.79	195.72	39.5	75.11	85.22	29.7	279.14	105.15	41.52	44.89	23.76	162.14	167.9	65.26	842.36	642.59
LEF1	1561.89	543.96	543.96	460.44	22.59	22.59	152.28	220.32	58.3	38.67	18.03	60.39	0.17	16.88	8.92	13.42	7.4	11.73	25.91	7.51	43.32	14.03	21.47	81.14	3.26	4.03	4.03	6.01	11.64	4.78	10.79	376.41	318.57
LHFP	1950.0	1001.93	1001.93	1277.29	2468.49	2468.49	1001.93	1066.48	289.02	194.36	191.67	480.04	56.28	176.29	47.84	71.0	50.27	154.42	201.25	104.42	229.72	55.49	148.09	307.69	131.51	74.06	75.64	54.33	183.82	150.17	154.42	1806.78	2163.77
LIMA1	2720.15	1127.35	1127.35	1617.0	2209.26	2209.26	679.29	665.29	303.44	323.03	244.57	358.54	131.51	220.32	172.65	104.42	156.59	246.28	373.81	346.29	182.55	234.57	139.07	532.74	264.03	158.79	166.73	279.14	329.84	221.86	251.48	1651.0	2255.7
LINGO1	346.29	153.34	153.34	536.45	289.02	289.02	69.52	136.19	56.68	17.77	15.56	108.14	17.0	24.99	0.93	3.32	9.56	19.82	41.52	20.26	22.43	9.2	4.54	87.03	4.98	1.87	1.5	0.39	22.43	34.02	10.79	155.5	102.97
LRRK1	178.77	162.14	162.14	256.78	126.12	126.12	72.01	212.78	71.0	62.12	30.56	57.49	20.26	50.63	11.21	14.67	30.34	47.17	46.84	23.59	67.59	9.06	31.0	55.1	15.56	10.55	10.39	5.15	41.52	31.0	21.94	384.34	447.82
MAML2	307.69	125.24	125.24	190.34	358.54	358.54	72.52	121.79	56.68	27.25	10.08	53.57	5.87	26.28	5.19	3.89	10.47	19.11	40.36	4.62	14.14	9.78	14.14	44.89	16.27	8.45	5.96	9.41	23.93	27.05	11.82	185.11	299.25
MARCKSL1	6652.97	6607.01	6607.01	4903.87	3491.39	3491.39	1963.57	6294.04	1870.53	1081.39	896.64	703.28	571.05	1697.45	579.04	587.13	591.22	698.41	890.44	651.58	961.07	466.88	616.37	1757.34	395.18	543.96	279.14	224.97	1037.29	1359.57	521.76	3146.52	2104.58
MARK1	128.79	48.18	48.18	40.64	208.38	208.38	22.43	31.45	23.59	6.73	2.23	14.35	2.63	1.14	0.16	4.35	0.04	2.2	7.57	0.57	4.58	7.0	5.15	10.55	10.24	0.18	2.16	4.28	5.02	5.15	0.02	140.04	96.01
MEIS1	291.04	187.71	187.71	143.01	144.01	144.01	182.55	122.64	70.51	63.89	59.13	98.73	30.12	43.02	26.28	24.63	46.84	34.75	42.41	40.93	50.27	33.3	40.36	75.64	58.71	31.0	50.27	18.56	37.85	50.27	30.34	1572.76	1369.04
MGP	93974.69	57847.82	57847.82	117311.73	126606.21	126606.21	8479.89	6516.03	1487.87	796.86	825.0	3820.7	738.29	172.65	260.38	214.27	293.07	1457.23	1350.18	287.01	981.29	373.81	129.69	3212.66	392.44	139.07	195.72	293.07	447.82	616.37	264.03	64632.75	63742.91
MOXD1	400.71	318.57	318.57	283.05	189.02	189.02	205.5	591.22	246.28	26.1	15.68	73.54	3.86	3.72	5.06	3.89	4.66	11.91	191.67	7.22	4.82	12.18	7.75	153.34	9.13	1.81	3.41	0.21	15.11	4.66	3.56	470.14	503.95
MRC2	3235.01	1781.89	1781.89	4543.8	1295.13	1295.13	642.59	1119.56	450.94	176.29	58.3	281.09	55.49	142.01	21.78	44.25	47.84	123.5	291.04	24.99	119.26	37.85	44.89	275.28	38.67	28.04	51.35	17.38	92.7	88.26	85.22	1044.52	2796.65
OBSCN	166.73	153.34	153.34	248.0	164.42	164.42	77.79	94.01	22.43	24.28	9.34	29.7	14.14	9.27	6.01	8.25	6.73	19.82	13.62	2.46	13.52	6.67	4.24	42.41	13.52	8.85	5.02	3.47	18.7	17.0	10.55	209.84	271.48
OXTR	134.3	23.59	23.59	45.53	854.13	854.13	23.25	74.06	37.32	5.45	0.0	0.0	5.54	1.91	0.0	0.15	5.15	5.73	3.56	0.16	1.14	4.98	0.0	7.75	5.02	0.16	1.36	0.0	0.0	4.54	1.97	49.56	24.11
PABPC5	37.32	18.56	18.56	25.91	21.63	21.63	9.48	11.91	2.84	1.68	1.77	3.72	0.0	1.16	2.18	0.04	0.85	1.75	3.32	1.62	1.93	1.03	0.02	5.82	1.03	0.05	0.45	0.62	2.2	6.41	4.58	42.11	46.84
PDGFB	470.14	291.04	291.04	591.22	389.72	389.72	332.14	327.56	84.04	59.55	41.81	111.99	41.52	62.12	18.84	70.51	70.01	40.07	79.45	52.08	83.45	27.05	48.52	172.65	21.47	27.05	35.0	20.56	139.07	53.95	33.06	291.04	241.19
PTRF	5219.6	3303.0	3303.0	8022.41	9740.98	9740.98	2367.9	1977.24	1806.78	723.08	403.5	1427.22	271.48	518.15	197.09	325.29	356.05	480.04	902.89	426.57	525.39	277.2	297.17	1225.22	264.03	229.72	182.55	228.13	808.0	379.04	293.07	7589.61	6164.49
SCN3B	34.02	7.4	7.4	25.91	26.86	26.86	9.78	13.32	0.88	1.16	3.32	2.56	0.0	1.22	0.54	0.55	0.89	0.61	0.52	0.05	1.35	1.08	0.48	4.98	0.54	0.05	0.46	0.09	0.04	0.48	0.0	55.89	37.32
SOGA1	327.56	206.94	206.94	223.41	297.17	297.17	68.07	90.77	38.95	20.11	16.27	34.26	8.85	15.45	1.79	10.08	18.03	16.88	31.22	8.92	21.32	11.82	8.06	42.41	8.06	10.96	3.29	3.66	13.52	15.0	8.78	547.75	441.64
SULT1C4	101.54	61.68	61.68	94.67	84.04	84.04	177.53	450.94	75.11	35.0	47.17	91.41	27.44	41.22	2.16	7.34	12.93	52.82	84.04	22.26	10.88	9.2	5.96	57.49	14.03	18.43	4.66	4.94	69.52	49.56	15.68	237.86	162.14
SYT11	241.19	190.34	190.34	187.71	165.57	165.57	108.9	89.51	39.79	24.81	30.78	55.89	8.85	15.56	6.57	11.38	9.56	40.36	23.76	11.47	24.28	9.13	13.22	82.87	13.32	8.78	8.32	4.1	14.35	15.34	23.42	620.67	532.74
SYT13	279.14	248.0	248.0	74.06	24.63	24.63	66.18	633.73	163.28	30.12	4.78	80.57	0.39	0.75	0.57	0.59	7.82	52.82	218.79	10.79	14.35	1.95	9.2	111.21	0.57	0.62	0.41	2.51	6.94	3.53	1.38	361.04	400.71
TBX1	107.38	454.09	454.09	87.03	121.79	121.79	50.98	31.22	6.46	2.68	1.66	23.93	5.41	0.27	1.48	1.85	1.2	6.57	0.79	4.54	3.96	1.81	2.34	23.59	2.89	1.19	3.29	0.0	6.11	6.41	1.19	55.49	19.25
TCEAL2	139.07	30.34	30.34	24.99	84.63	84.63	14.45	47.84	1.33	2.71	9.7	8.92	0.42	0.0	1.28	3.5	11.55	5.41	5.77	1.73	7.22	6.94	1.53	25.35	0.2	2.18	2.66	3.44	13.22	7.06	4.46	759.08	536.45
THY1	7130.55	5751.61	5751.61	10733.74	2417.67	2417.67	3280.18	954.43	281.09	209.84	126.12	202.66	57.89	37.85	71.5	68.07	41.22	63.89	244.57	25.17	120.1	57.89	34.02	486.75	44.89	25.35	94.01	29.91	148.09	47.5	98.04	4704.07	8840.04
TIMP2	12415.75	6294.04	6294.04	10659.59	9409.14	9409.14	3124.78	6699.25	2997.45	1427.22	974.5	2090.03	299.25	1561.89	212.78	368.65	329.84	1051.79	2224.63	444.72	842.36	303.44	1225.22	2609.3	718.08	314.17	209.84	361.04	1081.39	819.3	660.68	8598.28	9808.75
TMOD2	115.97	53.19	53.19	72.52	111.99	111.99	44.57	61.68	21.32	16.63	11.21	24.63	3.82	16.27	2.73	3.96	12.09	16.15	12.27	8.45	15.8	9.63	8.13	33.78	9.63	6.62	7.46	2.34	10.31	21.63	11.04	159.9	126.12
TRH	13.93	73.03	73.03	2.25	8.45	8.45	0.39	7.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.63	0.0	0.0	0.0	1.38	0.0	1.17	0.0	2.16	1.04
TSPAN15	1208.34	2701.35	2701.35	2485.67	1977.24	1977.24	607.87	1467.37	579.04	171.45	74.06	217.27	52.82	246.28	80.57	82.87	20.56	75.64	339.14	80.57	120.1	13.62	81.14	339.14	40.64	53.95	51.35	19.25	105.15	195.72	43.94	1617.0	1617.0
VASH1	271.48	248.0	248.0	371.22	218.79	218.79	214.27	339.14	133.36	72.52	59.97	130.6	33.78	60.39	17.77	48.18	71.0	59.97	44.89	34.75	122.64	87.65	49.56	170.25	26.1	31.9	44.57	6.57	132.44	109.66	67.12	293.07	289.02
WNT7B	113.56	84.04	84.04	262.2	68.07	68.07	45.21	59.13	25.72	8.45	0.0	2.48	1.87	1.13	0.97	0.99	3.0	15.11	10.0	0.0	13.42	0.96	0.01	38.95	5.59	0.0	0.0	0.13	0.0	5.11	8.13	19.82	47.84
ZFP28	95.34	65.26	65.26	94.01	127.89	127.89	26.86	68.55	17.64	23.93	12.64	33.54	1.64	4.03	8.78	2.39	8.0	8.06	13.72	15.34	15.56	9.2	2.41	35.5	24.63	2.84	1.11	1.35	7.28	10.63	20.41	111.99	70.51
ZNF154	52.08	25.91	25.91	47.5	51.71	51.71	43.63	66.65	20.11	14.45	11.47	19.53	12.45	4.94	3.35	8.99	1.87	13.93	19.25	2.73	8.78	2.94	4.74	12.45	10.24	4.17	1.75	2.76	9.06	8.65	4.5	60.39	122.64
ZNF486	180.02	139.07	139.07	77.79	177.53	177.53	24.11	72.01	21.47	7.75	4.54	18.03	5.15	8.25	0.0	1.53	3.11	5.63	8.06	2.32	6.36	0.85	2.73	10.0	2.23	6.26	0.0	0.46	6.16	12.93	1.68	56.68	75.64
