	TCGA.BQ.7058.01A.11R.1965.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.2Z.A9J7.01A.11R.A38C.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.CC.A7II.01A.11R.A33J.07	TCGA.DD.A39Y.01A.11R.A213.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XGQ4.0826.SM.4AT4T	GTEX.ZY6K.0326.SM.5SIBB	GTEX.13FTX.0326.SM.5J2NG	GTEX.T8EM.0326.SM.3DB7F	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.AJ.A3BK.01A.11R.A19W.07	TCGA.QF.A5YS.01A.11R.A31O.07	TCGA.D1.A2G0.01A.11R.A32Y.07	TCGA.EY.A548.01A.11R.A27V.07	TCGA.A5.A2K7.01A.11R.A180.07	TCGA.AX.A3G3.01A.11R.A213.07	TCGA.BK.A13B.01A.51R.A22K.07	TCGA.5S.A9Q8.01A.11R.A40A.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07
ARHGEF26	3.08	3.23	8.06	1.57	29.48	17.64	47.84	87.65	1369.04	836.53	2193.99	466.88	1159.07	1870.53	620.67	1001.93	1081.39	1127.35	521.76	1143.1	796.86	473.41	928.3	1340.84	1936.53	1167.14	2468.49	1457.23	514.56	1096.5	684.02	2739.08	447.82	341.51	753.83	1127.35	1159.07	878.17	1709.26	2895.31	1519.15	1313.23	74.06	17.38	27.05	39.79	12.09	33.54	18.56	69.52	37.32	19.25	14.56
ARMC9	147.06	87.65	161.02	172.65	329.84	220.32	141.02	61.25	1183.45	1685.71	599.49	323.03	769.69	1378.57	583.07	1008.9	703.28	1322.37	866.07	748.61	612.11	1242.34	1044.52	1015.93	1059.11	967.76	1286.18	2163.77	769.69	688.78	669.92	808.0	1594.73	1233.75	532.74	723.08	470.14	974.5	1628.26	733.19	1639.59	438.59	159.9	518.15	255.0	234.57	205.5	277.2	98.04	206.94	275.28	98.04	303.44
ASXL2	68.07	70.51	81.71	69.03	94.67	70.01	17.51	20.41	164.42	180.02	307.69	115.97	112.77	191.67	165.57	64.8	194.36	106.63	159.9	167.9	145.02	199.85	177.53	283.05	426.57	100.13	131.51	154.42	153.34	218.79	159.9	260.38	145.02	141.02	170.25	191.67	320.8	159.9	215.77	307.69	107.38	206.94	42.41	37.59	43.94	49.91	64.34	30.56	36.53	49.91	58.3	38.4	48.87
CAB39	329.84	397.93	414.87	693.58	647.07	500.46	303.44	281.09	1191.69	928.3	854.13	2255.7	796.86	872.1	708.18	872.1	796.86	1340.84	1551.09	1135.2	836.53	854.13	884.29	1340.84	2104.58	1096.5	607.87	1066.48	954.43	1259.69	878.17	1081.39	698.41	934.76	591.22	2061.24	1427.22	503.95	1540.37	1313.23	1059.11	1721.16	470.14	480.04	387.02	525.39	356.05	414.87	379.04	423.61	256.78	392.44	356.05
CAV1	176.29	122.64	591.22	172.65	954.43	435.55	229.72	48.87	26614.89	35363.15	33455.53	5517.27	24832.5	40062.48	14765.09	19618.49	24153.43	29124.6	6207.38	36864.92	39510.91	9606.86	14971.21	30785.28	70238.75	9409.14	24153.43	31650.8	14867.79	19618.49	22380.2	38966.94	28525.2	9673.69	21768.19	47974.16	32315.87	20170.07	38430.46	45072.75	16611.71	30999.42	339.14	167.9	175.07	854.13	221.86	173.85	733.19	217.27	336.79	123.5	493.56
CBL	49.56	40.64	29.7	36.79	44.57	34.26	52.45	17.9	157.68	90.77	141.02	87.65	81.14	173.85	106.63	49.21	187.71	113.56	99.43	99.43	158.79	119.26	123.5	125.24	215.77	109.66	74.58	206.94	170.25	153.34	108.14	165.57	87.03	183.82	111.99	108.14	267.73	178.77	169.07	178.77	80.01	199.85	31.67	28.86	35.5	46.5	38.12	37.85	102.97	46.84	63.89	24.81	32.36
CD97	785.88	1397.83	934.76	353.59	500.46	896.64	111.21	693.58	19618.49	3081.75	6381.92	3716.2	4937.99	7433.4	5913.33	2400.97	7433.4	1991.0	10014.87	4388.98	8901.53	9151.82	5441.3	7433.4	5441.3	2739.08	2061.24	2319.15	6337.83	15285.81	11424.74	5441.3	3325.99	4388.98	8305.36	1639.59	2835.7	7130.55	5292.48	3039.3	2303.12	12502.12	595.34	1104.13	1081.39	1015.93	669.92	473.41	1340.84	392.44	366.09	753.83	1572.76
CNKSR2	1.5	0.71	2.25	0.0	0.31	7.11	6.67	8.32	29.27	48.87	194.36	8.78	22.26	49.91	87.65	18.16	78.34	28.65	6.52	44.57	36.27	5.5	16.75	56.68	229.72	81.71	41.52	26.47	25.72	48.18	90.77	122.64	71.5	10.39	19.11	42.71	29.7	28.65	72.01	121.79	43.32	48.52	2.58	0.59	7.4	0.32	14.89	0.0	4.7	0.33	1.31	5.32	1.87
CNOT8	279.14	638.15	366.09	358.54	387.02	435.55	397.93	460.44	1437.15	2875.3	1721.16	5711.87	1437.15	1268.46	1407.55	2701.35	2335.28	2591.27	624.99	2915.45	1199.98	1697.45	2104.58	2895.31	3372.43	2915.45	1950.0	1001.93	1208.34	2255.7	1487.87	2645.74	2758.13	1119.56	1350.18	2434.5	2796.65	802.41	2271.4	2537.92	2915.45	1794.29	854.13	708.18	866.07	579.04	848.22	796.86	679.29	988.12	679.29	665.29	540.19
CPNE3	356.05	743.43	466.88	265.87	264.03	432.53	305.55	656.11	1508.65	1340.84	1781.89	693.58	915.51	1233.75	921.88	785.88	915.51	1233.75	775.05	1350.18	1119.56	1008.9	1096.5	1561.89	1857.6	733.19	974.5	934.76	872.1	1088.92	1191.69	1286.18	1350.18	848.22	1051.79	1963.57	1819.35	915.51	2004.85	1397.83	947.83	1096.5	483.38	273.37	283.05	470.14	426.57	305.55	312.0	414.87	348.71	325.29	258.57
DCUN1D3	112.77	72.01	54.72	80.01	104.42	50.27	42.71	21.63	356.05	119.26	397.93	400.71	186.4	175.07	166.73	121.79	137.14	260.38	403.5	149.12	151.22	190.34	197.09	158.79	420.68	486.75	166.73	177.53	244.57	246.28	318.57	129.69	178.77	173.85	186.4	212.78	236.21	507.46	212.78	183.82	273.37	173.85	42.11	40.07	82.87	78.34	43.02	53.95	142.01	132.44	164.42	59.55	25.54
DDX43	2.01	1.07	0.0	1.23	0.32	0.0	2.81	0.51	45.21	149.12	154.42	42.11	136.19	39.5	36.01	307.69	73.54	82.87	70.01	301.33	22.26	31.45	120.1	466.88	94.67	2.86	9.34	176.29	141.02	88.26	76.71	63.45	75.64	50.98	49.21	114.36	176.29	236.21	7.57	64.34	10.16	33.78	0.99	0.0	0.43	0.0	4.58	0.0	1.03	71.5	4.94	0.44	1.5
DKK2	2.48	0.71	0.0	0.31	0.92	0.0	3.08	2.41	167.9	291.04	260.38	52.82	115.16	438.59	88.88	78.89	275.28	180.02	171.45	148.09	215.77	432.53	136.19	178.77	100.13	117.6	132.44	77.25	473.41	486.75	110.43	371.22	121.79	166.73	444.72	87.03	180.02	127.89	351.14	473.41	23.59	236.21	5.41	4.46	1.17	1.81	15.91	0.89	9.63	1.57	29.27	1.22	3.03
DOPEY2	102.25	39.79	47.17	28.24	61.68	57.89	46.5	31.45	161.02	157.68	151.22	34.02	75.64	249.73	217.27	177.53	190.34	127.0	73.54	176.29	236.21	169.07	149.12	218.79	118.43	98.73	152.28	189.02	139.07	180.02	129.69	171.45	90.77	309.83	141.02	150.17	206.94	381.68	125.24	229.72	136.19	80.57	81.71	60.39	37.32	36.27	54.72	48.18	55.49	125.24	131.51	44.25	58.71
DPY19L1	108.14	164.42	314.17	113.56	189.02	90.14	137.14	90.77	1923.14	536.45	802.41	486.75	173.85	368.65	536.45	323.03	221.86	547.75	1088.92	543.96	334.46	1242.34	432.53	802.41	1111.82	457.25	211.31	283.05	651.58	896.64	665.29	323.03	307.69	384.34	656.11	1781.89	813.63	356.05	1551.09	559.28	543.96	2032.85	154.42	163.28	157.68	155.5	99.43	68.07	59.13	106.63	118.43	31.0	119.26
DRAM1	974.5	1447.15	591.22	660.68	1175.27	647.07	232.94	82.29	6983.79	6516.03	11827.67	9279.58	9808.75	9151.82	4903.87	3955.48	8778.97	5403.7	13123.73	8022.41	5329.3	6381.92	4607.24	11909.94	2591.27	5672.41	6561.36	17197.56	9808.75	5076.84	5594.3	6381.92	9945.68	6207.38	4210.15	6887.62	4419.52	11035.54	7382.04	6792.79	2502.97	4704.07	182.55	339.14	316.37	101.54	218.79	152.28	493.56	166.73	177.53	218.79	490.14
EIF4E3	287.01	277.2	211.31	166.73	249.73	226.54	19.97	10.96	400.71	525.39	595.34	497.0	429.54	457.25	327.56	197.09	518.15	358.54	181.28	295.11	246.28	323.03	376.41	567.1	947.83	256.78	275.28	392.44	429.54	476.71	260.38	656.11	379.04	167.9	248.0	543.96	665.29	314.17	497.0	665.29	293.07	738.29	336.79	156.59	107.38	115.16	158.79	90.77	66.18	43.94	61.25	89.51	155.5
ETV1	56.28	277.2	82.29	9.06	171.45	59.55	28.04	87.03	1936.53	2915.45	2935.74	733.19	435.55	941.27	2555.58	1008.9	1477.58	1304.15	110.43	2537.92	679.29	769.69	1769.57	1073.91	2520.38	1208.34	647.07	1883.54	476.71	1135.2	1183.45	2104.58	1081.39	1051.79	490.14	2287.2	2303.12	1322.37	1733.13	1437.15	1909.85	1733.13	31.67	24.46	76.17	8.25	53.95	9.85	31.0	50.63	214.27	6.73	28.04
EVI5	25.54	44.57	49.56	37.05	38.12	34.26	72.01	77.79	373.81	271.48	412.0	241.19	134.3	206.94	186.4	199.85	205.5	156.59	281.09	221.86	186.4	181.28	269.6	457.25	529.06	177.53	134.3	163.28	195.72	271.48	285.03	334.46	109.66	124.37	158.79	320.8	285.03	193.01	406.31	341.51	152.28	363.56	56.68	24.63	60.82	57.49	57.49	38.12	31.45	81.71	42.11	22.26	39.22
FLRT3	121.79	775.05	1709.26	995.0	1051.79	220.32	6.89	37.59	4450.27	769.69	3190.46	1896.65	1936.53	6699.25	3081.75	1225.22	1388.16	6426.31	1313.23	4607.24	555.41	2956.17	603.67	3235.01	7081.29	1529.73	2193.99	825.0	2434.5	1909.85	1721.16	3614.55	3982.99	1199.98	1350.18	1806.78	1757.34	3665.02	2287.2	6887.62	9673.69	1870.53	18.29	5.41	26.67	35.5	1.97	5.02	12.09	22.59	44.25	1.97	18.43
GNAQ	358.54	281.09	397.93	224.97	423.61	341.51	185.11	99.43	1397.83	1233.75	1388.16	1950.0	808.0	902.89	583.07	825.0	921.88	1104.13	921.88	1295.13	796.86	733.19	928.3	1508.65	2485.67	1457.23	802.41	1369.04	947.83	1277.29	791.35	1295.13	603.67	599.49	511.0	2061.24	1487.87	493.56	1674.06	1572.76	1617.0	974.5	201.25	208.38	267.73	214.27	221.86	336.79	669.92	353.59	303.44	132.44	163.28
GPC5	1.43	2.03	0.59	0.27	0.0	0.0	1.39	12.09	66.65	15.68	277.2	39.22	30.56	131.51	96.68	28.65	73.03	34.51	41.52	62.12	34.26	148.09	42.71	26.47	96.68	12.36	72.01	75.64	60.39	31.22	31.67	100.13	69.52	18.84	59.97	170.25	26.28	120.94	32.82	44.89	31.0	69.03	0.0	0.0	1.58	0.0	0.33	1.03	1.33	0.3	0.65	0.56	1.53
GPR116	67.59	29.48	31.0	48.87	22.26	19.11	67.12	19.25	16496.96	15499.21	19618.49	8479.89	3515.68	5751.61	4543.8	19348.38	7230.1	8247.98	3491.39	15180.22	5292.48	3280.18	12160.22	19892.37	38966.94	8840.04	6207.38	7589.61	4239.45	8658.09	12244.81	11745.96	5791.62	1225.22	4543.8	13306.94	19482.97	4181.07	14663.09	12943.04	11909.94	14663.09	186.4	24.11	18.84	25.54	45.53	39.5	59.13	84.04	69.52	30.78	20.86
HIGD1B	98.04	33.78	23.42	13.32	13.42	19.25	237.86	59.97	808.0	1936.53	1359.57	327.56	2367.9	1111.82	1540.37	2417.67	1369.04	1639.59	54.72	1721.16	1991.0	348.71	1340.84	1313.23	555.41	1183.45	1417.35	1378.57	1769.57	1104.13	669.92	1628.26	1457.23	325.29	802.41	480.04	1733.13	1143.1	1529.73	2645.74	217.27	688.78	60.82	50.63	22.92	17.77	39.79	37.59	35.5	202.66	150.17	19.11	25.35
HIP1	166.73	83.45	361.04	126.12	244.57	76.71	50.98	42.71	567.1	1322.37	2119.22	120.1	679.29	612.11	723.08	260.38	764.36	279.14	536.45	429.54	599.49	303.44	674.59	1208.34	947.83	796.86	264.03	307.69	555.41	941.27	825.0	1225.22	314.17	277.2	769.69	336.79	693.58	775.05	1183.45	1143.1	291.04	1757.34	141.02	187.71	194.36	104.42	295.11	162.14	332.14	264.03	283.05	171.45	145.02
IGF2R	620.67	1183.45	303.44	679.29	269.6	693.58	297.17	503.95	1059.11	1378.57	1583.71	1199.98	669.92	1359.57	1378.57	532.74	1369.04	909.17	825.0	1225.22	836.53	1127.35	2018.8	1697.45	1304.15	802.41	1225.22	1651.0	1066.48	1313.23	1023.0	1651.0	1388.16	1359.57	1104.13	1143.1	1617.0	1832.01	1388.16	1304.15	1044.52	1331.57	371.22	417.77	175.07	358.54	713.11	327.56	343.89	532.74	490.14	269.6	356.05
IL13RA1	256.78	242.88	669.92	529.06	525.39	417.77	540.19	460.44	1936.53	1617.0	1417.35	2193.99	860.08	1417.35	1477.58	1159.07	928.3	2047.0	1216.75	2163.77	1331.57	1233.75	2090.03	2468.49	2609.3	1721.16	665.29	1030.12	2485.67	1950.0	1498.22	2075.59	633.73	1286.18	1250.98	1870.53	1870.53	551.56	1909.85	2240.11	1457.23	2400.97	483.38	543.96	547.75	214.27	551.56	514.56	934.76	769.69	420.68	555.41	336.79
INHBA	10.96	1.41	2.56	3.03	3.96	9.63	13.83	30.78	224.97	316.37	514.56	139.07	102.97	902.89	133.36	221.86	226.54	82.87	1617.0	186.4	176.29	152.28	241.19	232.94	92.7	215.77	325.29	1183.45	281.09	53.57	95.34	201.25	269.6	48.52	101.54	66.65	151.22	941.27	450.94	318.57	473.41	109.66	13.83	11.47	5.45	4.62	6.11	82.29	30.78	37.32	74.58	6.52	23.42
JAK2	44.89	31.67	40.07	32.13	46.84	22.1	51.35	14.89	215.77	133.36	395.18	121.79	217.27	175.07	195.72	181.28	211.31	205.5	70.01	232.94	167.9	88.26	166.73	251.48	301.33	126.12	163.28	201.25	177.53	226.54	163.28	241.19	193.01	102.25	181.28	182.55	406.31	193.01	325.29	500.46	164.42	129.69	37.05	43.94	76.17	21.16	52.45	28.86	48.52	72.52	75.11	63.89	98.04
KIDINS220	262.2	153.34	162.14	248.0	271.48	114.36	74.06	82.87	921.88	563.18	1369.04	738.29	460.44	791.35	684.02	417.77	629.35	669.92	444.72	974.5	713.11	429.54	708.18	896.64	1304.15	612.11	703.28	921.88	624.99	909.17	1051.79	819.3	1073.91	400.71	540.19	813.63	1151.06	638.15	1073.91	1111.82	866.07	1001.93	167.9	182.55	185.11	130.6	262.2	172.65	153.34	209.84	197.09	139.07	59.55
KIF13A	137.14	223.41	173.85	169.07	224.97	221.86	149.12	223.41	759.08	1096.5	830.75	1127.35	743.43	693.58	791.35	579.04	723.08	438.59	348.71	764.36	830.75	329.84	860.08	764.36	1030.12	748.61	587.13	684.02	567.1	571.05	802.41	842.36	698.41	363.56	567.1	1081.39	728.11	808.0	860.08	1388.16	514.56	954.43	395.18	205.5	190.34	199.85	209.84	151.22	358.54	170.25	258.57	231.32	277.2
KIF5B	441.64	480.04	432.53	403.5	483.38	295.11	392.44	248.0	1286.18	1127.35	1447.15	1175.27	1081.39	1378.57	934.76	1001.93	941.27	1208.34	1044.52	1159.07	1159.07	1081.39	1242.34	1572.76	2335.28	1199.98	961.07	1044.52	1286.18	1605.83	1119.56	1447.15	1023.0	836.53	967.76	1781.89	1397.83	947.83	1870.53	1781.89	1277.29	1551.09	441.64	447.82	297.17	281.09	802.41	423.61	429.54	941.27	620.67	346.29	409.15
KPNA6	237.86	164.42	194.36	214.27	299.25	127.89	291.04	241.19	444.72	312.0	400.71	708.18	312.0	320.8	289.02	214.27	420.68	356.05	490.14	368.65	343.89	346.29	358.54	397.93	348.71	547.75	301.33	540.19	356.05	356.05	403.5	329.84	314.17	289.02	348.71	403.5	473.41	348.71	540.19	361.04	447.82	583.07	283.05	202.66	198.47	285.03	223.41	283.05	334.46	285.03	171.45	255.0	281.09
LIMCH1	189.02	32.59	113.56	69.52	244.57	102.97	40.64	50.98	5995.9	8479.89	17927.91	6207.38	2555.58	3955.48	3168.41	1745.2	5479.15	2075.59	703.28	5255.91	4010.71	514.56	5672.41	8718.32	12589.08	3742.05	3039.3	4639.29	2240.11	7695.57	4543.8	9151.82	3901.01	896.64	2468.49	3212.66	4239.45	1605.83	7180.15	6037.61	2451.44	7032.37	212.78	79.45	81.14	42.71	72.01	143.01	143.01	237.86	66.65	85.82	78.89
LIPH	2.48	6.26	29.27	65.72	182.55	44.89	3.17	29.91	1250.98	1551.09	1583.71	981.29	1572.76	1498.22	1397.83	1295.13	2163.77	1073.91	866.07	1685.71	1073.91	748.61	796.86	1242.34	1175.27	679.29	1529.73	2796.65	802.41	819.3	941.27	1794.29	915.51	1001.93	1477.58	1963.57	1427.22	2119.22	1437.15	1259.69	1268.46	1073.91	2.78	2.63	4.82	1.79	1.6	4.1	5.68	12.45	11.3	5.54	3.56
MAP2	54.33	444.72	96.01	32.59	28.04	285.03	100.13	214.27	738.29	587.13	961.07	169.07	525.39	607.87	258.57	420.68	669.92	206.94	140.04	842.36	97.36	314.17	379.04	866.07	1551.09	1096.5	190.34	521.76	82.87	941.27	759.08	1369.04	144.01	129.69	607.87	547.75	819.3	215.77	1304.15	624.99	231.32	2004.85	59.13	47.84	58.71	1.07	90.77	258.57	25.91	40.93	22.59	29.91	45.85
MAPK13	13.32	18.03	429.54	371.22	363.56	312.0	633.73	376.41	2018.8	1685.71	1304.15	563.18	909.17	1159.07	1572.76	1135.2	1331.57	1127.35	1242.34	1508.65	1407.55	1572.76	1447.15	1242.34	1037.29	1191.69	1322.37	1733.13	1216.75	967.76	1191.69	1127.35	1216.75	1721.16	1286.18	1457.23	866.07	1437.15	1331.57	842.36	1350.18	2075.59	529.06	698.41	409.15	223.41	656.11	728.11	954.43	819.3	620.67	532.74	547.75
MAPK9	265.87	473.41	366.09	249.73	223.41	376.41	432.53	329.84	674.59	902.89	599.49	579.04	624.99	825.0	575.03	651.58	638.15	563.18	470.14	642.59	379.04	866.07	759.08	1001.93	1268.46	457.25	381.68	764.36	647.07	1008.9	480.04	713.11	447.82	444.72	583.07	1295.13	1191.69	438.59	753.83	1023.0	540.19	567.1	551.56	176.29	297.17	229.72	301.33	262.2	241.19	599.49	187.71	223.41	129.69
MARVELD2	54.33	60.82	148.09	178.77	173.85	127.89	81.14	260.38	283.05	312.0	529.06	150.17	441.64	624.99	301.33	295.11	320.8	476.71	206.94	525.39	363.56	400.71	269.6	599.49	457.25	175.07	432.53	336.79	301.33	305.55	293.07	555.41	336.79	281.09	353.59	178.77	525.39	426.57	412.0	500.46	275.28	287.01	295.11	93.35	118.43	120.94	209.84	148.09	92.7	151.22	141.02	73.03	29.91
