	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.D8.A1JI.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0BT.11A.21R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.1269C.2426.SM.5FQSN	GTEX.Q2AG.0326.SM.48U1O	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.38.4625.01A.01R.1206.07
KLHL24	43.94	151.22	297.17	239.52	848.22	232.94	248.0	128.79	320.8	316.37	262.2	135.24	808.0	435.55	395.18	708.18	1023.0	583.07	521.76	521.76	620.67	273.37	785.88	0.0
KLRC4-KLRK1	0.92	2.68	2.66	4.5	32.36	17.25	4.74	4.39	5.06	0.0	0.0	7.57	136.19	31.0	21.01	41.81	35.5	45.85	19.25	7.11	71.5	2.66	24.63	0.0
LACC1	26.67	55.89	66.65	76.17	134.3	81.71	45.53	10.55	105.89	72.52	69.52	57.08	178.77	120.94	86.43	148.09	201.25	153.34	91.41	111.99	108.14	59.97	234.57	0.0
LIMS1	273.37	336.79	312.0	713.11	961.07	738.29	780.44	170.25	429.54	483.38	612.11	260.38	796.86	791.35	503.95	633.73	961.07	651.58	1277.29	1295.13	1135.2	518.15	1769.57	480.04
LRCH3	144.01	201.25	348.71	260.38	532.74	426.57	392.44	142.01	329.84	299.25	301.33	154.42	660.68	441.64	406.31	791.35	507.46	514.56	480.04	642.59	651.58	253.23	514.56	0.0
LSM14A	1030.12	1844.76	1159.07	2468.49	2976.74	2075.59	2133.97	1081.39	1477.58	2178.83	1508.65	1467.37	2255.7	2240.11	1733.13	1639.59	2758.13	2335.28	1806.78	2018.8	1651.0	1685.71	1819.35	1378.57
MAP4K5	187.71	255.0	316.37	438.59	808.0	540.19	356.05	175.07	267.73	507.46	371.22	244.57	1167.14	733.19	587.13	819.3	802.41	651.58	718.08	753.83	674.59	361.04	909.17	0.0
MBP	50.98	108.14	34.51	285.03	529.06	214.27	251.48	23.42	180.02	346.29	262.2	120.94	563.18	674.59	406.31	540.19	688.78	503.95	476.71	423.61	397.93	325.29	368.65	0.0
MGP	275175.93	998912.34	54727.32	1139523.1	659036.03	736332.6	577714.63	197294.7	1196176.45	623486.02	459592.86	687022.54	110983.6	462789.59	800198.39	358098.26	598087.73	585779.24	1524599.69	496005.67	338781.54	1308968.45	614902.29	3419.52
MOGAT1	0.0	0.0	0.0	0.0	4.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	1.04	0.65	3.03	4.06	1.79	3.79	0.0	2.23	0.0	0.0	0.0
MRAS	94.67	54.33	59.13	208.38	1745.2	299.25	106.63	22.26	134.3	915.51	68.07	17.77	909.17	1286.18	579.04	974.5	1159.07	665.29	1001.93	1605.83	759.08	902.89	928.3	164.42
MSL3	244.57	281.09	201.25	368.65	1081.39	389.72	242.88	249.73	346.29	473.41	339.14	115.97	775.05	688.78	603.67	656.11	708.18	543.96	1119.56	693.58	733.19	389.72	660.68	0.0
MTMR12	185.11	316.37	480.04	647.07	1111.82	603.67	743.43	283.05	389.72	559.28	414.87	351.14	1143.1	941.27	642.59	967.76	764.36	674.59	1674.06	591.22	1119.56	559.28	825.0	0.0
NALCN	3.29	3.66	1.77	10.55	242.88	7.0	0.0	0.56	4.43	41.22	2.46	1.55	193.01	51.35	43.32	120.94	91.41	63.0	60.82	132.44	79.45	29.91	68.55	0.0
NBPF14	72.52	139.07	88.88	102.25	361.04	473.41	201.25	165.57	134.3	281.09	356.05	111.99	571.05	435.55	281.09	226.54	587.13	547.75	708.18	647.07	785.88	373.81	96.01	0.0
NPFFR1	0.0	0.0	0.0	0.35	7.11	0.34	0.0	0.0	0.0	3.29	0.0	0.31	2.53	1.73	1.01	3.72	4.62	0.83	1.36	2.43	2.89	0.8	1.53	0.0
NT5C2	450.94	518.15	307.69	616.37	1242.34	713.11	591.22	305.55	1135.2	1111.82	633.73	379.04	2303.12	1250.98	1127.35	2119.22	1883.54	1378.57	1286.18	1857.6	1331.57	848.22	1697.45	3039.3
PACS1	599.49	511.0	830.75	728.11	1151.06	854.13	563.18	607.87	1023.0	934.76	954.43	536.45	1295.13	1001.93	988.12	1417.35	1487.87	1457.23	1369.04	1844.76	1572.76	551.56	1340.84	571.05
PARP2	454.09	397.93	397.93	212.78	555.41	579.04	400.71	555.41	400.71	466.88	297.17	343.89	796.86	612.11	511.0	775.05	785.88	607.87	961.07	563.18	854.13	525.39	713.11	0.0
PIK3CA	96.68	193.01	264.03	329.84	647.07	334.46	231.32	62.12	255.0	314.17	242.88	115.16	738.29	551.56	361.04	412.0	854.13	358.54	305.55	403.5	403.5	242.88	647.07	159.9
PIP5K1A	616.37	607.87	961.07	941.27	1745.2	1135.2	941.27	748.61	1175.27	723.08	842.36	902.89	1151.06	1073.91	860.08	995.0	1242.34	813.63	1268.46	961.07	1417.35	486.75	796.86	743.43
PITPNB	414.87	660.68	665.29	764.36	1104.13	813.63	435.55	543.96	559.28	921.88	665.29	607.87	1397.83	1001.93	902.89	921.88	947.83	808.0	733.19	872.1	941.27	785.88	1111.82	0.0
PMS2	139.07	140.04	217.27	220.32	642.59	229.72	175.07	113.56	229.72	231.32	201.25	175.07	341.51	248.0	232.94	490.14	426.57	314.17	373.81	244.57	246.28	167.9	318.57	0.0
PNMAL1	211.31	65.72	6.11	68.07	780.44	249.73	0.97	71.5	329.84	267.73	9.41	119.26	400.71	334.46	444.72	406.31	547.75	361.04	217.27	500.46	206.94	129.69	599.49	0.0
PRKAR1B	166.73	190.34	127.89	246.28	1008.9	237.86	193.01	189.02	237.86	429.54	126.12	148.09	223.41	503.95	444.72	743.43	563.18	836.53	454.09	603.67	785.88	241.19	486.75	0.0
PRKCI	162.14	309.83	457.25	392.44	595.34	532.74	361.04	232.94	423.61	518.15	387.02	753.83	860.08	518.15	532.74	647.07	669.92	476.71	753.83	579.04	629.35	301.33	743.43	283.05
PRKX	46.5	46.84	39.79	88.88	435.55	138.1	76.17	21.16	177.53	323.03	29.91	20.71	420.68	323.03	185.11	351.14	656.11	106.63	124.37	395.18	500.46	62.12	223.41	341.51
PTPN11	231.32	647.07	651.58	698.41	1073.91	890.44	536.45	314.17	825.0	728.11	575.03	343.89	1268.46	1151.06	796.86	728.11	1096.5	830.75	1111.82	1015.93	785.88	1119.56	947.83	728.11
PTPN22	13.83	13.72	17.77	21.16	131.51	47.5	22.92	6.62	6.62	68.55	8.65	7.69	111.21	72.01	32.13	107.38	164.42	80.01	71.5	81.14	130.6	22.92	101.54	0.0
RAB12	218.79	928.3	599.49	660.68	1388.16	974.5	529.06	571.05	341.51	693.58	587.13	426.57	1044.52	890.44	808.0	1081.39	1685.71	802.41	1259.69	1001.93	1183.45	624.99	1388.16	603.67
RAB7L1	80.01	114.36	158.79	202.66	624.99	287.01	84.04	39.22	500.46	435.55	161.02	30.34	536.45	397.93	301.33	363.56	555.41	309.83	195.72	409.15	368.65	253.23	426.57	379.04
RALBP1	514.56	1096.5	708.18	1015.93	1378.57	1104.13	909.17	624.99	497.0	1015.93	954.43	693.58	1051.79	1151.06	954.43	1159.07	1259.69	1030.12	679.29	748.61	791.35	785.88	1857.6	0.0
RBM15	43.02	58.71	54.72	62.12	159.9	68.55	108.14	36.01	65.72	74.58	47.84	48.18	128.79	105.89	85.82	120.94	127.0	108.9	127.0	120.94	122.64	28.24	119.26	0.0
RC3H2	121.79	264.03	244.57	267.73	490.14	291.04	339.14	82.87	285.03	253.23	197.09	106.63	532.74	361.04	295.11	346.29	490.14	287.01	483.38	341.51	368.65	236.21	507.46	0.0
RFK	117.6	353.59	251.48	258.57	476.71	285.03	356.05	211.31	215.77	281.09	379.04	361.04	490.14	303.44	447.82	376.41	532.74	348.71	406.31	376.41	444.72	486.75	417.77	0.0
RNF138	146.03	287.01	361.04	325.29	733.19	454.09	339.14	232.94	136.19	327.56	417.77	170.25	974.5	529.06	447.82	555.41	567.1	497.0	435.55	507.46	571.05	463.65	698.41	0.0
RNF150	2.94	17.51	9.13	24.81	231.32	37.32	1.91	0.3	12.83	102.97	10.96	2.43	244.57	152.28	141.02	291.04	316.37	228.13	283.05	241.19	181.28	44.25	156.59	0.0
RRAS2	215.77	353.59	260.38	316.37	713.11	122.64	244.57	20.11	470.14	575.03	107.38	217.27	872.1	669.92	555.41	693.58	748.61	536.45	647.07	343.89	551.56	713.11	579.04	0.0
RUFY1	642.59	713.11	703.28	1037.29	1745.2	1233.75	1044.52	808.0	1037.29	1119.56	848.22	1225.22	884.29	836.53	1023.0	1199.98	1936.53	1617.0	1199.98	1119.56	1447.15	587.13	1111.82	0.0
SAV1	244.57	395.18	713.11	511.0	1697.45	866.07	540.19	713.11	551.56	896.64	603.67	376.41	2163.77	1242.34	1233.75	1844.76	1883.54	1268.46	1857.6	1001.93	1674.06	1250.98	1781.89	0.0
SCLT1	49.56	62.12	64.8	113.56	191.67	105.89	80.01	49.56	85.82	100.13	77.25	80.57	177.53	130.6	91.41	158.79	159.9	126.12	105.15	146.03	144.01	91.41	205.5	0.0
SENP5	142.01	150.17	206.94	273.37	587.13	226.54	150.17	90.77	249.73	244.57	136.19	82.87	303.44	267.73	248.0	277.2	480.04	303.44	339.14	320.8	314.17	105.15	220.32	218.79
SETD5	351.14	397.93	813.63	878.17	1769.57	1051.79	1322.37	395.18	830.75	878.17	733.19	301.33	1572.76	1233.75	961.07	1277.29	1857.6	1066.48	1407.55	1508.65	1561.89	397.93	1119.56	624.99
SGTB	43.32	19.68	65.72	71.0	86.43	44.25	40.36	7.4	47.84	29.06	33.3	13.83	126.12	111.99	47.17	87.03	76.17	87.65	62.56	70.51	87.03	67.59	120.94	0.0
SLC2A9	32.59	50.98	20.56	44.57	507.46	152.28	149.12	84.63	81.71	289.02	84.63	186.4	463.65	316.37	237.86	201.25	295.11	249.73	201.25	224.97	189.02	305.55	264.03	0.0
SMCHD1	55.89	229.72	144.01	341.51	896.64	376.41	387.02	79.45	158.79	341.51	273.37	162.14	860.08	463.65	312.0	629.35	679.29	400.71	642.59	665.29	507.46	166.73	708.18	0.0
SOS1	47.84	166.73	148.09	248.0	480.04	316.37	251.48	45.85	249.73	339.14	231.32	92.7	872.1	438.59	339.14	579.04	591.22	665.29	450.94	921.88	698.41	119.26	463.65	114.36
SPATS2L	547.75	366.09	191.67	928.3	2319.15	753.83	343.89	366.09	728.11	967.76	563.18	595.34	1151.06	1073.91	825.0	1225.22	842.36	1781.89	848.22	1250.98	1037.29	532.74	1519.15	0.0
SRSF12	1.57	1.75	0.35	4.58	129.69	3.14	1.66	0.89	13.93	16.51	2.23	1.3	31.67	36.01	15.22	63.89	68.55	60.82	53.19	28.24	20.71	1.93	49.56	0.0
STAT5A	150.17	256.78	236.21	279.14	1950.0	387.02	157.68	384.34	211.31	878.17	323.03	341.51	1199.98	1015.93	679.29	819.3	1551.09	813.63	878.17	825.0	896.64	728.11	921.88	299.25
STK38	281.09	346.29	423.61	547.75	813.63	483.38	255.0	277.2	674.59	571.05	450.94	153.34	723.08	708.18	595.34	769.69	1183.45	708.18	392.44	1286.18	819.3	299.25	426.57	447.82
TAF4B	4.17	19.68	13.42	24.99	85.82	27.44	13.72	1.27	29.27	57.89	6.78	4.9	262.2	115.97	74.06	167.9	85.22	76.71	72.52	83.45	71.0	50.63	180.02	0.0
TANGO6	187.71	37.05	92.05	76.71	173.85	75.64	68.07	43.94	147.06	84.04	52.82	137.14	214.27	131.51	120.94	126.12	171.45	106.63	117.6	198.47	110.43	87.65	221.86	0.0
TBC1D22B	220.32	147.06	271.48	189.02	320.8	255.0	199.85	144.01	122.64	215.77	149.12	198.47	223.41	253.23	224.97	237.86	291.04	208.38	336.79	314.17	341.51	164.42	201.25	0.0
TCP11L1	58.71	60.39	98.04	87.03	183.82	116.78	116.78	31.45	133.36	104.42	92.05	62.56	186.4	171.45	133.36	150.17	241.19	119.26	135.24	152.28	127.0	131.51	169.07	0.0
TFDP2	305.55	361.04	417.77	514.56	902.89	444.72	327.56	395.18	629.35	435.55	426.57	251.48	909.17	579.04	540.19	629.35	1199.98	703.28	684.02	607.87	525.39	493.56	669.92	0.0
THOC1	406.31	447.82	620.67	336.79	995.0	723.08	476.71	507.46	299.25	656.11	417.77	318.57	1059.11	660.68	684.02	1030.12	796.86	854.13	733.19	684.02	1015.93	318.57	718.08	0.0
TIAL1	1407.55	1277.29	830.75	1008.9	1467.37	1529.73	1304.15	1135.2	1135.2	1216.75	1369.04	1059.11	2417.67	1561.89	1457.23	1963.57	1594.73	1883.54	1388.16	1605.83	2148.82	1044.52	1583.71	0.0
TLN2	38.4	81.71	44.25	65.72	718.08	199.85	49.21	45.85	11.73	119.26	76.17	78.89	271.48	239.52	164.42	223.41	220.32	234.57	167.9	146.03	279.14	267.73	217.27	0.0
TMOD2	8.38	13.32	21.01	37.59	211.31	66.65	89.51	6.01	57.89	93.35	37.32	46.5	236.21	154.42	117.6	169.07	260.38	170.25	128.79	136.19	124.37	37.85	176.29	0.0
TNFAIP8	187.71	144.01	78.34	241.19	441.64	295.11	105.89	40.07	90.77	232.94	178.77	53.57	579.04	314.17	297.17	351.14	698.41	460.44	400.71	532.74	318.57	289.02	529.06	0.0
TNFRSF21	285.03	58.71	293.07	297.17	1977.24	297.17	177.53	31.45	186.4	435.55	94.67	314.17	1073.91	543.96	368.65	579.04	563.18	1437.15	194.36	1388.16	890.44	177.53	2133.97	808.0
TRIM22	202.66	341.51	258.57	967.76	2701.35	733.19	616.37	118.43	718.08	1340.84	212.78	470.14	1286.18	1487.87	1023.0	2104.58	4010.71	2119.22	2090.03	2178.83	1427.22	830.75	2701.35	0.0
TSPAN2	46.18	40.64	18.97	106.63	547.75	148.09	36.01	2.89	22.43	132.44	31.67	37.85	242.88	255.0	214.27	185.11	444.72	214.27	579.04	583.07	438.59	295.11	106.63	0.0
TULP4	105.89	112.77	96.01	100.13	334.46	211.31	237.86	64.34	115.97	170.25	176.29	127.0	122.64	130.6	136.19	175.07	255.0	249.73	135.24	162.14	262.2	54.72	171.45	37.85
UNC13D	791.35	91.41	43.63	86.43	728.11	80.01	88.26	18.56	21.63	187.71	15.56	20.56	96.01	241.19	185.11	323.03	198.47	218.79	301.33	214.27	232.94	86.43	241.19	0.0
USP12	131.51	253.23	194.36	281.09	536.45	389.72	406.31	117.6	291.04	287.01	312.0	206.94	587.13	409.15	341.51	423.61	624.99	381.68	368.65	490.14	547.75	299.25	532.74	0.0
WDR64	0.57	0.31	0.27	0.0	4.17	0.65	1.53	1.06	0.61	0.0	0.0	0.89	1.45	3.79	0.0	6.67	8.92	1.81	3.26	1.38	6.06	0.0	4.06	0.0
WTAP	1519.15	1340.84	748.61	1059.11	2816.11	1617.0	1268.46	1183.45	1081.39	1639.59	1295.13	1167.14	2451.44	1936.53	1909.85	1819.35	1617.0	1519.15	1685.71	1697.45	1806.78	2090.03	2609.3	1407.55
ZBTB8B	0.29	0.32	0.0	0.0	6.21	0.33	0.0	0.0	0.0	1.31	0.0	0.0	2.53	3.76	1.01	1.66	0.99	2.48	0.39	0.0	1.0	0.4	1.77	0.0
ZC3H12C	3.11	9.41	7.46	13.52	75.64	21.16	17.38	1.75	55.1	31.0	9.34	6.26	129.69	92.7	54.33	63.0	71.5	59.55	55.89	51.35	40.64	24.63	55.1	0.0
ZNF267	99.43	234.57	105.15	198.47	241.19	189.02	77.79	58.71	226.54	170.25	109.66	113.56	371.22	287.01	237.86	177.53	329.84	195.72	211.31	237.86	223.41	134.3	293.07	0.0
ZNF454	3.14	6.84	3.11	7.46	87.03	13.03	3.99	0.93	1.39	37.05	6.01	4.17	52.82	29.27	20.26	63.89	33.78	28.86	23.08	53.95	22.26	3.66	83.45	0.0
ZNF644	242.88	536.45	353.59	518.15	723.08	518.15	387.02	269.6	212.78	547.75	341.51	301.33	1397.83	674.59	708.18	934.76	785.88	703.28	743.43	612.11	854.13	587.13	825.0	0.0
