	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.S341.1326.SM.4AD72	GTEX.ZT9W.1226.SM.57WE4	GTEX.XUW1.1526.SM.4BOOY	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.55.8621.01A.11R.2403.07	GTEX.YF7O.0626.SM.4W21R	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.11P7K.0326.SM.59871	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WWYW.0926.SM.3NB2Z	GTEX.YEC3.0226.SM.5IFJO	GTEX.13N2G.0826.SM.5IJE6	GTEX.ZPU1.0926.SM.57WDO	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.WYVS.0526.SM.3NM9W	TCGA.98.A53H.01A.12R.A262.07
EFCAB1	1.64	5831.91	4.9	6.52	0.0	0.0	547.75	31.22	23.59	371.22	1397.83	177.53	1037.29	2451.44	29.06	1242.34	2758.13	1757.34	4450.27	88.88	27.05	432.53	59.13	279.14	1561.89	1697.45
EFCAB10	3.08	909.17	8.51	5.19	0.0	0.0	147.06	19.97	19.97	116.78	218.79	41.52	267.73	551.56	20.41	277.2	403.5	339.14	1427.22	16.75	18.03	115.97	30.12	68.07	536.45	529.06
FBXO15	9.27	1529.73	2.92	8.51	0.0	0.0	148.09	37.85	21.78	89.51	217.27	46.18	132.44	575.03	10.71	185.11	256.78	307.69	713.11	38.4	19.82	76.71	38.67	71.0	190.34	334.46
FBXW9	103.69	921.88	78.34	108.9	0.0	0.0	248.0	151.22	148.09	175.07	226.54	172.65	231.32	616.37	143.01	202.66	318.57	339.14	507.46	154.42	151.22	202.66	165.57	166.73	297.17	503.95
FOXA3	0.42	842.36	3.79	0.0	0.0	0.01	33.54	6.21	4.7	24.63	47.5	26.67	15.68	620.67	8.99	65.26	36.01	414.87	197.09	54.33	12.64	27.84	198.47	42.71	121.79	62.12
GOLM1	217.27	6079.61	220.32	234.57	0.0	0.71	1350.18	406.31	193.01	371.22	463.65	221.86	1259.69	5329.3	341.51	447.82	878.17	1733.13	3325.99	176.29	186.4	497.0	665.29	199.85	4123.49	2004.85
GSDMC	0.0	392.44	0.93	0.0	0.0	0.05	49.91	13.42	0.0	16.03	12.55	77.79	44.25	241.19	22.26	37.05	72.01	148.09	98.04	16.15	3.96	60.82	15.22	17.9	392.44	226.54
KIF24	2.36	66.18	8.19	12.36	0.0	0.0	38.95	6.84	13.93	16.63	24.81	13.03	28.04	98.04	10.79	30.78	52.45	40.07	92.05	9.13	7.82	18.97	28.04	19.97	61.25	88.88
LCN2	5.02	313910.86	7.17	8.65	0.0	0.43	2720.15	314.17	180.02	426.57	1685.71	1819.35	21026.65	149521.18	72.52	934.76	1059.11	23169.48	25530.66	444.72	1143.1	688.78	409.15	403.5	31432.17	21768.19
LRRC46	7.82	17927.91	5.28	13.93	0.0	0.0	583.07	50.27	49.56	303.44	860.08	133.36	708.18	1733.13	58.3	759.08	1225.22	1030.12	1936.53	118.43	33.54	348.71	59.97	273.37	866.07	1467.37
NEK11	46.84	1697.45	44.89	75.64	0.0	0.01	205.5	57.08	71.5	201.25	363.56	64.8	277.2	423.61	70.51	241.19	420.68	376.41	928.3	90.14	80.01	108.9	107.38	102.97	325.29	363.56
PI3	22.1	14163.58	3.92	0.0	0.0	0.8	201.25	61.25	10.16	118.43	131.51	71.5	2335.28	3467.27	43.94	28.24	1594.73	2004.85	212.78	35.5	18.03	9.93	62.12	10.55	2090.03	44452.21
RHBDL2	23.93	429.54	6.78	5.28	0.0	0.2	100.83	15.34	26.47	40.93	30.78	44.89	58.71	262.2	12.55	77.79	53.19	178.77	318.57	69.03	19.82	31.0	67.59	11.38	353.59	154.42
RHOV	1.66	947.83	5.59	1.07	0.0	0.0	180.02	3.47	4.28	45.53	136.19	9.41	511.0	1950.0	0.0	208.38	126.12	343.89	1066.48	11.04	19.68	14.03	5.32	15.34	256.78	723.08
RSPH1	1.23	573724.06	12.55	47.17	0.0	0.0	1277.29	74.58	43.32	638.15	2075.59	237.86	1417.35	6561.36	34.51	2434.5	3212.66	2875.3	7749.1	218.79	55.1	642.59	65.72	480.04	2573.36	3081.75
SERPINB5	6.06	5366.37	2.16	0.0	0.0	0.45	49.91	6.26	0.06	17.64	275.28	2.29	571.05	2384.37	0.01	122.64	15.91	497.0	1508.65	3.17	0.0	6.67	3.5	15.11	4639.29	426.57
SFTPC	0.0	1.69	63.45	61.68	64186.29	44145.15	394590.4	5.882801313E7	7.92550749E7	4.811555286E7	3.003205688E7	4.188702152E7	2.4225111E7	558035.51	5.761735011E7	4.878722096E7	1.194579786E7	2.138357795E7	1.289224244E7	5.228884881E7	1.0826562323E8	3.109113511E7	6.17527469E7	2.578448588E7	1432396.03	21768.19
SPATA6L	29.91	249.73	28.65	16.75	0.0	0.41	93.35	31.67	98.04	88.88	176.29	172.65	381.68	559.28	43.63	500.46	199.85	392.44	1447.15	44.89	149.12	69.03	85.22	124.37	112.77	126.12
SSBP4	669.92	3081.75	860.08	1104.13	0.0	0.65	1628.26	764.36	638.15	1008.9	1322.37	764.36	1594.73	2451.44	796.86	1331.57	1674.06	1781.89	1709.26	764.36	748.61	1369.04	1191.69	753.83	2119.22	2701.35
ST8SIA2	0.0	7695.57	0.0	0.0	0.0	0.0	1.23	0.0	0.0	1.79	0.61	0.58	0.0	60.82	0.0	0.65	4.94	33.06	0.61	0.0	0.0	0.6	0.62	0.55	2.86	19.68
TMEM200C	1.25	100.83	0.27	1.38	0.0	0.15	9.56	0.79	1.31	0.49	1.66	1.95	19.39	8.13	1.64	10.39	2.34	21.01	56.68	0.0	0.82	1.22	6.06	1.11	12.64	14.35
TMPRSS4	0.0	11664.82	3.92	4.94	0.0	0.0	389.72	2.84	0.0	79.45	102.25	31.0	417.77	3515.68	0.0	314.17	145.02	547.75	1594.73	17.64	59.97	155.5	10.39	48.18	486.75	1313.23
TOMM34	187.71	759.08	224.97	265.87	0.0	0.39	559.28	400.71	273.37	387.02	454.09	228.13	884.29	1233.75	287.01	603.67	559.28	738.29	1769.57	518.15	429.54	429.54	343.89	429.54	1135.2	713.11
TP73	1.58	1870.53	3.26	5.5	0.0	0.0	104.42	7.28	4.82	51.35	110.43	25.54	139.07	220.32	9.06	172.65	177.53	220.32	346.29	14.56	12.18	52.08	21.78	53.57	163.28	339.14
TRIM29	49.21	2664.15	21.94	18.7	0.0	0.56	521.76	76.71	130.6	616.37	5292.48	108.9	11035.54	36357.37	159.9	3039.3	9945.68	6516.03	135693.24	206.94	5.45	376.41	20.41	1135.2	5366.37	2758.13
TTC29	3.11	18950.18	0.0	0.0	0.0	0.0	131.51	4.78	3.99	71.0	244.57	19.25	271.48	441.64	4.9	275.28	343.89	312.0	1208.34	22.92	11.3	73.03	9.78	68.07	346.29	366.09
VNN3	2.97	105.89	1.3	0.8	0.0	0.49	147.06	39.5	4.78	53.95	35.25	23.76	279.14	698.41	4.9	110.43	277.2	381.68	1467.37	29.7	37.32	15.22	29.06	38.67	155.5	283.05
WDR93	16.51	2061.24	1.85	4.35	0.0	0.0	41.22	6.41	3.72	27.84	69.03	13.72	38.4	117.6	4.86	68.07	105.89	71.0	164.42	12.45	7.57	35.0	10.88	25.17	59.13	153.34
ZMYND10	12.93	757033.75	10.71	14.03	0.0	0.0	1447.15	170.25	110.43	842.36	2682.69	412.0	2319.15	15607.02	90.14	3168.41	4903.87	3982.99	10084.54	279.14	121.79	1030.12	150.17	642.59	3018.3	3146.52
