	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZF29.1326.SM.4WWB6	GTEX.13S86.0826.SM.5SI6J	GTEX.14H4A.1626.SM.5SI69	GTEX.NPJ8.1926.SM.3MJGB	GTEX.13OVI.2626.SM.5KM4T	GTEX.ZT9W.1326.SM.51MTB	GTEX.ZVT2.1326.SM.5E45H	GTEX.U3ZM.0526.SM.4DXTB	GTEX.1122O.1726.SM.5GICM	GTEX.PWN1.0626.SM.48TDT	GTEX.PWCY.0726.SM.48TCS	GTEX.11DZ1.2026.SM.5A5KG	GTEX.13QBU.1026.SM.5LU3R	GTEX.1399S.1326.SM.5P9GH	TCGA.KU.A66S.01A.21R.A30B.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13S86.0626.SM.5Q5E7	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZT9W.2126.SM.51MSF	GTEX.132AR.2426.SM.5IFFD	GTEX.11NUK.2426.SM.5BC4U	GTEX.QXCU.1926.SM.48FE4
CHMP7	228.13	423.61	466.88	470.14	470.14	551.56	595.34	429.54	339.14	473.41	518.15	529.06	368.65	339.14	642.59	341.51	638.15	301.33	381.68	376.41	329.84	295.11	392.44	325.29	583.07	438.59	381.68	872.1	0.0	0.6	1096.5	514.56	232.94	988.12	429.54	353.59	291.04	567.1	178.77	366.09
CHORDC1	198.47	642.59	493.56	703.28	595.34	490.14	656.11	540.19	397.93	450.94	438.59	444.72	387.02	231.32	1519.15	301.33	2148.82	193.01	264.03	412.0	423.61	303.44	253.23	426.57	1127.35	406.31	253.23	934.76	0.0	0.34	1127.35	441.64	289.02	1769.57	444.72	197.09	265.87	2682.69	293.07	332.14
COA4	1477.58	1529.73	1417.35	1685.71	1259.69	1685.71	1331.57	1216.75	1313.23	1674.06	1467.37	1081.39	764.36	836.53	1268.46	961.07	2609.3	583.07	842.36	967.76	981.29	896.64	921.88	1015.93	2417.67	1008.9	769.69	3639.7	0.0	0.43	1572.76	3665.02	1437.15	3280.18	1757.34	1781.89	1216.75	2287.2	571.05	713.11
DNAJA1	2400.97	3768.09	1322.37	1519.15	2351.53	1457.23	2224.63	1923.14	1030.12	1286.18	1417.35	1066.48	1313.23	1096.5	4903.87	1369.04	6164.49	738.29	1350.18	1183.45	1447.15	1175.27	928.3	1104.13	2720.15	1225.22	1081.39	5292.48	0.0	0.0	11664.82	2835.7	1417.35	6381.92	1674.06	1487.87	1721.16	9606.86	1583.71	1286.18
E2F5	19.11	100.13	118.43	57.49	104.42	75.64	126.12	187.71	82.87	95.34	97.36	75.11	30.56	52.82	134.3	35.25	283.05	32.13	54.72	45.53	51.71	35.0	39.79	51.35	283.05	70.51	53.95	339.14	0.0	0.57	660.68	78.34	3.66	139.07	54.72	20.71	21.78	353.59	34.02	75.64
EXOSC3	743.43	616.37	559.28	921.88	753.83	679.29	738.29	647.07	536.45	842.36	769.69	521.76	444.72	486.75	813.63	486.75	1268.46	318.57	540.19	435.55	579.04	500.46	341.51	397.93	1037.29	420.68	435.55	1487.87	0.0	0.28	878.17	1572.76	915.51	1733.13	679.29	780.44	616.37	1104.13	220.32	97.36
FKBP4	3349.13	2682.69	2384.37	2224.63	1457.23	2240.11	2591.27	5219.6	1794.29	2193.99	2555.58	2520.38	2627.46	1674.06	6983.79	2271.4	8718.32	1605.83	2224.63	2004.85	2240.11	2287.2	1617.0	2555.58	5112.16	2502.97	2148.82	3018.3	0.0	0.27	4123.49	2664.15	2434.5	11267.44	2645.74	1950.0	3212.66	9540.5	1119.56	1081.39
GEMIN6	155.5	214.27	135.24	215.77	164.42	163.28	194.36	177.53	127.0	157.68	277.2	108.14	114.36	99.43	198.47	91.41	307.69	98.04	114.36	106.63	98.73	124.37	101.54	126.12	371.22	92.05	126.12	414.87	0.0	0.0	293.07	480.04	120.94	212.78	208.38	244.57	131.51	435.55	35.0	61.25
HSPE1	2816.11	7966.99	3280.18	5366.37	4210.15	3982.99	4512.4	4639.29	2451.44	3235.01	5292.48	2417.67	2104.58	2119.22	5403.7	2061.24	12764.83	1806.78	2303.12	2434.5	2335.28	2335.28	1963.57	2178.83	8538.88	1745.2	2209.26	11112.3	0.0	0.0	4903.87	7032.37	3955.48	6840.04	4239.45	3018.3	4802.93	26248.46	2915.45	2384.37
HSPH1	974.5	2367.9	791.35	2193.99	1487.87	1417.35	2075.59	1407.55	733.19	718.08	1498.22	656.11	842.36	567.1	4123.49	769.69	7966.99	312.0	866.07	693.58	764.36	796.86	660.68	674.59	3039.3	769.69	708.18	2468.49	0.0	0.0	2895.31	1561.89	1066.48	7180.15	1208.34	743.43	1583.71	6745.86	791.35	327.56
HTRA2	314.17	563.18	764.36	825.0	543.96	961.07	547.75	647.07	514.56	909.17	896.64	620.67	447.82	320.8	575.03	291.04	780.44	336.79	373.81	409.15	381.68	414.87	426.57	389.72	1023.0	460.44	361.04	915.51	0.0	0.66	961.07	703.28	397.93	684.02	575.03	353.59	466.88	1023.0	205.5	197.09
IPO11	323.03	205.5	264.03	265.87	289.02	265.87	351.14	329.84	237.86	258.57	236.21	267.73	251.48	204.07	327.56	226.54	426.57	165.57	226.54	186.4	241.19	215.77	239.52	218.79	473.41	295.11	215.77	426.57	0.0	0.11	420.68	540.19	320.8	463.65	327.56	353.59	307.69	567.1	115.16	183.82
LSM1	738.29	921.88	780.44	854.13	780.44	981.29	1023.0	854.13	808.0	1111.82	1369.04	813.63	500.46	723.08	825.0	698.41	1096.5	536.45	656.11	684.02	629.35	769.69	688.78	660.68	909.17	836.53	567.1	1896.65	0.0	0.77	947.83	3212.66	791.35	1096.5	848.22	941.27	1407.55	1697.45	412.0	684.02
MED20	293.07	363.56	281.09	309.83	307.69	426.57	336.79	341.51	301.33	320.8	379.04	269.6	253.23	172.65	277.2	178.77	323.03	145.02	232.94	175.07	229.72	205.5	264.03	185.11	297.17	204.07	195.72	450.94	0.0	0.13	314.17	460.44	249.73	283.05	384.34	318.57	228.13	536.45	71.5	118.43
MRPL18	1427.22	2645.74	1583.71	1697.45	1467.37	1721.16	1733.13	1896.65	1437.15	1447.15	1769.57	1397.83	995.0	967.76	1540.37	947.83	2163.77	836.53	909.17	769.69	866.07	1096.5	896.64	967.76	2178.83	954.43	915.51	2520.38	2075.59	1304.15	2032.85	2664.15	1757.34	1407.55	1313.23	1008.9	1167.14	4937.99	497.0	708.18
MRPS26	1073.91	1313.23	1191.69	1119.56	1023.0	1208.34	1096.5	1359.57	819.3	1119.56	1378.57	988.12	616.37	638.15	1199.98	441.64	1044.52	599.49	884.29	842.36	571.05	785.88	825.0	830.75	1594.73	703.28	878.17	2271.4	0.0	0.67	1639.59	1151.06	620.67	1350.18	947.83	915.51	974.5	1487.87	163.28	791.35
MRPS6	1233.75	1111.82	753.83	2591.27	967.76	1199.98	1135.2	1151.06	684.02	915.51	1397.83	854.13	532.74	470.14	1628.26	470.14	1388.16	511.0	775.05	684.02	612.11	567.1	497.0	507.46	1519.15	669.92	642.59	2148.82	0.0	0.57	3768.09	1963.57	974.5	1407.55	909.17	1023.0	909.17	2400.97	547.75	718.08
MTERFD1	242.88	327.56	363.56	507.46	470.14	379.04	579.04	629.35	309.83	447.82	514.56	241.19	218.79	149.12	228.13	137.14	435.55	118.43	217.27	191.67	194.36	176.29	161.02	221.86	397.93	258.57	151.22	748.61	0.0	0.13	423.61	450.94	106.63	444.72	187.71	176.29	239.52	363.56	41.22	75.11
MYCBP	1233.75	988.12	718.08	738.29	733.19	743.43	1143.1	743.43	651.58	808.0	808.0	723.08	579.04	559.28	941.27	688.78	890.44	575.03	679.29	660.68	642.59	633.73	525.39	796.86	974.5	607.87	629.35	848.22	0.0	0.16	507.46	890.44	1051.79	954.43	780.44	1008.9	1008.9	1216.75	493.56	412.0
NETO2	1617.0	169.07	120.1	543.96	127.0	237.86	536.45	205.5	133.36	124.37	217.27	218.79	108.14	136.19	314.17	81.71	381.68	81.14	65.26	92.05	122.64	141.02	72.52	131.51	265.87	67.59	173.85	273.37	0.0	0.57	607.87	281.09	165.57	423.61	271.48	371.22	409.15	211.31	24.99	37.85
NGRN	974.5	3794.3	1551.09	1540.37	1369.04	3190.46	2895.31	2555.58	1183.45	2400.97	2720.15	1498.22	1286.18	1167.14	2061.24	1143.1	1923.14	961.07	1331.57	1175.27	1059.11	1233.75	1001.93	1313.23	2255.7	1359.57	1259.69	3039.3	0.0	0.88	7485.11	2451.44	1259.69	2835.7	1870.53	2075.59	1950.0	2816.11	1572.76	1529.73
NHEJ1	87.65	237.86	223.41	214.27	208.38	205.5	234.57	275.28	190.34	208.38	180.02	248.0	159.9	101.54	281.09	158.79	190.34	151.22	162.14	172.65	126.12	157.68	159.9	185.11	223.41	166.73	182.55	260.38	0.0	0.17	389.72	246.28	128.79	149.12	211.31	163.28	212.78	688.78	150.17	77.79
NOL11	583.07	733.19	665.29	974.5	796.86	775.05	967.76	947.83	607.87	896.64	872.1	476.71	414.87	480.04	713.11	483.38	1167.14	376.41	651.58	444.72	656.11	543.96	563.18	497.0	769.69	647.07	450.94	1008.9	0.0	0.16	819.3	974.5	665.29	954.43	688.78	872.1	854.13	769.69	256.78	376.41
PDCD2	1286.18	1551.09	1135.2	1242.34	1111.82	1233.75	1111.82	1081.39	1088.92	1135.2	1119.56	1023.0	954.43	733.19	1208.34	825.0	1551.09	733.19	1073.91	836.53	1001.93	796.86	890.44	1030.12	1437.15	1088.92	791.35	1963.57	0.0	0.65	1551.09	2384.37	974.5	878.17	1233.75	1015.93	1225.22	780.44	493.56	444.72
PDRG1	438.59	607.87	603.67	571.05	656.11	642.59	480.04	490.14	583.07	713.11	684.02	432.53	293.07	239.52	583.07	329.84	728.11	361.04	376.41	295.11	356.05	373.81	305.55	409.15	493.56	346.29	309.83	785.88	0.0	0.58	587.13	679.29	234.57	409.15	376.41	684.02	470.14	902.89	93.35	121.79
PMF1-BGLAP	118.43	64.34	122.64	92.05	59.55	152.28	102.97	105.89	108.14	99.43	199.85	186.4	83.45	35.0	186.4	97.36	167.9	17.9	61.68	59.13	75.64	74.06	28.45	77.25	231.32	107.38	35.0	206.94	0.0	0.14	373.81	103.69	95.34	155.5	172.65	128.79	100.83	432.53	27.84	69.03
POLR3K	211.31	269.6	198.47	341.51	217.27	325.29	285.03	273.37	197.09	267.73	368.65	187.71	141.02	166.73	275.28	122.64	339.14	114.36	158.79	182.55	129.69	193.01	115.97	140.04	336.79	127.0	158.79	599.49	0.0	0.0	414.87	429.54	246.28	218.79	218.79	148.09	220.32	389.72	48.52	118.43
PTGES3	5831.91	5006.93	4512.4	5112.16	5006.93	3589.58	5872.48	6037.61	4123.49	4210.15	6207.38	3847.29	3665.02	2956.17	6079.61	3325.99	9409.14	2739.08	3515.68	2976.74	3928.15	2997.45	3349.13	3540.14	5517.27	3515.68	2855.44	5791.62	0.0	0.71	9409.14	8901.53	5555.65	8078.22	5041.77	4903.87	6294.04	15934.98	3564.78	2018.8
RBM4	2875.3	2271.4	2319.15	2555.58	1950.0	2758.13	2434.5	3018.3	2573.36	2485.67	3190.46	2434.5	2178.83	1819.35	3349.13	2417.67	2895.31	1721.16	2018.8	2061.24	2004.85	2468.49	1651.0	1896.65	2627.46	1819.35	2163.77	5403.7	1605.83	4704.07	4769.75	2609.3	1923.14	2739.08	2976.74	2777.33	2682.69	3614.55	1359.57	1417.35
RCC1	967.76	583.07	532.74	1674.06	723.08	599.49	733.19	1721.16	414.87	1529.73	796.86	1023.0	642.59	540.19	1674.06	444.72	1617.0	638.15	567.1	633.73	616.37	529.06	595.34	525.39	1437.15	480.04	688.78	1561.89	0.0	0.05	1378.57	1037.29	693.58	457.25	1037.29	743.43	616.37	2178.83	169.07	124.37
REXO4	358.54	414.87	403.5	543.96	417.77	400.71	559.28	447.82	351.14	476.71	323.03	363.56	307.69	248.0	575.03	226.54	698.41	236.21	271.48	293.07	334.46	273.37	231.32	314.17	587.13	271.48	327.56	547.75	297.17	163.28	500.46	376.41	228.13	507.46	470.14	363.56	323.03	412.0	59.97	104.42
RRP8	283.05	366.09	423.61	429.54	414.87	603.67	460.44	287.01	287.01	303.44	339.14	435.55	339.14	281.09	571.05	236.21	656.11	285.03	275.28	273.37	312.0	291.04	271.48	283.05	688.78	293.07	267.73	587.13	0.0	0.41	612.11	409.15	307.69	518.15	371.22	379.04	231.32	540.19	204.07	314.17
SAMD1	1127.35	1051.79	1008.9	941.27	791.35	1183.45	872.1	1628.26	825.0	1909.85	1794.29	961.07	728.11	540.19	1268.46	381.68	1487.87	466.88	400.71	684.02	555.41	426.57	733.19	660.68	2104.58	587.13	688.78	1350.18	848.22	1151.06	1167.14	603.67	563.18	1199.98	693.58	764.36	688.78	1757.34	244.57	320.8
SCML2	12.83	55.89	37.85	13.32	19.97	22.92	32.36	70.01	29.27	25.35	40.93	44.25	19.53	17.51	74.58	15.68	42.41	9.7	19.11	18.7	9.06	11.91	10.24	11.82	67.59	19.97	7.63	52.08	0.0	0.46	28.24	11.64	32.13	88.26	3.5	12.74	17.9	72.01	0.45	15.0
SNAPC1	202.66	107.38	135.24	178.77	161.02	132.44	223.41	220.32	137.14	109.66	201.25	77.25	116.78	74.06	191.67	30.12	246.28	74.58	82.87	68.07	58.71	52.82	33.3	62.12	400.71	88.88	59.13	175.07	0.0	0.36	215.77	226.54	150.17	264.03	162.14	122.64	183.82	150.17	77.79	54.72
STIP1	2351.53	2739.08	2287.2	3467.27	2271.4	2627.46	3540.14	2796.65	1819.35	1832.01	3372.43	2319.15	1870.53	1697.45	4802.93	1651.0	6164.49	1225.22	1397.83	1519.15	1745.2	1561.89	1417.35	1697.45	2720.15	1923.14	1572.76	4152.18	0.0	0.0	5329.3	2816.11	2367.9	6935.54	2417.67	2555.58	2209.26	12502.12	1008.9	1015.93
TADA3	480.04	808.0	1015.93	1044.52	775.05	1250.98	769.69	909.17	890.44	1001.93	1407.55	1088.92	836.53	660.68	967.76	638.15	1183.45	718.08	796.86	698.41	791.35	679.29	842.36	830.75	1104.13	759.08	825.0	1674.06	0.0	0.53	1923.14	1242.34	679.29	813.63	1175.27	928.3	738.29	1674.06	698.41	884.29
TBPL1	612.11	848.22	521.76	567.1	583.07	486.75	679.29	713.11	470.14	624.99	647.07	373.81	356.05	314.17	674.59	287.01	836.53	275.28	414.87	371.22	307.69	291.04	395.18	325.29	961.07	429.54	316.37	1498.22	0.0	0.71	1088.92	1081.39	543.96	698.41	406.31	363.56	532.74	1191.69	518.15	366.09
THAP1	105.89	153.34	149.12	181.28	139.07	146.03	144.01	145.02	121.79	127.89	121.79	157.68	99.43	102.97	177.53	81.71	189.02	68.55	90.77	88.88	121.79	79.45	83.45	86.43	172.65	72.52	73.54	215.77	0.0	0.0	297.17	231.32	112.77	118.43	182.55	102.97	125.24	500.46	57.08	102.97
TIMM9	684.02	825.0	884.29	1259.69	902.89	1250.98	1104.13	860.08	669.92	796.86	1277.29	693.58	738.29	665.29	947.83	684.02	1417.35	612.11	660.68	595.34	638.15	579.04	660.68	669.92	1529.73	748.61	511.0	1963.57	0.0	0.72	961.07	2018.8	684.02	890.44	1242.34	785.88	1066.48	1529.73	493.56	842.36
TMEM199	379.04	470.14	567.1	521.76	435.55	733.19	432.53	426.57	432.53	543.96	447.82	368.65	358.54	334.46	493.56	343.89	540.19	303.44	397.93	397.93	389.72	373.81	336.79	389.72	423.61	320.8	353.59	684.02	0.0	0.0	769.69	915.51	703.28	366.09	497.0	423.61	547.75	555.41	128.79	400.71
TMEM251	341.51	417.77	297.17	633.73	412.0	486.75	307.69	237.86	226.54	540.19	518.15	314.17	264.03	246.28	409.15	264.03	493.56	242.88	303.44	256.78	255.0	323.03	241.19	271.48	460.44	269.6	265.87	684.02	0.0	0.0	723.08	660.68	126.12	201.25	339.14	309.83	232.94	543.96	309.83	145.02
TOMM5	2047.0	2835.7	2271.4	2915.45	2485.67	2875.3	2720.15	2061.24	2061.24	2796.65	2777.33	2047.0	1340.84	1477.58	2520.38	1685.71	4239.45	1417.35	1757.34	1674.06	2018.8	1819.35	1685.71	1697.45	3901.01	1594.73	1651.0	4903.87	0.0	0.77	2935.74	7537.18	1950.0	5594.3	2209.26	1639.59	2485.67	5147.73	1674.06	1191.69
TPST2	638.15	476.71	688.78	612.11	543.96	884.29	647.07	647.07	693.58	698.41	825.0	497.0	392.44	389.72	684.02	267.73	780.44	371.22	392.44	346.29	368.65	299.25	295.11	267.73	587.13	323.03	346.29	603.67	0.0	0.71	1277.29	543.96	463.65	830.75	463.65	769.69	583.07	647.07	346.29	194.36
WDR89	132.44	126.12	94.67	122.64	141.02	82.87	114.36	139.07	91.41	87.03	111.99	87.03	106.63	67.59	197.09	75.11	285.03	75.11	80.57	82.29	67.12	84.63	56.68	89.51	224.97	100.83	83.45	226.54	0.0	0.0	343.89	220.32	82.87	214.27	121.79	114.36	105.15	211.31	34.02	37.32
WRNIP1	1359.57	1175.27	1167.14	1096.5	1111.82	1242.34	1216.75	1572.76	1119.56	1268.46	1322.37	1127.35	1096.5	974.5	1286.18	842.36	1487.87	921.88	1119.56	1073.91	1073.91	1059.11	909.17	1044.52	1388.16	1096.5	1191.69	1529.73	0.0	0.82	1819.35	1304.15	1037.29	2895.31	1477.58	1487.87	1359.57	1073.91	137.14	312.0
YARS2	291.04	366.09	316.37	511.0	376.41	571.05	389.72	902.89	246.28	366.09	651.58	279.14	256.78	187.71	511.0	262.2	518.15	151.22	214.27	193.01	303.44	275.28	236.21	285.03	463.65	305.55	204.07	595.34	0.0	0.04	497.0	366.09	248.0	521.76	318.57	346.29	320.8	775.05	157.68	144.01
