	TCGA.EW.A1P1.01A.31R.A14D.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1F6.11B.94R.A13Q.07	GTEX.WI4N.1426.SM.3LK7H	TCGA.CR.7376.01A.11R.2132.07	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	TCGA.60.2704.01A.11R.2045.07	TCGA.85.6175.01A.11R.1820.07	TCGA.43.6773.11A.01R.1949.07	TCGA.34.7107.11A.01R.1949.07	TCGA.77.8008.11A.01R.2187.07	TCGA.RD.A7BW.01A.11R.A32D.31	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.XXEK.1326.SM.4BRV1	GTEX.ZVP2.0426.SM.57WC2	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.S4Z8.0326.SM.3K2AU	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.Q2AI.0326.SM.2I3EK	GTEX.11NSD.0126.SM.5987F	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QMRM.0726.SM.2I5G8	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13CF3.0926.SM.5LZZC	GTEX.11VI4.0226.SM.5GU6C	GTEX.1211K.0726.SM.5FQUW	GTEX.ZVZP.1026.SM.5GICI	GTEX.ZDYS.0626.SM.5J2N5	GTEX.11O72.2326.SM.5BC7H	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
ABL2	497.0	197.09	343.89	256.78	384.34	169.07	187.71	392.44	273.37	281.09	279.14	323.03	195.72	61.68	75.11	75.64	68.55	61.68	130.6	93.35	131.51	91.41	92.7	108.14	86.43	97.36	64.8	58.71	58.71	77.79	61.68	127.89	56.68	94.01	106.63	61.25	112.77	134.3	89.51	59.13	71.0	73.54	118.43	54.33	44.25	52.45	66.18	40.64	55.1	65.72	93.35	125.24	103.69	171.45	80.01	47.84	51.71	182.55	66.18	69.52	71.0	95.34	295.11	72.01	55.1	68.07	62.56
AC096677.1	63.89	27.44	24.46	134.3	104.42	42.41	41.22	59.55	81.71	34.26	68.55	59.55	53.95	3.32	13.62	9.78	7.06	12.45	44.89	24.11	16.03	3.63	13.22	10.39	26.28	15.11	22.59	13.42	21.63	7.69	8.19	44.57	2.81	23.25	16.75	14.03	11.73	24.99	20.71	10.96	4.54	9.7	18.43	18.16	10.63	13.32	10.39	2.03	12.27	13.93	4.31	19.11	33.06	12.55	13.22	0.0	3.23	40.93	1.43	14.45	11.47	21.78	41.22	1.62	5.28	11.91	29.7
AC145676.2	23.76	10.08	5.96	20.86	2.58	2.48	4.24	3.72	3.76	2.73	0.0	4.62	11.38	1.3	0.47	0.12	0.29	0.3	4.98	0.68	0.48	1.48	0.27	0.49	3.53	0.97	0.64	0.95	0.0	0.0	1.83	4.13	1.43	1.81	0.99	0.64	1.58	0.0	0.97	0.95	0.66	0.32	2.43	0.0	0.53	0.0	0.47	0.12	0.64	0.3	2.1	1.93	0.99	2.14	0.79	0.1	0.67	4.35	0.0	0.3	0.66	1.57	3.08	2.03	0.0	0.0	0.61
ACTN1	7032.37	4736.79	5041.77	13033.07	6207.38	2816.11	7081.29	4298.64	8963.45	4152.18	4450.27	3928.15	16727.26	607.87	624.99	470.14	656.11	620.67	981.29	1295.13	543.96	587.13	718.08	1015.93	836.53	961.07	684.02	371.22	669.92	525.39	825.0	1551.09	579.04	1295.13	1417.35	420.68	890.44	1044.52	559.28	536.45	866.07	543.96	1037.29	693.58	432.53	267.73	490.14	339.14	633.73	540.19	974.5	866.07	743.43	947.83	307.69	426.57	301.33	1397.83	575.03	563.18	684.02	1104.13	1757.34	718.08	389.72	571.05	387.02
ACTR3	4607.24	2976.74	2816.11	3928.15	6079.61	3515.68	2104.58	5403.7	4450.27	3589.58	3515.68	2935.74	2209.26	2047.0	1883.54	1487.87	2303.12	1950.0	1757.34	2367.9	1662.49	1628.26	1066.48	2591.27	2224.63	1662.49	1447.15	2193.99	1388.16	1991.0	1745.2	2895.31	1628.26	3103.19	3146.52	1561.89	1111.82	1583.71	2193.99	1143.1	2061.24	1709.26	2555.58	1437.15	1674.06	1159.07	1844.76	1639.59	2047.0	1662.49	1733.13	1832.01	1674.06	2682.69	2090.03	1151.06	1844.76	2720.15	1540.37	1605.83	1697.45	2148.82	3257.52	1331.57	909.17	1662.49	1096.5
AK4	651.58	1096.5	1096.5	3372.43	325.29	139.07	124.37	591.22	441.64	111.99	77.25	143.01	642.59	64.8	69.03	27.44	29.91	27.44	84.63	78.89	46.18	52.82	116.78	141.02	81.14	68.55	31.67	29.91	49.21	56.28	73.03	208.38	54.33	110.43	132.44	23.59	49.91	57.49	48.87	72.52	56.68	59.13	151.22	41.52	24.81	18.03	40.36	41.22	59.97	44.57	66.18	48.87	46.18	107.38	38.67	40.07	43.94	111.99	29.48	32.59	63.89	55.49	529.06	78.34	49.56	55.1	56.28
APOL1	1662.49	819.3	1001.93	1617.0	6561.36	2255.7	2032.85	1909.85	4066.71	3419.52	2591.27	3018.3	2555.58	202.66	389.72	202.66	371.22	323.03	432.53	656.11	540.19	351.14	31.67	525.39	890.44	164.42	323.03	244.57	195.72	420.68	684.02	1359.57	221.86	872.1	1378.57	395.18	269.6	432.53	669.92	239.52	409.15	334.46	988.12	299.25	277.2	161.02	256.78	155.5	285.03	287.01	334.46	629.35	529.06	693.58	127.0	136.19	166.73	1167.14	215.77	293.07	185.11	656.11	1909.85	155.5	271.48	420.68	209.84
AQP9	289.02	32.59	44.25	102.25	258.57	154.42	819.3	473.41	65.72	1242.34	521.76	497.0	14.03	16.27	11.47	8.25	4.5	7.34	4.35	10.08	2.46	29.91	8.0	4.66	12.09	5.92	1.58	2.36	8.71	7.28	6.94	90.14	4.13	10.55	42.11	2.34	24.81	40.36	7.69	11.38	41.52	1.1	57.49	3.47	3.72	0.09	24.28	11.04	3.89	3.79	6.73	10.24	3.14	11.73	3.41	1.23	4.94	45.21	0.67	4.62	33.54	4.28	12.55	22.26	0.26	2.07	0.1
AREG	3325.99	1088.92	486.75	848.22	796.86	4450.27	1242.34	1572.76	450.94	3081.75	2935.74	559.28	81.14	32.82	35.0	3.66	11.82	34.75	16.27	23.93	25.72	93.35	113.56	65.72	36.27	54.33	93.35	0.0	0.0	64.8	5.02	95.34	59.55	32.59	133.36	0.0	148.09	208.38	8.38	13.62	193.01	34.02	62.56	1.06	12.09	3.99	61.25	18.7	14.67	67.12	55.1	17.64	32.36	339.14	15.91	0.97	4.13	358.54	22.75	42.71	50.63	444.72	121.79	94.01	2.81	100.83	12.18
ARID5B	1096.5	1508.65	1216.75	1844.76	802.41	450.94	429.54	1044.52	698.41	633.73	981.29	547.75	500.46	63.89	131.51	86.43	69.03	41.22	146.03	241.19	232.94	82.29	50.98	187.71	98.73	126.12	119.26	48.18	108.9	100.83	70.51	194.36	75.11	117.6	176.29	29.27	244.57	277.2	85.82	103.69	86.43	176.29	264.03	23.42	32.59	25.72	63.89	14.35	22.59	96.01	137.14	151.22	209.84	193.01	54.72	42.41	40.64	255.0	38.4	50.98	123.5	148.09	314.17	178.77	23.93	122.64	30.34
ARNTL2	156.59	139.07	106.63	236.21	854.13	197.09	133.36	583.07	242.88	85.22	106.63	102.97	127.89	4.86	12.55	5.15	4.21	1.36	12.83	11.04	6.84	4.46	3.76	11.38	20.86	10.47	22.26	5.36	4.98	13.22	20.11	27.84	5.73	8.13	18.7	3.41	14.56	12.27	14.89	7.06	8.32	4.5	42.71	6.31	6.62	3.23	3.86	1.69	3.08	5.15	9.2	10.31	6.06	18.7	4.98	1.22	7.17	14.67	2.76	1.35	6.94	14.45	53.19	4.94	3.63	5.23	2.94
ATG7	460.44	536.45	551.56	403.5	563.18	743.43	974.5	612.11	470.14	583.07	633.73	547.75	403.5	251.48	336.79	303.44	332.14	295.11	318.57	351.14	341.51	260.38	242.88	397.93	387.02	279.14	387.02	291.04	279.14	368.65	397.93	409.15	285.03	406.31	381.68	271.48	253.23	299.25	256.78	327.56	271.48	260.38	438.59	249.73	260.38	336.79	309.83	217.27	334.46	314.17	307.69	397.93	371.22	392.44	231.32	246.28	348.71	429.54	312.0	314.17	279.14	389.72	291.04	312.0	226.54	273.37	239.52
B4GALT5	928.3	796.86	1073.91	1304.15	769.69	633.73	1225.22	808.0	988.12	1167.14	961.07	1081.39	802.41	211.31	231.32	253.23	267.73	197.09	483.38	417.77	329.84	251.48	136.19	376.41	348.71	190.34	176.29	232.94	201.25	251.48	220.32	412.0	236.21	603.67	400.71	190.34	307.69	244.57	249.73	153.34	316.37	256.78	603.67	209.84	191.67	111.99	334.46	181.28	262.2	193.01	454.09	368.65	293.07	669.92	228.13	153.34	173.85	518.15	191.67	281.09	285.03	316.37	1111.82	172.65	164.42	239.52	155.5
C19orf59	21.63	0.91	3.82	16.27	49.56	2224.63	5076.84	248.0	30.56	2451.44	1359.57	2485.67	6.62	5.06	0.36	7.11	4.46	0.38	3.5	4.13	5.06	1.64	5.06	5.11	12.45	2.14	0.49	4.28	36.01	0.75	3.29	38.4	4.39	12.09	24.99	0.0	15.11	1.04	2.89	6.41	34.51	1.89	71.0	1.75	12.36	0.16	19.82	5.87	2.97	1.14	0.69	2.81	0.69	8.78	3.32	0.27	0.74	24.11	10.71	4.39	14.03	6.52	3.92	2.46	0.0	4.31	0.43
CAMSAP1	220.32	262.2	191.67	158.79	351.14	166.73	361.04	312.0	312.0	248.0	193.01	195.72	136.19	90.77	171.45	102.25	127.0	78.89	163.28	170.25	89.51	108.9	165.57	105.89	99.43	106.63	80.57	74.58	164.42	74.58	100.83	109.66	100.83	127.0	135.24	149.12	99.43	139.07	102.97	193.01	67.59	149.12	141.02	102.25	82.87	100.83	108.9	51.71	90.14	120.1	128.79	142.01	107.38	154.42	100.13	46.18	89.51	175.07	92.05	125.24	115.97	147.06	170.25	109.66	154.42	85.22	136.19
CASP4	2032.85	1909.85	2104.58	2758.13	2875.3	2303.12	1819.35	2224.63	1832.01	2451.44	2835.7	3257.52	2271.4	194.36	438.59	236.21	258.57	236.21	974.5	420.68	381.68	389.72	135.24	497.0	587.13	447.82	332.14	275.28	255.0	343.89	351.14	988.12	316.37	974.5	567.1	199.85	825.0	444.72	420.68	271.48	381.68	356.05	1073.91	234.57	201.25	127.0	291.04	112.77	303.44	260.38	389.72	660.68	575.03	813.63	95.34	167.9	125.24	954.43	175.07	208.38	329.84	503.95	1508.65	414.87	256.78	480.04	273.37
CAST	3768.09	5441.3	5791.62	6294.04	4869.99	3742.05	2351.53	3419.52	4937.99	4210.15	3639.7	3665.02	5594.3	2255.7	3303.0	1508.65	2163.77	2104.58	2271.4	2417.67	1963.57	2997.45	3794.3	2178.83	2384.37	1909.85	1540.37	2319.15	2701.35	1977.24	2193.99	2591.27	2209.26	2351.53	2485.67	1369.04	2816.11	2835.7	2287.2	3742.05	2075.59	1991.0	3395.89	1733.13	2047.0	2335.28	2319.15	1143.1	1844.76	2133.97	2287.2	2739.08	2271.4	3325.99	2018.8	1199.98	2520.38	3039.3	1697.45	1936.53	2148.82	2573.36	5403.7	3847.29	2335.28	1950.0	2119.22
CCDC109B	575.03	358.54	450.94	283.05	500.46	674.59	723.08	379.04	327.56	309.83	289.02	314.17	366.09	22.75	90.77	29.27	34.51	34.26	122.64	100.13	113.56	117.6	39.5	122.64	113.56	83.45	65.72	43.94	48.18	58.71	82.29	406.31	45.85	67.12	118.43	35.5	122.64	228.13	55.49	74.06	126.12	81.71	153.34	55.1	19.39	41.22	43.32	34.51	50.63	65.72	55.89	87.03	144.01	118.43	32.36	45.21	24.11	231.32	33.06	44.25	35.0	253.23	444.72	53.19	37.85	90.14	37.05
CD93	2502.97	1225.22	1437.15	1870.53	915.51	1447.15	4388.98	941.27	543.96	2997.45	2956.17	1950.0	764.36	258.57	366.09	267.73	293.07	220.32	884.29	532.74	444.72	318.57	76.17	412.0	511.0	320.8	323.03	389.72	189.02	177.53	327.56	518.15	234.57	366.09	529.06	264.03	381.68	642.59	486.75	162.14	483.38	384.34	575.03	376.41	334.46	158.79	209.84	127.89	277.2	237.86	285.03	426.57	432.53	616.37	195.72	131.51	211.31	587.13	204.07	285.03	262.2	406.31	1340.84	87.65	217.27	236.21	212.78
CDH11	2133.97	703.28	503.95	638.15	4869.99	6745.86	5112.16	3168.41	5517.27	2178.83	3847.29	1651.0	1674.06	60.82	301.33	67.12	85.22	58.3	102.97	373.81	76.71	220.32	1.83	141.02	152.28	43.63	134.3	44.57	88.88	61.68	242.88	2018.8	46.84	206.94	1313.23	105.89	23.42	373.81	395.18	126.12	137.14	140.04	1447.15	106.63	3.47	20.56	151.22	8.99	48.87	78.34	55.49	1135.2	358.54	332.14	26.28	5.36	30.34	1359.57	16.51	14.78	91.41	607.87	583.07	29.06	49.56	187.71	47.17
CDR1	19.97	248.0	638.15	107.38	33.54	45.53	40.36	38.95	38.95	15.34	18.03	12.18	29.7	3.26	6.36	5.82	5.87	3.79	8.58	2.43	2.94	8.32	0.01	9.06	7.75	4.03	9.27	4.78	18.29	19.39	6.06	8.58	6.89	6.01	12.0	3.69	0.03	13.83	5.82	11.04	6.16	6.01	5.36	4.43	0.0	0.95	8.38	3.11	8.13	3.59	7.0	7.28	6.36	15.22	1.01	0.74	6.73	12.18	2.07	3.11	9.63	10.24	7.46	7.69	3.53	3.0	8.0
CENPW	343.89	473.41	195.72	297.17	941.27	1572.76	98.73	947.83	339.14	197.09	215.77	175.07	239.52	58.3	58.71	98.73	68.07	52.45	74.58	87.65	54.72	40.64	2.81	51.35	66.65	47.5	47.84	88.26	19.97	33.54	68.07	81.71	62.56	57.89	63.89	24.28	44.57	55.89	19.97	77.79	80.57	58.71	74.58	71.5	96.68	51.35	46.84	66.18	88.26	41.81	67.12	95.34	69.52	32.82	35.76	50.63	67.59	124.37	26.28	43.02	48.18	88.26	59.97	96.68	60.39	45.85	92.05
CHSY1	1551.09	934.76	1096.5	1529.73	1151.06	612.11	842.36	1457.23	1250.98	1540.37	1313.23	988.12	426.57	218.79	267.73	223.41	264.03	154.42	409.15	480.04	323.03	346.29	135.24	256.78	486.75	205.5	214.27	189.02	126.12	194.36	232.94	536.45	191.67	343.89	400.71	190.34	305.55	356.05	226.54	154.42	525.39	217.27	368.65	289.02	164.42	109.66	253.23	117.6	152.28	183.82	197.09	218.79	215.77	466.88	159.9	161.02	120.1	346.29	191.67	211.31	244.57	457.25	775.05	154.42	183.82	215.77	158.79
CLMP	414.87	819.3	1417.35	909.17	854.13	325.29	237.86	395.18	583.07	267.73	332.14	312.0	629.35	18.97	55.1	15.8	27.84	15.22	28.45	50.98	29.7	39.79	0.84	82.87	40.07	68.07	63.89	11.38	28.65	24.63	26.28	103.69	19.82	74.58	167.9	18.56	5.73	82.87	19.11	17.51	46.84	17.77	85.82	10.31	8.13	8.58	32.59	9.34	8.71	30.56	31.67	35.25	136.19	79.45	4.58	3.06	11.55	470.14	14.45	45.85	24.46	146.03	119.26	7.0	17.13	72.01	18.16
CNTNAP1	115.97	90.77	135.24	134.3	232.94	236.21	348.71	234.57	180.02	255.0	190.34	376.41	1030.12	38.95	66.65	27.44	37.59	52.82	87.65	72.52	24.63	52.82	16.03	53.95	71.5	19.11	52.82	30.56	65.72	26.28	51.71	100.13	43.63	84.04	90.14	49.56	40.93	108.9	58.3	56.28	31.9	48.52	104.42	41.22	54.72	39.5	38.4	20.86	44.57	20.71	27.84	87.65	60.82	84.63	14.78	14.67	18.29	57.49	35.25	38.67	31.9	48.87	78.34	46.5	75.11	43.94	35.5
CP	1295.13	9215.48	738.29	6471.02	1037.29	660.68	256.78	1159.07	1794.29	1388.16	595.34	555.41	435.55	131.51	42.71	202.66	44.25	164.42	325.29	265.87	80.01	435.55	4.5	199.85	152.28	105.89	226.54	169.07	100.13	75.64	249.73	540.19	208.38	113.56	128.79	32.82	1277.29	194.36	444.72	128.79	128.79	283.05	1023.0	45.21	33.78	43.32	58.71	79.45	80.01	205.5	105.15	417.77	275.28	329.84	50.27	13.32	106.63	493.56	87.65	303.44	43.63	400.71	1870.53	830.75	36.53	185.11	50.63
CSF2RB	414.87	187.71	186.4	1066.48	536.45	201.25	543.96	368.65	291.04	466.88	540.19	563.18	183.82	16.75	32.36	18.16	25.35	27.25	42.11	80.57	29.91	34.26	10.79	50.27	202.66	29.27	37.85	15.45	22.92	16.39	87.65	135.24	29.91	57.89	98.73	24.99	37.32	46.18	90.77	29.48	78.34	25.35	339.14	22.59	17.64	9.34	23.08	11.13	40.93	61.68	39.22	85.22	57.89	75.64	3.66	18.03	18.29	55.1	33.06	21.01	38.95	92.7	54.72	34.02	30.78	21.01	15.45
CYP19A1	239.52	20.56	40.93	55.89	60.82	17.25	22.43	26.47	15.0	24.28	13.62	16.27	31.45	36.79	17.13	26.1	25.35	0.79	137.14	27.64	30.34	35.0	0.0	7.4	57.08	45.85	24.28	14.67	4.46	7.69	36.79	27.64	14.45	64.34	47.17	14.14	11.73	46.84	10.63	10.96	69.03	1.17	120.1	6.26	2.53	2.39	20.26	3.5	15.22	12.93	14.56	81.14	29.27	26.1	4.78	3.23	5.63	193.01	1.53	11.47	28.24	35.25	124.37	12.36	11.47	20.56	8.65
DAB2	1437.15	1572.76	2895.31	1540.37	1639.59	4210.15	1674.06	1583.71	1457.23	2104.58	2255.7	2367.9	1561.89	363.56	409.15	314.17	316.37	376.41	733.19	723.08	305.55	397.93	111.99	536.45	624.99	460.44	281.09	244.57	563.18	253.23	432.53	1059.11	490.14	638.15	638.15	490.14	476.71	503.95	587.13	285.03	426.57	647.07	1936.53	316.37	223.41	293.07	323.03	251.48	381.68	400.71	277.2	1008.9	854.13	559.28	228.13	293.07	251.48	785.88	389.72	253.23	575.03	500.46	1397.83	159.9	329.84	346.29	285.03
DACT3	113.56	72.52	102.25	125.24	92.05	256.78	346.29	156.59	318.57	199.85	291.04	267.73	1066.48	32.13	87.03	52.08	40.93	38.95	86.43	107.38	36.01	71.5	32.13	62.12	45.85	50.63	36.01	29.91	26.47	33.06	88.88	47.84	59.55	50.63	84.63	38.95	41.52	113.56	63.45	60.39	32.13	29.27	52.08	43.32	28.04	28.65	31.67	22.43	25.17	26.47	100.13	88.88	57.89	47.84	23.93	12.55	21.32	40.64	26.1	49.91	23.08	40.07	81.71	59.13	77.79	66.65	75.64
DEC1	11.04	3.99	1.87	11.91	24.81	2.76	9.27	39.22	9.34	1.57	1.36	4.21	5.73	0.0	1.66	0.83	0.0	0.0	1.01	0.87	0.0	0.0	0.0	0.85	0.82	0.0	0.0	0.8	0.0	0.0	0.0	1.68	0.0	0.0	1.43	0.0	0.0	0.0	1.41	0.0	0.84	0.0	0.24	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66	0.0	0.51	0.0	0.78
DOCK4	258.57	358.54	397.93	287.01	293.07	470.14	825.0	356.05	275.28	703.28	483.38	420.68	223.41	66.18	122.64	57.89	57.89	69.03	159.9	81.71	84.63	102.25	118.43	100.13	91.41	106.63	94.01	62.56	92.7	68.55	78.89	98.04	82.87	94.01	110.43	94.01	74.06	208.38	105.89	81.71	48.87	85.22	82.87	69.52	44.57	85.22	55.89	27.84	105.15	82.87	52.82	66.18	96.68	151.22	77.25	26.47	44.89	139.07	61.25	100.83	43.94	100.83	112.77	67.12	61.68	59.97	82.29
ELF4	389.72	220.32	343.89	376.41	698.41	244.57	693.58	454.09	674.59	463.65	423.61	441.64	297.17	67.12	38.67	36.53	43.02	53.19	75.64	108.14	51.71	32.82	44.89	104.42	81.71	67.12	85.22	50.27	61.25	118.43	50.98	212.78	71.5	79.45	139.07	43.32	38.12	76.71	79.45	38.12	71.5	63.45	82.87	76.17	48.87	16.27	66.65	21.32	53.95	84.04	46.84	63.89	126.12	132.44	26.28	26.1	26.47	135.24	31.22	69.03	43.94	118.43	127.89	47.84	54.72	46.5	33.3
FAM126A	366.09	620.67	748.61	2400.97	395.18	363.56	368.65	555.41	336.79	309.83	277.2	351.14	142.01	67.59	191.67	106.63	78.89	57.08	119.26	149.12	92.7	161.02	24.99	124.37	96.01	108.9	76.71	77.79	81.14	76.71	56.68	194.36	108.9	134.3	143.01	72.52	110.43	234.57	79.45	96.01	88.26	84.63	178.77	89.51	48.87	55.89	77.25	30.56	59.55	64.8	67.12	96.01	103.69	134.3	62.12	38.12	51.71	169.07	55.89	77.25	92.05	134.3	511.0	123.5	82.87	80.57	87.65
FAM89A	559.28	507.46	884.29	780.44	297.17	341.51	642.59	457.25	173.85	651.58	525.39	525.39	236.21	120.94	125.24	108.9	58.71	57.89	220.32	120.94	122.64	96.68	236.21	144.01	142.01	151.22	67.12	62.12	98.73	104.42	97.36	205.5	92.05	194.36	106.63	121.79	127.89	90.77	102.97	120.1	110.43	100.83	217.27	49.56	43.32	45.53	88.26	92.7	90.77	106.63	162.14	156.59	139.07	189.02	82.87	102.97	49.91	239.52	60.82	136.19	132.44	131.51	343.89	94.01	70.01	86.43	81.14
FAS	555.41	848.22	674.59	656.11	660.68	1427.22	1030.12	629.35	567.1	738.29	723.08	866.07	381.68	163.28	417.77	147.06	96.01	125.24	309.83	214.27	198.47	353.59	113.56	215.77	457.25	231.32	176.29	180.02	112.77	173.85	291.04	518.15	173.85	271.48	283.05	156.59	256.78	379.04	171.45	305.55	189.02	334.46	567.1	56.68	143.01	279.14	161.02	74.06	165.57	107.38	165.57	198.47	123.5	275.28	152.28	175.07	99.43	353.59	109.66	81.14	176.29	353.59	536.45	414.87	114.36	147.06	163.28
FCAR	16.27	14.67	21.94	25.17	47.5	21.16	91.41	109.66	13.42	476.71	241.19	40.93	12.83	3.89	2.94	1.73	0.21	2.41	0.03	2.41	0.69	9.93	9.48	4.9	1.13	3.0	4.13	1.68	4.24	3.92	2.58	24.28	3.2	7.82	12.93	0.0	16.75	24.11	2.43	2.39	9.06	0.4	21.63	0.97	2.94	1.04	5.19	2.81	3.32	1.87	3.03	5.87	3.29	3.96	1.95	0.75	1.79	13.52	2.84	1.69	8.58	7.51	19.97	5.87	0.48	1.31	1.06
FCGR1A	466.88	361.04	234.57	368.65	1073.91	1551.09	866.07	743.43	532.74	961.07	1685.71	2119.22	1096.5	34.75	20.11	44.57	74.06	58.3	131.51	120.94	69.03	8.19	12.93	35.0	244.57	27.05	18.7	42.41	80.57	15.34	135.24	371.22	8.13	162.14	301.33	24.81	57.89	43.63	368.65	9.78	127.89	21.94	633.73	76.17	26.28	31.22	35.25	5.19	55.89	42.41	12.93	145.02	71.0	194.36	53.57	24.46	62.56	171.45	103.69	33.3	33.06	112.77	244.57	29.06	49.56	38.95	29.48
FCGR2A	738.29	921.88	1104.13	928.3	3235.01	4736.79	1508.65	4210.15	2163.77	3820.7	4512.4	1844.76	2335.28	93.35	106.63	87.03	182.55	194.36	255.0	381.68	123.5	68.55	38.95	267.73	198.47	89.51	112.77	69.52	165.57	108.9	94.67	866.07	102.97	563.18	529.06	117.6	190.34	212.78	299.25	147.06	563.18	147.06	1447.15	190.34	35.76	49.56	82.29	30.56	169.07	154.42	71.0	234.57	400.71	435.55	58.3	35.0	43.63	483.38	22.92	137.14	258.57	435.55	878.17	143.01	187.71	112.77	49.21
FCHSD2	503.95	607.87	563.18	536.45	595.34	500.46	642.59	743.43	483.38	796.86	759.08	571.05	460.44	267.73	536.45	341.51	181.28	293.07	381.68	414.87	406.31	414.87	373.81	303.44	384.34	281.09	283.05	289.02	293.07	226.54	332.14	387.02	251.48	348.71	329.84	429.54	318.57	429.54	334.46	334.46	346.29	395.18	575.03	318.57	237.86	281.09	318.57	164.42	246.28	297.17	371.22	406.31	269.6	412.0	339.14	148.09	223.41	444.72	264.03	303.44	363.56	483.38	518.15	218.79	341.51	312.0	409.15
FGL2	559.28	1331.57	1583.71	384.34	1250.98	638.15	438.59	441.64	397.93	1111.82	647.07	339.14	769.69	172.65	1322.37	281.09	293.07	176.29	1662.49	432.53	309.83	616.37	76.17	409.15	381.68	223.41	289.02	255.0	260.38	197.09	334.46	511.0	253.23	426.57	260.38	316.37	400.71	1199.98	559.28	543.96	403.5	341.51	1175.27	199.85	110.43	220.32	148.09	87.03	191.67	293.07	137.14	738.29	518.15	866.07	109.66	186.4	116.78	457.25	156.59	183.82	197.09	567.1	2400.97	287.01	698.41	384.34	493.56
FILIP1	117.6	80.01	161.02	90.77	73.54	149.12	146.03	120.94	56.68	217.27	181.28	190.34	271.48	26.1	68.07	27.84	14.89	22.75	47.84	45.85	36.53	32.59	17.25	47.17	37.05	56.68	35.25	31.67	15.8	22.92	28.04	53.57	54.72	27.64	36.01	24.46	48.52	81.14	50.27	35.5	45.21	51.35	71.0	31.0	32.36	12.36	29.27	7.82	14.24	26.28	64.8	29.91	33.06	52.82	17.51	16.15	8.58	38.95	10.55	16.03	27.84	43.02	76.71	57.49	31.0	43.94	37.32
FNDC3B	836.53	947.83	1044.52	2591.27	1991.0	921.88	1313.23	1844.76	1651.0	1127.35	915.51	1135.2	1015.93	836.53	848.22	651.58	571.05	728.11	1037.29	791.35	842.36	679.29	607.87	785.88	872.1	595.34	633.73	1023.0	616.37	764.36	638.15	860.08	638.15	921.88	848.22	543.96	426.57	688.78	785.88	353.59	718.08	612.11	1023.0	507.46	620.67	567.1	698.41	525.39	902.89	764.36	708.18	819.3	543.96	866.07	1225.22	525.39	507.46	1051.79	529.06	457.25	769.69	860.08	1044.52	435.55	417.77	802.41	551.56
FOSL1	1135.2	194.36	507.46	303.44	708.18	289.02	229.72	395.18	353.59	928.3	1340.84	961.07	170.25	63.0	138.1	19.25	92.7	99.43	195.72	84.63	111.99	400.71	79.45	138.1	126.12	123.5	57.08	28.04	10.79	202.66	50.98	119.26	87.03	273.37	255.0	6.16	130.6	444.72	32.36	30.34	279.14	18.97	46.5	46.18	120.1	38.67	83.45	28.65	104.42	38.95	108.14	33.06	85.22	341.51	18.03	126.12	18.84	363.56	15.22	47.17	93.35	68.07	764.36	59.97	14.03	24.46	10.39
