	TCGA.EW.A1P1.01A.31R.A14D.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1F6.11B.94R.A13Q.07	GTEX.WI4N.1426.SM.3LK7H	TCGA.CR.7376.01A.11R.2132.07	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	TCGA.60.2704.01A.11R.2045.07	TCGA.85.6175.01A.11R.1820.07	TCGA.43.6773.11A.01R.1949.07	TCGA.34.7107.11A.01R.1949.07	TCGA.77.8008.11A.01R.2187.07	TCGA.RD.A7BW.01A.11R.A32D.31	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.XXEK.1326.SM.4BRV1	GTEX.ZVP2.0426.SM.57WC2	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.S4Z8.0326.SM.3K2AU	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.Q2AI.0326.SM.2I3EK	GTEX.11NSD.0126.SM.5987F	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QMRM.0726.SM.2I5G8	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13CF3.0926.SM.5LZZC	GTEX.11VI4.0226.SM.5GU6C	GTEX.1211K.0726.SM.5FQUW	GTEX.ZVZP.1026.SM.5GICI	GTEX.ZDYS.0626.SM.5J2N5	GTEX.11O72.2326.SM.5BC7H	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
LRRN4CL	170.25	291.04	414.87	281.09	90.77	75.11	72.52	24.81	20.56	31.9	82.87	267.73	289.02	27.44	62.56	38.95	53.19	32.36	151.22	108.9	28.45	92.7	1.19	80.01	35.76	40.93	65.26	13.52	28.04	26.1	45.21	97.36	18.56	66.65	72.01	31.22	45.85	264.03	19.25	57.08	64.8	50.98	66.65	23.08	8.51	21.32	43.94	35.5	29.7	16.03	36.79	104.42	131.51	45.53	2.32	23.42	14.67	55.49	17.51	33.78	37.05	81.71	97.36	30.34	96.01	56.68	17.9
LYN	688.78	921.88	679.29	1662.49	1529.73	915.51	1685.71	1487.87	954.43	1447.15	1447.15	1583.71	583.07	366.09	616.37	329.84	403.5	486.75	836.53	358.54	420.68	529.06	218.79	473.41	688.78	309.83	264.03	307.69	312.0	334.46	432.53	909.17	269.6	753.83	435.55	309.83	412.0	400.71	587.13	435.55	403.5	429.54	819.3	277.2	339.14	161.02	368.65	176.29	417.77	387.02	503.95	551.56	392.44	620.67	305.55	285.03	361.04	1183.45	291.04	289.02	392.44	454.09	1233.75	397.93	353.59	351.14	316.37
MAP4K4	1583.71	1096.5	1096.5	934.76	1896.65	1111.82	866.07	1427.22	1697.45	961.07	1250.98	988.12	854.13	392.44	397.93	275.28	287.01	400.71	444.72	587.13	426.57	334.46	316.37	624.99	500.46	476.71	406.31	384.34	403.5	547.75	438.59	860.08	361.04	563.18	595.34	316.37	223.41	555.41	423.61	392.44	384.34	483.38	723.08	262.2	295.11	217.27	373.81	128.79	460.44	353.59	356.05	387.02	444.72	543.96	287.01	307.69	291.04	665.29	269.6	239.52	525.39	483.38	575.03	236.21	255.0	358.54	277.2
MARCH3	234.57	156.59	194.36	638.15	149.12	341.51	432.53	194.36	234.57	142.01	177.53	395.18	117.6	57.89	43.02	42.71	35.0	33.3	217.27	55.49	55.89	43.94	21.16	78.89	86.43	50.98	44.57	48.52	57.08	37.85	42.71	167.9	54.72	162.14	70.51	43.63	93.35	89.51	62.12	31.67	73.03	63.0	142.01	56.28	37.05	24.63	37.59	28.65	73.03	53.57	73.03	117.6	86.43	101.54	21.47	29.27	31.45	131.51	17.77	73.54	52.82	70.01	251.48	50.98	28.24	52.82	47.5
MEDAG	2119.22	559.28	1359.57	1369.04	591.22	241.19	915.51	796.86	307.69	679.29	563.18	1242.34	343.89	285.03	81.14	189.02	171.45	105.89	438.59	769.69	764.36	171.45	12.93	698.41	684.02	417.77	376.41	133.36	198.47	480.04	116.78	896.64	224.97	343.89	775.05	37.05	291.04	497.0	92.05	52.08	497.0	466.88	190.34	336.79	44.89	30.34	305.55	87.03	142.01	483.38	197.09	353.59	493.56	438.59	99.43	183.82	56.68	1208.34	74.06	193.01	260.38	389.72	2119.22	220.32	87.03	305.55	77.25
MEFV	11.73	8.71	13.32	17.25	56.28	22.43	59.13	51.71	14.67	204.07	85.82	68.07	12.93	4.5	4.31	2.78	9.34	4.35	5.23	10.0	2.63	17.0	5.73	2.29	4.62	2.51	5.11	3.89	6.46	3.08	3.2	15.68	3.41	8.71	8.45	3.89	7.17	10.55	2.23	2.71	9.85	5.19	14.56	5.15	1.95	1.1	4.62	0.73	3.79	5.87	1.95	8.51	6.67	9.78	2.01	1.22	5.36	8.32	2.05	7.63	8.25	13.12	5.87	13.12	1.38	4.74	1.53
MROH9	0.0	0.74	0.0	2.29	2.63	5.28	14.14	6.57	5.54	61.68	0.67	3.35	1.39	0.16	0.0	0.16	1.22	0.0	1.16	0.39	0.0	0.0	0.0	0.57	0.55	0.56	0.0	0.0	0.0	0.0	0.16	1.39	0.0	0.0	0.75	0.0	0.0	0.35	0.56	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.36	0.37	1.1	0.36	0.0	0.0	0.0	0.0	0.0	1.87	0.0	0.0	0.0	0.92	1.55	0.0	0.0	0.16	0.0
MSN	8363.13	3768.09	5633.22	9540.5	9740.98	10512.82	15075.35	6121.9	8538.88	9945.68	10585.95	9215.48	4869.99	3235.01	5594.3	3081.75	5329.3	4671.57	4869.99	6037.61	4419.52	4481.23	2701.35	5441.3	5672.41	4450.27	2319.15	4358.66	3190.46	3820.7	4802.93	6079.61	3303.0	8901.53	5995.9	2645.74	2997.45	5633.22	4481.23	3124.78	4937.99	3018.3	6250.56	3540.14	4152.18	2758.13	4038.61	2451.44	4639.29	3742.05	5403.7	4836.35	3168.41	7130.55	4298.64	2451.44	3955.48	6337.83	3874.05	2935.74	2701.35	6121.9	12853.63	3081.75	3564.78	3742.05	3168.41
MXRA5	1709.26	1111.82	1583.71	532.74	4239.45	287.01	563.18	2417.67	4736.79	642.59	1119.56	981.29	1191.69	457.25	480.04	175.07	384.34	346.29	291.04	412.0	209.84	221.86	59.97	583.07	287.01	167.9	215.77	400.71	379.04	450.94	738.29	603.67	334.46	267.73	202.66	249.73	84.04	638.15	463.65	466.88	878.17	102.25	967.76	65.26	143.01	346.29	579.04	287.01	291.04	429.54	403.5	253.23	193.01	796.86	878.17	536.45	384.34	974.5	148.09	176.29	237.86	624.99	796.86	80.57	197.09	460.44	275.28
MYD88	1127.35	708.18	791.35	769.69	1191.69	1250.98	1572.76	842.36	1073.91	2520.38	1397.83	1540.37	915.51	348.71	248.0	325.29	316.37	379.04	351.14	555.41	389.72	220.32	127.89	332.14	473.41	303.44	253.23	334.46	297.17	406.31	414.87	743.43	417.77	656.11	629.35	327.56	181.28	244.57	406.31	246.28	507.46	348.71	587.13	246.28	343.89	178.77	343.89	287.01	366.09	361.04	379.04	500.46	457.25	493.56	273.37	301.33	264.03	599.49	260.38	301.33	403.5	486.75	406.31	204.07	256.78	373.81	190.34
NABP1	647.07	599.49	769.69	348.71	470.14	1143.1	334.46	909.17	607.87	460.44	708.18	703.28	532.74	47.84	50.27	31.67	41.22	74.58	325.29	87.65	63.0	58.71	30.78	191.67	251.48	62.12	60.39	54.72	185.11	81.14	111.99	444.72	100.13	217.27	232.94	59.97	132.44	87.03	70.01	44.25	78.34	84.63	540.19	54.72	37.85	44.89	46.84	31.45	114.36	54.33	119.26	148.09	62.12	258.57	45.21	23.25	40.64	220.32	40.07	50.63	108.14	209.84	414.87	98.04	59.55	61.25	69.52
NAMPT	12676.65	3419.52	3190.46	13586.57	3395.89	4450.27	6792.79	8305.36	2720.15	9474.59	12160.22	8078.22	1369.04	555.41	536.45	447.82	703.28	432.53	1437.15	1651.0	1447.15	1143.1	595.34	1572.76	1936.53	825.0	466.88	507.46	371.22	1088.92	599.49	2520.38	748.61	3928.15	1857.6	323.03	1208.34	1030.12	339.14	429.54	2319.15	728.11	2976.74	507.46	389.72	348.71	928.3	277.2	629.35	733.19	1487.87	1199.98	669.92	2935.74	376.41	547.75	376.41	3372.43	361.04	802.41	1340.84	1417.35	3955.48	928.3	229.72	791.35	255.0
NEK6	941.27	612.11	567.1	738.29	1023.0	1674.06	1295.13	1225.22	1151.06	785.88	1259.69	836.53	884.29	231.32	423.61	143.01	163.28	111.99	189.02	215.77	114.36	358.54	35.0	153.34	429.54	60.82	214.27	90.77	127.0	316.37	332.14	693.58	146.03	387.02	536.45	260.38	329.84	559.28	264.03	208.38	176.29	195.72	830.75	115.16	135.24	171.45	70.01	65.26	275.28	271.48	228.13	473.41	187.71	438.59	73.03	65.72	98.04	896.64	59.13	126.12	149.12	432.53	981.29	125.24	117.6	85.22	148.09
