	TCGA.BH.A1FE.11B.14R.A13Q.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.W5X1.2326.SM.3GIL6	GTEX.13QIC.2326.SM.5LU5N	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZYWO.1026.SM.5E45U	GTEX.13FTX.0526.SM.5IFGS	GTEX.XOTO.2126.SM.4B64U	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.11GSP.1826.SM.5N9DQ	GTEX.QV44.1126.SM.4R1KO	GTEX.R53T.1126.SM.48FD4	GTEX.13FLV.1126.SM.5J2NO	GTEX.YEC3.2526.SM.4YCDN	GTEX.OXRN.1726.SM.3NM9B	GTEX.OXRK.1326.SM.3NB1A	GTEX.OIZG.1026.SM.3LK5X	GTEX.X4XY.1726.SM.46MVO	GTEX.OIZI.1426.SM.3NB1T	GTEX.1399S.1326.SM.5P9GH
ATXN3	567.1	381.68	486.75	612.11	420.68	353.59	214.27	229.72	343.89	473.41	358.54	351.14	318.57	414.87	532.74	400.71	197.09	379.04	164.42	346.29	356.05	299.25	486.75	248.0	511.0	293.07	262.2	376.41	314.17
BIRC2	1322.37	1447.15	1369.04	1447.15	1909.85	1350.18	320.8	941.27	450.94	532.74	470.14	473.41	429.54	435.55	616.37	493.56	329.84	490.14	236.21	733.19	547.75	269.6	555.41	476.71	848.22	376.41	348.71	738.29	312.0
C12orf4	381.68	301.33	379.04	339.14	435.55	267.73	85.82	190.34	246.28	283.05	202.66	234.57	154.42	148.09	293.07	190.34	101.54	162.14	55.1	223.41	217.27	39.22	214.27	85.82	297.17	150.17	120.1	305.55	128.79
C6orf211	974.5	2816.11	8538.88	1529.73	1950.0	1844.76	525.39	325.29	197.09	316.37	211.31	258.57	146.03	323.03	320.8	336.79	83.45	224.97	81.14	332.14	297.17	63.45	307.69	165.57	373.81	215.77	127.0	336.79	173.85
C6orf62	2287.2	2075.59	2047.0	2537.92	2591.27	2178.83	1457.23	1909.85	988.12	1151.06	1250.98	1030.12	836.53	1388.16	1674.06	1259.69	563.18	1295.13	660.68	1250.98	1225.22	420.68	1551.09	1225.22	1896.65	1119.56	1781.89	1709.26	988.12
C9orf64	217.27	312.0	698.41	339.14	665.29	432.53	144.01	197.09	113.56	125.24	102.25	187.71	71.0	116.78	214.27	139.07	37.59	125.24	36.27	173.85	171.45	18.16	194.36	46.18	176.29	86.43	115.97	205.5	92.05
CAAP1	536.45	921.88	540.19	392.44	796.86	559.28	366.09	432.53	211.31	264.03	187.71	185.11	208.38	264.03	406.31	358.54	193.01	262.2	108.9	395.18	351.14	133.36	356.05	176.29	460.44	176.29	145.02	579.04	175.07
CBR4	536.45	536.45	638.15	620.67	684.02	460.44	112.77	323.03	150.17	173.85	193.01	148.09	170.25	253.23	358.54	183.82	125.24	246.28	135.24	242.88	307.69	126.12	312.0	166.73	366.09	212.78	152.28	366.09	181.28
CCDC132	555.41	551.56	624.99	470.14	738.29	599.49	175.07	231.32	297.17	414.87	314.17	262.2	251.48	281.09	320.8	301.33	99.43	325.29	75.64	460.44	457.25	55.89	381.68	186.4	507.46	281.09	170.25	371.22	199.85
CDC40	571.05	647.07	612.11	571.05	1437.15	559.28	190.34	253.23	182.55	242.88	199.85	173.85	166.73	241.19	353.59	281.09	123.5	226.54	71.0	309.83	289.02	148.09	356.05	130.6	323.03	194.36	127.0	514.56	189.02
CDC5L	583.07	599.49	493.56	409.15	688.78	529.06	249.73	277.2	229.72	248.0	232.94	231.32	193.01	211.31	341.51	255.0	141.02	237.86	106.63	279.14	279.14	137.14	295.11	98.04	295.11	177.53	84.63	325.29	166.73
CEP63	624.99	624.99	743.43	785.88	974.5	583.07	348.71	379.04	320.8	381.68	303.44	303.44	309.83	329.84	607.87	392.44	149.12	361.04	148.09	395.18	358.54	228.13	392.44	226.54	450.94	180.02	149.12	511.0	242.88
CEPT1	1378.57	1277.29	1051.79	1111.82	1757.34	802.41	532.74	633.73	320.8	514.56	381.68	305.55	371.22	511.0	669.92	599.49	299.25	454.09	312.0	555.41	703.28	251.48	633.73	432.53	866.07	429.54	381.68	703.28	379.04
CHM	426.57	358.54	307.69	392.44	866.07	490.14	176.29	139.07	143.01	163.28	162.14	161.02	131.51	182.55	265.87	193.01	141.02	169.07	99.43	281.09	221.86	104.42	217.27	141.02	199.85	162.14	141.02	285.03	115.97
COG5	651.58	587.13	688.78	780.44	1081.39	665.29	231.32	476.71	343.89	532.74	327.56	305.55	277.2	395.18	620.67	379.04	271.48	334.46	242.88	406.31	500.46	224.97	450.94	258.57	460.44	277.2	332.14	511.0	289.02
COG6	567.1	665.29	808.0	607.87	941.27	591.22	251.48	208.38	169.07	220.32	171.45	163.28	156.59	281.09	316.37	256.78	102.97	244.57	105.15	376.41	341.51	100.83	320.8	158.79	343.89	209.84	95.34	417.77	170.25
COPS2	3103.19	1963.57	1359.57	2018.8	4298.64	2400.97	1304.15	1001.93	961.07	1417.35	1030.12	848.22	921.88	1104.13	1378.57	954.43	688.78	995.0	543.96	1167.14	1051.79	934.76	1151.06	583.07	1397.83	708.18	460.44	1295.13	679.29
CWF19L2	473.41	620.67	387.02	543.96	902.89	450.94	88.88	205.5	105.89	215.77	94.67	122.64	93.35	120.94	232.94	137.14	92.7	115.16	84.63	180.02	224.97	103.69	183.82	86.43	191.67	94.01	76.17	208.38	100.83
DBT	332.14	241.19	314.17	253.23	312.0	309.83	127.89	161.02	75.64	109.66	78.89	62.56	84.04	189.02	293.07	201.25	57.49	128.79	61.68	209.84	194.36	70.01	316.37	73.54	303.44	105.15	53.57	356.05	109.66
DHFRL1	197.09	289.02	301.33	171.45	303.44	208.38	28.45	98.04	32.13	55.1	37.59	39.5	27.44	64.8	95.34	48.87	17.9	31.22	14.89	42.71	59.55	12.09	75.11	16.15	70.01	40.93	16.39	88.26	32.13
DNAAF2	249.73	205.5	258.57	159.9	171.45	148.09	223.41	170.25	91.41	120.94	75.64	84.04	87.03	141.02	147.06	125.24	61.25	119.26	99.43	122.64	153.34	53.19	140.04	94.01	176.29	90.77	49.21	165.57	78.89
DNAJC13	583.07	529.06	518.15	536.45	642.59	457.25	183.82	198.47	368.65	412.0	389.72	358.54	323.03	334.46	463.65	423.61	164.42	353.59	158.79	470.14	426.57	208.38	395.18	158.79	486.75	307.69	241.19	438.59	277.2
DTWD1	1561.89	1733.13	1030.12	1225.22	3443.31	1143.1	301.33	406.31	348.71	521.76	361.04	186.4	237.86	381.68	417.77	417.77	371.22	454.09	269.6	417.77	521.76	356.05	409.15	366.09	698.41	305.55	295.11	733.19	209.84
DYNC1I2	2417.67	2209.26	2835.7	2520.38	5913.33	3467.27	1628.26	1923.14	1909.85	2502.97	1883.54	2193.99	1617.0	1733.13	1936.53	2351.53	1208.34	2090.03	1015.93	2417.67	2119.22	1030.12	2287.2	1199.98	2255.7	1529.73	1250.98	2224.63	1977.24
ELMOD2	518.15	830.75	854.13	647.07	813.63	514.56	186.4	221.86	189.02	244.57	199.85	183.82	155.5	177.53	325.29	218.79	111.21	193.01	101.54	234.57	229.72	145.02	255.0	182.55	301.33	125.24	253.23	285.03	128.79
EMP1	7081.29	2915.45	2193.99	6121.9	5076.84	8022.41	610654.84	191899.64	301123.38	231394.29	641014.63	194578.47	610654.84	109455.64	44761.41	104271.56	55491.3	111755.56	61146.25	82951.62	81244.48	46019.85	62865.33	127486.83	51417.5	93974.69	99333.0	37379.55	87075.75
ERI2	547.75	723.08	791.35	830.75	518.15	463.65	279.14	209.84	215.77	262.2	262.2	183.82	194.36	348.71	444.72	303.44	74.58	267.73	90.77	438.59	447.82	73.03	454.09	152.28	507.46	205.5	182.55	563.18	169.07
EXO5	163.28	145.02	299.25	208.38	223.41	169.07	87.03	166.73	120.94	120.1	115.97	120.1	105.15	81.71	162.14	105.89	24.46	87.65	34.02	113.56	111.99	15.45	183.82	27.25	109.66	68.07	29.48	126.12	110.43
FAM115A	1059.11	1023.0	1909.85	1561.89	947.83	1159.07	406.31	361.04	175.07	251.48	133.36	122.64	172.65	248.0	368.65	293.07	151.22	208.38	129.69	339.14	297.17	226.54	429.54	120.94	318.57	212.78	90.77	507.46	180.02
FAM188A	688.78	703.28	713.11	612.11	1233.75	656.11	103.69	521.76	262.2	327.56	297.17	265.87	273.37	336.79	395.18	318.57	228.13	392.44	166.73	412.0	503.95	229.72	381.68	190.34	473.41	246.28	303.44	503.95	279.14
FAM208A	1487.87	1519.15	1427.22	1369.04	2178.83	1233.75	412.0	595.34	536.45	579.04	559.28	551.56	514.56	547.75	915.51	660.68	343.89	595.34	241.19	728.11	708.18	236.21	703.28	660.68	848.22	441.64	591.22	1088.92	381.68
FBXL4	454.09	426.57	329.84	435.55	417.77	318.57	90.77	132.44	95.34	117.6	85.82	78.34	90.14	119.26	241.19	134.3	88.88	122.64	92.7	172.65	177.53	57.89	173.85	78.34	208.38	96.01	121.79	211.31	96.68
FCF1	1437.15	1909.85	1350.18	1437.15	1936.53	1286.18	497.0	607.87	656.11	1015.93	591.22	703.28	500.46	555.41	866.07	738.29	341.51	532.74	348.71	669.92	647.07	366.09	934.76	348.71	825.0	444.72	432.53	1096.5	551.56
FEZ2	1111.82	1044.52	1561.89	2133.97	2976.74	2178.83	403.5	733.19	466.88	669.92	348.71	457.25	307.69	368.65	642.59	665.29	450.94	429.54	397.93	525.39	607.87	529.06	536.45	406.31	647.07	351.14	420.68	563.18	376.41
FNTA	2018.8	1857.6	1651.0	2367.9	4543.8	2163.77	1639.59	2520.38	1572.76	1781.89	1594.73	1508.65	1540.37	1487.87	1508.65	1304.15	842.36	1015.93	579.04	1628.26	1447.15	514.56	1639.59	921.88	2090.03	1073.91	909.17	2209.26	775.05
FPGT	373.81	420.68	392.44	441.64	713.11	353.59	202.66	226.54	156.59	189.02	202.66	172.65	149.12	202.66	325.29	239.52	64.8	172.65	53.95	217.27	220.32	38.67	242.88	101.54	271.48	127.89	103.69	373.81	120.94
GABPA	703.28	616.37	575.03	698.41	1088.92	669.92	239.52	295.11	209.84	237.86	204.07	178.77	209.84	205.5	305.55	220.32	118.43	208.38	117.6	265.87	279.14	152.28	264.03	172.65	299.25	193.01	155.5	351.14	154.42
GOLGA7	1529.73	974.5	1143.1	1745.2	3665.02	1225.22	1037.29	1143.1	954.43	1159.07	866.07	848.22	934.76	909.17	1104.13	780.44	599.49	848.22	403.5	759.08	947.83	642.59	934.76	414.87	1199.98	642.59	318.57	947.83	514.56
HBS1L	1304.15	1561.89	1674.06	1857.6	1991.0	1250.98	769.69	612.11	642.59	713.11	669.92	583.07	633.73	830.75	1051.79	988.12	389.72	693.58	318.57	902.89	854.13	473.41	961.07	295.11	896.64	543.96	201.25	1001.93	559.28
HDHD2	796.86	1081.39	1277.29	1008.9	1304.15	1250.98	277.2	420.68	346.29	384.34	392.44	348.71	500.46	470.14	656.11	450.94	277.2	379.04	173.85	543.96	638.15	109.66	551.56	307.69	638.15	373.81	271.48	567.1	392.44
JRKL	463.65	629.35	363.56	607.87	688.78	460.44	147.06	186.4	114.36	159.9	99.43	112.77	70.51	108.9	217.27	123.5	44.89	140.04	58.3	157.68	204.07	26.47	149.12	84.04	244.57	105.89	59.97	159.9	63.89
KCTD18	400.71	450.94	547.75	444.72	514.56	384.34	208.38	348.71	211.31	239.52	234.57	178.77	209.84	205.5	336.79	285.03	108.14	232.94	77.25	283.05	295.11	115.16	316.37	140.04	301.33	218.79	137.14	368.65	234.57
KIAA0825	73.03	81.71	67.59	70.01	112.77	90.77	13.72	17.38	12.45	17.38	10.63	8.25	10.0	14.03	19.25	13.93	4.28	10.39	8.45	11.3	22.92	11.55	16.39	6.26	23.76	6.31	8.32	21.01	5.02
KLHL9	1023.0	1331.57	1127.35	1023.0	1806.78	1104.13	175.07	299.25	147.06	206.94	153.34	130.6	173.85	214.27	389.72	287.01	81.71	212.78	136.19	301.33	371.22	60.39	323.03	111.99	518.15	220.32	66.18	521.76	127.89
KNOP1	470.14	612.11	896.64	591.22	387.02	463.65	305.55	444.72	301.33	466.88	239.52	379.04	220.32	303.44	503.95	414.87	153.34	414.87	190.34	384.34	400.71	111.21	473.41	295.11	642.59	271.48	169.07	571.05	358.54
KRIT1	884.29	974.5	1159.07	808.0	1073.91	620.67	303.44	567.1	529.06	638.15	514.56	447.82	435.55	511.0	595.34	555.41	223.41	466.88	201.25	595.34	540.19	205.5	567.1	303.44	764.36	414.87	269.6	981.29	262.2
LIAS	441.64	490.14	366.09	497.0	647.07	348.71	371.22	432.53	158.79	236.21	204.07	134.3	224.97	248.0	289.02	232.94	95.34	212.78	111.21	279.14	283.05	92.7	269.6	140.04	387.02	226.54	195.72	444.72	176.29
LZIC	941.27	693.58	981.29	974.5	1340.84	825.0	764.36	642.59	454.09	507.46	470.14	438.59	423.61	493.56	718.08	529.06	220.32	591.22	239.52	583.07	529.06	223.41	543.96	271.48	651.58	454.09	395.18	674.59	332.14
MAN2A1	718.08	759.08	514.56	507.46	947.83	842.36	157.68	150.17	305.55	373.81	334.46	289.02	283.05	332.14	473.41	273.37	299.25	305.55	212.78	301.33	379.04	320.8	555.41	215.77	497.0	244.57	323.03	480.04	228.13
MANEA	403.5	204.07	175.07	307.69	249.73	287.01	114.36	157.68	57.49	127.89	77.25	55.89	66.18	154.42	246.28	117.6	38.12	118.43	57.08	197.09	182.55	50.27	151.22	88.26	190.34	72.52	40.36	221.86	73.54
MCEE	656.11	988.12	728.11	954.43	1001.93	884.29	842.36	848.22	450.94	406.31	591.22	244.57	450.94	775.05	500.46	493.56	176.29	571.05	283.05	848.22	836.53	348.71	872.1	400.71	1175.27	463.65	316.37	1066.48	441.64
METTL15	351.14	346.29	206.94	339.14	305.55	307.69	103.69	149.12	98.73	108.9	105.89	95.34	96.68	123.5	189.02	93.35	101.54	96.68	116.78	149.12	124.37	78.34	151.22	100.83	162.14	95.34	69.03	186.4	67.12
MOB1A	1806.78	1096.5	1540.37	1794.29	2133.97	1651.0	1697.45	961.07	1081.39	1259.69	1159.07	1167.14	974.5	1225.22	1407.55	1135.2	698.41	1037.29	665.29	1519.15	1304.15	825.0	1331.57	764.36	1674.06	723.08	633.73	1242.34	878.17
MPHOSPH8	1175.27	1417.35	1378.57	1250.98	1674.06	1030.12	400.71	426.57	473.41	713.11	514.56	514.56	466.88	612.11	1447.15	748.61	414.87	921.88	325.29	808.0	995.0	457.25	748.61	624.99	947.83	532.74	325.29	915.51	460.44
MYNN	698.41	688.78	612.11	511.0	854.13	476.71	135.24	295.11	201.25	267.73	223.41	215.77	201.25	256.78	341.51	248.0	131.51	212.78	152.28	351.14	301.33	167.9	318.57	145.02	397.93	161.02	180.02	341.51	165.57
OSGEPL1	363.56	336.79	273.37	346.29	325.29	214.27	85.82	102.25	81.14	119.26	90.14	74.58	77.79	93.35	150.17	90.77	32.36	89.51	46.84	126.12	129.69	26.86	121.79	34.51	111.21	84.04	41.52	148.09	67.12
PCNP	5183.54	3820.7	3168.41	3039.3	6561.36	3614.55	1447.15	2148.82	1605.83	2133.97	1662.49	1467.37	1467.37	1781.89	1757.34	1697.45	1304.15	1388.16	1175.27	1651.0	1896.65	1628.26	1757.34	1216.75	2119.22	1143.1	995.0	2004.85	902.89
PDS5A	1350.18	995.0	947.83	961.07	1909.85	1096.5	426.57	426.57	551.56	684.02	616.37	503.95	567.1	651.58	759.08	703.28	525.39	651.58	540.19	808.0	713.11	616.37	748.61	525.39	802.41	563.18	551.56	921.88	480.04
PHAX	1268.46	1127.35	1745.2	1340.84	1437.15	1135.2	543.96	563.18	483.38	579.04	460.44	460.44	454.09	559.28	775.05	660.68	260.38	575.03	253.23	563.18	607.87	169.07	769.69	283.05	708.18	358.54	228.13	854.13	358.54
PIGM	249.73	325.29	283.05	275.28	279.14	172.65	133.36	81.71	82.29	90.77	63.45	79.45	56.68	77.25	150.17	112.77	37.32	92.7	41.52	113.56	148.09	29.7	142.01	52.45	137.14	74.58	52.45	147.06	80.57
PIK3CA	738.29	412.0	358.54	854.13	723.08	647.07	73.54	143.01	229.72	343.89	201.25	185.11	229.72	194.36	332.14	255.0	79.45	231.32	93.35	258.57	312.0	211.31	275.28	135.24	381.68	132.44	85.82	277.2	164.42
PRRC1	1286.18	1151.06	1313.23	1044.52	1277.29	1242.34	503.95	612.11	403.5	397.93	426.57	435.55	363.56	514.56	836.53	616.37	470.14	620.67	470.14	633.73	624.99	426.57	775.05	559.28	651.58	500.46	536.45	769.69	536.45
PSMD5	830.75	748.61	808.0	842.36	1457.23	769.69	327.56	409.15	490.14	406.31	457.25	503.95	314.17	559.28	693.58	567.1	339.14	412.0	253.23	551.56	514.56	271.48	738.29	267.73	555.41	293.07	256.78	723.08	318.57
PTER	444.72	480.04	599.49	674.59	642.59	336.79	262.2	260.38	71.5	92.05	67.59	72.01	56.28	161.02	299.25	130.6	70.51	115.97	47.17	176.29	108.14	44.25	234.57	51.71	194.36	133.36	212.78	237.86	100.83
QSER1	486.75	463.65	466.88	358.54	429.54	429.54	180.02	139.07	185.11	234.57	211.31	172.65	141.02	228.13	346.29	201.25	124.37	194.36	120.1	258.57	221.86	155.5	273.37	120.1	283.05	169.07	110.43	348.71	121.79
RAD17	738.29	684.02	743.43	624.99	738.29	532.74	255.0	397.93	206.94	281.09	226.54	177.53	215.77	277.2	363.56	343.89	111.99	271.48	110.43	348.71	320.8	96.68	339.14	155.5	420.68	265.87	186.4	417.77	214.27
RB1	1037.29	819.3	656.11	1096.5	1857.6	1674.06	1350.18	476.71	728.11	902.89	591.22	525.39	450.94	591.22	679.29	599.49	325.29	507.46	336.79	728.11	518.15	395.18	748.61	454.09	860.08	426.57	387.02	759.08	447.82
RCBTB2	547.75	802.41	995.0	703.28	688.78	679.29	432.53	480.04	269.6	316.37	275.28	221.86	297.17	307.69	536.45	285.03	185.11	285.03	141.02	307.69	371.22	144.01	316.37	217.27	409.15	176.29	111.99	376.41	223.41
RCHY1	1199.98	1225.22	1051.79	934.76	1923.14	1030.12	264.03	291.04	303.44	348.71	368.65	343.89	384.34	432.53	540.19	447.82	249.73	438.59	281.09	450.94	575.03	154.42	587.13	267.73	780.44	253.23	414.87	547.75	336.79
RIN2	909.17	1001.93	1030.12	1066.48	1417.35	890.44	587.13	890.44	511.0	551.56	457.25	346.29	289.02	579.04	612.11	420.68	291.04	490.14	150.17	638.15	759.08	323.03	753.83	309.83	974.5	432.53	356.05	825.0	395.18
RNF170	334.46	559.28	525.39	500.46	466.88	262.2	312.0	297.17	234.57	348.71	373.81	334.46	320.8	293.07	384.34	320.8	123.5	323.03	111.99	384.34	395.18	86.43	297.17	178.77	366.09	180.02	212.78	389.72	256.78
RNFT1	466.88	551.56	540.19	500.46	409.15	438.59	232.94	323.03	262.2	305.55	253.23	271.48	206.94	279.14	343.89	314.17	121.79	297.17	109.66	320.8	289.02	87.65	366.09	127.0	429.54	189.02	150.17	406.31	205.5
RPA3-AS1	571.05	769.69	633.73	476.71	753.83	703.28	289.02	334.46	142.01	205.5	137.14	156.59	126.12	228.13	273.37	204.07	167.9	187.71	139.07	244.57	249.73	205.5	226.54	130.6	305.55	121.79	105.15	303.44	136.19
RPAP2	665.29	567.1	490.14	373.81	633.73	480.04	246.28	316.37	256.78	363.56	251.48	228.13	226.54	262.2	318.57	249.73	205.5	217.27	141.02	309.83	303.44	128.79	320.8	208.38	409.15	246.28	167.9	373.81	176.29
SCARB2	3103.19	2367.9	4181.07	3303.0	5403.7	3395.89	1183.45	1674.06	775.05	974.5	759.08	638.15	703.28	1059.11	1350.18	1135.2	703.28	785.88	579.04	909.17	1437.15	981.29	1250.98	642.59	1340.84	723.08	688.78	1685.71	718.08
SCRN3	463.65	669.92	848.22	674.59	629.35	563.18	595.34	693.58	473.41	480.04	435.55	297.17	366.09	441.64	540.19	567.1	162.14	532.74	208.38	759.08	470.14	165.57	507.46	197.09	633.73	503.95	204.07	583.07	417.77
SCYL3	444.72	486.75	543.96	403.5	363.56	327.56	193.01	265.87	144.01	185.11	189.02	143.01	182.55	191.67	281.09	199.85	127.89	231.32	79.45	295.11	303.44	59.97	253.23	116.78	320.8	226.54	173.85	248.0	127.0
SETDB2	373.81	307.69	490.14	336.79	620.67	275.28	72.52	91.41	98.04	91.41	84.04	56.68	91.41	85.22	120.94	108.14	55.1	93.35	48.18	95.34	113.56	63.89	123.5	56.28	156.59	76.71	53.19	205.5	57.89
SLC30A6	493.56	507.46	356.05	409.15	791.35	379.04	100.83	164.42	177.53	201.25	165.57	206.94	129.69	201.25	275.28	211.31	120.94	190.34	79.45	208.38	217.27	67.12	202.66	144.01	269.6	138.1	162.14	285.03	171.45
SLC33A1	842.36	791.35	638.15	718.08	525.39	1001.93	277.2	387.02	180.02	234.57	209.84	267.73	180.02	283.05	629.35	395.18	232.94	403.5	110.43	387.02	409.15	145.02	414.87	205.5	723.08	232.94	156.59	447.82	172.65
SLC35B3	629.35	647.07	703.28	723.08	915.51	493.56	195.72	389.72	242.88	248.0	221.86	239.52	211.31	299.25	483.38	316.37	125.24	251.48	148.09	429.54	412.0	102.97	325.29	167.9	525.39	202.66	183.82	343.89	246.28
SLC38A9	414.87	339.14	450.94	327.56	759.08	363.56	228.13	155.5	186.4	237.86	195.72	180.02	157.68	228.13	351.14	368.65	114.36	205.5	82.29	327.56	312.0	93.35	299.25	159.9	283.05	214.27	115.16	363.56	193.01
SMARCAD1	785.88	915.51	620.67	507.46	674.59	669.92	224.97	341.51	204.07	381.68	239.52	228.13	178.77	339.14	435.55	246.28	140.04	277.2	94.67	346.29	392.44	74.58	327.56	158.79	409.15	217.27	154.42	532.74	167.9
SNX6	2018.8	1447.15	1733.13	2193.99	3467.27	2664.15	1583.71	1286.18	961.07	1313.23	1175.27	1143.1	775.05	1119.56	1331.57	1191.69	450.94	1127.35	483.38	1437.15	1397.83	571.05	1583.71	633.73	1477.58	848.22	723.08	1561.89	785.88
STAM2	624.99	651.58	854.13	529.06	890.44	543.96	285.03	267.73	262.2	269.6	260.38	223.41	241.19	281.09	429.54	287.01	253.23	381.68	180.02	361.04	420.68	208.38	412.0	253.23	438.59	246.28	376.41	409.15	271.48
SYNJ2BP	500.46	314.17	743.43	708.18	713.11	567.1	191.67	112.77	141.02	141.02	111.99	120.1	99.43	229.72	297.17	215.77	90.77	206.94	140.04	271.48	279.14	167.9	318.57	146.03	332.14	149.12	133.36	348.71	182.55
TAMM41	616.37	409.15	438.59	400.71	547.75	423.61	228.13	325.29	223.41	228.13	242.88	228.13	281.09	217.27	339.14	279.14	239.52	283.05	236.21	325.29	314.17	171.45	258.57	231.32	392.44	194.36	195.72	381.68	206.94
TCAIM	599.49	346.29	400.71	483.38	698.41	414.87	444.72	392.44	248.0	237.86	301.33	255.0	279.14	361.04	381.68	323.03	182.55	346.29	155.5	460.44	325.29	159.9	361.04	323.03	395.18	221.86	329.84	503.95	190.34
TCEANC2	127.0	145.02	132.44	209.84	100.83	103.69	85.82	82.87	66.65	64.34	77.25	73.03	74.06	94.67	105.89	70.51	30.34	78.89	24.28	110.43	94.67	21.16	122.64	55.1	133.36	71.5	63.89	107.38	72.52
THAP9	178.77	176.29	112.77	88.88	99.43	73.03	43.02	45.53	30.78	37.59	28.86	28.86	28.45	32.59	68.55	51.35	26.1	55.49	28.65	40.93	63.89	15.22	40.93	48.18	101.54	29.06	45.21	53.57	18.29
TLR3	447.82	307.69	435.55	802.41	775.05	647.07	507.46	209.84	120.94	113.56	144.01	153.34	80.57	195.72	201.25	199.85	27.84	103.69	24.28	165.57	197.09	46.18	277.2	33.78	242.88	109.66	37.85	384.34	100.13
