	TCGA.W5.AA31.11A.11R.A41I.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.DD.A1EB.01A.11R.A131.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.BC.A10Z.01A.11R.A131.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.WJ.A86L.01A.12R.A39D.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.CC.A3MB.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A10W.11A.11R.A131.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.REY6.1226.SM.48FDR
CYR61	3515.68	323.03	612.11	244.57	896.64	171.45	387.02	267.73	295.11	620.67	1051.79	74.06	109.66	796.86	503.95	679.29	447.82	100.13	473.41	403.5	346.29	214.27	567.1	463.65	1359.57	3349.13	3018.3	9808.75	3280.18	1781.89	5329.3	9279.58	1662.49	11504.21	2090.03	4152.18	1191.69	8598.28	9344.14	3928.15	2758.13	866.07	2555.58	4123.49	5517.27	2367.9	4123.49	5076.84	10296.45	4481.23	7280.4	1073.91	5633.22	8421.31	6745.86	4937.99	7331.05	3794.3	2739.08	8421.31	5872.48	543.96
CYS1	31.67	0.0	3.32	1.36	3.14	0.67	2.51	3.82	0.41	4.21	2.53	0.35	5.63	9.48	0.6	6.52	5.06	1.51	0.36	0.39	0.39	0.31	2.92	0.45	31.22	20.26	28.24	86.43	45.21	93.35	17.13	181.28	55.1	591.22	12.83	363.56	17.38	100.13	237.86	92.05	34.51	40.93	27.25	234.57	201.25	28.04	31.22	34.51	152.28	129.69	435.55	11.38	40.36	55.89	23.93	198.47	63.0	14.67	35.25	55.89	88.88	66.18
DACH1	20.86	1.14	3.72	2.58	2.01	2.43	2.43	1.23	0.45	2.84	0.44	1.07	0.83	2.56	0.66	2.86	2.48	2.32	0.75	0.42	19.11	0.65	1.5	0.97	5.45	8.92	12.55	39.79	33.06	13.93	31.0	116.78	12.55	63.45	6.41	57.08	27.25	55.1	33.78	7.69	14.67	11.82	26.1	19.82	48.52	8.65	28.65	11.38	45.85	32.36	36.01	13.32	53.95	25.72	18.7	30.56	41.22	48.87	22.1	48.52	32.82	7.63
DBH	361.04	15.11	56.28	10.0	24.28	117.6	11.3	82.29	30.56	37.59	29.27	43.32	19.68	65.72	10.96	76.71	60.39	45.21	10.88	14.35	52.82	17.25	10.71	53.95	780.44	483.38	141.02	2777.33	2384.37	723.08	902.89	791.35	358.54	109.66	142.01	5711.87	1073.91	1059.11	878.17	490.14	314.17	417.77	457.25	780.44	2591.27	239.52	1407.55	318.57	854.13	3235.01	2303.12	854.13	941.27	748.61	94.01	579.04	1857.6	1896.65	1437.15	575.03	1498.22	50.63
DPT	214.27	0.0	12.93	128.79	60.39	0.59	68.07	25.91	16.39	123.5	52.45	4.86	1.91	108.14	0.0	125.24	82.87	15.56	3.96	5.45	4.39	3.76	1.79	3.17	277.2	102.97	205.5	2468.49	1781.89	1030.12	208.38	591.22	232.94	33224.42	275.28	2835.7	327.56	674.59	1583.71	620.67	651.58	281.09	954.43	753.83	2739.08	136.19	228.13	348.71	1277.29	1322.37	4298.64	239.52	1407.55	591.22	183.82	2976.74	890.44	1909.85	2520.38	2018.8	941.27	43.32
ECM1	909.17	33.78	69.52	102.25	87.03	20.11	98.04	38.95	18.7	83.45	49.56	43.32	45.85	253.23	36.53	139.07	244.57	153.34	21.78	49.91	84.63	32.59	68.07	62.12	1104.13	728.11	753.83	3467.27	1295.13	688.78	1936.53	6121.9	607.87	3901.01	180.02	4419.52	1208.34	2434.5	1757.34	486.75	775.05	796.86	718.08	1662.49	1268.46	1111.82	1806.78	688.78	3257.52	3190.46	2400.97	1487.87	1268.46	2351.53	1605.83	3018.3	2816.11	2609.3	1477.58	2119.22	1572.76	132.44
EFNB3	23.08	0.8	1.31	3.29	2.41	0.77	4.31	1.66	1.31	6.94	3.23	0.75	1.62	4.46	3.08	9.63	5.23	4.21	1.14	1.99	4.31	0.38	1.16	1.0	22.26	14.89	12.55	32.36	47.5	29.27	41.22	36.27	8.32	204.07	6.41	106.63	20.11	76.71	42.41	15.8	12.0	20.71	11.73	21.63	22.26	19.82	20.56	46.5	45.21	50.63	89.51	41.52	29.48	15.34	19.53	58.3	37.59	57.08	28.24	59.97	26.47	5.28
FAM180A	150.17	1.13	15.0	7.69	3.35	1.07	5.06	13.32	3.96	5.11	5.54	0.0	1.17	41.81	0.0	8.45	31.67	8.58	0.0	0.0	0.0	2.01	4.28	2.86	102.97	98.04	146.03	486.75	119.26	74.06	387.02	1216.75	33.78	1733.13	13.93	780.44	80.57	642.59	791.35	78.89	59.13	101.54	53.19	275.28	157.68	791.35	217.27	204.07	571.05	241.19	381.68	43.02	195.72	514.56	236.21	269.6	703.28	414.87	480.04	490.14	150.17	7.69
FAM65C	215.77	11.82	38.67	6.52	23.93	9.27	7.57	28.86	14.35	17.25	40.93	9.63	4.5	53.95	7.51	13.62	43.94	18.16	4.74	4.5	14.35	4.66	13.72	33.78	47.17	34.02	135.24	258.57	323.03	142.01	242.88	587.13	118.43	571.05	27.44	612.11	63.0	314.17	64.8	101.54	118.43	156.59	103.69	191.67	153.34	25.54	129.69	195.72	237.86	232.94	265.87	111.21	161.02	307.69	314.17	178.77	314.17	236.21	120.94	312.0	131.51	102.97
GDF2	289.02	0.0	1.5	0.34	0.0	0.0	0.0	0.0	0.39	0.37	0.38	0.0	0.36	41.22	0.0	0.0	44.25	17.0	0.0	0.0	0.0	0.0	0.0	0.0	215.77	163.28	115.97	563.18	759.08	156.59	525.39	1135.2	16.63	2090.03	55.1	1183.45	198.47	612.11	693.58	34.51	242.88	234.57	68.07	307.69	229.72	63.89	571.05	224.97	559.28	819.3	928.3	228.13	229.72	351.14	218.79	1037.29	759.08	961.07	339.14	525.39	231.32	2.14
GGT5	802.41	2.05	198.47	493.56	348.71	31.67	567.1	55.49	97.36	343.89	218.79	113.56	80.01	819.3	72.01	476.71	299.25	190.34	88.88	170.25	120.94	72.52	58.71	127.0	1159.07	854.13	1059.11	3235.01	1685.71	540.19	1844.76	6652.97	204.07	13492.72	186.4	3103.19	660.68	1639.59	1628.26	483.38	432.53	363.56	854.13	1870.53	1605.83	432.53	1199.98	1407.55	2627.46	1572.76	2816.11	503.95	902.89	1359.57	759.08	2255.7	1151.06	1757.34	665.29	1617.0	1104.13	217.27
GNA14	92.7	12.55	42.71	20.41	27.64	21.94	19.53	7.75	8.06	21.47	38.95	16.63	9.13	32.13	7.06	27.84	37.85	9.7	10.47	6.41	10.47	18.43	10.0	10.24	57.49	64.34	66.18	318.57	173.85	32.13	132.44	563.18	34.26	303.44	22.75	214.27	43.32	181.28	154.42	66.18	24.46	37.32	58.71	85.22	163.28	169.07	49.21	61.25	148.09	187.71	223.41	75.11	130.6	130.6	100.13	211.31	206.94	164.42	43.94	264.03	63.89	29.27
GPM6A	65.72	0.38	8.25	2.05	2.56	1.31	6.31	13.93	4.46	21.47	7.06	0.67	1.13	23.08	5.23	16.51	23.59	7.17	2.92	23.93	5.96	0.0	4.86	4.94	59.13	43.63	66.18	204.07	190.34	31.22	88.88	718.08	21.78	802.41	13.72	314.17	197.09	115.16	84.63	30.34	68.07	21.94	51.35	71.5	244.57	84.63	67.59	41.22	132.44	211.31	143.01	24.46	159.9	155.5	103.69	212.78	303.44	389.72	71.5	134.3	106.63	7.17
HAND2	73.54	0.0	8.85	24.81	72.01	0.99	41.52	2.14	2.2	22.59	10.08	2.81	6.52	66.18	0.95	49.91	18.7	17.38	1.0	12.0	8.06	2.56	1.01	10.88	94.01	53.95	69.52	215.77	208.38	176.29	426.57	1685.71	28.65	1540.37	10.71	486.75	127.89	679.29	265.87	114.36	48.87	59.13	91.41	190.34	232.94	3.92	151.22	108.14	447.82	198.47	698.41	63.89	193.01	271.48	206.94	269.6	587.13	358.54	48.18	599.49	98.04	23.08
HGFAC	8078.22	1508.65	3.03	1023.0	2645.74	26.1	1111.82	246.28	4937.99	583.07	1697.45	1529.73	1059.11	3515.68	17.25	1651.0	5.77	139.07	511.0	3419.52	104.42	6426.31	2.78	808.0	7857.29	5329.3	3103.19	7589.61	32315.87	22225.61	23009.42	69753.56	86474.27	8778.97	25179.16	53601.03	19082.0	117311.73	16960.78	81809.59	33455.53	21468.49	9409.14	93974.69	52863.07	28525.2	36864.92	11664.82	51062.33	13492.72	41188.81	114897.47	17681.08	44452.21	20737.16	70727.3	65535.0	25530.66	16727.26	47642.77	40621.74	25354.3
HHIP	105.89	0.0	2.1	6.78	1.25	0.0	2.03	1.27	0.0	0.49	1.28	0.0	0.0	20.26	0.0	0.49	14.56	10.63	0.0	1.23	0.88	1.0	0.0	0.0	44.89	43.94	67.12	147.06	198.47	54.33	186.4	444.72	88.88	384.34	4.39	193.01	99.43	567.1	242.88	23.42	181.28	81.71	87.65	186.4	113.56	102.25	100.13	87.03	651.58	198.47	163.28	45.21	162.14	87.65	275.28	267.73	417.77	775.05	79.45	248.0	181.28	5.68
HMGCLL1	10.31	0.0	0.75	1.71	0.33	0.0	0.72	2.25	0.35	4.21	1.11	0.0	1.08	0.43	8.25	4.66	2.32	0.0	0.29	0.0	1.87	0.54	0.0	0.0	9.06	2.43	7.75	11.47	20.11	8.51	12.55	17.38	6.31	68.07	3.29	81.71	20.41	50.98	40.64	15.91	4.94	17.51	7.94	44.25	28.24	15.45	6.06	7.75	40.07	8.32	45.53	14.78	22.1	16.75	11.21	34.02	25.54	28.86	26.67	73.54	27.64	4.7
IGFBP3	7331.05	1304.15	1008.9	555.41	2384.37	1111.82	392.44	1819.35	1529.73	1551.09	802.41	1359.57	599.49	2573.36	2271.4	2591.27	2777.33	1806.78	947.83	5672.41	3372.43	444.72	329.84	1250.98	6337.83	6079.61	6840.04	21617.82	30785.28	7857.29	30572.63	39785.74	4575.41	69753.56	3716.2	26248.46	10225.32	39785.74	16383.0	6840.04	8658.09	11035.54	8305.36	20030.74	16269.83	7642.41	15180.22	8134.41	28525.2	17078.76	29736.59	11112.3	14765.09	13681.08	12676.65	32540.65	20170.07	36864.92	11035.54	23986.58	20451.65	8901.53
ITGA9	131.51	9.13	37.32	40.07	22.1	8.99	39.5	14.03	18.56	48.18	16.88	12.18	16.75	66.65	22.1	48.52	44.57	36.27	9.93	15.22	22.59	10.63	21.01	8.71	75.64	59.13	88.26	197.09	236.21	96.68	131.51	303.44	49.91	848.22	36.79	320.8	65.72	164.42	152.28	74.06	48.87	66.65	62.12	95.34	209.84	64.34	95.34	126.12	232.94	172.65	293.07	57.49	169.07	111.99	84.63	204.07	180.02	204.07	109.66	214.27	90.77	64.34
KAZN	71.5	9.63	19.82	14.45	12.09	5.68	11.38	6.89	10.39	12.27	9.7	5.23	3.63	26.28	5.15	15.11	33.3	10.55	3.76	4.54	17.25	6.46	7.57	6.89	40.93	35.0	36.53	201.25	154.42	69.52	182.55	743.43	44.25	256.78	29.06	303.44	73.54	172.65	158.79	50.98	53.57	63.45	33.78	100.13	157.68	63.89	84.04	95.34	161.02	142.01	239.52	67.59	53.19	148.09	182.55	221.86	129.69	202.66	61.25	166.73	86.43	31.45
KCNK17	52.45	1.06	3.03	17.25	15.34	3.69	11.82	0.67	3.47	2.94	1.14	2.92	2.86	12.09	1.97	8.65	3.53	6.73	3.41	0.66	4.21	2.29	1.87	3.86	45.85	26.28	28.65	133.36	130.6	142.01	11.21	19.68	28.65	309.83	63.89	316.37	87.03	172.65	72.52	145.02	19.53	82.87	45.53	255.0	68.07	23.25	70.51	19.97	145.02	105.89	187.71	56.28	77.79	76.71	62.12	178.77	106.63	132.44	77.25	241.19	82.87	13.83
LHX2	78.34	8.78	6.84	28.65	0.0	57.08	23.42	9.06	0.0	18.97	4.9	3.08	10.96	41.52	32.59	16.39	47.17	18.97	3.99	13.72	51.35	6.46	10.63	9.48	32.36	32.36	51.35	157.68	190.34	70.51	112.77	165.57	35.0	591.22	21.78	271.48	52.08	432.53	74.06	81.71	52.45	102.97	98.04	392.44	93.35	39.5	57.49	78.89	147.06	133.36	241.19	49.91	164.42	106.63	144.01	269.6	171.45	305.55	123.5	253.23	87.65	12.09
LIFR	159.9	9.78	64.34	12.18	15.22	8.32	17.9	17.51	18.16	25.35	10.79	1.58	2.18	44.25	71.5	53.95	73.03	18.16	4.46	8.25	44.89	2.68	56.28	4.39	81.71	115.97	149.12	497.0	237.86	56.68	201.25	1044.52	44.89	1001.93	25.54	251.48	148.09	688.78	162.14	126.12	49.56	56.28	87.03	187.71	197.09	167.9	232.94	144.01	269.6	314.17	656.11	122.64	163.28	358.54	358.54	511.0	878.17	785.88	202.66	229.72	211.31	32.59
LRRN3	15.0	0.64	0.32	0.27	12.64	0.0	1.48	1.08	0.32	3.5	0.71	0.25	0.3	0.91	0.21	4.39	3.32	1.2	0.27	2.23	2.27	0.21	0.0	0.37	3.0	0.84	6.26	27.25	51.71	16.63	24.28	34.26	11.64	58.3	15.56	57.89	18.84	47.17	30.12	18.03	16.15	17.25	13.62	36.01	37.05	35.25	16.63	13.72	47.17	31.9	59.13	21.63	30.56	18.29	7.69	49.91	24.11	53.19	5.92	45.21	37.32	4.78
